,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
271,"
 Skills:
- Organizing, planning, managing, securing, leading, and controlling project tasks
- Coordination of project stages
- Launching Wi-Fi Advertising Model
- Managing Project HR performance appraisal system on 1C base
- Implementing Electronic document system on 1C base
- Analyzing customer requirements and coordinating projects
- Project management and Finance experience
- 3+ years of Project management and analysis experience
- 7+ years of Finance experience in Consumer Electronics business
- Results-driven Sales manager
- Participating in IT and Technical project implementation
- Knowledgeable in Project management, Finance, and Investment
- Experience in solving tasks in short-term and stressful conditions
- Strong analytical skills
- Excellent communication skills
- Willingness to learn and be a valuable team member
"
272,"
 Experience

Project Manager (OSKI) (January 2023 — April 2023)
• Developed and managed CRM product
• Coordinated project activities
• Monitored project progress
• Managed project resources
• Managed project risks
• Communicated project status
• Ensured quality control
• Managed project budgets
• Managed project documentation

IT Nation HACK 2.0 - Hackathon participant September 2022
Organized the work of the team (distribution and control of tasks)
Prepared materials and tools for the team to successfully complete the hackathon
Compiled documentation of test results and handed them over to mentors for final evaluation

CEO (Tourist Agency) (February 2007 — Till now)
• Management and Control
• Business development, KPI performance, and strategy implementation
• Time and risk management
• Search for new marketing solutions
• Planning and conducting advertising campaigns
• Creation of specifications, design of prototypes

IT COURSES

IAMPM - DAO, Project Management January 2023
- Worked with project documentation, various types of contracts
- Managed customer expectations, risks, resources, and time
- Conducted business correspondence and project documentation
- Created WBS, handed tasks, and prioritized
- Presented ready-made solutions, prototypes to the customer

QATestLab Training Center, QA September 2022
- Theoretical knowledge of QA
- Created and supported test documentation
- Experience with bug tracking systems (Jira)
- Basic web knowledge: HTTP/HTTPS (JSON, XML), HTML, CSS
- Experience with REST APIs (Postman)
- Relational Databases: MySQL
- Experience with VCS: Git / GitHub

PowerCode Academy, QA Engineer 2022

Lviv IT School (LITS), Basics of Software Testing May 2022

STUD-POINT - Project Management & Leader School 2021

Google AdWords - PPC Management 2017

Education:
Kiev University of Tourism Economics and Law 2004 - 2010
Organization management, Manager - Specialist
"
273,"
 Skills:
• Waterfall and Agile planning models (Scrum, Kanban)
• Word, Excel, PowerPoint
• ADV and GSM (programs for sailing and accounting of produced products)
• Copywriting
• 1C

Languages:
Mother tongues
• Russian
• Ukrainian 
Foreign languages
• English - C1
• French - A2
Export/ Import specialist at «Ukratlantic» — June 2019 - March 2020

Responsible for processing incoming production orders, drawing up supply plans, preparing documents, updating clients on cargo, and tracking processes. Demonstrated great planning skills, well-developed communication skills, high English proficiency, ability to work under strict deadlines, and conduct business correspondence with colleagues and clients worldwide.

Co-organizer of «Gesheft» festival — March 2017 - April 2018

Efficient in individual and group work, decision-making, providing innovative ideas, fulfilling requests, solving problems, maintaining lists, and managing communication with participants and guests of the festival.

Organizer of «Children’s big day» festival — June - October 2017

Proven ability to constantly seek new knowledge, fully realize ideas, motivate self and team, actively participate in all project stages, and supervise all event processes.

Space manager at «Green theatre» — March - October 2017

Managed season planning, organized work, team-leading, multitasking, and financial accounting while ensuring smooth operations for staff.
"
274,"
 I express my genuine enthusiasm and strong interest in the Project Manager position at your company. As a highly motivated professional with a diverse background encompassing sales management, project coordination, and business development, I am eager to contribute my skills and knowledge to a renowned and innovative company like yours, where I can further cultivate my passion for project management and gain invaluable experience in an international setting. Throughout my career in various bookstores, I have had the privilege of honing my project management abilities in a dynamic and fast-paced environment. My roles as a Sales Manager, Project Coordinator, Project Manager, and Business Development Manager have provided me with hands-on experience in delivering successful projects while aligning them with the overall strategic vision of the organizations. Despite working with smaller companies, I am confident that my experience has equipped me with a strong foundation in managing projects, ensuring their successful execution, and fostering productive teamwork. While my previous roles have been rewarding, I aspire to elevate my career and seek new challenges in a larger and more globally impactful organizations.
"
275,"
 Successfully graduated from PM School in project management.
- Increased total sales by 110% starting from the 3rd month of working at the company
- Held successful negotiations and entered into agreements with key accounts, which form 80% of the client pool
- Ensured steady growth in turnover in the region
Familiar with software development methodologies of Agile family (Scrum & Kanban) and Waterfall.
Educational experience in project decomposition, preparation of SRS in international format IEEE, creation of WBS. Work in Gantt Chart. People-management.
Familiar with risk management on the project.
Skilled in planning, problem-solving, analysis, organization, sales, negotiations, and client-oriented approach.
- 6 years experience in sales (sales/account/business development manager)
- Excellent communication skills
- Analytical and critical thinking
- Stress resistance and ability to work within deadlines
- T-shaped person, responsible, result-oriented, initiative, self-motivated, able to learn quickly.
English level: Intermediate+
Seeking a company with exciting projects and ideas to utilize management skills, gain more experience and knowledge.
Eager to work with the head of PM or senior PM for guidance and advice on complex questions.
"
276,"
 Familiar with Agile (Scrum, Kanban) and Waterfall methodologies of software development. Understanding of the development life cycle. Highly aware of project decomposition principles, requirements collection, and analysis. Training experience in creating Work Breakdown Structure (WBS) and schedule in Gantt Chart format. Knowledge of project risk management and experience in creating Risk Management Matrix. Proficient in composing project documentation such as Vision, Software Requirements Specification (SRS) by IEEE 830 standard, and User Stories for HR management system. Practical training in analyzing situations that Project Managers may face in daily work.

Professional literature:
- ""Software Project Management For Dummies"" by Teresa Luckey, Joseph Phillips
- ""Testing dot com"" by Roman Savin
- ""Kanban and Scrum - Making the Most of Both"" by Henrik Kniberg and Mattias Skarin
- ""Scrum and XP from the Trenches"" by Henrik Kniberg
- ""Scrum"" by Jeff Sutherland
- ""Black Book of Manager"" by V. Pankratov
- ""Deadline"" by Tom Demarco
- ""Time drive"" by Gleb Arhangelskiy
- ""Fundamentals of Project Management"" by Joseph Heagney
- ""PMBOK guide"" by PMI
- ""Business Analysis for Practitioners"" by PMI
- ""Agile book"" by PMI
- ""Harvard Business Review on Becoming a High Performance Manager""

Education:
- PM School Kharkiv
Bachelor's degree in Project Management with theoretical and practical knowledge in Project Management. Ready to implement learned skills in practice and seeking growth opportunities in a professional setting.
"
277,"
 Experience:

Feb 2021-Aug 2021
Media group “House and Interior”
- Analysis and maintenance of media group pages
- Tasks execution monitoring
- Organization of all-Ukrainian competitions
- Search for speakers and agreements with them
- Organization of their transfer and documentation
- Full organization of competitions (search for speakers, host of events, media partners, equipment)
- Communication with contractors, representatives of companies about the organization of competitions

Aug 2021 - Mar 2022
Smile Expo
- Creation of a general concept of the project (theme, visual concept and guideline, venue)
- Setting tasks for the project team
- Prioritization of tasks, deadlines
- Task execution monitoring
- Full preparation of the event: location approval, search for speakers, preparation of the conference agenda
- Budgeting

Achievements:
- Created events about Ukrainian gambling industry, biohacking, Greece gambling, and WeGame (Ukrainian gaming festival)
- Participated in the creation of the largest architectural event in Ukraine (Interior of the Year/Ukrainian Urban Awards)

Note: Seeking to transition to a Junior specialist role in project management to deepen knowledge and skills in the field.
"
278,"
 Finance Assistant - Tradisa, Germany
• Automated revenue-controlling for a 30% reduction in processing time.
• Created financial reports and presentations for key stakeholders.
• Mastered customer-centric communication with Tesla, VW, and BMW.
• Administrated corporate digital infrastructure for financial division needs.

Jr. Compliance Manager - UFuture, Ukraine
• Managed delivery of gamified digital training program for 400+ employees.
• Designed supervisory board & board of directors framework.
• Conducted research, prepared documentation, and policies to streamline business processes.
• Devised high-impact business dashboards, presentations, reports, and decision-making trees for C-suite.
• Assisted Chief Compliance Manager with business operations and compliance program establishment.
"
279,"
 Financial expert with 10 years of experience in IT and financial areas, specializing in financial and tax accounting, as well as improving business processes in the company. Skilled in managing, motivating, mentoring, and directing teams to achieve personal and professional objectives. Knowledgeable in project management theory with practical experience as a project manager for a training project.

Training Projects:
2018 Project Management Courses at POWERCODE ACADEMY
""Clean Earth"" (waste recycling project):
- Compiled and analyzed the entire story
- Conducted Organizational Breakdown Structure
- Developed Work Breakdown Structure
- Designed SWOT analysis

Seeking a challenging role as an assistant project manager to leverage my hard work, perseverance, and proactivity in tackling interesting and difficult tasks.
"
280,"
 Hello, my name is Oleksandr, and I have over 12 years of work experience. I possess strong attention to detail, organizational skills, and a disciplined work ethic. As a strategic leader, I aim for excellence, efficiency, and resolving conflicts under high pressure. I excel in using interpersonal skills, time management, and problem-solving abilities. I am an organized and reliable candidate who effectively manages multiple priorities with a positive attitude and is willing to take on additional responsibilities to achieve team goals.

- First Deputy Head of the Tyachiv District | Tyachiv District State Administration – Tyachiv, July 2020 - February 2022 
• Saved 12 million hryvnias through cost-saving initiatives to address long-standing problems; 
• Collaborated with team members to achieve target results; 
• Proven ability to work under tight deadlines and in a fast-paced environment; 
• Successfully implemented the ""Accessible Medicine"" program of the President of Ukraine, leading to the construction of 5 and restoration of 4 outpatient clinics for family medicine with a total investment of 45 million hryvnias; 
• Developed and maintained effective working relationships; 
• Acquired and applied new skills to enhance efficiency and productivity; 
• Actively listened to customers, promptly resolved issues, and escalated major concerns to management; 
• Utilized coordination and planning skills to meet deadlines; 
• Prepared various written messages, reports, and documents; 
• Contributed to continuous improvement initiatives and problem-solving activities to support teamwork; 
• Utilized Microsoft Word and other software tools for creating documents and communications; 
• Exceeded goals through effective task prioritization and strong work ethic; 
• Demonstrated respect, friendliness, and willingness to assist as needed; 
• Participated in team-building activities to enhance working relationships. 

- Sales Manager | ""Olmar"" LLC, February 2019 - June 2020 
• Drove business growth by implementing a market expansion strategy to cater to diverse customer needs; 
• Successfully converted 95% of potential customers into paying clients through product and service presentations; 
• Conducted thorough research on competitor products, services, and trends to target prospects in other territories; 
• Monitored product line changes to meet dynamic market requirements. 

- Judge's Assistant | Tyachiv district court of Transcarpathian region – Tyachiv, March 2010 - January 2019 
• Prepared various written messages, reports, and documents; 
• Identified discrepancies in documents and promptly sought resolution; 
• Analyzed information, identified problems, and provided solutions; 
• Acquired and applied new skills to enhance efficiency and productivity.
"
281,"
 *Certificate of completion Powercode Academy course in project management
*Certificate of completion DES-2022 (Data Engineering and Security winter school)
*English: FCE (B2) 
*Certificate of completion DES-2021(Data Engineering and Security winter school)
*Germany: В2.1 (Goethe Institut Certificate)
* ""FlatFriend"" - project with team of volunteers, who want to create a quality product for the Ukrainian market. Participating as project manager.
* ""SPORT EVENTS"" project 2023 (creating and leading project as a project manager, pet-project during PM course)
*DES-2023 (Data engineering and security winter school) - MedPass (a platform for medical assistance to people). Participating in the development as a business analyst.
*DES-2022 (Data engineering and security winter school) - COV (Country of volunteers,a platform for matchmaking between companies and volunteers). Participating in the development as a business analyst

*Experience:
Confident in Trello, Jira, Confluence, Canva, SQL, Notion, Slack 
Proficient in Microsoft Office (Powerpoint, Word, Excel, Teams, Access)

*Skills:
- Teamwork and independent work
- Strong communication skills
- Stress tolerance and diplomacy
- Open to new ideas and suggestions
- Leadership qualities with clear argumentation
- Managerial skills with a critical thinking mindset
- Knowledge in Scrum, Agile, Kanban, V-Model, Waterfall.
"
282,"
 2011-2016 - Eco Harmony - Online Store Commercial Director
- Internet Marketing on various platforms
- Lead generation and management of leads database
- Handling client inquiries and requests
- Conducting team meetings and resolving conflicts
- Managing team tasks and ensuring their completion
- Facilitating international sales process
- Maintaining relationships with suppliers
- Identifying new revenue opportunities
- Developing relationships with key customers and partners
- Supporting all sales activities
- Recruiting and training staff
- Fluent in English
- Quick learner who thrives in changing environments
- Positive team player who can collaborate effectively
- Skilled in influencing others at all levels
- Strong business acumen
- Highly motivated and proactive
- Tactful handling of sensitive issues
- Excellent planning, analysis, and estimation abilities
- Proficient in risk management and P&L management
- Experienced in strategic planning and customer relationship management
- Proficient in staff training and development.
"
283,"
 Focused Improvement and Goal Alignment Coordinator, Quality Supervisor, Customer Relationship Management Coordinator, Quality Specialist. 

- Lead continuous improvement initiatives to drive productivity gains 
- Define and implement measures across the company 
- Organize and facilitate workshops
- Identify project opportunities and gain stakeholder approval 
- Train project leaders on FI methodologies 
- Report on DMAIC project status and results to managers and stakeholders 
- Measure project benefits and validate impact on total costs 
- Lead a team of 7 members in quality supervision 
- Manage projects and implement new controls 
- Enhance service delivery to markets 
- Develop relationships with markets on E2E processes 
- Drive standardization, simplification, and automation 
- Coordinate and support key projects within the market 
- Act as a single point of contact between the market and NBS 
- Communicate regularly with markets through emails, calls, and meetings 
- Manage SoD and High Sensitive Roles for markets 
- Implement compensating controls and monitor deviations 
- Prepare KPIs for monthly monitoring 
- Communicate with markets on quality assurance topics 
- Analyze and review reports from markets 
- Standardize, automate, and harmonize compensating control processes 
- Update documentation and Standard Routines.
"
284,"
 - Brand Manager and Wholesale Manager at Extreme Style Group of Companies for 6 years
- Promoted and developed brand on Ukrainian market
- Conducted transactions with wholesale customers and negotiated with foreign suppliers
- Conducted market analysis, long-term strategy planning, and budget planning
- Launched marketing campaigns, analyzed retail store sales, and prepared documentation
- Trained staff and prepared training materials
- Assisted in organizing competitions for Kitesurfing Federation of Ukraine and children's competitions in alpine skiing and roller skating
- Received diploma from Junior Project Manager course at Laba Group in spring 2023, scoring 191 points out of 200 
- Skills: task prioritization, error detection, forecasting, project management methodologies 
- Looking to further develop project management skills in a company with interesting tasks and a good leader, without bureaucracy.
"
285,"
 I have completed the Google Project Management Certificate program and obtained a Course Certificate in Agile Project Management. Additionally, I have taken a course in Agile with Atlassian Jira. As a former lawyer seeking a position as a project manager, I am dedicated to long-term growth, innovation, and continuous improvement.

In my previous role in the field of educational legislation, I was responsible for organizing the work of the department from the ground up. I specialized in regulatory and legal matters, overseeing cases related to educational rights violations and analyzing current legislation. Notably, I played a key role in proposing changes to the resolution of the Chief State Sanitary Doctor of Ukraine dated August 22, 2020, No. 50.

Furthermore, I developed a proposal for a document outlining the accounting of working hours and wages for pedagogical workers during distance and mixed learning, particularly in response to the pandemic. During a project at the International Renaissance Foundation, I conducted analysis on educational law amidst martial law.

I am seeking a mentor who can help me expand my knowledge and develop valuable skills in project management, especially in the realm of IT project management. I believe that this growth opportunity will enable me to make significant contributions to a company and enhance my competitiveness as an employee.
"
286,"
 Former Workforce scheduling coordinator with 2 years of experience in WFM (Vinted project), currently finishing IT Project Management course. Experience in managing team, serving as a POC between internal teams and stakeholders. Successfully improved workflow from constant critical escalations to occasional minor issues. Trained WFM team members and implemented processes to simplify billing. Completed CLIMB Leadership program and presented Team Cross-training project. Currently studying PM Agile methodologies and tools, implementing them in pet project. Previous experience includes customer support representative, language specialist (English, Spanish), freelance copywriter, and queue monitoring specialist.
"
287,"
 Experience:

- 12 years in HR and resource management in multicultural environments
- Managed up to 6 people in leadership roles, as well as individual contributor
- Extensive experience in managing Human resources, recruitment, budget management, conflict management, and people management
- Established processes from scratch including onboarding, performance management, motivation programs, candidate experience, and education
- Close collaboration with stakeholders from US, UK, Switzerland, and Germany
- Strong negotiation skills and problem-solving approach
- Completed Project Manager retraining program
- Constantly working on identifying and covering gaps

Current Responsibilities:

- People Management of the competence group up to 140 people
- Budget and cost management, including crisis response
- Support of the PM office with implementation of the staffing strategy
- Business support in terms of retention strategy
- Career and personal development, retraining, mentorship programs assistance
- Promotion of the internal employer brand
- Conflict management
"
288,"
 KRILIA CREATIVE AGENCY, KYIV, UKRAINE
2016-2022: Executive Director
2012-2016: Project Manager, Tour Manager
2010-2012: PR Manager

Other Work Experience:
2020: Nebokray Films Production, Kyiv | Production Manager
2018: Extreme-Music-Fest Sloboda, Kharkiv | Executive Director
2012-2013: Kyivticket Ticket Service, Kyiv | Partner Relations Manager
2010-2011: Kozirnaya Karta Restaurant Chain, Kyiv | Art Director

Education:
Project Management in IT | Beetroot Academy
- Project and Waterfall stages
- Agile and Scrum Framework
- Soft skills for teamwork
- DevOps Culture
- Risk/Cost/Quality management

QA Manual | Beetroot Academy
- Testing web applications, web services, and mobile testing

Anatomy of Facebook/Instagram Advertising | Wowtarget

Skills:
- Attention to detail
- Assiduous approach to learning
- Analytical skills
- Strategic planning
- Team leadership

I am dedicated to the success of any company I work for and bring a wealth of experience and skills to the table.
"
289,"
 In the last 2 years, I have worked as a marketologist and content manager on freelance and as a contractor in a marketing agency. My marketing experience includes social media accounts promotion, project management, customer engagement, marketing strategy development, targeted advertising, lead generation, copywriting, and graphic design.

I have worked with over 17 industries, including medicine, beauty, dietetics, charity, fitness, leisure, educational sales. I possess good organizational and process optimization skills, managing 8 projects simultaneously by effectively allocating time and setting tasks for subordinates.

Managers at the marketing agency noted strengths such as proactivity, desire for self-improvement, and being a good team player. In my role as a project manager, I focused on customer engagement and lead generation through methods such as newsletter advertising and social media. I guided clients from the first call to successful project completion, organized team work, and supervised timelines and offline events.
"
290,"
 For the past 5 and a half years, I have worked as an aviation project manager at Aviation Company ""Ukrainian Helicopters"" specializing in helicopter transport services for United Nations peacekeeping operations in Africa. In this role, I was responsible for project set up activities and overall project supervision in countries such as South Sudan, Somalia, DRC, and Republic of Mali. 

My most significant accomplishment was successfully setting up and overseeing operation bases in Republic of Mali, overseeing a team of almost 70 people and managing 5 advanced helicopters. In September 2020, I obtained my Certified Associate Project Manager (CAPM) certification from Project Management Institute.

Now transitioning into IT, I am motivated by the opportunity to join a dynamic community of professionals creating innovative products and services for clients. Despite limited IT experience, I bring strong English proficiency, exceptional organizational and communication skills, and a proven ability to thrive in fast-paced environments. I am willing to go above and beyond for team and project success, maintaining a positive ""yes-can-do"" attitude towards all tasks.

I am currently seeking an entry-level position or internship in Project Management/BA, eager to gain new knowledge, experience, and tackle fresh challenges in the field.
"
291,"
 As the manager of 4MEN Barbershop, I recruited and trained professionals, organized client feedback, and fostered team communication, resulting in a 50% increase in client flow and an 87% return rate. As head of the state project ""The scheme of sanitary cleaning of the villages Horenka and Moshchun,"" I led a successful team effort, despite delays due to the Russian-Ukrainian war. I have extensive experience in beauty, health, and production, with a focus on team management, project development, and coordination. My additional experience includes advising businesses on investments, business models, target audience research, and digital marketing strategies. I am proficient in various programming languages/frameworks such as Ruby, Java, Haskell, and Scala, and aim to further develop my skills in people management and process coordination within an IT team setting. My strengths lie in communication, problem-solving, process organization, and understanding of human behavior.
"
292,"
 Experience:
- Held 3 positions in 2 different companies over the past 5 years
- Worked extensively with documents, agreements, and estimates
- Emphasized the importance of well-done documentation for successful projects

Skills:
- Strong team player with experience coordinating with individuals with different approaches and characters
- Knowledge absorption and direct attachment to cases and clients by working closely with Sales managers
- Experience introducing and implementing updates in the Sales Department, launching new processes, and ensuring effective team use
- Skilled in project management, process improvement, and close teamwork with team members
- Successfully managed the smooth record migration of 20 sales reps to an internal CRM system

Goals:
- Eager to join a team of enthusiastic individuals passionate about exploring, developing, and growing
- Looking forward to opportunities for career advancement, well-established teamwork, hands-on training, and mentorship from senior managers
"
293,"
 Founder and Head of Online Store
2011 - 2022
- Developed and implemented customer acquisition strategies
- Built a unique trade offer for the Ukrainian market
- Established processes for working with clients (B2B, B2C)
- Created business plans and drove business development
- Designed loyalty programs and marketing activities
- Produced unique content for Instagram
- Managed team of up to 6 people, implemented motivating programs
- Developed templates for order fulfillment monitoring and statistics tracking

Logistics Customer Service Specialist (Reporting)
2012 - 2015
- Produced reports on shipments using SAP and Excel
- Analyzed average truckload weight and product freshness
- Managed orders for POSM materials in SAP
- Extracted data on product balances in company warehouses from SAP
- Prepared daily reports on warehouse stock replenishment
- Calculated forecast supplies fulfillment
- Optimized processes through automation using Excel macros
- Implemented Lean methodology to enhance efficiency
- Provided customer support (B2B)
- Collaborated with various departments and monitored KPI implementation

Seeking a role in a company where I can utilize my expertise in accounting, finance, management, and IT to drive innovative and profitable projects. I prioritize creating win-win situations for both the company and the client, focusing on efficient and high-quality project delivery while providing excellent client satisfaction.
"
294,"
 Entrepreneur
10/2013 - Present, Kyiv, Ukraine
Health supplements online stores
- Successfully grew two online stores from 30 products to over 1000
- Developed store that operated for 5 years before transfer to new platform
- Communicated with suppliers and clients from Ukraine, USA, and Europe
- Transitioned from hands-on employee to managerial role, providing market entry advice to colleagues

Freelance Nocode Developer
10/2021 - Present
- Developed and supported web projects for clients in the US and Europe
- Overcame challenges with limited functionality
- Achieved 100% customer satisfaction rate
"
295,"
 - Built 11 sales departments in 5 niches
- Over-fulfilled plans by an average of 30%
- Closed 4 contracts in a month after starting to sell in English
- Managed a team of 15 people
- Worked in sales from 2019 to 2022, progressing from salesperson to team leader, and then to Head of Sales and consultant on building sales departments
- Responsibilities included increasing sales, communication, team management, customer interaction, process development, and optimization
- Consistently exceeded sales targets in all roles, contributing to the rapid development of projects
- Experience as a project manager on non-technical projects, with a technical education background and knowledge of programming
- Strong ability to communicate with clients and understanding of product development processes
- Interested in pursuing opportunities in the technical field
"
296,"
 Project Manager Assistant at Brain Best
December 2018 - Present
- Managed Brain Best Online Courses for the local market
- Initiated courses, conducted risk analysis, and communicated with stakeholders
- Developed market research, produced courses, and controlled tech tasks for development team

Marketing Manager at Volans
January 2018 - October 2018
- Led Volans ICO and Volans Blockchain Wallet projects
- Prioritized development backlog, analyzed risks, and conducted market research
- Planned marketing activities, communicated with stakeholders, and set public relations
- Organized marketing events, wrote public documents, and monitored product community support

Self-employed Media Buyer
September 2017 - April 2018
- Managed successful advertising campaigns for Hashflare, Mamsy.ru, and MoneyClick
- Conducted market research for CPA offers, communicated with brands, and planned advertising campaigns
- Liaised with designers for graphic content creation, executed campaigns, and analyzed marketing metrics
"
297,"
 Front desk manager, Park Hotel Golosievo, Kyiv

- Act as the face of the establishment to welcome visitors
- Ensure employees are attentive, friendly, helpful, and courteous
- Coordinate front desk activities and supervise support staff
- Maintain working relationships with all departments
- Interact with customers in person and over the phone
- Handle guest inquiries and complaints
- Compile occupancy and financial reports for management
- Direct and coordinate front desk activities
- Generate daily and monthly reports for front office department
- Check cashiers in and out and verify banks and deposits
- Enforce cash-handling, check-cashing, and credit policies
- Operate Front Office computer system, including software maintenance and report generation
"
298,"
 Specialties:
- Project management (web, mobile apps, interfaces development)
- Product management
- Business analysis
- Business development
- Digital marketing
- UX
- Negotiations
- Excellent communication skills
- Agile/Scrum Processes Experience (multiple roles)
- Multilingual (fluent English, Ukrainian, Russian; basic German, Spanish)

Managed full-cycle web development solutions projects and products. Experienced in financial management, capturing and documenting requirements, team management (up to 15 members), and working in various industries such as advertisement, video production, and marketing agency. Worked with projects ranging from two weeks to six months in duration. Utilized Agile/Scrum methodology in the last 6 months. Seeking professional growth in a large team with diverse projects and a focus on high-quality management. Not interested in sales responsibilities.
"
299,"
 - Worked with successful crypto project
- Managed a team
- Increased revenue of the project by updating digital marketing approach
- Graduated from two universities and received a master's diploma of international education

GlobalUp company
04/01/2022 - present time
Project Coordinator

Responsibilities:
- Effective client management and development (follow up and updates calls/emails)
- Managing creative projects through project management software Monday.com
- Preparing compelling pitches, proposals, and briefs (market research, and ideas pitch)
- Bringing creativity and copywriting skills to the table (plan SMM calendar, brief creative and web development teams for website, presentation, etc.)
- Support and optimize the digital marketing campaign planning process (Google Ads, Social media ads, etc.)
- Support and optimize the PR campaign planning process (Influencers and Media)

National Aviation University
12/19/2016 - 11/11/2020
Various Marketing, Advertising, and Communication Roles

Responsibilities:
- Participation in the development of communication strategy
- Communication support of Instagram, Facebook, Telegram, and TikTok pages in social networks, according to the developed communication strategy
- Creating photo and video content
- Visual design of social networks
- Writing news, posts for social networks Instagram, Facebook, Telegram
- Maintaining Instagram, Facebook, Telegram, TikTok pages
- Analytical reference of results of conducting pages
- Preparation of references and technical tasks for the photographer, videographer, and designer
- Update photos and videos of university departments
- Preparation, placement, and updating of information on external resources of the university.
"
300,"
 Experience:

- Head (Chairman) at the primary trade union organization of students and cadets of the State Tax University
    - Initiated, planned, performed, and reported on various projects
    - Led and motivated a team of 16 members, part of a total of 97 members in the organization hierarchy
    - Conducted daily/weekly meetings with the team, stakeholders, and partners

- Sales Manager at Investment group ""MOLODIST""
    - Conducted business negotiations and sales activities
    - Prepared and submitted reports
    - Provided customer service support
    - Managed budgeting processes
    - Worked with CRM systems

Skills:
- Project Management skills gained from learning about Project Management in IT
- Strong leadership and team management abilities
- Excellent communication and organizational skills
- Budgeting and financial management expertise

Pet-Project:
- Developed a mobile application called LikarPoruchUA, which connects Ukrainian-speaking users abroad with Ukrainian doctors for consultations at affordable prices
- Solely responsible for creating the project scope, roadmap, organizational structure, budgeting, mind map, decomposition/WBS, risk register/RACI, and schedule management plan

Notable Achievements:
- Led the construction project of a 5-story building with 23 participants and a budget exceeding $80,000
- Increased organization membership by 30% through the implementation of a successful plan
- Organized external events for over 2,000 people
- Created a system for accounting for trade union members that included trade union member cards with discounts at partner stores

Objective:
Seeking opportunities for growth and development in a challenging environment where I can continually improve, make a significant impact, and contribute effectively.
"
301,"
 Lead and implement HS CAPEX projects for 14 millionth UAH
Stay-up project Project Manager
Improvements in organizational, training, and plant beatifications
Management of company volunteering activities
Goit Project Manager course 01.2023 – current time
Create project website, mobile platform for meditation
SOW, mind map, WBS of project, Project RACI, Risk Register, Schedule Management plan, Jira Project Planning, Project Mind map
Head of Health & Safety Department CRH Ukraine 07.2016 – current time
Leading working teams (4 person)
Department management
HS Project Management
Annual HS Budgeting OPEX & CAPEX
Communication between parties
Health & Safety Officer CRH Ukraine, Odessa 02.2015 – 06.2016
Department management
Archiving goals, meeting deadlines
Unsafe acts, conditions Risk assessment
"
302,"
 Successful experience in budgeting, planning, project control, and team management in the construction industry. Graduated from IT project management courses at Go IT, completed a scrum and agile course on the Skillsetter platform. Currently in Dexola_IT_camp studying manual testing to expand knowledge as a PM. Proficient in preparing various project management and quality assurance documents. Experienced in using programs such as Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/sheets, 3d max, Archicad, and Enscape.
"
303,"
 Project Manager with a background in PM courses from computer school “Hillel.” Skilled in project planning, methodologies, risk management, team communication, budget management, and resource allocation. Strong problem-solving abilities and a focus on cultivating a positive work environment. Currently working on improving English language skills to achieve an Advanced level. Interested in creative and innovative team environments. Passionate about efficient time management and enjoys engaging in productive activities during leisure time.
"
304,"
 Hillel IT School
53630296, Project Management
Mar 2023 - May 2023
Grade: Excellent
- Understanding the SDLC project
- Approaches to software development (Waterfall, Kanban, SCRUM, Lean, XP)
- Project documentation. Stakeholders.
- Project communications management.
- Collection of requirements from the client.
- Management of the scope of work on the project.
- Resource management, team work.
- Project budget management.
- Team motivation.
- Time and schedule management in an IT project.
- Risk management in an IT project.
- Jira / Confluence

Group leader at ПП ""ІРВАН"" 2021-2023
Management of the construction process of the Internet communication network
in different regions of Ukraine. Team management. Project budget management.
Purchase of necessary equipment and materials. Maintenance of project
documentation.

Chef's assistant at Restaurant chain ""Італійський квартал"" 2019-2020
Food preparation according to standards. Team management. Documentation
management.
"
305,"
 Graduated from QA courses;
3+ years of commercial experience in Software Testing; 
Commercial experience in Project Management; 
Maintained 2 projects from start to implementation;
Created a knowledge base for QA trainees; 
Mentored newbies;
Guided projects utilizing SCRUM and Kanban methodologies;
Responsibilities included organization of software development processes, meeting planning and moderation, task identification and monitoring, development and maintenance of project documents, note-taking during meetings, acting as a liaison between project team members and stakeholders, eliminating obstacles within the project team, and conducting Retrospective, Planning, and other SCRUM events;
Seeking to expand experience in project planning and business analysis.
"
