,modified
400,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Results-driven professional with over 22 years of experience in people management, project budgeting, planning, and forecasting. Proficient in startup project management, marketing, and eCommerce. Holds a Prince2 certification and completed an IT Project Management course. Fluent in English, Ukrainian, and Russian.

---

**Core Competencies**  
- People Management  
- Project Budgeting, Planning, and Forecasting  
- Startup Project Management  
- Marketing Strategy and Digital Promotion  
- eCommerce Management  
- IT Project Management Frameworks (Waterfall, Agile, Scrum, Kanban)  
- Risk Management and Quality Assurance  
- Proficient with Project Management Tools (Jira, Gantt Chart, WBS, etc.)

---

**Professional Experience**  

**Julian House (UK)**  
Hub Coordinator  
May 2023 – Present  
- Organize and facilitate sessions, programmes, and events in Community Hubs, ensuring effective communication and collaboration between company clients and managers.  
- Maintain accurate records of Hub activities, attendance, and client feedback for performance evaluation and future planning.  

**Beauty Salon Skin Journey (Singapore)**  
Founder and Project Manager  
Sept 2018 – Sept 2021  
- Launched the business from scratch, overseeing the full-cycle process.  
- Defined the scope and functionality of the website; delivered it with external designers, developers, and testers.  
- Managed SMM and digital promotion with external vendors.  
- Coordinated a team of 6 people; worked with suppliers and distributors.  
- Oversaw retail sales, finance, and analytics.  

**eCommerce Business Topstop (Ukraine - USA)**  
Founder and Project Manager  
Nov 2009 – Jul 2017  
- Defined the scope and functionality of websites; delivered them with external designers, developers, and testers.  
- Executed digital promotion with external vendors.  
- Remotely coordinated a team of 5 people; managed purchasing, shipment, and delivery to clients.  
- Handled finance and analytics.  

**Zhitomirskie Lasoschi (Kiev, Ukraine)**  
Head of Marketing Department  
June 2007 – July 2008  
- Planned and supervised marketing strategy implementation.  
- Managed the annual budget of the Marketing Department.  
- Developed the company's assortment policy.  
- Supervised five sections of the Marketing Department, including Marketing, Advertisement and PR, Design, VIP-retail, and Technological innovations.  

**Brand Manager in Various Companies**  
1999 – 2007  

---

**Education & Certifications**  
- Prince2 Certification  
- IT Project Management Course, Web Academy  

---

**Languages**  
- Advanced English  
- Fluent Ukrainian  
- Fluent Russian  
"
401,"
 Achievements:
- Helped build the business from the ground up.
- Reduced staff turnover from 50% to 10% by enhancing staff engagement.
- Conducted negotiations with suppliers, resulting in reduced product prices that saved company budget.
- Increased sales by 30% annually.
- Boosted customer confidence in the company by 20% each year.
- Enhanced company reputation by welcoming guests.
- Fostered a favorable team atmosphere, preventing personnel turnover.
- Optimized office expenses to save the company's budget.
- Consistently exceeded monthly sales targets.
- Initiated the expansion of the product assortment, leading to additional profits.
- Created a friendly team environment that eliminated conflicts.

June 2018 - Present  
Manager, Service Company PP, Kyiv  
Responsibilities:  
- Recruitment.  
- Supplier management.  
- Business analysis.  
- Budget planning.  
- Development and implementation of marketing strategies.  
- Salary adjustments for employees.  
- Conflict prevention and resolution within the team and with clients.  
- Team training and conducting meetings.  
- One-on-one meetings with team members.  
- Client relations management.  
- Conducting surveys.  

October 2010 – May 2017  
Promoted from Administrator to Director, Service Company PP, Kyiv  
Responsibilities:  
- Organization and control of all working processes.  
- Recruitment.  
- Documentation and record-keeping.  
- Supplier management.  
- Team training.  
- Conducting meetings.  
- Organizing corporate events.  

November 2009 - June 2010  
Administrator, Law Company “Nobilex”, Ltd, Kyiv  
Responsibilities:  
- Welcoming guests.  
- Purchasing necessary materials.  
- Organizing meetings.  
- Document management.  
- Completing personal assignments for the supervisor.  

December 2008 - October 2009  
Manager for Client Relations, “Cosmo-Trade” Trading Company, Ltd, Kyiv  
Responsibilities:  
- Selling materials and equipment for beauty salons.  
- Managing relationships with regular clients.  
- Acquiring new clients.  

June 2008 – August 2008  
Shop Assistant, “Teez To Pleaze”, Mackinaw City, MI, USA  
(Through the student program ""Work and Travel"").  

May 2008  
Assistant-Interpreter, Event Company “Initia”, Kyiv  
- Organized the annual summit for the European Bank for Reconstruction and Development at the October Palace in Kyiv.  

Seeking a position as a Junior Project Manager or Project Coordinator in the IT field to leverage my skills in organizing and managing projects successfully.
"
402,"
 [Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
  
**Professional Experience**  
  
**Junior IT Coordinator**  
Luxoft  
11.2021 – Present  
Kyiv City, Ukraine  
- Work in the Service Desk system (based on Jira)  
- Process applications and assist employees with password issues  
- Monitor applications to ensure efficient system operation  
- Collaborate with system engineers  

**IT Project Manager**  
Discord bot: Theory.Lib  
08.2021 – Present  
- Participate in the development of a bot on the Discord platform  
- Organize the work of team members developing the bot  
- Pre-release check of information for errors and shortcomings  
- Create a conducive workplace for team collaboration  
- Address conflict and contentious issues among team members  

**Junior Project Manager**  
Independent Animation Studio Karandash  
03.2021 – 06.2021  
- Manage projects for animated films  
- Organize animators’ workflow  
- Calculate animators' salaries  
- Run the f-track for project tracking  
- Distribute responsibilities among animators and supervisors  

**Project Manager and Team Lead**  
Comics Translation Groups  
2017 – Present  
- Manage all processes related to comics translation  
- Organize teams for English to Russian translation  
- Track high-quality and timely releases of translation chapters  

**Logistics and Document Management Specialist**  
Yukon Transit  
07.2019 – 09.2019  
- Organize and manage company documentation  
- Control personnel-related documents  
- Perform accounting of transportation costs  
"
403,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Dedicated professional with extensive experience in project management, team coordination, and customer relationship management. Proficient in managing diverse teams and delivering high-quality results within deadlines. Excellent communication skills and a strong ability to analyze business requirements. Seeking remote opportunities to leverage my skills and experiences.

---

**Work Experience**  

**Junior IT Project Manager**  
True Global  
July 2023 - Present  
- Managing QA and DevOps teams.  
- Analyzing business requirements and performing research of varying complexity.  
- Proposing solutions and ideas for product enhancement.  
- Preparing specifications.  
- Participating in backlog grooming and sprint planning.  

**Project Manager**  
+kouple  
June 2020 - June 2023  
- Managed existing customers, including key accounts.  
- Engaged in sales activities and searched for new customers.  
- Communicated with and managed B2B clients.  
- Coordinated international and local deliveries.  
- Oversaw the production process and managed document flow.  

**Volunteers Team Leader**  
Theatre.love  
April 2019 - May 2020  
- Coordinated volunteer teams in Kyiv and Lviv.  
- Searched for and recruited new volunteers.  
- Established friendly and trusting relationships with volunteers.  
- Resolved conflicts and prevented new issues.  
- Monitored and controlled volunteer work.  

**Project Coordinator**  
Scheduling Worldwide™ by 4Service™  
November 2018 - March 2019  
- Worked on large marketing research projects in Switzerland, the Czech Republic, and The Netherlands.  
- Coordinated mystery shoppers and maintained communication with them.  
- Recruited new mystery shoppers.  
- Implemented short-term projects while working in a project team.  

---

**Volunteer Experience**  

**Active Volunteer and Member**  
Anomaly  
September 2018 - January 2020  
- Taught A1-A2 English to ATO and OOS veterans.  

**Founding Member and Head**  
University Cinema Club  
[Dates]  
- Co-founded and led the cinema club at the university.  

---

**Certifications**  
- QA Engineer Certificate, Udemy, April 2023  
- EFSET English Certificate 66/100 (C1 Advanced), September 2023  

--- 

**Skills**  
- Project Management  
- Team Coordination  
- Customer Relationship Management  
- Business Analysis  
- Communication Skills  
- Volunteer Management  

---

**Looking for:**  
Remote positions only.  
"
404,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**  
Dynamic professional with diverse experience in project management, political technology, and business analysis. Strong capabilities in critical thinking and stress management, with a proven track record of timely task completion and effective workflow planning. Skilled in negotiation and public relations with a passion for continuous learning.

---

**WORK EXPERIENCE**  

**JUNIOR PROJECT MANAGER**  
**INTERLINK** | 2019  
- Conducted a local project utilizing Scrum methodology.  
- Controlled project teamwork to ensure effective collaboration.

**CO-FOUNDER OF THE FREE WINGS NGO / ASSISTANT POLITICAL TECHNOLOGIST**  
| 2018-2019  
- Engaged with the public to promote organizational initiatives.  
- Submitted budget participation projects to secure funding.  
- Managed content and organized meetings/events to facilitate operations.  
- Collected, processed, and analyzed necessary information using pivot tables and charts.  
- Contributed to the development of candidate strategy.

**JUNIOR BUSINESS PLANNING ANALYST**  
**KRESTON GCG: ACCOUNTING AND CONSULTING** | 2017-2018  
- Worked with pivot tables, charts, and large datasets for analysis.  
- Collected, processed, and analyzed information for projects.  
- Fulfilled individual project tasks and contributed to business strategy development.

**UNIDO INTERNSHIP**  
**UN ENERGY EFFICIENCY PROJECT** | 2016-2017  
- Participated in the development of a business project for grant purposes.  
- Attended international conferences to enhance knowledge and networking.  
- Completed training on energy conservation and project information analysis.

---

**SKILLS**  
- Project Management  
- Scrum Methodology  
- Data Analysis and Management  
- Public Relations and Negotiation  
- Time Management  
- Critical Thinking  
- Content Management  

---  

**EDUCATION**  
[Your Degree]  
[Your University] | [Year]  
"
405,"
 Junior Project Manager  
Nov 2021 - May 2022  
TECO, Kharkov  
- Managed software development projects for free cooling systems for ""Kyivstar""  
- Developed and coordinated project plans  
- Set and controlled tasks  
- Reported on project status  
- Managed client interactions and communications  
- Organized and facilitated work meetings  

Head of the Quality Management Department  
Nov 2019 - Feb 2022  
LCC ""NewTon"", Kharkov  
- Organized team work, overseeing 10 members and task allocation  
- Authored project documentation and instructions  
- Improved working processes  
- Distributed and ensured adherence to working plans  

Production Manager  
Apr 2018 - Aug 2019  
JSC ""Technology"", Sumy  
- Managed a team of 600 personnel  
- Oversaw project management for the establishment of new production departments  
- Created and authored project plans, controlling timelines and budgets  
- Reported on project status  
- Managed client interactions and communications  
- Organized and facilitated work meetings  
- Handled risk management and conflict resolution  
"
406,"
 Junior Project Manager  |  Oct 2019 - Mar 2020  
- Assisted the Lead Project Manager in reporting and resource planning.  
- Performed preliminary project estimation.  
- Supported the project team in identifying methods for risk mitigation and issue resolution.  
- Configured JIRA to meet project requirements.  
- Facilitated meetings and various SCRUM ceremonies.  

Client Relationship Manager  |  Feb 2017 - Sep 2019  
- Developed and nurtured relationships with existing and new clients through negotiation, product presentations, sales meetings, contact management, and satisfaction tracking.  
- Led the Implementation Project by planning terms and stages of project implementation, creating a Communication Strategy, executing Readiness Assessment, identifying and managing project risks, ensuring the completion of end-to-end testing, providing startup metrics and feedback, conducting handovers to operations, and participating in internal and external post-project reviews.  
- Engaged in projects that allowed for skill development and professional growth.  
"
407,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**EDUCATION**  

**Google Project Management Certificate**  
Kyiv, Ukraine  
Period: 6 months  
- Course in managing projects using analytical methods and search methodology (Agile), writing project documentation, and developing strategic communication skills.

**Google Fundamentals of Digital Marketing**  
Kyiv, Ukraine  
Period: 1 month  
- Course of fundamentals in basic marketing knowledge for developing or building a business.

**Web Design Fundamentals**  
Kyiv, Ukraine  
Period: 10 hours  
- Course of fundamentals in basic knowledge of Web Design, including 5 hours of practical lessons (lectures) and 5 hours of practical training.

**Capstone: Applying Project Management in the Real World**  
Kyiv, Ukraine  
Period: 1 month  
- Course practices applying the project management knowledge and skills learned.

**Agile Project Management**  
Kyiv, Ukraine  
Period: 1 month  
- Course explores the history, approach, and philosophy of Agile project management, including the Scrum framework.

**Project Execution: Running the Project**  
Kyiv, Ukraine  
Period: 1 month  
- Course delves into the execution and closing phases of the project life cycle.

**Project Planning: Putting It All Together**  
Kyiv, Ukraine  
Period: 1 month  
- Course explores how to map out a project in the project planning phase.

**Project Initiation: Starting a Successful Project**  
Kyiv, Ukraine  
Period: 1 month  
- Course shows how to set a project up for success in the project initiation phase.

**Foundations of Project Management**  
Kyiv, Ukraine  
Period: 1 month  
- Course is the first in a series of six designed to equip students with skills applicable to introductory-level roles in project management.

---

**PROFESSIONAL EXPERIENCE**  

**JUNIOR PROJECT MANAGER**  
Online-store «Pleer»  
August 2021 — October 2022 (1 year 2 months)  
- Successfully launched and operated an online sales channel with an efficient development process and team organization.

**MARKETING AND SALES SPECIALIST**  
Online-store «Pleer»  
February 2021 — August 2021 (6 months)  
- Optimized marketing and sales costs and resources, improving competitive advantage and market position.

**SALES MANAGER**  
Online-store «Pleer»  
June 2018 — February 2021 (2 years 9 months)  
- Improved communication, negotiation, problem-solving, and customer service personal skills.

**INSURANCE SALES MANAGER**  
PJSC «Ingosstrakh»  
June 2015 — June 2018 (3 years 1 month)  
- Contributed to the branch exceeding the sales plan and improving customer satisfaction and loyalty.

**MIDDLE BANKING SALES MANAGER**  
PJSC «VTB Bank»  
May 2013 — September 2014 (1 year 4 months)  
- Led and strengthened positions in the sales of banking services in Kharkiv.

**BANKING SALES MANAGER**  
PJSC «VTB Bank»  
December 2012 — May 2013 (5 months)  
- Helped the branch occupy a leading position in sales of banking services.

**BANKING SALES MANAGER**  
PJSC «Alfa-Bank»  
April 2012 — December 2012 (9 months)  
- Achieved and strengthened leading position in sales of banking services in Kharkiv.

**BANKING SALES MANAGER**  
PJSC «A-Bank»  
June 2011 — November 2011 (6 months)  
- Contributed to the new branch rivaling with leaders in banking service sales in Kharkiv.

---

**PROFESSIONAL GOALS**  
- To utilize my skills in project management, web development, and sales for the successful delivery of online businesses, e-commerce, and edtech projects.  
- To grow professionally and gain knowledge from expert Project Managers in project management, edtech, and digital marketing.
"
408,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Highly skilled in technical documentation and data analysis with 1 year and 6 months of general experience in project management. Proven ability to clarify product requirements and client needs while driving product implementation in alignment with project vision. Demonstrated success in fostering a collaborative team environment and maintaining effective communication with stakeholders.

**Skills**  
- Technical Documentation  
- Data Analysis and Structuring  
- Project Management  
- Manual Testing  
- Bugs Tracking  
- Tools: Trello, Jira, GitLab, RealtimeBoard, Draw.io  

**Project Management Experience**  
- Collaborated with multiple teams on projects ranging from simple applications to complex initiatives involving concurrent teams.  
- Managed cross-functional teams consisting of:  
   - Android: Kotlin, Java  
   - iOS: Swift, Objective-C  
   - Back End: PHP, Python  
   - Front End: JavaScript, Angular  
   - React Cross Platform: React Native  

**Roles Held**  
- Junior Project Manager  
- Trainee Project Manager  
- Assistant Project Manager  

**Key Responsibilities**  
- Clarified product requirements and client needs while driving product implementation.  
- Worked closely with engineering and product teams to ensure client satisfaction.  
- Promoted a ""Be the client"" culture within the team to enhance service quality.  
- Supported self-organization of teams and implementation of Agile values and principles.  
- Managed project schedules, budgets, and scope effectively.  
- Maintained effective communication and reporting with stakeholders.  
- Assisted the Product Owner with grooming and product backlog maintenance.  
- Facilitated team activities, including sprint planning, stand-ups, and retrospectives.  
- Resolved issues within the team to ensure project progress.  
- Identified, classified, prioritized, mitigated, and developed contingency plans for project risks.  
- Enhanced development team throughput by proactively addressing potential issues and roadblocks.  

**Objective**  
To leverage my project management skills and technical expertise to contribute effectively to the company and further develop as a specialist.  
"
409,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Objective**  
Dynamic and results-oriented professional with over 2 years of experience in IT, seeking a Junior Project Manager position. Eager to leverage my background in project management, B2B communication, and business development to contribute to a forward-thinking organization.

**Professional Experience**  

**Account Manager**  
[Your Company Name]  
[Location]  
[Month, Year] – Present  

- Engaged in B2B communication with leading global pharmaceutical companies, fostering relationships and driving project success.  
- Conducted full-scale negotiations with customers in English and Japanese, ensuring clarity and alignment on project goals.  
- Classified and estimated projects using a time & material model, facilitating accurate project planning.  
- Set up projects in Jira, detailing technical descriptions, tasks, and sub-tasks for efficient project tracking.  
- Managed projects throughout the production pipeline, coordinating with production teams to ensure timely delivery of outputs.  
- Oversaw project budgets and costs, including invoicing, to maintain financial control and accountability.  
- Achieved and exceeded the account’s sales plan and business development goals through strategic initiatives.  
- Actively participated in voice meetings with clients in English and Japanese, providing updates and addressing concerns.

**Sales Representative**  
[Your Company Name]  
[Location]  
[Month, Year] – [Month, Year]  

- Attained a personal sales record of 200,000 Euro in 2019, demonstrating strong sales acumen and a results-driven approach.  
- Contributed to business development and sales strategy planning, focused on expanding market reach and driving revenue growth.  

**Project Manager in Web Development**  
[Your Company Name]  
[Location]  
[Month, Year] – [Month, Year]  

- Successfully managed and completed over 200 IT projects in 2019, showcasing outstanding multi-tasking skills.  
- Monitored service level agreement (SLA) adherence to ensure project delivery met high-quality standards.  
- Collaborated with cross-functional teams to support project objectives and drive process improvements.  

**Education**  
[Your Degree]  
[Your University]  
[Location]  
[Month, Year]  

**Skills**  
- Project Management  
- B2B Communication  
- Sales Strategy Planning  
- Budget Management  
- Technical Setup in Jira  
- Fluency in Japanese and English  
- Data-Driven Decision Making  
- Web Development Knowledge  

**Professional Affiliations**  
[Relevant Professional Affiliations]  

**References**  
Available upon request.  
"
410,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**PROFESSIONAL SUMMARY**  
IT specialist with 4.5 years of experience, focused on professional development in Project Management. Proven background in accounting and HR.

---

**EDUCATION**  
**PM School**  
- Developed Project Charter (Vision)  
- Created Specifications (SRS by the IEEE 830 standard, User stories)  
- Established Work Breakdown Structure (WBS) using Gantt Chart  
- Conducted risk analysis, including risk identification, qualitative analysis, planning responses, and managing risk registers  
- Gained proficiency in Waterfall and Agile methodologies, including Scrum, Kanban, and LEAN  
- Enhanced people management skills  

---

**SKILLS**  
- Proficient in Microsoft Office Suite (Word, Outlook, PowerPoint)  
- Advanced user of Jira, Confluence, SharePoint, SAP, ERM, Navision, 1C  
- Solid knowledge of SDLC, with methodologies including Scrum, Kanban, and Waterfall  
- Experienced in composing project documentation such as Vision, SRS, and User Stories  
- Competent in creating WBS and Gantt Charts  
- Theoretical knowledge of Quality Assurance (QA)  
- Skilled in analyzing situations faced by Project Managers in daily operations  

---

**LANGUAGE SKILLS**  
- English: Upper-intermediate level  
"
411,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dedicated professional with experience as a co-founder and manager of a grocery store. Proven track record of optimizing operations, improving supplier relationships, and enhancing customer engagement. Strong communication, negotiation, and organizational skills, with a focus on project management and team development.

**Experience**  

**Co-Founder & Manager**  
[Your Grocery Store Name] - [City, State]  
[Start Date] – [End Date]  
- Collaborated with suppliers to identify and integrate high-quality products into store offerings.  
- Managed the selection of merchandise assortment to meet customer needs and preferences.  
- Recruited, trained, and supervised personnel, ensuring alignment with company standards and objectives.  
- Developed job descriptions and established performance metrics for staff.  
- Created and implemented corporate identity, including design of POS materials and fresh-bar menu.  
- Identified and optimized daily expenses, leading to increased sales and overall revenue growth.  
- Engaged in market analysis to increase the number of active customers by tailoring offerings to identified needs.

**Skills**  
- Strong communication and negotiation skills  
- Excellent organizational and problem-solving abilities  
- Project management knowledge with a keen interest in further development  

**Career Objective**  
Seeking a role that offers intriguing projects, opportunities for career advancement, and a collaborative team environment, preferably with a flexible schedule.
"
412,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**  

**Launching New Cafe**  
March 2023 — April 2023  
- Gathered and analyzed requirements from the customer, defined the scope, determined priorities, assessed, created, and distributed tasks.  
- Staffed and led the team, conducted interviews, monitored and measured staff performance.  
- Planned budgeting and tracked expenses.  
- Tracked and supported day-to-day operations and tasks progress status.  

**Medical Representative**  
Lviv  
August 2022 — February 2023  
- Increased negotiation skills when concluding contracts with healthcare providers.  

**Sales Manager**  
Travel Agency, Lviv  
February 2019 — August 2022  
- Introduced and studied new tourist destinations, engaged in staff training.  
- Initiated sales strategies that resulted in a 20% increase in sales.  

**Real Estate Manager**  
Lviv  
December 2017 — May 2018  

**Sales Representative**  
July 2014 — November 2017  
- Increased customer base by 30% and monthly sales by 20%.  

---

**Education**  
Successfully completed Project Management courses.
"
413,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated professional with strong strategic thinking, communication, and negotiation skills. Proficient in problem solving, project scheduling, change management, and risk management. Experienced in documentation leadership with a solid technical skill set in Python, SQL, MS Project, and Tableau.

**Experience**

**LB Photo**  
Administrator  
03/2020 - 09/2020  
- Managed order processes and optimized the online ordering system.  
- Enhanced communication channels with clients to improve service efficiency.  
- Oversaw the management of sales documentation.

**Music Label**  
Manager  
11/2018 - 03/2020  
- Managed and organized concerts, ensuring successful execution.  
- Conducted negotiations with external partners for collaborations and partnerships.  
- Implemented optimum resource planning to enhance operational efficiency.

**State Public Scientific and Technical Library of Russia**  
Manager of Librarianship  
Moscow, Russia  
03/2018 - 06/2018  
- Performed daily data input across multiple databases.  
- Managed collections and catalogs, ensuring resource accessibility.  
- Adapted to organizational changes with the implementation of automated information systems.  
- Collaborated with the bibliography department on content creation.

**Education**  
Undergraduate Student in IT  
[Your University]  
[Expected Graduation Date]

**Skills**  
- Strategic Thinking  
- Communication  
- Negotiation  
- Problem Solving  
- Project Scheduling  
- Change Management  
- Risk Management  
- Technical Skills: Python, SQL, MS Project, Tableau  

**Professional Development**  
Aiming to improve knowledge in Scrum framework and Agile methodologies, with aspirations to pursue a role as a Project Manager in IT projects. In my spare time, I enjoy solving problems using SQL and coding in Python.
"
414,"
 LEARNING PROJECT MANAGER  
Aug 2020 – Sep 2022  

- Facilitated the development of the company’s annual learning week program, managing a workstream of 4 people, achieving a 90% turnout and an 85% satisfaction rate for the voluntary event.  
- Ensured a smooth registration process for 450 attendees, including communication, calendar management, and session facilitation.  
- Managed a team of 11 people to produce educational courses for refugees, delivering results within a tight deadline of one month and a limited budget, successfully teaching 15 refugees in need and winning the company’s contest for best regional charity initiative.  
- Developed and implemented an onboarding program for new joiners, reducing onboarding time from 10 to 8 days.  
- Achieved budget savings by optimizing coach working hours by 15%.  
- Arranged incentives for participants, which increased satisfaction and encouraged feedback sharing by 30%.  
- Facilitated on-site logistics for an event at Cambridge College, handling registration for 500 attendees and liaising with external vendors.  

__________________________

EXECUTIVE ASSISTANT  
Sep 2019 – Aug 2020  

- Liaised with external stakeholders on key project events.  
- Ensured compliance with team norms.  
- Managed budgeting for annual team expenses, tracking and processing expenditures.  
- Successfully met all KPI goals for two consecutive years.  
- Organized 75+ team travel itineraries to support client relationship management.  

__________________________

LEARNING SPECIALIST  
May 2017 – June 2019  

- Coordinated the work of the speaking club for learners.  
- Provided SMM support for events.  
- Designed curriculum for educational programs.  
- Created and managed an educational resources database.  
- Introduced and implemented an assessment system to enhance academic performance and overall motivation.  

ESL TEACHER  
January 2015 – May 2017  

- Delivered English as a Second Language instruction to diverse learners.  
- Developed lesson plans and educational materials to meet learner needs.  
- Fostered a supportive and engaging learning environment.
"
415,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Experience**

**Line Producer / Project Manager**  
Department of Production of Prime Shows TV Channel «Ukraine»  
2018 - 2022  

- Managed document flow for projects, overseeing more than 30 unique contracts.  
- Negotiated and signed contracts with key contractors and top stars, collaborating with lawyers and financial experts for compliance.  
- Exercised budgetary control, ensuring timely settlements with counterparties.  
- Coordinated production processes across various project units to enhance efficiency.  
- Planned staff work schedules based on production needs to optimize resource allocation.  
- Prepared financial reports detailing expenses to monitor budget adherence.  

**Producer / Project Manager**  
[Your Company Name]  
2017 - 2018  

- Developed strategic planning for the company's growth, conducting market research and identifying opportunities.  
- Created presentations and commercial proposals, negotiating terms with clients to secure agreements.  
- Collaborated with key stakeholders and clients to define requirements and deliver innovative products.  
- Managed financial aspects, including budgeting, forecasting, and risk management, to ensure project viability.  
- Directed multiple projects simultaneously, each involving more than 20 individuals, to achieve objectives on time.  
- Analyzed completed work and implemented measures for continuous improvement in processes.  

---

**Education**  
[Degree] in [Field of Study]  
[University/Institution]  
[Year of Graduation]  

---

**Skills**  
- Project Management  
- Budget Management  
- Contract Negotiation  
- Team Coordination  
- Market Research  
- Financial Reporting  
- Strategic Planning  
- Stakeholder Engagement  
"
416,"
 LITS Academy  
SEP 2022 - OCT 2022  
- Studied Project Management knowledge areas and methodologies, including Agile, Scrum, Waterfall, and Kanban.  
- Explored motivation techniques and tools applicable to project management.  
- Gained insights into knowledge areas and process groups, focusing on scope and stakeholder management, as well as communication strategies.  
- Learned to estimate scope of work and engage in project planning.  
- Developed skills in team building, covering creation, formation, and functioning of teams.  
- Enhanced time management, self-management, and delegation competencies.  
- Acquired understanding of risk definition, identification, characteristics, management tools, operational activities status, reports, and metrics.  
- Improved emotional literacy, stress resistance, and conflict resolution abilities.  
- Gained knowledge in budget management and operating models.  
- Learned evaluation as a management tool, focusing on identifying development areas and competencies.  
- Studied quality management principles.  
- Explored burnout prevention strategies and work-life balance techniques.  

Gwynn Logistics (Logistics Coordinator)  
JAN 2021 - FEB 2022  
- Reviewed, prepared, and routed purchase orders.  
- Ensured the safe and timely pick-up of shipments.  
- Oversaw all supply chain operations.  

Discovery Montessori School (English Teacher)  
OCT 2019 - SEP 2021  
- Conducted small group and individual lessons.  
- Placed students in programs that best suited their needs.  
- Planned and implemented lessons focused on skill-building techniques for reading, writing, listening, and speaking.
"
417,"
 LocalUA • Walking Tours Application • Junior Project Manager  
01/21 - Present  
• Understanding of Software Development Lifecycle (SDLC)  
• Knowledge of project development methodologies (Scrum and Kanban)  
• Maintenance of project documentation  
• Coordination of team efforts – Android, iOS, Frontend, Backend, QA  
• Track and regulate workload of team members  
• Monitoring tasks and project deadlines control  
• Created and implemented work rules for teams within the project  
• Conducted Scrum Daily Meetings  

Hillel IT School • Courses • Project Manager (Student)  
06/20 - 08/20  
• Understanding of main project roles, artifacts, and ceremonies  
• Stakeholder analysis  
• Requirements management  
• Risks and conflict management  
• People management  
• Work with JIRA, Microsoft Project  
• Confident user of Microsoft Office  
• Basic knowledge of HTML, CSS  
• Understanding of software testing principles  

MD Fashion, Oodji • Store Manager  
02/16 - 09/17  
• Ensured uninterrupted operation of the store  
• Managed staff (hiring and training new team members, motivating them)  
• Planned sales volume of the store  
• Managed staff work schedules  
• Interacted with regulatory authorities  
• Prepared sales reports  
• Analyzed operations to facilitate planning  
• Experience in a customer-facing sales setting  

Responsible for inspiring the retail team to achieve and exceed sales and profit targets by ensuring that every customer receives an excellent overall experience. Successfully updated work processes that faced challenges. Cut staff and streamlined operations for efficiency. Skilled in organization, time management, and problem-solving. Possess comprehensive experience in team building and development, ready to implement these skills in a new environment. Seeking a permanent position for career growth and development.
"
418,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Education**  
Project Management Course  
Graduated with excellent results  

---

**Work Experience**  

**Logistic Manager**  
2021 - 2022  
- Developed a schedule of cargo flows and determined methods of delivery using various modes of transport.  
- Organized service planning, outlining stages and delivery timelines.  
- Managed the formation of necessary documentation for the shipment of goods.  
- Controlled the receipt of information regarding the arrival of cargo.  

---

**Barbershop Consulting**  
2021  
- Created a comprehensive business plan for a barbershop, including the vision and potential of the business.  
  1. Developed a list of services aimed at generating income.  
  2. Conducted project cost calculations.  
  3. Analyzed client demographics and market size.  
  4. Evaluated competitors’ strengths and weaknesses.  
  5. Proposed marketing strategies for attracting new customers.  
  6. Defined roles of employees and partners in achieving set objectives.  
- Monitored the implementation of the work plan.  
- Managed project content on social media platforms.  

---

**Travel Manager**  
2019  
- Selected and sold tourist vouchers, processing online applications and incoming calls.  
- Prepared and executed documents, including contracts with clients.  
- Accompanied clients from the booking stage until their return.  
- Managed hotel room bookings and transportation arrangements, including air and railway tickets.  
- Maintained reporting documentation and managed payments while interacting with tour operators.  

---  

**Skills**  
- Project management  
- Logistics and supply chain management  
- Business planning and consulting  
- Customer service and client relations  
- Social media management  
- Documentation and reporting  
"
