,Modified_gpt-4o-2024-08-06_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o-2024-08-06
236,"
 **[Your Name]**  
[Your Address]  
[Your City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

**Summary**  
Passionate UX/UI Designer with strong expertise in creating meaningful digital experiences that solve problems and simplify users' lives. Specializes in designing web and mobile applications, taking ideas from concept to completion. Proficient in motion design, enhancing overall design processes and user experience.

**Education**  
Certificate in UX/UI Design, Web Design, and Mobile Design  
- Successfully completed an 8-month course with extensive practical knowledge.

**Project Experience**  
- **Unreal**: Designed a mobile application for booking tables in unique restaurants, enhancing user experience and convenience.
- **Wings of Hope**: Developed a web service aimed at restoring social infrastructure in Ukraine, contributing to community rebuilding efforts.
- **Slavsko Ski Resort**: Redesigned the website to increase tourist attraction, improving user engagement and site aesthetics.
- **Audi Q3 Test Drive**: Created a landing page for test drive orders, driving user interaction and sales initiatives.

**Objective**  
Seeking a dynamic and collaborative company to join diverse teams, bring design ideas to life, and contribute to the creation of comprehensive digital products.
"
237,"
 **Experience**

- Web Designer specializing in creating interfaces for museums
- Utilized design tools to develop aesthetically appealing and functional page layouts
- Ensured easy navigation and visually pleasing exhibit arrangements
- Applied principles of UI and UX design to develop engaging interfaces
- Conducted detailed requirements analysis to address user needs
- Committed to continuous learning and improving design skills for future projects

**Goals**

- Progress into a successful UI/UX designer
- Gain experience in collaborative team environments
- Understand client needs to deliver superior design solutions
- Stay updated with new technologies and tools to enhance design capabilities
- Create memorable user experiences and assist companies in achieving their goals
"
238,"
 PROJECT EXPERIENCE

Landing Page for a Flower Shop

- Conducted competitor analysis to develop a mood board that captured the emotional essence of the product
- Designed wireframes and a UI kit for the landing page
- Developed the landing page to promote the flower shop's new bouquet delivery service

Redesign for Italian Roastery Website

- Performed competitor site analysis to establish a structure for organizing website elements
- Created wireframes and a UI kit for selected pages slated for redesign
- Executed the redesign using prototyping and adaptation techniques for the Italian roastery website

PROFILE

Astute and organized UX/UI Designer specializing in user research and data-driven design decisions. Proficient in crafting user-friendly wireframes and prototypes. Seeking to join an innovative design team to enhance user experience and contribute to creating industry-leading products.
"
239,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dedicated and comprehensive graphic designer seeking to leverage educational foundation and creative expertise in a dynamic and challenging real-world environment.

---

**Education**  
Art Academy  
- Acquired foundational knowledge necessary for graphic design, encompassing typography, composition, and color theory.

---

**Skills**  
- Proficient in Adobe Photoshop, Illustrator, and Figma.  
- Experience in UI/UX design including heuristic analysis and app redesign.  
- Strong background in system design and creating designs for mobile applications and websites.

---

**Experience**  

**Exhibitions**  
- Participated in ""The Art of Change"" at the Ukrainian House.  
- Contributed to the photo exhibition ""24.02 Before and After"".  
- Displayed work at the Cardiff School of Art and Design, Cardiff Metropolitan University.

**Projects**  
- Involved in the redesign of the Turkish Airlines app, focusing on heuristic analysis and proposing usability improvements under mentorship.
- Developed system design, mobile application, and website design for Richard Bank, fostering growth from foundational skills to advanced capabilities.

---

**Interests**  
- Keen on continuous learning and skill development in graphic design.  
- Expressed interest in UI/UX design over packaging design.  

---

**References**  
Available upon request.
"
240,"
 Experienced Designer

Profile:
Innovative and detail-oriented designer with a strong portfolio of three projects. Proficient in conducting competitor analysis and creating compelling prototypes and user interfaces. Seeking opportunities for one-off design projects or a junior designer position in both office and remote work environments.

Skills:
- Competitor Analysis
- Prototype Development
- User Interface Design

Experience:
- Successfully completed three design projects, showcasing skills in creating user-centric and visually appealing designs.

Objective:
To leverage my design skills in one-off projects or secure a junior designer role that allows me to contribute effectively in either an office or remote setting.
"
241,"
 Master's Degree in Architecture and Urban Planning   
Specializing in the implementation of information technologies in architectural design. 

Skills  
- Self-organization  
- Critical thinking  
- Research and analysis  

Completed Courses  
- Mobile app and website development, focusing on creating effective and visually appealing digital products  

Professional Experience  

- Redesigned the website for FeelFull, a food delivery enterprise  
- Developed a catalogue website for TviyBrend, an accessories retail company  
- Designed the mobile app Colory, transforming black and white photos into color

Responsibilities  
- Participated in client meetings  
- Conducted UX research  
- Created user personas and stories  
- Designed user flows, wireframes, and animated prototypes  

Technical Proficiencies  
- Web development  
- HTML markup  
- CSS styling  
- Responsive design principles  

Career Objective  
Seeking opportunities to further grow skills and knowledge through practical experience. Focused on creating impactful and user-centered designs while expanding expertise in UX/UI principles.
"
242,"
 Team Leader, ""Search for Lost and Found Animals"" Project

- Led the development of an animal search website as part of a social project.
- Conducted research and met project deadlines effectively.
- Utilized computer graphics programs including Figma, Illustrator, and Photoshop.
- Experienced in teamwork and collaboration.
- Developed layouts for websites, web, and mobile applications.
- Specialized in analyzing competitors, creating site maps, and adapting functionalities for the animal search project.
- Designed a user-friendly landing page for a furniture store.
- Dedicated to continuous improvement and skill acquisition in UI/UX design.
- Strong desire to collaborate with other professionals in a team environment.
"
243,"
 UI/UX Designer

Profile:
UI/UX Designer with a strong ability to translate abstract ideas into concepts and wireframes for creating MVPs. Highly proficient in utilizing Design Systems to streamline project workflows and efficiently present wireframes to clients.

Education:
UI/UX Designer Courses, GoIT School
February 2023 - August 2023

Experience:
- Skilled in designing interfaces for both websites and mobile applications.
- Proven track record of enhancing user experiences through innovative design solutions.

Projects:
- ""Rainbow"" Landing Page: Successfully redesigned a kindergarten website to enhance user experience, enabling easier appointment booking and curriculum selection.
- ""CleanHouse"" Web-Service: Developed a service platform to seamlessly connect users with cleaning providers and manage applications for cleaner positions.
- ""MY BRAND"" Mobile App: Collaborated effectively in a team of two to design and launch an online shopping application featuring home delivery.

Objective:
Seeking a position in an employee-centric company where I can make significant contributions, gain valuable experience, and grow as a committed and valuable team member.
"
244,"
 Objective:  
Innovative UI/UX Designer focused on crafting user-centered solutions and implementing effective design strategies to achieve business objectives.  

Experience:  

2021-2023  
Graphic Designer - Electro House Company  
- Developed website and mobile app designs; maintained and updated main website and online store content.  
- Created commercial offers, presentations, mailings, packaging, stickers, decals, and instructions.  
- Produced printing products like catalogs, booklets, and business cards.  
- Managed graphic content for social media platforms.  
- Designed banners for company and partner websites, and icons.  
- Conducted product photography, photo editing, and retouching.  

2020-2022  
Graphic Designer - ""Fact"" Publishing House (project-based)  
- Designed layouts for book covers (fiction, children's books, non-fiction).  
- Developed design concepts for souvenir products.  
- Created layouts for various printing materials.  

2020-2021  
Marketer, Designer - Regional Medical Center  
- Designed outdoor advertising materials including banners, posters, and signs using CorelDRAW.  
- Managed internal print projects like gift certificates, fire evacuation plans, presentations, and commercial proposals.  

2016-2022  
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky  
- Collected and analyzed data; prepared monthly, quarterly, and annual reports.  
- Conducted advertising activities, including social media management and event poster design.  
- Created graphic posters, invitations, and a monthly newspaper layout.  

Skills:  
- UI/UX design expertise with a strong focus on user research and empathetic design solutions.  
- Proficient in interface design for web and mobile applications.  
- Experienced in competitor analysis, persona creation, and user journey mapping.  
- Strong ability to generate innovative ideas and propose effective business solutions.  

Education:  
Completed UI/UX design classes, advancing skills in user-centric design strategies and business implementation.  
"
245,"
 - Completed 4-month study program, leading to one team project and two individual projects
- Proficient in core technical skills, organizational ethics, and discipline
- Expertise in designing user interfaces for various platforms using Figma, Adobe Photoshop, and Adobe Illustrator
- Conducted competitor research, created mood boards, and performed UX/UI design and website analysis
- Knowledgeable in color schemes, typography, UI kits, grid systems, website design prototyping, and mobile app development
- Currently pursuing UI/UX design courses at GOIT to enhance skills and knowledge
- Portfolio includes projects highlighting proficiency in UX/UI design, including a landing page, website redesign, and web service for lost pets
"
246,"
 **Resume**

**Pet Projects:**

1. **Pet Search Project (Team Collaboration)**
   - Responsible for competitor analysis, Jobs To Be Done (JTBD) framework, and dog walker persona development.
   - Developed ad creation section and services section.

2. **Dating App**
   - Created a dating application utilizing artificial intelligence.
   - Analyzed user behavior through smartphones and apps to suggest compatible pairings.

3. **Pet Search Web Service**
   - Collaborated on a team project to develop a website for reuniting lost animals with their owners.
   - Implemented features such as geolocation search and filter applications for precise searches.
   - Added sections for finding dog sitters and walkers.
   - Employed calm tones with design accents where necessary.

4. **Landing Page for Citroen C4**
   - Designed a landing page to showcase the Citroen C4, integrating brand-specific color schemes.
   - Highlighted the advantages of the model, allowing users to explore detailed characteristics.

5. **Website Redesign for CrossFit CENTRAL**
   - Redesigned the CrossFit CENTRAL website, introducing a fresh visual design.
   - Selected harmonious colors suitable for the brand's direction.
   - Implemented UX solutions to enhance site navigation for users.
"
247,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Objective**  
Aspiring UX Designer with experience in software development and a strong interest in integrating technology to address social issues. Actively seeking an internship to apply my growing skills in UX design and build a comprehensive portfolio.

---

**Experience**  

**Hackathon Participant**  
- Engaged in a hackathon addressing gender inequality in engineering, participating in lectures and team collaboration to develop a chat-bot.  
- Led the team’s project, which focused on guiding individuals in selecting their engineering specialty; the project won the competition.  
- Continued to enhance the chat-bot beyond the hackathon, further refining its functionality and outreach.  

**Database Developer**  
- Developed databases for an automated workstation in a hospital setting as part of a course project.  
- Utilized SQL Management Studio and Visual Studio, with a focus on the C# programming language.  

---

**Education**  

**Current Student in UX Design**  
- Pursuing a UX design curriculum via Google’s course offerings, focusing on user-centered design principles.  
- Actively building a portfolio to showcase design skills and completed projects.  

---

**Skills**  
- Database Development: SQL, C#, Visual Studio  
- UX Design: Currently expanding knowledge and practical skills  
- Problem Solving and Team Collaboration  

---

**Projects**  
- Chat-bot Development: Participated in a gender inequality-focused hackathon, further developing the chat-bot for specialty guidance post-competition.  

---

**Professional Development**  
- Ongoing UX Design coursework through Google, aimed at acquiring practical design expertise and industry-relevant knowledge.  

---

**References**  
Available upon request.
"
248,"
 Dedicated and conscientious professional with strong social skills and a commitment to teamwork. Open to constructive criticism and continuous improvement.

Education:
- Gained fundamental skills in web design, including moodboard creation, grids, typography, UI-kit, and adaptation.

Experience:
- Designed a website for selling apartments and collaborated with fellow students to develop a web service.
- Developed a mobile application, specializing in UI/UX for web and mobile applications.

Expertise:
- Full design cycle management: from task analysis to prototyping, visual style development, and implementation of user-friendly products.
- Focused on quality design and achieving tangible results through open team collaboration.

Skills:
- Web design fundamentals
- UI/UX design for web and mobile applications
- Prototyping
- Visual style creation
- Task analysis
- Team collaboration

Eager to contribute to projects that drive success and profitability through exceptional design.
"
249,"
 [Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Other Online Portfolio]  

---

**Objective**  
Passionate UI/UX Designer seeking to join a team committed to impactful projects, contributing to innovative design solutions while continuously developing skills. Eager to collaborate with experienced professionals to foster professional growth.

---

**Education**  
[Your Degree or Certification]  
[Your Institution Name]  
[Year of Graduation]  

---

**Professional Experience**  

**Projects**  
- **Flower Lover**: Designed and developed a visually appealing and informative landing page for a flower delivery service. Focused on user attraction and engagement to facilitate online flower orders effectively.
  
- **House Hopper**: Developed a comprehensive web service for global accommodation booking. Catered functionalities for both property owners and guests, including property searches, reservation management, owner communications, and access to travel information through an integrated platform.

- During my studies, I successfully created intuitive and aesthetic interfaces for various websites and mobile applications, ranging from landing pages to complex web services. Conducted user research and competitive analysis to design simple and comprehensible interfaces.

- Created a personal project: a landing page for educational course registration, which emphasized user simplicity and interface clarity.

**UI/UX Design Courses Projects**  
- Developed 5 projects encompassing landing pages, websites, web services, and mobile applications, highlighting a diverse range of design skills and adaptability.

---

**Skills**  
- UI/UX Design  
- User Research  
- Competitor Analysis  
- Interface Design  
- Team Collaboration  
- Continuous Learning and Development  

---

**Portfolio**  
[Link to your portfolio or online examples of your work]  

---

[Your Name]  
[Your Contact Information]  
"
250,"
 Team Leader, Techgen IT Project  
- Managed a team of designers, organized workflow, distributed tasks, and facilitated communication with developers.  
- Explained solution designs and demonstrated design animations.

UI/UX Design Expertise  
- Skilled in designing user interfaces (UI) and user experiences (UX), prototyping interfaces, and conducting user research to enhance usability and efficiency.  
- Proficient in design tools such as Figma, Adobe Photoshop, and Adobe Illustrator.

Freelance Experience  
- Team Lead UI/UX Designer for a multi-page website for an IT Community; coordinated designers' work and managed the project.  
- UI/UX Designer for a landing page of a company providing house design services, highlighting projects and services offered.  
- UI/UX Designer for a mobile application for searching and purchasing air tickets, with a focus on user-friendly interface design.

Career Objective  
- Seeking a position to leverage my design skills and leadership experience. Committed to being responsible, proactive, and result-oriented, with openness to constructive criticism.
"
251,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

**Professional Summary**  
Tech-savvy and creative project leader with hands-on experience in web and mobile application design and development. Proven track record of guiding projects from concept to completion and delivering high-quality digital solutions. Strong expertise in wireframing, design, prototyping, and user-centric analysis.

---

**Experience**

**Team Leader**  
- Led two successful team projects:  
  - **Neaty Kitty**: Developed a web service for a cleaning company leveraging skills in analysis, customer journey mapping, user flow creation, and Bootstrap 5 design.
  - **Tap the Table**: Spearheaded the creation of a mobile application for restaurant table booking, encompassing analysis, wireframing, design, and prototyping.

---

**Pet Projects**

1. **Yours Sports Bar Website Redesign**  
   - Initiated and executed a complete redesign of the sports bar's website, including competitive analysis, wireframing, and multi-device design.

2. **Tattoo Studio Landing Page**  
   - Created a compelling landing page for a tattoo studio involving comprehensive research, wireframing, and design execution.

---

**Education**

**GoIT**  
- Developed and completed four major projects during studies, refining skills in digital design and project management:
  1. Designed a landing page for a Tattoo Salon, involving in-depth research, analysis, and design.
  2. Redesigned the website for ""Yours Sports Bar,"" conducting thorough analysis and design adaptation for various devices.
  3. Led the ""Neaty Kitty"" team project, a webservice design utilizing Bootstrap 5, user journey mapping, and customer flow optimization.
  4. Directed the ""Tap the Table"" team project, creating a mobile app with focus on user-centric analysis and design.

---

**Skills**  
- Project Leadership  
- User Experience (UX) Design  
- Wireframing and Prototyping  
- User Flow and Journey Mapping  
- Web and Mobile Application Development  
- Analysis and Problem Solving  

---

**Tools & Technologies**  
- Bootstrap 5  
- [Other Relevant Tools/Software]

---

**References**  
Available upon request.
"
252,"
 **Julia - UX/UI Designer**

---

**Profile**

Passionate and detail-oriented UX/UI designer with a background in photography and completion of the GoIT course. Experienced in both independent and collaborative settings with expertise in designing user-friendly interfaces using Figma. Proficient in competitor analysis, user journey mapping, wireframing, prototyping, and both mobile app and web design.

---

**Projects**

- **Buyland Supermarket App Design**  
  Collaborated in a team to create an intuitive interface and enhance user experience.

- **Library App Design**  
  Developed onboarding pages and animations, utilizing Figma and ProtoPie.

- **Flower App Design**  
  Designed onboarding, registration, and engaging animations using Figma.

- **Clean Up Web Service Design**  
  Team project focused on promoting and enabling booking services for a cleaning company.

- **IT School Dashboard Design**  
  Independently crafted a dashboard for an IT school.

- **Redesign of Mainsail Realty Company Website**  
  Targeted middle-aged married couples in Florida with a user-centric redesign.

---

**Objective**

Seeking a challenging UX/UI design role that offers opportunities for both personal and professional growth.
"
253,"
 Education:

- Bachelor’s Degree in Graphic Design from XYZ University

Skills:

- Proficient in Figma, Photoshop, Illustrator, Corel Draw, and Canva
- Strong understanding of usability and UX methodology
- Expertise in graphic design, typography, and color theory
- Experienced in developing websites and mobile applications
- Knowledgeable in responsive/adaptive design principles
- Analytical and creative thinker
- Effective team player

Experience:

- Contributed to a social project: development of a website for volunteers
- Led redesign projects for real estate and pet search websites
- Conducted research to define goals, target audience, and perform competitor analysis
- Developed structures and content for websites, focusing on user flow
- Created wireframes using design tools such as Figma and Adobe Photoshop
- Implemented promotional offers and calls to action for user engagement
- Ensured aesthetically pleasing designs optimized for ease of use across devices
- Optimized images and media elements for faster loading and enhanced user experience

Summary:

Experienced graphic designer with a strong foundation in website and mobile application development. Skilled in usability, UX methodology, and graphic design. A creative thinker with a history of leading successful projects and collaborating effectively within a team.
"
254,"
 ---

**[Your Name]**  
[Your Address]  
[Your City, State, Zip Code]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile] (optional)

---

**Professional Summary**

Enthusiastic professional with extensive experience in developing web applications, adaptive design, and designing prototypes. Proficient in Figma with expertise in auto layout, components, variants, and animation. Strong understanding of UX and UI principles with the ability to produce high-quality user experiences. Organized and detail-oriented, capable of adapting to changes swiftly. A collaborative team player with excellent communication skills and a commitment to continuous improvement.

---

**Core Competencies**

- Sitemap and Userflow Design
- Competitive Analysis & Market Research
- Typography & Color Theory
- Mood Board Creation
- UX/UI Principles 
- Lo-fi & Hi-fi Layouts
- Prototyping & User Testing
- UI & UI-kit Development
- Adaptive Design Implementation  

**Soft Skills**

- Effective Decision Argumentation
- Strong Communication Skills
- Project Requirement Adaptability
- Team Collaboration
- Detail-Oriented
- Self-Motivated
- Workflow Organization
- Project Management
- Priority Determination
- Creative Problem Solving
- Time Management

---

**Professional Experience**

**E-commerce Solutions Development**

- Automated ordering system for new manufacturers to streamline purchasing processes.
- Developed a user-friendly catalog with enhanced filters and sorting options.
- Designed a functional shopping cart allowing order edits.
- Implemented diverse delivery and payment methods.
- Achieved successful prototype testing with exceptional CSAT scores, completion rates, and reduced task times.

**Landing Page Design**

- Developed a high-impact landing page enhancing pet adoption awareness.
- Created interactive forms to assist users in selecting pets.
- Designed a compelling interface incorporating 10 content blocks aimed at dispelling myths about shelter animals.

---

**Technical Skills**

- Proficiency in Figma: Auto Layout, Components, Variants, Animation
- Comprehensive understanding of UX/UI principles

---

**Education**

[Your Degree] in [Your Major]  
[Your University], [Location]  
[Year of Graduation]

---

**Certifications** (if applicable)

- [Certification Name], [Year]

---

**References**

Available upon request.

---
"
255,"
 [Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn URL]  

**Objective**  
I am a self-motivated junior UX/UI designer with a passion for detail and a dedication to creating intuitive and aesthetically appealing user interfaces. With significant experience in furniture and interior design, as well as expertise in landing page design, redesign, web services, and mobile applications, I am eager to contribute to a dynamic and innovative team while continuing to grow professionally.

**Experience**  

**UX/UI Designer**  
- **FinEasy Web Service**  
  - Designed FinEasy, a collaborative web service for accountants and entrepreneurs, as part of a team. Contributed to UX research, persona development, user flows, and adaptive UI design with engaging animations. Focused on seamless cross-device adaptation to enhance user experience.

- **Redesign of Mexican Restaurant Website**  
  - Led a complete redesign of a Mexican restaurant’s website. Conducted competitor analysis and created wireframes, implementing UI design and adaptations using Figma to improve user experience and incorporate animations.

- **Urban Festival Landing Page Design**  
  - Completed the full design cycle for the Urban Festival, including competitor analysis, wireframing, and UI development, with a focus on responsive adaptation for tablets and mobile devices.

**Project Experience**  

- **Landing Page for BusinessUp by Podvigina**  
  - Successfully designed a landing page for the ""BusinessUp by Podvigina"" practical course within tight deadlines. Integrated a UI kit and animation elements for enhanced visual appeal.

**Personal Projects**  
- Developed and managed two personal projects, further honing my design skills and exploring new design concepts.

**Skills**  
- UX/UI design  
- Wireframing  
- Adaptive design  
- Animation integration  
- UX research  
- Competitor analysis  
- Proficient in Figma  

**Other Attributes**  
- Ability to focus on results and design  
- Openness to teamwork and collaboration  
- Flexible with the possibility of partially remote work  
- Commitment to career growth and skill development  

**Education**  
[Your Education Details Here]  

**References**  
Available upon request.
"
256,"
 Education:
- Completed Basic UI/UX Course at Hillel IT School
- Attended UI/UX Webinar at GoIt School

Experience:
Research Manager at Entertainment/Crypto Company (1 year and 3 months)
- Gathered and analyzed information related to target audience, competitors, and legal policies of target countries
- Participated in UI/UX projects and regression testing with the QA department

Projects:
1. Destin/Tattoo
   - Conducted competitor analysis and redesigned the website for a tattoo salon to improve usability
   - Utilized Figma for design
2. HelpPets
   - Collaborated on creating typography and UIKit for a volunteer work platform
   - Designed user flow and UI for users who lost pets
   - Utilized Figma and Adobe Photoshop

Skills:
- Proficient in Figma, Adobe Kit
- Familiar with Miro and similar tools
- Interested in animations, mock-ups, and 3D design

Note: No experience in frontend development via JS or deployment.
"
257,"
 EXPERIENCE

- **Web Service for Finding Lost Pets (Team Project):** Led the creation of user personas and Jobs-to-be-done methodology. Designed key pages including ""Lost"" animals, ""Found"" animals, ""My Ads,"" and the ad creation form. Collaborated effectively with team members on various project tasks.

- **Redesign/India Cafe (Independent Work):** Reimagined the website to feature a minimalist, modern, and user-friendly design. Enhanced website accessibility, structure, and visual hierarchy to improve the overall user experience.

- **Flower Shop (Landing Page):** Designed and developed a single-page website for a flower shop to promote bouquet delivery services. Utilized high-quality floral imagery and a distinct color palette for a modern, user-friendly design. Streamlined the ordering process for a seamless visitor experience.

---

Seeking a full-time position in a company that values innovation, growth, and a positive work environment.
"
258,"
 EXPERIENCE:

UI/UX Designer  
2022 - Present

- Designed web pages, blog sites, company logos, social media posts, illustrations, and mobile/web applications, including a project for Vinnitsa National Technical University (JetIQ).
- Developed corporate identities and illustrations using Figma, Illustrator, Photoshop, and Procreate.
- Collaborated with clients and development teams to ensure successful project implementation.
- Created websites from concept and design ideas to responsive HTML5/CSS3 pages, incorporating SASS and SCSS.
- Prioritized UI/UX principles and user needs, adhering to brand guidelines to produce functional and attractive products.

SKILLS:

- UI/UX Design (Figma)
- Illustration (Adobe Illustrator, Adobe Photoshop)
- HTML, CSS (SASS, SCSS)

Commercial Experience:
- JetIQ (2022-2023) - Involved in design creation, wireframing, component creation, and layout.

Favorite Projects:
- Anitime - Mobile application for watching anime
- Innovexa - Landing page for a company providing data security services
"
259,"
 **Flover Lover - Landing Page Designer**  
- Developed a landing page to promote bouquet ordering with delivery services.  
- Crafted a simple, user-friendly one-page site using a gentle color palette.  
- Conducted mood board creation and performed competitor analysis to inform UI design strategies.  

**Custom Concept Tattoo & Design - Website Redesign Specialist**  
- Redesigned the website for a tattoo studio, achieving a modern and user-friendly interface.  
- Enhanced site functionality and ensured adaptability across multiple media platforms.  

**VDOMA - Web Service Developer**  
- Created an animal search web service to expedite the process of finding lost animals for owners.  
- Led competitor analysis and user persona research to inform development.  
- Developed prototypes, system design, UI, and facilitated service adaptation.  

---

**Objective**  
Seeking a full-time position in a company committed to enhancing everyday life and boosting business productivity.  

**Skills & Attributes**  
- Rapid learner with a strong sense of responsibility.  
- Eager to tackle challenging projects.  
"
260,"
 
**Work Experience**

**2013-2019: Entrepreneur at ФОП Петрова С.С /МЕДТЕХНІКА**
- Facilitated daily operations in retail.
- Recruited and selected employees.
- Negotiated and concluded contracts with suppliers.
- Addressed transport and logistics issues, including receipt, relocation, revaluation, returns, and accounting for transactions with suppliers, contractors, and customers.

**2019-2021: COO at Artichoke Art & Fashion School**
- Drove sales of short-term educational courses in art direction.
- Led employee selection processes.
- Organized and coordinated teamwork for a six-member team.
- Developed and assigned tasks within teams.
- Managed projects, including monthly work plans for various disciplines, overseeing events such as masterclasses and public talks, and maintaining student databases.

**Summary of Achievements**
- Successfully planned, directed, and managed multiple projects.
- Achieved objectives based on outlined priorities.
- Coordinated the successful concurrent development of several projects.
- Delegated responsibilities and established effective time schedules.
- Negotiated quality-assurance contracts.
"
261,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]

---

### Professional Experience

**Team Leader**  
[Company Name], [Location]  
[Month, Year] - [Month, Year] (8 months)

- Organized team efforts to foster an inspiring environment with open communication.
- Established clear team goals and delegated tasks with specific deadlines.
- Oversaw daily operations and connected work to larger context.
- Monitored team performance and reported progress to stakeholders.
- Managed project progress and resource allocation effectively.
- Motivated team members, identified training needs, and provided coaching.
- Facilitated problem-solving and team-building activities.
- Represented and advocated for the team's needs.

---

### Skills

- Proficient in English, Ukrainian, and Russian.
- Familiar with Waterfall, Agile, Scrum, Kanban, Lean, and Six Sigma methodologies.
- Skilled in project goal setting and outcome definition.
- Experienced in defining project success criteria and scope.
- Competent in project documentation and tool evaluation.
- Proficient in stakeholder evaluation using power grid and RACI chart.
- Conducts Cost Benefit Analysis with an understanding of the Triple Constraint.
- Utilizes SMART and OKRs for effective project goal setting.
- Expert in resource needs assessment - budget, people, materials.
- Strong time-management, strategic planning, multitasking, and prioritization skills.
- Quick learner, proactive, and skilled in escalation management.

---

### Education

**Coursera - Google Project Management**  
""Project Initiation: Starting a Successful Project""  
Nov 2022 - Dec 2022  
Grade: 87.76%

**Coursera - Google Project Management**  
""Foundations of Project Management""  
Jun 2022 - Nov 2022  
Grade: 89.03%  

---
"
262,"
 Experienced Account Manager with over 15 years of expertise in developing, executing, and managing creative, production, and digital marketing campaigns. Known for a motivated attitude and an ability to foster strong relationships with team members and collaborators. Skilled in overseeing operations and tracking cross-company projects to ensure timely delivery and success. Proven experience in leading teams and assessing project progress effectively.

""DAO PM"" IAMPM Laboratory of Non-Technical IT Education:
- Acquired practical skills in drafting project documentation and managing various contract types.
- Effectively communicated with customers and team members to manage risks, resources, and time efficiently.
- Conducted business correspondence and managed customer expectations.
- Created Work Breakdown Structures (WBS) and coordinated task distribution to team members.
- Prioritized tasks and presented solutions, demos, and prototypes to customers.
"
263,"
 Experienced Account, Sales, and Project Manager with exceptional skills in implementation and project management. Expertise in operational assessments and functional requirements analysis for businesses of all sizes. Strong negotiator and networker, adept at maintaining a positive attitude and utilizing critical thinking skills. Highly organized and methodical, capable of managing daily milestones for high-performance teams. Proficient in commercial operations, production, sales, planning, and deployment in non-IT sectors. Extensive experience in B2B sales, HR, account management, and operations, with proficiency in MS Office, MS Project, Jira, and social media marketing platforms like Google Adwords and Facebook Ads. Collaborated with international companies such as Rosneft Russia, Gazprom Russia, Arkema France, Huntsman Corporation USA, GSFC India, and Repsol Spain. Advanced English proficiency. Significant experience in business startups and independent operations. Available online for client engagement 24/7. Holds a Master’s degree in Economics, completed PhD courses in Economics, a Bachelor’s degree in International Law, and has undertaken Master’s courses in International Law. Currently enhancing skills in IT business processes through online Software Product Management courses at the University of Altera, Canada. Quick to learn and highly communicative.
"
264,"
 Project Manager with extensive hands-on experience in launching and managing successful projects. Proven track record of executing Kickstarter campaigns, achieving a total funding of $555k. 

Core Competencies:
- Project Management: Expertise in Project Scheduling, Gant, Scrum, Agile, Asana, KanBan, Waterfall, Trello, and Jira.
- Creative Direction: Skilled in Art Direction and Brand Management with strong teamwork capabilities.
- Technical Skills: Proficient in AI, After Effects (AE), Photoshop (PS), 3D Coat, ZBrush, and Ableton.
- Leadership: Experienced in leading and directing teams, effective in B2B/B2C communication, and strong problem-solving abilities.

Interests: Passionate about the Game Development, Production, IT, and Fashion sectors.

Objective: Seeking a position within a team that values structured processes and clear responsibilities. Eager to support artists and designers while continually enhancing skills in related fields.
"
