,Cleaned Twice GPT-4o Conversation-Improved CV
454,"---Objective:To leverage my extensive event planning, organizational, and communication skills in a dynamic and challenging environment.---Professional Experience:New Standard Company  October 2021 - November 2022- Collaborated with a team of 20, fostering a productive environment.- Provided comprehensive business reports to support strategic decision-making.- Created project presentations to effectively communicate ideas and progress.- Communicated with clients to ensure their needs were fully understood and met.- Negotiated and signed contracts ensuring favorable terms for the company.- Resolved issues quickly to minimize disruptions to project timelines.- Implemented innovative solutions to enhance team performance and achieve objectives.- Successfully attracted IBM's Asian cluster business to partner with the company.Event Organization and Planning:- Organized events for various businesses, demonstrating strong organizational and planning abilities.- Led the organization of an event for Kernel company, marking the opening of their online university.- Managed a complex planning process with high-profile guests, including members of Ministries and general directors of international companies.- Successfully executed events while anticipating potential challenges, marking a personal success.Communication Skills and Foreign Client Understanding:- Collaborated with IBM to lead various events in Ukraine, enhancing my management skills.- Developed expertise in meeting compliance rules and understanding the specific requests of foreign clients.---Skills:- Excellent organizational and planning abilities- Strong communication skills- Effective team management- Proficient in creating business reports and presentations- Skilled in contract negotiation- Quick issue resolution- Solution-oriented approach- Experience with international clients and compliance rules---Education:---References:Available upon request."
455,"        ---Skills:- Contract Negotiations- Purchase Negotiations- Project Management- Contract Execution- Strategic Planning- Operations Management- Market Forecasting- Knowledge of AGILE/Scrum- MS Office- JIRA- Confluence---Professional Experience:Supply Chain Specialist  Ecentria Solutions, Remote  November 2020 – PresentIMEX Manager  PJSC “Vinnitsa Dairy Plant “ROSHEN”  February 2017 – May 2018  - Managed the export of dairy products to the EU and worldwide.- Executed sales contracts, including negotiations, logistics, and delivery organization.- Handled export operations, including customs procedures and documentary support.- Controlled payment processes and organized participation in international exhibitions.Senior Procurement Manager  BioChemInvest, Vinnitsa region, Ukraine  October 2010 – February 2017  - Managed the import supply chain, including procurement and supplier negotiations.- Conducted supply chain operations, including transport arrangements and delivery control.- Liaised directly with producers, achieving cost reductions for raw materials and final products.- Managed export paperwork and compliance.- Prepared supply chain plans based on stock levels and sales forecasts.- Sourced suppliers, service companies, and logistics providers.- Coordinated with freight brokers and handled bulk shipments through Ukrainian ports.---Additional Experience:Maternity Leave  May 2018 – November 2020  - Engaged in continuous self-education.- Improved English language skills and basic project management.- Studied Agile and Scrum methodologies.---Education:---Certifications:"
456,"Resume        ---Objective  To join an IT organization as a Project Manager/Project Coordinator, leveraging my extensive experience in management and operational processes to benefit my new company.---Professional ExperienceRegional Leader, Southern Region  Silpo Chain of Stores  2021 - Present- Led the southern region to achieve a sales plan at 102%.- Maintained acceptable loss metrics for the store.- Attained a turnover rate of 36.6%.- Ensured 100% product availability.- Achieved a 95% completion rate on Mystery Guest store inspections.Project Manager- Led two projects encompassing budget development, risk analysis, and creating technical specifications for designers and copywriters.- Coordinated with legal counsel and applied for grants.Manager  Silpo Chain of Stores  - Oversaw the implementation of operational processes ensuring compliance with work hour norms.- Managed new initiatives such as cash issuance at checkout, store product deliveries, delivery process improvements, and site assortment proposals.- Initiated and managed the first food delivery project (Darkitchen).- Trained new employees for managerial and deputy managerial roles.- Managed a team of 120 employees.---Skills- Project Management- Budget Development- Risk Analysis- Technical Specification Development- Legal Communication- Grant Applications- Operational Process Implementation- Staff Training and Development- Team Coordination---Education    ---ReferencesAvailable upon request"
457,"---NAMECONTACT INFORMATION---PROFESSIONAL SUMMARYDedicated and accomplished professional with four years of international sales experience and a solid foundation in project management. Seeking a Junior Project Manager position in the IT sector to leverage my expertise and skills in a dynamic environment. Recently completed a certified Project Management course, enhancing practical skills and knowledge applicable to the IT industry.KEY SKILLS- Strong understanding of SDLC concepts- Proficient in Agile (Scrum, Kanban) and Waterfall methodologies- Experienced with issue tracking tools: JIRA, Confluence, Trello- In-depth understanding of software development processes- Excellent communication and negotiation skills with clientsPROFESSIONAL EXPERIENCESales Support Manager (Industrial Company, European Market)Interpipe Group, Ukraine  July 2018 – Present- Maintained and supported communication with clients- Managed sales documentation- Provided clients with status updates through regular reporting- Effectively resolved problems and conflicts- Conducted meetings and negotiations with customers- Controlled and oversaw client transactionsEDUCATION AND CERTIFICATIONSProject Management CourseHillel IT School, Ukraine  Dec 2021 – Feb 2022Scrum Fundamentals CertifiedSCRUMstudy - Accreditation Body for Scrum and Agile  Mar 2022---ENGAGEMENTS- Participated in an international project between Interpipe and Vallourec (France) to explore new market opportunities and expand the customer database.---OBJECTIVESeeking a Junior Project Manager position in the IT sector to apply my background in sales, international market exposure, and newly acquired project management skills. Open to interesting propositions and ready for new challenges."
458,"       | ---PROFESSIONAL EXPERIENCEProject Manager | Cedra Interior Design Studio  October 2015 – June 2021  - Successfully led the completion of over 35 projects.- Managed the entire project lifecycle from order acquisition to delivery.- Established and maintained open communication channels with customers, ensuring timely issue resolution.- Drafted detailed project specifications and estimated deadlines.- Supervised and coordinated the work of designers and contractors.- Developed and implemented business processes, technological maps, and contractual agreements.- Ensured quality control and compliance with project terms of reference.Investment Object Manager | Real Estate  - Oversaw investment properties from selection to successful sale.- Resolved operational issues and facilitated smooth transactions.Key Competencies:- Result-oriented thinking and critical analysis.- Strong organizational and management skills for both people and processes.- Excellent communication and problem-solving skills.- Proactive in achieving desired results even under challenging circumstances.---SKILLS- In-depth understanding of the software development lifecycle.- Expertise in risk estimation and problem prediction within projects.- Proficient in Agile methodologies (Scrum, Kanban).- Experienced in various testing types including manual, regression, GUI, and usability testing.- Strong interpersonal skills to achieve desired outcomes.- Highly self-organized, detail-oriented, and efficient under pressure.---EXPERIENCE & IT EDUCATIONAL PRACTICEPLLUG Community – QA (Manual) Course Graduate  - Topics covered: Software development lifecycle, Test Design Techniques, Project roles, JIRA, Project Documentation, WEB testing, Mobile Application testing (Android/iOS).EPAM – Software Functional Testing Course Graduate  - Topics covered: Software Functional Testing, Software testing process, Bug hunting and reporting, GUI and usability testing, Requirements analysis, Test status reporting, Regression testing, Test cases.---LANGUAGES- English – Intermediate- Russian – Intermediate---EDUCATIONMaster’s Degree in Architecture of Buildings and Structures  National University ""Lviv Polytechnic""Business Efficiency Course  Nova Poshta Business School, 2019Small and Medium Enterprises Management Course  ""MBS"", 2018"
459,"    |    | --- Professional Experience Welocal Network  Customer Support Specialist in Social Integration and Promotion  October 2015 – September 2018- Communicated with users and partners.- Drafted technical tasks and developed implementation plans for the advertising division, contractors, and developers. Monitored tasks, ensuring timely completion and acceptance.- Authored training and informational materials on blockchain technology and cryptocurrencies, including instructions and scripts for commercials.- Developed various strategies for promoting products in the market.- Created basic presentations and informational materials for users of blockchain platforms. NTMT, Kharkov  Advertising Manager, Editor, Proofreader  September 2010 – December 2013- Managed standard office documentation (contracts, reports, acceptance/transfer acts, invoices, accounting documents).- Prepared and organized advertising campaigns.- Coordinated and hosted exhibitions.- Drafted commercial offers and distribution letters.- Collaborated with authors, customers, and contractors.- Created a database of potential customers and made ""cold calls."" Freelance  Copywriter, Editor, Administrator of Websites  March 2009 – Present- Researched and gathered project requirements; analyzed similar cases to understand customer and buyer needs.- Set goals for contractors.- Crafted descriptions for goods and services.- Checked all texts for uniqueness and edited as needed.- Communicated directly with SEO specialists and customers.--- Career ObjectiveSeeking a role that leverages my experience, and allows for gaining new knowledge and practical skills. Highly interested in a challenging and promising project that fosters professional development and growth. Aspiring to secure the position of Assistant or Junior Project Manager to apply and enhance my skills for the company's benefit."
460,"          ---Professional SummaryProject management professional with 2.5 years of experience in retail and digital marketing. Proficient in managing processes to ensure effective cooperation and quality services for partners and clients. Skilled in working with both external and internal stakeholders and cross-functional teams.---Work ExperienceSvit Soft LLC  Project-Account Manager  October 2021 – April 2022  - Negotiated and concluded contracts- Planned and executed risk assessments and budgeting- Managed documentation including contracts, agreements, specifications, acts, and invoices- Coordinated with the team for task setting, efficiency analysis, and problem resolution- Provided customer support- Prepared reports- Formed budgets and provided material and technical support to the teamSilpo Food LLC  Project Specialist - Department of Farm Products (Lavka Tradytsii project)  September 2019 – July 2021  - Negotiated and concluded contracts- Planned and executed risk assessments and budgeting- Managed documentation including contracts, agreements, specifications, acts, and invoices- Coordinated with the team for task setting, efficiency analysis, and problem resolution- Provided customer support- Prepared reports- Formed budgets and provided material and technical support to the team---Skills  - Project Management- Negotiation and Contract Management- Risk Assessment and Budgeting- Documentation and Reporting- Team Coordination and Support- Customer Service---Career ObjectiveSeeking career opportunities in project management or roles that involve extensive interaction with people. Open to positions such as Project Manager assistant or internship roles, with a commitment to perform all required tasks excellently."
461,"  ,    |  | --- EDUCATION & CERTIFICATIONSMIT Europe - Marketing and Internationalization  Youth SUCCESSors: Capacity Building for Cultural and Territorial Heritage Promotion  Project Management Courses  (Project Management + Business Analysis)--- PROFESSIONAL EXPERIENCEOffice Manager  TRADUX®  - Oversaw quality and performance control measures.- Prepared detailed reports and managed various email and client queries.- Modified and managed documents using Microsoft Word, PowerPoint, and Excel.- Coordinated office operations and collaborated with regional teams regarding documentation and forms.- Liaised with multiple branch offices to ensure effective communication.- Escalated critical issues to the team leader and project manager.- Improved productivity and streamlined processes.- Managed and sorted mail for the Classification Department.- Provided professional customer service via telephone.- Welcomed and assisted incoming customers with a friendly, professional demeanor.- Prepared and analyzed monthly financial reports.- Efficiently handled day-to-day activities.Back Office Intern  Rozona Servicio de Prevención  - Regularly checked the status of contracts.- Conducted data entry activities, maintaining and managing company databases and personal data.- Provided administrative support for daily tasks utilizing MS Excel.--- CAREER OBJECTIVES- Highly interested in working within a young and motivated team on engaging projects with opportunities for career growth and self-development.- Seeking a position as a Junior Project Manager or Junior Project Coordinator.- Aspires to be involved in international team management.------,       "
462,"Objective:Aspiring to leverage my organizational skills and communication abilities to pursue a career in IT recruitment, HR management, sales, account management, or project management.Education:- Bachelor of Applied Linguistics (Third Year in Progress)    Experience:Web Developer (Contract)- Developed a user-friendly car selling website using Python, efficiently delivering functional web solutions.InternInternetDevels- Gained practical IT knowledge and hands-on experience in a professional environment.Host of English-Language ShowsBulgaria- Hosted engaging shows for foreigners, demonstrating strong communication and presentation skills.Skills:- Strong verbal and written communication- Project planning and time management- Negotiation- Content creation and copywriting- Social media post design using Canva- Basic Python codingStrengths:- Excellent organizational abilities- Strong understanding of IT concepts- Creating a positive communication atmosphere- Effective time management and deadline adherenceCareer Interests:- IT Recruiter- HR Manager- Sales Manager- Account Manager- Project ManagerProjects:- Business Website Development: Developed a functional car selling website using Python, showcasing practical programming skills."
463,"      ---Summary  Dedicated and adaptable professional with extensive experience in project management and coordination. Proven track record of fostering effective collaboration and achieving top performance in a competitive, international environment. Adept at quick adaptation and continuous learning, excelling in dynamic and evolving areas.---ExperienceIT Project Manager/Business Analyst  Whiteport AB, Stockholm  April 2019 – Present  - Managed and tracked multiple projects concurrently.- Conducted project estimations and reported to stakeholders.- Specified and validated business needs of clients.- Utilized Agile methodologies.- Communicated and negotiated with clients.- Identified potential product improvements and presented them to clients.- Developed Facebook Messenger bots.Key Achievements:- Improved client communication, increasing customer and team satisfaction by 25%.- Accelerated product delivery speed by over 50%.Project Manager  Kyiv Branch of Cryptocurrency Trading Company (NDA)  May 2018 – April 2019  - Hired and trained key employees for international client engagement.- Planned resources and controlled budgets.- Maintained high productivity levels.- Oversaw operational and strategic management.- Estimated time and costs for new implementations.- Performed risk analysis and management.- Executed strategic influencing and business partnering.Key Achievements:- Increased revenue by 600%.- Reduced operational costs by 5%.- Organized a fully functioning and self-sufficient working environment.---Objective  Seeking a role where I can fully commit and build long-lasting, mutually beneficial relationships."
464,"---Objective:Aspiring to secure a position as an Assistant Project Manager or Junior Specialist, utilizing my skills in business process optimization, project management, and contractor coordination to support organizational success.---Experience:Optimization of Business Processes:- Implemented an automated accounting system for a network of retail outlets, enhancing efficiency and accuracy.Document Flow Optimization:- Streamlined document management processes to improve workflow and efficiency.Contractor Base Expansion:- Increased the main contractors from 2 to 10.- Developed and maintained a comprehensive contractor database.Brand and Corporate Style Development:- Developed the corporate style and brand book.- Formulated the organization's mission and goals.Event Organization:- Organized various events, including trainings and conferences, to promote professional development and organizational objectives.Standards and Brand Book Development:- Developed and maintained organizational standards and the brand book.Commercial Proposals and Grant Applications:- Prepared concept notes and commercial proposals.- Participated in the grant application process.Project Management:- Planned and implemented projects from start to finish.- Monitored task execution and provided progress reports to the director.- Reviewed project outcomes to ensure alignment with objectives.- Managed notable projects, including a tubing hill and an amusement park.Branded Product Lifecycle Management:- Managed the lifecycle of branded products from creation to distribution.Contractor Communication and Control:- Maintained communication with contractors.- Controlled payments and deliveries to ensure timely and accurate fulfillment.Outdoor Advertisement Placement:- Managed relationships with contractors for outdoor advertisement placements.Supply Chain Coordination:- Coordinated the full cycle of goods supply from customer requests to delivery.- Prepared detailed project reports for stakeholders.---Current Status:Temporarily unemployed, actively seeking opportunities in project management.---Goal:To secure a role as an Assistant Project Manager or Junior Specialist, applying my expertise in project management, contractor coordination, and process optimization to drive organizational success."
465,"        ---Languages:- Russian: Fluent- English: Upper-IntermediateProfessional Experience:SolidOpinion  Role:   Dates of Employment:  - - Coordinated team efforts, leading to collaborations with high-profile clients like LA Times and The San Diego Union-Tribune.- Contributed to the design and requirements gathering for the Moderation Tool.- Documented work quality and quantity using Google Sheets.- Developed a 24/7 work schedule and managed shifts.- Relayed various issues to the development and QA teams.- Developed and managed the user support process using Trello.- Implemented Grammarly for company-wide use.- Assisted users with troubleshooting and created technical issue tickets using JIRA Service Desk.- Collected and detailed customer request specifics.- Conducted employment interviews.- Mentored new employees.Education and Certifications:- ""CSS - The Complete Guide (incl. Flexbox, Grid & Sass)"", Coursehunters, 2018- ""Psychology of Stress and Ways to Overcome It"", Prometheus, 2016Conferences:- LvivCSS Conference, Lviv, 2018- QA Fest Testing Conference, Kyiv, 2016"
466,"        ---Professional Summary  Dynamic sales management professional with strong communication and customer-oriented skills. Proven track record of successfully leading teams, optimizing processes, and achieving goals. Seeking new opportunities to leverage my expertise in sales and project management.---Professional ExperienceSales Manager  Outsource, Brokerage Company, Dnipro, Ukraine  2021-2022  - Started as a salesperson for the European market, building client trust and consistently achieving monthly milestones.- Promoted to Sales Manager after eight months, leading a department of 15 salespersons.- Enhanced customer experience and streamlined processes to meet planned goals.Salesperson  Work.ua, Dnipro, Ukraine  2021  - Developed communication and customer-oriented skills through direct sales and client interaction.Executive Director's Assistant  The Dance and Fitness Specialist, Moves Dance Studio, Beirut, Lebanon  2010-2020  - Assisted the Executive Director of three branches with over 800 students.- Collaborated with sponsors, partners, local governments, and non-profit organizations.- Organized meetings and workshops for experience exchange.- Scheduled and directed daily rehearsals to support the development of the dance school.- Assisted in planning and executing Casino du Liban's annual dance shows, and directed and produced events, including dance, fashion, festivals, and special occasions.---Education  - Completed Project Management courses at Hillel IT School.---Achievements  - Completed one marathon and over 200 half marathons.---    ---References available upon request."
467,"          ---Professional Summary:Accomplished leader with extensive experience in managing sales department projects, including hiring, training, motivating staff, and overseeing short and long-term planning and budgeting. Highly skilled in utilizing various tools and methodologies for effective project management.---Core Competencies:Hard Skills:- C-level Management- Budgeting- Staffing and Training of Personnel- Data Analytics- Strategic PlanningSoft Skills:- Quick Adaptability to New Conditions- Persuasive Communication- Decision-Making and Responsibility- Interpersonal Skills---Professional Experience:Outsourcing Projects | Head of Sales  2021 — Present  - Established and led the sales departments.- Coordinated focus group selections for marketing research.LLC Univest Marketing (www.univest.ua) | Chief Commercial Officer (B2B Packaging and Disposable Tableware)  2020  - Managed €17 million annual sales.- Supervised two sales departments and a marketing department.- Negotiated with VIP clients.- Oversaw financial and economic activities, market monitoring, and competitive analysis.- Managed accounts receivable and budgeting.- Led a team of 30 subordinates.Achievements:- Updated internal policies and procedures.- Developed a new motivation system for the sales department.- Created an annual commercial plan.- Reduced overdue accounts receivable from 44% to 20%.LLC Shungit (www.noviysvit.com.ua) | Sales Director (B2B Plumbing and Tiles)  2019 — 2020  - Managed €32 million annual sales.- Negotiated with VIP clients.- Conducted field assessments and provided training for managers and supervisors.- Monitored market trends and competitors.- Managed accounts receivable.- Handled staffing and training of personnel.- Led a team of 50 subordinates.Achievements:- Introduced short-term and long-term sales planning by branches.- Increased completed transactions by 28% year-over-year.- Implemented a front & back office work system in sales.- Reduced overdue accounts receivable from 37% to 18%.---Education:    ---Certifications:---Languages:---References available upon request."
468,"            ---Professional SummaryDynamic professional with extensive experience managing design projects and leading multidisciplinary teams. Expertise in client consultation, project management, and process optimization. Proficient in Agile, Scrum, and Kanban methodologies with strong analytical skills and a commitment to continuous improvement. Actively enhancing skills in product management.Professional ExperienceDesign Project Manager- Directed design projects from inception to completion, ensuring the delivery of high-quality results.- Led and motivated designers, 3D modelers, and other team members to meet project objectives.- Engaged with clients and executives on potential projects and 3D modeling orders.- Managed order processing and project timelines efficiently.- Handled accounting duties and managed project budgets.- Delivered exceptional communication and support to clients.- Resolved issues effectively, ensuring timely delivery of completed products and regular payment control.- Coordinated with all departments for seamless project execution.- Planned and controlled processes to enhance efficiency and reduce costs.- Analyzed data to support decision-making and improve project outcomes.Additional Skills and Knowledge in Project Management- Thorough understanding and application of Agile, Scrum, and Kanban methodologies.- Experienced with Bitrix, Jira, Trello, and Asana workspaces.- Knowledgeable in Software Development Life Cycle (SDLC) processes.- Managed project teams and monitored team performance.- Proficient in Google Analytics.- Maintained accurate records and documentation.- Skilled in project planning both internally and externally.- Completed the ""Genius"" project management course by genius.space.- Currently pursuing product management courses through Skillsetter (skillsetter.io).---Education- ""Genius"" Project Management Course (genius.space).- Ongoing Product Management Courses (Skillsetter).---Technical Skills- Bitrix- Jira- Trello- Asana- Google Analytics---Methodologies- Agile- Scrum- Kanban---Certificates- ""Genius"" Project Management Course---Professional Development- Ongoing Product Manager Course (Skillsetter)---Personal Attributes- Strong leadership and team motivation skills- Proficient in client consultation and support- Exceptional problem-solving abilities- Efficient in process optimization and cost control- Effective communication and project coordination---"
469,"         --- Professional SummaryDedicated and results-driven Line Producer with extensive experience in film production and media publishing. Proven track record in significantly reducing equipment rental costs by 85%, and successfully managing the production process from inception through to delivery. Skilled in project planning, team organization, process control, and budget management. Demonstrates strong capabilities in optimizing workflows, solving problems, and ensuring high-quality product delivery through effective teamwork.--- Core Competencies- Project Planning- Team Organization- Process Control- Deadline and Budget Management- Process Optimization- Risk Management- Communication- Time Management- Analytical Skills--- Technical Skills- Asana- Jira- Confluence--- Professional ExperienceLine Producer  Film Production and Media Publishing  Projects: ""Kriposna, 3rd Season"", ""Spiymaty Kaydasha"", ""Koly my vdoma"", ""Shvidka dopomoga"", and others- Oversaw technical resources and teams across various projects.- Achieved an 85% reduction in equipment rental costs.- Established and managed production from scratch with technical resources internationally.- Controlled and optimized budgets effectively.- Directed the entire production cycle, including planning, filming, process control, team supervision, and editing.- Delivered high-quality final products to clients.- Enhanced production efficiency through process optimization.- Solved complex problems using innovative and strategic approaches.--- Education _(if applicable)_--- Personal Attributes- Highly motivated with a fast-learning aptitude.- Proficient in optimizing processes and exploring new methodologies.- Excels in fostering collaborative and high-performing team environments.--- Preferences- Seeking roles in established companies with mature processes. Not interested in startup environments."
470,"          ---Objective:  Dedicated and motivated professional seeking an HR-related role within a company that prioritizes human capital and long-term growth. Eager to begin in an entry-level position with opportunities for advancement based on performance.---Professional Experience:Photo Operations Manager  Royal Caribbean and Celebrity Cruises- Drove financial outcomes and enhanced employee satisfaction in the Photo operation onboard Royal Caribbean and Celebrity Cruises ships.- Adapted marketing strategies to align with business needs.- Overseen the onboarding process and ensured a smooth transition for new staff members.- Led teams of 10 to 13 employees; managed work schedules, organized team activities, and maintained high levels of employee satisfaction.- Addressed customer service issues proactively and reactively to ensure guest satisfaction in the Photo Gallery.- Built trust and demonstrated professional communication with ship’s officers, department heads, and shore side management.Intern    (Focused on Shopify Web Development)- Completed a 3-month internship specializing in Shopify web development.---Summary of Experience:- Over 4 years of experience leading teams of 10-25 employees as a Head of Department in the cruise industry.- Achieved financial targets and facilitated the training and development of new employees.- Proficient in business communication with clients and management.---Skills:- Team Leadership- Marketing Strategy Adaptation- New Employee Orientation- Customer Service- Professional Communication- Shopify Web Development (Internship Level)---Education:   |     ---References:  Available upon request"
471,"Professional Summary:Resourceful and driven professional with expertise in project management, coding, and a range of technologies. Proven ability to lead successful projects and organize impactful events. Skilled in collaborating with diverse teams and stakeholders. Eager to pursue opportunities that foster growth in a dynamic and challenging environment.Experience:Project ManagerSmart Weather Station for Paragliders - Start-Up- Collaborated with team members to develop a start-up focused on creating a smart weather station tailored for paragliders.- Pitched the project effectively to stakeholders, securing potential investments before external factors paused the project.- Engaged with stakeholders, conducted market analysis, organized meetings, and maintained detailed project documentation.MemberAIESEC International Organization- Organized international events and managed projects, working as part of a multicultural team.- Enhanced cross-cultural communication and project management skills through collaboration with individuals from various countries.Skills:- Project Management- Stakeholder Communication- Market Analysis- Event Organization- Coding- Proficiency in Various TechnologiesObjective:Aiming to contribute to an organization where I can apply my project management and technical skills, while embracing new challenges that support continuous professional and personal growth."
472,"           (if applicable)  ---Professional Summary  A dedicated and versatile designer with over 4 years of experience in graphic and web design. I specialize in electronic multimedia publications and hold both a bachelor's and master's degree from KhNEU. S. Kuznets. My skill set includes corporate identity creation and redesign, project management from inception to completion, and effective customer communication. I excel at planning, risk management, and rapid problem-solving. My psychological insight aids in understanding and connecting with diverse groups.---Experience  Web and Graphic Designer  LOGOVO, Kharkiv, Ukraine  Feb 2019 – May 2020  - Developed and redesigned corporate identities  - Crafted printed materials and advertising banners  - Prepared files for commercial printing  - Built and maintained WordPress websites  Content Manager  COZI.UA, Kharkiv, Ukraine  Aug 2020 – Sept 2020  - Coordinated and conducted professional photo shoots  - Produced photo and video content  - Authored scripts for client communicationTrainee, Layout Maker  Newspaper ""Kharkiv News"", Kharkiv, Ukraine  Oct 2021 – Nov 2021  - Designed and prepared layouts for printing  - Processed and optimized illustrative materials  - Arranged content for newspaper pages  ---Competitions  - Participated in city competitions to design a logo for the Department of Family, Youth and Sports  ---Skills  - Graphic and web design  - Corporate identity development  - Project management and planning  - Effective client communication and brief drafting  - Problem-solving and risk management  - CSS/HTML proficiency  - Strong psychological understanding for effective interpersonal connections  ---Education  Master's Degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)  KhNEU. S. Kuznets, Kharkiv, Ukraine  Bachelor's Degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)  KhNEU. S. Kuznets, Kharkiv, Ukraine"
473,"Junior Project Manager---Summary:Result-driven Junior Project Manager with one year of experience in end-to-end delivery of commercial projects using Agile methodologies such as Scrum and Lean. Demonstrates strong critical thinking and analytical skills to achieve project goals efficiently and effectively.---Professional Experience:Junior Project Manager- Delivered commercial projects by effectively applying Agile practices including Scrum and Lean.- Led a team of six translators and technical consultants, ensuring project completion within stringent deadlines and limited reference materials.- Managed a project on maintenance documentation for high-value equipment, achieving a 2.5x reduction in lead time and producing over 10,000 technical words in Ukrainian in just eight days.- Showcased exceptional organizational and decision-making abilities in high-pressure environments.- Recognized for outstanding communication and stakeholder management at all organizational levels.---Additional Professional Experience:Qualified Interpreter- Two years of experience in interpretation across diverse fields such as military, IT, and humanitarian work.---Skills:- Project Management- Agile Methodologies (Scrum, Lean)- Team Leadership- Critical Thinking- Analytical Skills- Prioritizing- Decision-Making- Communication- Stakeholder Management---Strengths:Highly organized and structured professional with a proven ability to deliver results in fast-paced and high-stress scenarios."
474,"---Professional ExperienceHead of PharmacyPharmacy Chain ""Gamma-55""  July 2014 to August 2019  - Administered immunizations, travel medicine, medication therapy management, and other specialty programs.- Managed paperwork and entered prescription and insurance billing information into patient profiles.- Collaborated with healthcare professionals to evaluate medication therapy quality and effectiveness.- Trained and supervised technicians and sales assistants to ensure smooth pharmacy operations.- Managed busy schedules and sales plans, resulting in a 10% increase in annual revenue.- Promoted from pharmacist to head of pharmacy after 2 years of work.Private Entrepreneur/Senior Sales ManagerWomen's Clothing Chain  August 2019 to February 2022  - Enhanced customer experiences to build brand loyalty.- Supervised contracted employees to deliver work on schedule.- Met schedules using excellent planning and coordination skills.- Identified and implemented new solutions to improve overall efficiency.Trainee Project Manager (Pet Project)IT School IAMPM Project Management Courses  March 2022 to August 2022  - Developed detailed project plans to track progress.- Used verification techniques to manage changes in project scope, schedule, and costs.- Performed risk management to minimize project risks.- Created and maintained comprehensive project documentation.- Experienced with tools: Miro, Product Plan, Jira, Confluence, Trello.---Skills- Project Management: Miro, Product Plan, Jira, Confluence, Trello- Sales and Customer Relationship Management- Team Leadership and Training- Planning and Coordination- Pharmacy Operations Management- Risk Management and Problem Solving"
475,"---Professional SummaryDynamic and results-driven professional with a diverse background in radiotechnical systems engineering, business process optimization, and digital advertising management. Proven success in optimizing production processes, developing comprehensive accounting systems, and enhancing client relationships and ad campaign performance. Skilled in communication, project management, and technical analytics. Adept at leading teams to achieve strategic objectives and drive business growth.---Work ExperienceTRENDOAccount Manager  July 2022 - Present  - Communicated with foreign clients to achieve satisfactory results.- Analyzed and reported on advertising campaigns.- Conducted sprint meetings with the project team to distribute tasks and deadlines.- Worked in accordance with the Kanban methodology.- Set up websites with GTM.- Customized Universal and GA4 analytics.- Established conversions for Google Ads.- Optimized Google Merchant and Shopify platforms.ZEZMANJunior Project Manager / Junior Business Analyst  September 2021 - April 2022  - Created schedules and collected documents to guide projects and outcomes.- Communicated with stakeholders about scheduling, staffing, and technical requirements.- Organized work for the Business Analytics Unit.- Planned large-scale digitalization projects and implemented electronic document management systems.- Supported the implementation and optimization of business processes.ORCSSDAdministrative Manager (Project Sphere)  July 2020 - September 2021  - Created schedules and collected documents to guide projects and outcomes.- Translated metrics into actionable intelligence.- Managed expectations and tracked risks and benefits.- Communicated with stakeholders about scheduling, staffing, and technical requirements.Vs ProjectJunior Technical Project Manager  February 2020 - April 2020  - Oversaw full project life cycle ownership, from initiation to deployment.- Ensured projects adhered to scope, schedule, budget, and quality standards.Government ProjectsTrainee Project Manager  October 2019 - December 2019  - Planned, managed, and monitored project execution.- Delivered projects on-time and within budget.---Skills- Business Process Optimization- Advertising Campaign Analytics- Client Communication- Project Management- Digitalization and Electronic Document Management- GTM and Google Analytics- Google Ads and Google Merchant Customization- Shopify Optimization- Kanban Methodology---EducationRadiotechnical Systems Engineering  Management and Optimization of Business Processes---Key Achievements- Developed a system to optimize and automate the electrolysis system in a copper plant, saving and controlling a key production step.- Devised a new accounting and control system for production stages.- Managed and enhanced advertising campaigns, achieving a ROAS of 700% per month.- Built comprehensive communication strategies that led to positive client feedback and successful project outcomes.---Languages- ---ReferencesAvailable upon request."
