,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
104,"Досвідчений користувач з відмінним володінням пакетом MS Office (Excel, PowerPoint, Word), графічними редакторами (Photoshop) та роботою з електронною поштою. Впевнено працюю з різними браузерами (Opera, Firefox, Chrome) та маю навички роботи з операційною системою Windows. Розумію принципи роботи e-commerce, оскільки займаюся розвитком власних магазинів на різних marketplace платформах. Налаштовував SMM в Instagram та Facebook. Знайомий з доменами, хостингом, FTP, FileZilla, Notepad++. Почав вивчати Agile, Kanban і Scrum, а також знайомий з системою Jira.

Адміністратор
ТОВ ""РСГП ""СТОЛИЧНИЙ"", Київ (Об’єкт оптової торгівлі, реалізований у форматі багатофункціонального логістичного комплексу)

- Прийом зміни, перевірка протипожежного стану, перевірка особового складу, постановка завдань на день.
- Організація ефективної та якісної роботи ринку в межах своїх повноважень.
- Перевірка території та виконання завдань зміною.
- Виведення касових апаратів, формування Z-звітів, заповнення КОРО.
- Розстановка та контроль торговельних точок.
- Вирішення нештатних, конфліктних та надзвичайних ситуацій.
- Контроль якості обслуговування клієнтів.
- Розгляд скарг відвідувачів та вжиття заходів для їх вирішення.
- Налагодження контактів з виробниками.
- Складання звітів про роботу протягом дня та подання керівнику, ведення службової документації.

Маю бажання долучитися до сфери IT, набути практичний досвід роботи, навчатися новому та розвивати навички, які застосовуються в роботі менеджера проекту."
105,"Аналіз сайту, тематики і конкурентів  
Формування семантичного ядра  
Формування мета-тегів  
Формування завдань на оптимізацію контенту  
Проведення технічного аудиту  
Формування завдань на технічну оптимізацію сайту  
Зовнішня оптимізація сайту  
Лінкбілдинг  
Практичні навички роботи з Serpstat, GA, Netpeak Spider, Ahrefs, Plerdy  "
106,"Диплом магістра в сфері переробки продукції тваринництва. 1 рік досвіду роботи адміністратором.

Мета: Розвиток у напрямку Project Manager, оскільки це цікаве та перспективне для мене. Вивчаю теорію роботи менеджером (Класичний проектний менеджмент, Agile, Scrum, Lean).

Досвід роботи в умовах ненормованого робочого графіка, включаючи роботу у святкові дні."
107,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Мета:
Шукаю можливість застосувати свої знання та навички в ролі PM менеджера, щоб сприяти успішній реалізації проектів.

Навички:
- Впевнене володіння інструментами: Trello, Miro
- Вміння складати діаграми Ганта, матрицю RASA
- Досвід створення brief, user stories
- Навички прототипування
- Управління ризиками

Освіта:
Курс PM Manager

Особисті якості:
- Швидко навчаюся
- Легко знаходжу спільну мову з людьми
- Готова до нових викликів

Досвід роботи:
- Немає досвіду в ІТ сфері, але маю чітке уявлення про роботу менеджера на всіх фазах реалізації проекту."
108,"Вивчаю англійську, пройшов курси і отримав сертифікати. Навчаюся на магістратурі за спеціальністю ""Управління проектами"". Наразі не маю досвіду роботи в цій сфері, але прагну отримати практичний досвід і розвиватися як проджект-менеджер в одній з компаній. Маю сильне бажання стати досвідченим у цій галузі. Розглядаю можливості віддаленої роботи, роботи в офісі, а також стажування."
109,"Хореограф та Відеооператор з 10-річним досвідом роботи в танцювальному центрі в Києві. Володію креативним підходом, маю значний досвід комунікації та роботи з людьми. Застосовую психологію ведення танцювальних занять та індивідуальний підхід до кожного студента. Шукаю можливість розпочати кар'єру в ІТ-сфері, яка мене дуже цікавить. Очікую на дружній колектив та цікаву роботу з людьми."
110,"1. Допоміг клієнтам заробити понад 2 000 000 грн валового прибутку.
2. Вів понад 101 проект як спеціаліст і більше 70 як керуючий проектами.
3. Освоїв понад 100 000$ рекламного бюджету самостійно, до 200 000$ під моїм наглядом.
4. Спілкувався з підприємцями з різних ніш.

Сильні сторони:
- Чесний підхід.
- Виконую обіцянки.
- Завжди дотримуюсь термінів, хоч і повільно.
- Маю власне бачення кінцевого результату.
- Поєдную красу та ефективність.
- Вмію говорити ""ні"".
- Вказую на помилки, не підлизуюсь.
- Вмію організувати та створити систему.
- Вмію слухати та чути, хоча буваю впертим.
- Хочу допомагати іншим.
- Відкритий до нового, не заперечую варіанти.

Досвід роботи:

Бізнес-аналітик у Palmo (комерційна медицина)
05.2022 - 08.2022
Навички: створення технічних завдань, складання макетів на Figma, збирання технічних вимог, розробка логіки роботи між сервісами.

Project Manager у Morris
04.2021 - 07.2022
Вів до 70-80 проектів. Одночасно керував понад 27 проектами. Освоєно до 200 000$ рекламного бюджету. Задоволеність клієнтів 70%+.
Навички: стресостійкість, комунікація, структурність, багатозадачність.

Таргетолог/Інтернет-маркетолог, Freelancer
02.2019 - 03.2022
Реклама, продажі, зустрічі.
Навички: продаж, маркетинг, упаковка, реклама, аккаунт-менеджмент, навчання, консультування.

Таргетолог/Інтернет-маркетолог у Brand U!
01.2019 - 09.2019
Стратегії, тех. завдання, реклама, зустрічі. Допоміг заробити понад 1 100 000 грн.
Навички: настроювання реклами, маркетингове мислення, консультації.

Фрілансер-таргетолог
07.2018 - 12.2018
Заснував агенцію. Налаштування реклами, продажі, зустрічі.
Навички: підприємницька діяльність, реклама в різних нішах.

Менеджер з продажу та SMM-спеціаліст у Flavien
08.2017 - 06.2018
Продаж дитячого одягу, соц. мережі, реклама. Зароблено 600 000+ грн у холодну базу, 800 000+ грн у теплу.
Навички: копірайтинг, продаж по телефону, реклама.

Оператор квест-кімнати The Key
08.2016 - 06.2017
Проведення ігор, лагодження кімнат, продажі.
Навички: імпровізація, продаж, стресостійкість.

Бажання:
- Працювати в органічному проекті, корисному людству. Цікавлять IT-проекти та онлайн-навчання.
- Координувати, планувати, організовувати, навчати і навчатись.
- Свобода дій та довіра."
111,Позитивний досвід роботи з декількома міжнародними компаніями. Понад 10 років досвіду у графічному дизайні. Знання повного циклу виробництва від ідеї до видачі замовнику. Наразі займаюся організацією повного виробничого процесу та координуванням роботи дизайнерів із субпідрядних організацій. Шукаю можливість цікавої віддаленої роботи з можливістю спілкування англійською мовою для покращення навичок. Цікавить розвиток у напрямку Project Management.
112,"Участь у реалізації декількох проектів з ребрендингу та організації нових представництв в Україні. 

Більше 10 років досвіду на посаді Sales Manager: робота з клієнтами та участь в організації роботи офісу. 

Маю бажання розвиватися в ролі IT Project Manager, активно вивчаю цю тему. Пройшов курс Project Management 101 в Fedoruk.works."
113,"Досвідчений фахівець з текстами та візуальним контентом з понад 7-річним стажем. Понад 4 роки досвіду в SMM, працюючи як на стороні агентства, так і брендів. Орієнтований на розвиток у діджитал сфері, зокрема в діджитал маркетингу, стратегії та проджект менеджменті."
114,"Великий досвід в організації освітніх заходів. Успішне управління командою до 6 осіб. Побудова проєктних процесів, бюджетування. Маю додаткову освіту у сфері менеджменту ситуацій на психології.

Близько 5 років досвіду в проектній роботі: освітня сфера, в тому числі IT, медіа, оптова торгівля, будівельна сфера, консалтинг/аудит, фармацевтика, FMCG. Досвід управління командою до 6 осіб. Експертиза в організації заходів у сфері психології, дитячих міських таборів, днів відкритих дверей та виставок на 1000+ учасників. Досвід роботи з B2B та B2C клієнтами. Організаційні навички проекту від стратегії до фінансової звітності та аналізу успішності проекту. Досвід роботи в програмах 1С, Bitrix24, CRM. Значний досвід комунікації клієнт/учасники/підрядники, наповнення сайтів, ведення соцмереж, email/Viber розсилок, робота зі ЗМІ, взаємодія з командою через Agile інструменти. Англійська на рівні Pre-Intermediate. Вища освіта та додаткова у сфері маркетингу. З березня 2022 займаюся індивідуальними консультаціями у сфері маркетингу та проектною діяльністю."
115,"Слідкував за ризиками та досягненнями команди у створенні маркетплейсу marktrade.com.ua. Брав участь у проектах маркетингової компанії marksoft.com, де займався створенням інтернет-магазинів, порталів, маркетплейсів та їх просуванням. Виконував організаційні обов'язки, а також частково ролі бізнес-аналітика та маркетолога. Прагну розвиватися у ролі проектного менеджера, закінчив відповідний курс."
116,"Амбасадор проєкту ""Lead for Peace"" 2021

Досвід роботи:

Тім лідер команди в громадській організації AIESEC
- Керувала командою, що займалася освітнім проєктом ""Lead for Peace"".
- Відповідала за комунікацію з амбасадорами та делегатами до завершення проєкту.
- Лідирувала та розвивала команду.
- Досягнення: 96% задоволених амбасадорів та делегатів, залучено 500+ дітей, 15 амбасадорів, 9 шкіл, проведено 18 уроків (офлайн та онлайн).

Тім лідер команди по роботі з українськими громадськими організаціями
- Проєкт з гуманітарної допомоги.
- Основні обов'язки: пошук та комунікація з потенційними партнерами, проведення дзвінків, створення звітів.
- Досягнення: перевезено 1 тонну гуманітарної допомоги для ВПО, продовження активної роботи."
117,"- Управління понад 5 проектами у сфері веб-розробки
- Організація та проведення зустрічей з командами
- Взаємодія з клієнтами
- Розробка технічних завдань
- Вирішення організаційних питань у компанії
- Управління ризиками
- Підготовка документації"
118,"Project Manager

Досвід роботи:
- Виявлення проблемних місць в організації робочих процесів, що сприяло їх покращенню.
- Ведення проектів: планування, організація команди, контроль дедлайнів.
- Комунікація з клієнтами та ведення переговорів.
- Ведення документації: договори, додатки до договорів, технічні завдання, рахунки, акти, документація, пов'язана з плануванням роботи.
- Аналіз ризиків та помилок після завершення кожного проекту.
- Тестування.

Пріоритети в роботі:
1. Команда
2. Зрозумілі цілі та завдання
3. Підтримка керівництва"
119,"Освіта:
- Курс ""Основи управління командами та проєктами в ІТ"" від Prometheus та LITS.

Навички:
- Базові знання HTML, CSS та JavaScript.
- Досвід роботи з Microsoft Office, Google Docs, Trello, Asana.

Досвід:
- Ведення проектної документації.
- Допомога керівникам проектів у координації ресурсів, обладнання та інформації.

Мета:
- Пошук нової професії та можливостей для розвитку власних знань, вмінь та навичок."
120,"StartUp ""SayHome"" - перемога в акселераторі. Проєкт призупинено через агресію країни-терориста.

Великий досвід в архітектурно-будівельній сфері (8 років роботи).

Розвиток компанії ADC-GROUP від мінімальних замовлень СС1 до співпраці з великими проєктами СС3.

Будівництво компанії з нуля: від пошуку приміщення до запрошення великих підрядних організацій для роботи."
121,"До своїх сильних сторін можу віднести володіння іноземними мовами, уміння легко підтримувати ділові та професійні контакти, прагнення до професійного розвитку. Маю досвід ведення переговорів іноземними мовами та участі у проектах різного характеру. З 2016 по 2019 проживав в м. Відень, Австрія.

Досвід роботи:

вер 2020 - бер 2021  
Helpware Ukraine - Менеджер по роботі з німецькомовними клієнтами  
- Консультування клієнтів англійською та німецькою мовами  
- Вирішення кризових ситуацій, що виникають у ході проекту  
- Внесення пропозицій щодо вдосконалення проекту та тестування нововведень  
- Ведення ділової переписки  

07/2019 – 08/2019  
Культурний проект між Російською та Австрійською сторонами (Перекладач, юрисконсульт) – Відень, Австрія  
- Юридична допомога  
- Переклад у ході переговорів з німецької та англійської мов на російську та навпаки  

02/2019 – 06/2019  
Промислово фінансовий консорціум «ІМС» – Київ, Україна  
- Ведення графіку зустрічей керівника  
- Допомога в підготовці договорів  
- Внесення правок відповідно до запитів юристів  
- Переклад з української (російської) на англійську мови та навпаки  "
122,"Встановив понад 150 бігбордів 3х6м. Вів рекламну кампанію на рекламних конструкціях для одного з депутатів по всій країні. Виконував обов'язки керівника рекламного підприємства, займався веденням клієнтів. Основні задачі:

- Постановка задач працівникам офісу та контроль їх виконання
- Організація роботи виробничого цеху (друк рекламної продукції, виготовлення зовнішньої реклами)
- Вибудовування міжособових взаємовідносин
- Розробка маркетингового плану та його реалізація
- Спілкування з клієнтами (проведення ділових зустрічей, консультування, вирішення суперечок)
- Аналіз робочих процесів та їх удосконалення
- Мотивація співробітників"
123,"Вдало мігрував розважальний онлайн бізнес з однієї платформи на іншу без зниження фінансових показників діяльності. 

Маю понад 3 роки досвіду в управлінні проектами, зокрема в онлайн бізнесі у продуктовій компанії. Виконував обов'язки SM/PM/PO на різних стадіях проекту. Працював з 2-3 командами одночасно, з яких 1-2 команди - віддалено. Виконував роль посередника між бізнесом і девелоперами, працюючи у жорстких строках через особливості бізнесу. Використовував методологію Scrum. Останнім часом сфокусований на розвитку і підтримці десктоп версії сайту (europebet.com).

Ефективно використовую навички комунікації та роботи з командою, паралельно набуваючи нового досвіду в управлінні проектами та інформаційних технологіях."
124,"Дмитро

Досягнення
- Збільшення частки ринкових продажів
- Укладання контрактів
- Формування лояльної репутації
- Створення комфортних умов для команди
- Випуск нових апаратних та програмних рішень
- Розробка нових апаратних та програмних функцій
- Прототипування UX/UI програмних забезпечень та функцій

Особливості
- Організаторські здібності
- Постійний саморозвиток
- Щирість та відкритість
- Ґрунтовний підхід
- Комунікабельність
- Відповідальність
- Стресостійкість
- Технічні знання
- Ініціативність

Навички
- JIRA (ZenTao) – середній
- Google Docs – просунутий
- MS Office – просунутий
- MS Project – початковий
- Figma (Mockitt) – середній
- Illustrator/Photoshop – середній
- Пайка SMD – середній

Мови
- Англійська – A2 початкова (продовжую постійно займатись)
- HTML/CSS/JS – початкова

Курси
- Become a Project Manager - Linkedin
- Become a Sales Representative - Linkedin

Досвід роботи

Assistant Project Manager, Українська IoT IT компанія
- Здобув навички щоденної операційної роботи з командою розробки продукту
- Використання Jira для дотримання робочих процесів та наповнення беклогу
- Проведення бізнес-аналізу аналогічних рішень та тестування продуктів
- UX/UI прототипування у Figma
- Підготовка релізів, оцінка прогресу, складання звітів

Технічна підтримка, Китайська IT компанія
- Консультування, навчання та технічна підтримка клієнтів
- Пошук та відвідування потенційних клієнтів, укладання контрактів
- Участь у міжнародних виставках, організація стенда компанії
- Збір та аналіз зворотного зв'язку про продукти
- Формування вимог до продуктів
- Адміністрування та просування сайтів та соціальних сторінок
- Створення та переклад технічних документів та маркетингових матеріалів
- Переклад інтерфейсів продуктів
- Тестування та пошук помилок в продуктах
- Пошук та формування шляхів вирішення проблем
- Пошук та аналіз аналогічних рішень
- Розробка та впровадження нових функцій
- Прототипування UX/UI
- Взаємодія із розробниками компанії

Мета
Заглибитись в управління проєктами та/або продуктами, допомагати команді та клієнтам порозумітися, вирішувати їхні проблеми на шляху до мети."
125,"З точки зору ІТ нема поки ні чим поділитись. Але багато чого можу розказати про досвід і вміння на співбесіді. Точно можу сказати, що знаходити спільну мову з різними типами людей - це те, що я вмію найкраще. Як так - пояснити не можу. Така з коробки.

**Власник кінно-спортивного комплексу (КСК Александрія ПГТ. Гостомель)**
_3 роки (2019 — 2022)_

- Оновила штат працівників, які обслуговували комплекс.
- Провела повну реконструкцію будівлі та облаштування території.
- Додала нові послуги: дитяча школа, тренування, базова підготовка, Берейтор, Тренер, Коновод.
- З 24.02.2022 займалась порятунком, реабілітацією та вивозом коней з усієї київської області.

**Архіваріус (помічник Нотаріуса)**
_3 роки (2013 - 2016)_

- Складання звітності документів, порядок дій у паперах для щорічної перевірки перед Мін'юстом України.
- Оптимізувала термін подання документів перед перевіркою з Мін'юсту.
- Організувала роботу з клієнтами, щоб документи подавалися у строк.

**Виконавчий Директор**
_7 років (2011-2018)_

- Починала з офіціанта/бармена/адміністратора в різних закладах міста Києва (Голосіївський Двір, Кофе Хауз, Селфіш Клаб, Адмірал).
- 02.2017 — 04.2017 - Займала посаду виконавчого директора в ресторані Баку.
- Провела ребрендинг меню ресторану для збільшення продажів - кількість відвідувачів збільшилась вдвічі протягом місяця.
- Налагодила комунікацію з керівництвом ресторану, що покращило загальну атмосферу в колективі.
- Змінила внутрішню систему для замовлень та звітності, що покращило сервіс для гостей та швидкість виконання замовлень та щотижневої звітності.

**Менеджер з продажів (VILLELECTRIC)**
_1 рік (07.2014 — 01.2015)_

- Продаж генераторів в Україні і загального обладнання для будівництва.
- Налаштувала маркетингову кампанію із продажу, і кількість продажів збільшилася на 300% (з 3 до 12 на місяць).
- Налагодила ставлення на ринку продажів, що допомогло виграти тендер для великих забудовників.

**Молодший Лейтенант (Кавалерійська служба України)**
_1 рік (01.2013 — 04.2014)_

- Начальник взводу роти та дисципліни по роботі у місті з кіньми верхи.
- Покращила взаємини вершника та коня та навчила їх працювати як одна команда.
- Навчила знанням верхової їзди, що покращило загальний показник роботи у місті.
- Провела ряд робіт з соціалізації коней у місті, у величезному скупченні людей та адаптації до гучних звуків."
126,"Готова до нових задач та викликів, енергійна, комунікабельна та організована. Активно займалася організацією заходів під час навчання та роботи. Вивчала та пробувала себе у декількох мовах програмування. На роботі займалася як технічними, так і організаційними аспектами, працювала з документацією та надавала технічну підтримку.

Ready for new tasks and challenges, energetic, communicative, and organized. Actively involved in organizing events during studies and work. Studied and explored several programming languages. At work, engaged in both technical and organizational aspects, worked with documentation, and provided technical support."
127,"Засновник Stand Up клубу.

Реалізував понад 45 відео на YouTube.

Заробляв на соціальній мережі TikTok.

Досвід роботи:

- COMFY (Retail), Контентний продюсер.
  Реалізація ідей у готовий контент для YouTube каналу.

- TikTok для бізнесу, Контентний продюсер.
  Створення з нуля та наповнення акаунтів для Ласунки, Boomza, Concordbank.

- Світло наприкінці тижня (Stand up клуб), Засновник.
  Організація та контроль концертного графіка для більш ніж 12 коміків."
128,"Ольга

Мета:
Прагну розвиватися в сфері управління проектами, зокрема в IT-компаніях, які постійно розвиваються та впроваджують інновації.

Освіта та сертифікації:
- Пройшла курси керування людьми
- Вивчала методологію НЛП
- Маю численні сертифікати, хоча не всі вони стосуються безпосередньо сфери управління проектами

Навички:
- Вміння ефективно керувати людьми та організовувати процеси
- Досвід організації івентів
- Високий рівень комунікабельності та соціальних навичок
- Здатність генерувати ідеї та реалізовувати їх
- Організованість та дисциплінованість

Професійні якості:
- Відповідальність та лояльність
- Готовність дотримуватися правил і культури компанії
- Сильне бажання навчатися та розвиватися

Позиція:
Відкрита до можливостей на посадах помічника чи стажера з перспективою розвитку в сфері управління проектами. Готова повністю присвятити себе роботі та вносити свій вклад в успіх компанії."
129,"Відкрита до нових можливостей у сфері, що передбачає активну комунікацію з людьми. Володію знаннями ділового етикету та основами психології, що допомагає ефективно взаємодіяти в різних ситуаціях. У стресових або форс-мажорних обставинах залишаюсь спокійною та оперативно шукаю рішення. Шукаю роботу з гнучким графіком, не більше 5 днів на тиждень, з можливістю неповного робочого дня."
130,"PM ДП ""Е-консалтинг""

- Розробка плану проекту на основі зібраних вимог від замовника, визначення пріоритетів для команди.
- Підтримка життєдіяльності проекту, оцінка ризиків.
- Взаємодія з командою проекту, передача вимог від замовника, контроль виконання задач командою, проведення зустрічей команди.
- Взаємодія з клієнтом, проведення презентацій та демонстрацій рішення.
- Підготовка технічної документації по проекту.
- Робота з Jira, Confluence.
- Підготовка звітів по статусу проекту.

Ассount manager/Project coordinator ДП ""Е-консалтинг""

- Взаємодія з клієнтами компанії, побудова відносин.
- Розробка та ведення документації по проекту, ведення проекту в CRM системі.
- Організація технічної підтримки клієнтів.
- Документування проекту, підписання договорів, актів.
- Тестування продукту.

Помічник керівника ""ДП Е-консалтинг""

- Ведення ділового листування.
- Координація робочого графіку.
- Організація відряджень.
- Оформлення внутрішньої документації компанії.
- Організація роботи офісу.

Менеджер проекту ""МБФ ТОЧКА ОПОРИ""

- Організація проектів фонду, зокрема благодійного ярмарку для підтримки життєдіяльності фонду.
- Співпраця з волонтерами фонду, залучення волонтерів pro bono.
- Ведення сторінок фонду в Facebook.

Досвід впровадження контактного центру (більше 1000 операторів). Підтримка та розвиток платформи чат-ботів."
131,"Наймолодший співробітник у престижній юридичній фірмі. Успішно реалізовані проєкти, затверджені мерією міста. 200 балів за ЗНО. Досвід у юриспруденції, управлінні та викладанні."
132,"Підвищив прибуток клієнта з $500 до $70,000 на платформі Amazon.  
Створив понад 50 прибуткових рекламних кампаній.  
Понад 100 задоволених клієнтів.  
Досвід ведення численних проєктів одночасно, керівник маркетинг-студії повного циклу (створення сайтів, зйомка, монтаж відео, SMM, SEO, створення Telegram-ботів, дизайн, контекстна реклама).  
Постійний розвиток лінгвістичних та м'яких навичок.  
Сприяв розвитку таких компаній:  
- Liga Zakon  
- Metabo  
- Cherry Auto  
- Merx  
- Ayana Wellness  
Керування проєктами веб-розробки, управління виконавцями, спілкування з замовниками, бріфінг, формування технічних завдань, звітність перед керівництвом."
133,"Досвід навчання на курсах проектного менеджера від IAMPM на курсі DAO PM:

- Запуск проекту з розробки мобільного додатку для доставки їжі від ідеї до впровадження.
- Визначення та впровадження критеріїв успішності проекту згідно зі стандартами управління проектами.
- Організація роботи команди, планування завдань та ресурсів для досягнення цілей проекту.
- Ефективне використання інструментів та методологій управління проектами для досягнення максимальних результатів.
- Лідерство в команді."
134,"Досвід роботи

Посада: Junior Project Manager  
Компанія: City5 Consulting  

Обов'язки:  
- Введення проєктів  
- Вирішення проблем і усунення технічних проблем  
- Визначення та оцінення потреб клієнтів  
- Визначення доходу та відповідності клієнтів  
- Збір необхідної документації та передача у відділ обробки  
- Підготовка звітної документації по проекту  "
135,"Курси: PM, QA, MINI MBA

Досягнення:
- Розробка mobile CRM системи (замовник - США) для замовлення перукарських послуг до стадії User Acceptance Testing
- Розробка невеликої mobile CRM системи (замовник - Україна) для зчитування та перевірки QR-кодів
- Розробка десктопної CRM системи (замовник - Україна) для замовлення квітів
- Координування проведення UX-дизайну десктопної CRM системи (замовник - Україна)
- Участь у розробці десктопної ERP-системи (замовник - Україна) для заводу металоконструкцій з впровадженням обліку та контролю інформації, прийняття та обробки замовлень, відслідковування залишків, бухгалтерські розрахунки
- Підготовка єстімейтів для нових проектів

Досвід роботи: 1,5+ роки
- Успішний досвід розробки програмного забезпечення (CRM і ERP системи) з командою розміром 10+ членів
- Досвід роботи з віддаленою командою
- Роль Scrum Master та керування подіями Scrum
- Використання продуктів Atlassian (JIRA, Confluence)
- Управління, звітування, моніторинг (Trello, Toggl)
- Risk management
- People management

Навички:
- Project Management
- Scrum

Очікування від роботи:
- Приносити користь команді
- Бути залученим до досягнення мети, яка стоїть перед компанією"
136,"Розробка лендінгів з розробниками, ТЗ, корекція, слідкування виконування всіх пунктів. Великий досвід з модерацією та контент наповненням товарів з різних ніш, та б.у. товарів. Гарне володіння управлінням сайту.

Досвід роботи

Legion Marketing
07.2023 — по поточний час

Досягнення:
- Планування місяця/тижня, контроль успішності та KPI
- Згуртування, мотивація підлеглих
- Допомога співробітникам у складних ситуаціях
- Спілкування, узгодження ТЗ/бріфування з існуючими клієнтами
- Супровід по наданню послуг

Project Manager
«Ломбард 24» «Афинаж ЛТД и компания»
12.2022 — 07.2023

Досягнення:
- Аудит корпоративних магазинів (5шт) на майданчику пром.юа, аналіз вивантаження товарів з 1С та їхня автоматизація, поліпшення видачі в пошуку на платформі.
- Створення лендінгів з різних ніш з 0, від ідеї до реалізації та налаштування реклами.
- Збір конверсії, поліпшення результатів
- Робота над сайтом-майданчиком з 0 (аналог розетки), SEO, контент, реклама, функціонал і оформлення.
- Розробка партнерської програми для трафіку.
- Робота з Serpstat: аналіз конкурентів, PPC ключових слів і оголошень.

Контент-Модератор удаленно
BOO
1 рік 2 місяці

Досягнення:
- Модерування оголошень постачальників, вся техніка, телефони, годинники, міксери, перфоратори, кавоварки, ноутбуки, планшети тощо.
- Пошук моделі та характеристик за фото, якщо їх не зазначено, відправлення на доопрацювання відповідно до правил компанії.

Linkbuilder
Фриланс удаленно

Досягнення:
- Крауд маркетинг, аутріч, робота з Ahrefs, Majestic, Check Trust.
- Робота з біржами посилань.
- Підбір донорів під різні СНД проєкти.
- Створення ТЗ копірайтерам. Робота з Google інструментами.

Главный администратор сайта
Apsen Diamond
11 місяців

Досягнення:
- Заповнення контентом: Картки товарів, seo ключі, заголовки h1, написання новин, коригування інформативних сторінок, створення банерів.
- Оновлений дизайн Інстаграм за погодженням з директором.

Обов'язки як Асистент Директора:
- Консультація щодо планів робіт (Програміст, Seo, Ppc, Контент, Smm), затвердження бюджетів, рішень, змін і подальших дій.
- Перевірка виконуваних робіт, аналіз Google Ads \ Analytics, Fb Ads."
