,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
116,"Ім'я Прізвище

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль або портфоліо]

Мета:
Прагну розвиватися як UX/UI дизайнер, створюючи інноваційні та ефективні дизайни для мобільних додатків.

Досвід роботи:

Розробник додатків
- Створив додаток NekoLab, який є універсальною заміною для більшості додатків, пов'язаних з Аніме, Манга, Ранобе.
- Розробляв CRM-систему для телевізійної компанії.
- Створив лендінг для курсів.

Освіта:
[Ваш навчальний заклад]
[Ступінь або спеціальність]
[Роки навчання]

Навички:
- UX/UI дизайн
- Розробка мобільних додатків
- Створення CRM-систем
- Веб-дизайн

Портфоліо:
[Посилання на ваше портфоліо]

Додаткова інформація:
Моє портфоліо демонструє еволюцію моїх навичок як UX/UI дизайнера через курсові проекти."
117,"Фриланс, Ірландія – UX/UI Designer  
Серпень 2023 – Теперішній час  
- Спілкування з клієнтом для розуміння його потреб, вимог і очікувань  
- Ретельний аналіз вимог замовника для розробки дизайну, включаючи створення ТЗ  
- Підбір кольорів та шрифтів, що відповідають бренду та цілям проєкту  
- Створення дизайн концепцій та макетів  
- Інтерактивний дизайн  
- Підготування файлів для передачі розробникам  
- Дотримання дедлайнів  

Beetroot Academy, Україна – навчання  
Квітень 2023 – Вересень 2023  
- Вивчення та практика основ дизайну, зокрема теорії кольору, композиції, типографіки та принципів UX досліджень  
- Аналіз конкурентів, створення персон, CJM та User flow  
- Розробка макетів інтерфейсів, wireframes та mockups  
- Виготовлення інтерактивних прототипів  
- Взаємодія з командою для створення студентських дизайн-концепцій, таких як вебсайти та мобільні додатки  
- Освоєння інструментів для дизайну та візуального оформлення UX досліджень, таких як Figma, Adobe Photoshop, Adobe Illustrator, Miro  
- Відтворення презентацій на задану тему  
- Допомога та підтримка інших студентів під час навчання  "
118,"Junior UX/UI Designer з Києва

Навички:
- Володіння програмами: Photoshop, Illustrator, Axure, Figma
- Досвід у мобільному дизайні та адаптації

Освіта:
- Пройшла кілька курсів з UX/UI дизайну

Особисті якості:
- Креативне мислення
- Комунікабельність
- Вміння працювати в команді
- Відповідальність та організованість

Додаткова інформація:
- Наразі не маю комерційного досвіду роботи в цій сфері
- Готова багато працювати та швидко вчитися
- Не зацікавлена у верстці

Професійний розвиток:
- Продовжую вдосконалювати свої навички та знання в UX/UI дизайні"
119,"Під час навчання у мене було три проекти:
- мобільний застосунок для навчання;
- CRM система;
- мобільний застосунок для онлайн перегляду фільмів.

Я UI/UX Designer початківець, маю сильні навички та знання в цій галузі. Пройшла курси від DAN.IT - курс UI/UX design. Проєктування та дизайн інтерфейсів, де навчилась UX дослідженню, робити користувальницький сценарій, схематичний прототип, інтерактивний прототип, створювати макети. Багато практикувалась у дизайні відповідно до вимог ринку. Вмію визначити проблему в дизайні та створювати прості, легкі у використанні, інтуїтивно зрозумілі дизайни. Я уважна до деталей та орієнтована на результат. Вмію працювати в команді та маю відмінні комунікаційні навички. Моє портфоліо доступне на Behance.

Мої скіли:
- web design / mobile design
- interface design / prototyping
- competitor research
- user personas, CJM / UJM
- wireframes / UI-Kit
- clickable prototype
- user flow
- components creation

Я хочу працювати над крутими проектами, особливо цікавить розробка мобільних застосунків. Для мене важливо:
- взаємоповага та дружня атмосфера у колективі;
- навчання та розвиток всередині компанії."
120,"UI/UX дизайнер-початківець, який прагне розвивати свої навички та досвід у цій галузі.

Навички та знання:
- Основні принципи дизайну: композиція, кольорові комбінації, типографіка.
- Розробка інтерфейсів користувача для веб-сайтів та мобільних додатків з урахуванням потреб користувачів та кращих практик UX/UI.
- Проектування та розробка елементів інтерфейсу: іконки, кнопки, форми, графічні елементи.
- Розробка макетів та прототипів з використанням Figma.
- Розуміння HTML, CSS та JavaScript для співпраці з розробниками та виконання вимог проекту.

Завжди готовий вчитися нового та вдосконалювати свої навички в галузі UX/UI дизайну. Вірю, що деталі роблять велику різницю в дизайні, і зосереджуюсь на кожному аспекті проекту."
121,"Я займалася розробкою UI/UX дизайну для Landing Page. Виконувала створення Lo-fi та Hi-Fi сторінок, розробляла UI-Kit, займалася прототипуванням. Використовувала Photoshop і Illustrator у своїй роботі. Досвід роботи в команді відсутній. Прагну розвиватися в напрямку веб-дизайну."
122,"Досвідчений дизайнер з 2-річним стажем роботи на фрилансі. Працювала над різноманітними проєктами, включаючи:

- Лендінг для художньої виставки
- Інтернет-магазин зоотоварів
- Лендінг для спеціаліста з таргетованої реклами
- Редизайн сервісу публічної онлайн бібліотеки

Маю досвід у розробці дизайну для соціальних мереж та графічному оформленні презентацій."
123,"Я закінчила 4,5 місячні курси Mobios School за напрямком UI/UX Web Design.

БО «IT-Sprout» - волонтер UI/UX Designer  
03.2022 – по теперішній час  
Задачі, що виконувала в проектах в яких взяла участь:

Advogram - проект юридичної та адвокатської допомоги.  
- створення дизайну лендінгу та перенесення його на платформу Carrd  
- створення презентацій для подачі проекту для участі в міжнародних грантах  
- розробка мобільного додатку на платформі Adalo (на даному етапі ще не завершено – опрацьовано шлях від реєстрації до подачі заявки та вибору спеціаліста)  

OffЗМІ - проект незалежних інтернет новин.  
- створення дизайну лендінгу на платформі Weblium  

Associo - проект діджиталізації правового сектору.  
- створення дизайну лендінгу адаптованого для перенесення його на платформу WordPress  

Під час курсів були створені наступні проекти:

Мобільний додаток – Шкільний асистент UNI  
Головною ідеєю було створення дизайну мобільного додатку, для співпраці між батьками, учнями та вчителями.  
- Створення дизайну мобільного додатку.  
- Пошук подібних додатків та аналіз їх функціональних можливоcтей, дослідження користувачів  
- Робота над створенням CJM (Customer Journey Map), Personas, User Flow, структури  
- Робота над high fidelity Prototypes, Wireframes, створення анімованого прототипу  
- UI Design – пошук візуального рішення, робота над дизайном, робота з MockUp, робота над анімаційними елементами додатку, підготовка презентації проекту.  

Інтернет магазин кави “Tasty Cup”  
Завданням було створення дизайну для інтернет-магазину кави, розробка назви та логотипу.  
- Робота з технічним завданням, аналіз та розуміння задач замовника, аналіз ринку та конкурентів, дослідження та визначення груп споживачів, робота над брифом  
- Створення варіантів назви та розробка варіантів майбутнього логотипу  
- Створення персонажів та історій користувачів, робота над CJM та структурою сайту  
- Розробка прототипів високої якості, робота над анімованими прототипами в InVision  
- Робота над UI частиною, створення візуального концепту магазину, розробка UI-Kit, робота з MockUps  
- Створення адаптивного дизайну під мобільну версію  

Корпоративний сайт для туристичної компанії “Extreme Tours Kaleidoscope”  
- Робота з технічним завданням, створення брифу, аналіз ринку та конкурентів замовника, аналіз споживачів  
- Створення персонажів та історій користувачів, робота над CJM та структури сайту  
- Розробка прототипів високої якості  
- Робота над UI частиною  "
124,"UI/UX дизайнер

Досвід:
- Виконала проекти: лендінг, редизайн сайту, веб-сервіс та мобільний додаток.

Redesign for Mainsail – Realty Company
- Створення сучасного та інтуїтивно зрозумілого користувацького інтерфейсу для привернення уваги потенційних клієнтів.
- Процес редизайну: аналіз конкурентів, профілі користувачів, вайрфреймінг, UI і UI-kit, прототипування, адаптація.

Web Service Pets - Study Case (робота в команді)
- Створення функціонального веб-сервісу для ефективного пошуку домашніх тварин.
- Процес: постановка проблеми, аналіз конкурентів, профілі користувачів, JTBD, карта шляху клієнта, мозковий штурм, User Flow, інформаційна архітектура, вайрфреймінг, візуальний дизайн, прототипування, адаптація.

Досвід роботи веб-дизайнером (6 місяців):
- Створення орнаментів, візерунків, ілюстрацій.
- Дизайн презентацій, сайтів.

Мета:
- Прагну працювати в компанії для швидкого розвитку та вдосконалення навичок, створення дизайнів, які вирішують проблеми та досягають бізнес-цілей і цілей користувачів."
125,"Ім'я та Прізвище

Контактна інформація:
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (якщо є)
- Портфоліо: [Посилання на сайт-портфоліо] (якщо є)

Мета:
Починаючий UX/UI дизайнер, прагну розвиватися у сфері веб-дизайну та веб-розробки. Шукаю можливості для застосування своїх навичок у створенні прототипів та дизайні, з метою подальшого розвитку в напрямку Full-stack Java розробки.

Освіта:
[Назва навчального закладу]
[Ступінь або курс, якщо є]
[Роки навчання]

Досвід:
- Створення прототипів для веб-проєктів, включаючи сайт-портфоліо та додаток для перегляду футбольних матчів.
- Розробка ескізів додатків (2-3 екрани).
- Самостійне опанування дизайну для покращення власного бачення веб-проєктів.

Навички:
- UX/UI дизайн
- Прототипування
- Основи веб-дизайну
- Розробка логотипів

Плани на майбутнє:
- Участь у дизайн-конкурсах
- Вивчення веб-програмування
- Розвиток у напрямку Full-stack Java розробки

Додаткова інформація:
- Готовність до виконання невеликих завдань для адаптації до робочого процесу
- Бажання працювати в команді та розвиватися професійно

[Дата складання резюме]"
126,"Ім'я Прізвище

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Посилання на ваш LinkedIn або портфоліо, якщо є]

Мета:
Отримати позицію Junior UI/UX дизайнера, щоб розвивати свої навички та зростати в професійній сфері.

Досвід роботи:

Розробник застосунку Science ID
- Створив та запустив власний застосунок Science ID, доступний у Google Play.
- Працював над усіма етапами розробки, від концепції до реалізації.

Солдат, Збройні Сили України
- Служив протягом року, розвиваючи навички командної роботи та стресостійкості.

Освіта та навчання:
- Самостійне вивчення UI/UX дизайну за допомогою підручників та відео на YouTube.
- Практичні заняття з Figma.

Навички:
- Розробка мобільних застосунків
- Основи UI/UX дизайну
- Робота з Figma
- Самоорганізація та здатність до самостійного навчання

Додаткова інформація:
- Мотивований та цілеспрямований, з бажанням розвиватися в сфері UI/UX дизайну."
127,"Виграла конкурс серед джунів-веб дизайнерів щодо права на розробку дизайну лендінг-пейдж для стартапу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.

Досвід роботи:
- Розробка дизайну лендінгу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Дизайн сайту для передзамовлення виробів магазину-пекарні (десктоп + мобільна версія).
- Дизайн мобільного додатку для купівлі та прослуховування аудіокниг українською.
- Редизайн сайту української компанії з розробки і підтримки електронних технологій.
- Розробка PDF-презентацій для компанії, що залучає інвестиції для стартапів.

Інструменти:
- Figma
- Adobe Photoshop
- Adobe After Effects

Професійні обмеження:
- Не працюю в сферах Adult, Gambling, Dating, Gamedev, Blockchain/Crypto.
- Не співпрацюю з компаніями, які мають зв'язки з Росією і Білоруссю."
128,"Світчер з досвідом роботи у сфері обслуговування клієнтів. Протягом кількох років здобула цінні навички, такі як адаптивність, вміння налагоджувати контакт, ефективне розв'язання конфліктів та запобігання їх виникненню. Добре розумію важливість дотримання дедлайнів та вмію працювати в умовах підвищеного навантаження."
129,"Фріланс, Квітень 2020 - дотепер

Графічний дизайнер

- Розробка фірмового стилю для музичного гурту «VSIVDOMA», включаючи ескізи логотипу та 10 рекламних постерів для соціальних мереж, веб-перегляду та друку.
- Створення дизайну для соціальних мереж гурту.
- Розробка концепцій дизайн макетів різноманітних рекламних носіїв з акцентом на шрифти, зображення, читабельність та потреби читачів.
- Співпраця з різними клієнтами, такими як британська компанія “EdTechX” та музичний гурт “VSIVDOMA”.
- Створення банерів, постерів та іншого рекламного контенту для соціальних мереж (Instagram, Facebook, Youtube).
- Досвід роботи з графічними редакторами: Illustrator, Photoshop, InDesign, Figma.
- Розуміння можливостей та обмежень HTML, CSS, JavaScript."
130,"Досвіду роботи не маю, але успішно завершив курси UI/UX Дизайну у комп'ютерній школі Hillel, маю сертифікат. Протягом курсу розробив редизайн для лендінгу сайта, його адаптивну версію на мобільні пристрої, дешборд та онлайн магазин. Усі роботи наявні у портфоліо на Dribbble та Behance."
131,"Три рази потрапив в #madeontilda. Наразі в пошуках нової роботи на посаду web UX/UI дизайнера. Маю досвід у створенні мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів, верстка в Tilda та Readymag.

Технічні навички:

- Впевнена робота в Figma з компонентами, auto-layout, smart animate.
- Adobe Photoshop, Adobe Illustrator, Affinity Designer, Affinity Photo.

Можу надати рекомендації з компанії, де зараз працюю."
132,"Досвід роботи:

Компанія ""Потрібні люди""
- HTML/CSS/JS верстальник (6 місяців)
- Дизайнер (1 рік)
  - Створення дизайну інтерфейсів для веб-сайтів (лендінг, візитка, інтернет-магазин)
  - Дизайн логотипів, реклами в соціальні мережі, банерів

Останні 4 місяці:
- Моушн дизайн
- Вивчення 3D дизайну

Мета:
Стати частиною професійної команди, яка займається UI/UX дизайном, та розвивати навички в цьому напрямку."
133,"Проектування та розробка інтерфейсів, створення адаптивного дизайну для бізнес-додатків і веб-сайтів, забезпечення кінцевим користувачам ефективного та приємного інтерактивного досвіду.

Постійне вивчення сучасних тенденцій та впровадження UX-рекомендацій у роботу."
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages

- Робота над внутрішнім продуктом компанії
- Веб дизайн
- Дизайн UI/UX
- Прототипування
- Дизайн взаємодії
- Дизайн соц мереж

Мета: вирішувати цікаві та складні завдання з дружньою та професійною командою, рости професійно, покращувати свої навички та створювати чудовий досвід користувача."
135,"Курс Web Design Junior та Mobile App Design від Projector School з сертифікатами, вивчаю Adobe Illustrator самостійно.

Розробила дизайн лендінгу для бітмейкера та самостійно перенесла дизайн з Figma у Webflow.

Працювала над реальними проектами (Teach for Ukraine та ETNODIM) в рамках курсу Web Design Junior від Projector School.

Web designer в Booking Ninjas (2021-2023) - дизайн інтерфейсу, клієнтський портал, мобільний додаток для персоналу, портал адміністрування готелів, портал студентського житла.

Фриланс-проекти - лендінг для співака, лендінг для бітмейкера.

Після проходження курсу Mobile App Design у Projector School, хочу розвиватися в дизайні мобільних додатків."
136,"Дизайнер з досвідом роботи в ентерпрайзах і стартапах різного розміру. Шукаю можливості в агенції, продуктовій команді або аутсорс компанії, яка прагне розвивати свою дизайн команду. Вів проекти від стадії діскавері до дизайн QA і підтримки розробки. Володію навичками дослідження, тестування, прототипування, розробки інформаційної архітектури, роботи з аналітикою та створення або підтримки візуального стилю."
137,"Дизайнер і арт-директор з восьмирічним досвідом у сфері візуальних комунікацій. Спеціалізуюся на розробці користувацького досвіду, прототипуванні, аудиті та графічному дизайні веб-аплікацій і сайтів. Маю досвід у арт-дирекшені та графічному дизайні, включаючи візуальну ідентифікацію та прінт. Володію навичками продакшн-менеджменту в розробці веб-аплікацій.

Походжу з Дніпропетровська, Україна, наразі тимчасово проживаю в Польщі. Вільно володію українською, англійською, польською та російською мовами.

Шукаю можливості для віддаленої роботи на разових або довготривалих проектах, включаючи фултайм, у галузі веб-розробки та графічного дизайну. Відкритий до проектів різного масштабу.

Будь ласка, зв'яжіться зі мною, якщо у вас є запитання."
138,"Я цілеспрямований та готовий докласти максимум зусиль для досягнення своїх цілей. Моя мета — допомагати новачкам, мотивувати їх та працювати понаднормово, якщо це необхідно, залишаючи після себе не лише слід якісного дизайнера, але й цікавої та творчої особистості.

Я здобув досвід у створенні сценаріїв дій користувачів та розробці користувацького інтерфейсу під час навчання в BEETROOT ACADEMY. Найбільше пишаюся своїм дипломним проектом ""Платформа для планування навчального процесу в школах"", який я продовжую розвивати та вдосконалювати.

Працюю у відомій компанії з дружнім колективом, займаюся цікавими проектами в комфортному офісі. Постійно взаємодію з командою, реалізуючи спільні ідеї. Спілкуюся з професійними дизайнерами, щоб перейняти всі необхідні знання для успішної кар'єри. За можливості беру участь у командних заходах, таких як футбол, цікавлюся успіхами колег та завжди готовий вислухати в різних ситуаціях."
139,"UI/UX дизайнер

Освіта:
- Закінчив навчання в Beetroot Academy за напрямом UI/UX дизайн.

Досвід:
- Створення Lo-Fi прототипів, інтерактивних прототипів, вайрфреймів, макетів, логотипів.
- Робота в команді над проектами.
- Проведення аналізу конкурентів.
- Досвід роботи із сервісом Readymag.

Мета:
- Розвивати та покращувати навички, вивчати нові технології, отримувати досвід та працювати з крутою командою."
140,"Курси:
- School HotSpot: English A1 (now)
- School HotSpot: English elementary (12.05.2023)
- Projector Institute: Web Design Junior (20.04.2022)
- SkillUp: UI\UX Design (2021)

Робочо-освітній досвід

E-Commerce:
- аналіз конкурентів та вхідних даних клієнта;
- розробка концепту та робота з референсами;
- створення дизайн-системи в Figma;
- адаптивний дизайн.

Landing page:
- аналіз вихідних даних клієнта;
- аналіз конкурентів;
- пошук і робота з референсами;
- створення прототипу;
- робота з правками."
141,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Професійний профіль:
Креативний та адаптивний дизайнер з понад 2.5 роками досвіду у фрілансі. Вмію ефективно комунікувати та співпрацювати з клієнтами для досягнення бажаних результатів. Маю досвід у розробці прототипів сайтів, дизайні лендінгів, а також створенні обкладинок та оформленні соціальних мереж. Прагну продовжувати розвиватися у сфері дизайну в команді, де цінується взаємодопомога та спільний успіх.

Досвід роботи:

Фріланс-дизайнер
[Дати роботи]
- Розробка прототипів сайтів та їх дизайн.
- Створення дизайну лендінгів.
- Дизайн обкладинок для соціальних мереж та їх оформлення.
- Ефективна комунікація з клієнтами для досягнення оптимальних результатів.

Освіта:
[Ваша освіта, якщо є]

Навички:
- Дизайн сайтів та лендінгів
- Прототипування
- Оформлення соціальних мереж
- Комунікація та співпраця з клієнтами

Бажання:
Прагну працювати в команді, де можу отримати цінний досвід та досягти неймовірних результатів у сфері дизайну."
142,"Уміння ефективно взаємодіяти з різними типами клієнтів, запобігаючи конфліктам при різних поглядах на результат. Самостійне ведення проєктів без безпосередньої участі менеджера. Здатність творчо підходити до візуальних завдань та реалізовувати будь-які дизайнерські ідеї.

09.2018 - ... - freelance (UI/UX & graphic designer)

11.2019 - 09.2020 - Jelvix (graphic designer)

09.2020 - ... - AnyforSoft (UI/UX designer)

Бажання працювати над довготривалими проєктами в команді, займатися UX дослідженнями. Активно брати участь у розробці матеріалів для маркетингу та HR-відділів."
143,"May 2022 - Jun 2022  
Course ""English for IT""  
Anna Gandrabura  

Dec 2021 - Mar 2022  
Course ""Mobile Apps design""  
Projector Institute  

Sep 2021 - Dec 2021  
Course ""Ux/Ui design Start""  
Designly school  

Oct 2022 - Present  
Працюю в компанії над складним, багатофункціональним продуктом. Завдяки роботі в маленькій компанії, отримала цінний досвід, виконуючи різні ролі та беручи на себе відповідальність. Відповідаю за весь процес від запиту від бізнесу до передачі в роботу розробникам. Багато комунікую з бізнесом та командою для досягнення результату.  

Jun 2022 - Oct 2022  
Працювала в компанії, яка займається розробкою додатків для Microsoft. Отримала досвід проектування для X-box.  

Jan 2022 - Jun 2022  
Працювала з командою дизайнерів на фрілансі. Ми працювали над різними цікавими проектами. Проект, яким пишаюсь, - настільний додаток для батьків і дітей, який допомагає батькам слідкувати за навчальним процесом дитини та допомагати у виконанні домашніх завдань."
144,"1. Certificate of Completion: Introduction to IT, April 2023 – May 2023, Beetroot IT Company
2. Участь у марафоні від GoIT: Демо-Design UI-UX, створення лендінгу
3. Участь у марафоні від GoIT: UI-UX Design, дизайн астрологічного застосунку - гороскоп
4. Тест-драйв IT-професій від GoIT: створення макету сайту в Figma"
145,"UI/UX Designer

Досвід роботи:

1. Веб-дизайнер
   KovalIt, IT-компанія
   23.06.2022 - 05.10.2022

   - Розробив повноцінний проєкт сайту курсу по зачіскам.
   - Створив стильний, мінімалістичний сайт для легкого вибору та проходження курсу онлайн.
   - Обов'язки:
     - Дотримання вимог згідно ТЗ.
     - Підбір кольорової палітри та шрифтової пари.
     - Розробка дизайну для мобільної, планшетної та десктопної версії.
     - Створення логотипу.
     - Розробка дизайну сертифікату з проходження курсів.

2. Веб-дизайнер з особистого стилю
   Міжнародний Благодійний Фонд “День За Днем” (“DayByDay”)
   30.04.2022 - теперішній час

   - Участь у створенні дизайну сайту та особистого стилю для фонду.
   - Сайт переходить на вищий рівень з новою концепцією для зручності користувачів.
   - Обов'язки:
     - Розробка особистого стилю (стікерпак, банер, візитівка, бейдж, перепустка, історії Instagram).
     - Розробка дизайну сайту.

Стажування:

- UI/UX Designer в студії KovalIt
  - Отримав цінний досвід роботи в молодій та зростаючій команді."
146,"Сертифікати:
1. Сертифікат `Веб-Дизайнер 2021` від школи Shendrikov Education
2. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0`
3. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1`

Освіта:
1. Курси `Web designer` школи Shendrikov Education
2. Онлайн курс від WayUp `Веб-Дизайнер Взрывной Старт 2.0`

Досвід:
- Дизайн для інтернет-магазинів."
147,"1. Проект ""Кафе для роботи"". Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам: шукати привабливе місце в кафе; орендувати місце для роботи; обирати філіали; дізнаватися про меню та пропозиції кафе.

2. Проект ""Квітковий магазин"". Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам обирати насіння, горщики та інше.

3. Проект ""Сайт для покупок квитків"". Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам обирати квитки та переглядати прем'єри цього року.

4. Аналог Apple магазину. Розробила тестовий дизайн сайту для компанії, що дозволяє користувачам: обирати категорію техніки; дізнаватися основну інформацію про магазин; обирати та замовляти техніку.

У всіх цих проектах працювала на посаді Graphic Designer, UI/UX."
148,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Мета:
Прагну застосувати свої навички та знання в дизайні для створення інноваційних та ефективних рішень.

Освіта:
- Самостійне навчання дизайну, 1 рік

Навички:
- Основи графічного дизайну
- Робота з інструментами дизайну (наприклад, Adobe Photoshop, Illustrator)
- Креативність та увага до деталей
- Здатність до самостійного навчання та адаптації

Досвід:
- Виконання власних проектів з дизайну
- Розробка концепцій та макетів для особистих проектів

Додаткова інформація:
- Вміння працювати в команді
- Висока мотивація до розвитку в сфері дизайну

Рекомендації надаються за запитом."
149,"1. Розробка UI та UX для вебсайтів.
2. Дизайн мобільних застосунків.
3. Робота за методологією Design Thinking (створення CJM, інтерв'ювання користувачів, тестування користувачів).
4. Створення Landing Page.
5. Повний візуальний супровід бренду (соціальні мережі, візуалізація для блогу, HTML-банери, e-mail розсилки, push-сповіщення).
6. Розробка логотипів.
7. Розробка фірмового стилю та створення бренд-буку.
8. Створення та верстка POS-продукції, дизайн мерчу."
150,"**[Ім'я Прізвище]**

**Контактна інформація**
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (якщо є)

---

**Професійний досвід**

**Фріланс-дизайнер**  
2020 - теперішній час  
- Розробка дизайну сайтів, мобільних додатків, анімацій, прототипів, логотипів та поліграфії.
- Співпраця з різноманітними клієнтами для створення унікальних та ефективних дизайнерських рішень.

**Ведучий дизайнер, Lumospark**  
2018 - 2020  
- Керівництво командою дизайнерів у розробці проектів.
- Відповідальність за створення дизайну сайтів, мобільних додатків, анімацій, прототипів, логотипів та поліграфії.

**Веб-дизайнер, Lumospark**  
2015 - 2018  
- Розробка дизайну сайтів та мобільних додатків.
- Створення анімацій, прототипів, логотипів та поліграфії.

**Веб-дизайнер, студія DARTC**  
2012 - 2015  
- Створення дизайну сайтів та мобільних додатків.
- Розробка анімацій, прототипів, логотипів та поліграфії.

---

**Навички**

- Дизайн сайтів та мобільних додатків
- Анімація та прототипування
- Розробка логотипів та поліграфії
- Володіння програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign, InVision
- Швидке освоєння нових програм

---

**Освіта**

[Ваш навчальний заклад]  
[Ступінь, спеціальність]  
[Роки навчання]

---

**Додаткова інформація**

- Швидко навчаюсь новим технологіям та програмам.
- Вміння працювати в команді та самостійно."
151,"UI/UX Designer

Досвід роботи:

2016 - 2018: UI/UX Designer в togethernetworks.com
- Розробила шаблон вебсайту для конструктора сайтів Yola.

2018 - 2020: Product Designer в стартапі Skillum
- Створила дизайн для маркетплейсу no-code розробників.

2020 - 2023: UI/UX Designer в агенції Metevo на платформі Upwork
- Працювала над проєктами в сфері електронної комерції.

Мета:
Бажаю вирішувати складні задачі, що вимагатимуть застосування всього мого досвіду, та постійного професійного зростання."
152,"Щасливі діти в одязі мого бренду та задоволені батьки. Гарні акаунти в інстаграмі та якісний контент. Постійні клієнти в Etsy та тільки позитивні відгуки. Жодного незадоволеного клієнта.

Досвід роботи:

2016 - 2021 — Дизайнер дитячого одягу, власний бренд:
- Дизайн лого
- Дизайн одягу
- Створення лекал
- Фотозйомка та обробка фото
- Маркетинг
- Створення магазину на Etsy
- Участь в ярмарках ""Всі свої""

2019-2021 — Баєр спортивного одягу з США:
- Створення інтернет магазину
- Створення контенту в інстаграмі

З 2020 - Графічний дизайнер:
- Створення ілюстрацій
- Створення анімацій
- Обробка фото

З 2022 - Магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:
- Скетчі в Procreate
- Дизайн и викрійки в Adobe Illustrator
- Ведення сторінки магазину та маркетинг в Etsy

2022 - UI/UX фрилансер:
- Створення контенту в інстаграм
- Створення лого, банерів, візиток
- Розробка дизайну та редизайн сайтів"
