,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
118,"Junior UX/UI Designer з Києва

Навички:
- Володіння програмами: Photoshop, Illustrator, Axure, Figma
- Досвід у мобільному дизайні та адаптації

Освіта:
- Пройшла кілька курсів з UX/UI дизайну

Особисті якості:
- Креативне мислення
- Комунікабельність
- Вміння працювати в команді
- Відповідальність та організованість

Додаткова інформація:
- Наразі не маю комерційного досвіду роботи в цій сфері
- Готова багато працювати та швидко вчитися
- Не зацікавлена у верстці

Професійний розвиток:
- Продовжую вдосконалювати свої навички та знання в UX/UI дизайні."
119,"UI/UX Designer початківець

Освіта:
- Курси UI/UX design від DAN.IT

Проекти:
- Мобільний застосунок для навчання
- CRM система
- Мобільний застосунок для онлайн перегляду фільмів

Навички:
- Web design / Mobile design
- Interface design / Prototyping
- Competitor research
- User personas, CJM / UJM
- Wireframes / UI-Kit
- Clickable prototype
- User flow
- Components creation

Досвід:
- Проєктування та дизайн інтерфейсів
- UX дослідження
- Створення користувальницьких сценаріїв
- Розробка схематичних та інтерактивних прототипів
- Створення макетів
- Визначення проблем у дизайні та створення простих, інтуїтивно зрозумілих рішень

Особисті якості:
- Уважність до деталей
- Орієнтація на результат
- Вміння працювати в команді
- Відмінні комунікаційні навички

Портфоліо: доступне на Behance

Цілі:
- Працювати над крутими проектами, зокрема у сфері розробки мобільних застосунків
- Взаємоповага та дружня атмосфера у колективі
- Навчання та розвиток всередині компанії"
120,"UI/UX дизайнер-початківець, який прагне розвивати свої навички та досвід у цій галузі.

Навички та знання:
- Основи дизайну: композиція, кольорові комбінації, типографіка.
- Розробка інтерфейсів користувача для веб-сайтів та мобільних додатків з урахуванням потреб користувачів та кращих практик UX/UI.
- Проектування та розробка елементів інтерфейсу: іконки, кнопки, форми, графічні елементи.
- Створення макетів та прототипів з використанням Figma.
- Базове розуміння HTML, CSS та JavaScript для співпраці з розробниками та виконання вимог проекту.

Завжди готовий вчитися нового та вдосконалювати свої навички в галузі UX/UI дизайну. Вірю, що деталі роблять велику різницю в дизайні, і зосереджуюсь на кожному аспекті проекту."
121,"UI/UX дизайнер

Досвід роботи:
- Розробка UI/UX дизайну для Landing Page
- Створення Lo-fi та Hi-Fi сторінок
- Розробка UI-Kit
- Прототипування

Навички:
- Photoshop
- Illustrator

Цілі:
- Розвиток у напрямку веб-дизайну

Досвід роботи в команді: відсутній"
122,"Досвідчений дизайнер з 2-річним стажем роботи на фрилансі. Працювала над різноманітними проєктами, включаючи:

- Лендінг для художньої виставки
- Інтернет-магазин зоотоварів
- Лендінг для спеціаліста з таргетованої реклами
- Редизайн сервісу публічної онлайн бібліотеки

Маю досвід у розробці дизайну для соціальних мереж та графічному оформленні презентацій."
123,"[Ваше ім'я]

Контактна інформація:  
[Ваш телефон]  
[Ваш email]  
[Ваш LinkedIn профіль]  

Освіта:  
Mobios School  
Курс: UI/UX Web Design  
Тривалість: 4,5 місяці  

Досвід роботи:  

БО «IT-Sprout»  
Волонтер UI/UX Designer  
03.2022 – по теперішній час  

Проекти:  

Advogram  
- Створення дизайну лендінгу та перенесення на платформу Carrd  
- Розробка презентацій для міжнародних грантів  
- Розробка мобільного додатку на платформі Adalo (незавершено)  

OffЗМІ  
- Створення дизайну лендінгу на платформі Weblium  

Associo  
- Створення дизайну лендінгу для WordPress  

Проекти під час навчання:  

Мобільний додаток – Шкільний асистент UNI  
- Дизайн мобільного додатку для співпраці між батьками, учнями та вчителями  
- Аналіз подібних додатків, дослідження користувачів  
- Створення CJM, Personas, User Flow, структури  
- High fidelity Prototypes, Wireframes, анімований прототип  
- UI Design, MockUp, анімаційні елементи, презентація проекту  

Інтернет магазин кави “Tasty Cup”  
- Дизайн інтернет-магазину, розробка назви та логотипу  
- Аналіз ринку, конкурентів, споживачів, бриф  
- Варіанти назви, логотипу  
- Персонажі, історії користувачів, CJM, структура сайту  
- Прототипи високої якості, анімовані прототипи в InVision  
- UI частина, візуальний концепт, UI-Kit, MockUps  
- Адаптивний дизайн для мобільної версії  

Корпоративний сайт для туристичної компанії “Extreme Tours Kaleidoscope”  
- Технічне завдання, бриф, аналіз ринку, конкурентів, споживачів  
- Персонажі, історії користувачів, CJM, структура сайту  
- Прототипи високої якості  
- UI частина  

Навички:  
- UI/UX Design  
- Прототипування  
- Дослідження користувачів  
- Анімація  
- Робота з платформами Carrd, Weblium, Adalo, InVision  

[Ваше ім'я]  
[Дата]"
124,"UI/UX дизайнер

Досвід:
- Виконала проекти: лендінг, редизайн сайту, веб-сервіс та мобільний додаток.

Redesign for Mainsail – Realty Company
- Створення сучасного та інтуїтивно зрозумілого користувацького інтерфейсу для привернення уваги потенційних клієнтів.
- Процес редизайну: аналіз конкурентів, профілі користувачів, вайрфреймінг, UI і UI-kit, прототипування, адаптація.

Web Service Pets - Study Case (робота в команді)
- Створення функціонального веб-сервісу для ефективного пошуку домашніх тварин.
- Процес: постановка проблеми, аналіз конкурентів, профілі користувачів, JTBD, карта шляху клієнта, мозковий штурм, User Flow, інформаційна архітектура, вайрфреймінг, візуальний дизайн, прототипування, адаптація.

Досвід роботи веб-дизайнером (6 місяців):
- Створення орнаментів, візерунків, ілюстрацій.
- Дизайн презентацій, сайтів.

Мета:
- Прагну працювати в компанії для швидкого розвитку та вдосконалення навичок, створення дизайнів, які вирішують проблеми та досягають бізнес-цілей і цілей користувачів."
125,"Ім'я та Прізвище

Контактна інформація:
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (якщо є)
- Портфоліо: [Посилання на сайт-портфоліо] (якщо є)

Мета:
Починаючий UX/UI дизайнер, прагну розвиватися у сфері веб-дизайну та веб-розробки. Шукаю можливості для застосування своїх навичок у створенні прототипів та дизайні, з метою подальшого розвитку в напрямку Full-stack Java розробки.

Освіта:
[Назва навчального закладу]
[Ступінь або курс, якщо є]
[Роки навчання]

Досвід:
- Створення прототипів для веб-проєктів, включаючи сайт-портфоліо та додаток для перегляду футбольних матчів.
- Розробка ескізів додатків (2-3 екрани).
- Самостійне опанування дизайну для покращення власного бачення веб-проєктів.

Навички:
- UX/UI дизайн
- Прототипування
- Основи веб-дизайну
- Розробка логотипів

Плани на майбутнє:
- Участь у дизайн-конкурсах
- Вивчення веб-програмування
- Розвиток у напрямку Full-stack Java розробки

Додаткова інформація:
- Готовність до виконання невеликих завдань для адаптації до робочого процесу
- Бажання працювати в команді та розвиватися професійно

[Дата складання резюме]."
126,"Ім'я Прізвище

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Посилання на ваш LinkedIn або портфоліо, якщо є]

Мета:
Отримати позицію Junior UI/UX дизайнера, щоб розвивати свої навички та зростати в професійній сфері.

Досвід роботи:

Розробник застосунку Science ID
- Створив та запустив власний застосунок Science ID, доступний у Google Play.
- Працював над усіма етапами розробки, від концепції до реалізації.

Солдат, Збройні Сили України
- Служив протягом року, розвиваючи навички командної роботи та стресостійкості.

Освіта та навчання:
- Самостійне вивчення UI/UX дизайну за допомогою підручників та відео на YouTube.
- Практичні заняття з Figma.

Навички:
- Розробка мобільних застосунків
- Основи UI/UX дизайну
- Робота з Figma
- Самоорганізація та здатність до самостійного навчання

Додаткова інформація:
- Мотивований та цілеспрямований, з бажанням розвиватися в сфері UI/UX дизайну."
127,"Виграла конкурс серед джунів-веб дизайнерів щодо права на розробку дизайну лендінг-пейдж для стартапу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.

Досвід роботи:
- Розробка дизайну лендінгу навчальної платформи з трейдінгу (десктоп + мобільна версія) для іспаномовної аудиторії.
- Дизайн сайту для передзамовлення виробів магазину-пекарні (десктоп + мобільна версія).
- Дизайн мобільного додатку для купівлі та прослуховування аудіокниг українською.
- Редизайн сайту української компанії з розробки і підтримки електронних технологій.
- Розробка PDF-презентацій для компанії, що залучає інвестиції для стартапів.

Інструменти:
- Figma
- Adobe Photoshop
- Adobe After Effects

Професійні обмеження:
- Не працюю в сферах Adult, Gambling, Dating, Gamedev, Blockchain/Crypto.
- Не співпрацюю з компаніями, які мають зв'язки з Росією і Білоруссю."
128,"Світчер з досвідом роботи у сфері обслуговування клієнтів. Протягом кількох років здобула цінні навички, такі як адаптивність, вміння налагоджувати контакт, ефективне розв'язання конфліктів та запобігання їх виникненню. Відзначаюся здатністю дотримуватися дедлайнів та ефективно працювати в умовах підвищеного навантаження."
129,"Фріланс, Квітень 2020 - дотепер

Графічний дизайнер

- Розробка фірмового стилю для музичного гурту «VSIVDOMA», включаючи ескізи логотипу та 10 рекламних постерів для соціальних мереж, веб-перегляду та друку.
- Створення дизайну для соціальних мереж гурту.
- Розробка концепцій дизайн макетів рекламних носіїв з акцентом на шрифти, зображення, читабельність та потреби читачів.
- Співпраця з клієнтами, такими як британська компанія “EdTechX” та музичний гурт “VSIVDOMA”.
- Створення банерів, постерів та рекламного контенту для соціальних мереж (Instagram, Facebook, Youtube).
- Досвід роботи з графічними редакторами: Illustrator, Photoshop, InDesign, Figma.
- Розуміння можливостей та обмежень HTML, CSS, JavaScript."
130,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Посилання на портфоліо на Dribbble та Behance]

Мета:
Прагну розпочати кар'єру в сфері UI/UX дизайну, застосовуючи отримані знання та навички для створення інтуїтивно зрозумілих та естетично привабливих інтерфейсів.

Освіта:
Комп'ютерна школа Hillel
Курс: UI/UX Дизайн
Сертифікат про завершення курсу

Навички:
- Розробка редизайну для лендінгів
- Створення адаптивних версій для мобільних пристроїв
- Дизайн дешбордів
- Проектування онлайн магазинів
- Робота з інструментами дизайну (вказати конкретні інструменти, якщо є)

Проекти:
- Редизайн лендінгу сайта
- Адаптивна версія для мобільних пристроїв
- Дешборд
- Онлайн магазин

Портфоліо:
- Dribbble: [посилання]
- Behance: [посилання]"
131,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Пошук нової роботи на посаді web UX/UI дизайнера.

Досвід:
- Триразове потрапляння в #madeontilda.
- Створення мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів.
- Верстка в Tilda та Readymag.

Технічні навички:
- Впевнена робота в Figma з компонентами, auto-layout, smart animate.
- Знання Adobe Photoshop, Adobe Illustrator, Affinity Designer, Affinity Photo.

Рекомендації:
Можу надати рекомендації з компанії, де зараз працюю."
132,"Досвід роботи:

Компанія ""Потрібні люди""
- HTML/CSS/JS верстальник (6 місяців)
- Дизайнер (1 рік)
  - Створення дизайну інтерфейсів для веб-сайтів (лендінг, візитка, інтернет-магазин)
  - Дизайн логотипів, реклами в соціальні мережі, банерів
- Моушн дизайн (4 місяці)
- Вивчення 3D дизайну (4 місяці)

Мета:
Стати частиною професійної команди, яка займається UI/UX дизайном, та розвивати навички в цьому напрямку."
133,"Проектування та розробка інтерфейсів, створення адаптивного дизайну для бізнес-додатків і веб-сайтів, забезпечення кінцевим користувачам ефективного та приємного інтерактивного досвіду.

Постійне вивчення сучасних тенденцій та впровадження UX-рекомендацій у роботу."
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages

- Робота над внутрішнім продуктом компанії
- Веб-дизайн
- Дизайн UI/UX
- Прототипування
- Дизайн взаємодії
- Дизайн соціальних мереж

Мета: вирішувати цікаві та складні завдання з дружньою та професійною командою, рости професійно, покращувати свої навички та створювати чудовий досвід користувача."
135,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Освіта:
- Курс Web Design Junior, Projector School
- Курс Mobile App Design, Projector School
- Самостійне вивчення Adobe Illustrator

Досвід роботи:

Web Designer, Booking Ninjas (2021-2023)
- Розробка дизайну інтерфейсу
- Створення клієнтського порталу
- Дизайн мобільного додатку для персоналу
- Розробка порталу адміністрування готелів
- Дизайн порталу студентського житла

Фриланс-проекти:
- Лендінг для співака
- Лендінг для бітмейкера

Проекти:
- Дизайн лендінгу для бітмейкера, перенесення дизайну з Figma у Webflow
- Участь у реальних проектах Teach for Ukraine та ETNODIM в рамках курсу Web Design Junior

Навички:
- Дизайн веб-інтерфейсів
- Дизайн мобільних додатків
- Робота з Figma та Webflow
- Adobe Illustrator (самостійне вивчення)

Мета:
- Розвиток у сфері дизайну мобільних додатків після проходження курсу Mobile App Design у Projector School."
136,"Дизайнер з досвідом роботи в ентерпрайзах і стартапах різного розміру. Шукаю можливості в агенції, продуктовій команді або аутсорс компанії, яка прагне розвивати свою дизайн команду. Вів проекти від стадії діскавері до дизайн QA і підтримки розробки. Володію навичками дослідження, тестування, прототипування, розробки інформаційної архітектури, роботи з аналітикою та створення або підтримки візуального стилю."
137,"Дизайнер і арт-директор з восьмирічним досвідом у сфері візуальних комунікацій. Спеціалізуюся на розробці користувацького досвіду, прототипуванні, аудиті та графічному дизайні веб-аплікацій і сайтів. Маю досвід у арт-дирекшені та графічному дизайні, включаючи візуальну ідентифікацію та прінт. Володію навичками продакшн-менеджменту в розробці веб-аплікацій.

Походжу з Дніпропетровська, Україна, наразі тимчасово проживаю в Польщі. Вільно володію українською, англійською, польською та російською мовами.

Шукаю можливості для віддаленої роботи на разових або довготривалих проектах, включаючи фултайм, у галузі веб-розробки та графічного дизайну. Відкритий до проектів різного масштабу.

Зв'яжіться зі мною для обговорення можливостей співпраці."
138,"Цілеспрямований професіонал, готовий докласти максимум зусиль для досягнення цілей. Моя мета — допомагати новачкам, мотивувати їх та працювати понаднормово, якщо це необхідно, залишаючи після себе слід якісного дизайнера та творчої особистості.

Здобув досвід у створенні сценаріїв дій користувачів та розробці користувацького інтерфейсу під час навчання в BEETROOT ACADEMY. Пишаюся дипломним проектом ""Платформа для планування навчального процесу в школах"", який продовжую розвивати.

Працюю у відомій компанії з дружнім колективом, займаюся цікавими проектами в комфортному офісі. Постійно взаємодію з командою, реалізуючи спільні ідеї. Спілкуюся з професійними дизайнерами для набуття необхідних знань для успішної кар'єри. Беру участь у командних заходах, таких як футбол, цікавлюся успіхами колег та завжди готовий вислухати."
139,"UI/UX дизайнер

Освіта:
- Закінчив навчання в Beetroot Academy за напрямом UI/UX дизайн.

Досвід:
- Розробка Lo-Fi прототипів, інтерактивних прототипів, вайрфреймів, макетів, логотипів.
- Співпраця в команді над проектами.
- Проведення аналізу конкурентів.
- Використання сервісу Readymag.

Мета:
- Удосконалювати навички, вивчати нові технології, здобувати досвід та працювати з талановитою командою."
140,"Курси:
- School HotSpot: English A1 (зараз)
- School HotSpot: English elementary (12.05.2023)
- Projector Institute: Web Design Junior (20.04.2022)
- SkillUp: UI\UX Design (2021)

Робочо-освітній досвід

E-Commerce:
- аналіз конкурентів та вхідних даних клієнта;
- розробка концепту та робота з референсами;
- створення дизайн-системи в Figma;
- адаптивний дизайн.

Landing page:
- аналіз вихідних даних клієнта;
- аналіз конкурентів;
- пошук і робота з референсами;
- створення прототипу;
- робота з правками."
141,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Професійний профіль:
Креативний та адаптивний дизайнер з понад 2.5 роками досвіду у фрілансі. Вмію ефективно комунікувати та співпрацювати з клієнтами для досягнення бажаних результатів. Маю досвід у розробці прототипів сайтів, дизайні лендінгів, а також створенні обкладинок та оформленні соціальних мереж. Прагну продовжувати розвиватися у сфері дизайну в команді, де цінується взаємодопомога та спільний успіх.

Досвід роботи:

Фріланс-дизайнер
[Дати роботи]
- Розробка прототипів сайтів та їх дизайн.
- Створення дизайну лендінгів.
- Дизайн обкладинок для соціальних мереж та їх оформлення.
- Ефективна комунікація з клієнтами для досягнення оптимальних результатів.

Освіта:
[Ваша освіта, якщо є]

Навички:
- Дизайн сайтів та лендінгів
- Прототипування
- Оформлення соціальних мереж
- Комунікація та співпраця з клієнтами

Бажання:
Прагну працювати в команді, де можу отримати цінний досвід та досягти неймовірних результатів у сфері дизайну."
142,"Уміння ефективно взаємодіяти з різними типами клієнтів, запобігаючи конфліктам при різних поглядах на результат. Самостійне ведення проєктів без безпосередньої участі менеджера. Здатність творчо підходити до візуальних завдань та реалізовувати будь-які дизайнерські ідеї.

Досвід роботи:

- 09.2018 - теперішній час: freelance (UI/UX & graphic designer)
- 11.2019 - 09.2020: Jelvix (graphic designer)
- 09.2020 - теперішній час: AnyforSoft (UI/UX designer)

Професійні інтереси:

- Прагнення працювати над довготривалими проєктами в команді
- Займатися UX дослідженнями
- Активна участь у розробці матеріалів для маркетингу та HR-відділів"
143,"**Освіта**

**May 2022 - Jun 2022**  
Курс ""English for IT""  
Anna Gandrabura  

**Dec 2021 - Mar 2022**  
Курс ""Mobile Apps design""  
Projector Institute  

**Sep 2021 - Dec 2021**  
Курс ""Ux/Ui design Start""  
Designly school  

**Досвід роботи**

**Oct 2022 - Present**  
Працюю в компанії над складним, багатофункціональним продуктом. Завдяки роботі в маленькій компанії, отримала цінний досвід, виконуючи різні ролі та беручи на себе відповідальність. Відповідаю за весь процес від запиту від бізнесу до передачі в роботу розробникам. Багато комунікую з бізнесом та командою для досягнення результату.

**Jun 2022 - Oct 2022**  
Працювала в компанії, яка займається розробкою додатків для Microsoft. Отримала досвід проектування для X-box.

**Jan 2022 - Jun 2022**  
Працювала з командою дизайнерів на фрілансі. Ми працювали над різними цікавими проектами. Проект, яким пишаюсь, - настільний додаток для батьків і дітей, який допомагає батькам слідкувати за навчальним процесом дитини та допомагати у виконанні домашніх завдань."
144,"1. Certificate of Completion: Introduction to IT, April 2023 – May 2023, Beetroot IT Company.
2. Участь у марафоні від GoIT: Демо-Design UI-UX, створення лендінгу.
3. Участь у марафоні від GoIT: UI-UX Design, дизайн астрологічного застосунку - гороскоп.
4. Тест-драйв IT-професій від GoIT: створення макету сайту в Figma."
145,"UI/UX Designer

Досвід роботи:

1. Веб-дизайнер
   KovalIt, IT-компанія
   23.06.2022 - 05.10.2022

   - Розробив повноцінний проєкт сайту курсу по зачіскам.
   - Створив стильний, мінімалістичний сайт для легкого вибору та проходження курсу онлайн.
   - Обов'язки:
     - Дотримання вимог згідно ТЗ.
     - Підбір кольорової палітри та шрифтової пари.
     - Розробка дизайну для мобільної, планшетної та десктопної версії.
     - Створення логотипу.
     - Розробка дизайну сертифікату з проходження курсів.

2. Веб-дизайнер з особистого стилю
   Міжнародний Благодійний Фонд “День За Днем” (“DayByDay”)
   30.04.2022 - теперішній час

   - Участь у створенні дизайну сайту та особистого стилю для фонду.
   - Сайт переходить на вищий рівень з новою концепцією для зручності користувачів.
   - Обов'язки:
     - Розробка особистого стилю (стікерпак, банер, візитівка, бейдж, перепустка, історії Instagram).
     - Розробка дизайну сайту.

Стажування:

- UI/UX Designer в студії KovalIt
  - Отримав цінний досвід роботи в молодій та зростаючій команді."
146,"Сертифікати:
1. Сертифікат `Веб-Дизайнер 2021` від школи Shendrikov Education
2. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0`
3. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1`

Освіта:
1. Курси `Web designer` школи Shendrikov Education
2. Онлайн курс від WayUp `Веб-Дизайнер Взрывной Старт 2.0`

Досвід:
- Дизайн для інтернет-магазинів."
147,"1. Проект ""Кафе для роботи""
- Розробила тестовий дизайн сайту, що дозволяє користувачам шукати привабливе місце в кафе, орендувати місце для роботи, обирати філіали, дізнаватися про меню та пропозиції кафе.

2. Проект ""Квітковий магазин""
- Створила тестовий дизайн сайту, що надає можливість користувачам обирати насіння, горщики та інші товари.

3. Проект ""Сайт для покупок квитків""
- Розробила тестовий дизайн сайту, що дозволяє користувачам обирати квитки та переглядати прем'єри цього року.

4. Аналог Apple магазину
- Створила тестовий дизайн сайту, що дозволяє користувачам обирати категорію техніки, дізнаватися основну інформацію про магазин, обирати та замовляти техніку.

Посада: Graphic Designer, UI/UX."
148,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Мета:
Застосувати навички та знання в дизайні для створення інноваційних та ефективних рішень.

Освіта:
- Самостійне навчання дизайну, 1 рік

Навички:
- Основи графічного дизайну
- Робота з інструментами дизайну (Adobe Photoshop, Illustrator)
- Креативність та увага до деталей
- Здатність до самостійного навчання та адаптації

Досвід:
- Виконання власних проектів з дизайну
- Розробка концепцій та макетів для особистих проектів

Додаткова інформація:
- Вміння працювати в команді
- Висока мотивація до розвитку в сфері дизайну

Рекомендації надаються за запитом."
149,"1. Розробка UI та UX для вебсайтів.
2. Дизайн мобільних застосунків.
3. Використання методології Design Thinking: створення CJM, інтерв'ювання та тестування користувачів.
4. Створення ефективних Landing Page.
5. Візуальний супровід бренду: соціальні мережі, візуалізація для блогу, HTML-банери, e-mail розсилки, push-сповіщення.
6. Розробка логотипів.
7. Розробка фірмового стилю та створення бренд-буку.
8. Створення та верстка POS-продукції, дизайн мерчу."
150,"**[Ім'я Прізвище]**

**Контактна інформація**
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (якщо є)

---

**Професійний досвід**

**Фріланс-дизайнер**  
2020 - теперішній час  
- Розробка дизайну сайтів, мобільних додатків, анімацій, прототипів, логотипів та поліграфії.
- Співпраця з різноманітними клієнтами для створення унікальних та ефективних дизайнерських рішень.

**Ведучий дизайнер, Lumospark**  
2018 - 2020  
- Керівництво командою дизайнерів у розробці проектів.
- Відповідальність за створення дизайну сайтів, мобільних додатків, анімацій, прототипів, логотипів та поліграфії.

**Веб-дизайнер, Lumospark**  
2015 - 2018  
- Розробка дизайну сайтів та мобільних додатків.
- Створення анімацій, прототипів, логотипів та поліграфії.

**Веб-дизайнер, студія DARTC**  
2012 - 2015  
- Створення дизайну сайтів та мобільних додатків.
- Розробка анімацій, прототипів, логотипів та поліграфії.

---

**Навички**

- Дизайн сайтів та мобільних додатків
- Анімація та прототипування
- Розробка логотипів та поліграфії
- Володіння програмами: Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign, InVision
- Швидке освоєння нових програм

---

**Освіта**

[Ваш навчальний заклад]  
[Ступінь, спеціальність]  
[Роки навчання]

---

**Додаткова інформація**

- Швидко навчаюсь новим технологіям та програмам.
- Вміння працювати в команді та самостійно."
151,"UI/UX Designer

Досвід роботи:

2016 - 2018: UI/UX Designer в togethernetworks.com
- Розробка шаблону вебсайту для конструктора сайтів Yola.

2018 - 2020: Product Designer в стартапі Skillum
- Дизайн маркетплейсу для no-code розробників.

2020 - 2023: UI/UX Designer в агенції Metevo на платформі Upwork
- Участь у проєктах в сфері електронної комерції.

Мета:
Прагну вирішувати складні задачі, що вимагають застосування мого досвіду, та забезпечують постійне професійне зростання."
152,"Щасливі діти в одязі мого бренду та задоволені батьки. Гарні акаунти в інстаграмі та якісний контент. Постійні клієнти в Etsy та тільки позитивні відгуки. Жодного незадоволеного клієнта.

Досвід роботи:

2016 - 2021 — Дизайнер дитячого одягу, власний бренд:
- Розробка логотипу
- Дизайн одягу
- Створення лекал
- Фотозйомка та обробка фото
- Маркетинг
- Створення магазину на Etsy
- Участь в ярмарках ""Всі свої""

2019-2021 — Баєр спортивного одягу з США:
- Створення інтернет-магазину
- Створення контенту в Instagram

З 2020 - Графічний дизайнер:
- Створення ілюстрацій
- Створення анімацій
- Обробка фото

З 2022 - Магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:
- Скетчі в Procreate
- Дизайн і викрійки в Adobe Illustrator
- Ведення сторінки магазину та маркетинг в Etsy

2022 - UI/UX фрилансер:
- Створення контенту в Instagram
- Розробка логотипів, банерів, візиток
- Розробка дизайну та редизайн сайтів."
153,"[Ім'я Прізвище]

[Контактна інформація]

Професійний досвід

Веб студія “Ранок” (2018-2019)
- Розробка прототипів та дизайну, включаючи адаптивний дизайн
- Проведення досліджень та створення мудбордів для клієнтів
- Робота з Adobe Photoshop та Figma для створення графічних матеріалів
- Написання текстів, фотографування товарів, створення банерів
- Створення презентацій для організації роботи колективу
- Кураторство нових співробітників та стажерів
- Мерчендайзинг вітрин та організація офісного простору

Робота з блогером (літо 2020)
- Пошук блогерів для реклами, контроль виходу реклами та аналіз її ефективності
- Створення чек-листів, гайдів, обкладинок, обробка та монтаж відео
- Генерація та реалізація ідей для блогу

Магазини з непродовольчими товарами (2019-2022)
- Дотримання касової дисципліни та підтримка чистоти робочого місця
- Розуміння впливу особистих результатів на колектив
- Відповідальність за свої дії

Навички
- Основи дизайну: композиція, теорія кольорів, принципи UX та UI
- Вміння сприймати критику та працювати над помилками
- Досвід роботи з Adobe Photoshop та XD
- Відповідальність та пунктуальність

Бачення
Прагну працювати у сильній та творчій команді, де кожен сам по собі, але всі допомагають один одному розвиватися. Ціную повагу до особистих кордонів та баланс між роботою і особистим життям."
154,"Графічний дизайнер з досвідом роботи в рекламному агентстві та компанії Helena Studio (Ізраїль).

Досвід роботи:
- 2019: 6 місяців у рекламному агентстві.
- З 2020: Графічний дизайнер у Helena Studio (Ізраїль).

Освіта:
- Курси з web design і mobile app design у Прожекторі.

Мета:
- Перехід з графічного дизайну до UI/UX.
- Пошук стажування або вакансії на позицію junior UI/UX."
