,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
12124,"**Summary**
Results-driven business analyst and project manager with over 20 years of experience in business analysis, project management, and process automation for international companies across various domains, including payment technologies, finance, B2B sales, and IT service management.

**Technical Experience**

* **Banking:**
  - Implemented SWIFT payments in a mobile banking application, collecting requirements and developing Camunda processes, ESB, and OKD services.
  - Automated mortgage loan processes, including customer form development and integration with the Diia API.
  - Developed and certified POS-terminal software for VISA and MasterCard international payment systems.
  - Implemented and administered a local payment card system.
* **B2B Sales:**
  - Automated sales and delivery processes, defining business processes and implementing them in Bitrix24 CRM.
  - Defined and implemented HR processes for onboarding, dismissal, and vacation in Bitrix24 CRM.
* **IT Service Management:**
  - Automated service delivery processes, creating and implementing them in the Service Desk system based on Microsoft Dynamics CRM.
  - Integrated the Service Desk system with customer issue tracking systems through API.

**Professional Experience**

* Over 20 years of experience in business analysis, project management, and process automation.
* Experienced in multiple business domains: payment technologies, finance, B2B sales, and IT service management.
* Proven ability to organize effective communication between IT and business units for system development, implementation, and support.
* Skilled in gathering business needs and objectives to evaluate new or enhanced functionality.
* Participated in business development and project discovery phases.
* Defined and optimized business process workflows, creating automated processes from scratch.
* Developed project artifacts including BRD, Vision, Project Profile, and Software Requirement Specification.
* Managed projects according to PMBOOK and Agile best practices.
* Led project teams of up to 15 employees and departments of up to 100 employees.

**Preferred Position**
Business Analyst, with the possibility of combining with Project Management responsibilities."
12141,"**Summary**
Results-driven professional with experience in team management, marketing, and IT project development, seeking to leverage technical background and managerial expertise in an IT Business Analyst or Project Manager role.

**Experience**

* Team Leader, Promotion of Professional Exchanges, AIESEC
	+ Achieved twice the number of LEADs in one month compared to previous performance
* Marketing Team Manager, AIESEC
	+ Successfully managed team while balancing university responsibilities, personal life, and other commitments
* Head of Outgoing Volunteer Exchanges, AIESEC in Kharkiv
	+ Managed a 13-person department and worked on the Executive Board team
	+ Analyzed the current state, created a strategy, and adapted job descriptions for war realities
* IT Project Experience, Kharkiv Polytechnic University
	+ Contributed to two IT projects, including generating realistic interference patterns and developing an application prototype in Figma
	+ Responsibilities included creating technical tasks, studying working areas, writing documentation, and adapting algorithms and coding
	+ Collaborated with customers, professors, and team members as a Business Analyst

**Skills**

* Team management and leadership
* Marketing and promotion
* Time management and self-organization
* IT project development and management
* Business analysis and communication
* Adaptability and strategy development

**Education**

* Currently studying at Kharkiv Polytechnic University

**Personal Growth**

* Developed skills in marketing, team management, product management, and soft skills through AIESEC experiences
* Gained experience in IT project development and management through university projects"
12143,"Summary:
Results-driven business analyst with 5 years of experience in e-services, skilled in system analysis, entity relationship diagrams, and data flow diagrams, with a strong background in conducting detailed analysis and creating qualitative descriptions.

Experience:
- Analyzed requirements, user cases, and data flow diagrams for various projects, utilizing expertise in system analysis and entity relationship diagrams
- Conducted business analysis of the apps market and Apple Wallet service for Android and Windows Phone, informing strategic decision-making
- Participated in the development of own service, assisting in the sales process and contributing to strategic decision-making
- Researched and developed concepts in ""E-government"", ""E-citizen"", and ""E-democracy"", with a focus on facilitating interaction among government, business, and citizens
- Collaborated with Bank ""PrivatBank"" and local government to author the framework for ""E-vote"", leveraging expertise in business analysis and system analysis
- Utilized CRM systems, including AMO and ZOHO, and managed projects using MS Project manager

Skills:
- Business analysis and system analysis
- Data flow diagrams (DFD) and entity relationship diagrams (ERD)
- BABOK, PMBOK, Agile, and Scrum methodologies
- MantisBT and Redmine tools
- CRM systems (AMO, ZOHO)
- Professional writing of scientific articles, guides, and handbooks
- French language proficiency (Advanced), Bulgarian language proficiency (reading and verbal)

Achievements:
- Published approximately 20 scientific articles on e-government, demonstrating expertise in the field
- Developed expertise in conducting detailed analysis and creating qualitative descriptions, with a strong portfolio of work

Career Interests:
- Full utilization of skills in a challenging and dynamic environment
- Opportunities for career growth and professional development
- Participation in professional training and development programs
- Engaging in interesting and complex projects that leverage skills and expertise"
12149,"Results-driven IT professional with over 15 years of experience in Insurance and Investment Banking domains, seeking a Managing, Product Owner, or BA Lead position in a software company.

Key Achievements:
- Successfully implemented a complex system in 4 large companies as the key employee on a major project.

Skills and Expertise:
- Proven leading and managing abilities
- Ability to work to rigorous deadlines and stay within quoted budgets
- Strong understanding of customer needs with the ability to prioritize them effectively
- Attention to detail with the capacity to work in pressurized, time-sensitive environments
- Comprehensive requirement gathering and documentation skills
- Developer background with a solid understanding of the software development life-cycle
- In-depth knowledge of Insurance and Investment Banking subject areas

Career Highlights:
- Over 15 years of experience in the IT sector, primarily in Insurance and Investment Banking
- Demonstrated ability to work effectively in fast-paced environments, ensuring timely and budget-friendly project completion."
12161,"Business Analysis Laboratory Graduate

Summary:
Results-driven professional with strong self-organization and time management skills, possessing practical experience in business analysis and excellent communication skills.

Skills:
- Self-organization and time management
- Business, functional, and non-fictional requirements writing
- Strong written, verbal, and interpersonal communication
- Negotiation, presentation, and facilitation
- Theoretical and practical knowledge of Business Analysis
- BPMN and wireframe creation

Experience:
Business Analysis Laboratory Educational Program
- Developed strong self-organization and time management skills
- Gained practical experience in writing business, functional, and non-fictional requirements
- Enhanced written, verbal, and interpersonal communication skills through program activities
- Refined negotiation, presentation, and facilitation skills
- Acquired theoretical and practical knowledge of Business Analysis
- Created BPMN and wireframes as part of the program's curriculum"
12252,"Results-driven professional with experience in managing and developing multiple web and mobile projects. Key achievements include:

* Contributed to the development of 30+ web projects and several mobile applications, with 2 projects achieving complete payoff within 3 months of launch
* Played a crucial role in creating a High-Load Big Data sports analytics system and mobile apps from scratch
* Led the development of the first AR/VR E-commerce marketplace for Persian Gulf Countries from inception
* Successfully managed websites operating under 100+ domains worldwide

Occupied positions:
Project Manager
Business Analyst
Product Manager

Technical expertise:
* Development of websites, web apps, mobile apps, and AR/VR apps
* Stock Markets, Equities, and Trading platforms
* High-load e-commerce marketplaces and e-commerce platforms
* Gambling, Sports betting, and sports analytics

Previous project experience:
* Managed 5 separate teams: Back-end, Front-end, Mobile app, Design, and QA
* Team composition: 6 backend developers, 4 frontend developers, 4 mobile developers (iOS/Android), 2 designers, 4 QA engineers, 1 DevOps engineer, and 1 Technical Writer

Technology stack:
* Backend: Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch
* Frontend: React.js, Redux, React-Router, NPM, Webpack3
* Mobile app: Kotlin, Swift, Augmented & Virtual Reality (AR/VR)"
12408,"Results-driven professional with over 12 years of experience in the Banking and Finance sector, including 5+ years in business analysis and 2+ years in project management. Proven track record of delivering successful projects, including the launch of a telecom project for a state US customer and the enhancement of an Ecommerce solution on a new platform.

Key accomplishments:
- Developed and enriched a Treasury management system solution for large corporates and SMEs in Currencies & Cash Management
- Participated in the development of new banking software, specifically the Treasury module
- Implemented the information system for financial estimation of CIS banks

Skilled in:
- Project management
- Business Analysis
- Financial Analysis
- Risk management
- Banking, Insurance, Treasury, and Cash management systems
- Ecommerce
- Telecom expense management

Proficient in:
- SQL
- VBA
- Jira
- Confluence
- ServiceNow
- TFS
- SAP Hybris
- TeamWork
- Ms Project
- Modeling tools (Ms Visio, Balsamiq, Draw io)

Certifications:
- IREB Certificate for Requirements Engineering Foundation Level (2018, No 18-CPREFL-137936-20)

Language skills:
- Advanced English
- Advanced French

Possess excellent presentation and communication skills, with a strong interest in challenging and interesting projects that utilize modern technologies."
12409,"Results-driven Project Manager and Business Analyst with international experience and advanced English skills (IELTS 6.0). Proven track record of managing teams of 6-40 people and expertise in various SDLC methodologies, including Agile, SCRUM, and KANBAN.

Highly detail-oriented with strong problem-solving skills and ability to negotiate with diverse clients from Asia, Europe, UK, and US. Skilled in process and functional analysis, with a high efficiency in description and documentation.

Experienced in managing project scope, creating project management and requirements documentation, and standardizing PMO processes and procedures. Proficient in starting projects from scratch and managing ongoing ones.

Currently working on a cryptocurrency platform as a PM/BA, with expertise in enterprise, e-commerce, finance, and crypto domains. Pursuing PMP credential, with PMP Exam Prep completed. Fluent in English and intermediate in Polish.

Key skills:
* Project management and business analysis
* Team management (6-40 people)
* SDLC methodologies (Agile, SCRUM, KANBAN)
* Process and functional analysis
* Negotiation and communication
* Project scope management
* Documentation and standardization
* Problem-solving and collaboration
* Advanced English (IELTS 6.0) and intermediate Polish
* PMP Exam Prep and credential in progress"
12410,"Results-driven professional with 16 years of experience in finance and software development for financial markets, delivering complex information systems and driving business growth.

Key accomplishments:
- Spearheaded the creation and expansion of a software development department, growing the team to over 30 professionals and driving strategic opportunities that generated significant revenue for the parent company.
- Successfully developed financial software as a product owner, leveraging expertise to deliver high-quality solutions both independently and collaboratively.

Skilled business analyst with expertise in:
- Identifying, structuring, and prioritizing business needs to drive project success.
- Developing Business Requirement Documents (BRD), product roadmaps, and technical documents that align with business objectives.
- Managing product backlogs, contributing to system architecture and protocol development, and ensuring seamless project execution.
- Analyzing external documentation, integrating relevant information into project documentation, and providing in-depth data analysis using financial market data and FIX protocol.

Experienced project manager with a background in:
- Collaborating with US vendors to achieve project goals and drive business outcomes.
- Improving business processes to enhance efficiency, productivity, and overall project delivery.
- Participating in hiring processes to build and strengthen high-performing teams and drive departmental growth."
12418,"Business Analyst & Project Manager

Summary:
Results-driven Business Analyst and Project Manager with 8+ years of experience in IT and business process consulting, delivering expertise across multiple domains including IT product development, e-commerce, marketing, telecom, automotive, finance, energy & gas, and agriculture.

Technical Skills:
- CRM systems: Creatio, Maxbill
- BPM class solutions
- MS Office365
- Document management systems
- Contact centers
- Video surveillance
- Augmented Reality (AR)
- Printing infrastructure management and security
- Agile methodology
- Business process modeling: BPMN, UML diagrams
- Prototyping tools: Moqups, Miro, Balsamiq

Professional Experience:
Results-driven professional with 8+ years of experience in IT and business process consulting, delivering expertise in project management from conceptualization to deployment. Proven skills in stakeholder interviews, business requirements gathering, and solution development. Experienced in requirements management, prioritization, and decomposition. Successfully managed a large-scale enterprise implementation project for Billing&CRM Maxbill as a Module Lead, overseeing Sales, Retention, and Customer Care modules for B2B clients, with 200 module users and 1300 system users.

Leadership Experience:
Seasoned leader with 12 years of sales and services experience, including team management. Proven track record of successfully managing 3 regional teams with up to 45 team members, utilizing strong organizational and management skills, independent decision-making, and responsibility. A collaborative leader focused on individualized team member motivation and positive team culture.

Career Interests:
Seeking opportunities in Business Analysis, Product Management, Project Management, CRM, Business Process Transformation (IT, customer service, fintech), or Head of Customer Care roles."
12422,"Project Management Institute Certified Associate in Project Management (CAPM)
Northeastern University
Master of Science in Project Management, concentrated on Project Business Analysis, GPA of 3.76/4
Academy of Public Administration
Bachelor of International Relations

Junior Project Coordinator
PrintInk, Baku, Azerbaijan
May 2023 – Present
- Coordinated and monitored project budgets of $80,000-$150,000, identifying and reporting variances to administration
- Developed, organized, and managed project resources, including material, equipment, and personnel, within a 10-15 person team
- Revised and maintained project schedules and timelines, ensuring tasks and goals were delivered within deadlines
- Conducted quality assurance testing, assessing and verifying new products met quality standards

Project Experience
Location Scout Training Program Development, Boston, USA
- Defined SMART business requirements, project assumptions, and constraints, clarifying ambiguity by up to 60% within an 8-person project planning team
- Prepared and prioritized project deliverables, submitting project scope, cost, and schedule baseline statements to the sponsor within the first 4 weeks
- Developed a 20-page document including contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy, featuring over 5 tables and 2 sets of matrices

MBTA Transportation App Development, Boston, USA
- Developed project plan, activities, resources, budget, and schedule, assigning tasks among 11 team members
- Executed risk management using qualitative and quantitative techniques, and 3 contingency plans for each risk

Insurance Business Analyst
Globe Life Liberty National Division, West Covina, CA, USA
November 2022 - February 2023
- Established productive client relationships, building rapport within 15 minutes
- Determined client needs and financial situations through fact-finding appointments and presentations
- Ascertained long-term goals, offering over 10 different plans and supplemental benefits"
12435,"Procurement Manager
4 years of experience

Key Responsibilities:
- Controlled warehouse balances
- Analyzed and forecasted sales
- Planned and executed procurement, placing orders with suppliers
- Monitored order execution
- Handled customer complaints and returns
- Negotiated with suppliers
- Contributed to transport logistics management

Professional Development:
- Completed online course: Data Analysis and Statistical Inference in R language, Prometheus.org.ua (November 2016)
  Certificate: https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf

Education:
- Master's Degree in HR Management, graduated with distinction
- Awarded 3rd place in the All-Ukrainian Olympiad in the specialty of HR Management"
12436,"Project Coordinator & Business Analyst Lead

Summary:
Results-driven professional with experience in project coordination and business analysis, leading cross-located teams and driving business growth through effective communication and process development.

Project Experience:
- Coordinated the delivery of a high-profile project for a national Canadian corporation, ensuring timely and efficient completion as a Project Coordinator
- Led business analysis efforts as a BA Lead, developing and implementing BA processes and creating comprehensive communication plans with customers and development teams
- Coordinated the work of cross-located teams, fostering collaboration and driving results

Business Analysis Skills:
- Conducted requirements elicitation and gathering, including capability gaps assessments, elaboration phases, and requirements gathering workshops
- Prioritized requirements to ensure alignment with project objectives
- Collaborated with customers onsite to understand needs and deliver tailored solutions

General Management:
- Proven management experience with a strong ability to lead and direct teams

Human Resources:
- Provided coaching and support to team members to enhance performance and skills
- Coordinated and executed events to drive engagement and collaboration
- Developed and delivered training programs to enhance team capabilities and knowledge"
12437,"Results-driven professional with experience in multiple areas of business, including methodology, design, development, and implementation of financial management systems. Proven track record of delivering over 15 successful projects, navigating complex challenges, and continually developing English language skills."
12447,"Summary:
Results-driven professional with experience in delivering SaaS solutions for real estate and insurance startups, managing DevOps production support teams, and driving project success through effective priority management and agile tools.

Experience:
- Delivered MVP for UK real estate startup, securing investments from Google through agile methodologies and iterative demo improvements.
- Managed feature delivery for UK insurance startup, prioritizing tasks under tight deadlines with a consistent team.
- Assisted Business Development managers in winning projects during presale stages, leveraging new ideas into tangible projects and performing upselling when necessary.
- Successfully managed a DevOps production support team for over 800 environments, enhancing response rates, service quality, and variety.
- Achieved three positive reviews on Clutch for managed projects, indicating high client satisfaction.

Technical Skills:
- SaaS solutions for real estate and insurance startups
- E-commerce platforms: Shopify, Magento 1/2, WordPress
- Mobile development: iOS, Android, with experience in VR games and healthcare apps
- Tech support team management: Cloud DevOps
- AI-based solutions

Business Analysis Experience:
- Created specifications and Figma mockups for various projects

Career Interests:
- Working with SaaS or mobile solutions
- Collaborating with English-speaking clients exclusively"
12448,"Results-driven Business Analyst and Project Manager with 5 years of experience in business analysis and 2 years in project management, delivering high-impact projects across various domains, including online services, e-commerce, manufacturing, CRM/ERP, education, and automotive.

Key Achievements:
- Built a team from scratch for an innovative project, achieving a 96% on-time delivery rate of scheduled features over 2 years, as per Jira reports.
- Created designs based on personal mockups for several projects, resulting in high customer satisfaction, as evidenced by customer surveys.
- Relaunched a complex billing system interface for over 100,000 users without causing frustration or inconvenience.
- Developed mockups and requirements for the largest petroleum company in Ukraine, leading to a successful project launch.

Expertise:
- Developing mock-ups and prototypes from stakeholders' ideas
- Creating specifications from a business perspective
- Building roadmaps and issue structures with Epics and User Stories
- Requirement management
- Developing user guides and FAQs
- Managing project development life-cycles
- Collecting requirements
- Building interactive mockups of user interfaces
- Writing specifications
- Analyzing market and competitors

Preferred Work Environment:
Informal setting where all team members have a voice and are heard. Open to part-time or one-time projects, offering flexibility as a skilled team player who can effectively cover business analysis needs without requiring a full-time position."
12449,"Results-driven professional with expertise in Agile project management, team leadership, and requirements analysis, delivering multiple projects from initiation to completion with a strong focus on collaboration, budget control, and conflict resolution.

Key Strengths:
- Agile project management of multiple projects
- Full life cycle delivery management
- People and Team management
- Requirement gathering and analysis
- Conflicts management
- Budget control and reporting

Technical Skills:
- Jira
- Use cases
- User stories
- Scrum
- Requirements analysis
- BPMN
- Requirements management
- Balsamiq Mockups

Deliverables:
- Produced project documentation, including Vision and Scope Definition and Software Requirement Specifications
- Created workflow diagrams, charts, and presentations
- Developed user stories and customer journey maps via Figma

Core Responsibilities:
- Established requirements elicitation, approval, and change processes
- Set up software delivery processes to facilitate team collaboration between Development, QA, and Business Analysis teams
- Monitored requirements implementation and conducted solution acceptance testing"
12450,"Results-driven IT professional with 7 years of experience in implementation consulting, business analysis, and project management, delivering expertise in CRM, ERP, and HR core systems implementation. Proven track record of automating recruitment processes and integrating core banking systems.

Key strengths include:
- Full life cycle project participation
- Stakeholder negotiations
- Effective time management

Highly experienced IT professional with a 7-year background in the industry, possessing a deep understanding of technical and operational aspects of IT projects, driving successful project outcomes through expertise in implementation consulting, business analysis, and project management."
12451,"Associate Business Analyst / Project Manager (06.2021 - 12.2021)
Business Analyst / Project Manager (12.2021 - Present)

Key Responsibilities:
- Managed multiple projects across various phases, including migration, application upgrades, and disaster recovery tests
- Created and tracked high-level and detailed project plans, monitoring task performance
- Facilitated stakeholder communication through update emails, meeting notes, and notifications, engaging with top management and teams at all levels
- Coordinated meeting schedules and ensured effective project coordination
- Analyzed project requirements, dependencies, and risks, collecting and documenting relevant data
- Developed informative reports and charts, such as vulnerability updates, infrastructure project status, and test results

Junior Software Engineer (11.2020 - 06.2021)

Key Responsibilities:
- Collaborated with global clients to gather project requirements and provide updates
- Documented client requirements and resolved relational database and CRM system tickets
- Verified and assigned tickets to appropriate resolver groups
- Conducted quality and functionality testing of CRM system updates"
12452,"Project Manager

Summary:
Results-driven Project Manager with experience in managing multiple projects, leading scrum meetings, and ensuring timely delivery.

Key Responsibilities:
- Collected and discussed project requirements with customers to ensure understanding of needs
- Planned and coordinated projects from initiation to completion
- Drafted key documents, including commercial suggestions, functional specifications, technical requirements, and business process descriptions
- Produced and distributed tasks to team members
- Monitored task implementation timelines to ensure projects stayed on track
- Coordinated and controlled projects to achieve desired outcomes
- Led scrum meetings to facilitate team collaboration and progress updates
- Maintained regular communication with customers to ensure satisfaction
- Successfully managed multiple projects simultaneously
- Ensured timely project delivery and identified areas for project development and improvement

Work Experience:
- Utilized complex problem-solving skills in a fast-paced environment
- Thrived in an informal setting with adequate management and opportunities for professional growth"
12453,"**Summary**
Results-driven business analyst with 7+ years of experience in project management and business analysis, delivering high-quality projects on time and within budget, with a strong track record of satisfied customers.

**Experience**

* Business Analyst, Fintech Company (Crypto), 9 months
	+ Analyzed and gathered requirements
	+ Coordinated with IT department, designers, and stakeholders
	+ Authored and implemented technical specifications
* Project Manager/Business Analyst, various industries (fintech, health and beauty, gambling, goods, tourism, manufacture, consulting), 7+ years
	+ Managed projects from initiation to completion and supported ongoing projects
	+ Collaborated with diverse business spheres, including traffic arbitrage and website development

**Key Achievements**

* Consistently delivered projects on time, within budget, and to high customer satisfaction
* Successfully released projects and provided support for clients such as Oshadbank and Totis while at Vintage
* Developed and implemented processes, generating $90-160 thousand+ in monthly profits while at the Arbitration team
* Created a landing page and promotional materials for the Financial Storm 3.0 contest, with a 3,000,000 UAH budget, within a two-week timeline at Sales Doubler
* Implemented a CRM system for the ""Zhansaya"" sanatorium website in Kazakhstan, resulting in 412 applications and calls within 22 business days, with a 4% conversion rate

**Skills**

* Requirements gathering and analysis
* Stakeholder communication and coordination
* Pre-design studies and research
* UX prototyping and specification development
* Project documentation and management
* Agile methodologies, including Scrum and Kanban
* Team organization and leadership
* Decision-making and responsibility
* Client-oriented communication and flexible approach
* UX/UI understanding

**Tools**

* JIRA
* Confluence
* Trello
* YouTrack
* Monday
* Bitrix
* Redmine
* Balsamiq
* Moqups
* Draw.io
* Figma

**Career Goals**
Seeking a Business Analyst or PM/BA role, motivated by the opportunity to work with innovative and user-centric products, and to further develop expertise."
12454,"BA Graduate with Project Management Experience

Summary:
Results-driven professional with experience in project management, research, and analysis. Proven ability to manage teams, create and monitor project plans, and communicate effectively with partners and stakeholders.

Employment History:

Project Manager, ArtHome (June 2019 - January 2020)
- Managed a scrum team and created and monitored project plans using Gantt diagrams
- Communicated with partners and represented the company's interests to interior designers
- Prepared reviews of companies and individuals, and conducted vertical analysis
- Controlled time management, estimated costs, and developed budgets
- Built and maintained effective communications with project stakeholders

Researcher (Commercial Intelligence), Noosphere (April 2019 - July 2019)
- Conducted vertical research and full niche reviews for future customer product releases
- Analyzed country-specific features, uncovered hidden links between people and businesses, and searched for information through open-source intelligence
- Prepared reviews of companies and individuals, and identified weaknesses and trends
- Analyzed venture capital deals and identified vertical trends

Analyst, Global Fertilizer Market
- Communicated with market players, exchanged information, and prepared analytical reports

Skills:
- Project management
- Team management
- Communication and stakeholder management
- Research and analysis
- Time management and budgeting
- Analytical and problem-solving skills
- Language skills development

Achievements:
- Increased staff training results from 52% to 93% at the Bartolomeo resort
- Successfully managed projects and teams, and developed effective communication strategies

Education:
BA Graduate"
12455,"Experienced Professional in FinTech and Logistics

Summary:
Highly experienced professional with 3+ years of experience in FinTech and a strong background in logistics, possessing expertise in project management, client onboarding, and process optimization.

Experience:
Lead Account Project Manager, FinTech (Oct 2019 - Present)
- 2 years as Account Project Manager
- 1.5 years as Lead Account Project Manager, with 0.5 years in a specialized role
- Responsibilities:
  - Onboarding and integration of new clients to the platform, including defining launch plans, demos, and API documentation consulting
  - Analyzing customer needs and providing sales stage consulting
  - Managing client task backlogs, including analysis, description, timing, implementation control, testing, and delivery
  - Analyzing API documentation and testing requests on Postman
  - Identifying customer feature requests and creating tasks for the development team
  - Task management using Jira
  - Process description using BPMN and Confluence

Project Manager, UVK Ukraine Transport & Logistics (Jun 2017 - Oct 2019)
- Accomplishments:
  - Achieved an average increase in profitability from container turnover of 0% to 40%
  - Implemented automation of accounting
  - Reduced losses
- Responsibilities:
  - Introduced clients to the service provided and conducted reconciliations on containers with approximately 40 clients
  - Conducted reconciliations with regional offices across 23 regions
  - Wrote technical specifications for developers, monitored implementation timing, and tested outcomes
  - Prepared regulatory documents, including work instructions
  - Fulfilled KPI indicators

Skills:
- Project Management
- Client Onboarding
- Process Optimization
- API Documentation Analysis
- Task Management (Jira)
- Process Description (BPMN, Confluence)
- Technical Specifications
- Regulatory Document Preparation
- KPI Management
- FinTech
- Logistics"
12456,"Results-driven professional with experience in project management, data analysis, and team leadership, delivering successful projects and driving business growth.

Key Experience:
- Spearheaded project initiatives, including the development and implementation of CRM and ERP systems for a logistics company, leveraging team collaboration to drive project success
- Successfully supported existing projects, ensuring seamless execution and delivery of desired outcomes
- Contributed to the development and implementation of the company's sales plan, resulting in increased sales performance

Skills and Expertise:
- Data analysis, evaluation, and planning, with a focus on driving business insights and informed decision-making
- Budget planning and analysis, ensuring effective resource allocation and cost management
- Creation of user stories and communication of backlog priorities to the team, facilitating agile project management
- Collaboration with business stakeholders to identify and solve technical problems, driving issue resolution and process improvement
- Key decision-making on product features, ensuring alignment with business objectives and customer needs
- Reporting to department heads and management, providing transparent and timely project updates
- Project team oversight, ensuring effective team management and leadership
- Risk control and management, mitigating potential risks and ensuring project stability
- Time and scope management, ensuring projects are delivered on time and within scope

Professional Values:
- Transparency in project management, budgeting, and issue resolution, ensuring open communication and trust
- Clear communication of project progress, challenges, and changes to the team, fostering collaboration and teamwork
- Commitment to ethical behavior and delivering value, driving business success and social responsibility
- Interest in working on projects for non-governmental organizations (NGOs), aligning with a passion for creating positive social impact"
12457,"Results-driven business analysis professional with 10 years of experience delivering solutions of varying sizes, complexity, and purpose.
Proven background in software development life cycle (SDLC) with 4 years as a QA engineer, enabling swift identification of client needs and market requirements to provide tailored solutions that meet architectural drivers.
Skilled in combining business analysis with project management, having spent 1 year in a dual role, with responsibilities including:
- Development of product concepts
- Planning of architecture in collaboration with technical experts
- Training of users
- System deployment
Experience as an Engagement Manager in pre-sales, preparing initial proposals and conducting full scope analyses, demonstrating versatility in handling diverse tasks.
Entrepreneurial experience, having founded and managed own business, providing valuable insight into process construction, sales processes, and the importance of adaptability.
Currently seeking new challenges to leverage expertise in helping clients achieve success."
12458,"Product Manager

Summary:
Results-driven product manager with experience in product development, stakeholder management, and team collaboration.

Key Responsibilities:
- Gathered requirements from stakeholders to inform product development
- Authored and defined forward-thinking user stories and use cases
- Created comprehensive roadmaps and user flows for SaaS platforms from inception, including defining permission structures
- Collaborated closely with designers to evolve and enhance UX
- Managed Product and Sprint Backlogs to ensure timely project progression and delivery
- Facilitated daily, grooming, and retrospective meetings to maintain team alignment and cohesion
- Decomposed user stories into actionable tasks, prioritizing them based on project needs and objectives
- Specified data delivery requirements from the data science department to the backend team, ensuring seamless integration
- Maintained and supported product documentation to ensure clarity, accessibility, and up-to-date information"
12459,"Project Manager
Marrix Power

Results-driven Project Manager with experience in managing multiple projects and teams, driving project development from conception to execution. 

Key Responsibilities:
- Managed 16 distinct projects simultaneously with teams of 3-5 members
- Maintained open communication with clients, providing consistent updates and feedback
- Elicited and documented project requirements, planning and executing projects from start to finish
- Shaped ideas into feasible projects, gathering requirements and planning for further development

Utilized project management expertise to drive project success, with a strong foundation in:
- Development
- Client communication

Seeking a Business Analysis role where project management and development experience can be applied to drive business growth and improvement."
12460,"Highly Motivated Professional

Results-driven professional with 4 years of experience in managing teams, clients, and projects, delivering results through effective client nurturing, engagement, and management.

Core Strengths:
- Client Management: Proven ability to nurture, engage, and build strong client relationships
- Team Leadership: Experienced in leading development teams and stakeholders to achieve project goals
- Technical Skills: Proficient in interactive prototyping and wireframing using MockingBot and Figma, as well as Business Process Model and Notation (BPMN) using draw.io and Camunda
- Business Analysis: Skilled in requirements elicitation and definition, user story and use case development, and technical documentation
- Sales and Growth: Adept at identifying and pursuing new sales opportunities through upselling and client relationship management

Results-driven and enthusiastic about encountering new challenges and processes, seeking new opportunities to leverage skills and experience."
12461,"Results-Driven Project Implementation Specialist

Delivering projects that meet customer requirements, timelines, and budgets, with key responsibilities including:

• Analyzing client requirements through elicitation, elaboration, and documentation of business and functional requirements in user stories, main and alternative flow diagrams, block diagrams in Visio, and wireframes
• Collaborating with cross-functional teams, including Developers, Engineers, and QA, to discuss solution architecture, estimation, and acceptance criteria, ensuring team understanding of client expectations
• Managing client requirements, including new requests and change requests, in Confluence, obtaining client approvals for scope and estimations
• Planning and prioritizing sprint tasks in Jira, participating in sprint planning and retrospectives to ensure adherence to agreed-upon priorities and timelines
• Tracking and reporting progress, creating use cases and test scenarios, reviewing test results with QA, and testing custom solutions prior to deployment
• Presenting solutions to clients, facilitating UAT, and ensuring customer satisfaction and acceptance"
12462,"Results-Driven System Analyst

Utilized technical expertise to develop innovative solutions, reducing estimated project time by up to 90%. Proven ability to constructively challenge and defend alternative solutions to top management, ensuring optimal outcomes. Simplified bureaucratic processes related to technical documentation, minimizing manual workload and enhancing operational efficiency.

Key Responsibilities:
* Authored comprehensive technical documents, including Business Requirements Documents (BRD), System Requirements Specifications (SRS), API Specifications, and User Guides
* Designed and implemented database structures to support application development
* Estimated and prioritized Backlog Requests to inform project planning and resource allocation
* Conducted demo meetings to showcase completed work and gather feedback
* Facilitated Retro meetings to review project progress, identify areas for improvement, and implement process enhancements
* Performed thorough testing, including API testing, manual testing, and automated testing
* Developed and maintained test cases, test scenarios, and smoke scope to ensure application quality and reliability
* Created Release Notes and Delivery Protocols to facilitate seamless application deployment
* Assumed Team Lead responsibilities in the absence of the permanent Team Lead, demonstrating leadership and collaboration skills

Technical Expertise:
* System analysis and design
* API development and integration
* Front-end (FE) libraries and server management
* Database structure design and implementation
* Automated testing and quality assurance

Application Experience:
* Worked on a template application for app creation, utilizing FE libraries and API integration to facilitate easy application development and deployment."
12463,"LPNU: 
Bachelor's Degree, 3rd Course
Projects:
- Defined problems and provided analysis
- Suggested solutions through prototyping and persona development
- Developed solutions using use case diagrams
- Conducted analysis of the current state of a company
- Determined the ""TO BE"" state
- Utilized requirement elicitation techniques

Novomind (Germany)
Java Developer Intern (3 months)
- Developed solutions for small-scale cases
- Collaborated in an Agile team environment
- Communicated effectively in English"
