,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
2585,"# PROFESSIONAL SUMMARY

Result-oriented Project Management, Marketing, and Sales professional with a proven track record of managing highly successful projects and increasing revenue growth in competitive markets. Combines business process expertise across Marketing, Sales, and IT with professional experience collaborating in Agile/Scrum environments and international teams. Demonstrates natural curiosity for new information technologies through continuous professional development in Online Marketing, Scrum, Agile Project Management, and Lean Project Management.

# EDUCATION

**International Master's Degree** — Germany
*Graduated with ""Very Good"" distinction*

**Bachelor's Degree** — Germany

**Certifications:** Multilingual Certification (German/English)

# PROFESSIONAL EXPERIENCE

**Head of Business Development Department**

- Lead and manage a team of Sales and Account Managers
- Achieved 50% revenue growth in respective market
- Manage large-scale integration project with top European ECM Software Solution provider

# CORE COMPETENCIES

- Project Management
- Business Development
- Marketing & Sales Strategy
- Team Leadership
- Agile/Scrum Methodology
- International Team Collaboration
- Software Integration Projects

# CAREER OBJECTIVES

- Contribute to a reputable organization
- Pursue professional advancement opportunities
- Collaborate with competent, congenial team players
- Engage in international work and continuous skill development"
2586,"**[Your Name]**
[Contact Information]

---

**PROFILE**

7 years of experience in client service and project management

---

**PROFESSIONAL EXPERIENCE**

**Account Project Manager**
*Media Agency Vizeum (Dentsu)* — 1.6 years

- Organized and coordinated interaction between Agency and Client throughout project development, approval, and implementation phases
- Managed daily communication and service for local and global client and customer teams
- Delivered complex client management in media, including strategic planning across TV (including TV Sponsorship), OOH, Radio, and Digital channels

---

**Senior Account Manager**
*Marketing Services Agency Adsapience* — 3.1 years

- **Account Management:** Developed brand and product promotion concepts; designed operational process structures; provided daily customer support; processed client requests; prepared and managed project budgets
- **IT Project Management:** Coordinated web development team for websites and applications; supervised national teleconferences
- **Operations Management:** Maintained continuous communication across 4–5 specialized teams including product development, creative, digital, production, legal, and logistics
- **Team Leadership:** Led large-scale BTL, B2B, and B2C events and partner integrations; coordinated teams of 20+ people; trained and ensured quality control of middle managers
- **Customer Support:** Oversaw service implementation for clients; resolved issues and delivered improved solutions

---

**Account Manager**
*Marketing Agency TMA Ukraine* — 1.9 years

- Developed and integrated marketing promotions for a major shopping and entertainment center in Kyiv
- Successfully managed 318 projects with daily attendance reaching up to 55,000 visitors
- Coordinated diverse trade-marketing projects with full-cycle process management

---

*More details available in CV*"
2587,"**ACCOUNT & PROJECT MANAGER**

**Professional Experience**

**Account & Project Manager**
Dutch SaaS Company

Advise international clients on supply chain mapping solutions and market developments. Prepare and manage project budgets. Oversee ongoing projects and coordinate IT team activities. Serve as primary point of contact for client inquiries and issue resolution. Drive client satisfaction initiatives.

**Market Focus**
- Target Market: Europe
- Supply Management Scope: Worldwide

**Technical Proficiencies**
- Proprietary in-house software
- Teamleader
- Microsoft Office Suite
- Tableau

**Industry Expertise**
Supply chain risk management | Data verification | SaaS solutions"
2588,"**ACCOUNT MANAGER**
ProfiAds (Advertising & Event Agency) | June 2015 – Present

Launched large-scale projects for major brands across shopping centers throughout Ukraine, including Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo.

**Key Qualifications & Responsibilities:**

- Managed full documentation lifecycle: client negotiations, contract execution, customer communication, shopping center correspondence, and budget oversight
- Conducted on-site meetings to coordinate placement agreements and supervised project launches across multiple cities
- Coordinated cross-functional teamwork, collaborating with designers on layout creation and securing client approvals
- Oversaw end-to-end advertising placement: print production, contractor sourcing, installation management, logistics coordination (import/export of equipment), permit acquisition, and supervision of installation and dismantling processes"
2589,"**ACCOUNT MANAGER / PROJECT MANAGER**

Result-oriented professional with 5+ years of experience in product and outsource companies | 19 commercially launched projects

---

**PROFILE**

Organized and diligent Account Manager/Project Manager with strong written, oral, and interpersonal communication skills. Stress-resistant professional able to work under pressure and manage multiple projects simultaneously. Positive, open-minded team player committed to project success and personal growth.

---

**CORE COMPETENCIES**

- Scrum Event Facilitation
- Project Communications Management
- Staffing & Resource Control
- Financial & Invoicing Management
- Software Development Planning & Estimation
- People Management & Team Building

---

**PROFESSIONAL EXPERIENCE**

- Facilitate Scrum events across multiple teams
- Plan and manage internal and external project communications
- Control staffing processes and resource allocation
- Manage project, financial, and invoicing documentation and processes
- Lead internal delivery teams to ensure successful project delivery
- Estimate software implementation requests including goals, cost, scope, and efficiency
- Plan software development processes and control execution of development plans
- Build effective, collaborative project teams and promote individual and team performance

---

**OBJECTIVE**

Seeking a position with a company that values strong team spirit and offers opportunities for continued professional growth and skill development."
2590,"**SALES ACCOUNT MANAGER**

**Professional Summary**

Results-driven Sales Account Manager with over 4 years of experience building lasting client relationships and bridging communication between customers and development teams. Skilled at understanding client needs and delivering tailored solutions. Seeking to advance in Account/Project Management.

**Core Competencies**

- Client Relationship Management
- Needs Assessment & Solution Planning
- Project Quoting & Requirements Gathering
- Contract Negotiation & Deal Closing
- Account Management
- Stakeholder Communication
- Invoicing & Administrative Processes

**Professional Experience**

**Sales Account Manager**
*4+ Years*

- Cultivate and maintain long-term client relationships built on trust and rapport
- Process verified leads and convert opportunities into closed deals
- Assess customer needs and develop responsive action plans
- Gather project requirements and prepare accurate quotes
- Manage accounts from project initiation through completion
- Facilitate business meetings between prospects, customers, and internal teams
- Coordinate communication between clients and development teams
- Prepare and issue client invoices

**Ideal Work Environment**

Collaborative team culture with established processes and mentorship opportunities"
2591,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY

Dedicated Account/Project Manager with 1.5 years of experience delivering quality results through strong communication and relationship-building skills. Proven ability to manage multiple concurrent projects while maintaining accuracy and accountability. Committed to continuous improvement through results evaluation and process analysis.

## CORE COMPETENCIES

- Account & Project Management
- Client Relationship Management
- Team Collaboration
- Contract & Agreement Preparation
- Budget Preparation
- Website Testing
- Task Prioritization
- Multi-Project Coordination

## PROFESSIONAL EXPERIENCE

**Account/Project Manager**
*1.5 Years of Experience*

- Build and maintain productive relationships with clients and internal team members
- Prepare and manage contracts, agreements, and client budgets
- Conduct website testing to ensure quality deliverables
- Successfully manage multiple projects simultaneously while meeting deadlines
- Prioritize and execute tasks efficiently to optimize workflow
- Evaluate project outcomes and analyze challenges to implement process improvements

## KEY STRENGTHS

- Strong interpersonal and communication skills
- Detail-oriented with high accuracy standards
- Results-driven with commitment to quality
- Analytical approach to problem-solving
- Reliable and accountable"
2592,"**PROFESSIONAL SUMMARY**

Dynamic Account Manager with proven expertise in strategic partnership development, revenue growth, and team leadership. Experienced in B2B sales, project management, and cross-functional coordination across international markets. Skilled at building lasting client relationships, driving measurable business outcomes, and translating partner insights into actionable improvements.

---

**PROFESSIONAL EXPERIENCE**

**Key Account Manager**
Glovo

- Serve as the sole Account Manager for the entire country at Europe, Africa, and Asia's fastest-growing delivery platform, coordinating a team of 10 people
- Generate €4,000+ monthly through sales of in-app instruments and promotional campaigns to partners, increasing GMV and CPO
- Doubled revenue for top 10 partners within 2-3 months
- Own strategic partner relationships end-to-end, including P&L tracking, product integrations, co-marketing initiatives, and operational excellence
- Execute, optimize, and analyze day-to-day campaigns across multiple clients
- Monitor and report partner KPIs, ensuring consistent month-over-month growth
- Serve as primary liaison between partners and internal teams across product, marketing, and operations
- Gather partner feedback to drive product, marketing, and operational improvements

**Key Customer Manager**
Dubai

- Promoted vendor products and executed strategic sales initiatives
- Served as lead point of contact for all customer account matters
- Built and maintained long-lasting client relationships
- Negotiated contracts and closed agreements with new leads
- Onboarded new customers through initial meetings and training
- Created vendor showcases on backend website panels

**Assets Sales Manager**

- Sold assets exceeding $20,000 within 3 months
- Maintained current product and sales materials for presentations and conferences
- Prepared franchise documentation for sale
- Managed financial reporting

**Project Coordinator / Founder**

- Founded educational initiative helping students learn business fundamentals while accessing university enrollment discounts
- Managed technical and administrative teams of 60 people
- Led quarterly project generating $27,000 in revenue with 400 participants
- Conducted training for regional coordinators
- Mentored and prepared teams for project participation
- Managed inbound and outbound lead generation

---

**ACHIEVEMENTS & RECOGNITION**

- Winner, International Case Championship, Almaty (2018)
- Selected from 200 candidates for Study US Institutions Program for Women Leaders; represented home country in the USA (2019)
- Featured in prominent local media publication

---

**CORE COMPETENCIES**

- Strategic Account Management
- B2B Sales & Revenue Growth
- Partner Relationship Development
- Project Management
- Team Leadership & Coordination
- Campaign Execution & Optimization
- KPI Analysis & Reporting
- Cross-functional Collaboration
- Contract Negotiation
- Stakeholder Management"
2594,"# PROFESSIONAL SUMMARY

Results-driven professional with 10+ years of successful account and project management experience in B2B and B2C environments. Proven ability to hire, train, motivate, and manage efficient teams. Creative, goal-oriented leader with deep marketing knowledge and strong negotiation skills. Seeking opportunities as an Event Manager, Account Manager, or Project Manager.

---

# PROFESSIONAL EXPERIENCE

**Event Sales Manager**
*Hotel and Restaurant Complex*
*3+ years*

- Successfully sold and delivered 300+ projects
- Achieved upsales up to 200% from primary cost
- Built long-term client relationships, securing 2–8 repeat projects per client with positive and excellent feedback

**Account Manager (BTL)**
*5+ years*

- Selected and trained personnel who exceeded performance expectations by 30%
- Managed event coordination and account relationships

**Startup Leadership**

- Developed startup from scratch
- Hired, trained, and managed team of 8 people
- Engaged 20+ partners

---

# SKILLS

- Account and Project Management
- Team Building and Leadership
- Event Sales and Coordination
- Client Relationship Management
- Marketing Strategy
- Negotiation

---

# PREFERENCES

Warm leads and relationship-based sales preferred"
2595,"**PROFESSIONAL SUMMARY**

Results-driven professional with 5+ years of progressive experience in international sales and business development. Proven track record in global key account management with strong analytical abilities and excellent communication skills. Committed to continuous professional growth and development.

**CAREER OBJECTIVE**

Seeking a Global Account Management position focused on strategic client relationships and international business development.

**PROFESSIONAL EXPERIENCE**

**Global Account Manager**
*2 years*
- Managed key international global accounts
- Developed and maintained strategic client relationships

**Head of Sales Department**
*1.5 years*
- Led sales department operations
- Oversaw departmental strategy and performance

**Sales Manager**
*2 years*
- Executed sales initiatives
- Built foundation in international sales and business development

**CORE COMPETENCIES**

- Global Account Management
- International Sales & Business Development
- Key Account Strategy
- Analytical Problem-Solving
- Cross-Cultural Communication
- Client Relationship Management"
2597,"**PROFESSIONAL SUMMARY**

Versatile Product and Project Management professional with proven success expanding business operations internationally, having opened a new sales direction to Australia for one of the most popular educational platforms in the USA. Experienced in managing 2 to 20 FTE across up to 10 simultaneous projects spanning Finance, Logistics, Mobile Games, Services, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment industries. Certified Scrum practitioner skilled in establishing Scrum methodology processes, cultivating Agile mindsets, creating roadmaps, and conducting annual evaluations.

---

**PROFESSIONAL EXPERIENCE**

**Senior Project Manager | Scrum Master | Business Analyst**
*September 2022 – August 2023*

- Mentored and coached teams on Agile ceremonies, practices, roles, and artifacts
- Facilitated Scrum ceremonies and adapted them to team needs while ensuring adherence to Scrum values
- Maintained team focus on priorities to achieve Sprint and product goals
- Identified customer needs, defined product vision, and aligned stakeholders behind strategic objectives
- Prioritized product features and capabilities
- Established and monitored timelines in association with product launches

*Areas of Competence:* Product Backlog Management | Annual Planning | OKR Methodology | People Management and Coordination | Critical Issue Resolution | Project Progress and Metrics Reporting

---

**Senior Project Manager | Scrum Master**
*August 2019 – August 2022*

- Managed web, desktop, and mobile application development processes
- Directed multiple concurrent projects while managing issues and risks
- Facilitated Scrum events and adapted them to team needs
- Monitored progress to deliver milestones according to demonstration plans
- Conducted One-to-One meetings with team members
- Provided immediate support for emerging team issues

*Areas of Competence:* Project Management | People Management and Coordination | Co-located and Distributed Team Management | Product Backlog Management | Iteration Planning

---

**Team Lead Project Manager**
*Appus Studio, Kharkov, Ukraine*
*May 2019 – August 2019*

- Led project development including implementation of complex tasks and resolution of critical issues
- Established clear goals and priorities for team members
- Provided technical guidance to company employees
- Participated in customer calls and meetings, supporting other managers as needed
- Contributed to employee adaptation, motivation, and interview processes
- Selected technologies for project development and planned project architecture

---

**ADDITIONAL EXPERIENCE**

**Speaker** | A-Level School
*April 2019 – Present*

---

**INTERESTS**

Digital Drawing"
2645,"**PROJECT MANAGER**
Non-Profit Sector

- Built comprehensive workspace from scratch in Monday CRM, enabling daily progress visibility for all team members
- Migrated all existing spreadsheets to Monday CRM system, streamlining data management and improving organizational workflow efficiency
- Led integration and training process, ensuring seamless transition for all team members to new CRM system
- Trained 5 interns who subsequently became integral team members
- Developed external e-learning course on grant writing from scratch, leveraging LearnWorlds.com platform
- Prepared comprehensive monthly and quarterly reports for existing clients, highlighting key performance metrics and achievements
- Established standardized reporting process, leading to improved client satisfaction and retention

**UNDERWRITING MANAGER**

- Reviewed and evaluated over 600 application packages from clients and ISOs, providing detailed feedback
- Analyzed statistical data using specialized software including Jarvis CRM
- Created and boarded 95 approved merchant applications in system
- Maintained daily communication with new and existing clients

**ACCOUNT MANAGER**

- Assisted more than 200 clients in securing account approvals with US banks
- Pre-filled application packages based on client supporting documentation
- Submitted application packages to banks and maintained ongoing communication with bank representatives regarding account status
- Trained new employees on company customer management policies
- Maintained updated workflow records in CRM system"
2654,"**PROFESSIONAL EXPERIENCE**

**Account Manager** | Sparkybit | Germany
*July 2022 – Present*

- Build and maintain strong, long-lasting customer relationships to drive client loyalty and revenue growth
- Conduct regular client meetings, satisfaction surveys, and reviews to identify opportunities and address concerns
- Resolve complaints proactively and implement preventive measures to mitigate potential issues
- Manage existing accounts by collaborating with cross-functional teams to solve complex business and technical challenges

**Account Manager** | DevPals AB | Sweden
*January 2022 – June 2022*

- Cultivated trusted advisor relationships with key accounts to ensure customer success and satisfaction
- Managed challenging client requests and issue escalations to achieve timely, effective resolutions
- Ensured successful delivery of solutions aligned with customer needs and expectations
- Supported lead generation initiatives on Upwork to expand client base

**Business Sales Manager** | North-wine | Denmark
*November 2017 – September 2021*

- Identified and acquired new key customers through targeted outreach and prospecting calls
- Maintained ongoing correspondence with existing customers to assess needs and recommend suitable products
- Managed product database, pricing strategies, and website product display
- Monitored wine market trends to inform business decisions and competitive positioning

**Head of Logistics** | Gold.ua | Ukraine
*October 2016 – November 2017*

- Oversaw end-to-end delivery operations and monitored receivables across all company branches
- Processed claims and secured compensation for lost or damaged orders
- Resolved customer disputes related to delivery timelines to maintain satisfaction and retention"
2655,"**PROFESSIONAL SUMMARY**

Results-driven professional with 3+ years of commercial project management experience and a strong analytical mindset. Proven ability to build lasting relationships with partners and colleagues while delivering projects within scope, schedule, and budget. Skilled in stress and conflict resolution with a detail-oriented approach.

---

**SKILLS**

- Project Management: Scope, schedule, and budget management | Scrum & Agile methodologies
- Technical: MS Office (advanced Excel) | Google Workspace | 1C (8.3) | Client-Bank systems | Accounting software
- Core Competencies: Contract management | Business analysis | Stakeholder communication | Decision-making | Personnel records management

---

**PROFESSIONAL EXPERIENCE**

**IT Project Manager**
Online Web Service Start-up | February 2021 – Present

- Plan and oversee task execution across project lifecycle
- Manage project scope, schedule, and budget to ensure timely delivery
- Prepare statistical and detailed reports for management to evaluate project effectiveness
- Support team in delivering work products to the product owner

**Director**
OOO Interlagos (Hotels/Restaurants/Entertainment) | 2020 – January 2021

- Analyzed, developed, and implemented strategic plans aligned with organizational goals
- Designed and optimized business processes for production operations
- Monitored reporting systems and conducted competitive analysis

**HR Manager**
PrAT Hotel Salut (Hotels/Restaurants/Entertainment) | April 2016 – May 2019

- Recruited and onboarded new staff members
- Managed high-volume personnel data and documentation
- Administered personnel records: hiring, transfers, terminations, and employment record books
- Operated 1C 8.3 for HR administration"
2656,"**PROFESSIONAL EXPERIENCE**

**Sales / Account Manager**
PAYADMIT | March 2022 – Present

- Generate qualified leads and initiate client relationships
- Execute end-to-end sales of payment solutions
- Manage ongoing client relationships across all stages of engagement
- Resolve disputes and navigate conflict situations to maintain client satisfaction
- Develop and deliver customized pricing proposals and offers

**Head of Department – Media Buying**
*4 months*

- Led a team of 4 professionals providing resources and support for advertising specialists
- Managed departmental operations within the media buying vertical

**Project Lead – News Project**
*3 months*

- Directed all aspects of a time-limited news initiative, successfully achieving project objectives
- Managed a team of 8–10 employees from inception through project closure
- Oversaw full project lifecycle including strategic planning, recruitment, interviewing, quality assurance, payroll administration, and bonus allocation

**Account Manager – Media Buying**
ACIDBRO | January 2021 – March 2022

- Prepared and configured advertising accounts for campaign deployment
- Managed advertising campaigns within high-risk verticals, including Gambling and Betting
- Supported technical operations: server and proxy procurement, site hosting, mobile application deployment (Google Play, App Store), and account farming

---

**AREAS OF INTEREST**

High-risk verticals, specifically Gambling and Betting"
2657,"**PROFESSIONAL SUMMARY**

Quality Assurance and Web Development professional with comprehensive testing experience spanning specification analysis through re-testing. Skilled in front-end development and cross-functional project collaboration.

**TECHNICAL SKILLS**

- **Web Development:** HTML, CSS, JavaScript, jQuery, React
- **Testing:** Full testing lifecycle, specification analysis, re-testing
- **Project Management:** Agile methodologies, Gantt charts, Roadmaps
- **Documentation:** Technical documentation, mockups, invoicing

**EXPERIENCE & COMPETENCIES**

- End-to-end software testing from specification analysis to re-testing
- Front-end website development using semantic HTML, CSS, JavaScript, and React
- Application development lifecycle understanding
- Agile development processes and project management tools
- Technical documentation creation
- Project planning using Gantt charts and Roadmaps
- Mockup creation and collaboration
- Invoice preparation
- Client and stakeholder negotiations

**LANGUAGES**

English (Interview-ready)"
2658,"# RESUME

## McCann Kyiv
**Senior Account/Project Manager**
Clients: Vodafone, Unicef, Carlsberg

- Coordinated and managed projects through all stages from briefing to delivery
- Oversaw TVC production (local shooting), OOH campaigns, and video production
- Led tender processes, vendor selection, and contract negotiations
- Managed budgets and controlled payment terms and project timelines
- Directed internal creative teams, allocating resources and ensuring quality delivery
- Prepared and delivered daily, weekly, and monthly reports to clients and agency leadership
- Maintained oversight of financial data and project accounting

---

## Cheil Ukraine
**Project Manager**
Client: Samsung Electronics Ukraine

- Coordinated and managed projects through all stages from briefing to delivery
- Executed campaigns across multiple channels: TVC, OOH, Retail (POSM), digital, BTL, and video adaptation
- Led tender processes, vendor management, and budget oversight
- Controlled payment terms and project timelines
- Collaborated with internal agency teams to allocate resources and ensure seamless project execution
- Delivered daily, weekly, and monthly reports to client and agency stakeholders
- Maintained financial data accuracy and project cost control"
2659,"# PROFESSIONAL SUMMARY

IPMA-certified Project Manager with 6 years of experience in IT banking, digital marketing, aerospace, and automotive industries. Proven track record in engineering outsourcing business development, client acquisition, and team expansion. 3 years of US on-site job experience.

---

# KEY ACHIEVEMENTS

- Built new engineering outsourcing business from scratch
- Acquired new customers with projects
- Expanded staff on existing projects

---

# SKILLS

**Frameworks:** ITIL, Kanban, PMBoK, BPMN

**Tools:** Omnitracker, Jira, MS Project, Visio

**Additional:** Negotiations, sales, regulations, and business process documentation

---

# EDUCATION & CERTIFICATIONS

- Master's Degree in Project Management
- IPMA Certification
- British Council Diploma – Business English Advanced (95%)

---

# DESIRED POSITION

Seeking opportunities with mature corporate culture, large-scale projects, and a collaborative, open-minded team."
2660,"# PROFESSIONAL SUMMARY

Results-driven professional with diverse IT industry experience spanning sales, recruitment, customer support, and regional management. Recently completed PM certification courses with focus on project management, risk assessment, and customer negotiations. Strong foundation in business communications and cross-functional team coordination.

# PROFESSIONAL EXPERIENCE

**Regional Director**
- Manage documentation and coordinate communication between team members and international company ownership
- Facilitate cross-border business operations and reporting

**Customer Support Manager** (Part-time)
- Handle customer relations and issue resolution
- Deliver consistent client service and support

**Sales Manager** | Startup Company
- Gained foundational IT industry experience in fast-paced startup environment

**Recruiter**
- Conducted talent acquisition and candidate evaluation

# EDUCATION & TRAINING

Project Management Courses (Recently Completed)

# SKILLS

- Business Communications & Negotiations
- Requirements Analysis
- Risk Management
- Conflict Resolution
- Customer Service
- Public Relations
- International & Intercultural Relations
- Talent Acquisition & Recruiting
- Translation Services

# LANGUAGES

English: Upper-Intermediate to Advanced

# CAREER OBJECTIVES

Seeking opportunities in Project Management, Project Coordination, Account Management, Business Analysis, or Business Development"
2741,"# Professional Resume

## Summary
Results-driven operations and facilities management professional with extensive experience leading multi-site operations, driving cost optimization, and delivering complex startup projects across international organizations.

---

## Professional Experience

### Head of Facilities, Ukraine Operations
**Dev-Pro.net** | Kyiv, Lviv, Dnipro, Kharkiv | Current

- Lead administrative function across 5 development centers encompassing 5,000+ sq.m. of facility space
- Oversee all aspects of services and operations, ensuring business continuity
- Serve as launch lead for new facilities and operational initiatives
- Manage team of 15+ professionals

### Site TS Program Manager / HS&E Department Leader
**Procter & Gamble LLC** | 6 years (2013–2019)

**Facilities & Infrastructure**
- Directed startup of A and A+ class facilities totaling 4,500 sq.m. across 5 locations
- Led 3rd and 4th site phase development (2015–2018)
- Restructured plant infrastructure including production facilities startup, boiler house and compressor renovation
- Managed transfer of warehouses to 3PL operations

**Cost Optimization & Negotiations**
- Negotiated with authorities to reduce land rental rate from 13% to 6%, achieving 37% reduction in general plant costs (2017–2018)
- Optimized operating expenses and utilities, delivering 23% FYTD savings

**Operations & Production**
- Led Operations Technology projects for international production line startups (Tide, Ariel, Gala) and brand discontinuations (DAX, BONUX) (2015–2017)
- Optimized manufacturing capacities and support departments for raw and pack materials (Feb 2013–May 2014)
- Achieved production optimization: 84% process reliability, <2% unplanned downtime, <1% scrap (2015)

**Leadership & Compliance**
- Managed HS&E department with team of 43 employees
- Successfully led 6 external audits with zero critical observations
- Executed unit restructuring, merging multiple units into single department (2013–2015)

---

## Awards & Recognition
- CEO Award, 2014
- CBN Award, 2013

---

## Core Competencies

| | | |
|---|---|---|
| Operations Management | Project Management | Startup Management |
| Administrative Facilities Management | Team Management | System Integration |
| Managed Services | Change Management | Business Development |
| Customer Service Leadership | Product Management | |"
2766,"**PROFESSIONAL SUMMARY**

Digital marketing professional with over 8 years of diverse experience spanning performance marketing and ad operations. Proven track record of leading projects across global markets focused on revenue growth and yield optimization. Extensive experience partnering with industry leaders including Ubisoft, Sony, Nintendo, Samsung, and Apple.

**PROFESSIONAL EXPERIENCE**

- Led seven-figure marketing campaigns, including trafficking and optimization
- Increased yield by 20% across CEE markets through implementation of new targeting capabilities
- Conceptualized, architected, and managed development of a rich media building platform to expand advertising capabilities
- Improved viewability of select ad units by 40% through strategic initiatives to combat banner blindness

**AREAS OF EXPERTISE**

- Performance Marketing
- Ad Operations (Publisher Side)
- Yield Optimization
- Revenue Growth Strategy
- Global Market Management"
2793,"# RESUME

## Education
**Hillel School** | 2022  
Advertising Course

**Computer Technology**

## Professional Experience

**Model** | 2022 – Present

**Disc Jockey** | 2018 – Present

**Art Director / Stage Manager** | Synergy Group | 2018 – 2021

## Skills

**Advertising Platforms**
- Google Ads, Facebook Ads, MyTarget, Taboola, Capterra, LinkedIn Ads
- Experience with EU and USA markets

**Analytics & Optimization**
- Ads performance analysis and reporting
- Competitor analysis (including Facebook Ad Library)
- Media planning
- Keyword planning and optimization for search campaigns
- Ad extensions optimization
- Search terms optimization

**SEO**
- Keywords, titles, and descriptions

**Project Coordination**
- Task management for designers, content writers, and freelancers
- Product and competitor research
- Partner communication, meetings, and project implementation

## Additional Skills
- Strong teamwork and organizational abilities
- Deadline-oriented
- Languages: English, Ukrainian, Russian

## Desired Position
Project Manager or similar role

## Preferences
- Interesting and challenging tasks
- Positive team atmosphere
- Remote work environment"
2810,"**SUPPORT SPECIALIST (FINANCE)**
NDA (Gambling Industry)
2021 – February 2023

- Provided technical support for financial inquiries and issue resolution
- Prepared and maintained financial statements

---

**PROJECT MANAGER**
Cowboy Art (Advertising and PR Services)

- Conducted analysis of advertising markets in Ukraine and internationally
- Served as brand ambassador
- Managed customer relations and protection protocols
- Tracked and reported on profit metrics
- Developed client proposals
- Oversaw full project lifecycle from initiation through implementation

---

**PROJECT MANAGER**
Sicore (Advertising and PR Services)
April 2018 – February 2020

- Researched outdoor advertising market trends
- Achieved planned sales targets
- Identified and acquired new clients
- Led client meetings, presentations, and negotiations
- Collaborated with cross-functional departments"
2824,"**AFFILIATE MARKETING PROFESSIONAL**

---

**SUMMARY**

Results-driven Affiliate Manager with over 7 years of experience launching and managing affiliate programs across diverse industries. Proven expertise in building programs from the ground up, managing both third-party networks and in-house platforms, and driving revenue through strategic affiliate recruitment and relationship management. Skilled team leader with comprehensive knowledge spanning e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media verticals.

---

**CORE COMPETENCIES**

- Affiliate Program Development & Management
- Partner Recruitment & Relationship Management
- Campaign Analysis & Optimization
- A/B Testing & Performance Tracking
- Email Marketing & PPC/SEO
- B2B Partnership Development
- Social Media Marketing
- Creative Development & Coordination

---

**PROFESSIONAL EXPERIENCE**

**Affiliate Manager / Account Manager**

- Launched multiple affiliate programs from inception across various niche markets
- Managed day-to-day operations and communications with affiliates and advertisers at advertising network
- Analyzed daily, weekly, and monthly campaign trends to maintain and optimize performance
- Identified and developed new traffic sources and partnership opportunities
- Coordinated development of banners, HTML creatives, landing pages, and promotional materials
- Conducted competitor analysis including features, pricing, and market positioning
- Managed relationships across CPA networks including Commission Junction, LinkShare, Linkconnector, Webgains, and ShareASale

**Marketing Analyst**

- Investigated and analyzed data collection market including surveys and forms
- Executed competitor analysis and market research
- Coordinated marketing communications including webinars and email campaigns
- Collaborated with Brand and Project Management departments
- Managed SEO, PPC, and email marketing initiatives
- Developed marketing materials and improved company websites
- Conducted A/B testing to optimize performance

**Social Media Management**

- Launched and managed corporate Facebook, Twitter, and Google+ accounts
- Created engagement strategies to drive website traffic
- Managed daily posting, community engagement, and content sharing
- Monitored click-through rates and campaign performance

---

**EDUCATION & CERTIFICATION**

Project Management Diploma – EADL (Laba)

---

**ADDITIONAL QUALIFICATIONS**

- 10 years of IT experience
- Experience managing IT projects and small teams"
3002,"# Professional Summary

Experienced support professional with a strong background in customer service operations, team mentoring, and process improvement. Seeking a management position to leverage expertise and further develop leadership capabilities.

---

# Professional Experience

**Customer Support Agent**

- Processed and verified orders with attention to accuracy and detail
- Managed customer inquiries across multiple communication channels, including phone and live chat
- Coordinated and organized daily operational workflows
- Mentored and onboarded new team members, providing guidance and training
- Identified and implemented service improvement initiatives to enhance customer satisfaction

---

# Skills

- Customer Service Operations
- Team Mentoring & Training
- Process Organization & Optimization
- Multi-channel Communication (Phone, Chat, Email)
- Problem-Solving & Service Improvement

---

# Career Objective

Transitioning into a management role to gain new professional experiences and continue developing leadership and operational skills."
3021,"**[Your Name]**
[Contact Information]

**Objective**
To secure a position as Affiliate Manager / Project Manager in an international company or organization.

---

**Professional Experience**

**Head of Project**
[Company Name] | 2020–2021

- Ensured project survival during pandemic restrictions without active outdoor advertising while achieving consistent growth in visitor engagement
- Elevated the IT & Cyber Security working group to official ""committee"" status within one year

**Business Development Manager**
German-Ukrainian Chamber of Industry and Commerce | 2019–2020

- Created, planned, and implemented complex projects from concept to completion
- Managed teams of up to 8 people
- Coordinated working groups and professional communities
- Built and maintained relationships with local and international partners
- Prepared content and organized online and offline events

---

**Core Competencies**

- 4+ years of successful management experience with strong focus on results and deadlines
- Project creation, planning, and implementation
- Team leadership and coordination
- Stakeholder relationship management
- Event organization (online and offline)
- Content development"
3093,"# Professional Summary

Results-driven IT leader with nine years of experience partnering with startups across mobile apps, B2B, and SaaS applications. Proven track record collaborating with diverse, multicultural teams including internal and outsourced employees.

Spent four years at a high-growth scale-up, successfully navigating hyper-growth while leading transformation initiatives. Skilled manager, coach, and mentor committed to developing talent and driving organizational success.

# Core Competencies

- Agile and Lean methodologies
- Team coaching and mentorship
- Cross-cultural collaboration
- Data-driven decision making
- Stakeholder relationship management
- Continuous improvement

# Professional Experience

**Leadership & Transformation**

- Championed Agile and Lean mindsets through hands-on coaching, support, and guidance, enabling teams to consistently deliver business value
- Created environments where team members could achieve their full potential
- Developed clear, concise communication practices to effectively evaluate information and data for strategic decision-making
- Built strong relationships with stakeholders by providing actionable insights and observations

**Process Optimization**

- Leveraged Jira, Confluence, GitHub, and Code Climate to establish transparency and streamline processes
- Implemented frameworks for continuous improvement across teams"
