,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
3153,"**PROFESSIONAL SUMMARY**

Accomplished IT professional with over 11 years of industry experience, including more than 7 years dedicated to Agile Project Management. specialized in leading dynamically growing teams utilizing Scrum and Kanban process models. Passionate about fostering personnel growth, team building, and motivation. Seeking a challenging role within a dynamic and friendly environment that values continuous improvement and a positive atmosphere.

**CORE COMPETENCIES**

*   **Methodologies:** Agile Project Management, Scrum, Kanban
*   **Management:** Risk Management, Conflict Management, Change Management
*   **Team Leadership:** Team Building, Motivation, Coaching
*   **Technical & Operations:** JIRA, Applications Deployment

**PROFESSIONAL EXPERIENCE**

*   **Agile Project Management:** Leveraged over 7 years of experience managing projects in the IT sector, specifically utilizing Scrum and Kanban frameworks to guide dynamically growing teams.
*   **Team Development:** Focused on helping team members grow through active motivation and conflict resolution strategies.
*   **Operations:** Managed applications deployment and operational workflows.

**PROFESSIONAL DEVELOPMENT**

*   **Continuous Improvement:** actively engaged in the ongoing development of hard and soft skills.
*   **Training:** Regularly participated in professional training sessions as both an attendee and a host."
3155,"**PROJECT MANAGER & AGILE PRACTITIONER**

**PROFESSIONAL SUMMARY**
Experienced Project Manager and Scrum Master with a dual focus on Agile methodologies and traditional PMBOK standards. Proven track record in scaling Agile practices and managing high-volume parallel team operations.

**CORE COMPETENCIES**
*   Agile Transformation & Coaching
*   Scrum Master Leadership
*   PMBOK Project Management
*   Multi-Team Coordination

**PROFESSIONAL EXPERIENCE & KEY ACHIEVEMENTS**

**Agile Leadership & Transformation**
*   Led Agile transformation initiatives for a group of over 50 people, facilitating the transition from traditional workflows to Agile practices.

**Scrum Facilitation**
*   Served as Scrum Master for 5 teams simultaneously, managing parallel workflows and removing impediments to ensure delivery efficiency.

**Project Management**
*   Managed projects strictly according to Project Management Body of Knowledge (PMBOK) standards, ensuring structured process adherence and governance."
3156,"**Professional Experience**

**Team Leadership & Scrum Mastery**
*   Managed cooperation across three teams, coaching members to improve efficiency and self-management capabilities.
*   Reduced dependencies between areas of responsibility to streamline workflow and delivery.
*   Ensured a focus on releasing functional increments at the conclusion of every sprint.
*   Enhanced quality standards by increasing readiness criteria.
*   Proactively identified and removed obstacles hindering the achievement of team goals.
*   Facilitated positive and productive Scrum events, ensuring strict adherence to timeboxes.

**Product Owner Collaboration**
*   Partnered with three Product Owners to clearly define Product Goals and Sprint Goals.
*   Provided support in Product Backlog management and refinement.
*   Assisted in the preparation and execution of planning phases.
*   Facilitated effective interaction and communication with external and internal stakeholders.

**Organizational Development**
*   Promoted the understanding and adoption of Agile software development approaches within the organization.
*   Implemented necessary best practices and standardized processes.
*   Adapted and tuned project management tools to suit specific team needs.
*   Optimized, created, and supported operational processes and workflows.
*   Fostered productive professional relationships and facilitated cooperation between departments.
*   Assisted in the recruitment and hiring of staff.
*   Resolved structural impediments between departments and teams to ensure seamless collaboration."
3157,"**Gulnar Abasova**

**PROFESSIONAL SUMMARY**

Agile practitioner and Master’s student in International Project Management with a year of hands-on experience facilitating self-managing, cross-functional developer teams. Proven track record in Fintech and start-up environments, effectively bridging the gap between Product Owners and development teams. Successfully doubled project delivery speed through the implementation of Agile/Scrum principles. Committed to continuous improvement and currently seeking opportunities to expand skills in agile management.

**WORK EXPERIENCE**

**Agile Project Management / Scrum Role** | Fintech Sector
*Duration: 1 Year*

*   Manage cross-functional developer teams in both remote and in-office settings, overseeing projects ranging from internal sales systems to online banking applications.
*   Facilitate all Scrum events, including Sprint Planning, Daily Stand-ups, Sprint Reviews, and Retrospectives.
*   Achieved a 100% increase in the speed of meeting deadlines (doubled speed) following the transition to Agile formats.
*   Collaborate closely with Product Owners during grooming sessions to refine backlogs and ensure clear information exchange with developers and testers.
*   Monitor project schedules and remove impediments to help the development team meet strict deadlines.
*   Engage in the full product development life cycle, including idea generation, UX research, wireframing, QA, and debugging.
*   Foster a culture of continuous improvement by actively listening to team suggestions and ensuring adherence to Agile/Scrum principles.

**EDUCATION**

**Vilnius University**
*Master’s Degree in International Project Management* | (Currently Enrolled)
*   **Achievement:** Awarded the Lithuanian State Scholarship for studies.

**TECHNICAL SKILLS & TOOLS**

*   **Project Management Tools:** Jira (Atlassian), Notion, MS Project.
*   **Methodologies:** Agile, Scrum, Product Development Life Cycle (SDLC).
*   **Core Competencies:** Sprint Planning, Backlog Grooming, UX Research, Wireframing, QA & Debugging, Stakeholder Communication, Remote Team Management."
3158,"**PROFESSIONAL SUMMARY**

Dedicated Agile professional with 5+ years of hands-on experience managing distributed teams of up to 40 FTEs, including 3 years in a Scrum Master role. Skilled in project management best practices, people management, and fostering high-performance cultures. Expert in facilitating Scrum ceremonies, managing risk, and building trustful client relationships.

**CORE COMPETENCIES**

*   Agile Coaching & Scrum Ceremonies
*   Project Management & Risk Management
*   Distributed Team Leadership (up to 40 FTE)
*   Stakeholder & Client Relationship Management
*   Resource Management & Recruitment
*   Performance Metrics & Reporting

**PROFESSIONAL EXPERIENCE**

**Agile Leadership & Team Development**
*   Facilitate Scrum ceremonies, remove impediments, and establish a collaborative team environment.
*   Coach Agile teams to aid in self-organization, cross-functionality development, and the promotion of a high-performance team culture.
*   Manage distributed teams, handling people management, resourcing, and recruitment for projects.

**Project Management & Operations**
*   Provide regular reporting, track project statuses, manage risks, and collect performance metrics.
*   Apply proven problem-solving, analytical, and research skills to project challenges.
*   Build and maintain trustful relationships with clients, organize communication processes, and drive meetings.

**CERTIFICATIONS**

*   Certified SAFe® 5 Advanced Scrum Master
*   Certified SAFe® 5 Scrum Master
*   Certified AgilityHealth® Facilitator for SAFe®"
3159,"**AGILE PROJECT MANAGER & SCRUM MASTER**

**PROFESSIONAL SUMMARY**
Agile Project Manager and Scrum Master with a track record of successfully leading teams of various sizes across a diverse range of projects. Skilled in defining processes and selecting tools best suited for specific project needs. Adaptable professional with strong team-building and communication capabilities, proficient in navigating frequently changing requirements to meet client goals.

**CORE COMPETENCIES**
*   Agile Project Management & Scrum
*   Process Definition & Tool Selection
*   Project Milestone Tracking
*   Cross-Functional Team Leadership
*   Strategic Business Alignment
*   Adaptability & Change Management

**PROFESSIONAL HIGHLIGHTS**

*   **Project Leadership:** Lead teams of different sizes across a variety of projects, focusing members on core business objectives.
*   **Delivery & Execution:** Track progress rigourously to ensure project milestones are completed on time and produce the desired results.
*   **Methodology Adaptation:** Switch between various project management approaches depending on specific project requirements and client goals.
*   **Process Optimization:** Define and implement the processes and tools best suited to the unique constraints of each project.
*   **Team Management:** Utilize strong communication and team-building skills to maintain productivity amidst frequently changing requirements."
3160,"**PROFESSIONAL SUMMARY**

Senior IT Management Professional with over 12 years of experience in the industry, including 11+ years in management roles. Expert in overseeing the full project lifecycle, including initiation, planning, implementation, monitoring, control, maintenance, and closure. Proven track record of successful project delivery in both outsource and product development environments. Skilled in leading and mentoring engineering teams of up to 30+ members.

**CORE COMPETENCIES**

*   **Project Management:** Waterfall, Agile, SDLC, Project Lifecycle Management (Initiation to Closure).
*   **Agile Frameworks:** Scrum, XP, Kanban.
*   **Roles:** Scrum Master, Product Owner.
*   **Leadership:** Team Building, Resource Management, Mentorship, Soft Skills.
*   **Tools:** Proficient in various Project Management tools.

**PROFESSIONAL EXPERIENCE HIGHLIGHTS**

**Project & Delivery Management**
*   Successfully managed project delivery across all stages of development, adhering to professional management standards.
*   Executed live projects within both outsourcing and product development sectors.
*   Applied strong working knowledge of both Agile and Waterfall models of SDLC to ensure project objectives were met.

**Team Leadership & Development**
*   Managed and led multiple engineering teams comprising 30+ members.
*   Built engineering teams from scratch, overseeing recruitment and structural organization.
*   Provided leadership and mentorship to team members, leveraging strong soft skills to foster professional growth.

**Agile Implementation & Evangelism**
*   Possess 4+ years of dedicated working experience within Agile environments.
*   Actively fulfilled Scrum Master and Product Owner roles.
*   Maintained the Agile community and evangelized Agile values and practices within the organization.

**CERTIFICATIONS**

*   Certified ScrumMaster (CSM)
*   Certified Scrum Product Owner (CSPO)
*   ICAgile Certified Professional - Agile Project Management (ICP-APM)"
3161,"**PROFESSIONAL SUMMARY**

Proactive IT Project Manager with over 10 years of experience in international product and outsourcing companies. Specialized in full-scale project management from pre-sale conceptualization to product launch. Proven ability to lead distributed teams of up to 50 people and manage more than 5 complex projects simultaneously. Skilled in establishing strong cross-functional connections, quickly adapting to new subject areas, and balancing client needs with team well-being.

**KEY QUALIFICATIONS**

*   **Full-Cycle Management:** Expertise in guiding projects from the idea phase (pre-sale) through to delivery and launch.
*   **Team Leadership:** Experience managing distributed teams of up to 50 members.
*   **Project Volume:** Successfully delivered over 20 projects of various sizes and complexity; capable of handling 5+ projects simultaneously.
*   **Product Diversity:** Experience delivering platforms, marketplaces, mobile apps, and websites.

**PROFESSIONAL EXPERIENCE HIGHLIGHTS**

*   Oversee the full project lifecycle in IT environments, ensuring alignment between client needs and team execution.
*   Successfully released more than 5 products in the past year, including platforms, marketplaces, mobile applications, and websites.
*   Manage distributed teams of up to 50 people, fostering a culture of team care and high performance.
*   Maintain responsibility for more than 5 simultaneous projects, demonstrating high personal initiative and multitasking capabilities.
*   Establish effective contacts with stakeholders from different areas and rapidly immerse in specific subject matters to drive project success."
3162,"**PROFESSIONAL SUMMARY**

Senior Scrum Master and Project/Delivery Manager with extensive experience across ERP (CRM, Sales, Logistics, Finance) and Marketing domains. Proven track record of managing up to 35 FTEs across 5 teams and serving as an Agile Coach in LeSS Huge setups. Skilled in managing full-cycle projects using both Time & Material and Fixed Price approaches. Technical background in web development and testing with a strong focus on process improvement, risk management, and stakeholder collaboration. Dedicated to creating effective, dynamic environments and fostering professional growth within teams.

**CORE COMPETENCIES**

*   **Methodologies:** Agile, Scrum, LeSS Huge, Waterfall, Time & Material, Fixed Price.
*   **Management:** Portfolio Management, Risk Management, Release & Delivery Planning, Process Improvement.
*   **Technical Skills:** SQL, HTML, CSS, JavaScript, React, .NET, Core.
*   **Tools:** Jira, TFS, GitHub.
*   **Languages:** English (Professional Level).

**PROFESSIONAL EXPERIENCE**

**Senior Scrum Master / Agile Coach**
*   Served as Senior Scrum Master for up to 5 internal teams comprising 30+ members (35 FTE).
*   Acted as Agile Coach in a LeSS Huge setup for a product area consisting of 6 teams; organized the entire flow, coached Product Owners, taught teams, and facilitated multi-team events.
*   Managed portfolio-level operations, including risk management, release planning, and delivery planning.
*   Ensured close cooperation with Product Owners and stakeholders to align business goals with development.
*   Provided administrative and technical support for projects while managing team processes.

**Project Manager / Delivery Manager**
*   Managed full-cycle projects in diverse domains including CRM, Logistics, Sales, Finance, and Marketing (desktop and web platforms).
*   Executed projects using both Time & Material and Fixed Price approaches.
*   Led negotiations on business processes with business customers and developers, and managed tendering processes.
*   Authored technical specifications, improvement plans, and complete software maintenance documentation.
*   Oversaw the testing of new products and versions (including alpha-testing) and performed general server administration.
*   Conducted user training and created presentations for stakeholders.

**KEY PROJECTS**

*   **Carlsberg Ukraine:** Managed the implementation of UPS logistics for 60 distributors. Provided support and consulting for more than 3,000 users.
*   **Ukrtelekom:** Participated in the automation of ""Record-keeping,"" ""Finances,"" and ""Management"" systems.
*   **Web Development:** Managed the development and testing of websites; responsible for system configuration, writing output forms, and accounting components."
3186,"**PROFESSIONAL SUMMARY**

Project management professional with extensive experience in data operations and quality assurance. Proven track record of managing up to 30 concurrent projects, optimizing data labeling pipelines, and overseeing budgets and Statements of Work (SOW). Skilled in stakeholder management, workforce supervision, and driving process improvements to achieve high-quality project deliverables.

**CORE COMPETENCIES**

*   **Project Management:** Large-scale Operations, Resource Allocation, Deadline Management, Multitasking.
*   **Data Operations:** Data Labeling Pipelines, Annotation Workflows, Quality Assurance (QA), Process Optimization.
*   **Financial Management:** Budget Calculation, Cost Estimation, Statements of Work (SOW).
*   **Stakeholder Relations:** Client Success, Vendor Management, Cross-functional Collaboration.

**PROFESSIONAL EXPERIENCE**

*   **Project Portfolio Management:** Managed and coordinated up to 30 concurrent projects, orchestrating large-scale data operations to ensure seamless collaboration between customers and data labeling teams.
*   **Data Pipeline Optimization:** Partnered with clients to develop and implement production-grade data labeling pipelines, optimizing annotation workflows to maximize efficiency and accuracy.
*   **Team Leadership & QA:** Supervised and guided the Data Labeling Quality Assurance team and workforce, conducting performance evaluations and providing support to uphold stringent quality standards and productivity.
*   **Financial & Contract Management:** Created comprehensive Statements of Work (SOW) and calculated accurate customer budgets and service provider costs, ensuring financial transparency and alignment on deliverables.
*   **Stakeholder Management:** Served as the primary point of contact for customers and service providers, conducting regular calls to track key metrics, address concerns, and nurture strong communication channels.
*   **Strategic Improvement:** Monitored industry trends and emerging technologies to provide actionable recommendations for product enhancements and process optimizations.
*   **Operational Excellence:** Leveraged organizational skills to manage substantial workloads and meet strict deadlines while fostering a collaborative, inclusive, and cross-functional work environment."
3225,"**PROFESSIONAL PROFILE**

*   **Project Management:** successfully managed more than 10 cases across diverse market niches.
*   **Product Launches:** Executed 6 cases from scratch.
*   **Reputation Management:** Developed and implemented a proprietary process for reputation workflows.

**PROFESSIONAL EXPERIENCE**

**Amazon Marketing Manager**
*Digiorange* — Brooklyn, NY
*January 2022 – Present*

**Marketing Project Manager**
*TBI-Pro* — Chicago, IL
*September 2021 – January 2022*

**Marketplaces Project Manager**
*FDS-IT* — Staten Island, NY
*December 2018 – September 2021*

**Amazon Manager**
*Shopping Cart Elite* — Brooklyn, NY
*2015 – 2018*"
3315,"**PROFESSIONAL OBJECTIVE**
Seeking a role that offers professional growth and complex challenges within a friendly, collaborative team environment.

**CORE COMPETENCIES**
*   **Business Analysis Planning:** Planning BA activities, defining business needs, and establishing solution scope.
*   **Requirements Management:** Collecting, analyzing, and documenting business, functional, and non-functional requirements.
*   **Scope & Communication:** Managing solution scope and effectively communicating requirements to teams.
*   **Elicitation & Analysis:** Conducting stakeholder analysis and elicitation activities.
*   **Solution Assessment:** Conducting solution assessment and validation.
*   **Stakeholder Engagement:** Facilitating knowledge transfer to stakeholders.

**METHODOLOGIES & PROCESSES**
*   **Agile Frameworks:** Agile, Scrum.
*   **Modeling & Documentation:** BPMN, Use Cases, and User Stories writing.
*   **Management:** Project Management.

**TECHNICAL SKILLS**
*   Microsoft Excel
*   Visual Basic (VB)"
3321,"**PROFESSIONAL SUMMARY**

Motivated Analyst with a strong background in market research, seeking to further develop data processing skills and apply research methodologies to business needs. Experienced in delivering qualitative and quantitative insights, designing surveys, and testing working hypotheses. Eager to expand technical proficiency in data instruments such as SQL and Tableau while providing actionable analysis to support business objectives.

**PROFESSIONAL EXPERIENCE**

**Silpo-Food LLC (Fozzy Group)**
**Position: Research Manager**

*   Manage marketing research projects, conducting both qualitative and quantitative studies.
*   Negotiate and consult with customers regarding research design and requirements.
*   Execute ad-hoc and longitudinal studies to track market trends.
*   Perform questionnaire programming and oversee data collection.
*   Process and analyze data to extract meaningful insights.
*   Prepare comprehensive reporting materials and present research results to stakeholders.
*   Supervise and control the work of field supervisors and operators.
*   Gather and synthesize relevant primary and secondary marketing information.

**Kyivstar Private Joint Stock Company**
**Position: Commodity Market Research Analyst-Specialist**

*   Managed marketing research projects from initiation to completion.
*   Conducted negotiations and provided consultation to internal and external customers.
*   Facilitated communication with contractors and third-party vendors.
*   Oversaw document management and administrative processes.
*   Conducted market research and assisted with budget planning.
*   Managed databases and formed data queries based on specific parameters.
*   Analyzed the Telecom market to provide relevant primary and secondary marketing information."
3332,"**PROFESSIONAL EXPERIENCE**

**Software Implementation Project (CRM & Desktop Application)**

*   **Project Management & Strategy:** Led the full lifecycle implementation of a Customer Relationship Management (CRM) system and desktop application. Defined the direction of development, established project goals, and set strict deadlines to ensure timely delivery.
*   **Analysis & Requirements:** Conducted market analysis to inform solution strategy and managed ongoing communication with stakeholders to align requirements.
*   **Design & Prototyping:** Executed system prototyping using manual drafting techniques (pencil and paper) to visualize user interfaces and workflows.
*   **Testing & Deployment:** Coordinated User Acceptance Testing (UAT) to validate software functionality and oversaw the final system implementation.

**SKILLS & TOOLS**

*   **Project Management Tools:** MS Project, Trello, Atlassian
*   **Productivity:** Office 365
*   **Design:** Low-fidelity prototyping (Pencil and Paper)"
5877,"**SUMMARY**

Results-oriented Architect and Project Manager with a strong background in cloud infrastructure, data engineering, and mobile development. Proven expertise in designing serverless architectures, managing large-scale data storage (up to 50TB), and leading high-velocity product launches. Skilled in Infrastructure as Code (IaC), DevOps automation, and building high-performance technical teams.

**CORE COMPETENCIES**

*   **Architecture & Databases:** Hadoop, AWS, Serverless, Kubernetes, Terraform.
*   **Product & Project Management:** SDLC Optimization, Mobile Application Lifecycle, Agile Methodologies.
*   **Human Resources:** Technical Recruiting, Team Building, Retention Strategy.

**PROFESSIONAL EXPERIENCE**

**Confidential Project (NDA)** | *Architect / DevOps Engineer*
*2019*
*   Designed and implemented Infrastructure as Code (IaC) on AWS utilizing Terraform, Kubernetes, and Helm.
*   Established a comprehensive CI/CD delivery process requiring minimal DevOps involvement to streamline operations.

**Ternary Intelligence** (ternaryintelligence.com) | *Architect / Project Manager*
*2018*
*   Architected a serverless AWS cloud solution within the Fintech scope.
*   Optimized infrastructure to achieve near-zero idle costs through efficient serverless design.

**One Space** (spywords.ru) | *Architect / Data Scientist*
*2018*
*   Engineered Hadoop infrastructure to support data storage scaling up to 50 Terabytes.
*   Managed data engineering workflows and implemented web scraping solutions.

**Defcom** (defcom.com) | *Project Manager / Architect*
*2016*
*   Led the mobile development of a secure messaging application.
*   Initiated and delivered a full-featured product to the Apple App Store and Google Play Store within 6 months of project inception.

**KEY ACHIEVEMENTS**

*   **Human Resources:** Successfully hired 50+ developers in a 4-month period while maintaining a staff turnover rate of less than 5%.
*   **Process Optimization:** Formally recognized for playing an instrumental role in implementing cost-saving measures within the SDLC process."
5981,"**PROFESSIONAL SUMMARY**

Product and Project Management professional experienced in the full product lifecycle, from ideation to MVP and launch. Skilled in negotiating with clients and production teams to deliver complex technical solutions.

**PROFESSIONAL EXPERIENCE**

**Snap Inc.**
**Project Manager | Lead of Internal AR Innovations**
*Sponsored Lenses & Sponsored AR Departments*

*   Managed the end-to-end development of complex and challenging Augmented Reality (AR) projects for high-profile clients, including Disney, Nike, Microsoft, Universal, and Verizon.
*   Led internal AR innovation initiatives within the Sponsored AR department.
*   Balanced client expectations with team capabilities to ensure successful project delivery.
*   Evaluated project risks to accommodate development strategies and improved processes between cross-functional teams.

**HeyJoy Toy Store (US-based Retail-Tech Startup)**
**Product Manager**

*   Responsible for the creation and development of the company’s mobile application.
*   Delivered the first Minimum Viable Product (MVP).
*   Successfully proved the product’s value hypothesis."
6043,"**PROJECT MANAGER**

**PROFESSIONAL SUMMARY**
Project Manager with 5 years of team management experience and a background in project documentation creation. Skilled in defining team values, establishing communication rules, and balancing stakeholder interests. Proficient in resolving conflicts and managing cross-functional teams with diverse areas of expertise. Strong understanding of project management processes, including risk, scope, schedule, resource, and quality management. Knowledgeable in Agile principles with practical understanding of Scrum and Kanban methodologies.

**CORE COMPETENCIES**
*   **Project Management:** Agile, Scrum, Kanban, Risk Management, Scope Management, Resource Planning, Quality Management.
*   **Team Leadership:** Conflict Resolution, Stakeholder Management, Team Building, Performance Monitoring.
*   **Technical Skills:** Project Documentation, 3D Modeling (Background).

**PROFESSIONAL EXPERIENCE**

**Project Manager** | SoftServe
*October 2021 – Present*

**Service Manager** | Veteran Hub Dnipro
*September 2020 – October 2020*
*   Managed a cross-functional team of 6 specialists across psychological, legal, and career development sectors.
*   Oversaw personnel hiring and onboarding processes.
*   Established workflows and reporting procedures to ensure operational efficiency.
*   Monitored compliance with organizational standards in daily team activities.
*   Facilitated conflict management and maintained a productive team environment.

**Junior 3D Artist (Freelance/Remote)**
*December 2019 – September 2020*
*   Executed low and high-poly modeling, UV unwrapping, texturing, and baking.
*   Performed level design tasks.

**Hotel Manager** | Mykulychyn
*November 2018 – November 2019*
*   Managed daily hotel operations, reservations, and online presence on booking services.
*   Successfully increased the Booking.com rating from 8.7 to 9.0.
*   Responsible for hotel revenue, client satisfaction, and guest communication.
*   Oversaw personnel management and controlled task implementation.
*   Managed facility decision-making regarding the hotel and territory.

**Artillery Battery Control Platoon Commander** | 4th Rapid Reaction Brigade, National Guard of Ukraine (Gostomel)
*November 2016 – November 2018*
*   Led a platoon of 10 members, managing personnel of different ages and motivation levels while fostering high team spirit.
*   Performed accurate mathematical calculations and geometric drawings under strict time constraints.
*   Responsible for the maintenance and secure storage of high-precision equipment valued up to 20,000 euros per unit.
*   Conducted analysis of logistics routes and observation objects based on data from various sources.

**Hotel Manager (Remote)**
*April 2015 – November 2016*

**EDUCATION & CERTIFICATIONS**

**IT Project Management Courses**
*   Beetroot Academy
*   SoftServe Academy"
6078,"**PROFESSIONAL PROFILE**

*   Experienced professional working with major GameDev companies worldwide.
*   Contributed to several famous titles in the GameDev industry.

**PROFESSIONAL EXPERIENCE**

*   **Project Lifecycle Management:** Manage projects and batches during their full life-cycle, starting with partner kick-off calls and ending with internal retrospectives.
*   **Estimation & Planning:** Estimate new scopes of work based on provided references and briefs. Calculate projected efficiency before start dates or internal kick-offs, re-allocate resources, and manage risks.
*   **Team Coordination:** Create and allocate tasks to the team of artists and conduct daily meetings with project teams.
*   **Performance Monitoring:** Maintain project efficiency at the level initially planned. Oversee project closure, including verification of team tracking in Jira and conducting retrospectives.
*   **Communication:** Manage email correspondence and calls with partners. Handle change requests by gathering information, preparing arguments and proofs, and setting up meetings with department heads as needed.
*   **Legal & Finance Liaison:** Cooperate with Legal and Finance departments to track the existence of all required legal documents and agreements. Responsible for issuing invoices, tracking payments, and issuing final invoices upon project completion.

**CAREER PREFERENCES**

*   **Industry:** GameDev only.
*   **Company Type:** Product Company only.
*   **Environment:** Seeking a healthy environment within the team and office."
6081,"**Art Team Manager**
*2021 – Present*

*   Built and managed a team of 7 artists, establishing operational and debugging processes from scratch.
*   Developed a transparent system for assessing Art Department employees and implemented performance reviews that successfully elevated the performance of at-risk staff.
*   Created foundational documentation adopted by new managers, including personal workflows, team frameworks, department structures, and screenshot guides.
*   Managed task specifications, idea generation, and technical specifications in close cooperation with the Art Lead.
*   Oversaw quality control, task implementation, and feedback loops to ensure high standards.
*   Conducted market research (benchmarking) and monitored employee motivation and development.
*   Analyzed and documented internal processes to facilitate team growth and reporting.

**Illustrator Designer**
*2018 – 2021*

*   Delivered illustrations and designs for key clients, including the ECO-school in Moscow, a Moscow space museum, Restaurant Gorynych, and ISBC.
*   Created vector characters for animation and developed personal stickers for Telegram.
*   Designed visual assets for social networks, advertising materials, magazine illustrations, and clothing prints.
*   Produced posters for movies and events, as well as illustrations for professional presentations.
*   Developed logos and branding materials.

**Internal and External Communications Manager**
*2016 – 2018*

*   Managed full operations and shipments for trading floors, specifically Wildberries and Ozone.
*   Drafted work instructions and regulations for the Key Account Department, which accelerated and simplified the training process for new employees.
*   Consistently fulfilled and exceeded sales plans.
*   Resolved complex and controversial situations in favor of clients to ensure continued retention and positive interaction.
*   Negotiated and executed contracts, including monitoring compliance and adjusting terms as necessary.
*   Suggested service improvements that simplified internal company processes.
*   Utilized 1C, Bitrix, and Diadoc platforms for daily operations.

**Event Manager**
*2015 – 2016*

*   Organized a new ""Ecological Quest"" event format, which increased the deal value with a regular client by more than 200% compared to previous events.
*   Managed client relationships from the first call through to the conclusion of the event, ensuring high-level delivery at all stages.
*   Prepared presentations, drafted proposals, and calculated estimates for projects.
*   Coordinated with related project departments to ensure successful event preparation and conduct.
*   Repeatedly recognized by management for active assistance in organizing events and high-quality performance of duties."
6082,"[Your Name]
[Your Phone Number] | [Your Email Address]
[Your Location/City] | [Link to Portfolio/LinkedIn]

**PROFESSIONAL SUMMARY**

Dedicated and fast-learning Art Project Manager with experience in the GameDev domain. Proven track record of managing teams of up to 30 people, overseeing 2D/3D art production pipelines, and providing art direction. Skilled in process optimization, people management, and Agile methodologies. Seeking a challenging role within a product company or long-term project to foster professional growth and expand expertise in 3D, VFX, VR, and game production.

**CORE COMPETENCIES**

*   **Project Management:** 2D/3D Art Pipelines, Workload Planning, Quality & Priority Control, Client Communication, Retrospectives.
*   **Methodologies:** Scrum, Kanban (GameDev context).
*   **Leadership:** Team Management (up to 30 staff), Mentoring, Onboarding, Performance Reviews, Conflict Resolution.
*   **Operations:** Process Analysis & Optimization, Knowledge Base Creation, Workflow Systematization.
*   **Art Direction:** Quality Assurance, Style Consistency.

**PROFESSIONAL EXPERIENCE**

**Art Project Manager / Team Lead**
*[Dates of Employment]*

*   **Project & Pipeline Management:** Managed the full lifecycle of 2D and 3D art production, including planning workloads, assigning tasks, and coordinating processes. Ensured strict adherence to quality standards and priority controls while maintaining active communication with clients.
*   **Team Leadership:** Led and managed a team of up to 30 professionals. Responsibilities included onboarding and mentoring new artists and Project Managers, conducting regular 1:1 meetings, performing skills and performance reviews, and handling conflict resolution.
*   **Process Optimization:** Analyzed existing workflows to identify bottlenecks and implemented optimization strategies. Systematized knowledge and experience by creating comprehensive info-bases, art guides, and internal work documentation.
*   **Art Direction:** Oversaw the visual quality and style consistency of art assets to ensure they met project specifications.
*   **Agile Implementation:** Applied basic Scrum and Kanban methodologies to streamline GameDev production processes and facilitate retrospectives.

**AREAS OF INTEREST & PROFESSIONAL DEVELOPMENT**

*   Expanding technical and managerial expertise in 3D, VFX, VR, video, and game production pipelines."
6090,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**

Motivated Project Management student seeking an Assistant Project Manager position. Passionate about team collaboration and professional development. Possesses a strong theoretical and practical foundation in Agile and Waterfall methodologies, with specific experience in creating project documentation. Committed to applying knowledge to create value and grow as a specialist within the field.

**EDUCATION**

**Master’s Degree in Project Management** (In Progress)
Kharkov National University of Economics

**Bachelor’s Degree in Economics of Enterprise**
Kharkov National University of Economics

**SKILLS & COMPETENCIES**

*   **Project Methodologies:** Agile (Scrum, Kanban), Waterfall.
*   **Project Documentation:** Proficient in creating Proposals, Terms of Reference, Technical Plans, Risk Assessments, and Work Breakdown Structures (WBS).
*   **Soft Skills:** Strong teamwork capabilities, rapid learning, and adaptability.

**WORK EXPERIENCE**

**Assistant Manager**
Electrical Goods Sales Company (Part-time during studies)

*   Responsible for attracting new clients and business development.
*   Managed the receipt and processing of customer orders.
*   Handled financial administration, including invoicing customers for payment.
*   Maintained internal records and managed inventory/goods.

**CERTIFICATIONS & COURSES**

*   **Project Manager Course** | Source IT (2017)
*   **English Language Course** | Green Forest (2016)
*   **English Language Course** | Language Center (2015)"
6127,"**MOBILE PRODUCT MANAGER**

**PROFESSIONAL SUMMARY**

Mobile Product Manager with 2 years of experience leading successful mobile product initiatives and optimizing app store performance. Proven expertise in App Store Optimization (ASO), Apple Search Ads (ASA), and Incentive Traffic. Skilled in executing data-driven strategies to drive organic downloads, improve rankings, and ensure efficient product development cycles through agile methodologies.

**CORE COMPETENCIES**

*   **App Store Optimization (ASO):** Keyword Research, Metadata Optimization, A/B Testing, Conversion Rate Optimization (CRO).
*   **User Acquisition:** Apple Search Ads (ASA), Incentive Traffic Management.
*   **Product Management:** Agile Methodologies, Project Management Tools, Product Development Cycles.
*   **Analytics:** Mobile App Analytics, Data-Driven Decision Making, Trend Identification.
*   **Collaboration:** Cross-functional Team Leadership (Designers, Developers, Marketers, Data Analysts).

**PROFESSIONAL EXPERIENCE**

**Mobile Product Manager**
*   Develop and execute comprehensive ASO strategies aligned with business goals, user needs, and market trends.
*   Manage Apple Search Ads (ASA) and Incentive Traffic campaigns to support growth objectives.
*   Conduct in-depth keyword research, metadata optimization, and A/B testing to maximize Conversion Rate Optimization (CRO).
*   Successfully increase organic downloads and improve app store rankings through strategic optimization.
*   Utilize mobile app analytics to uncover insights, identify market trends, and make data-driven decisions to optimize app performance.
*   Facilitate efficient product development cycles and timely releases by utilizing agile methodologies and project management tools.
*   Collaborate effectively with cross-functional teams, including designers, developers, marketers, and data analysts, to deliver high-quality mobile products."
