,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview
2587,"[NAME]
[Phone Number] | [Email] | [LinkedIn] | [Location]

PROFESSIONAL SUMMARY
Account and Project Manager with experience in the Dutch SaaS industry, specializing in supply chain mapping and verified risk data. Proven track record of advising international clients, managing global supply chain projects, and coordinating technical teams to ensure client satisfaction.

EXPERIENCE
Account and Project Manager | [Dutch SaaS Company Name] | [Dates]
*   Manage client accounts and project lifecycles for a SaaS platform focused on supply chain mapping and verified risk data collection.
*   Consult with international clients in the European market regarding software solutions and supply chain market developments.
*   Oversee worldwide supply management operations and data verification processes.
*   Coordinate with the internal IT team to manage technical requirements and ongoing project execution.
*   Prepare and oversee project budgets to ensure financial objectives are met.
*   Act as the primary point of contact for client inquiries, providing technical support and issue resolution.
*   Maintain responsibility for overall client satisfaction and long-term relationship management.

SKILLS
*   Software: Tableau, Teamleader, MS Office, Proprietary SaaS platforms.
*   Core Competencies: Account Management, Project Management, Supply Chain Risk Assessment, International Client Relations, Budget Preparation, Technical Team Coordination, European Market Strategy.

EDUCATION
[Degree Name] | [University Name] | [Dates]"
2588,"**ACCOUNT MANAGER**
**ProfiAds (Advertising & Event Agency)**
June 2015 – Present

*   Spearheaded large-scale advertising projects in shopping centers across Ukraine for high-profile clients including Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo.
*   Managed end-to-end project documentation, including client negotiations, contract signing, stakeholder communication, and budget management.
*   Conducted on-site meetings to secure placement agreements and supervised project launches across multiple cities.
*   Coordinated creative workflows by collaborating with designers on layout development and facilitating final client approvals.
*   Executed full-cycle advertising placement, including print production, contractor sourcing, and permit acquisition.
*   Resolved complex organizational logistics, including equipment import/export and the oversight of installation and dismantling processes."
2589,"**ACCOUNT MANAGER / PROJECT MANAGER**

**PROFESSIONAL SUMMARY**
Result-oriented Account Manager and Project Manager with over 5 years of experience in both product and outsource companies. Proven track record of successfully delivering 19 commercially launched projects. Expert in facilitating Scrum events, managing delivery teams, and overseeing the full software development lifecycle. Highly organized professional with strong interpersonal communication skills and the ability to manage multiple projects simultaneously under pressure. 

**CORE COMPETENCIES**
*   Project & Account Management
*   Agile/Scrum Facilitation
*   Software Implementation Planning
*   Financial & Invoicing Documentation
*   Staffing & Resource Management
*   Internal & External Communication
*   Team Leadership & People Management

**PROFESSIONAL EXPERIENCE**
*   Directed the end-to-end lifecycle of 19 commercially launched projects within product and outsource environments.
*   Facilitated Scrum events across multiple teams to ensure operational efficiency and project transparency.
*   Planned and managed comprehensive internal and external project communications.
*   Controlled staffing processes to ensure optimal resource allocation for project success.
*   Managed project documentation, financial reporting, and invoicing processes.
*   Led internal delivery teams to ensure high-quality and successful project outcomes.
*   Estimated software implementation requests, including goals, cost, scope of work, and efficiency metrics.
*   Developed software development plans and maintained rigorous control over execution to ensure alignment with project goals.
*   Built and managed effective, collaborative project teams while promoting individual and team performance.
*   Maintained a positive, open-minded approach to team collaboration and project success."
2590,"[NAME]
[Phone Number] | [Email] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**

Sales Account Manager with over 4 years of experience specializing in building long-term rapport with customers and bridging the communication gap between clients and development teams. Proven track record in lead processing, requirement gathering, and deal negotiation. Dedicated to meeting customer needs through effective planning and project management.

**EXPERIENCE**

**Sales Account Manager** | [Company Name] | [Dates]
*   Cultivated and maintained long-term customer relationships and rapport over a 4-year tenure.
*   Analyzed customer needs to develop and present effective plans and solutions.
*   Processed verified leads and gathered comprehensive project requirements to generate accurate quotes.
*   Negotiated terms and successfully closed business deals.
*   Managed and ran accounts from the onset of the project.
*   Moderated business meetings involving prospects, customers, and internal teams.
*   Served as a liaison between customers and development teams to ensure clear communication and project alignment.
*   Managed administrative financial tasks, including the issuance of invoices.

**SKILLS**

*   **Account Management:** Relationship Building, Lead Processing, Account Maintenance.
*   **Project Coordination:** Requirement Gathering, Project Quoting, Meeting Moderation.
*   **Sales & Negotiation:** Deal Closing, Proposal Development, Client Needs Assessment.
*   **Communication:** Client-Developer Liaison, Business Communication, Stakeholder Management.
*   **Administrative:** Invoicing and Billing.

**GOALS & VALUES**

*   Seeking to further develop expertise in Account and Project Management.
*   Value well-established business processes and collaborative, team-oriented environments."
2591,"[NAME]
[Phone Number] | [Email] | [LinkedIn]

**PROFESSIONAL SUMMARY**

Dedicated Project and Account Manager with 1.5 years of experience and a strong commitment to delivering high-quality results. Expert in managing multiple concurrent projects, facilitating seamless communication between teams and clients, and overseeing both technical and administrative workflows. Proven track record in budgeting, contract management, and website testing with a focus on accuracy and operational efficiency.

**CORE COMPETENCIES**

*   Project & Account Management
*   Client Relationship Management
*   Budget Preparation & Financial Planning
*   Contract & Agreement Drafting
*   Website Testing & Quality Assurance
*   Strategic Task Prioritization
*   Process Analysis & Optimization
*   Team Collaboration

**PROFESSIONAL EXPERIENCE**

**Account / Project Manager** | [Dates of Employment]

*   Managed multiple projects simultaneously, ensuring all deliverables met strict quality standards and deadlines.
*   Served as the primary point of contact for clients and internal teams, leveraging strong interpersonal skills to build rapport and ensure project alignment.
*   Developed and finalized formal contracts, service agreements, and comprehensive client budgets.
*   Conducted functional website testing to identify issues and ensure optimal performance before delivery.
*   Prioritized complex tasks effectively to maintain high levels of productivity and team efficiency.
*   Evaluated project outcomes and conducted difficulty analysis to identify areas for improvement and prevent future obstacles.
*   Maintained a high degree of accuracy and responsibility across all management and administrative functions."
2592,"[NAME]
[PHONE NUMBER] | [EMAIL] | [LINKEDIN PROFILE]

**PROFESSIONAL SUMMARY**
A results-driven Key Account Manager and Project Coordinator with a proven track record of scaling revenue and managing large-scale operations. At age 21, serve as the sole Account Manager for the region at an international company, coordinating a team of 10. Expert in B2B sales, partner relationship management, and strategic project execution, with a demonstrated ability to double partner revenue within short timeframes.

**PROFESSIONAL EXPERIENCE**

**Key Account Manager | Glovo**
*The fastest-growing delivery player in Europe, Africa, and Asia*
*   Serve as the sole Account Manager for the country, overseeing all portfolio accounts and coordinating a team of 10 people.
*   Doubled revenue for top 10 partners within a 2-3 month period through strategic optimization.
*   Generate over 4,000 EUR in monthly revenue by selling in-app instruments and promotional campaigns to increase partner GMV and company CPO.
*   Own end-to-end strategic partner relationships, including P&L tracking, deep product integrations, and co-marketing efforts to drive activation.
*   Analyze main KPIs and performance metrics to ensure Month-over-Month (MoM) growth and operational excellence.
*   Act as the primary Point of Contact (POC) between Glovo’s cross-functional departments and external partners.
*   Translate partner feedback into actionable product, marketing, and operations improvements.

**Project Coordinator / Founder | [PROJECT NAME/ORGANIZATION]**
*   Founded and managed a project assisting students in learning business fundamentals and securing university discounts.
*   Orchestrated technical and administrative teams of 60 people, defining the vision and scope of the organization.
*   Managed a major project involving 400 participants, generating $27,000 in quarterly revenue.
*   Conducted training for regional coordinators and mentored teams for project participation.
*   Managed both inbound and outbound lead generation and conversion.

**Key Customer Manager | Dubai, UAE**
*   Designed and implemented strategic sales plans to promote vendor products and increase market share.
*   Served as the lead point of contact for all customer account matters, building long-lasting professional relationships.
*   Negotiated contracts and successfully closed agreements with new leads.
*   Facilitated the onboarding of new customers through initial meetings and product training.
*   Tested and validated hypotheses to improve customer relationship success rates.
*   Managed backend showcase creation for vendors on the web platform.

**Assets Sales Manager**
*   Generated over $20,000 in sales within a 3-month period.
*   Prepared franchises for sale and managed comprehensive financial reporting.
*   Ensured all product and sales materials were optimized for high-stakes presentations and conferences.

**HONORS & AWARDS**
*   **Alumna, Study of the U.S. Institutes (SUSI) for Women Leaders:** Selected among 200 candidates to represent my country in the USA based on project excellence (2019).
*   **Winner, International Case Championship:** Awarded 1st place in Almaty (2018).
*   **Featured Professional:** Personal story and professional journey published in a popular local internet resource.

**CORE COMPETENCIES**
*   **Sales & Account Management:** B2B Sales, P&L Tracking, Contract Negotiation, Relationship Management, Onboarding.
*   **Project Management:** Strategic Planning, Stakeholder Satisfaction, Team Leadership (up to 60 people), Performance Evaluation.
*   **Analytical Skills:** KPI Analysis, MoM Growth Tracking, Hypothesis Testing, Financial Reporting.
*   **Values:** Ownership, professional drive, and fostering a healthy, growth-oriented atmosphere."
2594,"[NAME]
[PHONE NUMBER]
[EMAIL]
[LINKEDIN]

**PROFESSIONAL SUMMARY**
Goal-oriented professional with 10+ years of experience in Account and Project Management, specializing in B2B and B2C sectors. Proven track record in Event Sales Management within the hospitality industry, successfully delivering 300+ projects with upselling achievements of up to 200%. Expert in building and managing efficient teams, developing startups from scratch, and maintaining long-term client relationships. Seeking a position as an Event Manager, Account Manager, or Project Manager.

**CORE COMPETENCIES**
* Project & Event Management
* B2B & B2C Sales (No Cold Sales)
* Team Leadership & Training
* Startup Development & Partner Engagement
* Strategic Negotiation & Marketing

**PROFESSIONAL EXPERIENCE**

**Event Sales Manager | Hotel and Restaurant Complex**
(3+ Years)
* Successfully sold and implemented over 300 projects.
* Achieved upselling results of up to 200% from primary costs.
* Cultivated long-term client relationships, securing 2–8 projects per client with excellent feedback.
* Hired, trained, and managed a high-performing team of 8 people.
* Developed a startup from scratch and successfully engaged 20+ partners.

**Account Manager (BTL) & Event Coordinator**
(5+ Years)
* Recruited and trained personnel who delivered results 30% higher than expected.
* Managed diverse B2B and B2C accounts and complex project lifecycles.
* Oversaw event coordination to ensure high-quality project implementation.

**SUMMARY OF QUALIFICATIONS**
* **10+ Years of Experience:** Successful account and project management, including B2B and B2C sales.
* **Leadership:** Proven ability to hire, train, motivate, and manage efficient teams.
* **Strategic Development:** Experience developing startups from the ground up and engaging strategic partners.
* **Specialized Knowledge:** Deep marketing knowledge combined with creative and strong negotiation skills.
* **Project History:** Extensive background in both hotel/restaurant complexes and BTL account management."
2595,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Dedicated professional with extensive experience in international sales, business development, and global account management. Proven track record in managing key international global accounts with a focus on analytical strategy and professional excellence. Seeking a specialized role in Global Account Management.

**CORE COMPETENCIES**
*   Global Account Management
*   International Sales & Business Development
*   Analytical Problem Solving
*   Professional Communication

**PROFESSIONAL EXPERIENCE**

**Global Account Manager** (2 years)
*   Managed key international global accounts.
*   Focused on international business development and account growth.
*   Utilized analytical abilities to manage and scale global client relationships.

**Head of Sales Department** (1.5 years)
*   Oversaw sales department operations and strategic initiatives.
*   Managed departmental sales objectives and professional standards.

**Sales Manager** (2 years)
*   Executed sales strategies and identified business development opportunities.
*   Developed foundational expertise in client relations and sales cycles.

**SKILLS**
*   International Sales Strategy
*   Account Management 
*   Business Development
*   Analytical Research
*   Professional Communication Skills"
2597,"**SUMMARY**

Accomplished Product Manager, Project Manager, and Scrum Master with extensive experience managing teams of 2 to 20 FTE and overseeing up to 10 projects simultaneously. Proven track record in expanding market reach, including launching a new sales direction for a major U.S. educational platform in Australia. Expertise spans diverse sectors including Finance, Logistics, Mobile Games, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment. Skilled in Agile transformations, roadmap creation, and annual performance evaluations.

**CORE COMPETENCIES**

*   **Project Management:** Resource coordination, risk management, and progress reporting.
*   **Product Management:** Backlog management, OKR (Objectives and Key Results) methodology, and feature prioritization.
*   **Agile/Scrum:** Facilitating ceremonies, mentoring roles/artifacts, and fostering an Agile mindset.
*   **Leadership:** People management, One-on-One coaching, and cross-functional team coordination.
*   **Technical:** Architecture planning, technology selection, and technical consulting.

**PROFESSIONAL EXPERIENCE**

**Senior Project Manager | Scrum Master | Business Analyst**
*September 2022 – August 2023*

*   Mentored and coached the team on Agile ceremonies, practices, roles, and artifacts.
*   Facilitated and adapted Scrum ceremonies to meet team needs while ensuring adherence to Scrum values.
*   Maintained team focus on priorities to consistently achieve Sprint and product goals.
*   Identified customer needs, defined product visions, and aligned stakeholders behind strategic objectives.
*   Prioritized product features and capabilities; established and monitored timelines for product launches.
*   Managed product backlogs and led annual planning using OKR methodology.
*   Balanced critical issue resolution with competing priorities.
*   Reported project progress and metrics to teams and customers.

**Senior Project Manager | Scrum Master**
*August 2019 – August 2022*

*   Managed development processes for web, desktop, and mobile applications.
*   Directed several projects in parallel, overseeing issues and risk management.
*   Facilitated Scrum events and adapted them to team requirements to ensure value alignment.
*   Monitored progress to ensure milestone delivery according to the demo plan.
*   Held regular One-on-One meetings to support team members and address emerging issues immediately.
*   Managed both co-located and distributed teams.
*   Led product backlog management and iteration planning.

**Appus Studio, Kharkov, Ukraine**
**Team Lead Project Manager**
*May 2019 – August 2019*

*   Assisted in project development by implementing high-complexity tasks and resolving critical errors.
*   Set clear goals and priorities for the development team.
*   Provided technical advice to company employees.
*   Participated in customer calls and meetings, providing support to other managers as needed.
*   Contributed to the adaptation and motivation of department employees.
*   Conducted interviews in collaboration with the personnel manager.
*   Selected technologies for project development and led project architecture planning.

**HOBBIES & ADDITIONAL EXPERIENCE**

*   **Speaker:** A-Level School (April 2019 – Present)
*   **Digital Drawing**"
2645,"**Project Manager, Non-profits**

*   Engineered a new Monday CRM workspace from scratch to facilitate daily team updates and project tracking.
*   Trained and mentored 5 interns who successfully transitioned into core members of the team.
*   Facilitated US bank account approvals for over 200 clients.
*   Developed and launched an external e-learning course on grant writing from the ground up using the LearnWorlds.com platform.
*   Converted all existing business spreadsheets to the Monday CRM system, streamlining data management and improving organizational workflow efficiency.
*   Led the integration and training process to ensure a seamless transition for all team members to the new CRM system.
*   Prepared comprehensive monthly and quarterly reports for existing clients, highlighting key performance metrics and achievements.
*   Established a standardized reporting process, resulting in improved client satisfaction and retention.

**Underwriting Manager**

*   Evaluated application packages from clients and ISOs, reviewing over 600 packages and providing professional feedback.
*   Analyzed statistical data using specialized computer programs, including Jarvis CRM.
*   Managed the boarding process for approved merchant applications, successfully creating and boarding 95 applications in the system.
*   Maintained daily communication with both new and existing clients.

**Account Manager**

*   Prepared application packages by pre-filling documentation based on client-provided supporting materials.
*   Submitted application packages to banks and maintained consistent communication with bank representatives to monitor the status of all client accounts.
*   Trained new employees on the company’s customer management policies.
*   Managed and updated the workflow within the CRM system."
2654,"**Sparkybit** | Germany  
**Account Manager** | 07/2022 – Present  

*   Cultivate and maintain strong, long-lasting customer relationships to ensure high retention.  
*   Resolve client complaints and proactively mitigate potential issues to maintain service quality.  
*   Conduct client satisfaction surveys and performance reviews to identify areas for improvement.  
*   Facilitate regular customer meetings to drive client loyalty and contribute to revenue growth.  
*   Manage existing accounts and resolve complex business and technical issues in collaboration with cross-functional teams.  

**DevPals AB** | Sweden  
**Account Manager** | 01/2022 – 06/2022  

*   Managed client communications to ensure consistent customer success and satisfaction.  
*   Developed trusted advisor relationships with key account stakeholders.  
*   Assisted with challenging client requests and effectively managed issue escalations.  
*   Ensured the timely and successful delivery of solutions tailored to specific customer needs.  
*   Supported lead generation efforts and business development on Upwork.  

**North-wine** | Denmark  
**Business Sales Manager** | 11/2017 – 09/2021  

*   Identified and secured new key customers through targeted outreach.  
*   Conducted introductory calls to potential clients to present website services and offerings.  
*   Assisted in managing the product range and optimizing product display on the website.  
*   Maintained correspondence with existing customers to determine specific needs and recommend suitable products.  
*   Managed product databases, oversaw pricing strategies, and monitored wine market trends.  

**Gold.ua** | Ukraine  
**Head of Logistics** | 10/2016 – 11/2017  

*   Oversaw end-to-end delivery processes and managed accounts receivable across all company branches.  
*   Filed formal complaints and insurance claims to secure compensation for lost or damaged orders.  
*   Resolved customer disputes regarding delivery timelines and logistical challenges."
2655,"**PROJECT MANAGER**

**PROFESSIONAL SUMMARY**
Project Manager with over 3 years of commercial experience, including 1 year as an IT Project Manager in a startup environment. Expert in managing project scope, schedules, and budgets with a strong focus on analytical cause-and-effect relationships. Proven ability to develop long-term relationships with partners and colleagues, make independent decisions, and resolve high-stress conflicts.

**CORE COMPETENCIES**
*   **Project Management:** Scrum, Agile principles, Scope Management, Schedule & Budget Oversight.
*   **Software & Tools:** MS Office (Advanced Excel), Google Workspace, 1C (including 1C 8.3), Client-Bank system, MED program.
*   **Business Operations:** Contract Management, Business Process Development, Competitor Analysis, Personnel Records Management.
*   **Soft Skills:** Professional Communication, Conflict Resolution, Punctuality, Attention to Detail, Self-Motivation.

**PROFESSIONAL EXPERIENCE**

**IT Project Manager | Online Web Service Startup**
*February 2021 – Present*
*   Plan and control the execution of project tasks.
*   Manage project scope, schedule, and budget requirements.
*   Provide statistical and detailed reporting to management to evaluate project effectiveness.
*   Facilitate the team in delivering work products to the Product Owner.

**Director | OOO Interlagos (Hotels / Restaurants / Entertainment)**
*2020 – January 2021*
*   Analyzed, developed, and implemented strategic plans according to established goals and objectives.
*   Developed business processes for production and maintained constant monitoring of reporting.
*   Performed regular competitor analysis.

**HR Manager | PrAT Hotel Salut (Hotels / Restaurants / Entertainment)**
*April 2016 – May 2019*
*   Managed the search and attraction of new staff.
*   Handled personnel records management, including registration, transfers, dismissals, and maintaining work books.
*   Processed large volumes of information using 1C 8.3 and the MED program.

**TECHNICAL SKILLS & QUALIFICATIONS**
*   **Commercial Experience:** 3+ years in Project Management.
*   **IT Experience:** ~1 year in IT Startup Project Management.
*   **Accounting:** Knowledge of 1C and various accounting programs.
*   **Business:** Deep understanding of business concepts and contract administration."
2656,"[NAME]
[Phone Number] | [Email] | [LinkedIn]

**PROFESSIONAL SUMMARY**
Experienced Sales and Account Manager with a focus on high-risk verticals and payment solutions. Proven leadership experience managing teams of up to 10 people in media buying and project-based environments.

**PROFESSIONAL EXPERIENCE**

**PAYADMIT**
**Sales / Account Manager**
*March 2022 – Present*
*   Execute lead generation and initial client outreach for payment solution sales.
*   Accompany clients through all stages of the partnership, ensuring successful onboarding and retention.
*   Resolve disputes and navigate conflict situations to maintain positive client relationships.
*   Perform calculations and prepare detailed commercial offers.

**ACIDBRO**
**Account Manager (Media-buying)**
*January 2021 – March 2022*
*   Managed and executed advertising campaigns within high-risk verticals.
*   Prepared and configured advertising accounts for launch.
*   Assisted the technical department with server and proxy procurement, site hosting, and application uploads to Google Play and AppStore.
*   Managed account farming and related technical infrastructure.

**[Company/Project Name]**
**Project Manager (News Project)**
*Duration: 3 Months (Short-term project)*
*   Directed a team of 8–10 employees for a targeted news project.
*   Managed end-to-end operations including project planning, recruitment, and interviewing.
*   Oversaw quality control, payroll processing, and the accrual of bonuses.
*   Successfully concluded the project after reaching established goals.

**[Company/Project Name]**
**Head of Department (Media Buying Resources)**
*Duration: 4 Months*
*   Led a 4-person department focused on providing resources for advertising specialists.
*   Managed departmental operations until the company underwent a change in strategic direction.

**INTERESTS**
*   High-risk verticals, specifically Gambling and Betting."
2657,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**
Versatile professional with comprehensive experience across software testing, frontend development, and project management. Skilled in the full testing lifecycle, semantic web development, and Agile methodologies. Proven ability to manage technical documentation, project roadmaps, and business negotiations. Ready to interview in English.

**CORE COMPETENCIES**
*   **Software Testing:** Specification Analysis, Re-testing, Full QA Lifecycle
*   **Frontend Development:** Semantic HTML, CSS, JavaScript, jQuery, React
*   **Project Management:** Agile Processes, Project Management Tools, Gantt Charts, Roadmaps
*   **Business Operations:** Technical Documentation, Mockup Participation, Invoicing, Negotiations

**PROFESSIONAL EXPERIENCE**

**Software Testing & Development**
*   Managed the end-to-end testing process, from initial specification analysis through to final re-testing.
*   Developed websites using semantic HTML and CSS to ensure structured and accessible web content.
*   Built interactive user interfaces utilizing JavaScript and libraries including jQuery and React.
*   Applied a comprehensive understanding of application development and Agile development processes to project workflows.

**Project Management & Operations**
*   Utilized project management tools and processes to oversee development timelines and deliverables.
*   Authored and maintained detailed technical documentation.
*   Developed and managed project schedules using Gantt charts and Roadmaps.
*   Participated in the design and creation of project mockups.
*   Handled business operations including invoicing and client negotiations.

**LANGUAGES**
*   English (Ready to interview)"
2658,"**McCann Kyiv**
*Senior Account / Project Manager*
(Clients: Vodafone, Unicef, Carlsberg)

*   Managed full project lifecycles from inception to completion, ensuring delivery across all stages.
*   Directed production for TVC (local shoots), Out-of-Home (OOH), and video content.
*   Facilitated tender processes and vendor briefings while overseeing project budgets, payment terms, and delivery schedules.
*   Coordinated internal creative teams and resource allocation to ensure successful project implementation.
*   Generated comprehensive daily, weekly, and monthly status reports for both clients and agency leadership.
*   Maintained oversight of financial data to ensure budget accuracy and control.

**Cheil Ukraine**
*Project Manager*
(Client: Samsung Electronics Ukraine)

*   Oversaw end-to-end project coordination and management through all production phases.
*   Managed production and adaptation for TVC, OOH, Retail (POSM), Digital, and BTL campaigns.
*   Executed tender holdings and briefings, managing vendor relationships and project budgeting.
*   Controlled payment terms and project timelines to ensure on-time delivery.
*   Led internal agency teams, overseeing resource selection and cross-functional coordination.
*   Provided detailed daily, weekly, and monthly performance reporting to clients and agency stakeholders.
*   Maintained rigorous control over financial data and project expenditures."
2659,"**PROJECT MANAGER | IPMA CERTIFIED**

**Professional Summary**
Project Management professional with 6 years of experience across IT banking, digital marketing, aerospace, and automotive industries. Proven track record in establishing engineering outsourcing operations from the ground up, driving business development through customer acquisition, and scaling project teams. Includes 3 years of on-site professional experience in the United States.

**Core Competencies**
*   **Frameworks:** ITIL, Kanban, PMBoK, BPMN
*   **Tools:** Jira, MS Project, Visio, Omnitracker
*   **Expertise:** Engineering Outsourcing, Business Process Description, Regulatory Compliance, Sales & Negotiations

**Professional Experience**
*   Established and launched a new engineering outsourcing business from inception.
*   Identified and secured new customers and project contracts.
*   Managed resource scaling by increasing staffing levels on existing projects.
*   Led project management initiatives within the IT banking, digital marketing, aerospace, and automotive sectors for 6 years.
*   Completed a 3-year on-site professional assignment in the United States.

**Education & Certifications**
*   **Master’s Degree:** Project Management
*   **IPMA Certification**
*   **British Council Diploma:** Business English Advanced (Score: 95%)

**Professional Interests**
*   Mature corporate cultures
*   Large-scale, complex projects
*   Collaborative and open-minded team environments"
2660,"[NAME]
[Phone Number] | [Email Address]
[LinkedIn Profile] | [Location]

**PROFESSIONAL SUMMARY**
Versatile professional with a background in regional management, customer relations, and business development within the IT industry. Recently completed Project Management coursework with a focus on risk mitigation, stakeholder negotiation, and requirements analysis. Proven track record in facilitating international communications and managing organizational documentation. Technical literacy combined with strong interpersonal skills to bridge the gap between business owners and technical teams.

**SKILLS**
*   **Project Management:** Risk Management, Requirements Analysis, Solving Issues, Conflict Resolution, Fast Learner.
*   **Business & Communication:** Business Communications, Business Negotiations, Public Relations, International/Intercultural Relations, Translations.
*   **Operations & Sales:** Customer Service, Talent Acquisition, Recruiting, Business Development.
*   **Technical:** Technical Industry Literacy (Non-coding).

**PROFESSIONAL EXPERIENCE**

**Regional Director** | [Company Name] | [Dates]
*   Oversee organizational documentation and reporting processes.
*   Manage and facilitate communication channels between the local team and the company owner located abroad.
*   Coordinate regional operations with a focus on efficiency and stakeholder alignment.

**Customer Support Manager** | [Company Name] | [Dates]
*   Provide high-level customer service and support on a part-time basis.
*   Address and resolve client issues to ensure satisfaction and retention.

**Recruiter** | [Company Name] | [Dates]
*   Managed full-cycle recruiting and talent acquisition processes.
*   Identified and screened candidates to meet organizational staffing needs.

**Sales Manager** | [Startup Name] | [Dates]
*   Drove sales initiatives for a small IT startup during university studies.
*   Developed initial business communication and negotiation skills within a fast-paced environment.

**EDUCATION & CERTIFICATIONS**

**Project Management Coursework** | [Institution/Platform Name]
*   Focused on project lifecycle management, risk assessment, and customer negotiation.

**English Language Proficiency**
*   Level: Upper-Intermediate / Advanced (Based on standardized testing).

**Technical Proficiency**
*   Familiarity with the technical side of the IT industry and software development environments."
2741,"**HEAD OF FACILITIES | OPERATIONS MANAGEMENT**

**PROFESSIONAL SUMMARY**
Results-driven operations and facilities leader with over 7 years of experience in international environments (Dev-Pro.net, Procter & Gamble). Proven track record in facility startups (A/A+ class), large-scale cost optimization, and team leadership of up to 43 employees. Expert in business continuity, infrastructure restructuring, and production optimization.

**EXPERIENCE**

**Dev-Pro.net**
**Head of Facilities, Ukraine Operations** | Kyiv, Lviv, Dnipro, Kharkiv
*Last Year – Present*
*   Lead the administrative function across 5 development centers in Ukraine.
*   Oversee all aspects of services and operations for existing 5,000+ sq.m. facilities and additional company space.
*   Manage a team of 15+ people.
*   Direct business continuity strategies and serve as launch lead for new facility initiatives.

**Procter & Gamble LCC**
**Site TS Program Manager / HS&E Department Leader**
*6-Year Tenure*
*   Managed the Health, Safety & Environment (HS&E) department with a team of 43 employees.
*   Directed the startup of A and A+ class facilities totaling 4,500 sq.m. across 5 locations.
*   Negotiated with authorities to lower land rental rates from 13% to 6%, resulting in a 37% saving of general plant costs (2017-2018).
*   Optimized operating expenses and utilities, achieving a 23% reduction FYTD.
*   Successfully led 6 external audits with zero critical observations.
*   Managed 3rd and 4th site phase development (2015-2018).
*   Served as Operations Technology Project Leader for international projects (2015-2017):
    *   Managed the startup of new production lines for Tide, Ariel, and Gala.
    *   Managed the discontinuation of brands DAX and BONUX.
*   Delivered production optimization in 2015: 84% process reliability, <2% unplanned downtime, and <1% scrap.
*   Restructured plant infrastructure: transferred warehouses to 3PL, launched production facilities, and renovated the boiler house and compressors.
*   Optimized manufacturing capacities and support departments for raw and packaging materials (Feb 2013 – May 2014).
*   Executed unit restructuring and merged several units into a single department (2013-2015).

**SKILLS**
*   **Management:** Operations Management, Team Management (up to 43 people), Change Management, Startup Management, Business Development.
*   **Facilities & Projects:** Administrative Facilities Manager, Managed Services, Project Management, Product Management, Infrastructure Restructuring.
*   **Operations:** System Integration, Head of Customer Service, Business Continuity, Audit Compliance, Cost Optimization.

**AWARDS & RECOGNITIONS**
*   **CEO Award** (2014)
*   **CBN Award** (2013)"
2766,"**PROFESSIONAL SUMMARY**
Digital Marketing professional with over 8 years of diverse experience in Performance Marketing and Ad Operations. Proven track record of driving revenue growth and yield optimization for global industry leaders including Ubisoft, Sony, Nintendo, Samsung, and Apple. Expert in managing large-scale global campaigns and leading technical development projects to enhance advertising capabilities.

**CORE ACHIEVEMENTS**
*   Managed seven-figure marketing campaigns, overseeing all aspects of trafficking and optimization.
*   Increased yield by 20% in CEE markets through the introduction and implementation of new targeting capabilities.
*   Conceptualized and architected a rich media building platform and managed its development to expand advertising capabilities.
*   Improved viewability of strategic ad units by 40% as a targeted measure to combat banner blindness.
*   Led multiple projects across global markets on the publisher side, focusing on revenue growth and yield optimization."
2793,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Dedicated professional with a background in Art Direction and Project Management, specializing in Digital Advertising and Team Coordination. Experienced in managing multi-channel advertising campaigns for EU and USA markets, conducting deep market research, and leading creative teams to achieve project goals.

**EXPERIENCE**

**Model**
2022 – Present

**Disc Jockey**
2018 – Present

**Art-Director / Stage Manager (Project Manager)**
Synergy Group | 2018 – 2021
*   Organized and coordinated teamwork, managing tasks for designers, content writers, and freelancers.
*   Facilitated communication with partners, including project discussions, meetings, and implementation.
*   Managed project workflows and ensured all deliverables met established deadlines.
*   Operated in a high-collaboration team environment to achieve project objectives.

**SKILLS**

**Digital Advertising & Marketing:**
*   **Platform Management:** Google Ads, FB Ads, MyTarget, Taboola, Capterra, and LinkedIn Ads (EU and USA markets).
*   **Performance Analysis:** Analyzing ad performance, creating detailed reports, and media planning.
*   **Competitor Research:** Conducting deep product research and analyzing competitor advertisements via FB Library.
*   **Search Engine Optimization (SEO):** Keyword planning and optimization, search campaign management, ad extensions, titles, and descriptions.

**Management & Analytics:**
*   **Team Leadership:** Organizing cross-functional teams and delegating tasks to creative staff.
*   **Strategic Planning:** Implementing new methodologies for improved results and analyzing market trends.
*   **Communication:** Professional partner relations and project implementation.

**Soft Skills:**
*   Team player with strong organizational skills.
*   Strict adherence to deadlines.
*   Adaptable to online office environments and positive team atmospheres.

**LANGUAGES**
*   English
*   Ukrainian
*   Russian

**EDUCATION**

**Completed Course in Advertising**
Hillel IT School | 2022

**Computer Technology**
[Degree/Certification]"
