,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
3136,"# PROFESSIONAL SUMMARY

IT professional with 15+ years of experience, beginning as a web developer in 2009 and transitioning to project management four years ago. Proven track record of building and leading successful teams under challenging conditions across web, data-driven, and mobile application projects, managing teams of 2 to 24 developers.

# CORE COMPETENCIES

- People Management
- Team Building & Leadership
- Project Management
- Scrum Methodology
- Web Development

# PROFESSIONAL EXPERIENCE

**Project Manager**
*4 years*

- Deliver diverse projects spanning web, data-driven, and mobile applications
- Scale and manage development teams ranging from 2 to 24 members
- Build and sustain high-performing teams under challenging circumstances
- Drive project delivery using Scrum methodology

**Web Developer**
*2009 – transition to Project Management*

- Developed web applications
- Established foundational IT expertise supporting career advancement into leadership

# CAREER OBJECTIVES

Seeking mid-sized project opportunities managing approximately 18 team members with growth potential. Driven by impactful, globally relevant projects."
3137,"# AGILE PROJECT MANAGER

## PROFESSIONAL SUMMARY

Experienced Agile Project Manager with a proven track record of implementing and optimizing Agile practices across 14 teams. Skilled in serving as Project Manager, Product Owner, and Scrum Master, with expertise in building Scrum frameworks from the ground up and driving successful delivery outcomes. Demonstrated ability in crisis management, process optimization, and departmental development. Experienced across fintech, healthcare, e-commerce, social networks, and education industries.

## CORE COMPETENCIES

**Agile & Delivery** | Scrum, Kanban, Nexus, SAFe | Release Management | 100+ Production Releases

**Leadership** | Crisis Management | Team Building | Talent Acquisition | Department Development

**Management** | Scope | Risk | Quality | Stakeholder | Cross-Functional Coordination

## PROFESSIONAL EXPERIENCE

**Agile Project Manager**

**Agile Implementation & Framework Development**
- Established and maintained Agile best practices across 14 teams, building Scrum frameworks from scratch in 5 teams
- Developed end-to-end processes spanning ideation, development, testing, and release phases
- Established process standards, approaches, and culture development initiatives within development teams

**Delivery & Crisis Management**
- Delivered over 100 successful production releases on live projects
- Served as Crisis Manager, transforming team performance from zero releases to consistent monthly release cycles
- Ensured successful delivery outcomes across all managed teams

**Leadership & Department Building**
- Built and developed Project Management department
- Conducted PM interviews and participated in technical specialist interviews
- Coordinated cross-functional collaboration between design and development departments
- Managed comprehensive project portfolio including scope, release, people, risk, quality, and stakeholder management

## INDUSTRY EXPERIENCE

Fintech | Healthcare | E-Commerce | Social Networks | Education"
3138,"**KARINE**

**PROFESSIONAL SUMMARY**

Results-driven Project Manager with 3 years of experience optimizing team productivity and aligning project deliverables with client objectives. Expertise in eliminating redundant efforts while maintaining strategic focus on stakeholder goals. Skilled in Agile and Scrum methodologies with a track record of coaching senior leadership on implementation best practices.

**CORE COMPETENCIES**

Project Management | Agile & Scrum Methodologies | Stakeholder Management | Jira Configuration & Administration | Leadership Coaching | Process Optimization | Software Development Team Collaboration

**PROFESSIONAL EXPERIENCE**

**Project Manager**
3 Years

• Eliminated wasted effort and maintained team alignment with client goals, delivering measurable project value
• Advised upper management on Agile and Scrum best practices for enterprise-wide implementation
• Designed and configured Jira environment, including components and swimlanes, to streamline developer workflows
• Enhanced development team efficiency through optimized management platform architecture
• Collaborated with software development teams to ensure efficient project execution

**AVAILABILITY**

Monday–Friday | GMT+4

**CONTACT**

Available upon request"
3139,"# RESUME

## CERTIFICATES
- SAFe Scrum Certification
- Soft Skills and Project Management (ITEA)
- PMP Exam Preparation

## KEY ACHIEVEMENTS
- Delivered a web solution for financial analysis while managing five concurrent projects across multiple scales
- Established IT Project Management processes using Scrum methodology from the ground up
- Earned positive client feedback for project delivery

## PROFESSIONAL EXPERIENCE

**Project Manager / Scrum Master**

- Led end-to-end project lifecycle for web development initiatives, including budget oversight
- Conducted project discovery to define scope, requirements, and deliverables
- Coordinated and delivered high-quality product releases within agreed timelines
- Facilitated daily stand-ups, sprint planning, estimations, and retrospectives for a 19-member team
- Managed sprint planning, task creation, and time tracking using Jira and Confluence
- Fostered team development through growth opportunities and performance reviews
- Directed remote team operations across distributed environments
- Prepared comprehensive Project Status Reports with detailed project insights

## PROFESSIONAL OBJECTIVE

Seeking engaging projects within a collaborative team environment with opportunities for continued professional growth."
3140,"# PROFESSIONAL SUMMARY

Certified Scrum Master (CSM) and Management 3.0 practitioner with more than 4 years of experience in the game industry, serving as Scrum Master, Scrum Coach, Project Manager, and Group Manager.

---

## OBJECTIVE

Seeking a challenging position where I can leverage my expertise to drive exceptional results and make meaningful organizational impact.

---

## PROFESSIONAL EXPERIENCE

**Scaling & Organizational Growth**
- Scaled department operations from 10 to 40 employees while maintaining organizational effectiveness
- Directed day-to-day operations of geographically dispersed teams across Kiev, Kharkov, and Dnipro (20+ people)

**Agile Leadership & Transformation**
- Led successful Agile transformation across 40+ team members, embedding Agile values and principles throughout the organization
- Implemented scaled Agile best practices and frameworks at company level to maximize business and product value delivery
- Facilitated team evolution into self-organized Scrum teams capable of consistent execution and commitment delivery

**Coaching & Mentorship**
- Provided coaching and mentorship to Scrum Masters on ceremonies including sprint planning, demonstrations, and retrospectives
- Guided release planning, dependency mapping, risk management, and impediment resolution across teams

**Quality & Process Improvement**
- Established and championed a zero-defects quality culture across multiple teams
- Spearheaded continuous improvement initiatives in engineering practices and processes at enterprise level
- Developed and maintained team performance measurement frameworks and development processes

**People Management**
- Managed personnel development and HR processes within matrix organizational structures"
3141,"# PROFESSIONAL SUMMARY

Results-driven Agile Project Manager with over 5 years of experience leading cross-functional, international teams in the successful delivery of iOS, Android, and web development projects.

---

## CORE COMPETENCIES

- Agile Project Management
- iOS Development Coordination
- Android Development Coordination
- Web Development Oversight
- International Team Leadership
- Cross-functional Collaboration

---

## PROFESSIONAL EXPERIENCE

**Agile Project Manager**

- Directed agile project management initiatives across iOS, Android, and web development platforms
- Collaborated with geographically distributed international teams to deliver projects on schedule
- Facilitated agile ceremonies and maintained project workflows across multiple development streams

---

## SKILLS

- Agile Methodologies
- Mobile Application Development (iOS & Android)
- Web Development Projects
- Global Team Coordination
- Stakeholder Communication"
3142,"**PROFESSIONAL SUMMARY**

Results-driven Agile Project Manager and Scrum Master with extensive experience leading teams, managing operations, and cultivating client relationships. Proven track record managing cloud platform and web application development while driving Agile adoption across organizations. Combines strong business analysis expertise with deep SDLC knowledge and exceptional communication skills to deliver measurable results.

---

**PROFESSIONAL EXPERIENCE**

**Pacto Systems, Ltd, UK**
Scrum Master / Agile Project Manager
08/2017 – Present

• Champion Agile values and principles, embedding methodology into daily operations and fostering company-wide cultural transformation
• Facilitate all Scrum ceremonies including daily standups, sprint planning, sprint reviews, and retrospectives
• Build and organize high-performing Agile teams while guiding enterprise-wide Agile adoption
• Monitor team velocity, identify impediments, and implement solutions to maintain sprint momentum
• Drive customer relationship management and lead generation initiatives
• Partner with stakeholders to elicit, elaborate, and document comprehensive requirements
• Coordinate client demonstrations and manage expectation alignment
• Investigate data discrepancies, identify dataset relationships, and develop solution models
• Author business requirements documents ensuring alignment with business objectives and stakeholder approval
• Maintain requirements quality standards while ensuring compliance with organizational policies and industry best practices
• Manage product backlog through continuous grooming, refinement, and change integration
• Analyze processes, conduct root cause analysis, and identify business improvement opportunities
• Evaluate processes, products, and services to drive optimization initiatives

**Tungus, LLC, Clermont, FL, USA**
Agile Project Manager
10/2015 – 10/2017

• Established company operations infrastructure from inception
• Designed and implemented process automation and document management systems
• Directed daily operations and task management
• Cultivated relationships with existing clients while developing new business partnerships
• Coached, motivated, and developed team members to maximize performance
• Secured and allocated resources to ensure optimal team productivity
• Provided strategic leadership, feedback, and guidance to project teams

---

**CORE COMPETENCIES**

Agile/Scrum Methodologies | Team Leadership | Operations Management | Client Relationship Management | Business Analysis | Requirements Engineering | Stakeholder Engagement | SDLC | Process Optimization | Cloud Platform Development | Web Application Management | Sprint Facilitation | Backlog Management"
3143,"# PROJECT MANAGER & SCRUM MASTER

Versatile IT professional with 5+ years of agile leadership experience and cross-functional expertise in quality assurance, business analysis, and project management. Proven track record establishing scalable processes, coaching high-performing teams, and driving organizational agility.

---

## CORE COMPETENCIES

**Agile Leadership & Frameworks**
- 5+ years leading and coaching agile teams across Scrum, Kanban, and Scaled Agile Framework
- Expert in tailoring agile ceremonies to organizational needs

**Quality Assurance & Testing**
- 3+ years in quality assurance and test automation
- Strong advocate for product quality as a business priority

**Process & Tools**
- Proficient in SDLC and CI tools: Jira, Confluence, Jenkins
- Skilled in designing development and QA processes for specific organizational requirements

**Scaling & Organizational Impact**
- Scaled agile practices across multiple teams, supporting up to 100 people
- Established cross-team communication, synchronization, and release procedures

**People Leadership**
- Experienced in people management, personal development planning, hiring, and onboarding

---

## PROFESSIONAL PHILOSOPHY

Committed to reducing bureaucracy while maximizing agility and practical problem-solving. Champion of product quality as a fundamental business priority."
3144,"**Agile Team Leadership & Scrum Master**

- Founded and led Agile team from the ground up, driving adoption of Scrum methodology and best practices
- Facilitated all Scrum ceremonies including daily standups, sprint planning, sprint reviews, and retrospectives
- Partnered with Product Owner to develop and prioritize product backlogs, refine requirements, and maintain user story standards
- Delivered client-facing demo presentations showcasing sprint deliverables
- Drove estimation, project planning, and risk assessment and tracking processes
- Identified and removed impediments to optimize team velocity and performance
- Analyzed user stories and requirements to ensure clarity and alignment with project objectives
- Mentored and onboarded new team members throughout project execution, accelerating productivity and integration"
3145,"**PROFESSIONAL SUMMARY**

Senior executive technical leader with over 10 years of experience in high-tech industries. Proven expertise in change management, business improvement, revenue enhancement, and operational efficiency. Committed to profit maximization through strategic, multifaceted approaches.

**CERTIFICATIONS**

- Certified Project Management Professional (TUV Rheinland Academy, Cologne, Germany)
- Certified Specialist in ISO 9001 (Cologne, Germany)
- Scrum Master

**CORE COMPETENCIES**

- Project Management: Scrum, Kanban, Waterfall
- Team Leadership: Up to 160 technical professionals
- Contract Management: Fixed Price and Time & Material

**PROFESSIONAL EXPERIENCE**

**Chief Technology Officer**
Agrifinance.io

- Led startup from concept through successful product launch

**Head of Project Management Office**
Minexsystems.com

- Built and directed team responsible for developing the world's first crypto-bank

**Senior Project Manager**
Prozorro.sale (State Reformatory Startup)

- Managed development of multiple projects"
3146,"**CERTIFIED SCRUM MASTER & AGILE PROJECT MANAGER**

Certified Professional Scrum Master (PSM I) and ICP Agile Certified Coach (ICP-APM) with 3+ years of proven success delivering projects from conception through commercial launch. Skilled in managing in-house and distributed development teams while consistently achieving results within time and budget constraints.

**CORE COMPETENCIES**

Scrum Framework Implementation | Kanban Methodology | Project Management Tools & Techniques | Lean Startup & Lean Software Development | Organizational Structure Optimization | Cross-functional Team Leadership | Stakeholder Communication | Full Project Lifecycle Management

**PROFESSIONAL EXPERIENCE**

**Agile Project Manager & Scrum Master**

• Led teams through complete development lifecycles from ideation to commercial launch across 3+ years of project delivery
• Implemented Scrum framework and Kanban methodologies across multiple companies and teams
• Established effective working processes for in-house and distributed teams, achieving project goals within time and budget constraints
• Optimized organizational structures to enhance team performance and project delivery
• Developed and facilitated reports, workshops, and meetups on Lean Startup, Lean Software Development, Agile, and Scrum methodologies
• Coordinated and planned project activities to exceed established targets
• Provided leadership to inspire team members to achieve their full potential
• Served as change agent promoting Agile culture and mindset across organizations

**CERTIFICATIONS**

• Certified Professional Scrum Master (PSM I)
• ICP Agile Certified Coach (ICP-APM)"
3147,"# PROFESSIONAL SUMMARY

Accomplished Project Manager and Team Leader with expertise in Agile methodologies, software development, and business operations. Proven track record of building and leading cross-functional teams across international markets, delivering gaming platforms, and managing concurrent mobile and web projects. Native Ukrainian and Russian speaker with fluency in English and working proficiency in German and Polish.

# KEY ACHIEVEMENTS

**Team Development & Leadership**
- Established and scaled two teams in Ukraine: an IT engineering team for software development and an operational team for game and platform management
- Led cross-functional teams of 20+ members
- Developed team capabilities through mentoring, coaching, and structured team building initiatives

**Product Delivery & Operations**
- Delivered Fantasy Sport startup from concept to operation, managing it as a standalone business unit
- Successfully delivered multiple casino games across Flash and HTML platforms
- Managed four mobile projects simultaneously across iOS and Android platforms

**Process Implementation**
- Implemented Agile/Scrum framework to optimize development processes
- Authored comprehensive business documentation including presentations, business plans, bids, and development specifications

# TECHNICAL EXPERTISE

Agile Project Management | Business Analysis | PMBOK | BABOK | Scrum | Kanban | Waterfall | Mobile Development (iOS/Android) | Web Development | iGaming | Casino Industry

# BUSINESS COMPETENCIES

Startup Development | Business Development | Marketing | Sales | Public Speaking | Brand Management | Product Management | Customer Service | Organizational Leadership | Team Building | Coaching | Motivation

# PROFESSIONAL EXPERIENCE

International experience with companies based in the United Kingdom, Germany, and Switzerland, demonstrating high-level competence in management and development disciplines.

# LANGUAGES

- English: Fluent
- German: Upper-Intermediate
- Polish: Low-Intermediate
- Ukrainian: Native
- Russian: Native"
3148,"**PROFESSIONAL SUMMARY**

Results-driven Agile Project Manager and Scrum Master with over 12 years of experience in software development. Proven track record of improving project processes, implementing Agile best practices, and coaching cross-functional teams to deliver successful business outcomes. Strong technical foundation with 10+ years as a Software Developer and Architect, delivering high-quality solutions for US and European clients.

**CORE COMPETENCIES**

Agile Project Management & Scrum Master Leadership • Software Development & Architecture • C/C++ Development • Process Improvement • Team Leadership & Coaching • Stakeholder Management • Cross-Cultural Collaboration • Conflict Resolution • Strategic Problem-Solving

**PROFESSIONAL EXPERIENCE**

**Agile Project Manager & Scrum Master**

- Drive project process improvements and implement Agile methodologies across cross-functional teams
- Coach and lead teams to achieve successful business outcomes through Agile best practices
- Develop and deploy organization-wide Agile practice standards and methods
- Serve as liaison between executive management, clients, and technical personnel
- Build consensus among stakeholders and resolve conflicts to maintain project momentum

**Software Developer & Architect** | 10+ Years

- Delivered high-quality software solutions for US and European clients across multiple complex projects
- Designed and implemented software architecture requiring advanced technical expertise
- Specialized in C/C++ development throughout full project lifecycles

**KEY STRENGTHS**

- Communicate complex technical information in a compelling, concise manner to diverse audiences
- Rapidly adopt new tools, techniques, practices, and methodologies
- Build and leverage professional networks to drive project success
- Demonstrate passion for strategic decision-making and creative problem-solving

**LANGUAGES**

English (Excellent) | Russian (Native) | Ukrainian (Native)"
3149,"**AGILE PROJECT MANAGER & DELIVERY MANAGER**

8 years of IT experience | 4+ years leading Agile transformations and IT delivery

---

**KEY ACHIEVEMENTS**

- Implemented enterprise-wide Kanban approach across all organizational levels utilizing the Kanban Maturity Model and Evolutionary Change Model, driving sustainable cultural transformation
- Doubled deliverable output through process optimization and strategic prioritization
- Reduced Time to Market by 33% by streamlining workflows and eliminating bottlenecks

---

**CORE COMPETENCIES**

Scrum | Kanban | Lean | Agile Methodologies | Product Development Optimization | Cross-Functional Team Leadership | Organizational Change Management

---

**EXPERIENCE**

**Team Level:** Led Scrum teams, facilitating ceremonies, removing impediments, and ensuring delivery commitments

**Department Level:** Managed cross-functional units of 40+ FTEs, aligning multiple teams toward shared objectives

**Organizational Level:** Oversaw operations spanning 100+ FTEs, driving strategic initiatives and delivery excellence

---

**PROFESSIONAL FOCUS**

Seeking opportunities to leverage proven expertise in Agile transformation, delivery optimization, and organizational change to drive measurable performance improvements."
3150,"# PROFESSIONAL EXPERIENCE

## Delivery Manager & Scrum Master

**Large-Scale Program Leadership**
- Directed program operations with 40+ team members across 3 concurrent Scrum Teams
- Architected end-to-end Release Management process spanning multiple domains and functionalities
- Designed and implemented comprehensive requirements lifecycle: gathering, processing, and delivery
- Led high-level quarterly planning initiatives
- Built team performance metrics framework from ground up
- Attained 4.9/5 overall team satisfaction rating

**Project & Portfolio Management**
- Led and managed 25+ team members across diverse project environments
- Directed domain-specific initiatives in FinTech and Healthcare sectors
- Managed monthly project budgets of $100K–$150K

## Scrum Master

- Led cross-functional teams comprising developers, QA engineers, business analysts, and stakeholders
- Established peopleware practices including structured 1-to-1 meetings and regular check-ins
- Facilitated Agile ceremonies: product backlog refinement, sprint planning, daily stand-ups, retrospectives, and iteration demos
- Built delivery processes ensuring consistent sprint execution
- Bridged communication between development teams and product owners
- Conducted Scrum Workshops to drive Agile adoption

## Project Manager

- Developed comprehensive project plans and monitored execution against milestones
- Processed change requests and mitigated risks associated with requirements evolution
- Maintained Risk Register and formulated Risk Mitigation strategies
- Delivered progress reports and communicated project changes to stakeholders
- Elicited and documented requirements through stakeholder interviews and User Story mapping

## Professional Focus

Seeking opportunities centered on large-scale, strategic programs rather than multiple small or support-oriented projects."
3153,"**PROFESSIONAL SUMMARY**

Results-driven IT professional with over 11 years of industry experience, including 7+ years specializing in Agile project management. Proven expertise in leading dynamically growing teams using Scrum and Kanban methodologies. Committed to continuous professional development through regular participation in and facilitation of training programs.

**CORE COMPETENCIES**

Agile & Scrum Methodologies | Kanban | Project Management | JIRA | Risk Management | Conflict Management | Change Management | Team Building | Motivation | Applications Deployment

**CAREER OBJECTIVE**

Seeking an opportunity within a dynamic, growth-oriented organization that offers professional challenges and a collaborative team environment where I can leverage my experience to support team development and organizational success."
3155,"# Professional Experience

**Agile Transformation Leader**
- Spearheaded enterprise-wide Agile transformation initiative, driving organizational change across a 50+ member organization

**Scrum Master**
- Simultaneously facilitated 5 cross-functional Scrum teams, ensuring adherence to Agile principles and optimizing team performance

**Project Manager**
- Successfully managed projects utilizing PMBOK methodologies, ensuring alignment with industry best practices"
3156,"**Scrum Master**

**Team Collaboration**
- Partnered with 3 cross-functional teams to enhance efficiency, self-management, and delivery of increments at sprint completion
- Reduced inter-team dependencies and streamlined areas of responsibility while elevating definition of done standards across all teams
- Identified and removed impediments blocking team objectives
- Facilitated Scrum events ensuring they remained positive, productive, and time-boxed

**Product Owner Partnership**
- Collaborated with 3 Product Owners to establish product goals, sprint objectives, and backlog prioritization
- Supported Product Backlog refinement and sprint planning preparation and execution
- Enabled effective stakeholder communication and engagement

**Organizational Leadership**
- Championed agile software development methodologies across the organization by implementing best practices and establishing process standards
- Customized and optimized agile tools and frameworks while creating scalable, sustainable processes
- Fostered productive cross-functional relationships and facilitated inter-departmental collaboration and alignment
- Eliminated organizational silos and barriers to enable team cooperation
- Contributed to talent acquisition initiatives"
3157,"# GULNAR ABASOVA

**Agile Project Manager | Scrum Master**

---

## PROFESSIONAL SUMMARY

Results-driven Scrum Master with experience facilitating self-managing, cross-functional developer teams in remote and in-office environments. Demonstrated success implementing Agile/Scrum methodologies that doubled team velocity. Specialized in Fintech projects spanning internal sales systems to online banking applications. Currently pursuing Master's degree in International Project Management as a Lithuanian State Scholarship recipient.

---

## TECHNICAL SKILLS

**Project Management Tools:** Jira Atlassian, Notion, Microsoft Project

**Methodologies:** Agile, Scrum

**Product Development:** Full lifecycle tracking, UX research, wireframing, QA, debugging

---

## PROFESSIONAL EXPERIENCE

**Scrum Master**

- Facilitated complete Scrum event cycles: sprint planning, daily stand-ups, sprint reviews, and retrospectives
- Coordinated grooming sessions with Product Owners to refine backlogs and prioritize deliverables
- Managed project schedules and tracked delivery timelines across development teams
- Served as liaison between Product Owner and development team members, including testers
- Collected and implemented continuous improvement initiatives through retrospective feedback
- Ensured adherence to Agile/Scrum principles throughout project lifecycles

*Key Achievement:*
Contributed to doubling team delivery speed following company-wide transition to Agile framework

*Project Portfolio:*
Fintech applications including internal sales systems and online banking platforms, with full product lifecycle involvement from ideation through UX research, wireframing, QA, and debugging

---

## EDUCATION

**Master of International Project Management** (In Progress)
Vilnius University | Lithuanian State Scholarship Recipient

---

## PROFESSIONAL INTERESTS

Passionate about collaborating with development teams in start-up environments and expanding expertise in agile management methodologies."
3158,"**PROFESSIONAL SUMMARY**

Certified SAFe® Scrum Master with 5+ years of experience leading distributed teams of up to 40 FTEs and 3 years dedicated to Scrum Master responsibilities. Proven expertise in Agile methodologies, team coaching, and stakeholder relationship management.

**CORE COMPETENCIES**

- Scrum Ceremony Facilitation & Impediment Resolution
- Agile Team Coaching & Cross-Functional Development
- Distributed Team Leadership & People Management
- Client Relationship Management & Stakeholder Communication
- Risk Management & Project Status Reporting
- Metrics Collection & Performance Analysis
- Resourcing & Recruitment
- Problem-Solving & Analytical Research

**KEY STRENGTHS**

- Establishing collaborative, high-performance team cultures
- Driving team self-organization and cross-functionality
- Building and maintaining trustful client relationships
- Organizing effective communication processes and meetings
- Applying project management best practices

**CERTIFICATIONS**

- SAFe® 5 Advanced Scrum Master
- SAFe® 5 Scrum Master
- AgilityHealth® Facilitator for SAFe®"
3159,"# AGILE PROJECT MANAGER & SCRUM MASTER

Results-driven Agile Project Manager and Certified Scrum Master with proven success leading cross-functional teams to deliver high-impact projects on time and aligned with strategic business objectives.

## CORE COMPETENCIES

Agile & Scrum Methodologies • Project Leadership • Team Building & Facilitation • Stakeholder Communication • Process Optimization • Milestone Tracking & Delivery • Adaptive Project Management • Requirements Management • Business Objective Alignment

## PROFESSIONAL SUMMARY

Dynamic project leader with extensive experience guiding diverse, cross-functional teams across multiple project portfolios. Expert in aligning team efforts with critical business objectives while implementing tailored processes and methodologies to maximize project success. Proven ability to pivot between management approaches based on unique project requirements and client goals, consistently delivering results on schedule.

## KEY ACHIEVEMENTS

**Strategic Project Delivery**
- Led cross-functional teams across diverse project initiatives, ensuring milestone completion and alignment with desired business outcomes
- Monitored project progress to guarantee on-time delivery against organizational goals

**Process & Methodology Expertise**
- Defined and implemented optimal processes and tools customized to each project's unique requirements
- Adapted project management approaches dynamically based on project specifics and evolving client objectives

**Leadership & Communication**
- Built and maintained high-performing, cohesive teams through effective leadership and collaboration
- Communicated effectively with stakeholders at all organizational levels
- Navigated frequently changing requirements while maintaining team focus and productivity"
3160,"**PROFESSIONAL SUMMARY**

Results-driven IT professional with 12+ years of experience in Information Technology, including 11+ years in IT Management. Proven track record leading cross-functional teams of 30+ engineers and building engineering organizations from the ground up. Expert in full project lifecycle management—from initiation through closure—with demonstrated success delivering projects in both outsource and product development environments.

**CORE COMPETENCIES**

Agile Methodologies (Scrum, XP, Kanban) • Waterfall SDLC • Scrum Master & Product Owner Leadership • Team Building & Organizational Development • Cross-Functional Team Management • Project Lifecycle Management • Agile Community Building & Evangelization • Leadership & Mentorship

**CERTIFICATIONS**

Certified Scrum Master (CSM) • Certified Scrum Product Owner (CSPO) • ICAgile Certified Professional in Agile Project Management (ICP-APM)

**PROFESSIONAL EXPERIENCE**

**IT Management & Project Leadership** | 11+ Years

• Directed end-to-end project lifecycles—initiation, planning, implementation, monitoring, control, maintenance, and closure—ensuring consistent on-time delivery

• Led and mentored cross-functional teams of up to 30 engineers across multiple concurrent projects

• Built high-performing engineering organizations from the ground up in both outsource and product development environments

• Served in dual capacity as Scrum Master and Product Owner, driving Agile adoption and fostering team autonomy

• Strategically applied Agile and Waterfall methodologies based on project requirements and organizational context

• Cultivated and expanded Agile communities, evangelizing Agile values and principles across organizational levels

• Optimized team performance and project outcomes through effective utilization of project management tools"
3161,"**PROFESSIONAL SUMMARY**

Results-driven Project Manager with 10+ years of experience leading IT and product initiatives from conception through launch. Proven track record of delivering 20+ projects of varying sizes and complexity across international product and IT outsourcing companies.

Expert at managing distributed teams of up to 50 professionals while overseeing 5+ concurrent projects. Demonstrates exceptional personal initiative with the ability to rapidly establish cross-functional relationships and master new subject matter.

Core strengths encompass pre-sale engagement, client-focused delivery, and team leadership. Recently guided teams to successfully release 5+ products including platforms, marketplaces, mobile applications, and websites.

**KEY COMPETENCIES**

• End-to-End Project Management (Pre-Sale to Launch)
• Distributed Team Leadership (Up to 50 Professionals)
• Multi-Project Portfolio Management (5+ Concurrent Projects)
• International IT & Product Company Experience
• Strategic Client Relationship Management
• Cross-Functional Stakeholder Collaboration
• Platform & Marketplace Development
• Mobile & Web Application Delivery
• Team Development & Mentorship"
3162,"# PROFESSIONAL SUMMARY

Project/Delivery Manager and Senior Scrum Master with extensive experience managing full-cycle projects across CRM, logistics, sales, finance, and marketing platforms. Proven track record leading up to 5 teams (35 FTE) with portfolio-level management, risk management, and release planning capabilities. Experienced Agile Coach in LeSS Huge setup for 1 product area (6 teams), facilitating multi-team events and coaching Product Owners.

# CORE COMPETENCIES

Portfolio-Level Management | Risk Assessment & Mitigation | Release & Delivery Planning | Stakeholder Management | Technical Documentation | Team Coaching & Mentoring | Process Improvement | Cross-Functional Collaboration

# PROFESSIONAL EXPERIENCE

**Senior Scrum Master**

Led up to 5 internal teams (35 FTE) with portfolio-level oversight, managing risk assessment, release planning, and delivery coordination. Facilitated close cooperation between Product Owners and stakeholders.

**Agile Coach**

Coached 1 product area (6 teams) in LeSS Huge setup. Organized end-to-end workflow processes, coached Product Owners, facilitated all multi-team events, and mentored development teams.

**Project/Delivery Manager**

Managed full-cycle ERP projects (CRM, sales, logistics, finance) at Carlsberg Ukraine. Implemented UPS logistics solution for 60 distributors and provided support and consulting for 3,000+ users. Participated in automation project for Ukrtelekom encompassing record-keeping, finances, and management. Delivered projects using Time & Material and Fixed Price approaches. Conducted system configuration, alpha-testing, and user training. Created and delivered stakeholder presentations. Managed tendering and business process negotiations with customers and developers. Performed general server administration.

**Technical Contributions**

Developed and tested websites. Authored technical specifications and software maintenance documentation. Created output forms and additional system components. Conducted product testing for new releases and versions.

# TECHNICAL SKILLS

**Programming & Web:** SQL, HTML, CSS, JavaScript, React, .NET Core
**Tools:** Jira, TFS, GitHub
**Methodologies:** Agile, Scrum, LeSS Huge
**Languages:** English (Professional)

# PROFESSIONAL OBJECTIVES

Seeking a dynamic environment with opportunities to contribute to product development alongside high-level professionals. Motivated by process improvement, cross-functional collaboration, and international project exposure. Committed to sharing expertise while continuing professional growth."
3186,"**PROFESSIONAL EXPERIENCE**

**Portfolio & Project Leadership**
Led portfolio of 30+ concurrent projects, directing large-scale data operations initiatives and coordinating collaboration between customers and data labeling teams to achieve project objectives while maintaining operational efficiency.

**Customer Solutions & Partnership**
Partnered with customers to design and deploy production-grade data labeling pipelines, streamlining annotation workflows to maximize efficiency and accuracy. Maintained strong relationships through regular communication, delivering exceptional service by monitoring key performance metrics and resolving concerns promptly.

**Financial & Contract Management**
Managed project financials including customer budget calculations and service provider cost estimates. Developed comprehensive statements of work and maintained stakeholder alignment throughout project lifecycles to clarify deliverables and expectations.

**Team & Vendor Management**
Supervised Data Labeling Quality Assurance team, enforcing rigorous quality standards and driving continuous improvement initiatives. Optimized workforce performance through strategic evaluation and targeted guidance. Built strategic partnerships with service providers to ensure successful project execution.

**Operational Excellence**
Cultivated collaborative and inclusive team environment promoting cross-functional cooperation and knowledge sharing. Monitored industry trends and emerging technologies to identify opportunities for product enhancements and process improvements."
3225,"**PROFESSIONAL EXPERIENCE**

**AMAZON MARKETING MANAGER** (Jan. 2022 - Present)
DigiOrange - Brooklyn, NY, USA
- Managed diverse portfolio of 10+ client accounts spanning multiple product niches
- Built and launched 6 accounts from inception, overseeing complete lifecycle development
- Designed and implemented proprietary reputation management methodology

**MARKETING PROJECT MANAGER** (Sep. 2021 - Jan. 2022)
TBI-Pro - Chicago, IL, USA

**MARKETPLACES PROJECT MANAGER** (Dec. 2018 - Sep. 2021)
FDS-IT - Staten Island, NY, USA

**AMAZON MANAGER** (2015 - 2018)
Shopping Cart Elite - Brooklyn, NY, USA"
3315,"# PROFESSIONAL SUMMARY

Business Analyst with expertise in requirements gathering, stakeholder management, and agile methodologies. Proven ability to analyze business needs, document requirements, and ensure successful solution delivery.

---

# CORE COMPETENCIES

**Business Analysis**
- Business Analysis Planning & Needs Definition
- Solution Scope Definition & Management
- Stakeholder Analysis & Elicitation
- Business, Functional & Non-Functional Requirements Documentation
- Use Cases & User Stories Development
- Requirements Communication & Traceability
- Solution Assessment & Validation
- Stakeholder Knowledge Transfer

**Methodologies & Frameworks**
- Agile | Scrum | BPMN

**Technical Skills**
- Excel | Visual Basic (VB)

**Project Management**
- Project Planning & Coordination

---

# PROFESSIONAL OBJECTIVES

Seeking opportunities for professional growth and complex challenges within a collaborative team environment."
