,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
3143,"**[Your Name]**

**Summary**

Project manager and scrum master with experience in quality assurance, business analysis, and project management.

**Experience**

*   Led and coached agile teams for 5+ years.
*   Quality assurance and test automation experience for 3+ years.
*   Proficient in SDLC and CI tools (Jira, Confluence, Jenkins), Agile (Scrum, Kanban) and Scaled Agile Framework.
*   Skilled in setting up development and QA processes tailored for specific organizational needs, including implementation of Scrum and Kanban ceremonies.
*   Participated in scaling agile for multiple teams (up to 100 people in total), set up cross-team communication, synchronization and release procedures.
*   Experienced in people management, personal development planning, hiring and on-boarding new team members.

**Values**

Less bureaucracy, more agility and common sense. Product quality should be a priority for a company.
"
3144,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented professional experienced in Agile methodologies and team leadership. Proven ability to facilitate Scrum events, coach teams, and drive project success.

**Experience**

*   **Agile Team Lead**
    *   Led and managed an Agile team from project inception.
    *   Facilitated daily Scrum meetings, sprint planning, sprint demos, and retrospectives.
    *   Coached team members on Scrum principles and practices.
    *   Delivered client-facing demo presentations.
    *   Managed the estimation and project planning processes.
    *   Onboarded new team members throughout project execution.
    *   Supported the Product Owner in backlog creation, prioritization, and user story template maintenance.
    *   Identified and removed impediments for the Scrum team.
    *   Conducted risk assessment and tracking.
    *   Analyzed user stories and project requirements.
    *   Mentored new team members.
    *   Successfully managed complex tasks.
    *   Demonstrated professional growth.
    *   Office located near metro.
"
3145,"**[Your Name]**

**Summary**

*   Certified Project Management Professional (TUV Rheinland)
*   Scrum Master
*   Experience leading teams of up to 160 technical personnel
*   Experience with Fixed Price and Time & Material contracts
*   Proficient in Scrum, Kanban, and Waterfall methodologies

A results-oriented senior executive with over 10 years of experience in the high-tech field. A driven change manager dedicated to continuous business improvement, focused on enhancing revenue and streamlining business operations. Committed to profit maximization through multifaceted business approaches.

**Experience**

*   **Head of PMO** | minexsystems.com
    *   Assembled a team and developed the first crypto-bank in the world.
*   **CTO** | Agrifinance.io
    *   Spearheaded the creation and development of Agrifinance.io from concept to a successful product.
*   **Senior Project Manager** | prozorro.sale
    *   Created and developed multiple small projects within the state reformatory startup.

**Certifications**

*   Certified Project Manager, TUV Rheinland Academy (Cologne, Germany)
*   Certified Specialist, ISO 9001 (Cologne, Germany)
"
3146,"**[Your Name]**

**Summary**

Agile Project Manager with over 3 years of experience successfully delivering projects. Proven ability to effectively manage projects and lead teams from inception to commercial launch. Skilled in establishing efficient working processes for in-house and distributed development teams, ensuring project goals are met within time and budget. Excellent communicator and leader with the ability to inspire others. Dedicated to promoting Agile principles and driving positive change.

**Certifications**

*   Certified Scrum Master (PSM I)
*   Agile Project Manager (ICP-APM)

**Skills**

*   Scrum Framework Implementation
*   Kanban Implementation
*   Project Management Tools & Techniques
*   Report Preparation and Presentation
*   Workshop and Meetup Organization (Lean Startup, Lean Software Development, Agile, Scrum)
*   Team Leadership
*   Communication
*   Project Planning and Coordination

**Experience**

*   Implemented Scrum and Kanban frameworks, project management tools, and techniques across multiple companies and teams.
*   Improved company structures.
*   Prepared, arranged, and facilitated reports, workshops, and meetups focused on Lean Startup, Lean Software Development, Agile, and Scrum methodologies.
"
3147,"**Summary**

Driven professional with one year of experience leading teams and delivering projects in the iGaming and software development industries. Proven ability to build and manage teams, implement agile methodologies, and launch successful ventures. Seeking a challenging role within a creative and collaborative environment that fosters professional growth.

**Experience**

*   **Team Lead & Project Delivery** (Last Year)
    *   Built and managed two teams in Ukraine: an IT engineering team for software development and an operational team for game/platform operations.
    *   Implemented Agile/Scrum frameworks for software development processes.
    *   Provided mentoring, coaching, and team-building support.
    *   Launched and operated a Fantasy Sports startup as a standalone business.
    *   Delivered multiple casino games in Flash and HTML.
    *   Managed four concurrent mobile projects (iOS and Android), encompassing business documentation preparation (presentations, business plans, bids) and development specifications.
    *   Led a team of 20+ members.

**Skills**

*   **IT Practice:** Agile Project Management, Business Analysis, PMBOK, BABOK, SCRUM, Kanban, Waterfall, Mobile & Web SW Development, iGaming & Casino Industry
*   **Business Competence:** Startup and Business Development, Marketing and Sales, Public Speaking, Brand and Product Management, Customer Service, Company and People Management, Team Building, Coaching and Motivation

**Languages**

*   English - Fluent
*   German - Upper-Intermediate
*   Polish - Low-Intermediate
*   Ukrainian - Native
*   Russian - Native
"
3148,"**Summary**

Results-oriented software development professional with over 12 years of experience. Currently serving as an Agile Project Manager and Scrum Master, focused on optimizing project processes, implementing Agile best practices, and leading teams to achieve business objectives. Proven background in software development and architecture, delivering high-quality solutions for US and European clients. Expertise in C/C++.

**Skills**

*   Agile Project Management
*   Scrum Master
*   Project Process Improvement
*   Agile Methodologies Implementation
*   Team Leadership and Coaching
*   Software Development
*   Software Architecture
*   C/C++
*   Communication
*   Consensus Building
*   Conflict Management
*   Adaptability & Learning
*   Networking
*   Problem-Solving
*   Decision-Making
*   Complex Information Communication
*   Stakeholder Liaison

**Experience**

*   **Agile Project Manager & Scrum Master**
    *   Currently focused on improving project processes, developing and implementing Agile best practices across project teams, leading and coaching project teams to deliver results, and driving successful business outcomes.
*   **Software Developer & Architect**
    *   Developed high-quality software for US and European customers for over 10 years.
    *   Participated in various projects.
    *   Proficient in C/C++.

**Languages**

*   English (Excellent)
*   Russian (Native)
*   Ukrainian (Native)
"
3149,"**Summary**

Results-oriented IT professional with 8 years of experience, including 4+ years as an Agile Project Manager and Delivery Manager, skilled in implementing Agile methodologies. Proven ability to drive process optimization and deliver significant improvements in product development.

**Experience**

*   **Agile Project Manager / Delivery Manager**
    *   Implemented Kanban at all organizational levels.
    *   Initiated cultural changes aligned with the Kanban Maturity Model and Evolutionary Change Model.
    *   Increased the count of deliverables by a factor of two.
    *   Reduced Time to Market by one-third.
    *   Utilized Scrum, Kanban, Lean, and other Agile techniques to optimize product development.
    *   Managed atomic Scrum teams.
    *   Led cross-functional units with 40+ FTEs.
    *   Managed organizations with 100+ FTEs.

**Skills**

*   Agile Methodologies (Scrum, Kanban, Lean)
*   Project Management
*   Delivery Management
*   Process Optimization
"
3150,"**Summary**

Results-oriented Delivery Manager and Scrum Master with experience leading and coaching large, cross-functional teams in diverse environments. Proven ability to establish and optimize processes, drive successful project delivery, and foster high team satisfaction. Expertise in Agile methodologies, release management, and project planning.

**Experience**

**Delivery Manager / Scrum Master**

*   Managed and coached three Scrum Teams simultaneously on a project with over 40 team members.
*   Established a Release Management process across three teams and multiple domains/functionalities.
*   Developed and implemented a requirements gathering, processing, and implementation process from inception.
*   Conducted high-level Q-planning.
*   Developed and implemented team performance metrics.
*   Achieved an overall team feedback satisfaction rating of 4.9 out of 5.
*   Led and managed teams of 25+ members in various environments.
*   Led projects in FinTech and Healthcare domains with monthly budgets of $100,000 - $150,000.

**Scrum Master Responsibilities:**

*   Led cross-functional teams, including developers, QA, BAs, and stakeholders.
*   Established peopleware practices, including 1-to-1 meetings and check-ins.
*   Facilitated Agile ceremonies: PBRs, planning, daily stand-ups, retrospectives, and iteration demos.
*   Set up delivery processes and arranged iteration demos.
*   Facilitated communication between development teams and product owners.
*   Conducted Scrum workshops.

**Project Manager Responsibilities:**

*   Created and executed development plans.
*   Processed change requests and managed associated risks.
*   Managed Risk Registers and implemented Risk Mitigation planning.
*   Provided progress reports and communicated changes.
*   Analyzed and documented requirements, including stakeholder interviews and user story mapping.
"
3153,"**Summary**

Results-oriented IT professional with over 11 years of experience in the IT industry. Proven expertise in Agile project management, with over 7 years of experience leading dynamically growing teams utilizing Scrum and Kanban methodologies. Dedicated to continuous professional development through active participation in training programs, both as an attendee and a host.

**Skills**

Agile, Scrum, Kanban, Project Management, Agile Project Management, JIRA, Risk Management, Conflict Management, Change Management, Team Building, Motivation, Applications Deployment

**Personal Statement**

Passionate about fostering growth in others and eager to contribute to a challenging, dynamic, and friendly work environment.
"
3155,"**[Your Name]**

**Summary**

Results-oriented professional with experience in Agile transformation and project management. Skilled in Scrum Master practices and PMBOK methodologies.

**Experience**

*   **Agile Transformation Lead** - Transformed teams of 50+ individuals to Agile methodologies.
*   **Scrum Master** - Served as Scrum Master for 5 teams concurrently.
*   **Project Manager** - Managed projects using PMBOK guidelines.
"
3156,"**Summary**

*   Facilitated collaboration across three teams, enhancing efficiency and self-management, while minimizing interdependencies. Guided teams in achieving sprint goals, increasing readiness, and removing impediments. Ensured effective Scrum events, promoting positivity, productivity, and adherence to timeboxes.

*   Collaborated with three Product Owners to define product and sprint goals, manage the Product Backlog, and facilitate sprint planning. Provided support for stakeholder communication and interaction.

*   Supported organizational agility by promoting understanding of agile methodologies. Implemented best practices, optimized and maintained tools, and streamlined processes. Fostered productive relationships, assisted with recruitment, and facilitated cross-departmental collaboration, removing obstacles to ensure effective teamwork.
"
3157,"**Gulnar Abasova**

**Summary**

Highly motivated individual pursuing a Master's degree in International Project Management at Vilnius University, supported by a Lithuanian State Scholarship. Proven ability to facilitate Agile/Scrum methodologies within cross-functional developer teams. Experience in driving project success through effective communication, schedule management, and adherence to Agile principles. Passionate about contributing to project success, especially within start-up environments.

**Experience**

*   **Scrum Facilitator** (1 year)
    *   Facilitated Scrum events, including sprint planning, daily stand-ups, sprint reviews, and retrospectives.
    *   Managed project schedules and ensured timely completion of deliverables.
    *   Conducted grooming sessions with Product Owners.
    *   Ensured adherence to Agile/Scrum principles.
    *   Oversaw communication between Product Owners and development teams, including testers.
    *   Incorporated team suggestions to improve processes.
    *   Contributed to a doubling of speed to meet deadlines since the company's Agile transition.
    *   Experience with Fintech projects, including internal systems and online banking applications.

**Skills**

*   Agile/Scrum Methodologies
*   Project Scheduling
*   Communication
*   Team Collaboration
*   Notion
*   Jira Atlassian
*   MS Project
*   UX Research
*   Wireframing
*   QA
*   Debugging

**Education**

*   **Master of International Project Management** (Ongoing)
    *   Vilnius University
"
