,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6231,"**PROFESSIONAL EXPERIENCE**

**Project Management Specialist**
Grant Thornton Ukraine, Kyiv | Financial Consulting Department

**Key Responsibilities:**
- Managed stakeholder communication with customers and contractors to ensure project alignment and satisfaction
- Maintained comprehensive project documentation, execution schedules, and tracking of deliverables and milestones
- Collected and analyzed data to support informed decision-making and successful project implementation
- Coordinated and documented work meetings, providing administrative support to project teams
- Prepared detailed reports for stakeholders and leadership

**Notable Projects:**
- Development of monitoring system for Sustainable Development Goals achievement at Kyiv city level
- Anti-corruption policy audits
- Financial statement audits

**TECHNICAL SKILLS**

Microsoft Office | 1C/BAS | CRM Bitrix 24 | Smart Tender

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate

**PROFESSIONAL ATTRIBUTES**

Responsible, attentive, self-motivated, and hardworking professional with proven ability to work effectively in team environments and adapt to challenging situations. Strong analytical capabilities with demonstrated success working both independently and collaboratively.

**TARGET POSITIONS**

Information Technology Manager | Product Manager | Assistant Team Manager | Assistant Project Manager | Project Office Coordinator"
6232,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with proven expertise in Agile and Lean methodologies. Demonstrated success delivering complex educational projects for Fortune 500 clients including Boeing, Ubisoft, and Xpand. Exceptional communicator skilled at stakeholder management, team leadership, and driving project profitability through cost optimization. Adept at managing multiple priorities in fast-paced environments while maintaining quality and timeline commitments.

# KEY ACHIEVEMENTS

• Successfully delivered 20+ educational projects for over 500 members from Fortune 500 companies including Boeing, Ubisoft, and Xpand

# CORE COMPETENCIES

• Agile and Scrum Methodologies
• Lean Methodology Implementation
• Project Planning and Coordination
• Risk Management and Mitigation
• Stakeholder Communication and Alignment
• Team Leadership and Motivation
• Project Documentation and Compliance
• Budget and Cost Management
• Customer Relationship Management
• Performance Monitoring and Optimization
• Workflow Optimization
• Cross-Functional Coordination

# PROFESSIONAL EXPERIENCE

**Project Manager**

• Lead end-to-end execution of educational projects implementing Agile and Scrum methodologies including 1-1 meetings, stand-ups, and retrospectives to drive team motivation and performance

• Apply Lean methodology principles to optimize workflows and drive continuous project improvement

• Collaborate on project design and set-up discussions, identifying key profitability drivers and delivering cost-saving solutions

• Monitor, maintain, and enhance field operations performance to ensure timely and accurate project delivery

• Serve as primary liaison across multiple stakeholders, coordinating project-related communications and ensuring alignment

• Partner directly with customers to clarify requirements, manage expectations, and navigate project changes

• Develop comprehensive project plans, monitor task progress, and strategically prioritize team workload to meet quality and timeline commitments

• Prepare and maintain organized project documentation ensuring compliance and knowledge transfer

• Deliver regular project updates and status reports to leadership and stakeholders

• Coordinate project launch schedules and cross-functional activities

• Identify, assess, and manage project risks while implementing effective mitigation strategies"
6233,"**British Autoclub Assistance, Kyiv – IT Manager**  
September 2018 – March 2019

• Gathered requirements for MVP development across web, mobile app, and CRM system projects
• Conducted black box, grey box, and acceptance testing for delivered features on CRM and app projects
• Managed app project delivery with foreign outsource team, including backlog management, sprint planning, manual testing, and bug tracking
• Supported 1C accountancy management system and new feature development


**Pride International LLC, Kyiv – Project Manager Assistant / QA Manager**  
August 2017 – September 2018

• Facilitated sprint planning and product backlog management
• Executed quality assurance testing during sprint workflows and final product releases
• Resolved app and web-version defects
• Removed team impediments through expertise in control and release processes
• Tracked and communicated team velocity and sprint/release progress to stakeholders and management
• Defined and deployed new product development processes while facilitating continuous improvement


**MBM Partners, Kyiv – Head of Lead Generation and Advertising Departments**  
June 2015 – August 2017

• Directed lead generation and traffic management activities
• Developed strategic guidelines and tactical plans for company social media marketing initiatives
• Provided social media marketing planning, recommendations, and implementation
• Directed script development for social media lead extraction
• Integrated automation and control tools for social media content management"
6239,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4+ years of teaching experience and proven project management capabilities. Fluent in English with excellent written and verbal communication skills. Experienced in managing day-to-day operations, tracking progress against goals, and conducting retrospectives. Seeking to transition into a project management role within a customer-focused, innovative environment.

**PROFESSIONAL EXPERIENCE**

**Self-Employed ESL Teacher/Tutor** | 2018 – Present
- Manage individual and group online English lessons for 20+ children and adult students simultaneously
- Develop customized lesson plans and integrate technology to diversify instruction and enhance learning outcomes
- Track and improve students' reading, grammar, and speaking proficiency, adapting lesson plans for students requiring additional support
- Create monthly academic status reports based on comprehensive student evaluations
- Document student attendance and monitor progress against established learning goals, consistently achieving 80%+ goal completion rate
- Conduct speaking clubs and deliver Business English instruction
- Coordinate day-to-day meetings and manage class schedules for multiple students
- Perform quarterly assessments of student progress with structured retrospectives to improve teaching effectiveness

**Customer Support Specialist Intern** | August 2023
- Provided customer support via text message interface and phone calls using Crisp platform
- Resolved product and service issues to ensure customer satisfaction
- Utilized company CRM system to manage customer interactions
- Gained hands-on experience with sales tools including Email Finder, Email Verifier, Email Warm-up, and Drip Campaigns

**Assistant Social Media Marketing Manager** | Instagram
- Created engaging content and developed marketing copy

**Cashier** | McDonald's, Germany
- Delivered customer service as part of student exchange program ""Work and Travel in Germany""

**SKILLS**

**Project Management:**
- Track project lifecycle and key project management metrics
- Knowledge of methodologies including Scrum, Kanban, and Waterfall
- Understanding of project management roles and functions
- Familiar with principles of the Agile Manifesto and Agile methodology implementation
- Conduct Sprint Retrospectives to drive continuous improvement

**Technical & Professional Skills:**
- Proficient in MS Office suite
- Understanding of copywriting and videography workflows
- Strong multitasking capabilities
- Problem-solving and analytical thinking
- Highly responsible and punctual

**CERTIFICATIONS**

120-Hour TESOL/TEFL Certificate | World TESOL Academy
Accredited by ACCREDITAT & The CPD Certification Service

**ADDITIONAL EXPERIENCE**

Extensive volunteering during university studies, including participation in student startups and volunteer rallies"
6240,"# PROFESSIONAL SUMMARY

Results-driven Project Management professional with demonstrated expertise in SDLC methodologies, team leadership, and project coordination. Skilled in stakeholder engagement, strategic resource planning, and team performance optimization with a proven track record of delivering project excellence.

---

# PROFESSIONAL EXPERIENCE

**People Coordinator**  
Crunch

- Manage stakeholder relationships and strategic project communications as primary point of contact
- Deliver executive project status updates through meetings, stakeholder correspondence, and real-time tracking systems
- Execute resource forecasting, tracking, and planning across concurrent multi-project portfolios
- Analyze project resource requirements and collaborate with cross-functional managers to secure and allocate resources
- Build, lead, and mentor high-performing project teams while driving measurable performance outcomes
- Optimize internal project team assignments to ensure balanced workload distribution and maximize productivity
- Monitor team wellbeing and implement risk mitigation strategies to address turnover, burnout, and interpersonal conflicts
- Provide expert guidance on company social and remuneration policies
- Design and facilitate strategic team building activities aligned with organizational goals

---

# EDUCATION & PROFESSIONAL DEVELOPMENT

**Project Manager Profession | 10.0**  
GeniusMarketing | May 2022

**Basic Course**  
Online Ukrainian School of Project Management by Denys Prylutskyi | July 2022

**Fundamentals of Team and Project Management in IT (Preparatory)**  
Prometheus | October 2021

**Professional Development**  
Ongoing participation in webinars covering SDLC methodologies, team management, and project management practices"
6254,"# PROFESSIONAL SUMMARY

Results-driven marketing and business development professional with expertise in lead generation, social media management, and project coordination. Experienced in managing client accounts, developing targeted advertising campaigns, and creating operational frameworks for teams. Proficient in multiple digital platforms and tools with strong aptitude for strategic planning and cross-functional collaboration.

# PROFESSIONAL EXPERIENCE

**Business Developer/SDR/Sales Manager/Account Manager**
Crypto Marketing Agency

- Managed business development initiatives and client accounts across sales development and account management functions
- Collaborated with cross-functional teams to deliver comprehensive client solutions

**Lead Generation Manager**
Website Development Company | 1 year

- Managed lead generation strategies and campaigns to support targeted client acquisition
- Coordinated with development teams to align marketing initiatives with product delivery
- Supported website development projects through strategic client acquisition efforts

**Social Media Manager**

- Developed and executed social media strategies for corporate clients across multiple platforms
- Created and managed targeted Facebook Ads campaigns to drive engagement and results
- Grew client social media presence and engagement through strategic content management

# SKILLS

**Digital Marketing & Advertising**
- Facebook Ads campaign management
- Social media marketing and management
- Lead generation strategies
- Targeted advertising

**Platforms & Tools**
- Social Media: Facebook, Instagram, LinkedIn
- Project Management: Miro, Asana, Google Meet
- CRM & Sales: Pipe Drive, Expandi
- Design & Documentation: Figma, Google Sheets, Google Docs

**Core Competencies**
- Project planning and coordination
- Team framework development
- Time management and resource allocation
- Strategic ideation and creative problem-solving
- Client relationship management
- Cross-functional communication"
6255,"# Delivery Coordinator | Error Manager | Senior Test Engineer

Results-driven professional with 8 years of specialized experience in automotive embedded systems. Expert in delivery coordination, error management, and test engineering with proven success in stakeholder engagement, team leadership, and project execution. Committed to quality assurance and continuous improvement in automotive product development.

## Professional Experience

**Automotive Embedded Projects Specialist** | 8 Years

- Coordinate delivery schedules and project milestones for automotive embedded systems, ensuring on-time completion and stakeholder alignment
- Manage comprehensive error tracking systems, resolution workflows, and root cause analysis to maintain superior product quality and system reliability
- Lead end-to-end test engineering activities including strategic test planning, execution, and validation for embedded automotive systems
- Serve as primary technical liaison between cross-functional teams and stakeholders, facilitating clear communication and efficient issue resolution
- Direct and coordinate cross-functional teams to optimize workflow efficiency and drive successful project outcomes
- Design and implement structured test plans aligned with automotive industry standards and specifications

## Core Competencies

- Delivery Coordination & Project Management
- Error Management & Quality Control
- Test Planning, Execution & Validation
- Customer Communication & Stakeholder Engagement
- Team Leadership & Cross-Functional Coordination
- Automotive Compliance & Standards
- Root Cause Analysis & Debugging
- Process Improvement & Optimization

## Technical Proficiencies

**Project Management Tools:** Jira, Confluence

**Technical Expertise:** Automotive Embedded Systems, Test Engineering, Error Analysis, Quality Assurance

**Domain Knowledge:** Automotive Industry Standards & Specifications

## Education

**Master's Degree in Automobile/Automotive Mechanics Technology**
National Transport University"
6342,"# PROFESSIONAL EXPERIENCE

**Mrowki-UA**  
Consulting. HR.  
Automation Project Manager | 2021-2022

Managed automation implementation across all company processes and oversaw website development for automation components. Developed messenger bots to streamline communication efficiency.

---

**Interra**  
Online School | www.interra.bz  
Automation Project Manager / Business Analyst | 2020-2022

Analyzed company business processes and recommended transformations. Implemented automation solutions in Bitrix and developed analytics dashboards in Power BI, delivering measurable cost savings, time efficiency improvements, and enhanced service quality.

---

**RublevFamily**  
Quest Franchise | fr.fortfamily.ru  
Automation Project Manager | 2018-2022

Automated franchise sales department processes and scaled automation solutions across all franchise partners' sales departments. Established comprehensive marketing analytics systems to drive business performance.

---

**BizRaise**  
Marketing Agency | bizraise.pro  
Automation Project Manager / Business Analyst | 2017-2018

Optimized and automated business processes across multiple client engagements. Conducted detailed process analysis to establish comprehensive understanding of customer operations. Identified and implemented targeted automation solutions to address client challenges and requirements."
7630,"# MARKETING PROFESSIONAL

## CORE COMPETENCIES

Digital Marketing Strategy | Paid Media Management | SEO & Backlink Strategy | Social Media Marketing | Email Marketing | Market Research & Competitive Analysis | Contractor Management | Content Creation | Campaign Analytics & Optimization | Cross-Functional Collaboration

## PROFESSIONAL EXPERIENCE

**Marketing Manager**
*June 2021 – Present*

• Direct integrated digital marketing campaigns across Google Ads, Facebook Ads, and Instagram Ads, consistently optimizing performance to maximize ROI and drive business growth
• Manage external contractor relationships, ensuring timely delivery of marketing initiatives and seamless execution of project milestones
• Lead comprehensive market research and competitive analysis initiatives to inform strategic marketing decisions and identify growth opportunities
• Architect and execute advanced SEO strategies and backlink campaigns that significantly enhance organic search visibility and performance
• Design and deploy targeted email marketing campaigns via Mailchimp, nurturing prospect relationships and accelerating conversions throughout the sales funnel
• Spearhead multi-platform social media marketing strategies that amplify brand awareness, drive meaningful audience engagement, and support revenue objectives
• Leverage Google Analytics and Tag Manager to monitor campaign metrics, extract actionable insights, and continuously enhance marketing effectiveness
• Partner with cross-functional stakeholders to align marketing strategies with overarching business objectives and ensure cohesive execution

**Marketing Specialist**
*March 2019 – May 2021*

• Implemented and managed high-performing digital advertising initiatives across Google Ads, Facebook, and Instagram platforms
• Optimized website SEO and deployed strategic backlink initiatives that drove measurable increases in organic traffic and search rankings
• Developed compelling marketing content for social media channels and email marketing campaigns that resonated with target audiences
• Executed comprehensive keyword research and competitive landscape analysis utilizing Ahrefs, Serpstat, and SimilarWeb to inform strategy
• Designed and maintained conversion-optimized websites on Tilda, Wix, and Bitrix platforms
• Synthesized complex campaign performance data into comprehensive reports and actionable recommendations for stakeholder review
• Cultivated productive partnerships with external vendors and marketing contractors to extend capabilities and enhance results

## LEADERSHIP & MANAGEMENT SKILLS

• Cross-functional team coordination and collaboration across marketing and business functions to achieve organizational objectives
• Process optimization and system development to enhance operational efficiency and team productivity
• Strategic problem-solving and conflict resolution in dynamic, high-pressure environments
• Stakeholder engagement and relationship management to drive alignment and achieve shared goals

## TECHNICAL SKILLS

**Marketing Platforms & Tools:** Google Ads, Google Ads Editor, Google Tag Manager, Google Analytics, Facebook Business Manager, LinkedIn, Mailchimp, Ahrefs, Serpstat, SimilarWeb

**Web & Design:** Tilda, Wix, Bitrix, HTML (basic), Adobe Photoshop (basic), Adobe Illustrator (basic)

**Business Tools:** Microsoft Excel, Microsoft PowerPoint, SQL (basic)

## LANGUAGES

**Fluent:** Ukrainian, Russian, English, German

**Intermediate:** Spanish, French

## PROFESSIONAL BOUNDARIES

Will not work on gaming, gambling, dating, or fraud-related projects."
7654,"# PROFESSIONAL SUMMARY

Results-driven telecommunications professional with 14 years of experience in B2B customer service, sales, and network coverage management. Proven track record in launching business processes, managing complex stakeholder relationships, and delivering measurable results through analytical problem-solving and strategic negotiation. Committed to building long-term customer relationships through high-quality service delivery.

# CORE COMPETENCIES

- B2B Sales & Customer Service
- Network Coverage Analysis & Planning
- Stakeholder Management & Negotiation
- Business Case Development & Financial Analysis
- Project Coordination & Process Implementation
- Training & Presentation Delivery
- Content Marketing & Copywriting
- English Language Proficiency

# PROFESSIONAL EXPERIENCE

**Network Coverage Specialist - B2B Division**
Telecommunications Company | 14 Years

**Key Accomplishments:**
- Launched business process for managing network coverage requests for B2B customers
- Delivered training courses to colleagues on customer request life cycles for coverage issues
- Facilitated engaging training sessions using examples, visuals, data, and interactive participant engagement

**Business Development & Sales:**
- Manage network coverage requests for corporate customers, ensuring service quality that drives effective sales and long-term customer relationships
- Develop business cases for base station construction projects, including payback calculations, revenue projections, and technical solutions optimization
- Analyze client service relevance and optimize technical solutions

**Project Management & Stakeholder Coordination:**
- Coordinate complex projects involving multiple stakeholders: colleagues, contractors, customers, landlords, and engineers
- Negotiate equipment placement agreements and rental rates with property owners
- Communicate radiofrequency radiation information to stakeholders
- Negotiate with managers at all levels across the organization

**Early Career - Customer Service Division:**
- Gained foundational experience in B2B sales customer service division
- Developed analytical, managerial, and negotiation skills

# PROFESSIONAL DEVELOPMENT

- English Language Studies (March 2018 - Present)
- Content Marketing & Copywriting Course (December 2020)

# CAREER OBJECTIVES

Seeking B2B Sales Manager or Project Manager position to leverage telecommunications expertise, sales acumen, and project management capabilities in an organization offering competitive compensation, high corporate standards, and opportunities to utilize English language skills."
8890,"# Business Analyst / Product Manager

## Core Competencies

**Product & Project Management**
- Product Management & Business Analysis
- Agile Methodologies (Scrum, Kanban)
- Rational Unified Process (RUP)
- Quality Assurance (QA)
- IT Process Optimization
- UI/UX Design

**Technical Skills**
- HTML5, CSS, JavaScript
- Python
- UML
- ERP & CRM Systems

**Tools & Platforms**
- Jira
- Confluence
- Redmine
- Knowledge Base Management

## Professional Interests

Open to opportunities across diverse industries, with preference for sectors outside of Forex, Gambling, Alcohol, and Tobacco."
8916,"# PROFESSIONAL SUMMARY

Results-driven IT professional with 10 years of comprehensive experience spanning government systems implementation, broadcasting technology, and IT distribution management. Proven track record of delivering critical infrastructure projects for governmental organizations, including the Central Bank of Azerbaijan and Treasury of Azerbaijan Republic, while driving business development and channel partnerships in the technology sector.

# PROFESSIONAL EXPERIENCE

## Business Development Manager & Channel Manager
IT Distribution Sector | 5 years

- Developed and executed business development strategies and cultivated channel partnerships within competitive IT distribution industry
- Managed strategic partner relationships and optimized revenue generation activities across multiple technology portfolios

## Project Manager & IT Consultant
Government & Broadcasting Sectors | 5 years

- Led implementation of enterprise card system for Central Bank of Azerbaijan, delivering mission-critical financial infrastructure
- Managed deployment of comprehensive Inventory System for Treasury of Azerbaijan Republic, enhancing operational efficiency
- Directed end-to-end construction and launch of online TV broadcasting system for major broadcasting organization
- Delivered multiple high-impact technology projects for governmental structures of Azerbaijan, ensuring compliance and stakeholder satisfaction

# CORE COMPETENCIES

Project Management • Government Systems Implementation • Business Development • Channel Management • IT Distribution • Banking Systems • Broadcasting Technology • Stakeholder Management • Partner Relationship Management • Strategic Planning • Infrastructure Delivery"
9028,"# PROFESSIONAL SUMMARY

Results-driven BI/DWH professional with 10+ years of experience in reporting and developing business intelligence and data warehouse solutions. Deep expertise in Oracle BI, SAP WEBI, Oracle PL/SQL, and ETL processes. Proven expert across multiple data domains including Financial, Trading, Accounting, and banking business departments.

• 4+ years of experience in Team Lead and Tech Lead positions
• 9+ years in Data Architecture, Data Modeling, and Data Analysis
• Deep understanding of business goals and priorities in financial and product sectors
• Strong experience in writing Technical Design and Requirements documents
• Deep knowledge of agile development practices including Scrum and Kanban
• Proactive in-team communication and leadership skills
• Extensive experience prioritizing requirements with customers

# TECHNICAL SKILLS

**Business Intelligence & Reporting:** Oracle BI, SAP BO, Tableau, Pixel Perfect reporting

**Database & Development:** Oracle PL/SQL, SQL, XML, Visual Basic (VB)

**Data Systems:** Siebel, B2, iFobs, isCard datastructures

**Domain Expertise:** Financial and management banking reports, Bank Accounting, Trading, Financial data domains

**Project Management & Tools:** Jira, SVN, Crucible, Agile, Scrum, Kanban

**Methodologies:** ETL processes, Data Architecture, Data Modeling, Data Analysis"
9066,"# PROFESSIONAL EXPERIENCE

## Tender & Proposal Management

• Provide consulting services for public procurement processes and deliver full cycle tender procedure management

• Manage and coordinate service proposals, including technical and commercial aspects, from issue of calls for tender documents through bid submission

• Direct bid logistics, develop team schedules, and establish responsibilities and expectations for all bid participants

• Serve as primary contact for preparation of technical, commercial, and contractual submissions in collaboration with cross-functional services

• Coordinate and participate in drafting proposal documents

• Ensure quality and compliance of service proposals within stipulated deadlines

• Provide liaison and gather necessary information from internal and external stakeholders, including HR, finance, purchasing, legal services, and partners

• Manage proposal costs and timelines

• Collaborate closely with account directors on service proposals, submission documents, communications, discussions, and client meetings throughout the proposal process and development

• Optimize effectiveness of the service proposal process

• Enhance proposal development tools to increase quality of submission documents and ensure compliance with standards and guidelines"
9445,"**BRANCH MANAGER / PROJECT MANAGER**

Results-driven Branch Manager and Project Manager with over 15 years of experience in the IT industry, leading businesses and development teams of 5-50 people. Proven track record of delivering complex, full-cycle technology solutions across legal, e-commerce, SaaS, and CRM platforms.

**CORE COMPETENCIES**

Project & Product Management | Branch Management | Agile (SCRUM) | Requirements Management | Team Leadership | Business Operations | Full-Cycle Development | Stakeholder Management | Strategic Planning

**TECHNICAL PROFICIENCY**

Atlassian Jira | LAMP Stack | PHP4-5 | SQL | PostgreSQL | AWS | HTML | CSS | jQuery | AJAX | Bootstrap | CVS | Mercurial | Git | Nginx | CMS | CRM

**PROFESSIONAL EXPERIENCE**

**Branch Manager / Project Manager** | 15+ Years

Leadership & Operations
• Led IT teams and business operations with teams ranging from 5-50 people, ensuring successful project delivery and optimal team performance
• Oversaw branch operations and directed cross-functional teams to achieve strategic business objectives

Project Delivery & Management
• Directed full-cycle development of enterprise-level technology solutions across legal, e-commerce, SaaS, and CRM industries
• Managed complex projects utilizing Agile (SCRUM) methodologies and requirements management best practices
• Delivered multiple high-impact technology solutions for diverse client base

**KEY PROJECTS & ACHIEVEMENTS**

**Legal Management System**
Full-cycle multi-attorney workflow platform managing complete case lifecycle from initial claim filing through executive proceedings.

**Tourism Wholesale CRM System**
Enterprise CRM solution for major tourism product supplier supporting hundreds of customers, tens of thousands of products, and multiple warehouse locations across different cities.

**SaaS Management Platform**
Comprehensive management platform designed for fitness centers, dance studios, and similar small businesses.

**E-Commerce Solutions**
Multiple online stores of varying complexity and scale.

**CAREER OBJECTIVE**

Seeking Branch Manager or Senior Project Management position with an established company to leverage extensive technical expertise and proven leadership capabilities."
9542,"# PROFESSIONAL EXPERIENCE

**Digital Marketing Manager**
Genesis, Keiki

- Created and scaled Facebook advertising campaigns, achieving positive return on marketing investment
- Managed $50,000 monthly advertising budget across digital channels
- Collaborated with content manager to develop engaging content that drove campaign performance
- Analyzed key performance metrics and translated insights into data-driven strategic decisions

**Marketing Project Manager**
Silpo

- Planned, executed and monitored multi-channel marketing projects from inception through delivery
- Coordinated cross-functional teams including IT, Design and Operations to ensure seamless project execution
- Developed creative assets for website, targeted advertising, social media, Viber and email campaigns
- Managed end-to-end video production from concept development to final completion, delivering 2 successful campaigns
- Led content creation initiative for comprehensive recipe database featuring 170+ recipes
- Delivered 1 completed project and coordinated development of ""Recipes Silpo"" product

**Brand Manager**
Red Bull

- Developed and executed social media strategy and content direction to enhance brand presence
- Supported planning and execution of brand events to drive consumer engagement
- Conducted comprehensive marketing research to inform strategic brand initiatives
- Managed and processed 437 applications for Red Bull Basement 2021 program

**Project Coordinator**
Volunteer Project

- Created and managed compelling content for website and social media channels
- Led and coordinated core team of 8 members to achieve project objectives
- Built strategic partnerships between companies, universities and students to expand project reach
- Identified, secured and maintained relationships with key project partners
- Tracked and evaluated event success metrics to measure impact and inform future initiatives

# ADDITIONAL PROJECTS

- Completed full website copywriting for Lynksen
- Graduate of Genesis Marketing School"
9546,"**PROJECT MANAGER | COO | EVENT MANAGER**

Currently based in Łódź, Poland | Available for remote work

---

**PROFESSIONAL EXPERIENCE**

**Business Assistant to CEO**  
07/2022 - 09/2022

- Developed company strategy and communication frameworks
- Created and managed operational processes
- Managed 5-person sales team
- Created and executed marketing strategy
- Coordinated cross-functional teams including designers, developers, copywriters, and HR

**Event Project Manager**  
03/2020 - 10/2021  
Ant Hill Event Agency | Kyiv, Ukraine

Led BTL, marketing, and technology projects for major clients including Metro Cash & Carry, Kyivstar, Metinvest, and Intersport

- Managed full project lifecycle from conception to delivery
- Maintained client relationships and communications
- Prepared project budgets, bids, and presentations
- Oversaw turnkey implementation including design creation, production preparation, and technical support
- Developed and directed online production project for Metro Cash & Carry featuring cooking masterclasses for chefs
- Managed 500+ guest conference for Metro Cash & Carry chefs and partners at Odessa Dramatical Theater during quarantine period (2021), coordinating masterclasses with world-famous chefs and lecture programming
- Directed two-month sports olympiad for Metinvest across five cities
- Developed two winning project proposals for Kyivstar tenders totaling over 5 million UAH
- Executed nationwide BTL projects for Metro Cash & Carry

**Co-Owner & COO**  
03/2019 - 09/2019  
Event Agency ""Believe in You"" | Kyiv, Ukraine

- Identified and cultivated relationships with clients, partners, and investors
- Managed budgeting and documentation
- Directed website development and brand identity design
- Supervised event execution and team management

**Project Manager & COO**  
03/2016 - 12/2018  
TAG (Ukrainian Startup) | Kyiv, Ukraine

- Recruited and onboarded employees
- Managed team operations and task allocation
- Led full-cycle product and project development
- Administered budgeting and project documentation
- Prepared development stage reports
- Advanced product to pre-release stage
- Presented project at international exhibitions, roadshows, and to potential investors, including London Road Show (2018)
- Built development team with limited investment resources

---

**KEY COMPETENCIES**

**Project & Operations Management**
- Team leadership for teams up to 25 people
- Full-cycle project and product management
- Budget management, including zero-budget projects utilizing investor attraction, fundraising, collaborations, and barters
- Candidate selection and interviewing
- Emergency situation management and problem solving

**Communication & Stakeholder Management**
- Public speaking and presentation delivery
- Client relationship management
- Conflict resolution utilizing conflictology, mediation, and psychology principles
- Cross-functional team coordination

**Strategic & Analytical Skills**
- Analytical and critical thinking
- Strategic planning and execution
- Process development and optimization
- Empathy and active listening

**Professional Development**
- Developed and delivered trainings for IT beginners: ""How to Pass Interview"" and ""Dream Team - Myth or Reality?""
- Complete 2-3 educational programs annually in psychology, marketing, brand & product management, philosophy, and technologies

---

**CAREER OBJECTIVES**

Seeking Project Manager or Event Manager roles in IT development. Open to Junior PM position to update IT project management skills with growth opportunity. Focused on joining collaborative teams creating useful and impactful products.

I do not work with companies that cooperate with russia or have russians among their employees."
9547,"# PROFESSIONAL EXPERIENCE

**Philip Morris Ukraine — Brand Executive, Marketing**  
*2 years*
- Launched L&M Double Mix, achieving target share of market
- Developed and executed Hostess Project twice, generating 20,000 consumer contacts per month
- Managed continuous brand support for Parliament

**Philip Morris Ukraine — Project Manager Specialist, HR**  
*2 years*
- Designed and launched nationwide internship program, increasing graduate retention from 50% to 70%
- Designed and launched global internship program, achieving 80% graduate retention rate
- Launched Philip Morris Business Academy with nationwide roll-out, achieving Net Promoter Score of 90%
- Led Employee Value Proposition roll-out, adapting global framework to local market, and launched Employee Ambassador program

**Philip Morris Ukraine — Customer Care, Sales**  
*8 months*
- Managed customer relationships and supported sales operations

**Nestle Ukraine — Purchasing Department**  
*6 months*
- Supported procurement operations and supplier coordination

# CAREER OBJECTIVE

Seeking challenging projects with ownership opportunities on a collaborative, open-minded team that values initiative and drives meaningful business impact."
9583,"# PROFESSIONAL SUMMARY

Results-driven leader with proven expertise in project management, business development, and multi-location operations. Demonstrated success in designing and implementing enterprise-level systems from concept to national deployment. Skilled in building high-performing teams, optimizing procurement operations, and providing strategic direction across diverse organizational settings.

# PROFESSIONAL EXPERIENCE

**Project Manager** – Distance Selling System Development  
Led comprehensive development and implementation of distance selling system from initial concept through national-scale deployment. Managed all phases of project lifecycle including requirements gathering, system design, vendor coordination, and stakeholder engagement. Directed cross-functional teams to deliver on-time, on-budget deployment across multiple markets.

**Manager / Head of Department** – Construction Supermarkets Network  
Designed and implemented procurement system across multi-location retail network. Optimized supply chain operations and drove efficiency improvements while managing departmental staff and resources. Established vendor relationships and standardized purchasing processes to reduce costs and improve inventory management.

**Private Business Owner** – Electronic Diary Project  
Founded and scaled ""Electronic Diary"" system implementation across schools in Kharkiv. Oversaw all aspects of business development, operations, and client delivery. Managed sales pipeline, client relationships, and technical implementation while ensuring sustainable business growth.

**Director** – Scientific Institution  
Directed operational management and provided strategic leadership for scientific institution. Managed organizational resources, human capital, and budgets while guiding institutional priorities and long-term planning initiatives.

# CORE COMPETENCIES

**Leadership & Management:** Team Leadership | Human Resources & Recruitment | Remote Team Management | Organizational Development  
**Strategic Planning:** Project Development from Inception | Budgeting, Analysis & Planning | Financial Management | Business Strategy  
**Operations:** Procurement & Sales | Supply Chain Optimization | Transaction Support | Document Preparation  
**Analysis:** Information Analysis & Structuring | Data-Driven Decision Making

# PROFESSIONAL STRENGTHS

Committed to continuous professional development and driving organizational growth. Adaptable problem-solver with flexible approach to complex challenges. Proven ability to bridge technical and business requirements while maintaining focus on strategic objectives."
9587,"**PROFESSIONAL SUMMARY**
Results-driven Project Manager with extensive experience leading internal, national, and international projects and project portfolios. Proven track record of successfully delivering 40+ projects utilizing Waterfall and Agile methodologies (XP, Scrum).

**CORE COMPETENCIES**
• Project and Portfolio Management
• Business Process Analysis, Design, Implementation, and Optimization
• IT Service Optimization and Procedure Development
• Waterfall and Agile Methodologies (XP, Scrum)
• Production System Automation and Deployment
• ITIL, CobIT, and ISO Standards Deployment and Adaptation
• Telecommunications Network Planning and Organization
• Team Leadership and Management

**TECHNICAL EXPERTISE**
• Microsoft Exchange, Active Directory, System Center, SharePoint, SQL Server
• IT Service Implementation and Support
• Production Automation Systems
• Business Analytics and Quality Assurance
• IT Administration

**CERTIFICATIONS**
• Project Management Professional (PMP)
• IPMA Level C
• ITIL Foundation
• Microsoft Certified Technology Specialist (MCTS)

**PROFESSIONAL DEVELOPMENT**
Continuously advancing expertise in project management, business analytics, quality assurance, and IT administration."
