,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
98398,"# Professional Summary

Detail-oriented designer passionate about crafting simple, intuitive, user-friendly interfaces. Skilled in end-to-end design processes encompassing research, user flows, wireframes, and prototyping.

---

# Skills

**Design:** UI/UX Design · User Research · User Flows · Wireframing · Prototyping · Animation · 3D Modeling

**Tools:** Figma · Clickable Prototypes

---

# Experience

**Freelance Designer**

- Deliver comprehensive design solutions from initial concept through final completion
- Create polished layouts, interactive clickable prototypes, and engaging animations
- Apply user-centered design methodology through research, user flows, wireframes, and prototyping

---

# Core Competencies

- Problem-solving through design
- Meticulous attention to detail
- Cross-functional team collaboration
- Process optimization and efficiency"
98399,"# RESUME

## Professional Experience

**UI/UX Designer Intern**
6-Month Internship
- Applied user interface and user experience design principles in a professional environment, bridging creative vision with functional design

**Translator**
Marriage Agency | April 2023 – August 2023
- Delivered translation services to facilitate cross-cultural client communication, ensuring clarity and cultural sensitivity

**Assistant Architect**
June 2022 – August 2022
- Developed comprehensive architectural layouts using industry-standard software
- Produced detailed project plans and architectural drafts to support project execution

**Freelance Artist**
January 2019 – August 2021
- Created custom paintings, portraits, and logo designs for diverse clientele
- Managed end-to-end client relationships from consultation through project delivery, demonstrating strong communication and organizational skills"
98400,"# PROFESSIONAL RESUME

## SKILLS

**Design & Creative Tools**
Adobe Photoshop | Figma | Zeplin | Webflow

**Core Competencies**
Graphic Design | Website Development | Photography | Visual Identity Development | Brand Storytelling

## PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer | Hilding Company**
- Develop brand storytelling strategies and cohesive visual identity systems that strengthen client market positioning
- Design custom icons and graphics optimized for Amazon store product listings to enhance visibility and conversion

**Content Creator & Photographer | Sport Clothing Shop**
- Produce visual content and photography for retail marketing campaigns across multiple channels

**Commercial Photographer | Restaurant**
- Deliver professional photography showcasing food presentation and dining atmosphere

## VOLUNTEER EXPERIENCE

**International Exchange Programs**
- Participate in cross-cultural exchange initiatives fostering international collaboration

**BookForum & Children BookForum**
- Support literary community events and programming promoting literacy engagement"
98401,"# Professional Experience

**Freelance, Implants & Surgeons**
Web Designer | UI/UX Designer
2022 - 2023

- Partnered with IT teams to design and deliver e-commerce platforms, service websites, and high-converting landing pages
- Spearheaded UX process development initiatives, establishing scalable design best practices
- Executed comprehensive manual UI/UX testing to ensure optimal functionality and seamless user experiences

**Famart Group**
Web Designer | UI/UX Designer
2021 - 2022

- Designed and developed a complete end-to-end product sales platform, guiding the project from initial concept through successful launch
- Produced website designs and advertising creative aligned with marketing campaign objectives
- Delivered professional photo retouching to elevate visual content and strengthen brand presentation
- Optimized UI/UX workflows and streamlined client journeys, driving improved conversion rates and user engagement"
98402,"# **PROFESSIONAL SUMMARY**

Project and Product Manager with four years of experience managing 74 web projects simultaneously. Proven expertise across all stages of development, including mobile application leadership. Transitioning into UI/UX Design with formal training and professional experience.

---

# **EXPERIENCE**

## **UI/UX Designer — Freelance**
- Design high-converting landing pages and e-commerce platforms
- Develop interactive prototypes to validate user flows and functionality
- Build responsive websites using Tilda
- Create cohesive brand identities including logos, business cards, and advertising materials

## **UI/UX Designer — Netpeak Group**
- Designed blog and review websites across multiple content verticals
- Developed landing pages on Tilda optimized for user engagement
- Created logos aligned with brand strategy

## **Project/Product Manager — Netpeak Group**
- Led cross-functional teams through complete mobile application and website development lifecycles
- Managed end-to-end workflow from technical requirements through production deployment, including prototyping, design, development, and testing
- Executed manual product testing to ensure quality standards
- Established clear communication channels across all project stakeholders
- Facilitated Agile ceremonies including retrospectives, backlog grooming, and planning poker
- Developed prototypes to align team vision and accelerate development
- Leveraged Google Analytics and AppsFlyer to drive data-informed decisions
- Conducted competitive analysis using App Annie, Alexa, and Sensor Tower to inform product strategy

---

# **SKILLS**

Tilda · Prototyping · Brand Identity Design · Google Analytics · AppsFlyer · App Annie · Alexa · Sensor Tower · Agile Methodology · Cross-Functional Team Leadership · Manual Testing

---

# **EDUCATION**

**Projector School** — UI/UX Design (Four courses completed)

---

# **SEEKING**

Challenging projects, professional growth, well-organized processes, and a collaborative team within a mission-driven organization."
1747,"# PROFESSIONAL SUMMARY

Entrepreneurial leader with 8 years of experience building and scaling businesses from the ground up. Founded and grew a coffee shop chain through successful exit. Established and operated an export-oriented manufacturing business specializing in 3D printing technologies.

---

# CORE COMPETENCIES

**Operations & Project Management**
- Strategic planning, prioritization, and goal setting
- End-to-end project execution and delivery
- Budget development and financial oversight
- Team delegation and performance management
- Agile methodologies: Scrum, Kanban, Waterfall

**Technical Proficiencies**
- Game design with working knowledge of Unreal Engine 4 and Unity
- 3D modeling, UV mapping, and animation in Blender
- Linux node administration

---

# LEADERSHIP & INTERPERSONAL SKILLS

- Critical thinking and analytical problem-solving
- Strategic decision-making under pressure
- Cross-functional communication and stakeholder alignment
- Team leadership, mentorship, and coaching
- Risk assessment and mitigation
- Customer and user needs analysis
- Time management and prioritization

---

# LANGUAGES

English – Intermediate (B1)"
1784,"# Professional Experience

## Creative Design & Production

**3D Artist**
- Developed realistic 3D models and animations, elevating project quality and visual impact

**Graphic Designer**
- Created visual assets aligned with project requirements and brand objectives

**Videographer & Video Producer**
- Captured and edited video content with meticulous attention to detail
- Crafted compelling visual narratives demonstrating technical proficiency

## Digital Marketing

**Digital Marketing Specialist**
- Strategized and executed marketing campaigns driving traffic engagement, enhancing brand awareness, and generating leads
- Leveraged digital marketing tools and platforms to optimize campaign performance

## Event Organization

**Music Art Festival** — Azerbaijan
- Organized festival showcasing regional music culture

**DokuBaku International Documentary Film Festival**
- Contributed to promoting documentary filmmaking

## Startup Experience

**Startup Collaborator**
- Thrived in fast-paced startup environments
- Cultivated a versatile skill set and entrepreneurial mindset
- Developed comprehensive understanding of startup challenges and opportunities

---

**Core Competencies:** 3D Art | Graphic Design | Video Production | Digital Marketing | Event Organization | Startup Collaboration"
2476,"# Client Success Manager

## Professional Summary

Strategic client partner dedicated to driving IT project success and elevating eCommerce performance for enterprise merchants. Expert in cross-functional collaboration, engineering team leadership, obstacle removal, and building trusted, long-term client relationships that fuel business growth.

## Professional Experience

**Client Success Manager**

Directed the health and growth of large US-based enterprise accounts, managing 3–4 accounts simultaneously with 30–50 dedicated engineering professionals across multiple teams.

Drove account and team growth through strategic improvement initiatives, high-performing team development, and client process optimization that expanded partnerships and delivered measurable results.

Mentored numerous professionals who advanced to engineer and solution architect roles.

- Managed multiple enterprise accounts across varying engagement models, overseeing all aspects of client relationships from initiation through expansion
- Analyzed business pain points and developed strategic roadmaps aligned with client objectives
- Led opportunity initiation, including proposal and statement of work development
- Delivered executive reporting and business reviews to senior stakeholders
- Conducted project scope analysis with proactive risk and issue management
- Coached and developed engineering teams to optimize performance and delivery

## Technical Expertise

- Software development methodologies and lifecycle
- Platforms: Salesforce, IBM WebSphere, Magento"
2515,"**PROFESSIONAL SUMMARY**

Experienced professional with a strong background in client relationship management, project coordination, and cross-functional collaboration. Proven ability to maintain long-term business partnerships, resolve complex customer issues, and coordinate platform integration projects. Seeking to leverage these skills in a project management role.

---

**KEY COMPETENCIES**

Client Relationship Management & Retention | Project Coordination & Implementation | Cross-Functional Team Collaboration | Issue Resolution & Troubleshooting | Sales Support & Documentation Management | Stakeholder Communication

---

**PROFESSIONAL EXPERIENCE**

- Build and maintain long-term business relationships, driving client retention and partnership growth
- Coordinate client onboarding and platform integration projects, ensuring timely delivery and stakeholder alignment
- Serve as liaison between clients and development teams, facilitating seamless communication and project execution
- Resolve complex customer issues efficiently, maintaining high satisfaction levels
- Execute sales and customer retention initiatives that support business objectives
- Manage sales documentation, including agreements, contracts, and invoices

---

**TECHNICAL PROFICIENCY**

Zoho | Jira | Confluence | SAP | 1C

---

**CAREER OBJECTIVE**

Transitioning into project management to apply coordination, communication, and client-focused expertise in delivering successful projects."
2517,"**PROFESSIONAL EXPERIENCE**

**Project & Client Relationship Management**

- Direct workflow processes, timelines, and deliverables across up to 15 concurrent projects, ensuring successful execution from initiation through completion
- Proactively identify and mitigate potential risks while delivering regular progress updates to stakeholders
- Cultivate long-term client relationships through consistent engagement and strategic account management
- Drive revenue growth by identifying client needs and aligning solutions through cross-selling and upselling initiatives

**Business Development & Sales**

- Generate new business opportunities through targeted outbound lead outreach and inbound inquiry management
- Lead full sales cycle from initial contact through proposal presentation to deal closure
- Prepare and negotiate client agreements and contracts, securing mutually beneficial partnerships"
2529,"# Professional Summary

Analytical professional skilled in strategic communication, cross-functional collaboration, and project management. Delivers measurable results through strategic thinking and stakeholder-focused partnerships.

# Core Competencies

**Strategic Communication** | **Cross-Functional Collaboration** | **Project Management**

# Professional Experience

Progressive career across diverse roles, applying core competencies to drive results.

# Professional Values

Committed to building professional relationships grounded in mutual respect and transparency to achieve optimal stakeholder outcomes.

---

Available to discuss opportunities. Thank you for your consideration."
2538,"**PROFESSIONAL SUMMARY**

Results-oriented recent graduate with over two years of experience in e-commerce operations and international partner relations. Proven expertise in market research, supplier negotiation, cost-saving strategy development, and supply chain optimization. Demonstrates strong critical thinking abilities and composure in high-pressure environments.

---

**PROFESSIONAL EXPERIENCE**

**E-Commerce Operations & International Relations**

- Led eBay marketplace expansion project to successful completion
- Optimized supply chain operations, delivering measurable cost savings through logistics improvements
- Negotiated with Asian suppliers to enhance product quality standards, achieving documented improvements
- Managed re-importation processes to the United States, eliminating duplicate tax obligations
- Directed market expansion initiatives across multiple countries and marketplaces
- Prepared legal documentation to maintain platform selling compliance
- Coordinated organizational registrations across European Union jurisdictions
- Executed strategic planning and product quality improvement programs

---

**CORE COMPETENCIES**

Market Research & Analysis | Supplier Negotiation | Cost-Saving Strategy Development | Supply Chain Management | Amazon Platform Operations | eBay Marketplace Management | International Partner Relations | Regulatory Compliance | Strategic Project Management"
2551,"# PROFESSIONAL SUMMARY

Results-driven professional with 3+ years of in-house legal experience at an IT Product Company, integrating expertise in Data Privacy, Intellectual Property, Commercial Law, and Contract Law with comprehensive knowledge of the full SDLC. Skilled at building cross-functional relationships and collaborating with international companies and customers. Demonstrated managerial and recruitment capabilities with strong organizational skills, attention to detail, and adaptability across various managerial methodologies. Currently transitioning to Account Management.

---

# PROFESSIONAL EXPERIENCE

## Project Manager Assistant | Vayosoft Team

- Managed end-to-end contract lifecycle, including RFP/RFI documentation
- Collaborated with procurement teams on supplier negotiations and contractor evaluations in accordance with company procedures
- Facilitated team meetings, tracked action items, and prepared reports and presentations for upper management
- Contributed to product development from inception through MVP to application enhancement

## Legal Counsel | Benish Group

- Advised on corporate policy matters and conducted legal risk analysis, delivering strategic recommendations to minimize company exposure
- Partnered with cross-functional teams—developers, analysts, marketing managers, and leadership—to implement risk-reduction initiatives
- Managed relationships with customers, business partners, and service providers across multiple jurisdictions
- Drafted Terms of Use, Privacy Policies, and Service Provision Rules compliant with GDPR requirements
- Supported product development and business process optimization across the company group
- Ensured legal compliance across personal data protection, intellectual property, marketing, sales, payments, and consumer rights
- Oversaw contractual activities including legal review and contract drafting aligned with local legislation and internal standards"
2553,"**PROFESSIONAL SUMMARY**

Results-driven professional combining IT operations expertise with people management and business development capabilities. Delivers hands-on project management in outstaff environments while building strong client relationships and driving team performance across international B2B engagements.

---

**PROFESSIONAL EXPERIENCE**

**Business Development Manager / Project Manager**
*Outstaff Projects*

**People Management & Leadership**
- Conducted one-on-one meetings and performance reviews to drive individual and team growth
- Monitored sprint processes and tracked team progress against deliverables
- Cultivated a positive work environment while leading and motivating team members

**Talent Acquisition & Onboarding**
- Conducted interviews for technical and non-technical positions
- Facilitated seamless integration of new hires into company culture and workflows

**Account & Client Management**
- Managed project accounts through full lifecycle from initiation to closure
- Negotiated solutions and resolved conflicts to maintain strong customer relationships
- Delivered end-to-end customer support from initial contact through project completion

**Business Development**
- Delivered company presentations to prospective clients and partners
- Prepared estimation documents and outstaff deal documentation
- Sourced outstaff project opportunities and cultivated strategic partner relationships

---

**CAREER OBJECTIVE**

Seeking a project management position within an outsource company to advance expertise in B2B operations and international client relations."
2554,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4 years of B2B international communication and sales experience. Bridges client needs and technical execution by combining strong account management expertise with foundational UI/UX design skills. Seeking an Account Manager or Junior Project Manager position in the development/design field.

---

**SKILLS**

- Account Management & B2B Sales
- International & Cross-Cultural Communication
- Team Building & Collaboration
- Public Speaking & Presentations
- Problem-Solving
- Agile Methodologies (SDLC)
- Web & Mobile UI/UX Design & Prototyping

---

**TOOLS**

CRM | Figma | Axure RP | Adobe Photoshop | Canva | Trello | Slack | Google Docs | Coggle

---

**EDUCATION**

Master's Degree in Foreign Economics

---

**CERTIFICATIONS**

- Business Analytics Certificate
- Web & Mobile UI/UX Design Certificate

---

**INTERESTS**

Business Solutions Development | Web & Mobile UI/UX Design | Prototyping | Cross-Cultural Communication"
2555,"**PROFESSIONAL PROFILE**

Results-driven professional with 11 years of combined experience in sales, customer support, and project management. Proven track record of career advancement, demonstrated through promotion from Customer Support/Account Manager to Support Team Lead. Skilled in lead generation, outbound sales, and support operations across Western European and US markets within chemical raw materials distribution and EdTech industries.

---

**PROFESSIONAL EXPERIENCE**

**Project Manager** | EdTech Industry | 1 Year

- Directed lead generation, outbound sales, and support operations for secondary and higher education sectors across Western European and US markets

**Support Team Lead** | EdTech Industry | 5 Years

- Promoted from Customer Support/Account Manager based on performance
- Led service delivery operations across Western European and US markets

**Sales Assistant** | Chemical Raw Materials Distribution | 5 Years

- Supported sales operations within international companies

---

**TECHNICAL SKILLS**

**CRM & Business Systems:** IBS, SAP, Zoho, Kommo CRM
**Project Management & Collaboration:** Confluence, Jira
**Design Tools:** Canva
**Programming:** General knowledge of programming concepts (Java)

---

**CAREER OBJECTIVES**

- Seeking long-term professional growth and advancement opportunities
- Collaborative team contributor who thrives in positive work environments"
2556,"**PROFESSIONAL EXPERIENCE**

**Account Manager**

- Managed end-to-end client relationships through strategic email correspondence, cold and warm calling, and tailored product demonstrations
- Developed and executed engagement strategies to maximize product adoption and client retention
- Created website content, including blogs and tutorials, to support marketing initiatives
- Conducted application testing and maintained company profiles to ensure platform integrity
- Delivered responsive client support by addressing inquiries and resolving application-related issues
- Portfolio available upon request

**Sales Support Agent**

- Conducted market research across Ukrainian and Russian territories to identify growth opportunities and support British company expansion into Eastern European markets
- Cultivated B2B sales opportunities through direct engagement with business owners and key decision-makers
- Maintained reporting and documentation to support sales operations

**Customer Support Agent**

- Resolved thousands of customer service issues across USA, Canada, and Great Britain markets via telephone and email communication
- Managed customer profiles, subscriptions, and refund processing while operating CRM systems and maintaining data integrity
- Performed quality assurance by analyzing calls from outsource partners and identifying system errors
- Ensured customer satisfaction through follow-up and issue resolution
- Compiled reports and documentation to support operations"
2577,"# PROJECT COORDINATOR & E-COMMERCE MANAGER

## Summary

Results-oriented project coordinator with expertise in workflow optimization, standard operating procedures development, and team leadership. Demonstrated success in Salesforce database administration and concurrent management of multiple e-commerce operations across global markets.

---

## Professional Experience

### Project Coordinator | Upwork Premium Services

- Drove service efficiency improvements through contrastive analysis and data-driven reporting
- Delivered comprehensive administrative support ensuring seamless program operations
- Maintained lead database integrity through accurate Salesforce data imports and ongoing management
- Monitored team performance metrics, tracking overdue tasks and tickets to ensure accountability
- Resolved high-value escalations from internal teams, protecting client relationships
- Identified and implemented targeted process improvements

### Online Store Project Manager | Remote

- Streamlined workflow processes while maintaining high-quality customer service standards
- Executed high-volume, time-sensitive deliverables with consistent accuracy
- Administered backend panel operations ensuring optimal store functionality
- Managed hosting infrastructure including dedicated servers and first-line technical support
- Coordinated dispatch management and resolved support tickets to maintain customer satisfaction

### Talent Agent Admin & Talent Specialist | Upwork

- Sourced high-caliber talent for internal teams and clients across global markets
- Conducted video interviews with freelancers across the Americas, Europe, and Asia
- Created and managed Jira tickets to track projects and maintain workflow transparency
- Optimized operational processes to elevate program efficiency and quality standards
- Developed and maintained SOP documentation ensuring consistent team performance

### Magento E-Commerce Project Manager

- Directed development team through task creation and assignment, driving UI optimization
- Partnered with SEO and marketing teams to align technical and promotional strategies
- Led performance review meetings to maintain team accountability and professional development
- Cultivated partnerships with manufacturers and suppliers worldwide
- Administered inventory levels, payment configuration, and shipping methods within Magento
- Managed end-to-end order fulfillment including dispatch, refunds, and customer complaint resolution"
2582,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY

Project management professional with a PhD in Economics and proven expertise in educational program development, client relationship management, and cross-functional coordination. Translates market research and client needs into actionable strategies that drive measurable outcomes. Committed to contributing to mission-driven organizations that create opportunities and generate positive impact.

---

## PROFESSIONAL EXPERIENCE

### Project Manager | Ukrainian Social Academy
*July 2019 – March 2020*

- Directed end-to-end educational program development encompassing concept design, structural architecture, learning objectives, content sequencing, and outcome metrics
- Executed competitive market analysis and qualitative research initiatives, including interview framework design, in-depth stakeholder interviews, and synthesis of actionable insights
- Built comprehensive client profiles through target audience segmentation, behavioral analysis, and value proposition mapping
- Managed complete expert engagement lifecycle from requirements definition through proposal evaluation and program refinement negotiations
- Orchestrated promotional strategy development and execution across multiple stakeholder groups
- Developed product budget projections and conducted client needs assessments through direct communications
- Produced social media marketing content and led user testing initiatives for company website

### Project Manager | EdEra
*April 2019 – May 2019*

### Account & Project Manager | Kyiv-Mohyla Business School [kmbs]
*May 2016 – July 2018*

- Managed Executive Development Programs through complete lifecycle: scheduling, promotion, delivery, analysis, and continuous improvement
- Directed multiple concurrent projects while maintaining quality standards and delivering exceptional client service
- Translated client expectations and business objectives into strategic advisory support
- Partnered cross-functionally with Marketing and Finance departments to execute programs seamlessly
- Represented the school at external events, advancing business development and client engagement initiatives
- Analyzed client feedback to drive product improvements; presented retrospective analyses to senior leadership
- Mentored new team members and developed promotional content
- Administered CRM system, company website, and Learning Management System

**Key Achievements:**
- Redesigned medium-term program structure, enhancing content comprehension and enabling participants to implement business changes more effectively
- Selected for CRM implementation team; led testing, bug reporting, and user interface design aligned with departmental requirements
- Appointed to evaluation commission assessing participant graduation projects

### Intern | Presidential Administration of Ukraine
*November 2014 – July 2015*
USAID Rada Program & Liga Interniv

---

## EDUCATION

**PhD in Economics** (Candidate of Economic Sciences), 2018

---

## CERTIFICATIONS & PROFESSIONAL DEVELOPMENT

**Language Proficiency:** IELTS Academic 7.0

**Coursera Certifications:**
- An Introduction to Marketing
- Critical Perspectives on Management
- Critical Thinking in Global Challenges
- A Beginner's Guide to Irrational Behavior
- Games without Chance: Combinatorial Game Theory
- Fundamentals of Global Energy Business"
2583,"**PROFESSIONAL SUMMARY**

Account and digital marketing professional with over 4 years of experience in B2B/B2C environments, specializing in AdTech and Crypto products. Proven track record in email marketing, communications, and digital marketing project management. Delivers measurable results in client acquisition, revenue growth, and operational optimization while excelling in fast-paced environments alongside high-performing teams tackling complex challenges.

---

**PROFESSIONAL EXPERIENCE**

**Account Project Manager**
Genesis – Sendios.io

- Redesigned and optimized account flow for client task management across the entire team, driving improved operational efficiency

**Product Manager**
Coreteka

- Led successful launch of updated company website, managing the project from concept to completion

**Sales and Account Manager**
BitMedia

- Drove 20% growth in advertiser spend across the entire network
- Implemented and configured Pipedrive CRM system, streamlining sales operations and enhancing pipeline visibility

**User Acquisition Manager**
MGID

- Closed 2x more clients than colleagues for 3 consecutive months
- Spearheaded team education initiatives, delivering presentations and training programs to elevate team capabilities

---

**SKILLS**

Email Marketing | Communications | Digital Marketing Project Management | CRM Implementation | Client Acquisition | Team Training & Development | B2B/B2C Strategy | AdTech | Cross-Functional Collaboration

---

**CAREER OBJECTIVE**

To leverage proven account management and digital marketing expertise in a Project Manager or Retention Manager role, driving user retention strategies and product development initiatives."
2584,"# Professional Summary

Results-driven Project Management professional with extensive experience building, maintaining, and executing digital marketing campaigns. Delivered 143 projects totaling $310,000 USD in managed budgets while simultaneously overseeing up to 56 concurrent projects. Expert in strategic planning, budget management, and cross-functional coordination. Skilled at partnering directly with clients to ensure project objectives are achieved within scope and budget parameters.

---

# Skills

- **Project Management Tools:** Teamwork, Asana, Notion
- Multi-project coordination and prioritization
- Budget management and financial oversight
- Client relationship management
- Team mentorship and training development
- Market research and business development

---

# Professional Experience

## Lead Account Executive

- Established strategic partnerships by influencing stakeholders and advocating for company priorities
- Developed customer acquisition and retention strategies
- Conducted market research and analysis to create business plans identifying sales opportunities

## Project Manager

- Led cross-functional teams of 10–15 members to deliver successful marketing campaigns across 143 completed projects
- Managed budgets totaling $310,000 USD while coordinating up to 56 concurrent projects
- Directed strategic goals and tactical decisions through weekly cross-functional meetings
- Mentored 3 Junior Project Managers, advancing one team member to mid-level position
- Designed and delivered company-wide training on negotiation techniques and troubleshooting

---

# Key Achievements

- **143** projects completed
- **$310,000 USD** in total managed budgets
- **56** projects managed simultaneously
- **3** Junior Project Managers mentored"
2585,"**PROFESSIONAL SUMMARY**

Results-oriented professional with expertise in project management, marketing, and sales. Proven track record of delivering 50% revenue growth in competitive markets and managing large-scale integration projects. Combines business process acumen across Marketing, Sales, and IT with hands-on Agile/Scrum experience and international team collaboration.

---

**PROFESSIONAL EXPERIENCE**

**Head of Business Development**

- Lead and manage a team of sales and account managers, driving performance across multiple revenue streams
- Delivered 50% revenue growth in assigned market through strategic business development initiatives
- Manage large-scale integration project with top European ECM software solution provider, coordinating cross-functional teams and stakeholder relationships

---

**CORE COMPETENCIES**

Project Management | Marketing & Sales Strategy | Business Process Optimization | Agile/Scrum Methodology | Cross-functional Team Leadership | International Team Collaboration

---

**EDUCATION**

**Master's Degree (International)** — Germany
Grade: Very Good

**Bachelor's Degree** — Germany

**Multilingual Certification:** German/English

---

**PROFESSIONAL DEVELOPMENT**

- Online Marketing
- Scrum
- Agile Project Management
- Lean Project Management

---

**INTERESTS**

Continuous skill development in emerging information technologies | International collaboration and travel"
2586,"**PROFESSIONAL SUMMARY**

Results-driven Account Project Manager with 7 years of experience in client service and project management. Expert in strategic media planning across TV, OOH, Radio, and Digital channels with proven ability to coordinate cross-functional teams of 20+ members on complex campaigns and high-volume projects.

---

**PROFESSIONAL EXPERIENCE**

**Account Project Manager**
Vizeum (Dentsu) | 1.6 years

- Lead end-to-end project coordination between Agency and Client through development, approval, and implementation phases
- Direct complex client management and media strategy planning across TV (TV Sponsorship), OOH, Radio, and Digital channels
- Manage daily communication and service delivery for local and global client and customer teams

**Senior Account Manager**
Adsapience | 3.1 years

- Developed brand and product promotion concepts while building scalable operational process structures
- Maintained continuous collaboration with 4-5 cross-functional teams spanning product development, creative, digital, production, legal, and logistics
- Coordinated and trained teams of 20+ members; managed quality control for middle managers
- Led mass BTL, B2B, and B2C events and partner integrations
- Coordinated web developers for website and app development
- Prepared project budgets and delivered improved solutions through strategic problem resolution
- Processed client requests and supervised national teleconferences

**Account Manager**
TMA Ukraine | 1.9 years

- Managed 318 projects for a major Kyiv shopping and entertainment center serving up to 55,000 daily visitors
- Developed and executed full-cycle marketing promotions and trade-marketing initiatives from concept through implementation"
2587,"**ACCOUNT & PROJECT MANAGER**

---

**Professional Experience**

**Account & Project Manager**
Dutch SaaS Company

- Advise international clients on software solutions and market developments for supply chain risk mapping and data verification
- Prepare budgets and manage end-to-end project delivery, coordinating cross-functional IT teams to ensure timely execution
- Serve as primary client contact, driving satisfaction across European markets while supporting worldwide supply chain management
- Resolve client inquiries and issues, maintaining strong relationships throughout the project lifecycle

---

**Technical Skills**

Teamleader | MS Office | Tableau | Proprietary Software"
2588,"**ACCOUNT MANAGER**

**ProfiAds (Advertising & Event Agency) | June 2015 – Present**

**Overview**

Results-driven Account Manager with extensive experience leading large-scale advertising campaigns for premier brands including Vodafone, Davidoff, Mary Kay, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo. Proven track record executing nationwide activations across shopping centers throughout Ukraine.

**Core Competencies**

Project Lifecycle Management | Client Relations | Contract Negotiation | Budget Administration | Vendor Management | Cross-Functional Leadership | Regulatory Compliance

**Key Responsibilities & Achievements**

- Direct end-to-end project management encompassing client negotiations, contract execution, stakeholder communications, venue partnerships, and budget administration
- Cultivate strategic relationships with shopping center management through on-site consultations, securing premium placement agreements and orchestrating multi-city project launches
- Lead cross-functional team coordination, partnering with design teams on creative development while streamlining client approval workflows to ensure timely deliverables
- Oversee full-cycle advertising operations including print production, vendor selection and procurement, installation supervision, and equipment logistics with import/export coordination
- Manage regulatory permit acquisition and complete installation and dismantling operations across multiple locations"
2589,"**PROFESSIONAL SUMMARY**

Results-oriented Account Manager and Project Manager with 5+ years of experience in product and outsource companies. Organized, diligent professional with strong written, oral, and interpersonal communication skills. Stress-resistant with proven ability to work under pressure and manage multiple projects simultaneously. Positive, open-minded team player committed to project success and continuous professional growth.

**KEY ACHIEVEMENTS**

- Delivered 19 commercially launched projects across product and outsource environments
- Built comprehensive expertise in end-to-end project lifecycle management over 5+ years

**CORE COMPETENCIES**

Scrum Event Facilitation · Multi-Team Coordination · Communications Planning · Staffing Process Oversight · Resource Allocation · Project Documentation · Financial Documentation · Delivery Team Leadership · People Management · Software Implementation Estimation · Software Development Planning · Cross-Functional Collaboration · Stakeholder Engagement

**PROFESSIONAL SKILLS**

Project Management · Account Management · Agile/Scrum Methodology · Budget Management · Resource Management · Team Leadership · Process Optimization · Team Building

**CAREER OBJECTIVE**

Seeking a position with a collaborative organization that values strong team spirit and offers opportunities for professional development and skill advancement."
2590,"**SALES ACCOUNT MANAGER**

**Professional Summary**

Results-driven Sales Account Manager with over 4 years of experience cultivating long-term client relationships and serving as the critical link between customers and development teams. Skilled at managing accounts from initiation through completion while delivering tailored solutions that meet client objectives.

**Core Competencies**

Client Relationship Management • Needs Assessment & Solution Development • Project Quoting & Requirements Gathering • Contract Negotiation & Deal Closure • Full-Cycle Account Management • Cross-Functional Collaboration • Invoicing & Billing

**Professional Experience**

**Sales Account Manager**
*4+ Years*

- Build and sustain long-term client relationships through trust, rapport, and consistent communication
- Convert qualified leads into customers using consultative sales methodologies
- Conduct comprehensive needs assessments to develop tailored solutions aligned with client objectives
- Gather detailed project requirements and deliver accurate, competitive quotes
- Lead contract negotiations through successful deal closure
- Manage complete account lifecycle from project initiation through completion
- Bridge communication between prospects, customers, and internal development teams to ensure strategic alignment
- Maintain accurate invoicing processes and billing records

**Career Objective**

Seeking opportunities in Account Management or Project Management within a collaborative team environment offering established business processes and mentorship opportunities."
2591,"# PROFESSIONAL RESUME

## SUMMARY

Account/Project Manager with 1.5 years of experience delivering quality outcomes through strategic communication and collaborative leadership. Proven ability to build lasting client relationships while coordinating multiple concurrent projects with precision and accountability.

## CORE COMPETENCIES

Client Relationship Management | Contract & Agreement Development | Budget Development & Oversight | Quality Assurance & Website Testing | Strategic Task Prioritization | Multi-Project Coordination | Performance Analysis & Process Optimization

## PROFESSIONAL EXPERIENCE

**Account/Project Manager**
*1.5 Years of Experience*

- Build and maintain strong client and team relationships through proactive, strategic communication
- Develop contracts, agreements, and comprehensive client budgets from concept through execution
- Execute website testing protocols ensuring consistent delivery of quality products
- Coordinate multiple concurrent projects while maintaining accuracy, accountability, and alignment with objectives
- Prioritize and execute tasks strategically to meet deadlines and project milestones
- Analyze project outcomes and identify challenges to drive continuous process improvement

## KEY ATTRIBUTES

- Strategic communicator skilled in cross-functional collaboration and client engagement
- Detail-oriented professional committed to accuracy and accountability
- Results-driven with focus on delivering high-quality project outcomes
- Analytical problem-solver dedicated to continuous improvement"
