,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
3153,"# Professional Summary

Results-driven Agile Project Management professional with over 11 years of IT industry experience and 7+ years leading dynamically growing teams. Proven expertise in Scrum and Kanban methodologies with a strong commitment to continuous professional development through ongoing training initiatives as both participant and facilitator. Passionate about fostering team growth within challenging, collaborative environments.

# Core Competencies

- Agile Project Management
- Scrum & Kanban Methodologies
- Risk Management
- Change Management
- Conflict Resolution
- Team Building & Motivation
- JIRA
- Applications Deployment

# Professional Attributes

- Dedicated to cultivating talent and supporting professional development
- Thrives in dynamic, fast-paced environments
- Committed to continuous improvement and lifelong learning"
3155,"# PROFESSIONAL RESUME

## Professional Experience

**Agile Transformation Leader**
- Led organizational Agile transformation initiative impacting over 50 team members

**Scrum Master**
- Facilitated Scrum practices across 5 concurrent teams simultaneously
- Coordinated multiple parallel workstreams to deliver value effectively

**Project Manager**
- Managed projects utilizing PMBOK framework and methodologies
- Applied industry-standard project management principles and best practices

## Core Competencies

- Agile Transformation
- Scrum Facilitation
- Multi-Team Coordination
- PMBOK Project Management
- Organizational Change Leadership"
3156,"**Scrum Master**

**Team Facilitation**
- Partnered with 3 cross-functional teams to improve efficiency and self-management
- Reduced dependencies between areas of responsibility
- Drove focus on delivering increments at sprint completion
- Strengthened Definition of Ready criteria
- Removed impediments blocking team goals
- Facilitated Scrum events, ensuring productive, timeboxed, and positive outcomes

**Product Owner Collaboration**
- Supported 3 Product Owners in defining product and sprint goals
- Assisted with Product Backlog management and refinement
- Guided planning preparation and execution
- Facilitated stakeholder communication and engagement

**Organizational Service**
- Promoted understanding of agile software development approaches
- Implemented and adapted best practices across the organization
- Optimized and configured tools to support agile workflows
- Designed, implemented, and maintained organizational processes
- Fostered productive relationships across teams and departments
- Supported recruitment efforts
- Removed cross-departmental obstacles to enable collaboration"
3157,"# Gulnar Abasova

---

## Education

**Master's in International Project Management**
Vilnius University | Currently Enrolled
Lithuanian State Scholarship Recipient

---

## Professional Experience

**Scrum Master**

- Facilitate Scrum events including sprint planning, daily standups, sprint reviews, and retrospectives for self-managing, cross-functional development teams
- Coordinate communication between product owners and development team members, including testers
- Conduct backlog grooming sessions with product owners
- Monitor project schedules and support teams in meeting deadlines
- Ensure adherence to Agile/Scrum principles and methodologies
- Contribute to process improvements that doubled team delivery speed
- Work effectively in both remote and in-office environments

**Industry Focus:** Fintech projects including internal sales systems and online banking applications

---

## Skills

**Tools:** Jira, Notion, Microsoft Project

**Product Development:** Idea generation, UX research, wireframing, QA coordination, debugging oversight

---

## Professional Interests

Expanding expertise in Agile management | Startup environments | Development team collaboration

---

## Contact

Gulnar Abasova"
3158,"**PROFESSIONAL SUMMARY**

Certified SAFe® Scrum Master with 5+ years of hands-on experience managing distributed teams of up to 40 FTE, including 3 years in a dedicated Scrum Master role. Skilled in Agile coaching, team development, and client relationship management.

---

**CORE COMPETENCIES**

- Project Management Best Practices
- Scrum Ceremony Facilitation
- Impediment Removal
- Agile Team Coaching
- Self-Organization & Cross-Functionality Development
- High-Performance Team Culture
- Client Relationship Management
- Organizational Communication Processes
- Risk Management & Reporting
- Metrics Collection & Analysis
- Problem-Solving & Analytical Research
- People Management, Resourcing & Recruitment

---

**CERTIFICATIONS**

- Certified SAFe® 5 Scrum Master
- Certified SAFe® 5 Advanced Scrum Master
- Certified AgilityHealth® Facilitator for SAFe®"
3159,"# AGILE PROJECT MANAGER & SCRUM MASTER

## Professional Summary

Results-driven Agile Project Manager and Scrum Master with proven success leading diverse teams across projects of varying scope and complexity. Adept at aligning team efforts with business objectives while ensuring timely delivery of project milestones and desired outcomes. Skilled at selecting and implementing optimal processes and tools tailored to individual project needs, with the flexibility to adapt methodologies based on project specifics and client goals.

## Core Competencies

- Agile & Scrum Methodologies
- Team Leadership & Development
- Project Milestone Tracking
- Process Definition & Optimization
- Stakeholder Communication
- Requirements Management
- Cross-Functional Team Collaboration
- Adaptive Project Management"
3160,"# PROFESSIONAL SUMMARY

Results-driven IT Management professional with 12+ years in the Information Technologies industry and 11+ years of specialized management experience. Proven expertise across all project lifecycle phases: initiation, planning, implementation, monitoring, control, maintenance, and closure. Demonstrated success leading teams of 30+ engineers across multiple teams, with a track record of building engineering teams from scratch and delivering successful projects in both outsource and product development environments.

# CERTIFICATIONS

CSM | CSPO | ICP-APM

# CORE COMPETENCIES

- Agile Methodologies (Scrum, XP, Kanban) — 4+ years
- Waterfall SDLC
- Scrum Master & Product Owner Execution
- Team Leadership & Mentorship
- Agile Community Development & Evangelism
- Project Management Tools
- Cross-functional Team Management

# KEY STRENGTHS

- Strong soft skills with proven leadership and mentorship capabilities
- Experienced in maintaining Agile communities and evangelizing Agile values
- Skilled in both outsource and product development environments
- Proficient in Agile and Waterfall methodologies, practices, and frameworks

# PROFESSIONAL FOCUS

Seeking engaging projects requiring professional management expertise and collaborative team leadership."
3161,"# FULL-SCALE PROJECT MANAGER

## Professional Summary

Proactive project manager with 10+ years of experience in international product and IT outsourcing companies. Skilled in managing the complete project lifecycle—from product idea and pre-sale through product launch. Proven ability to establish contacts across diverse areas, quickly immerse in new subjects, and lead distributed teams. Core focus on client needs and team care.

## Key Qualifications

- Led distributed teams of up to 50 people
- Managed 5+ projects simultaneously
- Delivered over 20 projects of various sizes and complexity
- Released 5+ products in the past year, including platforms, marketplaces, mobile applications, and websites

## Core Competencies

- Full Project Lifecycle Management
- Pre-Sale & Product Ideation
- Distributed Team Leadership
- Stakeholder Relationship Building
- Client-Focused Delivery
- Team Development & Care"
3162,"# Senior Scrum Master | Agile Coach | Project/Delivery Manager

## Professional Summary

Senior Scrum Master and Agile Coach with extensive experience managing up to 5 teams (35 FTE) across diverse domains including CRM, logistics, sales, finance, and marketing. Proven expertise in portfolio-level management, risk management, and release planning. Skilled in both Agile methodologies and traditional project management approaches (time and material, fixed price). Strong collaborator with Product Owners and stakeholders, committed to process improvement and delivering effective results.

## Core Competencies

- Scrum Mastery & Agile Coaching
- Portfolio & Risk Management
- Release & Delivery Planning
- Stakeholder Management
- Team Coaching & Development
- Process Optimization

## Professional Experience

**Senior Scrum Master**
- Led and facilitated Agile practices for up to 5 internal teams comprising 35 FTE
- Managed portfolio-level planning, risk management, and release coordination
- Provided administrative and technical support for project delivery

**Agile Coach | LeSS Huge Implementation**
- Coached 6 teams within 1 product area in LeSS Huge framework
- Organized end-to-end workflow and facilitated all multi-team events
- Mentored Product Owners and guided teams in Agile practices

**Project/Delivery Manager**
- Delivered full-cycle ERP implementations (CRM, sales, logistics, finance) at Carlsberg Ukraine
- Implemented UPS logistics solution for 60 distributors
- Provided support and consulting for 3,000+ users
- Contributed to Ukrtelekom automation projects (Record-keeping, Finances, Management)
- Authored technical specifications and software maintenance documentation
- Conducted system configuration, alpha-testing, user training, and stakeholder presentations
- Managed tendering processes and business negotiations with customers and developers

## Technical Skills

SQL | HTML | CSS | JavaScript | React | .NET | Core | GitHub | Jira | TFS

## Languages

English (Professional)"
3186,"**PROFESSIONAL EXPERIENCE**

**Project Management & Operations**
- Managed and coordinated up to 30 concurrent projects while maintaining high standards of quality and efficiency
- Orchestrated large-scale data operations projects, ensuring seamless collaboration between customers and data labeling teams
- Created comprehensive statements of work (SOW) and maintained ongoing alignment with stakeholders on project deliverables

**Customer Success & Relationship Management**
- Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy
- Tracked key metrics, promptly addressed customer concerns, and delivered superior results
- Conducted regular calls with customers and service providers, building strong relationships and effective communication channels

**Financial Management**
- Calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency

**Team Leadership & Quality Assurance**
- Supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement
- Evaluated and optimized performance of the data labeling workforce, providing guidance and support to maximize productivity
- Fostered a collaborative and inclusive work environment, encouraging cross-functional cooperation

**Strategic Initiatives**
- Collaborated closely with service providers, cultivating strong partnerships and driving successful project delivery
- Monitored industry trends and emerging technologies, providing recommendations for product enhancements and process optimizations"
3225,"# PROFESSIONAL RESUME

## SUMMARY

Experienced marketing and e-commerce professional with expertise in Amazon marketplace management and reputation building. Successfully managed more than 10 cases across different niches, including 6 built from the scratch. Developed proprietary process for reputation management.

---

## PROFESSIONAL EXPERIENCE

### AMAZON MARKETING MANAGER
**DigiOrange** — Brooklyn, NY, USA
*January 2022 – Present*

---

### MARKETING PROJECT MANAGER
**TBI-Pro** — Chicago, IL, USA
*September 2021 – January 2022*

---

### MARKETPLACES PROJECT MANAGER
**FDS-IT** — Staten Island, NY, USA
*December 2018 – September 2021*

---

### AMAZON MANAGER
**Shopping Cart Elite** — Brooklyn, NY, USA
*2015 – 2018*

---

## KEY QUALIFICATIONS

- More than 10 cases managed across different niches
- 6 cases developed from the scratch
- Proprietary reputation management process"
3315,"**PROFESSIONAL SKILLS**

**Business Analysis**
- Planning and executing Business Analysis activities
- Defining business needs and solution scope
- Conducting stakeholder analysis and elicitation activities
- Collecting, analyzing, and documenting business, functional, and non-functional requirements
- Managing solution scope and communicating requirements
- Conducting solution assessment and validation
- Facilitating knowledge transfer to stakeholders

**Documentation & Methodologies**
- Use cases and user stories development
- BPMN (Business Process Model and Notation)
- Agile and Scrum frameworks

**Project Management**
- End-to-end project management

**Technical Skills**
- Microsoft Excel
- Visual Basic (VB)

**CAREER OBJECTIVES**

Professional growth | Challenging projects | Collaborative team environment"
3321,"**PROFESSIONAL EXPERIENCE**

**Silpo-Food LLC (Fozzy Group)**
**Research Manager**

- Managed qualitative and quantitative marketing research projects from design through delivery
- Consulted with internal customers on research design and methodology
- Conducted ad-hoc and longitudinal studies to support business objectives
- Programmed questionnaires and performed data processing and analysis
- Prepared reporting materials and presented research findings to stakeholders
- Supervised field supervisors and operators to ensure quality data collection
- Gathered primary and secondary marketing information to inform business decisions

**Kyivstar Private Joint Stock Company**
**Commodity Market Research Analyst-Specialist**

- Led marketing research projects and managed research budgets
- Consulted with customers and negotiated project requirements
- Coordinated with contractors to execute research initiatives
- Managed databases and developed queries to extract data by specific parameters
- Analyzed telecom market trends and delivered actionable primary and secondary marketing insights
- Maintained document management systems

---

**CAREER OBJECTIVE**

Seeking to advance as an Analyst with focus on expanding data processing capabilities using tools such as SQL and Tableau. Interested in conducting surveys and testing business hypotheses to drive data-informed decision-making."
3332,"**PROFESSIONAL EXPERIENCE**

**Software Implementation Specialist**

Led end-to-end implementation of Customer Relationship Management system and desktop application

**Project Management & Strategy**
- Conducted market analysis to inform product development decisions
- Managed stakeholder communication throughout project lifecycle
- Defined strategic direction of development initiatives
- Established project goals and deadlines

**Product Development**
- Created system prototypes to validate requirements
- Coordinated User Acceptance Testing to ensure quality standards
- Executed full system implementation

**Technical Proficiencies**

MS Project | Trello | Atlassian | Office 365 | Prototyping Tools"
5877,"# PROFESSIONAL RESUME

## Architecture / Databases
- Designed and implemented data storage solutions up to 50 Terabytes using Hadoop
- Developed serverless architecture achieving near-zero idle costs
- Established Infrastructure as Code on Kubernetes with streamlined delivery processes requiring minimal DevOps involvement

## Product/Project Management
- Initiated and led Messenger project across all major mobile platforms, delivering a full-feature product to Apple App Store and Google Play within 6 months from inception
- Formally recognized for instrumental role in implementing cost savings measures within the SDLC process

## Human Resources
- Recruited 50+ developers within 4 months while maintaining less than 5% turnover rate

## Projects

**Confidential Project** | 2019
Architect/DevOps — Infrastructure as Code on AWS utilizing Terraform, Kubernetes, Helm, and CI/CD pipelines

**Ternary Intelligence** | ternaryintelligence.com | 2018
Architect/Project Manager — Serverless AWS cloud architecture in the fintech sector

**One Space** | spywords.ru | 2018
Architect/Data Science — Hadoop infrastructure, web scraping, and data engineering

**Defcom** | defcom.com | 2016
Project Manager/Architect — Mobile development for secure messaging application

## Interests
Seeking opportunities to contribute to live, active projects"
5981,"# Product Manager

## Experience

**Product Manager | HeyJoy Toy Store**
US-based retail-tech startup

- Led product development for consumer mobile application
- Delivered first MVP and validated value hypothesis

**Project Manager | Snap Inc.**
Sponsored AR Department

- Managed complex AR project development for major enterprise clients including Disney, Nike, Microsoft, Universal, and Verizon
- Led internal AR innovations within Sponsored AR department
- Balanced client expectations with team capabilities while evaluating risks and adapting development strategy
- Improved processes across cross-functional teams

## Skills

- End-to-end product development, from ideation through MVP to launch
- Client and production team negotiations
- Risk assessment and strategic planning
- Cross-functional team collaboration"
6043,"# PROFESSIONAL RESUME

## Summary

Project management professional with 5 years of team management experience. Skilled in project documentation creation, risk management, scope management, schedule management, resource management, and quality management. Proficient in Agile methodologies including Scrum and Kanban. Experienced in defining and implementing team values, establishing communication protocols, conflict resolution, and balancing stakeholder interests.

## Education & Certifications

- IT Project Manager Course, Beetroot Academy
- IT Project Manager Course, SoftServe Academy

## Professional Experience

### Project Manager | SoftServe
**October 2021 - Present**

---

### Service Manager | Veteran Hub Dnipro
**September 2020 - October 2020**

- Managed cross-functional team of 6 members across psychological, legal, and career service areas
- Led personnel hiring and onboarding processes
- Established work processes and reporting frameworks
- Ensured compliance with organizational standards in operational activities
- Facilitated conflict management and resolution

---

### Junior 3D Artist | Freelance (Remote)
**December 2019 - September 2020**

- Performed low and high-poly modeling, UV unwrapping, texturing, and baking
- Executed level design projects

---

### Hotel Manager | Mykulychyn
**November 2018 - November 2019**

- Directed hotel operations, reservations, and online booking platform management
- Managed personnel and monitored task implementation
- Oversaw guest communications, payment processing, and property decisions
- **Achievement:** Increased Booking.com rating from 8.7 to 9.0

---

### Artillery Battery Control Platoon Commander | 4th Rapid Reaction Brigade, National Guard of Ukraine, Gostomel
**November 2016 - November 2018**

- Led team of 10 members with varying experience levels and motivations
- Cultivated and maintained team morale and cohesion
- Executed precise mathematical calculations and geometric drawings under time constraints
- Maintained accountability for high-precision equipment valued up to €20,000 per unit
- Analyzed logistics routes and observation data from multiple sources

---

### Hotel Manager | Remote
**April 2015 - November 2016**"
6078,"# RESUME

## PROFESSIONAL EXPERIENCE

**Project Manager | Game Development Industry**

Collaborating with major game development companies worldwide on several acclaimed industry titles.

**Project Lifecycle Management**
- Lead projects from kick-off through completion, including internal retrospectives
- Conduct estimation for new scope of work based on provided references and briefs
- Calculate projected efficiency prior to project start, manage resource allocation, and mitigate risks
- Maintain project efficiency aligned with initial planning targets
- Oversee project and batch closure, including Jira tracking verification and final invoicing

**Stakeholder Communication & Coordination**
- Manage email correspondence and calls with external partners
- Facilitate daily meetings with project teams
- Coordinate change requests: gather information, prepare supporting documentation, and organize cross-departmental meetings as needed

**Team Leadership**
- Create and assign tasks to artist teams
- Ensure clear communication and workflow across all project phases

**Cross-Functional Collaboration**
- Partner with Legal and Finance Departments
- Track legal documents and agreements
- Manage invoice issuance and payment tracking

---

## DESIRED POSITION

- Game Development industry
- Product company
- Collaborative and positive team environment"
6081,"**PROFESSIONAL ACHIEVEMENTS**

**Leadership & Team Development**
- Built and managed a team of 7 artists, establishing debugging processes from the ground up
- Designed and implemented a comprehensive employee assessment system for the Art Department
- Retained at-risk employees through strategic performance review initiatives
- Developed foundational documentation adopted company-wide by new managers, including workflow guides, team frameworks, department structure outlines, and performance review templates

**Creative Projects**
- Designed illustrations for ECO-school, Moscow
- Created illustrations for a space museum, Moscow
- Produced illustrations for Gorynych restaurant
- Developed illustrations for ISBC

**Operations & Sales**
- Streamlined company service operations through process improvement initiatives
- Authored training materials and work instructions for key account department, accelerating new employee onboarding
- Resolved complex client disputes while maintaining long-term relationships
- Consistently met and exceeded sales targets

**Event Management**
- Pioneered company's first ecological quest event format
- Doubled deal value with existing client compared to their previous events
- Recognized by management for exceptional event execution and client support

---

**PROFESSIONAL EXPERIENCE**

**Art Team Manager** | 2021–Present
- Lead team of 7 artists, overseeing task specification, quality control, and performance evaluation
- Build and document team processes, workflows, and reporting systems
- Generate creative concepts and develop technical specifications
- Conduct market research and competitive benchmarking
- Collaborate with Art Lead on task prioritization, requirements, and deadlines
- Monitor team motivation, provide feedback, and drive continuous improvement

**Illustrator & Designer** | 2018–2021
- Created illustrations for magazines, presentations, and social media campaigns
- Designed logos, icons, vector characters, and animated assets
- Developed promotional materials including posters, prints, and custom Telegram stickers

**Internal & External Communications Manager** | 2016–2018
- Developed operational instructions, regulations, and employee motivational frameworks
- Managed partner relationships, contract negotiations, and compliance monitoring
- Oversaw marketplace operations on Wildberries and Ozon, including shipment coordination
- Utilized 1C, Bitrix, Wildberries platform, and Diadoc

**Event Manager** | 2015–2016
- Coordinated cross-departmental collaboration throughout event lifecycle
- Managed full client journey from initial contact through event completion
- Prepared proposals, presentations, and budget estimates"
6082,"# ART PRODUCTION MANAGER

## Professional Experience

**Task & Project Management**
- Lead 2D/3D art production including workload planning, assignment creation, process coordination, and priority management
- Manage client communications and conduct team retrospectives
- Oversee teams of up to 30 artists and creative professionals

**People Management**
- Mentor and onboard artists and project managers
- Conduct regular 1:1 meetings, performance reviews, and skills assessments
- Facilitate conflict resolution within creative teams

**Art Direction**
- Ensure quality standards and style consistency across projects

**Process Improvement**
- Develop and maintain knowledge bases, art guides, and internal documentation
- Analyze and optimize production workflows

## Methodologies

Scrum | Kanban | GameDev Production Pipelines

## Career Interests

- Game development industry preferred
- Product companies or long-term project engagements
- Expanding expertise in 3D, VFX, VR, and video/game production

## Strengths

- Quick to adapt and acquire new skills
- Committed to continuous professional development"
6090,"**EDUCATION**

**Master's Degree in Project Management** (In Progress)
Kharkov National University of Economics

**Bachelor's Degree in Economics of Enterprise**
Kharkov National University of Economics

**PROFESSIONAL DEVELOPMENT**

Project Manager Course, Source IT (2017)
English Language Course, Green Forest (2016)
English Language Course, Language Center (2015)

**SKILLS**

- Team collaboration and rapid learning ability
- Project management methodologies: Agile (Scrum, Kanban) and Waterfall
- Project documentation: proposals, terms of reference, project plans, risk assessments, Work Breakdown Structures (WBS)

**WORK EXPERIENCE**

**Assistant Manager**
Electrical Goods Company

- Attracted and acquired new clients
- Received and processed customer orders
- Prepared and issued invoices for customer payment
- Maintained accurate records
- Managed goods handling and inventory

**OBJECTIVE**

Seeking a Project Manager Assistant position to apply my project management knowledge and skills within a collaborative team environment, while continuing to develop professionally and contribute value as a specialist in this field."
6127,"# MOBILE PRODUCT MANAGER

**Core Expertise:** ASO | ASA | Incentive Traffic

---

## PROFESSIONAL SUMMARY

Seasoned Mobile Product Manager with 2 years of experience leading successful mobile product initiatives and optimizing app store performance. Proven ability to develop and execute comprehensive strategies that align with business goals, user needs, and market trends.

---

## AREAS OF EXPERTISE

- **App Store Optimization (ASO):** Keyword research, metadata optimization, A/B testing, and conversion rate optimization driving increased organic downloads and improved app store rankings
- **Apple Search Ads (ASA):** Strategic campaign management and performance optimization
- **Incentive Traffic:** User acquisition strategy and implementation
- **Analytics & Insights:** Mobile app analytics and data-driven decision-making to identify trends, uncover insights, and optimize app performance
- **Project Management:** Agile methodologies and project management tools ensuring efficient product development cycles and timely releases

---

## KEY STRENGTHS

- Strategic alignment of ASO initiatives with overarching business objectives
- Cross-functional collaboration with designers, developers, marketers, and data analysts
- Effective communication across all organizational levels
- Data-informed approach to product optimization"
6211,"**EDUCATION**

**Master of Economy and Management** | 2020

**Bachelor of Management** | 2017

**Project Management Specialization** | University of Colorado Boulder | 2023
- Project Management: Foundations and Initiation
- Project Planning and Execution
- Agile Project Management

**Scrum Master Certification** | LearnQuest | 2023
- Introduction to Scrum Master Training
- Scrum Master Certification: Scrum Methodologies
- Scrum Master Certification: Scaling Agile and the Team-of-Teams
- Combining Scrum with Other Agile Methodologies

**Information Systems Specialization** | University of Minnesota, Carlson School of Management | 2023
- Enterprise Systems
- IT Infrastructure and Emerging Trends
- Analysis for Business Systems

**Certificate in Marketing and Communications** | International Business Management Institute, Berlin, Germany | 2021

**Certificate in Leadership and Team Development** | International Business Management Institute, Berlin, Germany | 2020

---

**PROFESSIONAL EXPERIENCE**

**Assistant IT Project Manager** | Current

- Drive business process optimization and automation initiatives, identifying solutions for enhanced operational efficiency
- Analyze and translate business requirements into effective IT mechanisms
- Lead end-to-end implementation of new solutions within proprietary ERP system
- Collaborate with cross-functional departments to define project requirements and priorities within agile framework
- Partner with development teams to ensure smooth solution deployment and user adoption
- Define and prioritize user stories based on customer requirements for development sprints
- Identify opportunities to streamline operations and maximize productivity

**Data Analyst** | 2+ Years

- Managed extensive macroeconomic and financial datasets across multiple countries for public and private sector clients, ensuring accuracy and quality within tight deadlines
- Maintained data integrity through effective source communication, identifying patterns and resolving client queries
- Coordinated internal and external client interactions via CRM system, overseeing requests and executing quality improvement projects
- Utilized project management systems to troubleshoot and resolve issue tickets, delivering effective client solutions
- Led regular quality and technology projects, proactively identifying process enhancement opportunities
- Collaborated with IT teams to ensure seamless availability and accessibility of essential data sources"
6213,"# [Name]
**Assistant / Junior Project Manager**

---

## Professional Experience

**Project Manager | Online Shop for Developmental Children's Toys**
*Present*

Leading a cross-functional team of four (Power Query Developer, Designer, Sales Manager, Supply Manager) for an e-commerce venture.

- Organizing and coordinating team activities
- Managing time and tasks using Notion
- Controlling execution and roadmap progress
- Drafting and maintaining project documentation and instructions
- Resolving legal matters

**Project Management Intern | We Challenge & UNIT.City**
*Kyiv, Ukraine | February 2023 – March 2023*

IT events organization project.

- Led and facilitated intern team
- Developed Impact Map, Project Plan (WBS, Timeline, Resources)
- Created Risk Register, Stakeholder Register, Map, Matrix, and RACI Matrix
- Prepared Stakeholder Communication Plan
- Maintained business communication with stakeholders
- Conducted research and analysis

**Legal Counsel**
*5+ years, including IT sector*

- Supervised and coordinated a team of five legal counsels
- Communicated with customers and stakeholders
- Managed deadlines and tasks using task management tools
- Maintained project documentation, registers, and reports
- Prepared contracts, invoices, and services acceptance acts

---

## Education

**Master's Degree in Law**

---

## Certifications & Training

- Become a Project Manager – LinkedIn Learning Path (March 2023)
- IT Project Management – Projector Creative & Tech Online Institute (November 2021 – February 2022)
- Fundamentals of Team and Project Management in IT – Lviv IT School (2021)

---

## Skills

**Project Management:**
Impact Map, WBS, Gantt Chart, Risk Register, Stakeholder Register/Map/Matrix, RACI Matrix, User Stories, User Story Map, Definition of Ready/Done, Task Estimation (Poker Planning, T-Shirt Sizes, Big/Small/Uncertain)

**Methodologies:**
Waterfall, Scrum, Kanban, SDLC

**Tools:**
Notion, Trello, Jira, Miro, Canva, Confluence, Gantter, Slack, Google Meet, Gather, Google Workspace, Microsoft Office

---

## Languages

- Ukrainian – Fluent
- Russian – Fluent
- English – Upper-Intermediate

---

## Soft Skills

Proactivity | Communicativeness | Multitasking | Self-Organization | Fast Learning | Active Listening | Teamwork"
6214,"# [Your Name]
[Phone] | [Email] | [City, State] | [LinkedIn]

## Professional Summary

Detail-oriented professional transitioning into project management, combining formal project management education with hands-on management experience. Proven ability to coordinate teams, manage stakeholder relationships, and maintain comprehensive documentation.

## Education & Certifications

**Project Management Course**
*[Institution Name]* | *[Completion Date]*

## Core Competencies

- Project Management Fundamentals
- SDLC Methodologies
- Scrum & Agile Frameworks
- Stakeholder Management
- Team Coordination
- Project Documentation

## Technical Skills

- Microsoft Office Suite
- Google Workspace
- Windows Operating Systems

## Professional Experience

**Manager**
*[Company Name]* | *[Dates of Employment]*

- Managed projects from initiation through completion
- Cultivated and maintained relationships with customers and stakeholders
- Organized and coordinated team activities to meet objectives
- Maintained comprehensive project documentation
- Prepared and reviewed legal documents

## Professional Attributes

- Reliable and dependable team contributor
- Strong work ethic
- Collaborative approach to problem-solving"
6231,"**PROFESSIONAL RESUME**

---

**PROJECT MANAGEMENT SPECIALIST**

Grant Thornton Ukraine | Kyiv

---

**COMPANY OVERVIEW**

Grant Thornton Ukraine provides audit services, financial consulting, tax consulting, legal services, and outsourcing solutions.

---

**PROFESSIONAL EXPERIENCE**

- Manage communication with customers and contractors throughout project lifecycles
- Maintain work documentation and project execution schedules
- Collect and analyze information required for project implementation
- Provide administrative support for work meetings
- Prepare and deliver project reports

---

**KEY PROJECTS**

- Development of a monitoring system for Sustainable Development Goals achievement at Kyiv city level
- Anti-corruption policy audits
- Financial statement audits

---

**TECHNICAL SKILLS**

Microsoft Office | 1C/BAS | CRM Bitrix 24 | Smart Tender

---

**LANGUAGES**

English – Upper-Intermediate

---

**TARGET POSITIONS**

Information Technology Manager | Product Manager | Assistant Team Manager | Assistant Project Manager | Project Office Coordinator

---

**PROFESSIONAL ATTRIBUTES**

Responsible and detail-oriented professional with strong self-motivation and dedication. Effective team collaborator who adapts readily to challenging situations. Capable of working independently and within team environments, applying strong analytical skills to achieve results."
6232,"**PROFESSIONAL SUMMARY**

Attentive manager with excellent communication skills, organized and driven with an innate ability to stay on track while handling multiple tasks under pressure. Quick learner eager to pursue a management career in the IT field.

**KEY ACHIEVEMENTS**

Successfully delivered 20+ educational projects for over 500 members across various companies including Boeing, Ubisoft, and Xpand.

**CORE COMPETENCIES**

- Agile & Scrum Methodologies
- Lean Methodology
- Risk Management
- Stakeholder Management
- Project Planning & Documentation
- Client Relations

**PROFESSIONAL EXPERIENCE**

**Project Management**

- Implemented Agile and Scrum methodologies, facilitating 1-1 meetings, stand-ups, and retrospectives while maintaining team motivation
- Applied Lean methodology to drive continuous project improvement
- Contributed to project design and set-up discussions, identifying key profitability drivers and delivering cost-saving solutions
- Monitored and enhanced field operations performance, ensuring timely and accurate delivery
- Served as primary liaison across stakeholders on project-related matters
- Managed direct client communication, clarifying requirements and handling expectations and changes
- Led project planning, task monitoring, and team workload prioritization
- Prepared and maintained project documentation
- Coordinated project launch schedules and activities
- Conducted risk management assessments and mitigation"
6233,"# RESUME

## Professional Experience

### British Autoclub Assistance, Kyiv — IT Manager
**September 2018 – March 2019**

- Gathered requirements for composing MVP across Web, App, and CRM system projects
- Conducted black box and grey box testing, as well as acceptance testing on CRM and App deliverables
- Managed App project delivery activities in coordination with foreign outsource team: project backlog formation, sprint backlog formation, manual testing, and bug tracking
- Provided support for 1C accountancy management and new feature development

---

### Pride International LLC., Kyiv — Project Manager Assistant / QA Manager
**August 2017 – September 2018**

- Facilitated sprint planning and product backlog management
- Performed quality assurance testing throughout sprint workflow and final product releases
- Assisted in resolving App and Web-version defects
- Supported team in removing impediments through understanding of control and release processes
- Tracked and communicated team velocity and sprint/release progress to affected teams and management
- Assisted in defining and deploying new product development processes and facilitating continuous improvement of existing processes

---

### MBM Partners, Kyiv — Head of Lead Generation and Advertising Departments
**June 2015 – August 2017**

- Led and controlled lead generation and traffic management initiatives
- Developed strategic guidelines and tactics for company social media presence (SMM)
- Provided social media marketing planning, recommendations, and implementation
- Composed requirements for script development for social media lead extraction
- Implemented automation and integrated tools for social media content management"
