,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
98274,"Here's your refined UX/UI Designer resume with improved clarity and structure while maintaining all original facts:  

---  

**Junior UI/UX Designer**  

**About Me**  
Passionate Junior UI/UX Designer specializing in full-cycle design, including landing pages, e-commerce platforms, website redesigns, and web services. Committed to creating intuitive and visually appealing user experiences.  

**Education**  
Completed 6-month UI/UX Design course.  

**Project Experience**  

**“Wish” – Gift Delivery Mobile App**  
Designed a flower and gift delivery app enabling users to browse selections and schedule deliveries. Executed competitive analysis, UX personas, user flows, wireframing, and UI design.  

**“Fitroom” – Fitness Studio Website Redesign**  
Redesigned corporate website to enhance appeal and drive sales. Conducted competitor research, defined stylistic direction, built prototypes, optimized mobile/tablet interfaces, and developed a UI kit.  

**“VDOMA” – Ukrainian Couch-Surfing Web Service**  
Created a web service facilitating affordable stays to promote Ukrainian tourism. Delivered competitive analysis, UX personas, empathy maps, sitemaps, MVP scoping, user flows, and adaptive designs. Refined via A/B testing.  

**Additional Design Work**  
- Accounting dashboard UI for a cleaning company  
- Website sidebar UI  
- AutoLayout-based team page  
- User profile page for an e-learning platform  
- Ed-tech student dashboard  
- Animated desktop homepage UI  
- Modal window for card-to-card transfers  
- Admin dashboard for user permissions management  

**Skills & Tools**  
User Research, Wireframing, Prototyping, UI Design, UX Writing, Figma, Adobe XD.  

---  

Let me know if you'd like any further refinements!"
98275,"**UX/UI Designer**  
Passionate and creative Junior UX/UI Designer with a strong foundation in design principles and a keen eye for aesthetics. Committed to crafting exceptional user experiences by leveraging innovative solutions and staying current with industry trends. Eager to contribute to meaningful projects that challenge and expand skill sets.  

**PROJECT EXPERIENCE**  

**Petsearch**  
- Designed and developed a user-friendly web service to help reunite lost pets with owners through ads and volunteer engagement.  
- Ensured intuitive navigation and functionality for seamless user interactions.  

**Children’s Project – ""A Kids Place Childcare""**  
- Redesigned a kindergarten website, conducting competitor analyses and user research.  
- Developed a UI kit with documented components, addressing weaknesses and optimizing visual consistency.  

**FlowerLover Flower Shop (Landing Page)**  
- Created a responsive landing page with structured UI elements (buttons, inputs, etc.).  
- Conducted competitor research, curated a mood board, and refined the color palette for cohesive branding.  

**SKILLS**  
- UI/UX Design  
- Competitor & User Research  
- Prototyping & Wireframing  
- Responsive Design  
- Collaboration & Documentation"
98276,"Junior UI/UX Designer  
Self-educated in UI/UX design through online courses, literature, and exploration of cutting-edge design technologies. Continuously developing portfolio by adding new projects and improving the quality of work.  

**About Me**  
Junior UI/UX designer with experience in team and individual design projects. Solid foundation in design principles, including color theory, typography, and layout. Seeking opportunities to expand experience and collaborate with a team to create exceptional user experiences.  

**Project Experience**  
**Website Redesign | Tattoo Studio**  
December 2022 – January 2023  
Redesigned the tattoo studio website to create a modern and user-friendly interface. Enhanced navigation elements, introduced new functions for ordering tattoos, improved the quality of images showcasing tattoo artists' work, and added customer reviews.  

**UI/UX Design | Service for Finding Lost Animals**  
February 2023 – March 2023  
Developed a study project for a web service dedicated to finding lost pets. Designed functionality for creating and publishing ads about lost or found animals. Aimed to create a tool for efficient information dissemination and communication between pet owners. Collaborated with experienced designers, received assignments, and improved professional skills by learning new technologies and trends in UI/UX design."
98277,"**UX/UI Designer**  

**About Me**  
Creative and detail-oriented UX/UI Designer specializing in visually compelling digital products. Expertise in designing intuitive websites, mobile apps, branding, and marketing materials.  

**Work Experience**  

**Korg Sound Library Cover Design**  
- Designed two custom illustrations for sound library covers  
- Consulted with clients to clarify requirements and incorporate feedback  
- Delivered polished final assets meeting client specifications  

**Sinevibes 3D Logo Animation**  
- Modeled and textured 3D logo for video intro sequence  
- Implemented dynamic rotation and lighting effects  
- Produced final render after iterative client reviews  

**Featured Projects**  

**UrbanFest Landing Page**  
- Developed clean, minimalist landing page from initial concept  
- Created mood boards and wireframes to guide design process  

**CustomConcepts Tattoo Website Redesign**  
- Researched industry competitors for design insights  
- Modernized UI while improving functionality and visual appeal  

**International Accommodation Web Service**  
- Designed comprehensive travel booking platform  
- Conducted UX research including persona development and journey mapping  
- Created complete information architecture and wireframe system  

**Beatcraft Mobile App**  
- Designed complete mobile interface for music application  
- Incorporated security features and gamification elements  

**Objective**  
Seeking remote collaboration opportunities with creative teams. Committed to continuous skill development and tackling new design challenges."
98278,"**UI/UX Designer**  

**About Me**  
Dedicated UI/UX designer from Ukraine, specializing in intuitive, user-centered designs. Passionate about solving user problems through thoughtful design solutions. Strong attention to detail and a commitment to continuous learning and growth.  

**Skills**  
· Figma (auto layout, styles, components, design systems)  
· User-centered design based on business requirements  
· UX problem identification and troubleshooting  
· Wireframing, prototyping, and adaptive design  
· Competitor and target audience analysis  
· User flow and persona development  

**Project Experience**  

**Lunushka Shop Mobile App**  
Designed a mobile application for an online store, including:  
- Competitor and target audience analysis  
- Persona development with needs, wishes, and fears  
- User flow and detailed wireframes  
- Intuitive UI design and onboarding  
- Animated prototype (Protopie) for customer presentation  

**Globetrot Web Service**  
Created a web service for economical stays abroad, featuring:  
- In-depth research to identify user problems  
- Solution-driven design proposals  
- Detailed wireframes and UI development  
- Adaptive design and prototype animations  

**Redesign: Tattoo Studio Website**  
Modernized a tattoo studio’s website by:  
- Conducting a detailed analysis of existing issues  
- Redesigning for a contemporary, user-friendly interface  
- Developing informative pages to attract clients and artists  

**Flower Shop Landing Page**  
Designed a landing page for a flower delivery service, including:  
- User research and competitor analysis  
- Persona and moodboard creation  
- Prototyping with a focus on seamless navigation  
- Adaptive design for mobile and tablet compatibility  

**Work Preferences**  
- Corporate training and career development opportunities  
- Collaborative, respectful, and friendly work environment"
98279,"ABOUT ME  
Junior UI/UX Designer with experience in team and individual design projects. Skilled in performing the full design cycle: analysis, idea development, prototyping, user interface design, and adaptation. Proficient in creating user-friendly and easily navigable interfaces. Open to working on projects that achieve goals and solve problems.  

PROJECT EXPERIENCE  
**Website Redesign | Restaurant & Hotel Complex**  
October 2022 – November 2022  
Redesigned an outdated website to make it more attractive, modern, and user-friendly. Conducted analysis of the old website, identified disadvantages, and proposed solutions. Created detailed prototypes, visual designs, and adaptations.  

**UI/UX Design | Pet Search Webservice**  
December 2022 – February 2023  
Developed a webservice to help owners of lost animals find them faster. Collaborated in a team environment, enhancing communication, organizational, delegation, and time-management skills. Performed competitor analysis, created user personas, sitemaps, high-fidelity prototypes, user interfaces, and adaptations to deliver a simple, usable, and visually appealing webservice.  

**Mobile App Design | Flower & Gift Delivery**  
February 2023 – Present  
Currently working on a team project to design a mobile app for flower and gift delivery.  

**Landing Page Design | Yoga Studio**  
Independent project to create a landing page for a yoga studio.  

SKILLS  
- Full design cycle: analysis, prototyping, UI design, adaptation  
- User-friendly and navigable interface design  
- Team collaboration and communication  
- Time-management and organizational skills  
- Competitor analysis and user persona creation  
- High-fidelity prototyping and visual design"
98280,"**Junior UX/UI Designer**  

**Skills**  
Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva.  
Skilled in using web services like SimilarWeb.  
Experienced in working with Design Systems, User Flows, and Customer Journey Maps (CJM).  

**About Me**  
Self-motivated and detail-oriented Junior UX/UI Designer passionate about creating high-quality products for users and businesses.  

**Project Experience**  
**Barbershop - Landing Page**  
Designed and developed a landing page to promote a new barbershop in Ukraine, showcasing its range of services. Utilized Figma and Adobe Photoshop to create an engaging and visually appealing design.  

**India Cafe - Website Redesign**  
Redesigned the website for India Cafe to enhance its appeal and attract more visitors. Conducted competitor analysis and user interviews to inform the redesign process. Delivered a modern and attractive website that improved user engagement.  

**Look for - Web Service**  
Developed a web service to help users find accommodations based on their needs and budget. Analyzed the target audience and designed a clear, user-friendly interface. The project was executed in three stages: user-end interface, payment interface, and admin-side interface. Tools used included Figma, Canva, and Adobe Illustrator.  

**Objective**  
Seeking to join a collaborative team to create high-quality products for users and businesses. Eager to embrace new challenges in web design processes."
98281,"[Your Name]  
[Your Contact Information]  

**PROFESSIONAL SUMMARY**  
Experienced designer with 8 years in graphic design and 3 years as Chief Designer (Head of Department). Transitioning into UI/UX design with hands-on project experience, including adaptive redesigns, web and mobile application design, and interface development. Passionate about creating user-friendly digital products with modern, intuitive interfaces.  

**PROFESSIONAL EXPERIENCE**  
**Chief Designer (Head of Department)**  
[Company Name] | [Dates of Employment]  
- Organized and prepared creative projects aligned with the company’s corporate style.  
- Developed design concepts and oversaw department workflows.  
- Led redesign of the company website, designed interfaces for a popcorn machine, created landing pages for KinoboardPRO, and developed design projects for a city café and conference hall.  

**Graphic Designer**  
[Company Name] | [Dates of Employment]  
- Delivered high-quality graphic design solutions across various projects.  

**UI/UX DESIGN PROJECTS**  
**Adaptive Redesign of Website**  
- Updated design, organized content into logical sections, and improved navigation.  
- Conducted competitor research, created wireframes, UI kits, and adapted designs for tablet and mobile.  

**Adaptive Design of Web Service for Cleaning Company**  
- Designed a web service for hiring cleaning company employees, focusing on usability and accessibility.  

**Mobile Application Design for Restaurant Table Booking**  
- Developed a mobile app interface for booking restaurant tables, ensuring intuitive user interaction.  

**Interface Redesign for Popcorn Machine, Kinoprokat-Sumy**  
- Redesigned the interface to align with the company’s branding, including background, button colors, fonts, and icons.  
- Created animations while maintaining button size and layout.  

**Redesign of Website, MAINSAIL Realty Company**  
- Updated design, simplified navigation, and created user-friendly forms and elements.  
- Conducted research, developed wireframes, UI kits, and ensured responsive design.  

**SKILLS**  
- UI/UX Design  
- Graphic Design  
- Adaptive and Responsive Design  
- Wireframing and Prototyping  
- Team Leadership and Project Management  
- Adobe Creative Suite, Figma, Sketch  

**ABOUT ME**  
Aspiring UI/UX designer passionate about creating digital products that enhance user experience and drive business success. Result-oriented, team player, and committed to continuous learning and professional growth.  

**PREFERENCES**  
- Flexible work schedule for work-life balance.  
- Remote work preferred.  
- Opportunities for career and financial growth.  

**CONTACT**  
[Your Email] | [Your Phone Number] | [LinkedIn/Portfolio Link]  
I look forward to connecting with you!"
98282,"[Your Name]  
[Your Contact Information]  

**Summary**  
Detail-oriented junior UI/UX designer with a background in HR, specializing in creating intuitive and visually engaging digital experiences. Proficient in designing user-centric websites and mobile applications, with a commitment to innovation and continuous skill development.  

**Project Experience**  
**Eventize – Mobile Application (2023)**  
- Designed a user-friendly mobile app for discovering, booking, and planning events.  
- Developed a streamlined interface for venue selection, task management, and event customization.  
- Ensured intuitive navigation and visual appeal to enhance user engagement.  

**Guesture – Web Application (2022)**  
- Created a web platform facilitating budget-friendly travel through task-based accommodations.  
- Designed a responsive interface for seamless browsing and booking of guest stays.  
- Tailored the experience for students and young travelers seeking affordable exploration.  

**Objective**  
Seeking a dynamic role in a forward-thinking company where I can contribute my design skills, adaptability, and problem-solving abilities to deliver exceptional user experiences."
98283,"**Junior UX/UI Designer & Team Leader**  

**About Me**  
Detail-oriented Junior UX/UI Designer with a strong focus on creating intuitive and visually balanced digital experiences. Skilled in merging user-centered design (65%) with aesthetic appeal (35%). Experienced in leading collaborative projects, currently guiding a team in a course-based initiative. Committed to professional growth in UX/UI design and developing a personal design brand.  

**Experience**  
**Team Leader**  
_Pet Project: Web Service ""Shine"" (Cleaning Companies)_  
- Oversaw project workflow, task delegation, and team coordination.  
- Contributed to UX/UI design and development efforts.  
- Provided mentorship to enhance team productivity and creativity.  

**Projects**  
**Landing Page: ""FlowerLover""**  
- Created a minimalist one-page website for floral deliveries, prioritizing usability.  
- Ensured visual harmony to minimize cognitive load for users.  
- Conducted competitor research, audience analysis, and curated moodboards.  
- Developed wireframes, interactive prototypes, and a unified UI kit.  
- Incorporated subtle animations and optimized responsiveness for mobile and tablet.  
- Published the final case study on Behance.  

**Website Redesign: ""A Kids Place Childcare""**  
- Redesigned a kindergarten website to improve engagement and modernize its look.  
- Performed UX analysis to identify and address existing pain points.  
- Researched competitors and defined audience profiles to guide design decisions.  
- Produced wireframes, prototypes, and a scalable UI kit.  
- Applied adaptive design principles with animations for all devices.  
- Documented the process in a Behance case study post-launch.  

**Skills**  
- UX Research & Strategy  
- UI Design & Prototyping  
- Wireframing (Figma, Adobe XD)  
- Competitor & User Analysis  
- Moodboard & UI Kit Development  
- Responsive Design (Mobile-First)  
- Micro-interactions & Animation  
- Case Study Presentation  
- Agile Team Leadership  

**Work Philosophy**  
Collaborate with clients who value design integrity and professional dedication."
98284,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking a Junior UI/UX Designer position to apply my knowledge in creating site structure, interaction flows, page wireframes, and interface requirements, as well as visual styles for sites and applications.  

**Education**  
**Web Design (UX/UI) Courses**  
UX Energy IT School, Jun 2018 – Sep 2018  
- Gained knowledge in creating site structure, interaction flows, page wireframes, and interface requirements.  
- Developed skills in visual styles for sites and applications, including layout, color, typography, and iconography.  

**Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe Experience Design  
- Axure  
- InVision  

**Experience**  
No professional experience listed."
98285,"**Dima**  
Kyiv, Ukraine  

**Junior UI/UX Designer**  

**Summary**  
Detail-oriented junior UI/UX designer with a passion for creating intuitive, modern, and engaging interfaces. Proficient in wireframing, prototyping, and component-based design in Figma. Experienced in designing landing pages and multi-page projects with a focus on usability and aesthetics. Committed to meeting deadlines and continuously improving skills.  

**Skills**  
- Wireframing and prototyping in Figma  
- Component and auto-layout creation  
- Landing page and multi-page project design  
- UI/UX design principles and best practices  
- Deadline-driven and detail-oriented  
- Self-motivated learner  

**Education**  
**Projector — Creative & Tech Online Institute**  
Web Design Beginning | 2022  

**Projector — Creative & Tech Online Institute**  
Web Design Junior | 2022–2023"
98286,"[Your Name]  
[Your Contact Information]  

**UI/UX & Graphic Designer**  

Highly motivated and creative designer with a passion for delivering exceptional user experiences and visually compelling UI. Strong understanding of the design process, coupled with a background in marketing, enables effective contributions as a UI/UX or graphic designer.  

**Professional Experience**  

**Marketing Manager / Designer**  
[Company Name] | [Dates of Employment]  
- Designed marketing materials (brochures, leaflets, stands) using Figma, Adobe Photoshop, and Adobe Illustrator.  
- Created visuals for websites, social media posts, and campaigns.  
- Planned and developed email newsletters.  
- Edited videos for social media platforms.  
- Wrote content for websites, marketing materials, campaigns, and email newsletters.  

**Skills**  
- UI/UX Design  
- Graphic Design  
- Figma  
- Adobe Photoshop  
- Adobe Illustrator  
- Video Editing  
- Content Writing  
- Marketing Strategy  

**Education**  
[Degree Name] | [Institution Name] | [Year]"
98287,"**Professional Summary**  
Proficient in the interface design process with hands-on experience in creating prototypes for diverse products. Skilled in analyzing conditions, testing prototypes, and leveraging data to refine designs. Deep understanding of user needs and familiarity with examples of effective design. Experienced in crafting simple and intuitive web browser layouts and designing interactive UX applications. Strong team player with a solid grasp of collaborative principles.  

**Work Experience**  
**UI/UX Designer**  
*alkima web & design*  
March 2023 - Present  
- Conduct user experience research.  
- Develop sitemaps, wireframes, and user interfaces.  
- Utilize Webflow builder for design projects.  
- Design website banners and social media creatives.  
- Create logos and conceptualize design systems.  

**Sales Manager**  
*Vinnytsia Distribution Company*  
January 2019 - February 2022  
- Collaborated with teams to meet sales objectives.  
- Built and maintained client relationships.  

**Career Objective**  
Aiming to contribute to a team-oriented environment by developing projects that improve user interaction with technology. Focused on designing interfaces for websites, mobile apps, and software."
98288,"**Professional Experience**  

**Freelance Developer**  
- Developed and delivered projects for diverse clients, including early-stage gaming, cryptocurrency exchanges, and crypto-related websites.  
- Liaised directly with project managers to ensure deliverables met expectations and requirements.  
- Partnered with web developers to refine and execute layout specifications.  
- Managed shifting project scopes while maintaining efficiency and meeting deadlines.  

**Skills**  
- Cross-functional collaboration  
- Client communication  
- Technical coordination  
- Agile project adaptation"
98289,"[Your Name]  
[Your Contact Information]  

**Portfolio**  
All work created in Figma.  

**Project 1: Law Firm Landing Page**  
Designed a responsive landing page for a legal services provider. Key contributions:  
- Conducted client consultations to define project requirements  
- Performed market research on legal industry design trends  
- Developed visual mood boards to establish design direction  
- Selected typography and color palettes aligned with brand identity  
- Created wireframes and multiple design concepts  
- Delivered final high-fidelity mockups  
- Implemented adaptive layouts for mobile, tablet, and desktop viewing  

**Project 2: Pastry Shop E-Commerce Website**  
Designed a digital storefront for bakery goods delivery. Highlights:  
- Applied Figma auto-layout techniques for efficient component structuring  
- Leveraged fundamental UI/UX principles throughout the design process  

**Core Competencies**  
- Expert Figma practitioner  
- Wireframing & interactive prototyping  
- Brand identity creation  
- Cross-device responsive design  
- Auto-layout implementation  
- User research & competitive analysis"
98290,"**Skills**  
- Proficient in Adobe Photoshop, Illustrator, and Figma  
- Quick learner with strong adaptability to new challenges  
- Detail-oriented with a keen eye for design  
- Strong problem-solving abilities and willingness to take initiative  

**Experience**  

**Education**  

**Additional Information**  
- Eager to expand knowledge in graphic design tools and techniques"
98291,"**Professional Summary**  
Detail-oriented UI/UX Designer with expertise in creating intuitive and functional designs. Proficient in wireframing, prototyping, and user research to deliver seamless user experiences. Skilled in SQL for database management and data validation. Adept at using Figma and Adobe Illustrator for modern, structured designs. Seeking a full-time or flexible role in a company committed to improving productivity and user experience.  

**Skills**  
- UI/UX Design  
- Wireframing & Prototyping  
- User Research & Competitive Analysis  
- SQL Database Management  
- Bug Reporting & Test Case Execution  
- Tools: Figma, Adobe Illustrator, Slack  

**Projects**  
**Website Redesign – “A Kids Place Childcare” (Study Project)**  
- Redesigned a childcare center’s website with a modern, user-friendly approach.  
- Conducted user research, competitive analysis, wireframing, and prototyping.  
- Tools: Figma, Adobe Illustrator  

**Web Service – “Medical Clinic” (Study Project)**  
- Developed a web service to enhance doctor-patient interactions through online consultations and automated documentation.  
- Responsibilities: Baseline study, Jobs-to-be-Done, User Flow, Customer Journey Mapping (CJM), prototyping, and UI design.  
- Tools: Figma, Adobe Illustrator, Slack  

**Experience**  
- Designed and executed test cases to ensure software quality.  
- Prepared detailed bug reports for efficient issue resolution.  
- Managed databases and validated data accuracy using SQL.  

**Objective**  
Seeking a full-time or flexible position in a forward-thinking company focused on streamlining workflows and enhancing user experiences. Quick learner, highly responsible, and eager to take on complex tasks."
98292,"**Professional Summary**  
UX/UI Designer with hands-on experience in mobile app design, specializing in landing pages, sign-up/log-in forms, and user interfaces. Contributed to the ""DayDrive"" app project, focusing on UX improvements and functional design. Skilled in wireframing, prototyping, and user research, with a strong emphasis on usability and aesthetics. Fluent in English and passionate about solving UX challenges while aligning business goals with user needs.  

**Experience**  
**UX/UI Designer**  
Design Studio, Kyiv  
- Designed and refined interfaces for the ""DayDrive"" mobile app, enhancing user experience.  
- Collaborated with cross-functional teams to deliver visually appealing and intuitive designs.  

**Education**  
Mentoring Program in UX/UI Design  
- Gained expertise in creating landing pages, forms, and interactive interfaces.  

**Skills**  
- UX/UI Design  
- Wireframing & Prototyping  
- User Research  
- Usability & Aesthetics  
- Advanced Spoken English  

**Interests**  
Solving UX challenges, optimizing user experiences, and merging usability with visual design."
98293,"**UI/UX Designer**  

**Education**  
- **UI/UX Design Advanced Level Course** – IT School Hillel (First-Class Degree Diploma, 2nd Place in Student Ratings)  
- Continuously enrolled in design-related online courses across various platforms  

**Experience**  
**Freelance UI/UX Designer** – Upwork (Top Rated) | Apr 2020 – Present  
- Redesigned CRM systems  
- Developed a components library for a site-builder service  
- Designed mobile applications  
- Created CRM interface designs  

**UI/UX Design Studies** | Sep 2019 – Mar 2020  
- Gained expertise in UX (research, analysis, prototyping), typography, grid compositions, animations, color systems, and responsive design  
- Applied knowledge to diploma project: a CRM system for a sports complex  

**Landing Page Designer & Collaboration** | July – Aug 2019  
- Designed a landing page for educational courses  
- Collaborated with developers on testing and CRM/web design  
- Decision to pursue formal UI/UX design education  

**Career Goals**  
Seeking a company with a warm, friendly team where I can grow as a designer while contributing to challenging and engaging projects."
98294,"**UI/UX Designer**  

**APR - MAY 2023**  
**App Project: Food Delivery App**  
- Conducted UX tasks including Personas, Customer Journey Maps (CJM), Empathy Maps, Competitor Analysis, Site Maps, and User Flows.  
- Executed UI tasks including Wireframing, Concept Development, and Visual Design.  

**JUNE 2023**  
**Landing Page: Craft Beer Brewery**  
- Performed UX tasks including Competitor Analysis, Information Architecture, and Moodboard Creation.  
- Completed UI tasks including Wireframing, Visual Design, and Animation."
98295,"Here’s an improved version of your resume while strictly adhering to the original content:  

---  

[Your Name]  
[Your Contact Information]  

**UX/UI Designer**  

**About Me**  
Artists express themselves. Designers solve problems. As an aspiring UX/UI designer, I combine creativity with problem-solving to create useful, revenue-driving products. My background in art and design enables me to deliver visually appealing and functional solutions.  

**Skills**  
- **Design Tools:** Adobe Illustrator, Adobe Photoshop, Figma  
- **UX Research:** User Flow, User Story, CJM, User Scenario  
- **Prototyping:** Low- and high-fidelity prototyping, interactive prototyping (Figma)  
- **Visual Design:** Color theory, typography, composition, logo design  
- **UI Frameworks:** Material Design & Human Interface Guidelines  
- **Design Systems:** UI-kit creation, components, variants, auto layout (Figma)  
- **Web Design:** Adaptive design, basic HTML/CSS, Tilda  

**Projects**  
- **Vinyl Shop Website** – Designed desktop and mobile versions.  
- **Sign Language Study App** – Conducted UX research, applied Human Interface/Material Design, and created a landing page.  
- **Car Trip Planning App** – Led UX research, developed a design system, applied Human Interface Design, and designed a landing page.  

**Availability**  
Open to new opportunities in web design. Seeking roles that align with my skills and experience.  

---"
98296,"**Name** [Your Name]  
**Email** [Your Email] | **Portfolio** [Your Portfolio Link] | **LinkedIn** [Your LinkedIn Profile]  

### **Designer | Volunteer**  
[Charitable Foundation Name] | [Dates of Involvement]  
- Designed landing pages, banners, and logos to support the foundation’s mission.  
- Ensured visual consistency across digital assets.  

### **Skills**  
- UI/UX Design (Landing Pages, Mobile Apps)  
- Prototyping (Hi-Fi & Lo-Fi Wireframes)  
- Responsive & Adaptive Design  
- UX Research  
- Figma/Adobe XD/Sketch [List Tools You Use]  

### **Education**  
[Your Degree/Course Name] | [Institution Name] | [Year of Completion]  
- Developed skills in UX/UI design, prototyping, and research through coursework.  
- Created solo projects, including landing pages, apps, and prototypes.  

### **Objective**  
Aspiring designer seeking hands-on experience to grow my skills in UI/UX. Passionate about creating intuitive, user-centered designs and eager to contribute to impactful projects."
98297,"Here's the improved version of your resume with refined wording while maintaining factual accuracy:  

---  

**Designer**  

Experienced in both individual and collaborative projects, specializing in landing pages, website redesign, web services, and mobile applications. Developed 3 projects, including one team-based initiative.  

**Key Skills**  
- Landing page and website design  
- User flow research and optimization (patient-side focus)  
- Healthcare web service design  
- Responsive and adaptive redesign  
- Proficient in industry-standard design tools  
- Strong teamwork and communication  
- Receptive to feedback and iterative refinement  
- Deadline-focused execution  

**Project Experience**  

**Landing Page – “Barbershop in Kyiv”**  
- Designed a single-page site to enhance customer acquisition and service promotion.  
- Integrated service details, specialist profiles, testimonials, and unique selling points.  

**Web Service – Medical Clinic (Team Project)**  
- Collaborated on patient-side user experience design.  
- Developed features for online bookings, in-clinic scheduling, health record access, and payment monitoring.  

**Redesign – “KIDS PLACE”**  
- Revamped website design to increase user engagement.  
- Implemented adaptive layouts to improve accessibility and audience reach.  

**Career Objective**  
Seeking a full-time or part-time designer position with a company dedicated to intuitive, business-oriented digital solutions. Passionate about skill growth and solving complex design challenges.  

---"
98298,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  
Experienced in crafting user-centered designs for websites, web services, and mobile applications. Proficient in market/competitor analysis, persona development, wireframing, and UI/UX design methodologies. Skilled in Figma, Adobe Photoshop, Illustrator, and InDesign. Collaborative team player dedicated to delivering visually appealing and functional solutions.  

### **Professional Experience**  
**UI/UX Designer**  
- Designed logo and corporate identity for **Ina&Mi** (women’s clothing brand) using Adobe Illustrator, Photoshop, and InDesign.  
- Developed landing pages, website redesigns, and web services, ensuring alignment with brand identity and user needs.  
- Conducted market/competitor research, created personas, wireframes, and sitemaps to optimize user flows.  
- Collaborated with developers on an accommodation-booking web service, contributing to strategy, competitor analysis, and team coordination.  

### **Skills**  
- **UI/UX Design:** Wireframing, prototyping, persona development, sitemap creation.  
- **Tools:** Figma, Adobe Photoshop, Illustrator, InDesign.  
- **Soft Skills:** Leadership, adaptability, creativity, organization, communication.  

### **Projects**  
**Ina&Mi Brand Identity**  
- Delivered logo and corporate style for a modern clothing brand, achieving client satisfaction.  

**Freedom Accommodation Booking Service**  
- Partnered with developers to analyze competitors, refine strategies, and design an intuitive booking platform.  

**Independent Projects**  
- Designed landing pages, website redesigns, and a restaurant/café table-booking app prototype.  

### **Education**  
**Graphic Design Courses**  
- Hands-on training in Adobe Illustrator, Photoshop, and After Effects for visual design solutions.  

### **Career Goals**  
- Collaborate with teams to build high-quality, user-focused products.  
- Pursue growth through mentorship and skill development.  
- Contribute creativity, enthusiasm, and innovative problem-solving to projects.  

**What I Offer**  
- Team-oriented support to achieve shared objectives.  
- Creative solutions tailored to business and user needs.  
- Commitment to continuous learning and professional excellence."
98299,"**Professional Summary**  
Highly creative and detail-oriented junior UI/UX designer with a passion for crafting intuitive and engaging digital experiences. Skilled in applying design principles and solving complex problems to create user-centered designs that meet the needs of diverse audiences. Eager to continue learning and growing while contributing to dynamic and innovative teams.  

**Experience**  
**Crypto Wallet Tutis**  
*Application, Full Cycle Design*  
- Designed a secure and intuitive platform for managing cryptocurrencies, focusing on user needs and data privacy.  
- Conducted extensive user research to understand the needs of crypto wallet users and incorporated feedback into the design process.  
- Created a user-centered design that ensured a seamless experience while prioritizing asset safety.  

**Redesign Cucina di Catherina**  
*Online Store Website, Full Cycle Design*  
- Redesigned the website to create a modern, user-friendly platform that enhanced the customer experience and increased sales.  
- Conducted user research to identify pain points and needs, designing new visual elements and a fresh color palette to modernize the brand’s image.  
- Performed usability testing to ensure the new design addressed user issues and improved engagement metrics.  

**Project Crypto Wallet**  
*UI/UX Designer*  
- Developed a secure and user-friendly platform for managing cryptocurrencies.  
- Conducted user research and implemented user-centered design principles to meet the needs of the target audience.  

**Skills**  
- Adobe Suite  
- Web interfaces, mobile design, and landing pages in Figma  
- User personas, user scenarios, and sitemaps  
- UX research and competitor analysis  
- Google Material Design Guidelines  
- Photo editing in Photoshop  
- Icon, logo, and illustration design in Illustrator  
- Wireframing and prototyping  
- Visual interface design  
- Site mapping and user flow  
- Design adaptation  

**Career Goals**  
- Work on diverse projects requiring engaging and intuitive user experiences.  
- Collaborate with cross-functional teams, including product managers, developers, and stakeholders, to align designs with business goals and user needs.  
- Conduct user research and create personas to inform design decisions.  
- Design wireframes and prototypes to test and iterate on concepts.  
- Develop design systems and style guides for visual consistency.  
- Advocate for user-centered design principles and promote user needs throughout the design process.  
- Continuously gather feedback and iterate on designs to improve the user experience.  

**Expectations**  
Seeking a dynamic and challenging environment that fosters creative thinking and solving complex design problems."
98300,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Detail-oriented UX/UI designer focused on creating intuitive, user-centered digital experiences. Skilled in applying UI/UX principles through coursework and hands-on projects. Strong collaborator with effective communication skills.  

**Experience**  
Various Roles – [Previous Employers]  
- Adapted quickly to diverse responsibilities, enhancing problem-solving and multitasking abilities.  
- Communicated clearly in team environments and customer-facing interactions.  

**Education & Training**  
UI/UX Design Courses – [Institution/Platform]  
- Studied UI/UX methodologies, wireframing, and prototyping.  
- Applied design thinking through practical project execution.  

**Projects**  
Personal UX/UI Design Projects  
- Developed functional prototypes and interfaces with a focus on usability and aesthetics.  
- Utilized iterative design processes to refine solutions based on user feedback.  

**Skills**  
- UX/UI Design  
- User-Centered Design  
- Collaboration & Communication  
- Problem-Solving  
- Self-Motivated Learning"
