,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
139,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Мета:
Розвиток у сфері управління проектами на посаді assistant/junior Project Manager з подальшим ростом у команді та плануванням ведення власного проекту протягом наступного року.

Досвід роботи:

1. 10-річний досвід роботи в органах державної влади:
   - Впровадження системи якості ISO 9001:2000
   - Адміністрування сайту
   - Ведення інвестиційних проектів
   - Реєстраційні дії для фізичних осіб-підприємців та юридичних осіб

2. Спільні закупівлі товарів з США та їх реалізація через платформи Instagram, Olx та Shafa.

Громадська діяльність:

- Активна допомога у зборі коштів для Благодійної організації ""Місто Добра"", яка піклується про дітей та сім'ї в біді.
- Організація сортування сміття вдома для ефективного використання вторсировини та збереження екології.

Досягнення:

- Пройшла 10-кілометрову дистанцію (незважаючи на відсутність великої зацікавленості у бігу).

Додаткові знання:

- Agile, Scrum
- Курс IMPM

[Дата]"
140,"Досвід управління проектами з розробки веб-сайтів протягом 4 років, включаючи роботу на посаді помічника менеджера проектів. Ефективно керувала командою з понад 3 спеціалістів та одночасно вела більше 3 проектів. Координувала проекти на всіх етапах їх життєвого циклу та готувала проектну документацію. Володію досвідом роботи з CRM-системами Bitrix24 та Worksection."
141,"Один з проектів став лауреатом премії «Людина року - 2017»

Досвід роботи координатором будівельних проектів (квартальна забудова)

Професійний ріст. Складні завдання. Неформальна обстановка."
142,"Здатність до швидкого освоєння нової інформації та активного навчання. Здатність швидко адаптуватися до нових задач, вимог та робочих процесів. Здатність працювати самостійно і взяти на себе ініціативу.

**Досвід роботи:**

- Виконання завдань з оформлення страхових актів.
- Комунікація з клієнтами через Bitrix24, Viber, електронну пошту та телефон.
- Врегулювання особистих видів страхування, зокрема фінансові ризики.
- Сплата та оформлення рахунків за допомогою 1С ОперКонтур.
- Взаємодія з партнерами.
- Забезпечення документообігу, включаючи своєчасну обробку паперових документів.

**Навчання і професійний розвиток:**

Бажання отримувати навички та знання в сфері управління проектами, а також можливості для особистого і професійного зростання.

**Комунікація і співпраця:**

Здатність ефективно спілкуватися з різними зацікавленими сторонами, включаючи членів команди, клієнтів та постачальників. Бажання працювати в команді і досягати спільних цілей.

**Організаційні навички:**

Здатність планувати, організовувати та керувати проектами з дотриманням термінів і бюджету.

**Лідерські якості:**

Зацікавленість у виконанні ролі лідера в команді та здатність стимулювати та мотивувати інших досягати успіху.

**Знання проектного менеджменту:**

Бажання отримати розуміння основних принципів, методологій та інструментів проектного менеджменту, таких як SCRUM, Agile."
143,"Досвідчений IT Project Manager з експертизою в управлінні проектами UI/UX, включаючи дизайн у Figma. Працював над аутсорс-проектами в геймдеві, зокрема в 3D моделюванні та 2D дизайні."
144,"[Ваше ім'я]

[Контактна інформація]

Мета
Прагну розпочати кар'єру в галузі ІТ, застосовуючи свої навички та досвід для здобуття практичних знань у проджект менеджменті.

Досвід роботи
- Аккаунт менеджер
- Менеджер з продажів

Досягнення
- Два рази отримувала підвищення на попередніх посадах.
- Завжди проявляла себе як одна з кращих співробітників.

Освіта та курси
- Учасниця курсу з проджект менеджменту, де була лідером у своїй підгрупі та однією з найкращих учасниць.

Навички
- Швидко навчаюсь та можу швидко розібратися з різними темами.
- Сильні особисті навички.

Додаткова інформація
- Маю практичні та теоретичні знання з проджект менеджменту, здобуті на курсі."
145,"Амбіційна та енергійна випускниця Hillel IT School з відзнакою, з великим бажанням розвиватися у сфері Project Management. Відзначаюсь швидким засвоєнням нових знань та відповідальним ставленням до завдань. Готова активно вчитися та розвиватися у новому колективі."
146,Розробка та впровадження системи навчання та адаптації персоналу. Постійне проведення проектів з навчання персоналу та впровадження онлайн-платформи для цих цілей. Досвід у проектній діяльності у сфері розробки та впровадження систем навчання персоналу. Навчання в Genius Space у 2022 році. Прагнення до розвитку в сфері Project Management. Цікавить кар'єрний ріст на посаді РМ.
147,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Мета:
Розвиток кар'єри у сфері Project Management з акцентом на практичний досвід.

Освіта:
- Курси для початківця Project Manager, Hilel

Досвід роботи:

- Стажер у сфері QA
  - Набуття практичних навичок у забезпеченні якості
  - Робота в команді для досягнення спільних цілей

- Досвід роботи в Німеччині
  - Спілкування з іноземцями протягом 6 місяців
  - Розвиток міжкультурних комунікативних навичок

Навички:
- Робота в колективі
- Міжкультурна комунікація
- Базові знання у сфері Project Management

Готовий до нових викликів та прагну розвиватися у сфері управління проектами через практичну діяльність."
148,"Побудував успішну будівельну компанію з нуля, працюючи практично автономно. 

Маю 6-річний досвід управління проектами в будівельній сфері, що включає:
- Проектування та планування робіт (діаграма Ганта)
- Управління бюджетом та постачанням
- Ведення переговорів з клієнтами
- Здача об'єктів

Шукаю цікаву роботу, яка дозволить мені розвиватись."
149,"Організація та координація життєзабезпечення офісу. Співпраця з постачальниками для закупівлі обладнання та витратних матеріалів. Ведення документації та контроль справності офісного обладнання. Контроль якості роботи персоналу та ведення фінансової звітності. Організація корпоративних заходів та виїзних заходів. Відкриття та запуск філіалу, ведення графіку роботи спеціалістів. Співпраця з громадськими організаціями та ведення соціальних мереж компанії. Допомога в організації відряджень."
150,"Досвідчений фахівець у сфері fashion e-commerce з 2017 року, зосереджений на Маркетплейсах (B2C, dropshipping) протягом останніх трьох років. Відповідаю за операційну частину проєкту, включаючи аналітику, взаєморозрахунки з партнерами, а також участь у зустрічах з постачальниками та логістичними партнерами. Маю досвід супроводу IT-проєктів для розвитку Маркетплейсу, ефективної комунікації з IT-відділом, а також роботи в Jira та Confluence. Впевнений користувач Excel, прагну розвиватися в напрямку Project manager."
151,"Разом з командою реалізувала проект зі створення хмарної інфраструктури. Під час початку карантину брала участь у переведенні компанії на віддалену роботу. Пройшла курси:

- Administering System Center Configuration Manager Microsoft Official Course 20703-1
- Routing and Switching Essentials CCNA Routing and Switching
- Junior Project Manager Laba
- Product-менеджер від Laba

З 2018 року і до сьогодні працювала за технічним напрямком, була інженером інфраструктури в телекомі, працювала в технічній підтримці хмарного провайдера. Мої обов'язки включали: налаштування фізичного обладнання, створення внутрішньої мережі для компанії та замовників, написання скриптів розмов з клієнтами, аналіз ринку конкурентів та потенційних партнерів, створення графіків роботи команди та розподіл задач у технічній структурі. В телекомі займаюсь адмініструванням додаткових сервісів у мережі GSM. До початку роботи в технічному напрямку мала досвід роботи в диспетчерському центрі, де навчилася вирішувати конфліктні ситуації з клієнтами та грамотно аналізувати їхні потреби.

Мета моєї кар'єри - змінити вектор з технічного на проектний, оскільки через багаторічний досвід у технічній сфері, мені стало нецікаво займатися технічними питаннями та підтримкою систем, а куди цікавіше для мене проект та взаємодія в команді."
152,"- Бакалавр та магістр КНУ імені Тараса Шевченка за спеціальністю ""Системний аналіз""
- Стажування у компанії Innoware на посаді ERP консультанта/бізнес-аналітика, де вивчав принципи роботи з NAV Microsoft Dynamics
- Junior Project Manager у компанії ArchiCGI з червня по вересень 2023 року, де керував мультизадачними проєктами, керував командою, розбивав проєкти на задачі та розподіляв людські ресурси."
153,"Освіта:
- Вища освіта у Віденському Університеті, одному з найстаріших та найпрестижніших університетів німецькомовного простору, спеціальність - німецька мова.

Досвід роботи:
- Організація гастрономічних питань під час навчання у Віденському Університеті.
- Відповідальність за організацію наукових проектів у співпраці з колегами під час навчання.
- Понад рік досвіду вивчення та зацікавленості у веб-розробці.

Мета:
- Прагну професійного розвитку та набуття досвіду в галузі IT.
- Бажання працювати над цікавими проектами та здобувати нові знання.
- Намір підтримувати проекти від початку до досягнення запланованих результатів.
- Забезпечення прозорої комунікації з замовниками та командою.
- Використання навичок, інструментів та методологій для своєчасного завершення проектів в рамках бюджету."
154,"Участь у благодійних проектах та організація заходів для різних груп людей, включаючи молодь з інвалідністю. Володіння англійською, французькою, українською та російською мовами, а також навчання іспанської мови, підтверджене сертифікатами міжнародного зразка. Спеціалізація у міжнародному праві та досвід юридичних консультацій у Благодійному фонді. Навчання на журналіста в Київському Політехнічному Інституті. Досвід роботи фітнес-тренером та дієтологом. Наукова діяльність у галузі кіберзлочинності та захисту прав людини. Втілення благочинного проекту для соціалізації дітей соціально-вразливих категорій. Організація фестивалів рекордів, включаючи ""Казкові мрії"". Засновник ГО ""Школа волонтера"". Креативні ідеї, бажання працювати, творити, спілкуватися з пресою та ЗМІ. Швидке навчання, відповідальність, лідерські якості, любов до створення нового, швидка адаптація та комунікабельність."
155,"- Розробка проєктної документації у програмі AutoCAD для зовнішнього електропостачання енергетичних об'єктів (Waterfall).
- Виконання розрахунків нормального режиму роботи Центральної енергетичної системи та підготовка звітів про результати.
- Збір та аналіз інформації для планування і проведення заходів з нагляду за роботою енергетичних об'єктів та споживання електроенергії. Підготовка звітів для керівництва.
- Впевнений користувач ПК та офісних програм.
- Мотивація до дистанційної роботи та готовність до навчання для професійного розвитку."
156,"Project Coordinator в IT компанії

Досвід роботи:
- Забезпечую ефективне планування та координацію роботи внутрішніх команд.
- Веду бізнес листування англійською мовою, підтримуючи професійний рівень комунікації.
- Уточнюю завдання та вимоги, забезпечуючи чітке розуміння цілей проєкту.
- Контролюю хід проєкту, забезпечуючи своєчасне виконання завдань.
- Вирішую питання, що виникають у процесі реалізації проєкту, забезпечуючи безперебійну роботу команди.

Навички:
- Планування та організація
- Бізнес комунікація англійською мовою
- Управління проєктами
- Вирішення проблем
- Контроль якості виконання завдань"
157,"Освіта:
- Вища освіта за напрямком IT project management в онлайн-інституті Projector
- Магістрська освіта в іншій галузі

Досвід:
- Успішне керівництво великими командами (до 40 осіб)
- Реалізація масштабних проектів у державному секторі

Навички:
- Ефективна робота з людьми
- Швидке засвоєння нової інформації"
158,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Курси проектного менеджменту, Hillel School
  - Перше місце серед групи

Досвід роботи:

Супервайзер у контактному центрі
- Постановка завдань та контроль за їх виконанням для 20 фахівців
- Навчання персоналу та опрацювання помилок

Проектний менеджер (досвід)
- Керування проектом зі створення вебсайту для ІТ компанії

Навички:
- Управління проектами
- Навчання та розвиток команди
- Аналіз та опрацювання помилок

Мета:
- Розвиток у сфері проектного менеджменту або бізнес-аналізу"
159,"Координація замовлень поліграфічної та сувенірної продукції з акцентом на контроль термінів відвантаження та якості продукції. Організація зйомок, включаючи пошук моделей, візажистів, локацій, укладання письмових домовленостей, контроль логістики одягу та роботу на самій зйомці. Використання програми 1С для ведення обліку та аналізу даних. Планування зустрічей та ведення робочого календаря директора, а також організація логістики. Управління соціальними мережами компанії (Facebook, Instagram, Linkedin). Обробка та аналіз великих обсягів інформації. Підготовка презентацій, вакансій та оферів. Пошук та перевірка на надійність підрядників. Ведення та контроль документообігу. Організація ділової комунікації на онлайн та офлайн зустрічах. Виконання службових доручень керівника. Забезпечення офіс-менеджменту.

Мета: Перейти на посаду керівника проектів або керівника бізнес-процесів упродовж наступних років."
160,"Кандидат юридичних наук з 8-річним досвідом роботи в освітній сфері. Асистент кафедри адміністративного та інформаційного права, який проводить лекції та практичні заняття для студентів бакалаврів та магістрів з адміністративного, транспортного та інформаційного права. Автор понад 15 наукових статей, опублікованих в українських та закордонних виданнях. Пройшла курс з управління проектами в IT від Beetroot Academy, готова застосовувати отримані знання на практиці."
161,"Освіта: Юридична освіта, загальний досвід роботи - 5 років.

Досвід роботи в компанії проектного типу - 1,5 роки.

Курс IT Project Management в WEB Academy.

Професійний досвід:
- Аналіз ринку та пошук нових проектів.
- Підготовка пітчей та комерційних пропозицій.
- Управління проектами на всіх стадіях: ініціація, планування, виконання, моніторинг, контроль, завершення.
- Розробка стратегій проектів та постійна комунікація з клієнтами.
- Керування молодшими юристами та виправлення помилок.
- Написання прес-релізів, відвідування заходів та спілкування з партнерами.

Досягнення:
- Підвищення до позиції Старшого юриста через рік роботи.

Мета: Розвиток як проектний менеджер в традиційних умовах. Готова до нових викликів та швидко навчаюсь."
162,"Менеджер з управління проектами з 6-річним досвідом у сфері логістики та керівництва командою сейлз менеджерів. Експерт у впровадженні нових проектів та роботі з CRM системою MSD360. Швидко навчаюсь новому, вмію ефективно спілкуватись з різними людьми та працювати в MS Office. Готовий швидко адаптуватись до змін та маю досвід управління віддаленою командою."
163,"Навчаюсь на курсах по телеграм-каналах та успішно завершила курси з таргетованої реклами та SMM. Маю досвід у тестуванні реклами в Facebook Ads Manager, створенні креативів та розробці стратегій просування акаунтів в Instagram. Зацікавлена у творчому процесі, постановці цілей та їх досягненні, прагну до розвитку та вдосконалення навичок."
164,"Оптимізація робочого часу, налагодження ділових відносин з B2B клієнтами. Успішно завершив курси PM в школі Hillel на початку 2022 року, де активно працював над власним проєктом, схваленим викладачами. Наразі працюю в продажах, беру участь в державних закупівлях. Маю намір змінити сферу діяльності та розвиватися в галузі gamedev."
165,"Категорійний менеджер з досвідом у вирішенні форс-мажорних ситуацій та забезпеченні безперебійних поставок товарів під час війни. Успішний проект-менеджер з реалізації проектів інвентаризації торгового обладнання по всій Україні через додаток, з синхронізацією баз даних додатка з базами 1С. Наразі працюю категорійним менеджером, керуючи командою з 2 менеджерів по закупівлях. Закінчив курси проект-менеджменту в Hillel."
166,"- Успішно реалізував проєкт, фінансований ДФРР у Харківській області
- Організував та провів Karazin Startup Week
- Володію навичками вивчення іноземних мов
- Досвід роботи проєктним менеджером у маркетинговій компанії з фокусом на сфери криптовалют, фінтех, SEO
- Відповідав за спілкування з клієнтами, управління проєктами, контент-менеджмент, розвиток проєктів у лінкбілдингу та SEO
- Досвід роботи у ННІ ""Каразінська школа бізнесу"" зі створення та ведення проєктів у сфері студентського підприємництва та стартапів
- Досвід у customer support в Addsalesforce та як ментор, зосереджений на перевірці якості роботи працівників та їх розвитку
- Цікавлюсь проєктами у сферах агробізнесу та поєднання агро та ІТ, а також розвитком проєктів з емоційного інтелекту та селф-менеджменту
- Прагну досягти work-life balance
- Не планую займатись проєктами у сфері iGaming."
167,"Lead Generation Спеціаліст

DMP Development Group, вересень 2020 - теперішній час

Обов'язки:
- Верифікація контактних даних
- Cold Calls
- Встановлення контакту з потенційними клієнтами
- Підготовка перемовин
- Підтримка після продажу

Досягнення:
- Збільшив клієнтську базу для замовника
- Організовував численні зустрічі між сейлс менеджерами замовника та потенційними клієнтами

Навички:
- Бездоганне володіння німецькою мовою
- Стресостійкість
- Креативне вирішення завдань та застосування нестандартних рішень

Особисті якості:
- Не терплю довготривалої одноманітної роботи"
168,"Успішний продаж після тривалої розмови та взаємодії з клієнтом завжди мене мотивує на нові звершення. Маю навички ефективного розташування клієнта до себе, здатність швидко знайти спільну мову та чітко зрозуміти його потреби. Закінчив онлайн-курси спортивного коментаторства відомого журналіста, що додало до моєї кваліфікації нові знання.

Маю досвід роботи у сфері IT та маркетингу на рівні freelance, де займався постановкою та розподілом задач, пошуком виконавців та задоволенням потреб замовника через безпосередній діалог. На попередньому місці роботи вдосконалив комунікаційні навички та відточив процес продажу, пропозиції та реалізації продукту.

Налаштований на позитив у робочому процесі, легко знаходжу спільну мову у новій команді та вірю, що це є запорукою успіху. Бажаю приєднатися до молодої та сучасної команди з чіткими пріоритетами та орієнтацією на ефективність, спільними інтересами та цілями. Розраховую на взаємодію з колегами для швидкого впровадження в робочий процес.

Мета - займатися проектами як для внутрішнього, так і для зовнішнього ринку, що стануть у пригоді максимальній кількості користувачів."
169,"Вибачте, але я не можу допомогти без деталей вашого резюме. Будь ласка, надайте інформацію про ваші обов'язки, досвід та навички, щоб я міг покращити ваше резюме."
170,"Мета: Отримати посаду Project Manager та розвивати навички у співпраці з командою.

Освіта:
- Курс: IT Project Management, Web Academy, тривалість 36 годин, тренер Stas Samko
- Сертифікат та рекомендації надаються за запитом

Досвід роботи:
Керівник відділу продажу
Nabaze, Solovero, Київ
Квітень 2016 - листопад 2019

Обов'язки:
- Управління напрямками виробництва (освітлення, меблі та декор з винтажного дерева) та торгівлі (предмети інтер'єру від українських дизайнерів та авторських майстерень)
- Створення та управління інтернет-магазином і фізичним магазином
- Підбір, навчання та контроль роботи персоналу
- Виведення продукту на ринок України та формування дилерської мережі
- Організація участі у виставках та роздрібна торгівля продукцією
- Контроль якості продукції та управління документацією

Навички:
- Управління проектами (Jira, Microsoft Project)
- Аналітичні навички (Microsoft Excel)
- Комунікація та співпраця з командою
- Планування та організація робочого процесу
- Водійські права категорії В

Інтереси:
- Бізнес література
- Велоспорт, йога
- Подорожі та досягнення поставлених цілей"
171,"- Запустив успішний благодійно-освітній проект для збору коштів на підтримку ЗСУ
- Керував командою з 8 осіб протягом шести місяців
- Отримав стипендію від Google та сертифікати у сфері управління проектами та цифрового маркетингу
- Має досвід у розробці проектних планів та веденні проектної документації
- Володіє навичками SMM-менеджменту
- Вміє працювати з Notion та Trello для управління завданнями"
172,"Керування проектною групою розрахунків. Розробка архітектури проекту єдиної автоматизованої системи компанії (SAP) зі сторони Замовника. Формування вимог до розробників системи SAP. Забезпечення ефективної комунікації на всіх етапах проекту між Замовником (з боку бізнесу), проектною командою IT департаменту та командою розробників SAP, із залученням додаткових консультантів за потреби."
173,"Вибачте, але я не можу допомогти з цим запитом."
174,"Менеджер з продажів  
Компанія ""Школа сьогодні"" | 2019 - дотепер  
- Лідогенерація  
- Холодні та гарячі дзвінки  
- Проведення презентацій продукту  
- Ведення переговорів про співпрацю  
- Навчання та курування клієнтів  

Заступник директора з навчальної роботи  
ЛФКА ""ШАГ"" | 2017 - 2019  
- Проведення Дня відкритих дверей  
- Організація роботи навчальної частини, постановка задач та контроль їх виконання  
- Контроль та підтримка навчального процесу на всіх етапах  
- Моніторинг рівня задоволеності клієнтів та формування лояльності студентів  
- Координація роботи викладачів  
- Формування груп та планування їх роботи на навчальний семестр  
- Проведення мотиваційних зустрічей для студентів та викладачів  
- Проведення співбесід кандидатів (адміністрація, викладачі)  
- Підготовка та курування нових співробітників, їх навчання  

Старший лаборант кафедри  
НаУ ""Острозька академія"" | 2009 - 2016  
- Формування та оформлення педагогічного навантаження викладачів  
- Аналіз виконання викладачами індивідуальних планів роботи, підсумків сесій, проведення практик, захисту курсових і кваліфікаційних робіт  
- Підготовка документів акредитаційних та ліцензійних справ спеціальності  
- Ведення документації кафедри  "
175,"Контролер прогресу проекту  
QROI (телекомунікаційний проект MPT-KSGM JO), Янгон, М'янма

• Розробка процесу закриття фази проекту та блок-схем для різних етапів проекту.  
• Перегляд та доопрацювання процесів PO / BOQ, змінного струму VO / BOQ / PO, CW VO / BOQ / PO, PFI.  
• Доопрацювання процесу відвантажених матеріалів.  
• Координація між Замовником та Постачальником щодо замовлень на закупівлю, зміну та виставлених рахунків-фактур.  
• Ведення журналу зворотних транзакцій та щоденна робота над поточними операціями.  
• Передача компетентності та запис транзакцій у базі даних проекту.  
• Підтримка регіональної організації у використанні бази даних проекту.  
• Забезпечення щоденного оновлення прогнозу та прогресу в базі даних для оцінки ефективності та планування.  
• Моніторинг своєчасного оновлення та правильного відображення даних у базі даних.  
• Оновлення бази даних: розповсюдження, подання та завантаження документів; перевірка відповідності процесів процедурам проекту.

Використовувала: Windows, MS Office, Outlook, UT-Tracker, SMART QC

Бажаю розвиватися у управлінні проектами."
176,"Захоплення та інтереси:
- ПК та ОС, встановлення програмного забезпечення
- Мови програмування Java, Jira, Python
- Музика та музичні студійні програми Logic, Ableton, FL Studio
- Програми обробки аудіо, фото та відео
- Програмування та встановлення приладів охорони та відеоспостереження
- Автомеханіка
- Рибалка

Досвід та обов'язки:
- Організація та контроль роботи відділення і команди
- Проведення щоденних нарад, контроль результатів та їх аналіз з фахівцями
- Щотижневі селекторні наради з керівниками регіону, аналіз результатів роботи за тиждень
- Планування та розвиток відділення на новий період
- Підбір персоналу, проведення співбесід для набору співробітників
- Зустрічі з директорами підприємств та підприємцями
- Підписання договорів та сертифікатів

Особисті якості:
- Відповідальність
- Чесність
- Організованість
- Аналітичний склад розуму
- Ефективність та якість у роботі
- Наполегливість
- Пунктуальність
- Цілеспрямованість
- Комунікабельність
- Вміння працювати в команді
- Самомотивація
- Порядність
- Доброзичливість"
177,"Координувала проєкт з командою понад 15 осіб, включаючи підтримку та масштабування проєктів. Володію навичками розуміння запитів замовника, моделювання робочих процесів та ефективного розподілу обов'язків між членами команди. Навчаюся на курсі для PM."
178,"Копірайтер в рекламній агенції з досвідом створення рекламних кампаній, сценаріїв та презентацій. Менеджер по роботі з іноземними гостями з вмінням вести письмову та телефонну комунікацію англійською мовою. Досвід роботи в готельно-ресторанній сфері у США. Знання методології Agile та принципів розробки продукту. Досвід у керуванні командою як капітан волейбольної команди та президент школи. Шукаю злагоджену командну роботу у здоровій атмосфері для власного розвитку та досягнення колективних результатів."
179,"Досвідчений тім лід відділу підтримки клієнтів з кількарічним стажем роботи в українській компанії Govitall та ізраїльській компанії WIX, де виконував завдання з обслуговування клієнтів. Після цього перейшов до управління проектами з веб-розробки в міжнародній маркетинговій компанії Haymarket Media Group. Відзначаюся вмінням забезпечувати розуміння, терпіння та надавати конструктивний зворотний зв'язок роботодавцям і колегам."
180,"Мої обов'язки включали планування та організацію робочих процесів, вирішення конфліктів у команді, встановлення та досягнення метрик проекту, а також забезпечення відповідності графіку та бюджету. Завдяки моїй роботі проект був успішно завершений, а замовник залишився задоволений результатами.

Я також брав участь у проведенні тренінгів для команди, спрямованих на підвищення їхніх навичок та знань у сфері розробки програмного забезпечення. Моя ефективна комунікація та лідерські якості сприяли підвищенню продуктивності команди та покращенню якості виконаної роботи.

Мій досвід на посаді Junior Project Manager дозволив мені розвинути навички управління проектами, комунікації та лідерства, які я готовий використовувати для досягнення успіху у вашій компанії."
