,Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__,True Label
371,Junior Project Manager,"I started my work career at building company as a marketing manager when i was a student. 
My main task as a marketing manager was: 
- makinng a marketing plan, 
- control over the implementation of the plan, 
- coordinating 5 employees, 
- writing reports and schedules etc. 
At my work i used some MS products like: Word, Excel, also use Canva to make beautiful presentstions and some programs for mindmaps. 
Also i have small experience as a marketing manager in small pastry shop, where i tryed implement new CRM system and develop new ways to make popular that pastry shop.",,"Recently i finished IT Project Management cources.
At the cources i learned:
- how work with different types of project
- full lifecycle of IT project 
- main things about Agile and Waterfall methodology
- how to differentiate stakehoders and work with them 
- how it goes source code delivery
- how to make scope and estimate it for customer needs
- make visual wireframes 
- why GDPR so important in some IT products
- main things about all project documents",Project Manager,intermediate,0.0,"Recently i finished IT Project Management cources.
At the cources i learned:
- how work with different types of project
- full lifecycle of IT project 
- main things about Agile and Waterfall methodology
- how to differentiate stakehoders and work with them 
- how it goes source code delivery
- how to make scope and estimate it for customer needs
- make visual wireframes 
- why GDPR so important in some IT products
- main things about all project documents
I started my work career at building company as a marketing manager when i was a student. 
My main task as a marketing manager was: 
- makinng a marketing plan, 
- control over the implementation of the plan, 
- coordinating 5 employees, 
- writing reports and schedules etc. 
At my work i used some MS products like: Word, Excel, also use Canva to make beautiful presentstions and some programs for mindmaps. 
Also i have small experience as a marketing manager in small pastry shop, where i tryed implement new CRM system and develop new ways to make popular that pastry shop.
",en,9c184ee0-7369-5e07-a2a0-aa4227d8cfe2,113034,1
372,Junior Project Manager,"IT Princess Academy Kiev 
Head teacher/ Guidance Counselor: January 2020 - January 2021 (1 year)
Responsible for the following:
Educational part: Recruitment of practitioners from the IT field, curriculum and schedule development for core and complementary courses (camps, online courses), travel and camps. Mentoring of average 200 people.
Technical part: Working with cloud storages, social networking Facebook, Youtube, Instagram. Preparation of infographics for the marketing department and creation of creative design solutions.
Management part: Working with the customer base on amoCRM and sales scripts.
Using platforms: Trello, Human, Class Dojo, Kahoot, Google Jamboard, Cooogle platforms. 

Student Scientific Society
Secretary of Student Scientific Society, Kyiv: March 2018 – December 2019 (1 year and 7 month)
Curator of the following projects:
Creation ofthe Student Scientific Society’s “Community” sci-pop Journal: team search, supervision and editing.
Organization of historical festivals and lectures.
Preparation of the team and participation in the historic tournament.
Writing articles on historical scope, mostly related to the Americam studies.

Freelance English teacher, Kyiv: 2014 – present
Teaching students of different ages with modern education methodics.
Using platforms: SeeSaw, Google Classrom, Kahoot, Quizzz, Quizlet, Cooogle.",Now I am engaged in re-profiling and work in educational projects is not relevant for me yet.,"Mentoring of average 200 practioners from the IT field and students, creation and further editing of the Student Scientific Society’s “Community” sci-pop Journal, participation in graphic design competitions.",Project Manager,upper,0.0,"Mentoring of average 200 practioners from the IT field and students, creation and further editing of the Student Scientific Society’s “Community” sci-pop Journal, participation in graphic design competitions.
IT Princess Academy Kiev 
Head teacher/ Guidance Counselor: January 2020 - January 2021 (1 year)
Responsible for the following:
Educational part: Recruitment of practitioners from the IT field, curriculum and schedule development for core and complementary courses (camps, online courses), travel and camps. Mentoring of average 200 people.
Technical part: Working with cloud storages, social networking Facebook, Youtube, Instagram. Preparation of infographics for the marketing department and creation of creative design solutions.
Management part: Working with the customer base on amoCRM and sales scripts.
Using platforms: Trello, Human, Class Dojo, Kahoot, Google Jamboard, Cooogle platforms. 

Student Scientific Society
Secretary of Student Scientific Society, Kyiv: March 2018 – December 2019 (1 year and 7 month)
Curator of the following projects:
Creation ofthe Student Scientific Society’s “Community” sci-pop Journal: team search, supervision and editing.
Organization of historical festivals and lectures.
Preparation of the team and participation in the historic tournament.
Writing articles on historical scope, mostly related to the Americam studies.

Freelance English teacher, Kyiv: 2014 – present
Teaching students of different ages with modern education methodics.
Using platforms: SeeSaw, Google Classrom, Kahoot, Quizzz, Quizlet, Cooogle.
Now I am engaged in re-profiling and work in educational projects is not relevant for me yet.",en,3d9023de-e57c-5f97-ad5d-20a36f3e150b,113040,1
373,Junior Project Manager,"IT Project Manager at Catch the Moment (non-commercial) (January 2023 - Present)

Responsibilities:

- Coordination team members.
- Recruiting new members to the project team. 
- Onboarding new team members.
- Arranging meetings with mentors. 
- Preparing presentation of the project.
Determination and definition of the project scope, requirements, and objectives.
- Developing key project goals and collaboratively working with teams to meet those goals.
- Creating project documentation.
- Managing team schedules and team meetings.
- Conducting team meetings.
- Communication with designers and approving the platform's design.



Shift Lead Manager at Richdayfull (November 2020 - January 2023)

Responsibilities:

- Leading a team of 6 people.
- Tracking team performance.
- Monitoring team performance.
- Interviewing newcomers and proving their level of German.
- Onboarding new team members.
- Preparing educational materials, creating presentations for training courses, and conducting training courses for team members.
- Solving problems and conflicts within the team.
- Conducting One-o-One meetings.
- Organizing corporate meetings with the team.
- Administration daily operations to ensure policies were adhered to by the team.
- Dividing and delivering tasks through team members.
- Translating reports from German into English.
- Keeping records of quality reports.
- Working with CRM systems Panda, Fino and NGBO, and CDR systems Voiso and VoiceSpin.
- Investigating requests from Complaints, Compliance, Directors, and Customer Support.


Call Monitoring Agent at Richdayfull (July 2019 - November 2020) 

Responsibilities:

- Monitoring calls with clients to make sure that the Account Manager is following all the instructions and including all the necessary information.
- Filling the form on the ticketing system with the details of the call monitored.
- Making a separate report about the problematic case, if the Account Manager went against the instructions given and behaved inappropriately.
- Investigating customer complaints and non-conformance issues.
- Investigating requests from Complaints, Compliance, Directors, and Customer Support.
- Working with CRM systems Panda, Fino, and NGBO, and CDR systems Voiso and VoiceSpin.",,Working as Call Monitoring Agent was promoted to Shift Leader Manager.,Project Manager,upper,0.5,"Working as Call Monitoring Agent was promoted to Shift Leader Manager.
IT Project Manager at Catch the Moment (non-commercial) (January 2023 - Present)

Responsibilities:

- Coordination team members.
- Recruiting new members to the project team. 
- Onboarding new team members.
- Arranging meetings with mentors. 
- Preparing presentation of the project.
Determination and definition of the project scope, requirements, and objectives.
- Developing key project goals and collaboratively working with teams to meet those goals.
- Creating project documentation.
- Managing team schedules and team meetings.
- Conducting team meetings.
- Communication with designers and approving the platform's design.



Shift Lead Manager at Richdayfull (November 2020 - January 2023)

Responsibilities:

- Leading a team of 6 people.
- Tracking team performance.
- Monitoring team performance.
- Interviewing newcomers and proving their level of German.
- Onboarding new team members.
- Preparing educational materials, creating presentations for training courses, and conducting training courses for team members.
- Solving problems and conflicts within the team.
- Conducting One-o-One meetings.
- Organizing corporate meetings with the team.
- Administration daily operations to ensure policies were adhered to by the team.
- Dividing and delivering tasks through team members.
- Translating reports from German into English.
- Keeping records of quality reports.
- Working with CRM systems Panda, Fino and NGBO, and CDR systems Voiso and VoiceSpin.
- Investigating requests from Complaints, Compliance, Directors, and Customer Support.


Call Monitoring Agent at Richdayfull (July 2019 - November 2020) 

Responsibilities:

- Monitoring calls with clients to make sure that the Account Manager is following all the instructions and including all the necessary information.
- Filling the form on the ticketing system with the details of the call monitored.
- Making a separate report about the problematic case, if the Account Manager went against the instructions given and behaved inappropriately.
- Investigating customer complaints and non-conformance issues.
- Investigating requests from Complaints, Compliance, Directors, and Customer Support.
- Working with CRM systems Panda, Fino, and NGBO, and CDR systems Voiso and VoiceSpin.
",en,2f94208c-3229-5b04-81ca-d6c0473988c1,113041,1
374,Junior Project Manager,"IT Project manager
JAN 2022 - AUG 2022

 - Communication with customers
 - Projects Planning
 - QA and Testing
 - Team management
 - Prioritization of tasks
 - Problem solving
 - Daily control
 - Tracking deadlines

Owner of online shop
Jan 2020 - Feb 2022

Managing development of custom CRM and Website

- Building relationships with suppliers;
- Facebook Ads;
- Managing website work;
- Managing supply of products, delivery and packaging;
- Managing work of Sales Manager (employee);
- Content creation;
- Product quality control;
- Service quality control;
- Solving all problems in process(with customers, suppliers etc).

Sales Manager
(LLC Victoria · Full-time)
2016 - 2019

Managing development of LANDING PAGE for new project in company: agricultural.victori.com.ua

- Сommunication with suppliers from China, Europe;
- Сommunication with customers from Europe, Ukraine;
- Selling goods to both wholesale and retail customers;
- Travelling and participation in negotiations with suppliers abroad.","I'm looking for a company and a team to develop my PM skills and to create great projects together.
Friendly working atmosphere is must.","Was Successful Project Manager, who is able to create projects before started career in IT.",Project Manager,upper,1.0,"Was Successful Project Manager, who is able to create projects before started career in IT.
IT Project manager
JAN 2022 - AUG 2022

 - Communication with customers
 - Projects Planning
 - QA and Testing
 - Team management
 - Prioritization of tasks
 - Problem solving
 - Daily control
 - Tracking deadlines

Owner of online shop
Jan 2020 - Feb 2022

Managing development of custom CRM and Website

- Building relationships with suppliers;
- Facebook Ads;
- Managing website work;
- Managing supply of products, delivery and packaging;
- Managing work of Sales Manager (employee);
- Content creation;
- Product quality control;
- Service quality control;
- Solving all problems in process(with customers, suppliers etc).

Sales Manager
(LLC Victoria · Full-time)
2016 - 2019

Managing development of LANDING PAGE for new project in company: agricultural.victori.com.ua

- Сommunication with suppliers from China, Europe;
- Сommunication with customers from Europe, Ukraine;
- Selling goods to both wholesale and retail customers;
- Travelling and participation in negotiations with suppliers abroad.
I'm looking for a company and a team to develop my PM skills and to create great projects together.
Friendly working atmosphere is must.",en,ecc8b41b-3957-5044-ac42-ca33303a7e50,113042,1
375,Junior Project Manager,"IT Project Manager (part-time)
from 03.2022 to 09.2022 
Softnex, Remote (IT)

- Planning of the tasks priorities;
- Cooperation with developers;
- Presenting ready-made solutions, demo versions, and prototypes to the customer;
- Client consultation during the entire project life cycle;
- Testing of websites;
- Search for new projects on Upwork and Freelancehunt.

IT Project Manager
from 06.2020 to 02.2022 
Web World Studio, Vinnytsia (IT)

- Planning of the tasks priorities
- Task progress monitoring for each developer;
- Control of project compliance with requirements and terms;
- Сommunication with the clients;
- Presenting ready-made solutions, demo versions, and prototypes to the customer;
- Testing of websites and mobile apps.


Project manager/Translator
from 08.2018 to 10.2019 
MaxiWord, Vinnytsia (Public and business services)

- Preparation and formatting of documents.
- Coordination with translators.
- Translation and editing of texts.


Computer operator
from 12.2017 to 05.2018
“Direct Call” Contact Center, Vinnytsia (Telecommunications and networking)

- Customer consultation
- Ordering Management",,"PROFESSIONAL SKILLS:
- Knowledge of project management methodologies (Agile, Kanban);
- Understanding of programs for project management: Worksection, Jira, Trello;
- Experience in presenting ready-made solutions, demo versions, prototypes to the customer;
- Experience in negotiating and identifying customer needs
- Experience in writing technical specifications for projects in accordance with all the requirements and wishes of the client;
- Confident user of Microsoft Office.


PERSONAL QUALITIES
Responsible, hard-working, fast mastering of new material, communicative

INTERESTS
Painting, travel, fiction and popular literature, music",Project Manager,upper,2.0,"PROFESSIONAL SKILLS:
- Knowledge of project management methodologies (Agile, Kanban);
- Understanding of programs for project management: Worksection, Jira, Trello;
- Experience in presenting ready-made solutions, demo versions, prototypes to the customer;
- Experience in negotiating and identifying customer needs
- Experience in writing technical specifications for projects in accordance with all the requirements and wishes of the client;
- Confident user of Microsoft Office.


PERSONAL QUALITIES
Responsible, hard-working, fast mastering of new material, communicative

INTERESTS
Painting, travel, fiction and popular literature, music
IT Project Manager (part-time)
from 03.2022 to 09.2022 
Softnex, Remote (IT)

- Planning of the tasks priorities;
- Cooperation with developers;
- Presenting ready-made solutions, demo versions, and prototypes to the customer;
- Client consultation during the entire project life cycle;
- Testing of websites;
- Search for new projects on Upwork and Freelancehunt.

IT Project Manager
from 06.2020 to 02.2022 
Web World Studio, Vinnytsia (IT)

- Planning of the tasks priorities
- Task progress monitoring for each developer;
- Control of project compliance with requirements and terms;
- Сommunication with the clients;
- Presenting ready-made solutions, demo versions, and prototypes to the customer;
- Testing of websites and mobile apps.


Project manager/Translator
from 08.2018 to 10.2019 
MaxiWord, Vinnytsia (Public and business services)

- Preparation and formatting of documents.
- Coordination with translators.
- Translation and editing of texts.


Computer operator
from 12.2017 to 05.2018
“Direct Call” Contact Center, Vinnytsia (Telecommunications and networking)

- Customer consultation
- Ordering Management
",en,ffd3851d-c2f6-525c-956b-e9a90b565048,113043,1
376,Junior Project Manager,"*IT Recruiter*(current position)
Maintain communication with hiring managers to understand the requirements of the role in order to find the most suitable candidates.
I create a scorecard template for hiring managers to speed up hiring qualified employees
Compile and post technical job descriptions on specialized IT job boards, social media and any other relevant channels which include
Dou, Djinni, Robota.ua, MeetFrank, No Fluff Jobs, Just Join IT and telegram channels
Source, select and shortlist qualified candidates for various technical positions such as Front-End, Back-End, QA(Manual&Automation), Data QA, IAM Engineer, DevOps, DBA etc
Conduct interviews with candidates using a variety of methods (e.g. structured interviews, technical assessments, and behavioural questions). Regularly interview candidates from all over the world in English, Ukrainian and russian languages
Work with ATS to provide a reliable pipeline of qualified candidates and track candidate updates
Actively apply sourcing strategies and follow a data-driven method before starting a candidate search. Using Excel, I have created
tables that are used for boolean searches, candidate databases, and hiring funnels

*Project Manager*
Worked on 3 large projects with external sponsors and more than 20 small local projects for the organization
Worked on all stages of the project life cycle, from initiation to closure
Experience in developing Project Charters and grant applications for new projects
Conducted negotiations with stakeholders",,"- I compiled a scorecard template for hiring managers to speed up hiring qualified employees
- Regularly interview candidates from all over the world in English, Ukrainian and russian languages
- Using Excel, I have created tables that are used for boolean searches, candidate databases, and hiring funnels.",Project Manager,upper,0.5,"- I compiled a scorecard template for hiring managers to speed up hiring qualified employees
- Regularly interview candidates from all over the world in English, Ukrainian and russian languages
- Using Excel, I have created tables that are used for boolean searches, candidate databases, and hiring funnels.
*IT Recruiter*(current position)
Maintain communication with hiring managers to understand the requirements of the role in order to find the most suitable candidates.
I create a scorecard template for hiring managers to speed up hiring qualified employees
Compile and post technical job descriptions on specialized IT job boards, social media and any other relevant channels which include
Dou, Djinni, Robota.ua, MeetFrank, No Fluff Jobs, Just Join IT and telegram channels
Source, select and shortlist qualified candidates for various technical positions such as Front-End, Back-End, QA(Manual&Automation), Data QA, IAM Engineer, DevOps, DBA etc
Conduct interviews with candidates using a variety of methods (e.g. structured interviews, technical assessments, and behavioural questions). Regularly interview candidates from all over the world in English, Ukrainian and russian languages
Work with ATS to provide a reliable pipeline of qualified candidates and track candidate updates
Actively apply sourcing strategies and follow a data-driven method before starting a candidate search. Using Excel, I have created
tables that are used for boolean searches, candidate databases, and hiring funnels

*Project Manager*
Worked on 3 large projects with external sponsors and more than 20 small local projects for the organization
Worked on all stages of the project life cycle, from initiation to closure
Experience in developing Project Charters and grant applications for new projects
Conducted negotiations with stakeholders
",en,7adca4bc-192d-5f50-9702-e786dfec2ca7,113044,1
377,Junior Project Manager,"IT School GoIT (Kyiv)
2022-2023
Description of the project ""Body_Dream"": A unique web platform that generates online training programs for users who want to compare all sports and choose the most suitable options according to their personal request.
Organizational structure;
WBS to the project;
Project budgeting;
Mind map;
Project backlog creation;
SOW to the project;
Value proposition.

Financier
State company ""Ukrspecexport""| April 2012 - February 2023 

Organization, coordination and control of the process of providing external bank guarantees, preparation, registration, agreement and conclusion of relevant contracts with the bank;
Calculation and agreement of the amounts of expenses for banking services in estimates for projects of external international contracts;
Ensuring interaction between departments involved in the process of documentary support of contracts 
Preparation of relevant packages of documents under letters of credit, to be submitted to the bank, in order to receive payment under contracts;
Conducting negotiations with representatives of the bank or foreign partner.

 Manager of work with corporate clients
 DeepNet| September 2010 - February 2012

Development of sales department strategy;
Promotion of exclusive products, introduction of new products and services to the market;
Market and competitor monitoring, search for new sales markets;
Conducting negotiations, conducting presentations;
Organization of staff training.",I want to be involved in all possible project activities. I wish a lot of communication and interesting tasks. I wish to work in a company that does interesting and important projects. It is important for me that the company respects and appreciates its employees and creates a good working atmosphere.,"Was a team leader in the project in IT school. I was a facilitator and coordinator for the team. Monitored the progress of a scope of tasks. Engaged in project planning, preparation of necessary documentation and reports. I made project budget calculation, collected requirements.",Project Manager,intermediate,0.0,"Was a team leader in the project in IT school. I was a facilitator and coordinator for the team. Monitored the progress of a scope of tasks. Engaged in project planning, preparation of necessary documentation and reports. I made project budget calculation, collected requirements.
IT School GoIT (Kyiv)
2022-2023
Description of the project ""Body_Dream"": A unique web platform that generates online training programs for users who want to compare all sports and choose the most suitable options according to their personal request.
Organizational structure;
WBS to the project;
Project budgeting;
Mind map;
Project backlog creation;
SOW to the project;
Value proposition.

Financier
State company ""Ukrspecexport""| April 2012 - February 2023 

Organization, coordination and control of the process of providing external bank guarantees, preparation, registration, agreement and conclusion of relevant contracts with the bank;
Calculation and agreement of the amounts of expenses for banking services in estimates for projects of external international contracts;
Ensuring interaction between departments involved in the process of documentary support of contracts 
Preparation of relevant packages of documents under letters of credit, to be submitted to the bank, in order to receive payment under contracts;
Conducting negotiations with representatives of the bank or foreign partner.

 Manager of work with corporate clients
 DeepNet| September 2010 - February 2012

Development of sales department strategy;
Promotion of exclusive products, introduction of new products and services to the market;
Market and competitor monitoring, search for new sales markets;
Conducting negotiations, conducting presentations;
Organization of staff training.
I want to be involved in all possible project activities. I wish a lot of communication and interesting tasks. I wish to work in a company that does interesting and important projects. It is important for me that the company respects and appreciates its employees and creates a good working atmosphere.",en,87e451c5-b9c4-55b5-9b54-d37d97df7c83,113045,1
378,Junior Project Manager,"I've been teaching general English to groups of adults of different ages and nationalities, planning and organizing their studying process. 
I've been mentoring junior teachers, helping them with onboarding and growing professionally.  

I am experienced in creating and conducting trainings, lectures, workshops and webinars for co-workers and clients, as well as team-building events.
I am exceptionally skilled in selecting, adapting and designing materials, activities, resources and technical aids appropriate for lessons as well as for team-building events. I am also skilled in creating various documentation, plans, guidelines, schedules.

I have worked with such tools: google drive, google ""office"", zoom, miro, padlet, quizlet, kahoot, canva, skype, trello, smartsheet and others.

Currently I am seeking for a project manager position where i will utilize my experience, education and skills to effectively further professional development. I am an active learner, able to find, process and assess information. I am able to see the big picture while paying attention to the smallest details.

I am looking for a new challenge and for an opportunity to begin a career with an outstanding company in an exciting and fast changing industry where I will improve my skills, learn new and provide a positive contribution to the company.",,"10+ years of proven experience providing excellent service to clients, organizing study process and team work, focusing on what brings value.
Many of my mentees are working at senior positions now. And many of my students have improved their lives dramatically by getting higher positions, changing work, moving abroad, obtaining dream job, entering universities.
I've created countless amount of lessons plans, study materials and activities; prepared and successfully conducted lots of trainings and workshops, lectures and webinars; written articles and guidelines.",Project Manager,fluent,0.0,"10+ years of proven experience providing excellent service to clients, organizing study process and team work, focusing on what brings value.
Many of my mentees are working at senior positions now. And many of my students have improved their lives dramatically by getting higher positions, changing work, moving abroad, obtaining dream job, entering universities.
I've created countless amount of lessons plans, study materials and activities; prepared and successfully conducted lots of trainings and workshops, lectures and webinars; written articles and guidelines.
I've been teaching general English to groups of adults of different ages and nationalities, planning and organizing their studying process. 
I've been mentoring junior teachers, helping them with onboarding and growing professionally.  

I am experienced in creating and conducting trainings, lectures, workshops and webinars for co-workers and clients, as well as team-building events.
I am exceptionally skilled in selecting, adapting and designing materials, activities, resources and technical aids appropriate for lessons as well as for team-building events. I am also skilled in creating various documentation, plans, guidelines, schedules.

I have worked with such tools: google drive, google ""office"", zoom, miro, padlet, quizlet, kahoot, canva, skype, trello, smartsheet and others.

Currently I am seeking for a project manager position where i will utilize my experience, education and skills to effectively further professional development. I am an active learner, able to find, process and assess information. I am able to see the big picture while paying attention to the smallest details.

I am looking for a new challenge and for an opportunity to begin a career with an outstanding company in an exciting and fast changing industry where I will improve my skills, learn new and provide a positive contribution to the company.
",en,0e7e9a30-db4b-5993-9c0f-3ee4823e5659,113053,1
379,Junior Project Manager,"I've been working as a project manager in the bank for 2 years (according to Scrum framework). 
My work consists of developing new products for customers, improving CJM, coordination, negotiations. I'm also responsible for the technical side of our team - managing business processes on the Corezoid platform, working with several APIs. I regularly interact with IT specialists during the business process development (website, app).

Additionally I have 4 years of experience working and communicating with clients via phone or email on Ukrainian and international market.

My soft/hard skills are:
*Planning skill using different tools, techniques;
*Experience of communication and negotiating with international clients;
*Critical thinking - analyzing info and finding quick solutions;
*Time management through prioritizing tasks and planning schedules;
*Teamwork skills - cross-functional collaboration;
*Attention to details - working with documents via keeping them up to date;
*Google Docs - documentation process through Google Docs;
*Excel - planning and tables, reporting;
*Jira - managing working process via Kanban board, task managing;
*Corezoid - great skill of developing and managing services for clients (Viber bot settings and quality);
*Agile (Scrum) - excellent skills of working with 2-week sprints;
*MySQL - theoretical knowledge of using and working with db;
*Miro - great skill of brainstorming sessions and managing demos using boards;
*Slack - communication process via chats and DMs;
*Figma - creation of basic wireframes.",,"Project Management DAO PM (IAMPM, ongoing);
Service Design Fundamentals (DesignThinkers Academy, 2021);
Business Analysis (Hillel IT School, 2020)",Project Manager,upper,1.0,"Project Management DAO PM (IAMPM, ongoing);
Service Design Fundamentals (DesignThinkers Academy, 2021);
Business Analysis (Hillel IT School, 2020)
I've been working as a project manager in the bank for 2 years (according to Scrum framework). 
My work consists of developing new products for customers, improving CJM, coordination, negotiations. I'm also responsible for the technical side of our team - managing business processes on the Corezoid platform, working with several APIs. I regularly interact with IT specialists during the business process development (website, app).

Additionally I have 4 years of experience working and communicating with clients via phone or email on Ukrainian and international market.

My soft/hard skills are:
*Planning skill using different tools, techniques;
*Experience of communication and negotiating with international clients;
*Critical thinking - analyzing info and finding quick solutions;
*Time management through prioritizing tasks and planning schedules;
*Teamwork skills - cross-functional collaboration;
*Attention to details - working with documents via keeping them up to date;
*Google Docs - documentation process through Google Docs;
*Excel - planning and tables, reporting;
*Jira - managing working process via Kanban board, task managing;
*Corezoid - great skill of developing and managing services for clients (Viber bot settings and quality);
*Agile (Scrum) - excellent skills of working with 2-week sprints;
*MySQL - theoretical knowledge of using and working with db;
*Miro - great skill of brainstorming sessions and managing demos using boards;
*Slack - communication process via chats and DMs;
*Figma - creation of basic wireframes.
",en,151d7e3f-fb84-5fa3-9a06-0566e2e71b30,113056,1
380,Junior Project Manager,"I've been working in a product company as a Support Specialist for 1.5 years. 
I've got experience in working and communicating with foreign customers, resolving difficult tasks. 
Most of my time I've spent working with: Jira, Outlook, SQL, Google/Microsoft documents

Last 6 months I've been working as a Junior Project manager in Automat IT company.
It was an amazing experience, and I strive to continue working in IT as a Project Manager.

Here is the list of what I've been working on:

•Developing and managing project plans, control project risks, resources, and time schedules for multiple projects (DevOps infra-related projects) at the same time;
•Working with the customer and the team on RFC definition and LOE;
•Creating weekly reports for the related customers;
•Designing and implementing ticketing system for support solution based on Jira Service Management;
•Creating and managing a series of local events in the office;

___________________________________________________

I'm 25 years old. 

I used to hitchhike a lot and I've got a few main ideas about how it is working. 

First one - you need to have a goal. It could be a city, a place, a girl, a friend, an adventure.

The second one - planning is important, but you should have enough space in your plans to allow circumstances to happen and make your plans even better.

In real life, nothing goes according to plan, and, one of the most important skills that I have in my life is to be flexible and reach your goals no matter what plans are, have been, or will ever be, 

My main goal is to start my own business, an IT company. I don't know yet how it will be, what partner to choose, how to manage such a complex structure, etc. 

But I know for sure that I can gain the necessary expertise, and in process of it, I can make life better for many people and businesses.",,I used to hitchhike around CIS and Europe with a tight budget and fixed timeline.,Project Manager,upper,0.5,"I used to hitchhike around CIS and Europe with a tight budget and fixed timeline.
I've been working in a product company as a Support Specialist for 1.5 years. 
I've got experience in working and communicating with foreign customers, resolving difficult tasks. 
Most of my time I've spent working with: Jira, Outlook, SQL, Google/Microsoft documents

Last 6 months I've been working as a Junior Project manager in Automat IT company.
It was an amazing experience, and I strive to continue working in IT as a Project Manager.

Here is the list of what I've been working on:

•Developing and managing project plans, control project risks, resources, and time schedules for multiple projects (DevOps infra-related projects) at the same time;
•Working with the customer and the team on RFC definition and LOE;
•Creating weekly reports for the related customers;
•Designing and implementing ticketing system for support solution based on Jira Service Management;
•Creating and managing a series of local events in the office;

___________________________________________________

I'm 25 years old. 

I used to hitchhike a lot and I've got a few main ideas about how it is working. 

First one - you need to have a goal. It could be a city, a place, a girl, a friend, an adventure.

The second one - planning is important, but you should have enough space in your plans to allow circumstances to happen and make your plans even better.

In real life, nothing goes according to plan, and, one of the most important skills that I have in my life is to be flexible and reach your goals no matter what plans are, have been, or will ever be, 

My main goal is to start my own business, an IT company. I don't know yet how it will be, what partner to choose, how to manage such a complex structure, etc. 

But I know for sure that I can gain the necessary expertise, and in process of it, I can make life better for many people and businesses.
",en,c5e1409e-c3c4-54dd-936e-31424ab50768,113060,1
381,Junior Project Manager,"I've completed many projects with outstanding performance, in where I'm currently working as a project Manager as well as when I was working as a System Administrator. I've involved in many projects in different domains including the area of; software development(many software projects with Agile SDLC using Jira and other tools), Networking(supply, install and configure a Network of international school and others), Social Work(), Military(Weapon Management system), Health, Transportation(Ride hailing service). I'm currently working as a Project Manager Full-time and part-time at two different companies.","I don't want to be involved in Technical works, because I don't want to caught up on the specifics rather I want to put directions so that the project can be completed within budget on time and desired quality.",I've a masters degree in Project Management with a great distinction. I've completed many projects and thus strongly familiar with Project Life cycle as well as the ten knowledge areas of Project Management.,Project Manager,upper,2.5,"I've a masters degree in Project Management with a great distinction. I've completed many projects and thus strongly familiar with Project Life cycle as well as the ten knowledge areas of Project Management.
I've completed many projects with outstanding performance, in where I'm currently working as a project Manager as well as when I was working as a System Administrator. I've involved in many projects in different domains including the area of; software development(many software projects with Agile SDLC using Jira and other tools), Networking(supply, install and configure a Network of international school and others), Social Work(), Military(Weapon Management system), Health, Transportation(Ride hailing service). I'm currently working as a Project Manager Full-time and part-time at two different companies.
I don't want to be involved in Technical works, because I don't want to caught up on the specifics rather I want to put directions so that the project can be completed within budget on time and desired quality.",en,c06ab54c-8beb-585f-be73-e125db7744ed,113065,1
382,Junior Project Manager,"I've entered my previous job as risk manager in a fintech startup. I had been working a lot with Excel, PowerBI and some internal tools. One of my responsibilities was communication with other teams (including in order to provide colleagues from other departments with relevant information). I was also responsible for the whole platform performance and adding new tools successfully. I documented all the procedures and features in Confluence. About a year ago, we started working on a new project (crypto app). I started to onboard new team members (5+ people) and was responsible for their performance (gave tasks, checked the results, set priorities - using Jira). I also took part in the entire product development, including design, cooperation with developers (tasks creation and prioritization, testing, verifying QA results), describing new features flow, key metrics creation (business metrics, fraud metrics), cash flow and security management. Furthermore, I also conduct researches, including ones that analyze our competitors. Now I mostly perform team lead role managing our team (creating shifts schedule, defining bonus amounts, creating tasks and their prioritization, estimation, holding weekly planing and daily meetings). 
Since I had a chance to perform project-manager-like and team lead duties, I understood that it is exactly the direction in which I want to develop myself, so I started to take project management courses.","Hope to find an interesting project where I can develop my skills, be helpful and benefit the team. It would be great to have an option of remote work and transparent growth and development options.","Purposefulness - despite some things may be new to me, I put all my dedication to learn them deeply.
Sociability -  I like to communicate and it helps to get information or solve the problem.
Continuous learning - no matter how difficult it was, I love to learn new things: learned PowerBI, took courses, learned how to manage a team.",Project Manager,intermediate,1.5,"Purposefulness - despite some things may be new to me, I put all my dedication to learn them deeply.
Sociability -  I like to communicate and it helps to get information or solve the problem.
Continuous learning - no matter how difficult it was, I love to learn new things: learned PowerBI, took courses, learned how to manage a team.
I've entered my previous job as risk manager in a fintech startup. I had been working a lot with Excel, PowerBI and some internal tools. One of my responsibilities was communication with other teams (including in order to provide colleagues from other departments with relevant information). I was also responsible for the whole platform performance and adding new tools successfully. I documented all the procedures and features in Confluence. About a year ago, we started working on a new project (crypto app). I started to onboard new team members (5+ people) and was responsible for their performance (gave tasks, checked the results, set priorities - using Jira). I also took part in the entire product development, including design, cooperation with developers (tasks creation and prioritization, testing, verifying QA results), describing new features flow, key metrics creation (business metrics, fraud metrics), cash flow and security management. Furthermore, I also conduct researches, including ones that analyze our competitors. Now I mostly perform team lead role managing our team (creating shifts schedule, defining bonus amounts, creating tasks and their prioritization, estimation, holding weekly planing and daily meetings). 
Since I had a chance to perform project-manager-like and team lead duties, I understood that it is exactly the direction in which I want to develop myself, so I started to take project management courses.
Hope to find an interesting project where I can develop my skills, be helpful and benefit the team. It would be great to have an option of remote work and transparent growth and development options.",en,e14b8f4d-60b3-5b25-b37c-afbec356670c,113067,1
