id,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
12453,"Projects completed on time and with high quality, compliance with deadlines and budget, satisfied customers. 

- While working at Vintage: timely releases and customer support (Oshadbank, Totis etc). 

- While working at the Arbitration team: process building, a profit of $ 90-160 thousand and more/ monthly.

- While working at Sales Doubler: urgent development of the landing and preparation of promo materials for the Financial Storm 3.0 contest with a budget of 3,000,000 UAH - in two weeks. 

- While working on the website for the ""Zhansaya"" sanatorium in Kazakhstan:
- 412 applications and calls in 22 business days
- $ 0.3 value of a potential client (it was 2017)
- 4% conversion from visitor to conversion from website
- CRM-system implementation

CURRENT JOB
Business analyst in fintech company (crypto) for 9 months. Duties: analysis and requirements gathering; liaising between the IT department, designers, stakeholders; writing and actualization of technical specifications. 

EXPERIENCE
Common experience as PM (and partly BA) more than 7 years: in traffic arbitrage and website development. Worked in different business spheres: fintech, health and beauty, gambling, goods, tourism, manufacture, consulting, etc. Managed projects from start to finish and supported current projects. 

SKILLS
UX/UI understanding, gathering requirements, communication with stakeholders, pre-design studies, UX prototyping, creating specifications and project documentation. Understanding of Agile philosophy, worked with Scrum and implemented elements of Kanban and Scrum in the working process. Able to manage multiple projects simultaneously, organize processes and teams, make decisions and take responsibility for them. Flexible in communication and client-oriented. 

TOOLS
Worked with JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Trello, Balsamik, Moqups, Draw.io, Figma etc.

GOALS
Seeking a job as a BA or at the intersection of PM/BA. Motivated to work with interesting and useful products for users and grow expertise."
12454,"Education
Bachelor of Arts in [Field of Study], [University Name], [Location], [Year of Graduation]

Experience
Project Manager, ArtHome Startup, Dnipro/Ukraine
- Managed a scrum team and monitored the Gantt diagram
- Communicated with partners to ensure project success
Researcher (Commercial Intelligence), Noosphere, Dnipro/Ukraine
- Conducted vertical research and niche reviews for product releases
- Analyzed country-specific features and venture capital deals
Audit Responsibilities, Bartolomeo Resort
- Increased staff training results from 52% to 93%
Analyst, Global Fertilizer Market
- Communicated with market players and prepared analytical reports

Skills
- Well-developed analytical skills
- Strong communication skills
- Ability to work with and analyze large amounts of information
- Experience in project management and team leadership
- Proficient in communication with partners and stakeholders

Objective
Seeking a career opportunity where I can utilize my skills in project management, research, and analysis to contribute to the success of a dynamic organization. Eager to continue learning and developing language skills."
12455,"Experienced on fintech and logistics domain

Experience
FinTech - 3+ years of experience

Account project manager
Oct 2019 - 2 years
Lead account project manager
1,5 year
0,5 year

IT
Responsibilities:

Onboarding (integration) of new clients to the platform (defining a launch plan, demo, consulting on API dock);
Analyze the customer needs and consult on the sales stage;
Managing a client tasks backlog (analysis, description, timing, control of implementation, testing, delivery);
Analysis of API documentation (compare with client needs, test some requests on Postman);
Identification of customer feature requests and creating tasks for the dev team (identify business requirements, technical requirements );
Task management (Jira);
Process description (BPMN ,Confluence)

Project Manager
Jun 2017 - October 2019
UVK Ukraine
Transport & Logistics
Accomplishments:
• Increase in profitability from the turnover of containers (on average from 0 to 40%);
• automation of accounting;
• reduction of losses
Responsibilities:
• introduction of the client to the course on the service provided, conducting reconciliations on containers with customers (about 40 clients);
• Reconciliations with regional offices (in 23 regions);
• writing technical specifications to developers, monitoring the timing of their implementation, testing;
• preparation of regulatory documents (work instructions).
• fulfillment of KPI indicators."
12456,"- Support of existing projects and initiation of new projects with the team, including the realization of CRM and ERP systems for a logistics company, resulting in increased sales plan for the company and resolution of internal issues through IT solutions
- Experience in data analysis, evaluation, and planning
- Experience with budget planning and analysis
- Creation of user stories and communication of backlog priorities to the team
- Collaboration with business and key stakeholders to identify technical problems and propose solutions
- Decision-making on product features
- Submission of reports to department heads and management
- Oversight of project team
- Management of project risks, time, and scope
- Commitment to transparency in project management, budgeting, and issue resolution
- Effective communication of project progress, challenges, and changes to the team
- Clear task delegation, ethical behavior, and dedication to delivering value
- Interest in working on projects for NGOs"
12457,"With approximately 10 years of experience in business analysis, I have worked on building solutions of various sizes, complexity, and purposes. I began my career as a QA engineer, gaining a deep understanding of SDLC. I am skilled at quickly identifying client needs and market trends to offer optimal solutions in collaboration with architecture drivers. I have also successfully combined the roles of BA and Project Manager for 1 year, focusing on product concept development, architecture planning, user training, and system deployment.

Transitioning to pre-sales as an Engagement Manager, I excelled in preparing initial proposals and conducting full scope analyses. I have also gained valuable experience from starting my own business, providing insight into process construction and sales processes.

I am currently seeking new challenges where I can assist clients in achieving success."
12458,"- Gathering requirements from stakeholders;
- Writing and determining forward user stories and use cases;
- Create roadmap, user flow for SaaS platform and describe permission structure from zero;
- Close cooperation with the designer changing UX;
- Manage the Product and Sprint Backlogs;
- Conducting daily, grooming and retrospective meetings;
- Decomposition user stories into tasks, prioritizing it;
- Describe specification of data delivery from the data science department to the backend;
- Support the product documentation."
12459,Managed 16 distinct projects with 3-5 team members. Maintained constant communication with all clients. Elicited and documented numerous requirements for all projects. Responsible for project development from idea generation to project planning and development. Looking for Business Analysis opportunities.
12460,"I have experience working as a sales manager, project manager, and business analyst for the past 4 years. My responsibilities have included client nurturing, engagement, and management; managing development teams and stakeholders; interactive prototyping and wireframing using MockingBot and Figma; BPMN using draw.io and Camunda; requirements elicitation and definition; preparing user stories and use cases; up-selling; and technical documentation development and validation. I am always excited to take on new challenges and processes. Thank you for considering me for any potential opportunities."
12461,"I bear full responsibility for the projects implementation, ensuring that the customer requirements are fully met within the agreed timelines and budget. In details, I'm accountable for:
• Analysis of client requirements by eliciting, elaborating and documenting business and functional requirements in user stories, main and alternative flow diagrams, including block diagrams in Visio, wireframes;
• Collaboration with Developers, Engineers and QA when discussing the solution architecture, estimation, acceptance criteria to ensure that the team understands what the client should get in result; prototyping solutions and presentation to the clients and the team;
• Management of client requirements (new requests, change requests) in Confluence, getting approvals from the clients regarding the scope and estimations.
• Scope planning for sprints in Jira by prioritizing the tasks; participating in sprint planning, retrospective to ensure that the tasks are processed according agreed priorities and timelines;
• Following up and reporting the progress;
• Creating use cases / test scenario; review test results together with QA; test custom solutions prior to the deployment;
• Presentation solutions to the client; helping client with the UAT to ensure customer satisfaction and acceptance."
12462,"- Provide innovative technical solutions to reduce estimated time by up to 90%
- Fearlessly challenge top managers on proposed solutions and successfully defend alternative ideas
- Streamline company bureaucracy by minimizing manual work related to technical documentation
- System analyst for application template for app creation, server management, and front-end libraries
- Responsible for writing BRD, SRS, API SPEC, and User Guides
- Design DB structures and estimate backlog requests
- Lead Demo and Retro meetings
- Conduct API, manual, and automated testing
- Develop Smoke Scope, Regression, test cases, and test scenarios
- Write Release notes and Delivery Protocols
- Assume team lead responsibilities in TL's absence"
12463,"LPNU:
- Completed 3 course BA projects involving problem definition, solution suggestion, solution development, analysis of current state of a company, and requirement elicitation techniques
- Experience with machine learning

Novomind (Germany) (Java Developer Intern):
- Developed solutions for small cases
- Worked in an Agile team
- Communicated in English"
12464,"-PM/BA with 1 year of experience:
-Managed lifecycle processes of multiple projects
-Gathered and analyzed requirements using various methods
-Maintained and coordinated development process according to methodologies
-Tracked progress, monitored risks, and managed changes using various tools
-Transformed stakeholder requirements into user stories, use cases, and other technical documents
-Facilitated communication between multiple stakeholders
-Composed technical standards for development processes

-Business Owner with 5 years of experience:
-Sold products in the USA market with production in China
-Executed day-to-day operations of online shop including customer support, procurement, promotions, and logistics
-Negotiated with suppliers and contractors
-Adapted to ever-changing market environment

-Efficiency Manager with 1.5 years of experience:
-Re-engineered business processes using various methods
-Designed new functionality for internal ERP system
-Designed and implemented routing system for Sales Departments
-Wrote Technical Tasks for development team
-Taught employees during change integration process"
12465,"Proactive and skilled Business Analyst / Project Manager with 6+ years of commercial experience in different domains. A highly motivated and disciplined person, with good technical and excellent communication and organizational skills, focused on the results and goals of the company.

- 2+ years of experience in IT outsourcing
- 2 years of experience in project management 
- 5 years of experience in ERP/CRM systems
- 6 years of experience in retail
- 2 years of experience in healthcare
- 2 years of experience in sales and marketing"
12466,"Skills:
- Strong analytical skills, ability to analyze complex problems
- Project management
- Statistics and data analysis
- Business processes optimization and business modeling
- Excellent communication and presentation skills
- Ability to work both solo and in a team, managing multiple engagements
- Negotiation and conflict resolution
- Learning and teaching
- Proficient PC user, Advanced in Excel and PowerPoint
- Fluent in English and Russian, native Ukrainian speaker, basic German proficiency

Experience:
- Developed Terms of Reference and technical requirements
- Developed and implemented data processing procedures
- Verified and compiled data
- Developed specifications for construction and equipment

- Conducted research and analytics, created analytical reports
- Analyzed functional and effectiveness of processes
- Identified, analyzed, and interpreted trends and patterns in data
- Described and optimized business processes
- Analyzed best practices and international experiences of central purchasing bodies
- Developed proposals for the strategy of the Central Purchasing Body in Ukraine

- Analyzed public procurement procedures in Ukraine using QlikView & QlikSense BI tools
- Monitored e-procurement system, ProZorro, ensuring compliance, reporting, and conducting research and investigations
- Participated in the development of terms of references and technical tasks for e-procurement system according to Open Contracting Data Standard
- Conducted searching, gathering, and processing of catalogues and information
- Communicated with BI users, procurers, suppliers, controllers, and other clients
- Participated in public events, conferences, and lectures as a speaker, BI expert, and participant
- Supported the development of e-procurement risk indicators system
- Conducted reporting and trend analysis of public procurement procedures for government institutions"
12467,"SRS (Use cases, UML), Backlog (User Stories, Acceptance Criteria), UX, Agile Certified Professional (IC Agile), Scrum. Technical (basic level): MySQL, HTML, CSS. Previous experience as a marketing analyst and marketing coordinator in FMCG industry, bringing a client-oriented approach and business acumen to IT. Currently involved in pre-sales process and delivery, performing Business Analyst and partial Project Manager functions. Seeking a company with dynamic projects and a fast-paced environment."
12468,"Three-year experienced Business Analyst and Project Manager with expertise in the Healthcare domain and BI tools. Skilled at immersing in projects' technical details, applying professional skills to achieve project goals, and supporting team execution. Experienced soft skills trainer able to create a positive team atmosphere and effectively handle conflicts."
12469,"Translating & proofreading reports, presentations, websites from/into English for healthcare/pharmacy market giants, such as Novo Nordisk, Bayer, Parexel, EURORDIS.
Teaching English to students via Zoom platform, various online resources, and Google tools; providing individual educational plans, assessment & evaluation."
12470,"Experience:
- Worked on various startups and existing products
- Helped founders with validating product ideas
- Conducted user research
- Set product strategy
- Managed design team

Skills:
- Business analysis
- Product validation
- User research
- Product strategy
- Team management"
12471,"Experienced Business Analyst / Project Manager with over 7 years of experience in IT project management and business analysis. Skilled in customer service, strategic planning, user experience, user interface, SEO, event management, and public speaking. Strong program and project management professional with a proven track record of successful team management, process building, and project delivery. 

Specialized in various industries including education, educational tourism, medical tourism, sailing, tourism, showbiz, and e-commerce. Experienced in working with both B2C and B2B clients, introducing products to domestic and international markets. Proficient in Agile, SCRUM, Kanban, Jira, Confluence, Asana, CRM, ERP, BPMN, SEO, and various design and analytics tools. 

Goal-oriented, efficient, and open-minded professional with a strong focus on project development methodologies. Seeking full-time or part-time opportunities, with experience working both in-office and remotely. Open to new challenges and eager to contribute to a dynamic team."
12472,"Managed web-studio for 9 years, founder. Combined positions from sales manager to developer. Main areas: project management and business analyst. Managed staff of 5 to 20 employees. Projects: online stores, B2B web applications, billing systems, cryptocurrency exchanges.

Skills: Manual testing, B2B, Jira, Mockups, Product management, Product roadmap, Project management, Scrum, User stories, Agile, Analytics, Marketing, Trello, UX \ UI, HTML, MySQL, PHP.

Seeking new opportunities as a business analyst or project manager in large IT companies."
12473,"Business Analyst and Project Manager with over 6 years of experience in non-IT roles. Successfully completed more than 50 projects, managing teams of 2-7 people with budgets up to $250,000. Proficient in Scrum, Kanban, and Waterfall methodologies. Previous experience as a Product Owner in an IT-startup.

Hard Skills:
- Scrum, Kanban, Waterfall
- Lean, BPMN, MS Visio
- Jira, Asana, Trello
- Zoom, MS Teams, Google Meet
- Google Docs, Excel
- Basic level proficiency in SQL and Java

Soft Skills:
- Leadership
- Goal-oriented and proactive
- Project and people management
- Analytical thinking
- Business systematization
- Ability to think outside the box

English proficiency: B1 (Upper-Intermediate)

Seeking an opportunity to leverage my skills and experience in a project or company that aligns with my values."
12474,"|November 2019 -  February 2020| - Teacher on the “Software Testing” courses at Quality Assurance Group

Topics:
•	Quality Assurance basics
•	Business Analysis basics

                                            -----
|September 2019 -  February 2020| -  Business Analyst  at QArtrock

Project 1: Corporate Website
Project description: official website of Turkish international trading company
Responsibilities:	
•	Project definition
•	Requirements elicitation
•	Concept creation, system modeling 
•	Requirements analysis
•	Requirements documentation

Project 2: Store Website
Project description: website of electronics store with the possibility of online trading
Responsibilities:	
•	Project definition
•	Requirements elicitation
•	Concept creation, system modeling 
•	Requirements analysis
•	Requirements documentation

                                            -----
|May 2019 – August 2019| -  QA Trainee at Quality Assurance Group

Project 1: Pharmacy Management System 
Project description: web application was developed for apothecaries to manage pharmacy online
Responsibilities:	
•	Requirements analysis
•	Test Design
•	Writing and executing Test Cases
•	Writing Bug reports

Project 2: Online education platform
Project description: program for selecting educational courses. Courses were obtained on the basis of a survey
Responsibilities:
•	Performance Testing in JMeter
•	Database Testing in MySQL
•	API Testing in Postman

Project 3:  Construction online store
Responsibilities:
•	Requirements analysis
•	Writing the Test Plan
•	Test Design
•	Writing and executing Test Cases
•	Writing Bug reports
•	Writing a Test Summary Report

                                            -----
|October 2011 - April 2019| - Scientific Consultant

Diagnostic, improvement and analytical providing for the development and implementation of scientific projects

Topics:
•	Implementation of innovative technologies in educational systems 
•	Psychological maintenance of innovative activity"
12475,"Experience
1. Project Manager, IWIS LLC | October 2020 – January 2021
2. Project Manager, LLC «Politara» | March 2019 - December 2019
3. Lead Analyst, ITek | 2016-2018
4. Implementation Specialist of Accounting Systems, Production, and Trading Processes; System Administrator, LLC «Sky» | 2013-2015
5. Edms Analyst, SC «Zovnishtorhvydav» | 2012-2013
6. System Administrator, PrJSC«UkrSRINDT» | 2011-2012
7. System Administrator, LLC«PIPING INTEGRATION COMPANY» | 2010-2011

Professional Skills
- ERP Implementation
- Change Management
- Technical Documentation Drafting; Requirements Gathering; User Acceptance Testing; Reporting
- Conflict Management
- Technical Writing; Task Setting; User Manual Writing; Accounting, Production, and Process Management Systems Development based on 1C 7.7, 8.2, 8.3 Configurations; UPP, UTP, UNF, Retail, and Production Configurations Knowledge; User Training and Technical Support
- MS Server 2008, 2012 and Unix Systems Administration; MS SQL Database Administration
- Virtual Systems Administration based on VM Ware and VirtualBox

Education
Taras Shevchenko National University of Kyiv
Specialist, 2006-2011
Department of Theoretical and Applied Mechanics

Institute of Postgraduate Education
Master, 2014-2017
Common Law

Certificates
MindsetPM
• Big IT Project Management Program, July 2019, certificate №PM-EDU-20190728-03
• Manipulations Practice and Defence, August 2019, certificate №PM-EDU-20190804-07

Looking for a job where I’ll be able to apply all my potential and knowledge. I want to become an integral part of the team, build a strong team and work together for great results. 
Having the ability to handle complex assignments effectively & possessing the confidence to work as part of a team or independently. Each new goal, I take it as a personal challenge for me."
12476,"With eight years of experience in the ICT sector, I have worked in various roles including business analyst, project manager, and business intelligence manager. I started as a Business Analyst at Sumaks Technologies, analyzing business needs and identifying improvement opportunities. As a Project Manager at Business Insights International Research Group, I led a team evaluating individual and branch KPIs for an insurance company. In my role, I collaborated with stakeholders, managed data collection, entry, and preprocessing, and reported insights to the company. As a Business Intelligence Manager at Helind company, I utilized my expertise to enhance decision-making through data analysis and visualization. I have completed a ""Data Science with Python"" course, learning python language, machine learning models, and preprocessing methods. I have also acquired SQL skills for data science and continue to self-study R language, deep learning algorithms, and NLP. I am seeking remote opportunities in healthcare, energy, manufacturing, marketing, fintech, and retail industries."
12477,"1. Experienced in creating Specification, Feature Breakdown Structure, RoadMap, User Stories, Change Requests Log, Risk Matrix, Sprint Release, SWOT analysis.
2. Proficient in Android and IOS guidelines, as well as UI best practices.
3. Skilled in Agile methodologies such as Scrum, Kanban, Waterfall, LEAN, and RAD.
4. Familiar with Communication plan, Standup meetings, Sprint Planning, and Sprint Retrospective.
5. Knowledgeable in Rest API and Postman.
6. Proficient in Relational DB, SQL (basic requests), and Microsoft SQL Server Management Studio.
7. Experienced in Excel (pivot tables, basic statistical calculations), Basics of QlikView, and QlickSense.
8. Skilled in Axure and NinjaMock.
9. Proficient in Asana, Redmine, Bitrix24, Trello, and Jira.
10. Familiar with Basics of Google Analytics and Kibana.
11. Basic understanding of Python.
12. Experienced in Magento, Wordpress, OpenCart, and BPMonline.
13. Familiar with WayForPay and Bitcoin.
14. Skilled in Product Management and MVP development.
15. Experienced in Brainstorming, Focus Groups, and User Interviews.
16. Proficient in Teamwork facilitating, Conflict settlement, Problem solving, Public Speaking, B2B negotiations, and Presentation skills.
17. Highly interested in working with Big Data, AI, AR/VR, and games."
12478,"- Successfully delivered Samsung mobile firmware to factories
- Implemented internal processes and workflow for entire company from development to sales management
- Proficient in preliminary UX and prototyping
- Skills: Agile, Scrum, Kanban, Project Management, Project planning, budget planning, wireframes, requirements, use cases, prototyping, Jira, Trello, Axure, MS Project
- Seeking interesting and challenging projects to utilize my experience for successful launches
- Interested in international projects or serious enterprises, startups welcome
- Not interested in e-commerce projects with Drupal/Magento/etc."
12479,"- Business processes description & analysis
- Customer's needs & Requirements elicitation
- Technical documentation creation (User Stories, Use Cases, SRS)
- Requirements management throughout the SDLC
- Act as a team leader (providing guidance and instruction for the team, mentoring, processes creation)
- Project & Team Management, Process improvement, Project Coordination"
12480,"Customer Success Project Manager & Business Analyst
Revenue Grid
2023-Present

Presale Business Analyst
Soft-Industry Alliance
2022-2023
- Conducted elicitation and completed project documentation.
- Worked with a solutions architect, writing proposals, solutions overviews and value propositions
- Built, tested, and structured processes and tools for Partner Success Management team
- Audited company’s Business Processes
- Worked on establishment of OKR/KPI base, smart setting and real-time management across the organization

Revenue Operations Analyst (PMBA)
OpenText Corporation, Waterloo, Canada
2021–2022
- Managed development of CRM and ERP features and supported changes with data
- Formed scope, gathered functional requirements and NFRs
- Managed Salesforce releases on CI/CD basis
- Partnered with internal customers to troubleshoot and solve user issues in Salesforce and SAP
- Developed and maintained customer reports and dashboards for ELT

Billing Coordinator (Operations Management)
OpenText Corporation, Waterloo, Canada
2018–2021
- Supported sales team by reviewing legal, financial, product, and pricing related aspects of each deal submitted via Salesforce
- Ensured flawless fulfillment of each deal in SAP ERP working closely with Fulfillment, Customer Support and Renewals Representatives
- Set up, maintained and audited Changepoint engagements and projects
- Supported finance organization for SAP ERP challenges encountered
- Assisted with finance reconciliations projects
- Participated in pricing calls
- Documented corporate processes specific to each line of business
- Provided on-boarding to junior team members

Customer Records & Entitlements Associate
Nuance Communications Inc. (Imaging), Waterloo, Canada
2017

Order Fulfillment Clerk
Canadian General Tower, Cambridge, Canada
2016"
12481,"- Collected and analyzed customers’ requirements and formalized them for development teams
- Negotiated product delivery terms and conditions
- Conducted functional testing
- Created and implemented product support procedures
- Conducted presentations and product awareness sessions
- Provided first and second level product support
- Coordinated small or medium sized Dev/QA teams
- Hands-on experience in Agile Methodologies (Scrum) and tools (JIRA, Confluence)
- Base knowledge and understanding of SQL, HTML, CSS, XML, UNIX-like operating system"
12482,"Experience:
- 6 years as a QC Engineer with responsibilities including functions of Business Analyst and team management
- Thorough analysis of functional requirements, preparation of proposals for customers, definition of product and project risks, user guides preparation
- Last 1.5 years as QA Leader over QA team of 3-4 members
- Engaged in customizations of employee management and timekeeping system, analyzing user requests and developing customizations
- Completed approximately 40-45 customizations with team sizes ranging from 1-4 members
- Average duration of customizations ranged from 2 weeks to 4 months

Skills:
- Strong background in business analysis and project management
- Proficient in communication via Skype, phone meetings, and emails
- Experienced in team management and leadership
- Detail-oriented with a focus on meeting customer expectations

Looking for:
- Remote work for 4-5 hours per day with flexible schedule
- Interested in further developing skills in business analysis or project management
- Seeking opportunities to utilize expertise in a new and challenging environment"
12483,"IT Specialist with over 10 years of experience in the IT industry, specializing in software maintenance and support for 5 years, software analysis for 4 years, and project management for 1 year. Skilled in business awareness, project coordination, system migrations/integrations, incident and problem management, SQL, SDLC, Jira, Agile, Scrum, Waterfall, and team motivation. Experience as a Business Analyst in Ecommerce, Logistics, and Finance domains for the past 4 years. Proficient in SQL, communication with clients and teams, analytic thinking, SDLC, data analysis, Atlassian Jira, Confluence, Visio, Balsamiq, Firebase, MS Office, MS SQL Server, Sybase SQL Anywhere, XML, and JSON. Responsibilities include requirements gathering, analysis, diagram creation, translating business requirements into technical specifications, writing project documentation, and participating in scrum meetings. Previous experience includes roles as a Senior Software Analyst (PM), Senior Engineer, System Administrator, Lead Software Engineer, and Engineer in various organizations."
12484,"I have experience gathering requirements for project initiation in areas such as public health and M&E. I have studied and analyzed business processes within companies such as Synergy International Systems and IDeA foundation, providing recommendations for improvement. I have collaborated with IT Specialists to create internal portals using MS SharePoint for both companies. I have prepared project plans using MS Project, risk management plans, communication plans, and budgets for various projects. I have consistently acted as a focal point for project status reporting."
12485,"SKILLS
- Experience in project management
- Setting tasks according to smart
- Development of a technical description of the project, concepts
- Determine the business requirements of the customer and develop optimal solutions
- Work experience of a business analyst more than 7 years
- Experience in the implementation of automated control systems
- Creation of test plans, test cases, design and execution of tests, compilation of bug-reports
- Understanding of the process of development of project documentation (Use Cases, Business Rules, Functional & Non-Functional Specification)
- Analysis and optimization of business processes
- Experience in managing requirements changes
- Good communication and negotiation skills
- Jira
- SQL (basic)
- HTML/CSS (basic)
- 1C
- Microsoft Office (Word, Excel, Outlook, PowerPoint)

I'm looking for an opportunity to use my experience in IT as a Project Manager or Business Analyst. I have over 12 years of experience in various analyst roles, including Project Manager, Marketing Analyst, and Business Process Analyst. I have a higher education in management and project management, graduating with honors, as well as QA Manual experience."
12486,"- Over 9 years of experience in implementing IT and transformation projects in retail, mining engineering, energy industry, and auctions for the sale of state property as part of government reforms
- Skilled in modeling and analysis of processes, conducting interviews and workshops, and documenting requirements with use cases and user stories
- Ability to engage professionally with stakeholders using leadership and influencing skills
- Seeking a Business Analyst or Project Manager position in a company with a service or product that provides a meaningful benefit to people, with a focus on revolutionary problem solutions and cutting-edge technologies"
12487,"Experience:
- Business Analyst and Project Manager in a product company, managing the development of an online platform for analyzing satellite imagery focused on the international market.
- 8 years of experience as an engineer and head of group in spacecraft design, participating in the development and promotion of promising projects.

Skills:
- Requirements elicitation, analysis, and detailed requirements design.
- Creating use cases, user stories, and acceptance criteria.
- Requirements management, SRS, backlog tracking, and story task description definition.
- Product analysis to identify strengths and weaknesses.
- Market research and competitor analysis.
- Product documentation support.

Objective:
Seeking a Business Analyst position in a progressive and friendly team to continue growing professionally and personally."
12488,"Senior Business Analyst with 7+ years of experience in B2C software development of websites and iOS/Android platforms. Skilled in launching web applications from the ground up, validating ideas through interviews, and saving millions of dollars for FinTech startups. Proficient in optimizing internal processes and creating new revenue streams. Experienced in requirements gathering methodologies. Seeking remote positions in the USA or Canada with the ability to travel as needed. Located in Texas, USA."
12489,"Senior Business Consultant at EY, Ukraine with 4 years of experience in business processes optimization, financial, and operational analysis. Key areas of expertise include:
- Business Process Modeling in EPC and BPMN notations using MS Visio and ARIS
- IT Strategy Development
- Data analysis and modeling with advanced proficiency in MS Excel, MS PowerQuery, and MS Power BI
- Development of management reporting
- Review and design of organizational structure and KPI framework
- Drafting methodologies and operational regulations
- Presentation design using MS PowerPoint
- Project management
- Team leadership"
12490,"Leading the new project - internal standards of global company introduction for Craft Brewery (Prague) ; Implementation and establishment of processes in a new international company; Solid experience in professional expertise of company's internal quality control; good experience in establishing processes after merge international companies (process description, as-is and to-be business process, automation) ; experience in introduction of a new company for observance of company standards and global policies; rich experience in implementation of business requirements into departments; Solid expert in automation and standardization process (reports); understanding of software development lifecycle; defining business needs, goals, opportunities, analysis, providing possible best solutions; UML&BPMN basic business processes modeling; courses of ""Business Analyst"" Hillel. Courses of Project Management, courses of Public Speaking."
12491,"Experience:
- CRM/ERP project implementation
- Sales app development

Awards:
- 5 awards, including Agile implementation for 3 teams in a Fortune 500 company

Skills:
- 7+ years of experience as a business analyst and project management
- Domain knowledge in fintech, data manipulation, processing, reporting, QA, CRM/ERP, software development, and testing principles
- Certified in SCRUM
- Solid understanding of SDLC processes and methodologies/frameworks (e.g. agile, Waterfall, LeSS, interactive, etc.), Jira, Visio, Confluence, Aha, Hygger, etc.
- Professional experience in technology evaluation, assessment, and roadmap development

Languages:
- English, Spanish

Attributes:
- Good reputation
- Thrives in challenging environments
- Demonstrates career progress and development"
12492,"DATES - July 2020 – present time
POSITION - Business Analyst/Project Manager
COMPANY - WePlay Esports
KIND OF ACTIVITY - Development

DATES - July 2020 – January 2021
POSITION - Associate Product Manager
COMPANY - WePlay Esports
KIND OF ACTIVITY - Development

DATES - April 2020 – June 2020
POSITION - Business Analyst Team Lead
COMPANY - E-consulting
KIND OF ACTIVITY - Development of CRM systems

DATES - July 2019 – June 2020
POSITION - Business Analyst
DUTIES:
- Documentation (terms of reference, manual, test cases)
- BPMN
- UML
- User story
- ERD
- Testing of the developed functional
- Consultation of programmers during product development
COMPANY - E-consulting
KIND OF ACTIVITY - Development of CRM systems

DATES - September 2017 - June 2019
POSITION - Advertising Manager
DUTIES:
- Setup and launch advertising campaigns
- Control advertising campaigns
- Forecasting volumes for future campaigns
- Analysis of advertising campaigns
- Preparation and submission of report
COMPANY - Megogo
KIND OF ACTIVITY - OTT/VOD video service

DATES - December 2016 - August 2017
POSITION - Office Manager
COMPANY - Megogo
KIND OF ACTIVITY - OTT/VOD video service

DATES - February 2016 - December 2016
POSITION - SMM Manager
COMPANY - Social Media Marketing
KIND OF ACTIVITY - Digital agency

DATES - 2011-2016
POSITION - Tutor of mathematics and physics"
12493,"Business model development
Business process analytics
SRS documentation
Business development & marketing
People management & education
Content management
SDLC (Agile/Scrum/Kanban) methodology
Business process modelling (BPMN, UML)
SRS documentation
Experience with Jira, Confluence
Drafting functional / business / system requirement specifications
Problem-Solving
Analytical Thinking
Strong Communication Skills"
12494,"A person with almost three years of total experience in an IT sphere. Excellence in written and spoken English. Strong communication, analytical skills. Started career in technical support, communicating with people from different parts of the world. In current position, took part in creation of new department within company, helped establish processes from scratch. Analyzed current processes and sought ways of improvement. Completed BA courses, gaining understanding of SDLC, Requirements management, User stories/Use cases creation, Roadmaps, Vision&Scope documents, Risk management. Basic understanding of BPMN, UML diagrams. Friendly, positive environment with open-minded people. Regular feedback based on achievements."
12495,"Domains: pharmacy and healthcare, e-commerce, marketing automation, FMCG, photography and video production, social networking, sports management

Business Analyst/Project Manager
1) Electronic prescriptions issuing and receiving mobile application Medical Information System (MIS) web service
Responsibilities:
- Elicit business requirements using various methods such as interviews, document analysis, requirements workshops, surveys, site visits, and business process descriptions
- Conduct brainstorming and elicitation sessions with clients, integrators, government officials, doctors, and patients
- Conduct market, competitors, and target audience research to define competitive advantages and design system concepts
- Analyze technical documentation of eHealth IT systems and implement requirements for designers and developers
- Draft contracts, issue invoices, and prepare work breakdown structures for estimation and risk assessment

2) B2B marketing automation website (beeway.com.ua) and photo shooting/video production website (recartframe.com)
Responsibilities:
- Gather and analyze requirements, communicate with customers, conduct market research, and define competitive advantages
- Develop system design concepts and brand concepts
- Write specifications for WordPress sites and prototype mobile/web versions of products
- Draft contracts, issue invoices, and develop project plans, timelines, and risk management strategies

Junior Business Analyst/Sales Manager
Medical messenger mobile/web application
Responsibilities:
- Conduct market and competitor research, analyze target audience, and define hypotheses for testing
- Develop recommendations for promotional materials and sites
- Form doctors' and patients' databases, negotiate with potential customers, and develop concepts for new services
- Write scripts, create roadmaps, produce promo videos, and lead webinars and presentations
- Assist other departments with tasks and problems in design, development, quality control, marketing, and support."
12496,"Performed pre-sale and research activities, gathered and documented requirements in SRS, created documentation for end-users, customers, and developers on various projects. Conducted trainings, presentations, and product demos. Business analyst with project management and technical writing background. Worked for product and outsource companies in financial, healthcare, travel, services, and video streaming domains. Created documentation to bridge communication gap between stakeholders and handled projects from pre-sale activities to supervision."
