,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
98386,"**PROFESSIONAL SUMMARY**
Seeking a full-time position at a company dedicated to improving everyday life and business through intuitive, user-friendly, and productive solutions. Fast learner with strong sense of responsibility and enthusiasm for challenging projects.

**EXPERIENCE**

**FLOVER LOVER** | Landing Page
Designed and created a landing page to advertise a flower delivery service. Collaborated with client to develop a simple, single-page website with intuitive navigation and refined color palette. Conducted mood board development and competitive analysis prior to design execution.

**CUSTOM CONCEPT TATTOO & DESIGN** | Website Redesign
Redesigned website for tattoo studio to modernize outdated design and improve cross-device functionality. Developed responsive design to ensure proper adaptation across multiple media formats and enhance appeal to potential customers.

**VDOMA** | Web Service
Designed and launched an animal search web service to help owners locate lost pets efficiently. Executed project across multiple phases including competitive analysis, user persona development, prototyping, system design, UI design, and responsive adaptation."
98387,"**UX/UI Designer**

**Professional Focus**

Passionate about creating user-centered digital experiences through UX/UI design. Seeking roles that prioritize creativity and collaboration within cross-functional teams, emphasize thorough user research and testing, and value quality and user satisfaction over rapid development cycles.

**Projects & Experience**

**f.Lover Mobile App for Delivering Flowers**

Designed and developed a mobile application for ordering and delivering bouquets and gifts online. Collaborated with a team to create an app that provides users with gift and flower recommendations, allowing users to order gifts for specific dates, times, or special occasions.

**Key Design Work:**
- Redesigned User Interface
- Mobile App Optimization
- Web-Service Development
- Landing Page Design"
98388,"**PROFESSIONAL SUMMARY**

User-focused designer with experience in both independent and collaborative project environments. Skilled in UX research, persona development, and multi-platform design. Seeking remote design opportunities to grow professionally, ideally with mentoring support.

**CORE COMPETENCIES**

- UX Research & Analysis
- Persona Development
- Wireframing, Mockups & Prototypes
- Competitor Analysis
- User Flow Design
- Responsive Design (Desktop, Tablet, Mobile)
- Design Principles & User Experience

**PROJECT EXPERIENCE**

**Flowers Delivery Mobile App** | Individual Project
- Developed user-friendly and intuitive interface for online flowers ordering service
- Conducted persona research to understand customer demand
- Created comfortable, easy-to-use app enabling customers to order bouquets globally

**Pet Scout - Animal Pet Search Web Service** | Team Project - Leader & Primary Ideator
- Conducted UX research including competitor analysis and user flow mapping
- Analyzed web service architecture and applied design principles to create compelling user experience
- Created wireframes, mockups, prototypes, and portfolio documentation

**Barbershop Landing Page** | Individual Project
- Designed landing page for service discovery and barber appointment booking
- Performed competitor analysis and developed user personas using research methods
- Developed responsive designs for desktop, tablet, and mobile platforms

**Tattoo Studio Website Redesign** | Individual Project
- Created intuitive website enabling artist selection, portfolio research, and consultation signup
- Conducted competitive analysis with demographic and statistical evaluation
- Designed visually engaging and intuitive interface based on research data"
98389,"# UI/UX DESIGNER

## CORE SKILLS
Figma, Adobe Illustrator, Adobe Photoshop, ProtoPie

## EXPERTISE
- Low and high fidelity prototypes
- Vector illustration
- UI components
- Adaptive design
- Logo creation
- Landing page design
- User interface and user experience improvement
- Web and mobile application design

## PROFESSIONAL SUMMARY
Dedicated UI/UX designer specializing in web and mobile applications. I transform concepts into impactful solutions by combining aesthetic design with user-centered problem-solving. My approach focuses on creating visually compelling interfaces that address user challenges and align with audience objectives. I thrive both as an independent contributor and collaborative team member, consistently delivering meaningful design solutions across diverse projects.

## PROJECT EXPERIENCE

**Website Redesign – Destin Tattoo Company**
Individual project encompassing competitor analysis, prototyping, content strategy, color selection, logo development, wireframe creation, component development, and responsive design adaptation for tablet and mobile devices.

**Web Service – The Lost Pets**
Team project designed to help users find, return, or adopt animals. Responsible for creating user flow for individuals who found or rescued animals and developing a custom logo for the service.

**Mobile App – Suit Store**
Designed application focused on user convenience and simplicity in product search and purchase. Created streamlined user flow for male persona across multiple product categories. Independently executed all work from prototyping through final delivery.

## CAREER GOALS
Seeking a full-time position in a creative and collaborative team environment where I can solve challenging design problems, improve user interfaces, and take on advancing design responsibilities."
98390,"# Professional Experience

**Team Leader - BudgetStay Project**
Led design team of 2 designers on web service development for accommodation search and booking platform. Created Main User Flow with 2 account types (free and premium) and separate flow for 3 host types. Delivered designs for desktop, tablet, and mobile versions with desktop prototype.

**Team Leader - Sensual Temple Landing Page**
Led development of landing page for tantric massage salon across desktop, tablet, and mobile platforms. Project focused on promoting salon services, creating informative online presence, and attracting potential clients.

**Designer - FoodieFinder Mobile Application**
Designed restaurant search and mobile table reservation application. Developed mobile app design to provide users with efficient way of finding and booking restaurants based on preferences.

**Designer - India Cafe Website Redesign**
Independently redesigned website for Indian restaurant in Pennsylvania, USA. Added missing pages with photos and menu functionality, and implemented appointment booking feature. Delivered designs for desktop, tablet, and mobile versions with desktop prototype.

**Designer - Citreon 4 Landing Page Concept**
Created concept landing page for Citreon 4 in Ukraine focused on test drive orders. Delivered desktop design.

# Additional Projects

Completed 2 personal pet projects.

# Professional Goals

Seeking UX/UI Designer position with a team committed to implementing modern projects that create effective connections between service providers and clients. Dedicated to enthusiastic project implementation and continuous skill development."
98391,"# PROFESSIONAL SUMMARY

Dedicated designer and educator with 15 years of teaching experience in computer science, including instruction in raster and vector graphics, 3D modeling, and programming languages. Passionate about learning and applying new technologies to create modern, user-friendly digital solutions.

# CORE COMPETENCIES

**Design Tools:** Adobe Photoshop, Adobe Illustrator, Corel Draw, Figma, ProtoPie, Canva

**Design Skills:** Website redesign, adaptive design, mobile application design, wireframing, prototyping, visual style development, user research, persona development, user flow mapping, moodboard creation, landing page design

**Expertise:** Full design cycle implementation, interface analysis and prototyping, user-centered design

# PROFESSIONAL EXPERIENCE

**Computer Science Teacher**
*15 years*
Instructed students on raster and vector graphics, 3D modeling, and programming languages. Applied expertise in design tools and methodologies to educate students in digital solution creation through a user-centered approach.

# SELECTED PROJECTS

**Website Redesign – Veterinary Clinic ""Aibolit""**
Completed full design cycle including problem analysis, interface prototyping, and visual style creation. Delivered a modern, user-friendly design to attract potential customers through adaptive design and user research methodologies.

**Mobile Application – ""Coffee Time""**
Completed full design cycle including problem analysis, interface prototyping, and visual style creation. Developed a mobile application enabling customers to scan and pay for goods while bypassing checkout queues through thoughtful interface analysis and user-centered design principles."
98392,"**UI/UX Designer**

**Education**
Online IT School – UI/UX Design (8 months)
Coursework: Landing pages, websites, web services, and individual site elements

**Projects**

**Visit – Web Service (Full-Stack Design)**
Developed a user-friendly web service for organizing travel throughout Ukraine. Conducted UX research and competitive analysis to inform design strategy. Created wireframes and functionality based on research findings, implementing successful design patterns while avoiding ineffective approaches.

**Poltavski Galyshki – Website Redesign**
Redesigned website for Poltava Dumplings cafe, improving user experience through information architecture restructuring, logical section organization, photography integration, and prominent business contact placement to enhance service discovery.

**Additional Projects**
Two web design and development projects."
98393,"# RESUME

**EDUCATION & TRAINING**

H.S. Skovoroda Kharkiv National Pedagogical University
Faculty of Art and Graphics
Ad Designer

CURSOR Education (Feb 2021 — Jul 2021)
UI/UX Designer

Mobios School (Sep 2021 — Dec 2021)
UX/UI Web Design + Mobile Design

Source IT (Feb 2015 — Apr 2015)
HTML Layout

**PROFESSIONAL EXPERIENCE**

Layout Designer (10+ years)
Various Publishing Houses
- Developed layouts for books, magazines, and posters
- Executed page design and visual composition
- Sourced, processed, and created vector illustrations
- Sourced and processed bitmap images
- Compiled collages
- Prepared products for printing

**CORE COMPETENCIES**

UX Research, Wireframing, UI Design, Mobile App Design, Web Design, Communication, Information Architecture, User Personas, Customer Journey Mapping, Competitor Analysis, SWOT Analysis, Vector Illustration, Book & Magazine Layout, Print Production"
98394,"# PROFESSIONAL SUMMARY

UX/UI-focused designer with foundational experience in graphic design and product management. Proficient in Adobe Creative Suite with training in user research, wireframing, and prototyping methodologies.

## EDUCATION & CERTIFICATIONS

**Professional Certifications**
- Google UX Design (Coursera)
- Introduction to Software Product Management (University of Alberta)
- Fundamentals of Graphic Design (California Institute of the Arts)

**Academic Recognition**
- Diploma of the II Degree, Sixth All-Ukrainian Student Olympiad in Design of Publishing and Printing Production

## PROFESSIONAL EXPERIENCE

**Freelance Graphic Designer** | 1 year
- Designed print publications and illustrations
- Created UX case study through Google UX Design coursework demonstrating proficiency in research, wireframing, and prototyping
- Utilized Adobe Photoshop and Adobe Illustrator in design projects

## CORE COMPETENCIES

UX Research & Design | Wireframing & Prototyping | Graphic Design | Adobe Photoshop | Adobe Illustrator | Print Publications & Illustrations"
98395,"# UI/UX Designer

## Professional Experience

**Freelance UI/UX Designer** | 6 months
- Developed and created unique user interfaces for various clients, delivering distinctive and appealing designs that enhanced user experience and improved conversion rates
- Analyzed client requirements and conducted user research to inform design decisions
- Created information architecture, wireframes, and prototypes
- Conducted user experience testing and participated in iterative design processes based on user feedback
- Collaborated with developers to ensure high-quality end products and managed project timelines
- Communicated effectively with clients throughout project lifecycle

## Core Competencies

- UI/UX Design Principles
- User Research Methodologies
- Wireframing and Prototyping
- Interaction Design
- Information Architecture
- User Experience Testing
- Client Requirements Analysis
- Design Tools and Emerging Practices
- Team Collaboration
- Project Management
- Stakeholder Communication

## Education & Training

**UI/UX Design Courses** | Completed
- Coursework in design principles, user research methodologies, wireframing, and prototyping
- Recognized by instructors and peers for attention to detail, creativity, and incorporation of user feedback

## Professional Development

- Active participant in design communities
- Continuously pursue self-study and webinar attendance to stay current with industry trends and best practices"
98396,"**PROFESSIONAL EXPERIENCE**

**UI/UX Designer** | 11 months
- Mastered Figma including components, variants, auto layout, and constraints
- Proficient in Photoshop, Illustrator, Webflow, and After Effects
- Continuously developing expertise in web design

**PROJECTS**

**Roofing Materials Plant Website Redesign**
- Transformed an outdated, non-functional multi-page site into a modern, user-convenient landing page with improved information architecture

**Tea Studio Landing Page**
- Designed an attention-grabbing, stylized website that delivered both aesthetic and cultural satisfaction while presenting essential business information

**Board Games Online Store**
- Integrated AI elements into an e-commerce platform

**Multiplex Ukrainian Cinema Network Application Improvement**
- Conducted detailed UX research to identify usability gaps
- Proposed targeted solutions addressing primary application usability concerns

**CORE COMPETENCIES**

Web Design | UI/UX Design | Figma | Photoshop | Illustrator | Webflow | After Effects | UX Research"
98397,"# RESUME

**Technical Skills**
- HTML5, CSS3 (responsive and adaptive design)
- SASS/LESS
- Flexbox
- GIT
- JavaScript (basic knowledge)
- React.js (component splitting and preparation for developer implementation)
- Bootstrap
- Adobe Creative Suite: Photoshop, Illustrator, InDesign
- Procreate
- Figma

**Professional Experience**

Freelance Designer & Illustrator
- Created commissioned illustrations and portraits
- Developed 2D characters for training videos
- Managed client relationships and project prioritization
- Remote work experience

**Core Competencies**
- UI/UX Design
- Front-end Development Understanding
- Design and Development Integration
- Professional Skill Development and Continuous Learning
- Client Relationship Management
- Project Prioritization

**Professional Philosophy**

Combines design expertise with understanding of developer workflows. Passionate about bridging art and design with front-end development through UI/UX design."
98398,"# RESUME

## PROFESSIONAL SUMMARY

Motivated and responsible design professional with strong attention to detail and proven ability to work effectively in team environments. Passionate about solving problems through design and creating simple, understandable, and user-friendly interfaces.

## CORE COMPETENCIES

- Design process from research through prototyping
- User research and analysis
- User flow development
- Wireframing
- Prototyping
- Animation design
- 3D modeling
- Figma (design layout, clickable prototypes, and animation)

## PROFESSIONAL EXPERIENCE

**Freelance Designer**
- Developed user-focused design solutions with emphasis on interface simplification and streamlined project delivery
- Created clickable prototypes and animations utilizing comprehensive design methodology including research, user flows, wireframes, and prototyping
- Applied problem-solving approach through design to enhance user experience

## CORE SKILLS

- 3D modeling
- Team collaboration
- Problem-solving through design
- Attention to detail"
98399,"# PROFESSIONAL EXPERIENCE

**Freelance Artist** | January 2019 – August 2021
- Created custom paintings, portraits, and logos for diverse clients
- Managed client relationships and project timelines independently

**Assistant Architect** | June 2022 – August 2022
- Developed layouts and project plans for architectural projects using computer-aided design tools
- Collaborated on multiple architectural initiatives

**UI/UX Designer** | Internship (6 months)
- Designed user interfaces and user experiences for digital products
- Contributed to design improvements and user-centered solutions

**Translator** | Marriage Agency | April 2023 – August 2023
- Provided translation services for clients
- Facilitated cross-cultural communication"
98400,"# RESUME

**PROFESSIONAL EXPERIENCE**

Freelance Graphic Designer | Hilding Company
- Create brand stories, icons, and graphics for Amazon store products

Content Creator and Photographer | Sport Clothing Shop

Photographer | Restaurant

**TECHNICAL SKILLS**
- Figma
- Adobe Photoshop
- Zeplin
- Webflow
- Web design and creation

**VOLUNTEER EXPERIENCE**
- International Exchange Programs Volunteer
- BookForum Volunteer
- Children's BookForum Volunteer"
98401,"# RESUME

**Freelance, Implants & Surgeons**
Web Designer, UI/UX Designer | 2022 - 2023

Collaborated with an IT company to design online stores, service platforms, and landing pages. Developed UX processes and conducted manual UI/UX testing.

**Famart Group**
Web Designer, UI/UX Designer | 2021 - 2022

Designed platform interfaces for e-commerce sales, created advertising banners, performed photo retouching for website content, and optimized user flow on the platform. Contributed to UI/UX development."
98402,"# PROJECT AND PRODUCT MANAGER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Experienced Project and Product Manager with four years in digital product development. Demonstrated expertise managing 74 concurrent website projects while overseeing mobile application development. Proficient across all development stages from concept to production. Skilled UI/UX Designer with comprehensive training and hands-on experience in design creation, prototyping, and brand development.

## PROFESSIONAL EXPERIENCE

**Netpeak Group — UI/UX Designer**
- Design creation for blogs, websites, and topic-specific review platforms
- Landing page design using Tilda
- Logo design and brand development
- E-commerce and online store design
- Interactive prototyping
- Website layout and development

**Netpeak Group — Project/Product Manager**
- Led team managing mobile application and website development
- Conducted manual product testing
- Managed complete workflow: technical specifications, prototyping, design, development, testing, and production deployment
- Established communication protocols between project stakeholders
- Facilitated retrospectives, backlog grooming, and planning poker estimations
- Created interactive prototypes
- Analyzed performance metrics using Google Analytics and AppsFlyer
- Conducted competitive analysis using App Annie, Alexa, and Sensor Tower

**Freelance UI/UX Designer**
- Landing page design
- E-commerce and online store design
- Interactive prototyping
- Website layout and development using Tilda
- Logo design and corporate identity systems
- Business collateral design (visiting cards, advertising banners)

## EDUCATION

Projector School — Four Design Courses

## WHAT I'M SEEKING

Meaningful projects within an organization committed to employee development and societal impact through innovative products and values-driven mentality."
1747,"# RESUME

## PROFESSIONAL EXPERIENCE

**Self-Employed Entrepreneur** | 8 Years
- Opened, managed, and successfully sold a chain of coffee shops
- Established and operate an export-oriented production company utilizing 3D printing technologies

## TECHNICAL SKILLS

- Project planning and execution
- Budget management and financial oversight
- SCRUM methodologies, Agile, Kanban, and Waterfall frameworks
- Prioritization and goal setting
- Delegation and task performance monitoring
- Game design: theoretical foundations, basic understanding of UE4 and Unity
- Blender (Junior level): modeling, UV mapping, and animation
- Linux node operating

## PROFESSIONAL SKILLS

- Team management and leadership
- Critical thinking and decision-making
- Time management and organization
- Communication and coaching
- Risk management
- Customer and user needs identification
- Consensus building on project implementation
- English (B1 - Intermediate)"
1784,"# PROFESSIONAL SUMMARY

Results-driven creative professional with diverse experience across multiple disciplines. Proven expertise in 3D art, graphic design, videography, video production, digital marketing, and event organization. Skilled at delivering high-quality visual content and executing effective marketing strategies in dynamic environments.

## CORE COMPETENCIES

- 3D Modeling & Animation
- Graphic Design
- Videography & Video Production
- Digital Marketing & Campaign Execution
- Event Organization
- Digital Marketing Tools & Platforms
- Start-up Experience
- Brand Awareness & Lead Generation

## PROFESSIONAL EXPERIENCE

**3D Artist**
- Created visually stunning and realistic 3D models and animations utilizing advanced creative abilities

**Graphic Designer**
- Designed compelling visual assets across various projects employing professional design skills
- Delivered customized design solutions for diverse client needs

**Videographer & Video Editor**
- Captured and edited high-quality videos with keen attention to detail and technical proficiency
- Created impactful visual narratives that effectively communicated key messages

**Digital Marketing Specialist**
- Strategized and executed effective digital marketing campaigns
- Utilized digital marketing tools and platforms to drive engagement and enhance brand awareness
- Generated leads through targeted marketing initiatives

**Event Organizer**
- Successfully organized music art festival in Azerbaijan, showcasing the region's vibrant and diverse music culture
- Contributed to DokuBaku International Documentary Film Festival, promoting documentary filmmaking

**Start-up Professional**
- Gained valuable experience in fast-paced, dynamic start-up environments
- Developed versatile skill set and demonstrated understanding of start-up challenges and opportunities"
2476,"# Client Success Manager

Managed 3-4 large enterprise-level accounts in parallel, overseeing account health and growth with dedicated engineering teams of 30-50 people.

## Key Responsibilities & Achievements

- Managed multiple accounts across different engagement models and all aspects of client relationships
- Identified client business pain-points and assisted with strategic roadmap development to achieve business goals
- Generated and implemented improvement ideas that resulted in account and team growth
- Participated in building strong engineering teams and establishing processes and strategy
- Mentored and coached talented engineers and solution architects while learning from team members
- Led opportunity initiation processes, drafted proposals and statements of work
- Extended partnerships with existing clients through proactive relationship management
- Conducted executive reporting and business reviews
- Performed project scope analysis and managed risks and issues
- Managed and coached project teams
- Demonstrated practical knowledge of software development methodologies and lifecycle

## Core Competencies

Client relationship management and partnership building | Account management and strategic planning | Team management and mentoring | Executive communication and reporting | Project scope and risk management | Software development expertise | eCommerce transformation | Salesforce | IBM Websphere | Magento"
2515,"# PROFESSIONAL SUMMARY

Results-driven professional with extensive experience in client relationship management, project coordination, and sales operations. Proven ability to maintain trustful business relationships, resolve complex customer concerns, and coordinate cross-functional initiatives. Seeking to advance expertise in project management while leveraging strong communication and documentation skills.

# KEY COMPETENCIES

**Client & Relationship Management**
- Build and maintain long-lasting, trustful business relationships with customers
- Identify, troubleshoot, and resolve customer issues and concerns
- Coordinate client projects and manage platform interactions

**Project & Operations Management**
- Lead projects involving client coordination and online platform integration
- Communicate effectively with development teams to align project goals
- Manage sales activities and customer retention initiatives

**Technical Skills**
- Zoho
- Jira
- Confluence
- SAP
- 1C

**Documentation & Administration**
- Prepare, organize, and manage sales documentation
- Handle agreements, contracts, and invoice processing

# PROFESSIONAL GOALS

Committed to developing expertise and advancing career in project management."
2517,"**PROFESSIONAL EXPERIENCE**

**Project & Account Manager**

• Managed up to 15 concurrent projects while maintaining client relationships and identifying growth opportunities
• Monitored project workflows, controlled timelines and deliverables, and communicated progress updates to stakeholders
• Identified and communicated potential issues and risks to relevant parties
• Built long-term client relationships through consistent communication and service delivery
• Identified client needs and presented tailored solutions through cross-selling and upselling initiatives
• Processed inbound client requests and generated new business through outbound lead prospecting
• Presented proposals to prospects and managed complete sales cycles from initial contact to closure
• Prepared and finalized client agreements"
2529,"# PROFESSIONAL PROFILE

Results-driven professional with demonstrated expertise in communication, teamwork, and project management. Analytical thinker committed to strategic planning and achievement of organizational goals. Dedicated to fostering mutually respectful and honest relationships that drive optimal outcomes.

# CORE COMPETENCIES

- Project Management
- Team Collaboration
- Communication
- Strategic Planning
- Problem-Solving
- Relationship Building

# PROFESSIONAL EXPERIENCE

**Communication, Teamwork & Project Management Specialist**

- Executed effective communication across teams and stakeholders
- Drove collaborative teamwork and cross-functional coordination
- Managed project execution and delivery
- Cultivated strong professional relationships based on mutual respect and integrity

# PROFESSIONAL PHILOSOPHY

Committed to fostering mutually respectful and honest relationships that enable all parties to contribute their best work. Motivated by challenges that drive personal growth and professional development."
2538,"# PROFESSIONAL SUMMARY

Results-oriented and dedicated recently graduated professional with 2+ years of experience in supply chain management, marketplace expansion, and supplier relations. Adept at completing extensive market research, negotiating with international suppliers, developing and implementing cost-saving initiatives, and executing strategic supply chain activities. Possessing strong critical thinking skills and ability to remain calm in demanding situations.

# KEY ACCOMPLISHMENTS

- Closed eBay expansion project
- Optimized supply chain operations, resulting in significant cost savings for the company
- Negotiated with Asian suppliers to improve product quality with measurable results
- Managed US re-import process, eliminating duplicate tax obligations for the company

# PROFESSIONAL EXPERIENCE

**Supply Chain & Marketplace Operations Specialist** | 2+ Years
- Collaborated with Amazon and Asian partners on diverse strategic projects
- Led market expansion initiatives across multiple countries and marketplaces
- Prepared legal documentation for platform compliance and continued marketplace operations
- Executed product registration across various EU organizations
- Implemented product quality improvement projects
- Developed and executed supply chain planning initiatives

# CORE COMPETENCIES

Market Research | Supplier Negotiation | Supply Chain Management | Cost Reduction | Legal Documentation | International Operations | Strategic Planning | Problem-Solving"
2551,"**PROFESSIONAL SUMMARY**

Legal professional with 3+ years of in-house experience in IT Product Company, combining deep expertise in Data Privacy, Intellectual Property, Commercial and Contract Law with practical understanding of the complete SDLC cycle. Proven managerial and recruitment experience with strong organizational skills including attention to detail, multitasking, and proficiency in various managerial methodologies. Skilled at building relationships within teams and collaborating with international companies and customers. Seeking Account Manager role leveraging comprehensive business and legal background.

**EXPERIENCE**

**Legal Counsel | Benish Group**

- Advised colleagues on corporate policy, analyzed and minimized legal risks within the company, and provided recommendations on policy application
- Collaborated with internal and external teams including developers, analysts, marketing managers, and company leadership to oversee risk-reducing activities
- Communicated with customers, business partners, and service providers across multiple jurisdictions
- Prepared Rules for provision of services, Privacy Policies, and Terms of Use for Applications in compliance with GDPR
- Participated in product development and optimization of business processes across the company group
- Implemented legal compliance across multiple business areas including personal data protection, intellectual property, marketing, sales, payments, and consumer rights
- Organized and maintained contractual activities including legal expertise, contract drafting in accordance with local legislation and company standards
- Managed contracts, RFPs, and RFIs
- Collaborated with procurement on supplier negotiations and contractor evaluations according to company procedures

**Project Manager Assistant | Vayosoft Team**

- Organized team meetings, follow-ups, action lists, and prepared reports and presentations for upper management
- Participated in project creation from inception through MVP to application improvement"
2553,"**PROFESSIONAL SUMMARY**

Results-driven professional with comprehensive experience in business development and project management. Demonstrated expertise in people management, team leadership, and account management across outstaff projects. Proven track record of managing cross-functional teams, driving customer relationships, and facilitating partnership communications. Seeking a Project Manager position with an outsourcing company to leverage B2B experience and develop skills with international clients.

**CORE COMPETENCIES**

- Project Management
- People Management & Leadership
- Team Motivation & Performance Management
- Recruitment & Onboarding
- Account Management
- Customer Relationship Management
- Negotiation & Conflict Resolution
- Documentation Preparation
- Company Representation
- Estimation & Proposal Development
- Partnership Communication
- Contract Development
- IT Industry Knowledge

**PROFESSIONAL EXPERIENCE**

**Business Development Manager / Project Manager**

- Managed cross-functional teams through 1-on-1 meetings and sprint monitoring
- Led and motivated team members while fostering collaborative work environment
- Recruited and onboarded technical and non-technical personnel
- Managed ongoing project accounts including customer negotiations and conflict resolution
- Represented company in client presentations and prepared estimation documentation
- Facilitated communication and partnerships with partner companies
- Provided end-to-end customer support from initial contact through project closure
- Identified and sourced outstaff projects
- Prepared documentation and contracts for outstaff agreements
- Developed deeper understanding of IT industry and organizational management through diverse business exposure"
2554,"**PROFESSIONAL SUMMARY**

Results-driven professional with 4 years of B2B international communication and sales experience, complemented by expertise in UI/UX design and product management. Master's degree in Foreign Economics. Proven ability to deliver excellence in oral and written presentations, team leadership, and public speaking across diverse cultural contexts.

**CORE COMPETENCIES**

- B2B International Communication & Account Management
- Sales & Business Development
- Team Building & Cross-Cultural Communication
- Problem-Solving & Strategic Management
- Web & Mobile UI/UX Design & Prototyping
- Agile Methodologies & Software Development Life Cycle
- Business Analytics

**TECHNICAL SKILLS**

CRM | Google Docs | Figma | Axure RP | Coggle | Adobe Photoshop | Canva | Trello | Slack

**EDUCATION**

Master's Degree in Foreign Economics

**PROFESSIONAL TRAINING**

- Business Analytics
- Web & Mobile UI/UX Design

**AREAS OF FOCUS**

Specialized in business solutions development, web and mobile UI/UX design, prototyping, and cross-cultural communication. Seeking Account Manager or Junior Product Manager position with a creative, driven team focused on innovative, challenging projects in the development and design field."
2555,"# RESUME

**PROFESSIONAL EXPERIENCE**

**Support Team Lead** | EdTech Company
- Led customer support team providing services to Western Europe and USA markets
- Managed account relationships and customer support operations

**Customer Support/Account Manager** | EdTech Company
- Managed customer accounts and provided support services to Western Market clients
- 5 years in role with promotion to Support Team Lead

**EdTech Project Manager** | EdTech Company
- Managed projects in lead generation, outbound sales, and customer support
- Served secondary and higher education sector in Western Market
- 1 year in position

**Sales Assistant** | International Chemical Raw Materials Distribution Companies
- Supported sales operations in chemical raw materials distribution industry
- 5 years of experience with international companies

**TECHNICAL SKILLS**

- Enterprise Systems: IBS, SAP, Zoho
- Project Management & Collaboration: Confluence, Jira, Kommo CRM
- Design: Canva
- Programming: General knowledge of Java concepts

**CORE COMPETENCIES**

- Team Leadership
- Account Management
- Customer Support
- Lead Generation
- Outbound Sales
- International Business"
2556,"**Account Manager**
Managed client relationships through email, phone outreach, and product demonstrations. Tested applications and maintained accurate company profiles. Addressed client inquiries and guided product adoption. Developed website content including blogs and tutorials on a regular basis. Examples available upon request.

**Sales Support Agent**
Conducted market research for Ukrainian and Russian markets to support company expansion into Eastern Europe. Communicated with business owners and representatives on B2B sales initiatives. Completed all required reports.

**Customer Support Agent**
Resolved thousands of customer service issues for clients in the USA, Canada, and Great Britain via phone and email. Modified customer profiles and subscriptions as needed. Processed refunds when appropriate. Ensured customer satisfaction with outcomes. Utilized CRM systems. Performed quality assurance by analyzing outsourced calls, correcting system errors, and following up with customers to verify satisfaction. Completed all required reports."
2577,"# PROFESSIONAL EXPERIENCE

**Project Coordinator | Upwork Premium Services**

* Measured service efficiency through contrastive analysis and reporting
* Delivered comprehensive administrative support for the program
* Imported and maintained lead data in Salesforce database
* Monitored and reported on team activity regarding overdue tasks and tickets
* Handled high-value escalations from internal teams
* Identified process inefficiencies and implemented improvements and amendments

**Online Store Project Manager (Remote)**

* Optimized workflow through delivery of high-quality customer service
* Managed high volume of time-sensitive tasks with results-oriented approach
* Managed backend admin panel operations
* Administered hosting infrastructure including dedicated servers and first-line support
* Oversaw dispatch management
* Resolved customer support tickets

**Talent Agent Admin & Talent Specialist**

* Sourced high-caliber talent for Upwork internal teams and clients
* Conducted video interviews with freelancers across Americas, Europe, and Asia
* Created and managed Jira tickets
* Optimized operations to improve program efficiency and quality
* Created, maintained, and improved standard operating procedure documentation

**Magento E-Commerce Project Manager**

* Created and assigned tasks to development team with focus on UI optimization
* Collaborated with SEO and marketing teams
* Conducted performance review meetings
* Established partnerships with manufacturers and suppliers worldwide
* Managed inventory, configured payment and shipping methods in Magento
* Managed orders, dispatch, and refunds
* Resolved customer inquiries and complaints

**E-Commerce Business Operator**

* Managing and administrating two e-commerce businesses simultaneously"
2582,"# RESUME

## EDUCATION

**PhD in Economics (Candidate of Economic Sciences)** — 2018

## PROFESSIONAL EXPERIENCE

**Project Manager** | Ukrainian Social Academy | Jul 2019 – Mar 2020
• Conducted competitor analysis of products and promotion strategies
• Designed and executed depth interviews; analyzed and interpreted results
• Developed client personas, segmentation analysis, and identified customer needs and pain points
• Created educational program concepts including structure, objectives, topic sequencing, and expected outcomes
• Established requirements for subject matter experts and lecturers; negotiated program updates
• Developed and coordinated product promotion plans and messaging
• Created content for social media marketing campaigns
• Prepared provisional product budget
• Identified and analyzed client needs through direct communication
• Tested company website functionality

**Project Manager** | EdEra | Apr 2019 – May 2019

**Account & Project Manager** | Kyiv-Mohyla Business School (KMBS) | May 2016 – Jul 2018
• Managed Executive Development Programs across all phases from planning and promotion through evaluation and improvement
• Oversaw multiple concurrent projects
• Identified client expectations, business needs, and goals; provided strategic advisory
• Managed client relationships and delivered exceptional service and support
• Coordinated with Marketing and Finance departments
• Developed and implemented marketing plans and strategies for Programs
• Represented the school at external events for business development
• Collected and analyzed client feedback for continuous product improvement
• Recommended Program improvements and provided senior management with performance retrospectives
• Trained and onboarded new team members on processes and procedures
• Managed promotional materials, concepts, and marketing communications
• Administered company website
• Managed CRM systems and analytics; contributed to CRM system development
• Operated Learning Management System (LMS)

**Intern** | Presidential Administration of Ukraine (USAID Rada Program & Interns' League) | Nov 2014 – Jul 2015

## ADDITIONAL QUALIFICATIONS

**Language Proficiency**
• IELTS Academic: 7.0 (2011, 2014)

**Online Coursework** | Coursera
• An Introduction to Marketing
• Critical Perspectives on Management
• Critical Thinking in Global Challenges
• A Beginner's Guide to Irrational Behavior
• Games without Chance: Combinatorial Game Theory
• Fundamentals of Global Energy Business"
