,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini
12479,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Detail-oriented professional with extensive experience in business process analysis, requirements elicitation, and technical documentation. Proven ability to manage projects and teams effectively while driving process improvements.

**Core Competencies**  
- Business Process Analysis  
- Requirements Elicitation  
- Technical Documentation (User Stories, Use Cases, SRS)  
- Requirements Management throughout SDLC  
- Team Leadership and Mentoring  
- Project Management and Coordination  
- Process Improvement  

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Conducted comprehensive analysis and description of business processes to identify areas for improvement.  
- Elicited customer needs and requirements to ensure alignment with project goals.  
- Created technical documentation, including User Stories, Use Cases, and Software Requirements Specifications (SRS).  
- Managed requirements throughout the Software Development Life Cycle (SDLC) to ensure successful project delivery.  
- Acted as a team leader by providing guidance and instruction, mentoring team members, and creating effective processes.  
- Coordinated project activities and managed team dynamics to enhance productivity and project outcomes.  

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- [Your Certification]  
- [Your Certification]  

**References**  
Available upon request.  "
12480,"**Customer Success Project Manager & Business Analyst**  
Revenue Grid  
2023 - Present  

**Presale Business Analyst**  
Soft-Industry Alliance  
2022 - 2023  
- Conducted elicitation and completed project documentation.  
- Collaborated with a solutions architect to write proposals, solutions overviews, and value propositions.  
- Built, tested, and structured processes and tools for the Partner Success Management team using BPMN; interviewed for the position.  
- Conducted an audit of the company’s business processes.  
- Worked on the establishment of OKR/KPI base, smart setting, and real-time management across the organization using Excel with team screens and dashboards.  

**Revenue Operations Analyst (PMBA)**  
OpenText Corporation, Waterloo, Canada  
2021 - 2022  
- Managed the development of CRM and ERP features and supported changes with data.  
- Formed scope and gathered both functional requirements and non-functional requirements.  
- Wrote user stories and utilized Agile methodologies, including Scrum, Waterfall, and Kanban.  
- Managed Salesforce releases on a CI/CD basis.  
- Partnered with internal customers to troubleshoot and resolve user issues in Salesforce and SAP.  
- Conducted regression testing in ALM and built test cases.  
- Developed and maintained customer reports and dashboards for the executive leadership team.  

**Billing Coordinator (Operations Management)**  
OpenText Corporation, Waterloo, Canada  
2018 - 2021  
- Supported the sales team by reviewing legal, financial, product, and pricing-related aspects of each deal submitted via Salesforce.  
- Ensured flawless fulfillment of each deal in SAP ERP by working closely with Fulfillment, Customer Support, and Renewals Representatives.  
- Set up, maintained, and audited Changepoint engagements and projects.  
- Provided direct support to the sales organization with required data, including reports and data sets.  
- Contributed to continuous improvement initiatives as part of the Streamline Process Committee.  
- Supported the finance organization with SAP ERP challenges as part of the SAP Tier 1 group.  
- Assisted with finance reconciliation projects (audit activity).  
- Participated in pricing calls.  
- Conducted testing activities in ALM (Application Lifecycle Management).  
- Documented corporate processes specific to each line of business (SOPs).  
- Provided onboarding support through a buddy program and global training programs for junior team members.  

**Customer Records & Entitlements Associate**  
Nuance Communications Inc. (Imaging), Waterloo, Canada  
2017  

**Order Fulfillment Clerk**  
Canadian General Tower, Cambridge, Canada  
2016  "
12481,"**Jane Gurovich**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Detail-oriented professional with experience in collecting and analyzing customer requirements, formalizing them for development teams, and negotiating product delivery terms. Proven ability to conduct functional testing, create and implement product support procedures, and provide first and second level product support. Skilled in conducting presentations and product awareness sessions.

---

**Experience**  

**Product Support Specialist**  
[Your Company Name] - [City, State]  
[Month, Year] – Present  
- Collect and analyze customer requirements to formalize them for development teams.  
- Negotiate product delivery terms and conditions with stakeholders.  
- Conduct functional testing to ensure product quality and performance.  
- Create and implement product support procedures to enhance customer satisfaction.  
- Conduct presentations and product awareness sessions to educate users.  
- Provide first and second level product support to resolve customer issues.

**Team Coordinator**  
[Your Previous Company Name] - [City, State]  
[Month, Year] – [Month, Year]  
- Coordinated small to medium-sized Development and Quality Assurance teams.  
- Facilitated communication between team members and stakeholders to ensure project alignment.  
- Assisted in the implementation of Agile methodologies, specifically Scrum.

---

**Skills**  
- Agile Methodologies (Scrum)  
- JIRA, Confluence  
- SQL, HTML, CSS, XML  
- UNIX-like operating systems  
- Functional Testing  
- Product Support Procedures  
- Presentation Skills  

---

**Professional Goals**  
- Seeking opportunities for professional growth and development.  
- Looking for a supportive management environment.  
- Aiming for a competitive salary that reflects my skills and contributions.  

---  

**References available upon request.**"
12482,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Dedicated QC Engineer with 6 years of experience in quality control, business analysis, and team management. Proven ability to manage multiple customizations within a large application, ensuring high-quality deliverables and effective communication with stakeholders. Seeking a remote position with a flexible schedule to further develop skills in business analysis or project management.

**Experience**  

**QC Engineer**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  

- Conduct thorough analysis of functional requirements, clarifying details through Skype, phone meetings, and emails.
- Prepare proposals for customers based on their expectations and project requirements.
- Define potential product and project risks to ensure successful project execution.
- Develop user guides to assist end-users in navigating the system.
- Oversee QA team of 3-4 members, executing functions of QA Leader for the last 1.5 years.
- Lead a team engaged in customizations of an employee management and timekeeping system, which includes modules for scheduling, timekeeping, vacation management, salary processing, personal data management, and analytics.
- Analyze user requests for customizations and coordinate the development of solutions.
- Successfully completed approximately 40-45 customizations, with an average duration of 2 weeks to 4 months per customization.

**Skills**  
- Quality Control  
- Business Analysis  
- Team Management  
- Risk Assessment  
- User Documentation  
- Communication  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Availability**  
Seeking remote work for 4-5 hours per day with a flexible schedule."
12483,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
IT specialist with over 10 years of experience in the IT industry, specializing in software maintenance and support, software analysis, and project management. Proven ability to understand business value, coordinate projects, manage system migrations and integrations, and handle incident and problem management. Strong skills in SQL, SDLC, and various project management methodologies including Agile, Scrum, and Waterfall.

---

**EXPERIENCE**  

**Business Analyst**  
Epicentr M  
Oct 2020 - Present  

**Business Analyst**  
Scallium  
Dec 2019 - Oct 2020  

**Business Analyst**  
NullGravity  
Sep 2018 - Dec 2019  

**Business Analyst**  
Coreteca  
Aug 2017 - Sep 2018  

**Senior Software Analyst (PM)**  
OJS Company ""Universal Bank""  
Jun 2013 - Aug 2017  

**Senior Engineer**  
Intesa Sanpaolo Group Ukraine (Pravex Bank)  
Jul 2011 - May 2013  

**System Administrator**  
BMS SERVICE  
Feb 2011 - Jul 2011  

**Lead Software Engineer**  
Prominvestbank / Проминвестбанк  
Sep 2007 - Dec 2010  

**Engineer - Programmer**  
Nikolaev Petroleum  
May 2007 - Aug 2007  

**Engineer**  
Information Technology. Services & Solutions  
Nov 2006 - May 2007  

---

**SKILLS**  
- SQL  
- Client and team communication  
- Analytic thinking  
- Understanding of SDLC  
- Data Analysis  
- Atlassian Jira  
- Confluence  
- Visio  
- Balsamiq  
- Firebase  
- MS Office  
- MS SQL Server  
- Sybase SQL Anywhere  
- XML  
- JSON  

---

**RESPONSIBILITIES AS A BUSINESS ANALYST**  
- Communicate with stakeholders to understand, collect, and analyze requirements.  
- Analyze concurrent processes for product improvement.  
- Create various diagrams (BPMN, UML) for schematic representation of business processes and future functionality.  
- Translate business requirements into technical specifications.  
- Write software specifications, instructions, user stories, use cases, API specifications, product metrics specifications, A/B testing specifications, and how-to guidelines.  
- Implement specification templates.  
- Participate in daily scrum meetings, sprint meetings, and retrospective meetings.  
- Mediate between business and technical teams.  

---

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

--- 

**CERTIFICATIONS**  
[List any relevant certifications]  

--- 

**LANGUAGES**  
[List any languages you speak]  

--- 

**REFERENCES**  
Available upon request.  "
12484,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Summary**  
Detail-oriented project coordinator with experience in gathering requirements, analyzing business processes, and providing actionable recommendations for improvement. Proven ability to collaborate with IT specialists to develop and implement internal tools that enhance operational efficiency.

**Experience**  

**Project Coordinator**  
Synergy International Systems  
[Start Date] – [End Date]  
- Gathered requirements for project initiation in public health and monitoring & evaluation (M&E) sectors.  
- Analyzed business processes and provided recommendations for improvement.  
- Collaborated with IT specialists to create two internal portals using MS SharePoint, currently in widespread use.  
- Prepared project plans, risk management plans, communication plans, and budgets for various projects.  
- Served as the focal point for project status reporting.

**Project Coordinator**  
IDeA Foundation  
[Start Date] – [End Date]  
- Gathered requirements for project initiation in public health and M&E sectors.  
- Analyzed business processes and provided recommendations for improvement.  
- Collaborated with IT specialists to create two internal portals using MS SharePoint, currently in widespread use.  
- Prepared project plans, risk management plans, communication plans, and budgets for various projects.  
- Served as the focal point for project status reporting.

**Skills**  
- Requirements Gathering  
- Business Process Analysis  
- Project Planning (MS Project)  
- Risk Management  
- Communication Planning  
- Budget Management  
- MS SharePoint  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[Your Certification]  
[Year]  "
12485,"SKILLS  
- Over 12 years of experience in project management and business analysis  
- Proficient in setting tasks according to SMART criteria  
- Development of technical project descriptions and concepts  
- Determining business requirements and developing optimal solutions  
- More than 7 years of experience as a business analyst  
- Implementation of automated control systems  
- Creation of test plans, test cases, and execution of tests; compilation of bug reports  
- Understanding of project documentation development processes (Use Cases, Business Rules, Functional & Non-Functional Specifications)  
- Analysis and optimization of business processes  
- Experience in managing requirements changes  
- Strong communication and negotiation skills  

TECHNICAL SKILLS  
- Jira  
- SQL (basic)  
- HTML/CSS (basic)  
- 1C  
- Microsoft Office (Word, Excel, Outlook, PowerPoint)  

OBJECTIVE  
Seeking an opportunity to leverage my extensive experience in IT for the position of Project Manager or Business Analyst.  "
12486,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic professional with over 9 years of experience in implementing IT and transformation projects across various domains, including retail, mining engineering, energy, and government property auctions. Proven expertise in process modeling and analysis, conducting interviews and workshops, and documenting requirements through use cases and user stories. Strong ability to engage with stakeholders, leveraging leadership and influencing skills to drive project success.

---

**Skills**  
- IT and Transformation Project Implementation  
- Process Modeling and Analysis  
- Requirements Documentation (Use Cases, User Stories)  
- Stakeholder Engagement  
- Leadership and Influencing Skills  
- Workshop Facilitation  

---

**Professional Experience**  

**[Your Most Recent Job Title]**  
[Your Most Recent Employer] - [City, State]  
[Month, Year] – Present  
- Led IT and transformation projects in retail, mining engineering, and energy sectors, ensuring alignment with organizational goals.  
- Conducted process modeling and analysis to identify areas for improvement and efficiency gains.  
- Facilitated workshops and interviews to gather requirements, documenting findings through use cases and user stories.  
- Engaged with stakeholders to communicate project progress and gather feedback, fostering collaboration and support.  

**[Previous Job Title]**  
[Previous Employer] - [City, State]  
[Month, Year] – [Month, Year]  
- Implemented government reforms related to auctions for the sale of state property, contributing to transparency and efficiency.  
- Analyzed business processes and provided recommendations for improvement, enhancing operational effectiveness.  
- Collaborated with cross-functional teams to ensure successful project delivery and stakeholder satisfaction.  

---

**Education**  
[Your Degree]  
[Your University] - [City, State]  
[Year of Graduation]  

---

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

---

**Professional Affiliations**  
- [Professional Organization]  
- [Professional Organization]  

---

**References**  
Available upon request."
12487,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven Business Analyst and Project Manager with extensive experience in product development and project management within the technology sector. Proven track record in managing the development of an online platform for analyzing satellite imagery, with a focus on the international market. Strong background in spacecraft design, with 8 years of experience as an engineer and team lead, contributing to the development and promotion of innovative projects.

**Professional Experience**  

**Business Analyst / Project Manager**  
[Company Name] – [Location]  
[Month, Year] – Present  
- Managed the development of an online platform for analyzing satellite imagery targeted at the international market.  
- Conducted requirements elicitation, analysis, and detailed requirements design.  
- Created use cases, user stories, and acceptance criteria to guide development.  
- Oversaw requirements management, SRS documentation, backlog tracking, and story task description definition.  
- Analyzed product strengths and weaknesses to inform strategic decisions.  
- Conducted market research and competitor analysis to enhance product positioning.  
- Supported product documentation to ensure clarity and compliance.

**Engineer / Head of Group**  
[Company Name] – [Location]  
[Month, Year] – [Month, Year]  
- Led a team in the design and development of spacecraft, contributing to various promising projects.  
- Collaborated with cross-functional teams to ensure project alignment with organizational goals.  
- Provided technical expertise and guidance throughout the project lifecycle.

**Education**  
[Your Degree]  
[Your University] – [Location]  
[Year of Graduation]  

**Skills**  
- Requirements Elicitation and Analysis  
- Use Case and User Story Development  
- Acceptance Criteria Definition  
- Requirements Management and SRS Documentation  
- Product Analysis and Market Research  
- Competitor Analysis  
- Product Documentation Support  

**Professional Goals**  
Seeking a Business Analyst position that offers opportunities for professional and personal growth within a progressive and collaborative team environment."
12488,"Senior Business Analyst  
Texas, USA  

Professional Summary  
Senior Business Analyst with over 7 years of experience in B2C software development, specializing in websites and iOS/Android applications, and more than 10 years in the IT industry. Proven track record of successfully launching a web application for IT career planning from the ground up, validating numerous ideas through interviews, and saving millions of dollars for a FinTech startup. Experienced in optimizing internal processes for a B2C company and creating new revenue streams. Proficient in requirements gathering methodologies.  

Professional Experience  
- Launched a web application for IT career planning, overseeing the project from inception to completion.  
- Conducted interviews to validate ideas and gather requirements, leading to significant cost savings for a FinTech startup.  
- Optimized internal processes for a B2C company, resulting in increased efficiency and the creation of a new revenue stream.  

Skills  
- B2C Software Development  
- Website and Mobile Application Development (iOS/Android)  
- Requirements Gathering Methodologies  
- Process Optimization  
- Project Management  

Seeking a remote position with clients in the USA or Canada, with the ability to travel as needed."
12489,"Senior Business Consultant  
EY, Ukraine  

Dedicated and disciplined professional with 4 years of experience in business process optimization, financial, and operational analysis.  

Key Areas of Expertise:  
- Business Process Modeling in EPC and BPMN notations (MS Visio, ARIS)  
- IT Strategy Development  
- Data Analysis and Modeling (Advanced MS Excel, MS PowerQuery, MS Power BI)  
- Development of Management Reporting  
- Review and Design of Organizational Structure and KPI Framework  
- Drafting Methodologies and Operational Regulations  
- Presentation Design (MS PowerPoint)  
- Project Management  
- Team Leadership  "
12490,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**Professional Summary**  
Results-driven professional with extensive experience in establishing and implementing internal standards and processes within international companies. Proven expertise in quality control, business process automation, and project management.

**Experience**  

**Project Lead**  
Craft Brewery, Prague  
[Month, Year] – Present  
- Led the introduction of internal standards for a global company, ensuring compliance with company policies and global regulations.  
- Implemented and established processes in a new international company, enhancing operational efficiency.  
- Developed and documented business processes post-merger, including as-is and to-be process descriptions.  
- Automated reporting processes to improve accuracy and efficiency in quality control.  
- Collaborated with various departments to translate business requirements into actionable solutions.  
- Conducted analysis to define business needs and identify opportunities for improvement.  
- Utilized UML and BPMN for basic business process modeling.

**Education**  
Courses in Business Analysis, Hillel  
Courses in Project Management  
Courses in Public Speaking  

**Skills**  
- Internal Quality Control  
- Process Automation and Standardization  
- Business Process Modeling (UML & BPMN)  
- Software Development Lifecycle Understanding  
- Business Requirements Analysis  
- Project Management  

**Interests**  
- Engaging in interesting projects  
- Long-term employment opportunities  
- Professional development and continuous learning  
- Contributing to a positive workplace culture  
- Flexible working arrangements and business travel  "
12491,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven business analyst and project manager with over 7 years of experience in fintech, data manipulation, processing, reporting, QA, CRM/ERP, and software development. Proven track record of successful project implementation and team leadership, with a solid understanding of various methodologies and frameworks.

**Professional Experience**  

**[Your Job Title]**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Led CRM/ERP project implementation, enhancing operational efficiency and user satisfaction.  
- Developed and implemented a sales application to streamline sales processes and improve performance metrics.  

**[Your Previous Job Title]**  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Achieved 5 awards for outstanding performance, including successful Agile implementation for 3 teams in a Fortune 500 company.  
- Conducted technology evaluation, assessment, and roadmap development to align with business objectives.  

**Skills**  
- Agile methodologies (SCRUM certified)  
- Software Development Life Cycle (SDLC) processes  
- Project management tools: Jira, Visio, Confluence, Aha, Hygger  
- Data manipulation, processing, and reporting  
- Quality Assurance (QA) principles  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Languages**  
- English (fluent)  
- Spanish (fluent)  

**Additional Information**  
- Recognized for maintaining a good reputation in challenging environments.  
- Committed to career progress and development.  "
12492,"DATES: July 2020 – Present  
POSITION: Business Analyst/Project Manager  
COMPANY: WePlay Esports  
KIND OF ACTIVITY: Development  

DATES: July 2020 – January 2021  
POSITION: Associate Product Manager  
COMPANY: WePlay Esports  
KIND OF ACTIVITY: Development  

DATES: April 2020 – June 2020  
POSITION: Business Analyst Team Lead  
COMPANY: E-consulting  
KIND OF ACTIVITY: Development of CRM systems  

DATES: July 2019 – June 2020  
POSITION: Business Analyst  
DUTIES:  
- Documentation (terms of reference, manual, test cases)  
- BPMN  
- UML  
- User story  
- ERD  
- Testing of the developed functional  
- Consultation of programmers during product development  
COMPANY: E-consulting  
KIND OF ACTIVITY: Development of CRM systems  

DATES: September 2017 - June 2019  
POSITION: Advertising Manager  
DUTIES:  
- Setup and launch advertising campaigns  
- Control advertising campaigns  
- Forecasting volumes for future campaigns  
- Analysis of advertising campaigns  
- Preparation and submission of reports  
COMPANY: Megogo  
KIND OF ACTIVITY: OTT/VOD video service  

DATES: December 2016 - August 2017  
POSITION: Office Manager  
COMPANY: Megogo  
KIND OF ACTIVITY: OTT/VOD video service  

DATES: February 2016 - December 2016  
POSITION: SMM Manager  
COMPANY: Social Media Marketing  
KIND OF ACTIVITY: Digital agency  

DATES: 2011-2016  
POSITION: Tutor of Mathematics and Physics  "
12493,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven professional with expertise in business model development, business process analytics, and SRS documentation. Proven track record in business development and marketing, complemented by strong people management and educational skills. Adept at content management and experienced in various methodologies including Agile, Scrum, and Kanban.

**Core Competencies**  
- Business Model Development  
- Business Process Analytics  
- SRS Documentation  
- Business Development & Marketing  
- People Management & Education  
- Content Management  
- SDLC Methodologies (Agile/Scrum/Kanban)  
- Business Process Modelling (BPMN, UML)  
- Experience with Jira and Confluence  
- Drafting Functional, Business, and System Requirement Specifications  
- Problem-Solving  
- Analytical Thinking  
- Strong Communication Skills  

**Professional Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  
- Developed and implemented business models to enhance operational efficiency.  
- Conducted business process analytics to identify areas for improvement.  
- Created and maintained SRS documentation to support project requirements.  
- Led business development and marketing initiatives to drive growth.  
- Managed teams and provided educational support to enhance skills and performance.  
- Oversaw content management processes to ensure quality and consistency.  

[Your Previous Job Title]  
[Your Previous Company Name]  
[City, State]  
[Month, Year] – [Month, Year]  
- Collaborated on business model development and process optimization projects.  
- Engaged in drafting functional, business, and system requirement specifications.  
- Utilized Jira and Confluence for project management and documentation.  
- Applied problem-solving and analytical thinking to address project challenges.  
- Fostered strong communication within teams to facilitate project success.  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request.  "
12494,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated IT professional with nearly three years of experience in the industry. Proficient in written and spoken English, with strong communication and analytical skills. Experienced in technical support, engaging with diverse clients globally. Currently involved in establishing a new department, contributing to the development of processes from the ground up, including document creation and interdepartmental communication. Skilled in analyzing existing processes to identify areas for improvement.

**Education**  
Bachelor's Degree in [Your Major]  
[Your University], [City, State]  
[Month, Year]  

**Relevant Coursework**  
- Software Development Life Cycle (SDLC)  
- Requirements Management  
- User Stories and Use Cases Creation  
- Roadmaps  
- Vision and Scope Documents  
- Risk Management  

**Technical Skills**  
- Basic understanding of BPMN  
- Basic understanding of UML diagrams  

**Professional Experience**  

**[Your Current Job Title]**  
[Your Current Company], [City, State]  
[Month, Year] – Present  
- Participated in the creation of a new department within the company.  
- Assisted in establishing various processes from scratch, including document creation and communication with other departments.  
- Analyzed current processes to identify opportunities for improvement.  

**[Previous Job Title]**  
[Previous Company], [City, State]  
[Month, Year] – [Month, Year]  
- Provided technical support to clients from various regions, enhancing customer satisfaction through effective communication.  

**Additional Information**  
- Committed to fostering a friendly and positive work environment.  
- Open to regular feedback based on achievements.  "
12495,"Domains: Pharmacy and Healthcare, E-commerce, Marketing Automation, FMCG, Photography and Video Production, Social Networking, Sports Management

**Business Analyst / Project Manager**

**Electronic Prescriptions Issuing and Receiving Mobile Application & Medical Information System (MIS) Web Service**  
Responsibilities:  
- Elicit business requirements through interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysis.  
- Conduct initial brainstorming and elicitation sessions with clients, integrators, government, doctors, and patients.  
- Perform market, competitor, and target audience research; define competitive advantages; develop design system concepts, user portraits, user flow diagrams, and customer expectations for cost, volume, and time.  
- Analyze technical documentation of the eHealth IT system and implement requirements for designers and developers; prototype mobile/web versions of the product.  
- Draft contracts and issue invoices.  
- Prepare work breakdown structure for future estimation, assess risks, and develop work schedules.  

**B2B Marketing Automation Website (beeway.com.ua) & Photo Shooting and Video Production Website (recartframe.com)**  
Responsibilities:  
- Gather and analyze requirements; communicate with customers; conduct market, competitor, and target audience research and analysis; define competitive advantages; build user portraits; develop system and brand concepts.  
- Write specifications for a WordPress site; prototype mobile/web versions of the product.  
- Draft contracts, issue invoices, and develop project plans, timelines, and risk management strategies.  

**Junior Business Analyst / Sales Manager**  

**Medical Messenger Mobile/Web Application**  
Responsibilities:  
- Conduct market and competitor research; analyze target audiences; define hypotheses; test and brainstorm; write recommendations for promotional materials and websites.  
- Form a database of doctors and patients; negotiate with potential customers regarding the product and new modules; develop concepts for new service demand creation.  
- Write scripts, build road maps, create promotional videos, and lead webinars and offline presentations based on outpatient and clinical departments; present at the All-Ukrainian specialized medical exhibition ""MedExpo 2020.""  
- Assist with tasks and problems faced by other departments, including design, development, quality control, marketing, and support.  "
12496,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Business analyst with a project management and technical writing background. Experienced in both product and outsource companies, with strong attention to detail and dedication to project success. Proficient in various domains including financial, healthcare, travel, services, and video streaming.

**Core Competencies**  
- Requirements Gathering and Documentation  
- Technical Writing  
- Project Management  
- Stakeholder Communication  
- Training and Presentations  
- Product Demonstrations  

**Professional Experience**  

**[Your Job Title]**  
**[Your Company Name]**  
**[City, State]**  
**[Month, Year] – Present**  
- Performed pre-sale and research activities, gathering and documenting requirements in Software Requirements Specifications (SRS).  
- Created comprehensive documentation for end-users, customers, and developers from scratch on various projects, including requirements specifications, acceptance test plans, product descriptions, and vision and scope documents.  
- Conducted trainings, presentations, and product demonstrations to facilitate understanding and engagement among stakeholders.  
- Handled various projects from inception, including pre-sale activities, requirements elicitation, planning, prioritization, and supervision.  

**[Previous Job Title]**  
**[Previous Company Name]**  
**[City, State]**  
**[Month, Year] – [Month, Year]**  
- Developed and maintained various types of documentation to bridge communication gaps between stakeholders.  
- Collaborated with cross-functional teams to ensure project alignment and successful delivery.  
- Engaged in continuous improvement initiatives to enhance project processes and outcomes.  

**Education**  
**[Your Degree]**  
**[Your University]**  
**[City, State]**  
**[Year of Graduation]**  

**Certifications**  
- [Relevant Certification]  
- [Relevant Certification]  

**Technical Skills**  
- [Relevant Software/Tools]  
- [Relevant Software/Tools]  
- [Relevant Software/Tools]  

**Languages**  
- [Language] (Proficiency Level)  
- [Language] (Proficiency Level)  "
12497,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Courses**  
- Software Processes and Agile Practices (Coursera)  
- Advanced English Course (Green Forest)  
- Agile Planning for Software Products (Coursera)  
- Client Needs and Software Requirements (Coursera)  
- Design Thinking for Innovation (Coursera)  
- Google Analytics for Beginners (Google Analytics Academy)  
- How to Start a Startup (Stanford University course, Prometheus)  
- Introduction to Software Product Management (Coursera)  

---

**Professional Experience**  

**Project Manager**  
[US Product Company for Lead Generation]  
[Month, Year] – Present  
- Created and maintained project roadmaps.  
- Managed backlog and prioritized tasks.  
- Reported and communicated with stakeholders regarding team projects.  
- Conducted macro- and micro-planning for Business Analysis, Development, and QA phases.  
- Facilitated daily stand-ups, grooming sessions, demo sessions, and retrospectives.  
- Developed and implemented development processes.  
- Provided support to developers, Business Analysts, and Quality Assurance teams.  
- Managed estimations and release processes.  
- Oversaw risk management and change requests.  
- Participated in the performance review process and onboarding of newcomers.  
- Reviewed Business Analyst documentation and conducted BA interviews.  
- Engaged in Business Analyst activities, including requirements elicitation and analysis, documentation creation, and gap analysis.  

**Business Analyst**  
[Online Travel Agency]  
[Month, Year] – [Month, Year]  
- Analyzed and verified business cases and needs.  
- Elicited business requirements from both business and technical perspectives.  
- Conducted market competitor analysis.  
- Transformed business requirements into actionable tasks for the team.  
- Created user stories and prepared use cases.  
- Designed and suggested new solutions, logic, and flows based on business needs and market trends.  
- Developed wireframes and presented them to customers and the team.  
- Organized requirements, performed requirements tracing, impact analysis, and gap analysis.  
- Managed backlog and described the “AS IS” logic and functionality.  
- Conducted planning, grooming, estimation sessions, and demos.  
- Supported UX, technical teams, User Acceptance Testing, and Quality Assurance.  

**Data Analyst**  
[Media Agency]  
[Month, Year] – [Month, Year]  
- Administered databases and created custom SQL queries and functions.  
- Prepared reports and dashboards for data analysis.  
- Analyzed data and worked with specific media software.  

---

**Objective**  
Seeking an interesting project in a product company to apply my skills in developing innovative and useful software."
