Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
242,"Розібралася з Figma та AfterEffects, знаю принципи співвідношення кольорів та їх використання. Пройшла кілька UI/UX марафонів від великих компаній, де була відзначена як одна з найсильніших учнів. Знаю базові навички Adobe Photoshop і Adobe Illustrator. Хочу прокачувати навички і розвиватися."
243,"Люблю чіткість та пунктуальність в роботі. Паралельно вивчаю англійську мову. Цікавить повна та неповна зайнятість, а також дистанційна робота.

Працюю в Figma та Adobe Photoshop, готова вивчати нові програми для роботи. Швидко вчуся та налагоджую соціальні контакти. Маю сильну мотивацію і бажання бути частиною хорошої команди та розвивати свої професійні здібності. 

Мене звати Анастасія. Я новачок в сфері дизайну з великим бажанням розвиватися та працювати над новими проектами. Подобається створювати цікаві дизайни, які будуть приємними користувачу."
244,"Вітаю! Мене звати Вікторія Пилип'юк - я UI/UX дизайнер.  
Зробила 5 проєктів на курсі з UI/UX дизайну, з яких 2 проєкти були реальні та успішні.  
Вільно користуюся Figma та Adobe PS/Il. Також, з-за потреби, із легкістю опаную інші програми або суміжні напрями до веб-дизайну.  
Отримую задоволення від створення логіки UX та зовнішнього аспекту UI, тоді створюється повна картина, вимальовуються всі деталі, які в подальшому оживуть в повноцінний діючий організм.  
Знаю та дотримуюсь законів композиції, типографіки та поєднання кольорів.  
• Слідкую за трендами веб-дизайну.  
• Маю базові знання та розуміння програмування.  
• Для мене цінно створювати разом з вами справді крутий ""продукт"", який буде зручний у використанні.  
• Рівень англійської — B2.  
• Я відповідальна, уважна до деталей, відкрита, люблю гумор. Тому, давайте ближче знайомитись та співпрацювати.  

Вивчала також створення і підготовку до друку логотипів та візиток.  
Люблю слідкувати за сучасними тенденціями у веб-дизайні."
245,"Вітаю!  
Мене звати Оксана.  
Я маю досвід роботи графічним дизайнером більше 15 років. Працювала в провідних видавництвах України та рекламних агенціях. Знаюсь на створенні обкладинок, комп’ютерному макетуванні та верстці видань. Маю досвід у створенні фірмового стилю, рекламних банерів, gif-банерів, карток товару, дизайні логотипу (анімація logo), дизайні сторінок соціальних мереж, POS матеріалів тощо.  

Я UI/UX дизайнер останні 2 роки. Намагаюсь створювати чисті та елегантні дизайни. Створюю лендинги, сайти компаній, сайти-візитки, інтернет-банери, адаптивний дизайн, дизайн мобільного додатку. Підготовка графічних матеріалів для сайтів (обробка фото та графіки).  

Навички:  
- Wireframe (Mockups, wireframe.cc).  
- Mindmap.  
- Figma (адаптивний дизайн, UI kit, autolayout, варіанти, компоненти, дизайн-система, анімація сайта).  
- Розуміння UI, принципів UX.  
- Adobe (Photoshop, Illustrator, InDesign, After Effects, Lightroom).  
- Відповідність останнім тенденціям веб-дизайну.  
- Увага до деталей.  
- Розуміння принципів HTML, CSS.  
- Типографіка.  
- Колористика.  

Я відповідально ставлюсь до роботи, враховую всі побажання, дотримуюсь всіх термінів, швидко засвоюю нову інформацію."
246,"Вітаю, мене звати Юра. Я створюю креативні та ефективні дизайни веб-сайтів, мобільних додатків та інтерфейсів у Figma. Розробляю веб-сайти на WordPress, e-Commerce, Elementor, плагіни. Розробляю логотипи, презентації, інфографіку. У веб-дизайні працюю з 2016 року. Хочу розробляти дизайни веб-сайтів, додатків і інтерфейсів для будь-яких завдань. Готовий до виконання тестового завдання, співпраці в будь-який час, дистанційної роботи та переїзду, коли це буде можливим."
247,"Закінчив ""Безкоштовний курс UI/UX Design (by Taras Shypka)""

Навички:
- Розробка користувацького інтерфейсу
- Design Thinking
- Atomic Design
- Проектування користувацького інтерфейсу (UED)
- Веб-дизайн
- Figma

Вітаю!

Нещодавно я закінчив курси і зараз знаходжусь в активному пошуку роботи.

Маю невеликий досвід на фрілансі, багато ентузіазму та креативу! Готовий виконати тестове завдання та пройти співбесіду.

Дякую!"
248,"Закінчила художню школу та художній ліцей, маю глибокі знання у сфері малювання. Працювала на фрілансі та співпрацюю з досвідченим дизайнером, виконуючи поручення та невеликі дизайн-проєкти. Мала досвід волонтерської роботи в українських проєктах, створювала креативи для соціальних мереж, розробила бренд бук для британської компанії."
249,"Вітаю! Я виконую проєкти різної складності та у короткі терміни. Розробляю Landing page, сайти для інтернет-магазинів, персональні сайти тощо. Відмінно працюю з гайдлайнами, як для Apple, так і для Android. Маю багато креативних, а головне зручних ідей, які хочу втілити. Також розробляю дизайни банерів, emails. Впевнено володію Figma, проте знаю, що завжди є куди рости і можна вчитися з найкращими!

Живу у Великій Британії, володію англійською мовою на рівні B2 (Upper Intermediate). Окрім професійного досвіду, маю знання з колористики та типографіки."
250,"Розуміння основ UI/UX, створення UI Kit, знання принципів композиції, кольору та типографіки. Розуміння принципів юзабіліті та модульної сітки. Розробка концепцій та інтерактивних прототипів дизайну. Проведення UX-досліджень за допомогою різних методик User Experience Research. Вітаю. Я маю велике бажання розвиватися як професіонал веб-дизайну та приносити цінність команді та компанії. Готовий працювати на досягнення результатів і поставлених цілей та задач."
251,"Мій проект зі створення Адміністративної панелі для криптовалютної біржі визнаний одним з найкращих серед робіт студентів і опублікований на сайті навчального центру DAN.IT.

Вітаю! Я нещодавно закінчила навчання з напрямку UI/UX дизайн. Тепер настав час проявити себе в цій галузі і використати набуті знання. Саме тому зараз я у пошуку своєї першої роботи.

За сім місяців навчання я працювала над різноманітними проектами: 
- багатосторінковий сайт (благодійний проект, та салон весільної моди), 
- мобільний додаток (доставка їжі та бронювання столиків), 
- CRM система (криптовалютна біржа), 
- лендінги (музей, чай, йога).

Навчалася проводити аналіз конкурентів, розуміти потреби користувачів, розробляти CJM, User Flow, Site Map. Вивчала, як створити інтуїтивно зрозумілий та цікавий продукт, що буде відповідати потребам користувачів та бізнесу.

Моє портфоліо наразі не дуже велике, але кожного дня я працюю над тим, щоб розширити його та показати, на що я здатна.

Якщо ви маєте пропозиції до співпраці, що можуть відповідати моїм навичкам та вмінням, будь ласка, зв'яжіться зі мною. На даному етапі мене захоплює все: від ідеї та розуміння чого від мене хочуть, до створення дизайну веб-продуктів та анімацій."
252,"Досвід роботи у продуктових компаніях: 1+1 media (web дизайнер), AUTO.RIA (проджект менеджер та scrum-майстер). Досвід роботи дизайнером на фрілансі та в діджитал студіях. Знання та досвід роботи у різних сферах допоможуть приймати ефективні рішення для вашого бізнесу та вдало комунікувати з командами."
253,"Володію інструментом Figma.  
Вивчаю інструменти: Adobe Illustrator, Adobe Photoshop, Adobe Lightroom.  

Вмію створювати: eCommerce website, Business website, Blog website, Portfolio website, Informational website, Landing page.  

Непогано працюю з текстом, можу заповнювати креативи влучним словом."
254,"Курси Ukrainian IT School Web Design  
December 2022 - May 2023  
Впевнений користувач Figma, Photoshop, Illustrator, Lightroom, Axure, Corel Draw  
Розуміння останніх тенденцій та їх ролі в комерційному середовищі  
Розуміння знань про візуальну комунікацію: макет, колір, типографіка, піктограми, зображення, теорія дизайну, юзабіліті  
Створення прототипів, варфреймів та візуального дизайну сторінок сайту  
Розробка адаптивного дизайну для мобільних додатків та інших пристроїв  
Розробка логотипів та гайдлайнів  
Створення прототипів і user-flow, клікабельні прототипи у Figma  
Створення візиток, банерів і флаєрів  
Розуміння методів дослідження UX  "
255,"Випускник центру підготовки IT спеціалістів ""SkillUp"" за напрямом Ui/Ux design. Виконав програму вивчення англійської мови рівень B1 в ""Green forest"". В пошуку першої роботи в дизайні після завершення навчання по Ui/Ux дизайну. Раніше співорганізатор гірських походів. Розробляв дизайн футболок на гірську тематику та рекламні банери походів. Очікую працювати в компанії, де зможу покращувати свої знання та вміння в дизайні."
256,"Всім привіт! Маю досвід роботи UI/UX дизайнером на фрілансі більше 6 місяців та за цей час встигла попрацювати над такими проектами:
- створення дизайну сайту e-commerce з продажу меблів;
- лендінг для сервісу вигулу собак;
- дизайн сайту для школи вивчення англійської мови;
- створення креативів для соціальних мереж.

Під час мого навчання в Beetroot Academy я працювала над різними проектами, один із них - це додаток онлайн-банкінгу. Моєю задачею було створити зручний, зрозумілий та багатофункціональний мобільний додаток, який зробить фінансові відносини між людьми та організаціями простими та безпечними.

Етапи:
- mind mapping
- competitor analysis
- user persona
- wireframing
- interactive design
- mobile version

Інструменти:
- Figma
- Miro
- FigJam
- Adobe Photoshop
- Adobe After Effects

Готова працювати над будь-якими проектами, тому що на даному етапі для мене головне отримання професійного досвіду та реалізація мого потенціалу."
257,"Всім привіт!  
Шукаю команду, з якою зможу розвивати свої професійні навички та яку буду підсилювати. Маю невеликий досвід, але готова вчитися, прогресувати та вкладатися на максимум!  
Зараз працюю на part-time з двома стартапами, але хочу знайти постійну команду і компанію. Бажано робота в офісі, але також розглядаю віддалений формат.  
Портфоліо маленьке, але готова показати проекти, над якими зараз працюю. Також готова виконати тестове завдання.  
З радістю надам більш детальну інформацію та поспілкуюсь з вами особисто."
258,"Досвід роботи: 2,5 роки. 

1 рік - фріланс. 
8 місяців - IT компанія, посада: веб-дизайнер. 
9 місяців - компанія з розробки дизайну продуктів, посади: UX/UI, графічний та motion дизайнер. 

Обов'язки: дизайн багатосторінкових сайтів, лендингів, мобільних додатків з нуля, прототипування, аналіз цільової аудиторії, анімації в Adobe After Effects, розробка логотипів та повноцінного брендбуку компаній. 

Послуги з дизайну для російського ринку."
259,"В якості дизайнера-початківця я створювала дизайн від обкладинок відео для YouTube, лендінгів (посадкових сторінок) до об'ємних навчальних проєктів, таких як CRM система для медичної клініки, дизайн мобільного застосунку для паркування у місті, а також застосунку для пошуку рецептів і інструкцій з приготування."
0,"Управління творчими командами є моєю спеціалізацією впродовж двох років. Я маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації, що дозволяє мені всебічно розуміти процеси, які відбуваються всередині.

На посаді РМ, окрім супроводжування проєктів та спілкування з замовниками, завдяки своїй технічній підкованості й допитливості, я брав на себе додаткові зони відповідальності, які стосувалися:
- системного адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічного супроводу спеціалістів під час виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів в роботі, створення концепції онбордингу для нових спеціалістів)
- навчання команди
- підготовки документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організації покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Моїми основними перевагами є:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми, які переді мною постають, і робити це самостійно, шукаючи інформацію та пробуючи різні методики. Кожна задача, яку мені ставили менеджери або замовники, була реалізована. Високі когнітивні здібності стали запорукою мого кар'єрного росту.

Крім того, я люблю спілкуватися, особливо з однодумцями. Ця любов трансформувалася в великий викладацький досвід, здобутий під час роботи на попередніх проєктах. Понад двадцять навчальних зустрічей, величезна база знань для 3D департаменту, професійний ріст команди від новачків до профі та успішне закриття складних задач - це моя персональна гордість. Моє студентське минуле, адже я магістр журналістики, стало в пригоді в отриманні першого педагогічного досвіду ще під час навчання."
1,"Я працював у великій і відомій системній компанії, у галузях: FinTech та IT. Маю досвід роботи у підрозділах: 
- Business development на позиції Account Manager; 
- Digital Marketing на позиції Affiliate Manager CPA.

Є великий досвід переговорів В2В та В2В2С. На попередньому місці роботи я тісно співпрацював з командами: Digital Marketing, Dev, Frontend та іншими підрозділами компанії. Я виступав у ролі Project Manager майже всіх своїх проектів. Ось деякі з моїх реалізованих проектів:
- запуск першого, на ринку кредитування МФО, проекту по кредитуванню на партнерських офлайн точках;
- повністю з «0» запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України;
- запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів;
- побудова звітності повністю з ""0"" у двох окремих системах.

Працював за методологіями управління проектами Agile (Scrum та Kanban). Є чималий досвід із написання FRF та FAQ. Були проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів. Маю скіли технічної інтеграції з партнерами:
- налаштування постбеків;
- підключення до трекінгових платформ;
- робота з сервісами по відстеженню фроду; 
- побудова звітів.

Маю досвід з організації акцій для партнерів, з подальшим врученням нагород. Та досвід організації участі у конференціях, з встановленням стенду, промо матеріалів, бару тощо. Є досвід створення промо та рекламних матеріалів. Маю дуже великий досвід роботи у сфері фінансів. Дуже добре знаюся на техніці та розбираюся в технологіях.

Моя ціль - далі вибудовувати свій шлях у таких галузях, як: fintech, IT, digital marketing, e-commerce. В перспективі, отримати керівну посаду та працювати на результат, застосувавши весь свій досвід, потенціал та знання. Я завжди готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове. На даний момент часу дуже цікавить робота пов'язана ближче до функціоналу Project Manager/Customer tech support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо. А також самому поглиблюватись у технічну/інтеграційну складову. Також, мені дуже подобається створювати та будувати з ""0"", від самого початку. Це завжди складно але дуже драйвово.

Точно не хочу займатись прямими Sales."
2,"Account lead в креативній агенції IAMIDEA

Серед клієнтів у портфоліо: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
Менеджмент і ведення проектів, рекламних кампаній та креативних проектів як зі стратегічними клієнтами на повному обслуговуванні в агенції, так і тактичні рекламні кампанії.
Побудова процесів всередині команди - підбір команди під проєкт, створення таймінгу проєкту, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
Розподіл навантаження серед аккаунт менеджерів та креативних пар.
Пріоритизація проектів, підготовка брифів та постановка завдань.
Відстеження якості виконання задач та дедлайнів.
Розвиток міцних відносин з клієнтами.
Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 до 12 клієнтів в піковому навантаженні.
В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Велика кількість успішно завершених проектів в сфері автоматизації бізнесів.  
Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою.  

----------  
Project management (12 років)  
Angular (2 роки)  
Creatio (3 роки)  
Terrasoft 3/x (JavaScript) (8 років)  
Java (2 роки)  
GCP, Firebase  
Startup or Product."
4,"Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено. Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello."
5,"Work experience:

Brand Manager | 05.2022 - 02.2023 (8 months)  
Technoyizak (retail company), Kyiv  
- 360 marketing campaign  
- Management and control of advertising agencies  
- POSm materials development  

Project Manager | 01.2021 - 02.2022 (1 year)  
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv  
- Management of commercial projects for brands  
- Project planning and tracking  
- Team management (Designer, Creator, Art Director, Redactor, Producer, Writer)  
- Supporting clients from the idea of the project till the preparation of reports  
- Control project timeline  
- Control project budget  
- Involvement in the sales process  

For The Village.ua:  
Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво  
Trust your spirit. Це люди, які роблять добрі справи  
Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?  
Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло  

For Wonderzine.ua:  
Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами  
Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка  
Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?  

Junior Brand Manager | 05.2017 - 06.2019 (2 years 1 month)  
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv  
- Development and implementation of marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)  
- Contribute to the annual brand planning process  
- Development and control of sponsorship events  
- Work together with Trade Marketing on national promo and activities strategy, plans, and schedules  "
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

- Брав участь в успішній реалізації трьох проєктів впровадження CRM.
- Пройшов сертифікацію і став офіційним партнером amoCRM.
- Освоїв основи роботи з запереченнями.
- Отримав навички ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом щодо вартості порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.
- Хочу розвиватися та удосконалюватися, як спеціаліст у сфері управління IT проєктами.
- Працювати в злагодженій команді, яка орієнтована на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"Підготовка планів дій Уряду, програм діяльності Уряду. В даний час працюю державним службовцем, готуючи плани та звіти Уряду. Особисті якості: я високо мотивований, маю добре розвинені комунікаційні навички та постійне бажання до самовдосконалення. Зацікавлений у програмуванні та змінах у профілі та спеціалізації."
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес-процесів, який вважався одним з найкращих підрозділів Банку як за ефективністю організації процесів, так і за комунікацією з внутрішніми та зовнішніми клієнтами. 

Досвід роботи в банку – більше 15 років, протягом яких займаюся аналізом бізнес-вимог користувачів програмного комплексу Банку та їх впровадженням. В якості Бізнес-аналітика супроводжувала повний перехід Банку при зміні ПЗ. Фактично, Product Owner основного програмного забезпечення Банку. 

Наразі супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер-системою Банку. Вважаю цікавим розвиватися в напрямку Мобільних додатків у сфері фінансів, в ролі Бізнес-аналітика чи Продуктового менеджера. 

Цікавий проект у сфері фінансів, в якому зможу розкрити свої сильні сторони: ефективна організація бізнес-процесів, мінімізація ризиків, автоматизація та результативна комунікація з учасниками проекту різної ланки. Перспектива розвитку і участі у запровадженні найновіших технологій. Бажано велика команда з амбіційними проектами."
9,"– Знання 1С:Підприємство 7.7, 1С 8.3: УПП, УТП, 1C 8.3: Управление агрохолдингом, 1С 8.3: Бухгалтерия сельскохозяйственного предприятия для Украины, 1С:Підприємство 8, ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ, 1C:Бухгалтерия для Украины, 1С:Управление элеватором для Украины, 1С: Зарплата и Управление персоналом для Украины, 1С:Документооборот, MS Office, M.E.Doc., Jira, BAS ERP  
– Досвід складання технічної документації, написання інструкцій, регламентів  
– Досвід участі в проектній роботі, автоматизації обліку на базі 1С  
– Знання бухгалтерського та податкового, управлінського обліку  
– Участь в розробці вимог та написання технічних завдань для розробки/зміни функціоналу 1С  
– Участь в проектах по автоматизації обліку підприємств на базі 1С  
– Написання посадових інструкцій, регламентів  
– Консультації користувачів з методології відображення господарських операцій в 1С  
– Надання рекомендацій користувачам щодо виправлення помилок в 1С  
– Розробка інструкцій по роботі з функціоналом 1С  
– Тестування нових доопрацювань в програмі 1C  
– Ведення технічної документації по проектах 1С  "
10,"Я вступила в декілька іноземних університетів та скоріш за все розпочну своє навчання у вересні або вже наступного року. Я маю досвід роботи у сфері маркетингу: розробляла стратегії комунікації з клієнтами, дистанційну систему управління для засновника проекту, плани акцій та індивідуальних оферів. Маю досвід ведення переговорів та відпрацьовування негативу. Набула досвід структурізації співпраці людей з різними поглядами на проект. Я працювала помічником-асистентом бізнес-аналітика півроку: робила порівнювальний аналіз конкурентів, розробляла статусну модель замовлення для маркетплейсу, створювала схеми в Miro та Idroo тощо. Додатково: працювала репетитором з математики, допомагала студентам скласти екзамени до університетів та шкіл України та Європи."
11,"4 роки досвіду роботи у ролі BA. Працював у таких компаніях як: ПриватБанк, АЛЛО, ВАРУС, БАДМ.

В ПриватБанку займався загальною роботою BA з ухилом у банківську сферу та сферу обслуговування клієнтів.

В АЛЛО працював у сфері IT та маркетплейсу.

В ВАРУСі основна частина роботи була пов'язана з логістикою та ВМС системою.

В БАДМ основна частина роботи була пов'язана з IT та налаштуванням ВМС системи.

Якщо я не знаю якусь інформацію для роботи, я обов'язково її знайду та отримаю."
12,"Більше за все пишаюсь тим, що за роки своєї роботи зміг досягнути результату, коли є чому навчити інших співробітників, коли налаштований функціонал дійсно допомагає замовникам вирішити проблеми, які стояли перед ними. Брав участь в розробці технології впровадження проєктів, налаштовував майже всі процеси, якими користувались мої колеги, пропонував рішення, які оптимізували процеси, впроваджував їх. Все, що нове і може оптимізувати роботу - це для мене.

Протягом шести років займався налаштуванням та впровадженням CRM-системи OneBox. Починав кар'єру в IT з посади Customer Support Manager. За рік роботи показав одні з найкращих результатів в команді, та після створення нової послуги Junior Account Manager, став першопрохідцем в ній. Через півроку роботи була відкрита ще одна послуга Senior Account Manager, де також став першим співробітником в компанії, який впровадив її. Також спробував свої навички в професії Account Administrator, де займався адмініструванням команди менеджерів, яка складалася з шести співробітників. В обов'язки входило адміністрування роботи працівників, контроль за виконанням їх завдань, успішність ведення проектів, комунікація з клієнтами, вирішення їх проблем. На цій посаді працював паралельно, тому вів ще 4-5 проєктів самостійно, які також адміністрував.

Основними обов'язками на посаді Account Manager`а були:
- збір вимог від клієнта
- написання ТЗ, погодження з замовником
- аналіз даних та розробка рішень, які вирішують завдання замовника
- впровадження проєкту клієнта (планування, визначення пріоритетів, написання ТЗ розробникам, контроль виконання завдань, тестування функціоналу, здача проєкту замовнику, налаштування інтеграцій з сайтами, різними сервісами, робота з багатьма CMS, програмами для роботи з API, HTML, CSS, PHP preg match, Google сервіси, при необхідності вивчення нових систем та роботи з ними (якщо це вимагає вирішення задачі замовника) та інше).

В роботі завжди націлений на максимальний результат. Якщо отримую задачу, то вимушений розібратись з нею до кінця, повторно збираю інформацію, спілкуюсь з замовником, виясняю, що потрібно для отримання результату. Якщо всіх влаштовує - налаштовую, якщо ні - шукаю варіанти. Завдань, які не можна вирішити, майже не існує, тому готовий розбиратись і робити все, що потрібно.

Основний мотиватор для мене - це впровадження нових рішень, розробка процесів, максимальна участь в житті компанії, вивчення нового. Не хочу стояти на місці, цікавить розвиток та можливість кар'єрного росту. Точно не хотів би займатись продажами, це не моє."
13,"Участь у плануванні і реалізації проєкту з переносу даних в нову CRM систему, адаптація команди до нових процесів. Перегляд і автоматизація наявних бізнес-процесів. Останні 2 роки працювала як проектний менеджер у Ed-tech компанії, отримала досвід супроводу організаційних і продуктових змін, системного аналізу бізнес-процесів компанії."
