,resume
128,"
Я світчер, декілька років працювала у сфері обслуговування клієнтів. За той час здобула багато навиків, як от адаптивність, вміння налагоджувати контакт, вміння розв'язувати конфлікти або взагалі згладжувати ситуацію, щоб до них не дійшло. Знаю, що таке дедлайни і коли “горить”.
"
129,"
Фріланс,  Квітень 2020 - дотепер

Графічний дизайнер

Займалась розробкою фірмового стилю для музичного гурту «VSIVDOMA», протягом двух тижнів підготувала ескізи логотипу та  на основі узгоджених брифів про фірмовий стиль компанії, виготовила 10 рекламних постерів для соціальних мереж, веб перегляду та друку, розробила дизайн для соціальних мереж гурту.

Розробляла концепції дизайн макетів різноманітних рекламних носіїв, включаючи прийняття рішень щодо шрифтів, зображень, читабельності та потреб читачів.

Працювала у тандемі з різними клієнтами (британська компанія “EdTechX”, музичний гурт “VSIVDOMA” та інші).

Розроблювала банери, постери та інший рекламний контент для соціальних мереж (Instagram, Facebook, Youtube).

Досвід роботи з графічними редакторамами, такими як Illustrator, Photoshop, InDesign, Figma.

Розуміння можливостей та обмежень HTML, CSS, JavaScript
"
130,"
Досвіду роботи не маю, але успішно завершив курси UI/UX Дизайну у комп'ютеній школі Hillel, маю сертифікат. Протягом курсу розробив редизайн для лендінгу сайта, його адаптивну версію на мобільні пристрої, дешборд та онлайн магазин. Усі роботи наявні у портфоліо на Dribbble та Behance.
"
131,"Три разочки потрапив в #madeontilda )))
Наразі в пошуках нової роботи на посаду web ux/ui дизайнера. Маю досвід в створенні мобільних застосунків, інтернет-магазинів, корпоративних сайтів та лендінгів, верстка в Tilda та Readymag.

Технічні скіли: 

- впевнена робота в Figma з комопонентами та auto-layout, smart animate.
- Adobe Photoshop, Adobe Illustrator, Affinity Designer, Affinity Photo.

Зможу надати рекомендації з компанії де зараз працюю.
"
132,"
Півтора року працював в компанії ""Потрібні люди"". Спершу на посаді HTML/CSS/JS верстальника пів року, потім рік в ролі дизайнера. В основному займався створенням дизайну інтерсфейсів для веб-сайтів (Лендінг, візитка, інтернет-магазин і тп), інколи створював дизайн логотипів, реклами в соціальні мережі і банерів.
Останні 4 місяці займаюся моушн дизайном та паралельно вивчаю 3д дизайн.
Хочу стати частинкою професійної команди, яка займається UI/UX дизайном, та стрімко розвивати свой скіли в цьому напрямку.
"
133,"
Проектування та інтерфейси, створення адаптивного дизайну для інтерфейсів у бізнес-додатках, веб-сайтах та надання кінцевим користувачам найбільш ефективного та приємного інтерактивного досвіду.

Крім того, я завжди вивчаю сучасні тенденції та використовую UX-рекомендації у своїй роботі.
"
134,"University Landing Pages, Social Web Applications, end-to-end Branding, Checkout Pages and more Landing Pages
- Робота над внутрішнім продуктом компанії
- Веб дизайн
- Дизайн UI/UX
- Прототипування
- Дизайн взаємодії
- Дизайн соц мережей
Я хочу вирішувати цікаві та складні завдання з дружньою та професійною командою, рости професійно, покращувати свої навички та створювати чудовий досвід користувача"
135,"Курс Web Design Junior та Mobile App Design від Projector School  з сертифікатами, вивчаю Adobe Illustrator самостійно
Розробила дизайн лендінгу для бітмейкера та самостійно перенесла дизайн з Figma у Webflow
Працювала над реальними проектами (Teach for Ukraine та ETNODIM) в рамках курсу Web Design Junior від Projector School
Web designer in Booking Ninjas (2021-2023) - interface design, client portal, mobile app for staff, hotel administration portal, student housing portal)
Freelance projects - landing page for a singer, landing page for a beatmaker
Після проходження курсу Mobile App Design у Projector School, хочу розвиватися в дизайні мобільних додатків
"
136,"
Я дизайнер і шукаю роботу в агенції, продуктовій команді, або в аутсорс компанії, котра хоче розвивати свою дизайн команду. Мав досвід роботи з ентерпрайзом і стартапами різного розміру. Більшість проектів вів від діскавері до фази дизайн QA і підтримки розробки. Вмію робити дослідження, тестування, прототипування, проробляти інформаційну архітектуру, працювати з аналітикою і створювати, або підтримувати візуальний стиль.
"
137,"
Я дизайнер і арт-директор з восьмирічним досвідом в галузі візуальних комунікацій. Ключовими навичками є розробка користувацького досвіду, прототипування, аудит і графічний дизайн веб-аплікацій і сайтів, арт-дирекшен, графічний дизайн (візуальна ідентифікація, прінт). Також маю навички продак-менеджменту в розробці веб-аплікацій. 
Я походжу  з Дніпропетровська, Україна, наразі тимчасово мешкаю в Польші. Володію українською, англійською, польською і російською мовами. 
Я зацікавлений в віддаленій роботі по разових або довготривалих проектах (включно з фуллтайм) насамперед в галузі веб розробки і графічного дизайну і відкритий до проектів як великого, так і малого масштабу. 
Будь ласка, сконтактуйте зі мною, якщо маєте будь-які питання.
"
138,"Я готовий докласти всі необхідні зусилля щоб досягти своєї цілі, мати змогу допомогти людям які тільки почали ставати на цю дорогу, мотивувати їх, готовий працювати більше чим потрібно якщо я буду бачити в цьому необхідність, таким чином залишивши після себе як в команді так і на проекті 
не тільки слід якісного дизайнера але й цікавої та творчої людини)
Я набрався досвіду в створенні сценаріїв дій користувачів і розробці користувальницького інтерфейсу навчаючись у BEETROOT ACADEMY, і найбільш я пишаюся своїм дипломним проектом назва якого ""Платформа для планування навчального процесу в школах"", який я розвиваю і покращують донині
Я працюю у відомій компанії, у дружньому колективі, займаюся 
цікавими проектами у зручному та просторому офісі. Постійно спілкуюся з командою та реалізовую з ними спільні ідеї. Спілкуюся з професійними дизайнерами щоб перейняти від них всі знання якими зобов’язаний володіти успішний дизайнер. По можливості ходжу з командою на футбол, цікавлюся 
їхніми успіхами, завжди стараюся вислухати у різних ситуаціях)"
139,"
Закінчив навчання в beetroot academy за напрямом UI/UX дизайн.
За час навчання створював Lo-Fi прототипи, інтерактивні прототипи, вайрфрейми, макети, лого працював в команді. Проводив аналіз конкурентів. 
Доводилось також працювати із сервісом  Readymag.
Бажаю розвивати та покращувати навички, вивчати нові технології, отримувати досвід та працювати з крутою командою."
140,"Курси:
School HotSpot: English A1 (now)
School HotSpot: English elementary (12.05.2023)
Projector Institute: Web Design Junior (20.04.2022)
SkillUp: UI\UX Design (2021)
Робочо-освітній дросвід
E-Commerce:
- аналіз конкурентів та вхідних данних клієнта;
- розробка концепту та робота з референсами;
- створення дизайн системи в Figma;
- адаптивния дизайн.

Landing page:
- аналіз вихідних даних клієнта;
- аналіз конкурентів;
- пошук і робота з референтами;
- створення прототипу;
- робота з правками.
"
141,"Напевно те, що я досить адаптований до роботи, якщо взяти мій минулий досвід з фрілансу, то там ніразу не виникало проблем з комунікацією і з самим процесом роботи, навіть якщо спочатку були розбіжності в баченні результату.
Маю досвід роботи на фрілансі близько 2.5 років, займався розробкою прототипiв сайтів та їх дизайном. Окрім сайтiв i лендінгів, займався обкладинками для соц. мереж та їх оформленням. Зараз продовжую займатися дизайном, тому хотілося б потрапити в цю сферу.
Напевно велике бажання для мене це крута команда, де всі можуть допомогти один одному, найбільше я хочу отримати приємний і корисний досвід від роботи і неймовiрний результат."
142,"Уміння працювати з різними типами клієнтів, уникаючи конфліктів при різному баченні результату. Ведення проєктів без безпосередньої участі менеджера. Уміння стати феєю та втілювати будь-які візуальні забаганки
09.2018 - ... - freelance ( UI/UX & graphic designer )

11.2019 - 09.2020 - Jelvix ( graphic designer )

09.2020 - ... - AnyforSoft ( UI/UX designer )
Хочу займатися довготривалими проєктами в команді, UX дослідженнями. Якнайшенше брати участь у розробці матеріалів для маркетингу та hr-відділів"
143,"May 2022 - Jun 2022
Course ""English for IT""
Anna Gandrabura

Dec 2021 - Mar 2022
Course ""Mobile Apps design""
Projector Institute

Sep 2021 - Dec 2021
Course ""Ux/Ui design Start""
Designly school
10.2022 - now. Робота в компаніі над складним, багатофункціональним продуктом. За рахунок того, що це робота в маленькій компанії, я отримала максимально крутий досвід, закриваючі різні ролі та беручі на себе відповідальнсть. Я закриваю весь процес від запиту від бізнесу до передачі в роботу розробникам. Багато комунікаціі з бізнесом та командою для досягнення результату)

06.2022 - 10.2022 Робота в компаніі, яка займається розробкою додатків для Microsoft. Також в цей період отримала досвід проектування для X-box.

01.2022 - 06.2022 Робота з командою дизайнерів на фрілансі. Ми працювали над різними цікавими проектами. Проект яким я пишаюсь - це настольний додаток для батьків і дітей, який допомагає батькам слідкувати за навчальним процесом дитини та допомагати в виконанні домашніх завдань.
"
144,"
1.  Certificate of completion the course Introduction to IT April 2023 – May 2023, Beetroot IT Company
2. Марафон від GoIT Демо-Design UI-UX, створила лендінг 
3. Марафон від GoIT UI-UX Design, задизайнили астрологічний застосунок - гороскоп
4. Тест-драйв IT-професій від GoIT, зробили макет сайту в Figma
"
145,"- Посада UI/UX Designer. 
Беру участь в створенні дизайну сайту та особистого стилю для Міжнародного Благодійного Фонду “День За Днем”. Наразі сайт переходить на вищий рівень, повністю змінює свою концепцію. Все задля більш зручного інтерфесу та дизайну для користувача.
- Проходження стажування як UI/UX Designer в студії KovalIt. 
Це надзвичайно крутий досвід праці в молодій та зростаючій команді.
1
Веб-дизайнер
з 23.06.2022р. до 05.10.2022р.   
“KovalIt”, IT-компанія

За час роботи в компанії “KovalIt” був розроблений повноцінний проєкт сайту курсу по зачіскам. Термін виконання - 2 місяці з правками.
Мета: створити стильний, мінімалістичний сайт, який допоможе користувачеві легко обрати курс та пройти його онлайн. 
Обовʼязки:
- дотримання вимог згідно ТЗ
- підбір кольорової палітри та шрифтової пари
- розробка дизайну для мобільної, планшетної та десктопної версії
- створення логотипу
- розробка дизайну сертифікату з проходження курсів

2
Веб-дизайнер з особистого стилю
з 30.04.2022р. до теперішнього часу  
Міжнародний Благодійний Фонд “День За Днем” (“DayByDay”)
Мета проєкту - допомога людям які були в окупації та постраждали, а також всім хто зараз потребує будь-якої підтримки.
Волонтери дизайнери і розробники швидко та якісно створили сайт, який допоможе команді “DayByDay” в їхній подальшій роботі.
Обовʼязки:
- розробка особистого стилю (стікерпак, банер, візитівка, бейдж, перепустка, історії Instagram)
- розробка дизайну сайту
"
146,"1.Сертифікат `Веб-Дизайнер 2021' від школи Shendrikov Education;
2. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.0'
2. Сертифікат WayUp `Веб-Дизайнер Взрывной Старт 2.1'
1. Курси `Web designer` школи Shendrikov Education.
2. Онлайн курс від  WayUp `Веб-Дизайнер Взрывной Старт 2.0'
Дизайн для інтернет магазинів."
147,"
1. Проект ""Кафе для роботи"". Мною був оформлен тестовий дизайн сайту для компанії з можливістю для користувача: шукати привабливе місце в цьому кафе; орендувати місце для роботи; обирати філіали; дізнаватися щодо меню та пропозицій кафе 

2. Проект ""Квітковий магазин"". Мною був оформлен тестовий дизайн сайту для компанії з можливістю для користувача: обирати насіння, горшки та інш.

3. Простий проект ""Сайт для покупок квитків"". Мною був оформлен тестовий дизайн сайту для компанії з можливістю для користувача: обирати квитки, дивитися прем'єри цього року

4. Аналог Apple магазину. Мною був оформлен тестовий дизайн сайту для компанії з можливістю для користувача: обирати категорію техники; дізнаватись головне щодо магазину; обирати та замовляти технику 

У всих цих проектах я була на посаді Graphic designer, ui\ux 

1. ""Cafe for work"" project. I designed a test site design for the company with the possibility for the user to: search for an attractive place in this cafe; rent a place to work; choose branches; learn about the cafe's menu and offers

2. ""Flower Shop"" project. I designed a test site design for a company with the option for the user to choose seeds, pots, etc.

3. Simple project ""Site for buying tickets"". I designed a test site design for the company with the possibility for the user to choose tickets and watch this year's premieres

4. An analogue of the Apple store. I designed a test site design for the company with the possibility for the user to: choose a category of equipment; learn the main thing about the store; choose and order equipment

In all these projects, I was a Graphic designer, ui\ux
"
148,"
1 рік самостійного навчання дизайну
"
149,"
1. Розробка UI и UX сайту.
2. Дизайн мобільного застосунку.
3. Робота по методології Design thinking procces (створення CJM, інтерв'ювання користувачіи, User testing).
4. Створення Landing page.
5. Повний візуальний супровід бренду (социальні мережі, візуал для блогу, HTML-банери, e-mail розсилкі, push-сповіщення).
6. Розробка логотипів.
7. Розробка фірмового стилю, створення бренд-буку.
8. Створення/верстка POS продукції, дизайн мерча.
"
150,"
2012 - 2015 веб-дизайнер в студіі DARTC
2015 - 2018 веб-дизайнер в Lumospark
2018 - 2020 ведучий дизайнер в Lumospark
2020 - теп. час  - фріланс - дизайнер

Створювала дизайн сайтів, мобільних додатків, анімацію, прототипи, логотипи, поліграфія.
Працюю в программах: Figma, Adobe Photoshop, Adobe Illustrator, Adobe XD, Balsamiq, Adobe After Effects, Adobe InDesign, InVision.
При необхідності швидко навчаюсь іншим програмам.
"
151,"Я була залучена до створення маркетплейсу для no-code розробників
2016 - 2018 UI/UX designer at togethernetworks.com where
I developed a website template for the Yola site builder.

2018 - 2020 Product Designer at Skillum startup. I made the design for the no-code developer's marketplace.

2020 - 2023  UI/UX Designer at Metevo agency on Upwork. Where I was working on e-commerce projects.
Хочу вирішувати складні задачі, що вимагатимуть застосування всього мого досвіду, та постійнгого професійного росту."
152,"Щасливі діти в одязі мого бренду та задоволені батьки.
Гарні акаунти в інстаграмі та якісний контент.
Постійні клієнти в Etsy та тільки позитивні відгуки.
Жодного незадоволеного клієнта.
2016 - 2021 — дизайнер дитячого одягу, власний бренд:
- дизайн лого,
- дизайн одягу,
- створення лекал,
- фотозйомка та обробка фото,
- маркетинг,
- створення магазину на Etsy
- участь в ярмарках ""Всі свої""

2019-2021 — баєр спортивного одягу з США:
- створення інтернет магазину,
- створення контенту в інстаграмі.

З 2020 - графічний дизайнер:
- створення ілюстрацій,
- створення анімацій,
- обробка фото.

З 2022 - магазин в Etsy з майстер-класами англійською мовою по пошиву фетрових іграшок та оригінальні принти:
- скетчі в Procreate,
- дизайн и викрійки в Adobe Illustrator,
- ведення сторінки магазину та маркетинг в Etsy.

2022 - UI/UX фрилансер:
- створення контенту в інстаграм,
- створення лого, банерів, візиток,
- розробка дизайну та редизайн сайтів.
"
153,"Якщо розібратись, то навіть помилки, то вже своєрідне досягнення або варіант ""як не спрацює"". Тому частина досягнень:
• розробка прототипу
• розробка дизайну
• адаптив
• ресерч та мудборд для клієнта
• Adobe Photoshop/Figma
• написання тексу, фотографування товару, створення банерів
•  бачу дизайн у всьому
•  створювала презентації для організації роботи колективу
•  була куратором нових співробітників та стажерів
•  займалась мерчендайзингом вітрин
•  організація офісного простору
2018-2019 Веб студия “Ранок”
Це компанія належить моїм знайомим, які на той час потребували дизайнера в команду. Мені подобалась ця індустрія, тому мене взяли до команди та навчили усьому чого могли. Разом ми зробили декілька проектів на міжнародному ринку та потім наші шляхи розійшлись з особистих причин. 

За час роботи я навчилась:
• основи дизайну (композиція, теорія кольорів, принцип UX та UI);
• сприймати критику і працювати над помилками;
• прaцювати в Adobe Photoshop та XD;
• створення адаптивного дизайну;

літо 2020 Робота з блогером
Досвід роботи, на який я пішла, при першому локдауні. Досвід цікавий, так як я побачила всю кухню Інстаграму за кулісами. За час роботи я навчилась:
• пошук блогерів для реклами, контроль виходу реклами та  аналіз її статистики;
• створенн чек-листів, гайдів, обкладинок + обробка та монтаж відео;
• генерація ідей для блогу та їх реалізація;  

2019-2022 Магазини з непродовольчими товарами.
Робота в магазинах дала мені багато навичок, хоч в процесі я цього не розуміла. За час роботи я навчилась:
• приходити вчасно, а іноді навіть набагато раніше ( навіть якщо набагато раніше не хочеться йти );
• касова дисципліна;
• розуміння що твій результат і вчинки впливають на весь колектив;
• тримання робочого місця у чистоті;
• відповідальність за свої дії;
Бачу свою роботу у сильній та творчій команді, де кожен сам по собі і, одночасно, всі допомагають один одному розвиватися. Команда, яка трішки шалена, то взагалі буде подарунком. Важливо аби поважали особисті кордони кожного, та праця не забирала вільний від роботи час."
154,"
2019 року працювала в рекламному агентстві 6 місяців. 

На даний момент працюю вже близько 3 років у компанії Helena Studio (Ізраїль) на посаді графічного дизайнера. 

Зараз закінчила курси в Прожекторі з web design і mobile app design.
Грамотне та адекватне керівництво, чіткі таски, без проектів на вчора. • Своєчасну виплату зп. • Гарних та сильних тимлідів, т.к. я не планую міняти компанії як рукавички, хотіла б рости у вашій чудовій ""майбутній"" команді.

Хочу перейти з графічного дизайну до UI/UX, знайти стажування чи вакансію на junior UI/UX"
155,"
2020р-2023 р. 
працювала у First Ukrainian Studio на посаді UI/UX Designer
В мої головні обов'язки входило:
Прототипування;
Веб дизайн (лендинги, корпоративні, багатосторінкові сайти, адаптація під
мобільні пристрої);
Редизайн існуючих сайтів з урахуванням їх фірмового стилю;
Генерування ідеї сайту, логіки користувача, usability сайту;
Побудова ефективних систем зв'язку між користувачем/клієнтом. і
продуктом/компанією, орієнтуючись на сучасний UI/UX;
Комунікація з front-end-розробником та командою маркетологів;
Опис способів взаємодії та поведінки інтерфейсу для розробників;
Створення промоматеріалів.
"
156,"
2021 - 2023 UI/UX Designer Ux lab
Сreating UX wireframes, landing page, branding, drawing of a mobile application, Saas, Crm.
2020 - 2020 VIDEO EDITOR Beemlop
Created shape animation, character animation.
2019 - 2020 VIDEO EDITOR
 Vilz Agency
Created shape animation, merge, trim videoclips for MindGame,YBW(Your Business Forum) Using Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator.
2017 - 2018
FRONT-END DEVELOPER Qumel Digital Agency
I created sites using HTML/CSS/javascript based on sketches created by designers. Created simple web-site designs. Maintained and update sites. Optimized SEO Worked on projects like Frog Tutoring, spa.ru, Lviv Topography site Adaptive layout creating for mobile devices.



2021 - 2023: UI/UX Designer в Ux lab.
UX аналіз, лендінг-сторінок, брендинг, Мобільні додатки, Saas, Crm.

2020 - 2020: Motion Designer в Beemlop.
Створення анімації форми та анімації персонажів.

2019 - 2020: Video Editor в Vilz Agency.
Створення анімації форми, об'єднання та обрізка відеокліпів для проектів MindGame, YBW (Your Business Forum). Використання програм Adobe After Effects, Final Cut Pro, Adobe Premiere Pro, Motion 5, Compressor, Adobe Photoshop, Adobe Media Encoder, Adobe Illustrator.

2017 - 2018: Frontend в агентстві Qumel Digital.
Створення сайтів з використанням HTML/CSS/JavaScript. Створення простих дизайнів веб-сайтів. Підтримка та оновлення сайтів. Оптимізація SEO. Робота над проектами, такими як Frog Tutoring, spa.ru, сайт Lviv Topography. Адаптивна верстка для мобільних пристроїв.
"
157,"
2 роки досвіду як UI/UX designer та 1 рік досвіду роботи як Front-end developer. Завдяки цьому маю хороше розуміння процесів розробки продукту в цілому. Маю експертизу в різних сферах - security, health care, HRM system, web-development, personal management. Розвивала власний дизайн проект. Хотілось б пірнути глибше в тему UX розробки.
"
158,"Зробив багато сайтів. Я хотів би дати посилання на них прямо тут, у списку, але не можу, тому що це порушить вимоги Джинні.
3,5 роки досвіду в UX / UI. Працював зі сферами E-commerce, Fitness, Restaurant, Medicine, Education, News, Office service.
- Цікаві проекти для внутрішнього та зовнішніх ринків
- Можливість вивчення чогось нового. Бажано каоманду з тімлідом та сеньйорами, аби було на кого рівнятися
- FullTime
- Hourly rate: от 25$/h
- Monthly wage: от 2 500 $/m"
159,"Займався створення дизайну landing page
Виконував великі тендерні дизайнерські проекти для міст Лозова та Ізюм
3 роки плідно працюю в дизайнерському агенстві, вмію знаходити спільну мову з клієнтами. Займався розробкою великих тендерних проектів.
Маю розуміння базових принципів HTML, CSS, JavaScript та адаптивної верстки. Базове знання фреймворку Bootstrap. Є досвід в підготовці макетів до друку.
Вмію ефективно та гнучко розподіляти робочий час. У випадку виникнення термінових питань завжди маю з собою ноутбук та на зв’зку 24/7.
Маю високий рівень трудової етики, тому я отримую задоволення від виконання завдання якісно та вчасно.
Хочу займатися розробкою дизайну мобільних та настільних додатків."
160,"3D візулізація
4 роки досвіду у веб дизайні, 1 рік досвіду 3D візуалізації, 6 місяців досвіду UI/UX дизайну
Відсутність бюрократії, штат досвідчених дизайнерів, проекти дизайну мобільних додатків."
161,"Розробила дизайн Головної Нагороди та Диплому Кубку Вільга 2018 з авіамодельного спорту (етап World Cup 2018, Eurotour Contest 2018, Intertour F5J 2018). Приймала участь у організації цього змагання.
4 роки та 11 місяців працювала в компанії Catalyst Apps на посадах 2D artist(більше 4 роів) та UI/UX designer (приблизно 7 місяців). Як дизайнер створювала інтерфейси для мобільних ігор (шутер та стратегія).
7 місяців співпрацювала з компанією Vladimir's Model, що виготовляє моделі літаків для авіамодельного спорту. В рамках цієї співпраці - я розробляла нові дизайни для літаків, дизайн поліграфичних матеріалів. Протягом майже 3 місяців координувала роботу команди (50+ співробітників) з єтапу отримання замовлення до єтапу відправки готового вироду замовнику.
Після чого 2 роки та 5 місяців (до середини листопада 2020) працювала з компанією VMG Ukraine - підрозділ компанії VMG USA. В компанії займалася розробкою дизайну мобільного додатку та веб-сторінки цього додатку для казіно в Лас Вегасі. Також створювала ігрову логіку додатку, дизайн документ та специфікації для програмістів. Координувала роботу команди (5+ осіб).
Дружній колектив. Цікаві проекти, що дозволять рости професійно."
162,"
5 років у UI/UX (70% додатки, 30% веб). Працював як соло (сам собі дизайн лід) так і у кооперації з іншими дизайнерами.

Я займаюсь:

- розробкою юзерфлоу та CJM
- аналізом аналітики
- аналізом конкурентів
- прототипуванням 
- UX тестами / коридорками / Інтерв'ю з юзерами
- Live прототипуванням
- Створенням дизайн системи та системи компонентів.
- UI дизайном та анімацією

Техскіли:

- Figma, Adobe Ps / Ai / Ae / Pr, Protopie, Midjourney / Leonardo, Google Analytics, Hotjar
- CSS / HTML
- Lottie / SVG Animations
З задоволенням приєднаюсь до команди з цікавим та комплексним проектом."
163,"- є досвід управління командою
- діючий дизайнер з великим багажом робіт
6 років в digital agency SMELO
- SMM design
- Web design
- Identity
"
164,"Пройшов курси:
- «Робота з Figma», Creativepractice
- «UX/UI. Проєктування та дизайн інтерфейсів», Creativepractice
- «Основи дизайну», Creativepractice
- «Робота з Illustrator», Creativepractice
- Повний курс фотографії (фотошкола TimeStudia)
7 років працююв фотографом-ретушером. 
Знаю принципи композиції, перспективи, колористики, балансу тощо. 
Досвідчений користувач програмами Adobe Photoshop, Figma, Adobe Lightroom, Adobe Illustrator, Adobe Premier Pro
Хочу почати працювати і розвиватись у UI/UX дизайні."
165,"Закінчила курси в Projector по ""Web design"" та ""UX design"".
Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Sketch, Axure, Prototyping, User Interface Design, User Experience Design, Figma, Principle, Invision
Цікаві задачі та проекти, професійний ріст, стабільна зарплата"
166,"Займаюсь розробкою як веб- так і мобільним дизайном. На даний час найбільшу увагу приділяю в покращенні навиків UX та Motion Design.
Adobe Photoshop, Adobe Illustrator, inVision, Zeplin, Adobe XD, Adobe After Effects
Цікаві проекти, досвідчена команда"
167,"Енергійний та надійний молодший веб-дизайнер з емоційним інтелектом та емпатією. Здатна до ефективного самоменеджменту під час самостійних проектів та спільної роботи. Маю досвід у створенні лендінгів, мобільних додатків,wireframe, прототипуванні та адаптації дизайну під будь-який тип екрану. Підтягнула знання англійської мови до рівня, необхідного для бажаної роботи за три місяці. Навчаюсь в Mate Academy.
Amazon
графічний дизайнер
05,2022 - теперішній час
Створення наклейок та деколів для сайту Amazon
Розробка векторних зображень відповідно до заданого стилю
Пошук референсів
Робота з типографікою
Додрукарська підготовка
"
168,"
CGS-team - 2 роки
Development of web and mobile responsive design, mobile applications, presentations, social media design, and corporate-style internal document layouts. Design creation for the international market: blockchain, crypto, entertainment, medicine, health, education.

Leng Meng - 6 місяців 
Design development for web and mobile applications, logos, banners, and social media design. Primarily focused on the Ukrainian market in 90% of cases. Specializing in e-commerce, government institutions, and redesign projects.
"
169,"1,559 переглядів та 87 оцінок на профілі Behance
1280 переглядів 820 копіювань та 16 лайків у Figma Community
CYBERION
Graphic Digital Designer
Responsible for the visual/web/graphic design of 3 projects:
CYBERION (network of eSports clubs)
TRAFFIC (network of esports clubs) 
Sushi Take Out (food)
Collaborated with the Ukrainian eSports Federation (UESF) in the ""eChampions"" project as Designer

Eqvola LLP
Graphic Designer / Web Designer
Designed banners, posts for social networks,
creatives for targeted advertising, Google Advertising
Created designs for merch, t-shirts, caps, etc.
Work with motion design.
Developed visual style for social network pages for 2 projects, 
Lead and collaborate with other designers on the project
I also created animation templates for social networks,
I used 3D elements, some I made myself
Designed landing pages

SoftProject (SooprIT)
UI Designer
Designed 2 functional dashboards and a B2B mobile application for the iOS platform

Freelance
Graphic Designer
Design signs, stickers, and banners for
social networks, posters for concerts, creatives for
targeted advertising
"
170,"I have experience with Figma and Adobe Creative Suite and can create professional designs for various purposes. I have teamwork skills and am ready to complete tasks within the agreed time frame. I am a quick learner and am always looking for new challenges.
.
.
.
Я володію досвідом роботи з Figma та Adobe Creative Suite та можу створювати професійні дизайни для різних цілей. Я маю навички роботи в команді та готова виконувати завдання в узгоджені часові рамки. Я швидко навчаюсь новому та завжди в пошуку нових викликів.
For the past two years, I have been working in UI/UX design and studying various aspects of this profession. I have successfully completed several free courses and continue to learn new techniques and trends in this field on my own. I have experience in designing landing pages, mobile applications, icons, illustrations, logos, banners, and creatives for SMM.
.
.
.
Протягом останніх двох років я займаюся UI/UX дизайном та вивчаю різні аспекти цієї професії. Я успішно пройшла кілька безкоштовних курсів та продовжую самостійно вивчати нові техніки та тренди в цій галузі. Я маю досвід створення дизайну лендінгів, мобільних додатків, іконок, ілюстрацій, логотипів, банерів та креативів для SMM.
I really like the field of design. I would like to work in a modern company and create an interesting and high-quality product. It is cool that I can help people from all over the world to bring their ideas to life. It also gives me the opportunity to get new acquaintances with a lot of wonderful people."
