,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
98280,"Junior UX/UI Designer

About Me
I am a self-motivated and focused Junior UX/UI Designer who pays a lot of attention to details. My passion is to create high-quality products for users and businesses.

Skills
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Skilled in using web-services like SimilarWeb
- Experienced in working with Design Systems, User Flows, CJM

Project Experience
- Barbershop - Landing Page: Created a landing page for a new barbershop in Ukraine, utilizing Figma and Adobe Photoshop to promote services and attract potential customers.
- India Cafe - Website Redesign: Redesigned the website of India Cafe to attract more visitors, conducting competitor research and user interviews to create an attractive and in-demand website.
- Look for - Web-Service: Analyzed the target audience, developed a clear interface, and worked on the User Interface for a web-service aimed at helping people find accommodation, using Figma, Canva, and Adobe Illustrator in a three-stage design and launch process.

Career Goals
I am eager to join a team and create high-quality products for users and businesses, accepting new challenges in the web-design process."
98281,"UI/UX Design Course Projects:
- Adaptive redesign of a website
- Adaptive design of a web service for hiring employees of a cleaning company
- Development of a mobile application for booking tables in a restaurant
- Various short tasks on web design according to the curriculum

Graphic Design Experience:
8 years of experience in graphic design, with a strong background in the field.
Chief Designer (Head of Department), 3 years:
- Organized and prepared the company's creative projects
- Developed concepts and designs in accordance with the company's corporate style
- Managed the work process for department employees

Notable Projects:
- Re-design of the company website
- Interface design for a popcorn machine
- Landing design for KinoboardPRO
- Design-project for a city café, including interior design of the conference-hall

About Me:
I aspire to gain experience in IT, learn and grow as a UI/UX designer. I am passionate about digital product design for business, creating easy-to-use products with intuitive logic and modern interfaces. I am result-oriented and ready for further development to deliver the best possible design for my clients. I am a team player, ready to contribute my experience to help the company profit.

Project Experience:
- Redesign of the MAINSAIL realty company website: updated design, logical content sections, simple navigation, and convenient forms for easy user interaction
- Interface redesign for the Kinoprokat-Sumy popcorn machine: redesigned the interface in the company's colors and style, developed new icon design and animations

Career Goals:
I am looking for a reliable and qualified company offering career and financial growth opportunities, a flexible work schedule for work-life balance, and remote work options.

Contact:
I am a UI/UX Designer looking to join a team and contribute my skills. I welcome the opportunity to discuss how I can benefit your company."
98282,"About Me
I'm a motivated junior UI-UX designer with a background in HR and a strong passion for design and innovation. I find great joy in creating visually appealing and user-friendly websites and apps. I continuously learn and improve my skills. I'm excited about the opportunity to work for a great company and collaborate with interesting people.

Project Experience
1. Eventize - Mobile Application (2023)
Eventize is a mobile application that enables users to find and book venues or events, as well as plan their own special occasions. This app offers a comprehensive platform for creating and managing events, allowing users to select necessary items by category and plan important tasks.
2. Guesture - Web Application (2022)
Guesture is a web service that helps people change their environment and work or rest in a new place. The concept is similar to couch-surfing, but visitors must pay or perform tasks indicated by the host to be a guest. The service targets students and young people who want to explore the world but have limited financial resources.

Career Objective
I am seeking a full-time or part-time position in an innovative and growing company. As a fast learner, responsible individual, and team player, I am ready to take on challenging tasks."
98283,"Junior UX/UI Designer & Team Leader
Summary:
Results-driven Junior UX/UI Designer with a strong focus on user experience, leading a team on various projects, including the pet project ""Shine"" - a web service for cleaning companies. Proven track record of delivering high-quality designs that meet project goals.

About Me:
As a responsible and detail-oriented Junior UX/UI Designer, I prioritize user experience, allocating 65% of my attention to this aspect and 35% to visual design. I am committed to delivering well-thought-out and high-quality work, recognizing that this requires time and dedication.

Experience:
Team Leader, ""Shine"" Web Service Project
- Led the team in all organizational aspects, contributing to project development, and inspiring and supporting team members.
- Currently leading a team in courses, further developing my skills and expertise.

Projects:
* Landing ""FlowerLover""
  - Created a minimalistic one-page website for flower delivery, ensuring a user-friendly experience despite numerous images.
  - Conducted competitor and target audience analysis, reference selection, moodboard creation, wireframing, prototyping, UI-kit development, animation, and adaptation for tablet and mobile devices.
  - Presented the project on Behance, including a case study.
* Website Redesign ""A Kids Place Childcare""
  - Redesigned the website for a modern kindergarten, addressing the issues of low client engagement and decreased coverage.
  - Analyzed the current site, target audience, and competitors, and developed references, moodboards, wireframes, prototypes, UI-kits, adaptations, and animations.
  - Successfully achieved the project's desired outcome, as demonstrated in the Behance case study.

Professional Goals:
Aspiring to become a professional UX/UI Designer and establish my own brand, I am committed to continuous learning and growth, seeking collaborations that value my work and time."
98284,"Web Design (UX/UI) Courses
UX Energy IT School, Jun 2018 – Sep 2018

Key Skills:
- Adobe Experience Design
- Adobe Illustrator
- Adobe Photoshop
- Axure
- InVision

Summary:
Junior UI/UX Designer with foundational knowledge in creating site structure, interaction flows, page wireframes, and interface requirements. Proficient in visual styles for sites and applications, including layout, color, typography, and iconography.

Objective:
Seeking a Junior UI/UX Designer position."
98285,"Dima
Junior UI/UX Designer

Highly motivated and detail-oriented junior UI/UX designer with a strong passion for creating modern and user-friendly interfaces. Proficient in designing wireframes and prototypes using Figma, with experience in creating landing sites and multi-page projects.

Key Skills:
- Wireframing and prototyping in Figma
- Creating landing sites and multi-page projects
- Attention to detail and meeting deadlines
- Strong desire for self-improvement and skill development

Education:
Projector — Creative & Tech Online Institute
- Web Design Beginning, 2022
- Web Design Junior, 2022-2023"
98286,"Results-driven designer and marketing professional with a passion for delivering exceptional user experiences and visually stunning UI. 

Current Role: Marketing Manager/Designer

Key Responsibilities:
- Design marketing materials, including brochures, leaflets, and stands, utilizing Figma, Adobe Photoshop, and Adobe Illustrator
- Create images for websites, social media posts, and campaigns
- Plan and develop email newsletters
- Edit videos for social media platforms
- Write content for websites, marketing materials, campaigns, email newsletters, and other media

Skilled in UI/UX and graphic design, with a strong foundation in marketing principles."
98287,"UI/UX Designer
Alkima Web & Design
March 2023 - Present

* Conduct user experience research
* Create sitemaps, wireframes, and user interfaces
* Utilize Webflow builder for design development
* Design banners for websites and creatives for social networks
* Develop logos and design systems

Sales Manager
Vinnytsia Distribution Company
January 2019 - February 2022

Skills:
* Interface design process understanding
* Prototyping for various products
* Analyzing conditions, testing prototypes, and using data to improve design
* Knowledge of user needs and good design examples
* Creating simple and clear web browser layouts
* Designing interactive UX applications
* Team collaboration and teamwork principles

Career Goal:
To work in a team and create projects that help people make better use of technology, developing interfaces for websites, mobile apps, and software."
98288,"Freelance Project Experience
-----------------------------

Utilized skills in various freelance projects, including:
- Early-stage gaming projects
- Cryptocurrency exchanges
- Cryptocurrency-related websites

Key Interactions:
- Collaborated with project managers in a client capacity
- Coordinated with web developers to clarify layout details"
98289,"Experienced UI/UX Designer

Summary:
Highly skilled UI/UX designer with expertise in creating visually appealing and user-friendly interfaces using Figma, leveraging a strong foundation in design principles and attention to detail.

Experience:

UI/UX Designer
- Designed a landing page for a law firm, including:
  + Client briefing and research on the law field
  + Development of mood boards, font and color selection, and brand identity work
  + Creation of multiple design concepts through wireframing
  + Final design development and adaptation for various devices, including phones and tablets
- Created a website for a pastry shop with delivery, focusing on:
  + Utilization of auto layouts in Figma
  + Application of design basics to create an effective user experience

Skills:
Figma, UI/UX design, design research, brand identity, wireframing, adaptive design, auto layouts"
98290,"Recent Graduate
Eager to apply skills and knowledge in a professional setting

Key Skills:
Adobe Photoshop
Adobe Illustrator
Figma
Quick learner, adaptable to new challenges and software
Strong willingness to learn and grow in the field of graphic design"
98291,"**Summary**
Motivated UI/UX designer with a strong foundation in creating seamless user experiences and functional designs. Proficient in utilizing SQL to verify data accuracy and generating comprehensive bug reports to ensure software quality.

**Technical Skills**
- SQL
- Figma
- Adobe Illustrator

**Experience**
- Created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly
- Utilized SQL to verify data accuracy

**UI/UX Design Experience**
- Redesigned the website for ""A Kids Place Childcare"" (study project), focusing on creating a well-structured, modern, and user-friendly design
- Conducted user research, competitive analysis, wireframing, prototyping, and drew conclusions
- Developed a web service for a private medical clinic (study project), aiming to organize and document doctor-patient meetings, provide online consultation opportunities, and reduce documentation time through speech recognition technology
- Responsibilities included baseline study, brainstorming, jobs-to-be-done, user flow, customer journey mapping, prototyping, UI design, and adaptation

**Personal Projects**
- Managed and executed 2 personal projects, demonstrating initiative and capability in project management and execution

**Career Goals**
Seeking a flexible work schedule or full-time position in a company focused on making everyday and business tasks easier, more productive, and user-friendly. As a fast learner, responsible individual, and someone ready for challenging tasks, I am eager to contribute to innovative projects."
98292,"UX/UI Designer

Summary:
Results-driven UX/UI designer with experience in creating user-centered designs, proficient in conducting research, building wireframes, and interactive prototypes. Advanced English language skills.

Experience:
Design Studio, Kyiv
UX/UI Designer
- Contributed to the development of the mobile app project ""DayDrive""
- Designed landing pages, sign up/log in forms, and other design elements

Education:
Mentorship Program in UX/UI Design, Graduate

Skills:
- User experience (UX) design
- User interface (UI) design
- Wireframing
- Interactive prototyping
- Research and analysis
- Usability and aesthetics balance
- Business solutions and user empathy

Language:
English, Advanced level

Career Objective:
To apply my skills and knowledge to enhance my career in UX/UI design and improve user experiences."
98293,"UI/UX Designer

Education:
Completed UI/UX Design Advanced level course with first-class degree diploma from IT School Hillel, achieving 2nd place in student ratings

Online Courses:
Ongoing participation in design-related online courses on various design resources

Experience:
Freelance UI/UX Designer, Upwork (Top Rated), Apr 2020 - Present
- Redesigned and designed CRM systems
- Created components library for site-builder services
- Designed mobile applications

UI/UX Design Student, IT School Hillel, Sep 2019 - Mar 2020
- Acquired knowledge of UX design principles, including analysis and prototyping
- Studied design fundamentals: typography, grid compositions, animations, color systems, and responsive design
- Applied skills to diploma project: designing a CRM System for a sports complex

Landing Page Designer, Jul 2019 - Aug 2019
- Designed a landing page for educational courses
- Collaborated with developers on testing and design of CRM and web design projects

Career Goals:
Seeking a company with a collaborative team environment where I can grow professionally and contribute to challenging and interesting design projects."
98294,"UI/UX Designer

Experience:
App Project: Food Delivery (April - May 2023)
- Conducted UX research, including personas, customer journey mapping, empathy mapping, competitor analysis, site mapping, and user flow development
- Designed UI components, including wireframing, concept development, and visual design

Landing Page: Brewery Craft Beer (June 2023)
- Performed UX design tasks, including competitor analysis, information architecture, and moodboard development
- Created UI design elements, including wireframing, visual design, and animation"
98295,"Aspiring UX/UI Designer

Summary:
Dedicated UX/UI designer with a strong foundation in design principles and essential tools, transforming creative energy into problem-solving skills to craft useful and profitable products.

Study Projects:
- Developed desktop and mobile versions of a Vinyl Shop website
- Designed and researched a sign language study app, including UX research, Human Interface, Material design, and a landing page
- Created a car trip planning app, performing UX research, designing a Design system, Human Interface, and landing page

Skills:
- Proficient in Adobe Illustrator and Adobe Photoshop for vector and raster graphics
- Experienced in UX research, including User Flow, User Story, CJM, User Scenario, and target audience research
- Skilled in low- and high-fidelity prototyping, interactive prototyping in Figma, and logo creation
- Knowledgeable in color theory, typography, composition, Material Design, and Human Interface Guidelines
- Familiar with design systems, UI-kits, styles, components, variants, and autolayout in Figma
- Understanding of adaptive design and basic HTML and CSS
- Experience with Tilda

Career Objective:
Seeking a web design position to apply skills and passion, creating effective and engaging user experiences. Available for discussion of potential opportunities."
98296,"Charitable Foundation Designer
Designed visual identity elements, including landing page, banners, and logo, for the foundation

Design Experience
Developed and designed various personal projects, featuring:
Landing pages
Mobile apps
Prototypes, including high-fidelity and low-fidelity designs
Adaptive and responsive design solutions
Conducted UX research to inform design decisions
Utilized self-directed learning and growth strategies in solo project development

Career Goals
Seeking opportunities to expand knowledge and experiences as a designer
Interested in collaborative team environments to further develop and refine design skills"
98297,"Designer with experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects, with a proven track record of developing 3 projects, including a team project where I researched and implemented a patient-side user flow.

I possess a solid foundation in design principles, acquired through IT courses, with a strong understanding of professional tools necessary for successful work in the field. My skills include communication, teamwork, and time management, with a strong ability to receive feedback, cooperate, and complete tasks on time.

I am seeking opportunities for growth and development in the profession, with a willingness to take on new challenges and contribute to creating user-friendly and productive products.

PROJECT EXPERIENCE

Landing page “Barbershop in Kyiv”
One-page site designed to attract customers and promote services, featuring information on services, professional masters, customer reviews, and competitive advantages.

Web service for a medical clinic
Full-cycle design, teamwork project where I created a patient page, allowing users to schedule online or live appointments, view medical history, and payment history.

Redesign for Design “KIDS PLACE”
Full-cycle redesign of a website, aiming to create a modern and convenient site to attract more visitors, with an adaptive version for greater accessibility and expanded target audience.

I am seeking a full-time or part-time designer position at a company focused on creating user-friendly and productive products, considering user experience. As a quick learner, purposeful, responsible, and ready to perform complex tasks, I am committed to delivering high-quality results."
98298,"UI/UX Designer
Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating efficient and convenient user interfaces and experiences. Proficient in using Adobe Creative Suite, Figma, and other design tools. Strong communication, collaboration, and leadership skills, with a passion for delivering high-quality products that meet business and user needs.

Experience:
Non-Commercial Project:
- Developed a logo and corporate style for a young Ukrainian brand of modern women's clothing, Ina&Mi, using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
- Collaborated with the customer to ensure satisfaction with the final product.

Pet Projects:
- Designed and developed a landing page, website redesign, housing reservation service, and application for booking tables in restaurants, cafes, and bars.
- Utilized Figma and Adobe Photoshop for design and development.
- Conducted market analysis, competitor analysis, worked on personas, wireframes, sitemap, and UI|UX design.

Skills:
- UI/UX design
- Graphic design
- Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects)
- Figma
- Communication and collaboration
- Leadership and teamwork
- Creativity and problem-solving
- Organization and time management
- Interpersonal skills

Expectations:
- Collaborative work environment
- Opportunities for professional growth and development
- Training, support, and mentoring

What I Offer:
- Support and assistance to colleagues
- Creativity and willingness to cooperate
- Fresh perspective on problem-solving
- Knowledge and experience sharing
- Enthusiasm and desire to learn and develop"
98299,"Highly Creative and Detail-Oriented Junior UI/UX Designer

Summary:
Results-driven junior UI/UX designer with a strong foundation in design principles and a passion for crafting intuitive and engaging digital experiences. Proven ability to create user-centered designs that meet the needs of diverse audiences, with experience in designing for complex and challenging projects in the crypto space.

Experience:

Project Crypto Wallet
- Developed a secure and user-friendly platform for managing cryptocurrencies
- Conducted user research and implemented user-centered design principles to ensure the product met the needs of its target audience

Redesign of Cucina di Catherina Online Store
- Successfully created a fresh, modern look that aligned with the brand's vision and values
- Improved the website's user experience by making it more intuitive and engaging
- Increased website traffic and engagement metrics

Crypto Wallet Tutis Application (Full Cycle Design)
- Created a secure and intuitive platform that provided a seamless user experience while ensuring the safety of users' assets
- Conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process

Redesign Cucina di Catherina Online Store Website (Full Cycle Design)
- Conducted extensive user research to understand the pain points and needs of customers
- Designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site
- Conducted usability testing to ensure the new design met the needs of users and addressed any issues that arose

Skills:
- Adobe Suite
- Creating web interfaces, mobile design, and landing pages in Figma
- Experience in redesign
- Developing user personas, user scenarios, and sitemaps
- UX research and analysis of competitors
- Using Google Material Design Guidelines
- Working with photos in Photoshop
- Design of icons, logos, and illustrations in Illustrator
- Wireframing and Prototyping
- Visual Interface
- Site map and user flow
- Adaptation

Career Expectations:
I aim to work on a variety of projects that require designing engaging and intuitive user experiences. I am eager to collaborate with cross-functional teams to ensure my designs meet both business goals and user needs. Key areas of interest include:
- Conducting user research and creating user personas to inform design decisions
- Designing wireframes and prototypes to test and iterate on design concepts
- Developing design systems and style guides to maintain visual consistency across products
- Collaborating with developers to ensure designs are technically feasible and implemented correctly
- Advocating for user-centered design principles and promoting the user throughout the design process
- Continuously gathering feedback and iterating on designs to improve the user experience."
98300,"Highly Motivated UX/UI Designer

Summary:
Results-driven UX/UI designer with a passion for creating user-centered designs that simplify complex tasks and provide value to users. Proficient in effective communication and committed to continuous skill improvement.

Experience:
UX/UI Designer
- Utilized strong communication skills to achieve goals in various professional settings
- Applied UI/UX design principles to create seamless user experiences through personal projects

Education:
UI/UX Design Courses, enhancing skills in user experience and interface design

Skills:
UI/UX Design, Communication, Personal Project Development, Continuous Learning

Statement:
As a dedicated UX/UI designer, I aim to craft beautiful and functional designs that prioritize user needs, driven by a passion for simplicity and a commitment to delivering value to users."
98301,"Junior UI/UX Designer

Highly skilled in design principles and techniques, with a strong foundation in graphic design, 3D modelling, animation, and UI/UX design, gained through education and training at Design IT Step Academy.
Proficient in a range of design tools and software, including Figma, Photoshop, Illustrator, After Effects, Maya, and Premiere Pro, to create visually appealing designs.
Possess expertise in design principles and techniques, including prototyping, design research, SWOT analysis, typography principles, image making, and illustrating, to develop effective and user-friendly designs."
98302,"Junior UI/UX Designer
Summary:
Highly motivated and detail-oriented junior UI/UX designer with experience in designing visually appealing and effective web and mobile applications. Proven ability to analyze tasks, create prototypes, and implement designs into user-friendly end products.

Experience:
Team Leader, Paw Rescue Project
- Organized team work and designed prototypes' visual aspects
- Collaborated with team to design a website for finding lost and found animals
- Conducted competitor analysis to structure the website and create a clear user flow

UI/UX Design Projects:
- Redesign for Italian Sauce Website: revamped website to attract customers and improve user experience through updated color scheme, uniform photos, and modern typography
- Landing Page for Flower Lover: analyzed target audience, created a clear interface, and built the interface from scratch
- Paw Rescue: designed a convenient and modern website interface with a clear user flow

Skills:
- Full cycle design approach
- Analyzing tasks and creating prototypes
- Designing visual styles and implementing them into usable end products
- Adapting designs for mobile and tablet versions

Career Goals:
Seeking a remote office position in a company that offers mutual respect, a friendly atmosphere, corporate training and development, and opportunities for career growth."
98303,"Skilled in utilizing design tools such as Adobe Photoshop and Figma to create user interfaces and visual designs. Proficient in designing wireframes and interactive prototypes to visualize design concepts. Able to create interfaces that adapt to various screen sizes and devices. Understanding of design systems and their components. Skilled in creating user flows and journey maps to illustrate user paths through applications or websites. Able to use graphic editing tools like Photoshop or Illustrator to create and modify visual assets. Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.

As a Junior UI/UX Designer, I worked on various web services and mobile apps, collaborating with teams to design user-friendly and visually appealing interfaces. I created layouts for web services that worked well on different devices and designed mobile app screens that considered touch interactions, ensuring clarity and organization. I adapted to different project requirements and improved my skills using programs like Figma, Adobe Photoshop, and Protopie to create layouts and mockups.

Key projects include:
1. Redesign of the ""Custom Concepts"" tattoo studio website, focusing on making the site easier and more convenient for customers through changes to the color palette, high-quality photos, a simple booking form, and a new visual hierarchy.
2. ""PetRescue,"" a web application for searching lost pets, designed to reunite lost animals with their owners by providing a platform to share, search, and match missing pet information effectively, utilizing tools like Figma, Adobe Photoshop, FigJam, and Adobe Illustrator.

I am a native Ukrainian speaker, fluent in Russian, with an upper-intermediate level of English and an elementary level of Polish. I am committed to continuous learning and improvement in UI/UX design, eager to work on diverse projects and explore new design approaches. I prioritize creating visually appealing designs that are accessible to everyone, with a focus on incorporating feedback to enhance design quality."
98304,"Junior UI/UX Designer

Summary:
Results-driven junior UI/UX designer with experience in creating digital experiences that offer optimal user experience, with a proven track record of leading teams and presenting projects to customers.

Experience:
UI/UX Designer
- Created digital experiences for landing pages, redesigns, web services, and mobile applications, utilizing methodologies such as competitive analysis, heuristics analysis, and user research to inform design decisions

Team Lead, Buki School Project
- Organized team work and presented the project to the customer
- Conducted UX research, including in-depth interviews, questionnaires, formation of personas, and empathy maps

Project Experience:
Redesign for Buki School (Team Project)
- Conducted full-fledged UX research, including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created a clickable cabinet prototype and presented the project to the customer

DocMe Web Service (Team Project)
- Contributed to UX research and created the main site
- Assisted in making changes to patient and doctor cabinets, utilizing methodologies such as competitor and target audience analysis, personas, JBTD, and CJM

Career Goals:
Seeking a collaborative environment with like-minded individuals who value design and innovation, with opportunities for training and development to stay up-to-date with the latest trends and techniques in web design."
98305,"Team Leader & Junior UI/UX Designer

Summary:
Results-driven team leader and junior UI/UX designer with experience in managing projects, designing intuitive interfaces, and collaborating with cross-functional teams. Proven track record of delivering projects on time and exceeding expectations.

Experience:

Team Leader, Web-service for finding lost pets project
- Determined project direction, distributed responsibilities, and scheduled team meetings
- Ensured smooth workflow, resulting in an intuitive interface that met target audience expectations
- Successfully completed the project on time, receiving high appreciation from the mentor

Collaborator, Start-up project for accountants and related professionals
- Contributed to the development of a web service for calculating salaries, bonuses, and other related tasks

Junior UI/UX Designer
- Completed a special course and 6 study cases, gaining experience in user interface and experience design
- Applied design principles to create user-friendly and visually appealing interfaces

Projects:

- Mobile app for a chain of coffee shops
  - Created an application design with an intuitive interface, well-developed functionality, and a youthful style
  - Conducted competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation

- Web-service for finding lost pets
  - Conducted competitor analysis, target audience analysis, user-persona compilation, JTBD, CJM, and User-Flow development
  - Developed a design that met the target audience's expectations as a team member and team leader
  - Organized the work process and distributed tasks among team members

- Travel agency website redesign
  - Created a clear and concise design for a wide range of target audiences
  - Conducted competitor analysis, target audience analysis, persona compilation, and user flow development
  - Developed wireframes, UI design, adaptation, and animation, resulting in a clean and neat design using quality photos

Career Goals:
Seeking a team of specialists who strive to develop and improve their projects, where I can apply my theoretical knowledge, gain practical experience, and advance in my career over time."
98306,"Junior UX/UI Designer

With a strong foundation in UX design principles, I possess basic knowledge and skills acquired through courses in UX Design, Interaction Design at Projektor, and UI/UX at Skill-up school. Throughout my studies, I gained theoretical knowledge and practical experience in implementing UX principles.

Key Experience:
- Setting stakeholder requirements
- Conducting research
- Working with personas in Miro
- Task analysis
- Creating high-fidelity wireframes and interactive prototypes in Figma
- Usability testing
- Presenting project outcomes

Portfolio:
- Planner application
- Re-design of an eCommerce website
- Landing page
- CRM system
- Corporate website

I am seeking a position that allows me to realize my potential, rapidly develop my skills, and contribute significantly to the company's success."
98307,"Junior UX/UI Designer
Summary:
Results-driven Junior UX/UI Designer with experience in delivering user-centered design solutions for various projects, including e-commerce websites and landing pages.

Experience:
Freelance Junior UX/UI Designer
- Redesigned an e-commerce skincare website, optimizing usability and visual design through user research, competitor analysis, and user personas to identify pain points and preferences
- Applied usability heuristics to create intuitive prototypes and simplify the user experience
- Designed landing pages for educational courses and agricultural companies, utilizing clear call-to-actions to enhance user engagement
- Highlighted benefits and outcomes of courses to convey value to users
- Employed tailored color schemes, typography, and imagery to reflect the essence of selected topics

Skills:
- User research and analysis
- User experience (UX) design
- User interface (UI) design
- Usability heuristics
- Responsive design
- Visual design
- Typography and color scheme selection
- Image selection and optimization

All designs are fully responsive, ensuring seamless user experience across various devices."
98308,"Junior UX/UI Design Professional

Education:
- Digital Marketing Professional Certificate, University of Miami
- Bachelor's degree in Hospitality and Tourism Management, Minor in International Relations, Florida International University

Summary:
Results-driven Junior UX/UI Designer with a strong foundation in digital marketing and a passion for creating intuitive user interfaces. Proven ability to deliver high-quality projects that exceed expectations, with a keen eye for detail and a drive to stay up-to-date with industry trends and technology.

Experience:
Junior UX/UI Designer
- Designed user interfaces for various projects, including a web service for VitalMed, a website redesign for a tattoo salon, and a Citroen C4 landing page
- Utilized Figma, Adobe Illustrator, and Adobe Photoshop to enhance design capabilities
- Consistently delivered projects that adhere to the highest standards of quality, commended for creativity and attention to detail

Skills:
- UX/UI Design
- Digital Marketing
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Problem Solving
- Research
- Creative Thinking

Career Goals:
Seeking a supportive environment to learn and grow as a Junior UX/UI Designer, with opportunities to work on challenging projects that involve problem solving, research, and creative thinking, and aiming to become a strong and knowledgeable designer who can create meaningful user experiences.

Additional Background:
Professional athlete in the Ukrainian National team, bringing a unique blend of discipline and teamwork experience to the design field."
98309,"Junior Web Designer

Summary:
Results-driven junior web designer with experience in designing web pages, graphics, and visual elements for websites and marketing materials. Proficient in collaborating with cross-functional teams and utilizing design tools to create effective marketing materials and web pages.

Experience:
Junior Web Designer, [Company Name]
- Designed a company website from scratch, overseeing design control of finished pages
- Collaborated with developers and testers to ensure seamless project execution
- Created wireframes, mockups, and prototypes to communicate design concepts and ideas
- Designed marketing materials, including social network covers, YouTube video previews and footage, and recorded product functionality videos

Tools and Technologies:
- Figma
- Adobe Illustrator
- OBS Studio

Skills:
- Web page design
- Graphic design
- Visual elements creation
- Marketing materials design
- Team collaboration
- Design concept communication
- Wireframing, mockup, and prototyping

Career Goal:
To further develop professional design skills and contribute to new projects, leveraging my experience and proficiency in designing effective marketing materials and web pages."
98310,"Mid Product Designer

Key Responsibilities:
- Designing consumer products
- Improving existing product designs
- Analyzing competitor products to inform design decisions

As a Mid Product Designer, I am responsible for creating and enhancing consumer products, with a focus on matching quality and performance through competitor analysis. Career progression opportunities may include senior, executive, or managerial roles, depending on industry and company."
98311,"Results-driven UI/UX Designer with a strong background in delivering non-standard solutions through freelance work. Proven ability to approach tasks with responsibility and attention to detail, with a quick learning curve for new skills.

Key strengths include:
- Proficiency in Figma, with a focus on Prototyping
- Expertise in Adobe Photoshop
- Effective communication and collaboration skills
- Strong motivation and decision-making abilities, complemented by a keen eye for detail and accuracy

As a flexible and adaptive designer, I excel in environments that prioritize work comfortability. I am seeking a remote position with flexible hours where I can leverage my skills to contribute to innovative projects and maximize my potential as a designer."
98312,"As a detail-oriented Auditor with a background in Economics and a passion for graphic design, I am excited to leverage my unique blend of analytical and creative skills to secure an entry-level UX/UI design position.

With a strong foundation in Economics, having completed both Bachelor's and Master's degrees, I possess a solid understanding of business principles and analytical thinking. Throughout my academic journey, I developed a keen interest in graphic design, dedicating my spare time to honing my skills and expanding my knowledge.

As a Graphic and Social Media post designer for an education center, I handled the entire branding process, creating engaging social media posts, designing posters and printables, and developing an eye for aesthetics and user-centric design principles. This experience allowed me to translate ideas into visually compelling designs and understand the importance of user experience.

As an Auditor, I developed a strong sense of discipline, precision, and attention to detail, with the ability to work within strict deadlines. I am eager to combine these skills with my creative flair and design expertise to create intuitive, user-friendly interfaces that enhance usability and deliver exceptional experiences.

I am drawn to UX design because of its potential to positively impact users and its relationship with human interaction. I am excited to learn and grow as a UX/UI designer, bringing my passion for design and creativity to a role where I can make a meaningful difference."
98313,"Summary: Highly skilled UI/UX designer with commercial experience in various projects and domains, including mobile applications and corporate website redesign. Proficient in UX research, design systems creation, and marketing materials development.

Experience: 
UI/UX Designer
- Designed and developed mobile applications, including guide app and lottery app
- Redesigned corporate website, ensuring adaptability across web, mobile, and tablet platforms

Key Responsibilities: 
- Conducted design analysis of existing screens
- Created design systems based on Design Thinking process
- Developed marketing materials for the marketing team
- Designed visual content for company social media across all platforms
- Created case studies and Behance cases

Technical Skills: 
- Proficient in Angular Material, Kendo UI, and Human Interface Guidelines
- Familiarity with Google Material Design

Additional Skills: 
- User research and competitor analysis
- Brainstorming and style guide development
- Information architecture and prototype creation
- Adaptive design and wireframing
- Effective communication with clients and developers
- UX research, design systems creation, and marketing materials development
- Mobile design, including rules and patterns"
98314,"I successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications, demonstrating a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.

As a passionate and detail-oriented specialist, I am dedicated to crafting seamless and intuitive user experiences, with a strong foundation in design principles and a drive for continuous learning. I am committed to creating impactful and visually captivating interfaces that resonate with users.

Key Projects:

Table Tab Mobile App Design (Jun 2023 - Aug 2023)
- Conducted research, created wireframes, and prototyped UI screens for a user-friendly app to book restaurant seats
- Collaborated on designing a rewards system to engage users and enhance their experience

Host Radar Project Design (Apr 2023 - Jun 2023)
- Performed market and competitor analysis for a web service that connects hosts with visitors
- Prepared wireframes, animated prototypes, and finalized the design case

Mainsal Realty Company Redesign (Feb 2023 - Apr 2023)
- Analyzed and redesigned a website to improve user experience, conducting market research and comparing competitors
- Created a modern, user-friendly website that showcases services and fosters customer loyalty

I aim to further develop my design skills and knowledge, contributing to innovative and user-centric projects, and collaborating with senior designers and stakeholders to deliver compelling and delightful user experiences that exceed expectations."
