Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:freet_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:freet,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
9066,,"**Summary**
Results-driven professional with experience in public procurement processes, tender procedures, and proposal management.

**Professional Experience**

* Managed the full cycle of tender procedures, ensuring quality and compliance of proposals within deadlines, and overseeing technical and commercial aspects.
* Coordinated service proposals, bid logistics, and team schedules, collaborating with internal and external parties to gather necessary information.
* Collaborated with account directors on proposal development and client communications to optimize proposal process effectiveness and improve submission document quality.
* Provided consulting services for public procurement processes, developing and coordinating service proposals that included technical and commercial aspects.
* Ensured quality and compliance by managing bid logistics, schedules, and team responsibilities, and coordinating the drafting of documents.
* Served as the primary contact for technical, commercial, and contractual submissions, gathering necessary information from internal and external parties.

**Key Skills**

* Public procurement processes
* Tender procedure management
* Proposal development and coordination
* Team management and scheduling
* Quality assurance and compliance
* Cost management and deadline coordination
* Collaboration and communication with internal and external parties
* Process optimization and improvement"
9445,,"Recent Projects:
- Developed a comprehensive ""Legal management system"" for full-cycle multi-attorney workflow management, encompassing claim filing to executive proceedings
- Designed and implemented a CRM system for a leading wholesale supplier of tourism products, supporting hundreds of customers, tens of thousands of products, and multiple warehouses across different cities
- Created a SaaS management platform for fitness, dance clubs, and similar small businesses
- Built several online stores of varying complexity

Summary:
Results-driven Branch Manager and Project Manager with over 15 years of experience in the IT industry, boasting a proven track record in managing businesses and development teams of 5-50 staff members, and 15+ years of development experience.

Skills:
- Project Management
- Product Management
- Agile (SCRUM) methodologies
- Requirements Management
- Branch Management

Technical Background:
- Proficient in Atlassian Jira
- LAMP stack
- CSS
- HTML
- PHP (versions 4-5)
- SQL
- jQuery
- AJAX
- Bootstrap
- PostgreSQL
- AWS
- CVS
- Mercurial
- Git
- Nginx
- CMS
- CRM

Career Objective:
Seeking a challenging Branch Manager or Senior Project Management position in a well-established company where I can leverage my expertise to drive success."
9542,,"Summary: Results-driven marketing professional with experience in project management, team coordination, and content creation. Proven track record of successful project execution and budget management.

Experience:
Volunteer Project
- Created content for website and social media
- Coordinated 8-member core team
- Established cooperation between companies, universities, and students
- Sought partners and maintained communication
- Evaluated and tracked event success

Brand Manager, Red Bull
- Developed social media strategy
- Assisted in event organization
- Conducted marketing research

Marketing Project Manager, Silpo
- Planned, executed, and monitored projects
- Coordinated IT, Designer, and Operational Departments
- Created content for website, social media, Viber, and email lists
- Managed video production

Digital Marketing Manager, Genesis, Keiki
- Created and scaled Facebook advertising campaigns
- Managed $50,000 monthly budget with positive ROI
- Collaborated with content manager to develop engaging content
- Analyzed key metrics and made data-driven decisions

Achievements:
- Realized 1 project at Silpo
- Produced 2 successful video productions
- Created content for 170+ recipe database
- Coordinated ""Recipes Silpo"" product development
- Completed full copywriting for Lynksen website
- Applied to 437 Red Bull Basement 2021 projects"
9546,,"Results-driven Project Manager and Event Manager with experience in leading cross-functional teams, developing and executing project strategies, and delivering results in fast-paced environments. Proven track record of success in managing projects with zero budgets, attracting investors, and fundraising.

Key Strengths:
- Building and managing high-performing teams
- Developing and implementing effective project management systems
- Excellent public speaking and communication skills
- Strong problem-solving and conflict resolution abilities
- Empathetic and able to find common ground with team members and clients

Professional Experience:
Project Manager & Event Manager
- Business Assistant for CEO (07/2022-09/2022)
  - Developed company strategy and communication plans
  - Created and managed processes
  - Managed a sales team of 5 people
  - Created and managed marketing strategies
  - Coordinated with designer, development, and HR teams
- Event Project Manager, Ant Hill Event Agency, Kyiv, Ukraine (03/2020 - 10/2021)
  - Managed projects for clients such as Metro Cash & Carry, Kyivstar, Metinvest, and Intersport
  - Directed BTL, marketing, and technology projects
  - Responsibilities included full project management, client communication, budgeting, and turnkey implementation
  - Achievements include:
    - Developed and led an online production project for Metro Cash & Carry
    - Managed a conference for 500+ guests during the quarantine period
    - Managed a sports olympiad for Metinvest in 5 different cities
    - Brought in projects worth over 5 million UAH through successful tenders
- Co-Owner & COO, Event agency ""Believe in you"", Kyiv, Ukraine (03/2019 - 09/2019)
  - Searched for and communicated with clients, partners, and investors
  - Managed budgeting, documentation, and website development
  - Supported events and managed teams
- Project Manager & COO, TAG (Ukrainian start-up) (03/2016 - 12/2018)
  - Recruited and adapted employees
  - Managed teams and tasks
  - Managed project and product development
  - Budgeted and maintained project documentation
  - Presented the project at international exhibitions and roadshows

Education and Skills:
- Continuously updates skills through self-education, completing 2-3 educational programs per year in psychology, marketing, brand and product management, philosophy, and technologies
- Knowledge of conflictology, mediation, and psychology
- Strong analytical and critical thinking skills
- Flexible and inquisitive mind

Career Goals:
Looking for a challenging project in IT development as a Project Manager or Event Manager. Seeking a team of like-minded individuals who share a positive outlook and strive to create something useful and innovative. Open to starting in a junior position to update IT PM skills and grow within the company. Prefer remote work opportunities and am currently based in Lodz, Poland. Will not work with companies that cooperate with Russia or have Russian employees."
9547,,"Results-driven professional with a proven track record of launching and managing successful projects, driving business growth, and leading cross-functional teams.

Key Achievements:
- Launched a nationwide internship program, achieving a 70% graduate retention rate, a 20% increase from previous results
- Successfully launched a global internship program, resulting in an 80% graduate retention rate
- Developed and rolled out the Philip Morris Business Academy nationwide, receiving a 90% Net Promoter Score (NPS)
- Launched new product L&M Double Mix, meeting sales targets
- Adapted the Global EVP to local market demands and implemented the Employee Ambassador program
- Led the Hostess Project twice, generating 20,000 contacts per month
- Provided continuous support for the Parliament brand

Professional Experience:
Project Manager Specialist in HR, Philip Morris Ukraine (2 years)
Brand Executive in Marketing, Philip Morris Ukraine (2 years)
Customer Care in Sales, Philip Morris Ukraine (8 months)
Purchasing Department, Nestle Ukraine (6 months)

Seeking a challenging project with ownership opportunities and a collaborative, open-minded team."
9583,,"Results-Driven Professional

Summary:
Highly motivated and experienced professional with a strong background in project management, team leadership, and operational management, with a proven track record of successfully developing and implementing projects from inception to national scale.

Professional Experience:

Project Manager
- Spearheaded the development of a distance selling system, scaling it from inception to national reach
- Successfully managed procurement systems as Department Head for a network of construction supermarkets
- Directed the private business project ""Electronic Diary"" in Kharkiv schools, driving its implementation and growth
- Served as Director of a scientific institution, overseeing operational management and ensuring its effective functioning

Key Skills:

- Project organization and development
- Team leadership and collaboration
- Financial management
- Budgeting and planning
- Human Resources and recruitment management
- Information analysis and structuring
- Distance management
- Purchasing and sales
- Transaction support and document preparation

Personal Qualities:
- Committed to continuous skill improvement and personal development
- Flexible approach to problem-solving
- Strong focus on company growth and development"
9587,,"Results-driven Project Manager with over 40 successful projects delivered, leveraging expertise in project management, business analytics, and IT administration.

Key Experience:
• Managed internal, national, and international projects and project portfolios as a Project Manager
• Delivered over 40 successful projects, demonstrating a proven track record of achievement

Methodologies:
• Waterfall
• Agile (XP, Scrum)

Technical Skills:
• Analysis, design, implementation, and optimization of business processes and IT services
• Deployment and implementation of production automated systems
• Microsoft product implementation and support (Exchange, AD, SystemCenter, SharePoint, SQL)
• ITIL, CobIT, and ISO standards deployment and adaptation
• Telecoms network planning and organization

Leadership Skills:
• Effective team leadership and collaboration with good management skills

Professional Development:
• Ongoing improvement of professional knowledge and skills in project management, business analytics, QA, and IT administration

Certifications:
• PMP
• IPMA Level C
• ITIL Foundation
• Microsoft Certified Technology Specialist (MCTS)"
12037,,"Dynamic, entrepreneurial, and goal-oriented IT professional with 10+ years of experience in various web, mobile, and desktop applications development.

Key Achievements:
- Analyst role at a MS Dynamics CRM project for an advertisement company, resulting in a 30% increase in productivity and customer loyalty, as part of the largest CRM project in Siberia in 2011, featured by Microsoft.
- First Prize winner at the ""Startup Business Ideas"" Competition in Istanbul, 2019.

Skills:
- Eliciting and developing software requirements
- Team management and leadership
- Collaboration across multiple disciplines and departments
- Analysis of complex data and report preparation
- Willingness to learn new skills and self-improvement
- Familiarity with eCommerce, social media management, Google Ads, SEO, and game development

Quality Assurance:
- Utilization of various software testing methods, including functional, access control, cross-browser layout, load and performance, installation, database-driven, and operating system testing
- Preparation of testing scenarios and plans

Deployment:
- Experience with test and production environments

Customer Trainings:
- Development of curriculums and training materials
- Provision of customer trainings

Technical Skills:
- Programming languages: C, C++, Python
- Database management: MySQL, Oracle SQL
- Data analysis: IBM SPSS
- Virtualization: VMWare virtual machines
- Operating System: Linux
- Microsoft Office: advanced skills
- Project tracking tools: Jira, Asana, Trello, Trac"
12116,,"Results-driven professional with over 8 years of experience in business analysis and administration of IT systems and services in top international banks. Proven track record of delivering successful implementations and providing high-quality support.

Key Experience:
- Successfully implemented Oracle Hyperion Planning in 2 Ukrainian banks (TOP 10), leveraging expertise in business analysis, project management, and technical documentation.
- Managed complex projects and collaborated with cross-functional teams to drive results.
- Utilized Agile methodologies and tools such as Redmine and Jira to ensure efficient project execution.

Technical Skills:
- Oracle Hyperion Planning (OHP)
- SAP ERP system (HR, LSO, TMC, Portal, Performance)
- IT-Enterprise ERP-system (HR: Performance and Payroll, E-Documentation)
- MDX

Professional Responsibilities:
- Business analysis and administration of budgeting process and financial reporting
- Technical documentation preparation (business/functional requirements, user guides)
- Project management and implementation of Oracle Hyperion and IT-Enterprise ERP-systems
- Test cases, testing, bug tracking, and fixing
- Development and support of SAP ERP system

Methodologies and Tools:
- Agile
- Redmine
- Jira
- Business analysis and project management best practices

Education and Certifications: 
None specified 

Note: Since no education or certification information was provided, this section is included to indicate that this information is not available."
12122,,"Business Process Engineer Lead
2022-02 – 2022-09
- Led a team of 17.5 FTE in implementation projects
- Planned and allocated resources according to project timelines and business needs
- Monitored and controlled project progress and timelines with internal stakeholders
- Prepared and submitted reports to internal stakeholders
- Ensured high-quality services to internal and external parties
- Organized and delivered internal training sessions
- Initiated and implemented internal process improvements
- Created and maintained internal documentation

Solution Engineer for EMEA, APAC, LATAM, and NA
2019-09 – 2022-01
- Defined, analyzed, and interpreted data and system requirements for clients
- Designed and proposed solutions based on client demands and system functionalities
- Collaborated with Business Analysts to interpret business rules and requirements
- Initiated and supported internal projects and initiatives
- Developed project documentation for internal and external users
- Organized, led, and participated in webinars

Project Manager for EMEA, APAC, and NA
2018-02 – 2019-08
- Managed and coordinated multiple implementation projects for multi-national clients
- Planned, aligned, and executed projects with internal and external parties
- Provided regular project updates to internal and external stakeholders
- Ensured timely project delivery and met deadlines
- Created and maintained project documentation for internal and external users
- Organized, led, and participated in webinars

Implementation Specialist
2014-07 – 2018-01
- Analyzed and processed requests and data for new carrier implementations
- Implemented and integrated new providers into the online platform
- Organized, led, and participated in webinars
- Led the final testing and quality assurance stage of implemented logics
- Created and maintained internal documentation for IT departments
- Prepared and submitted reports to external users
- Collaborated with Operations and IT departments
- Optimized and improved existing processes
- Delivered internal training sessions

Data Analyst
2012-10 – 2014-06
- Prepared and submitted reports to external users
- Led the final testing and quality assurance stage
- Analyzed and implemented rate cards into the online platform
- Updated and maintained internal and external documentation"
12124,,"**Summary**
Results-driven business analyst and project manager with over 20 years of experience in business analysis, project management, and process automation for international companies across various business domains, including payment technologies, finance, B2B sales, and IT service management.

**Technical Experience**

* **Banking:**
  + Implemented SWIFT payments in a mobile banking application, collecting requirements and developing Camunda processes, ESB, and OKD services.
  + Automated mortgage loan processes, including customer form development and integration with the Diia API.
  + Developed and certified POS-terminal software for international payment systems (VISA and MasterCard).
  + Implemented and administered a local payment card system.
* **B2B Sales:**
  + Automated sales and delivery processes, defining business processes and implementing them in Bitrix24 CRM.
  + Defined and implemented HR processes for onboarding, dismissal, and vacation in Bitrix24 CRM.
* **IT Service Management:**
  + Automated service delivery processes, creating and implementing processes in the Service Desk system based on Microsoft Dynamic CRM.
  + Integrated the Service Desk system with customer issue tracking systems, developing an API integration protocol.

**Business Analysis and Project Management**

* Utilized business analysis skills to organize effective communication between IT and business units for system development, implementation, and support.
* Gathered business needs and objectives to evaluate new or enhanced functionality.
* Participated in business development and project discovery phases.
* Defined and optimized business process workflows, creating automated processes from scratch.
* Developed project artifacts, including BRD, Vision, Project Profile, and Software Requirement Specification.
* Managed projects according to PMBOOK and Agile best practices, leading teams of up to 15 employees and departments of up to 100 employees.

**Preferred Role**
Business Analyst, with potential for combination with Project Management responsibilities."
12141,,"**Summary**
Results-driven professional with experience in team management, marketing, and IT project development, seeking to leverage technical background and managerial expertise in an IT Business Analyst or Project Manager role.

**Experience**
Team Leader, Promotion of Professional Exchanges, AIESEC
- Led a team to achieve twice the number of LEADs within a month
Marketing Team Manager, AIESEC
- Successfully managed the marketing team while balancing university responsibilities and personal life
Head of Outgoing Volunteer Exchanges, AIESEC in Kharkiv
- Managed a department of 13 people and worked in the Executive Board team
- Analyzed the current state, created a strategy, and adapted it to war realities
IT Project Experience, Kharkiv Polytechnic University
- Contributed to two IT projects, including generating realistic interference patterns and developing an application prototype
- Responsibilities included technical task creation, studying working areas, writing documentation, and algorithm adaptation and coding
- Worked as a Business Analyst, communicating with customers and professors, and creating technical tasks and prototypes

**Skills**
- Team management and leadership
- Marketing and promotion
- Time management and self-organization
- IT project development and management
- Business analysis and communication
- Adaptability and strategy development

**Education**
Currently studying at Kharkiv Polytechnic University

**Personal Growth**
- Developed skills in marketing, team management, product management, and soft skills through AIESEC experiences
- Gained experience in IT project development and management through university projects"
12143,,"Summary: 
Results-driven business analyst with 5 years of experience in e-services, skilled in system analysis, entity relationship diagrams, and data flow diagrams, driving business growth through detailed analysis and strategic decision-making.

Experience: 
- Conducted in-depth analysis of requirements, user cases, and data flow diagrams for multiple projects, enhancing project efficiency and effectiveness
- Performed comprehensive system analyses and created entity relationship diagrams to optimize system performance
- Conducted thorough business analysis of the apps market and Apple Wallet service for Android and Windows Phone, identifying key trends and opportunities
- Participated in strategic decision-making for creating own service and assisted in the sales process, driving business expansion and revenue growth
- Researched and developed innovative concepts in ""E-government"", ""E-citizen"", and ""E-democracy"", promoting digital transformation and citizen engagement
- Authored the framework for ""E-vote"" in cooperation with Bank ""PrivatBank"" and local government, facilitating seamless interaction among government, business, and citizens
- Utilized CRM systems and managed projects using MS Project manager, ensuring timely project delivery and customer satisfaction

Skills: 
- Business analysis and system analysis
- Data flow diagrams (DFD) and entity relationship diagrams (ERD)
- BABOK, PMBOK, Agile, and Scrum methodologies
- MantisBT and Redmine tools
- CRM systems (AMO, ZOHO)
- Professional writing of scientific articles, guides, and handbooks
- Language proficiency: French (Advanced), Bulgarian (reading and verbal)

Publications: 
- Authored approximately 20 scientific articles on e-government

Career Interests: 
- Full utilization of skills
- Interesting challenges
- Career growth opportunities
- Professional training and development programs"
12149,,"Results-driven IT professional with over 15 years of experience in Insurance and Investment Banking domains, seeking a Managing, Product Owner, or BA Lead position in a software company.

Key Achievements:
- Successfully implemented a complex system in 4 large companies as a key employee on a major project.

Skills and Expertise:
- Proven leading and managing abilities
- Ability to work to rigorous deadlines and stay within quoted budgets
- Strong understanding of customer needs with the ability to prioritize them effectively
- Attention to detail with the capacity to work in pressurized, time-sensitive environments
- Comprehensive requirement gathering and documentation skills
- Developer background with an understanding of the software development life-cycle
- In-depth knowledge of Insurance and Investment Banking subject areas

Career Highlights:
- Over 15 years of experience in IT, primarily in Insurance and Investment Banking
- Demonstrated ability to work effectively in fast-paced environments, ensuring timely and budget-friendly project completion."
12161,,"Business Analysis Laboratory Educational Program Graduate

Key Skills:
- Self-organization and time management
- Business, functional, and non-fictional writing
- Strong written, verbal, and interpersonal communication
- Negotiation, presentation, and facilitation
- Business Analysis theory and practice
- BPMN and wireframe creation

Experience:
Business Analysis Laboratory Educational Program
- Gained practical experience in writing business, functional, and non-fictional requirements
- Created BPMN and wireframes
- Developed strong communication, negotiation, presentation, and facilitation skills through program completion"
12252,,"Results-driven professional with a proven track record of delivering successful web projects and mobile applications, including 2 projects that paid off completely within 3 months of launch.

Key accomplishments:
- Created a High-Load Big Data sports analytics system and mobile apps from scratch
- Developed the first AR/VR E-commerce marketplace for Persian Gulf Countries from scratch
- Launched websites under 100+ domains, now operating globally

Occupied positions:
- Project Manager
- Business Analyst
- Product Manager

Technical expertise:
- Development of websites, web apps, mobile apps, and AR/VR apps
- Experience with Stock Markets, Equities, Trading platforms
- High-load e-commerce marketplace and e-commerce platforms
- Gambling, Sports betting, and sports analytics

Leadership experience:
- Managed PM/BA teams, consisting of 5 separate teams: Back-end, Front-end, Mobile app, Design, and QA
- Team composition:
  - Back-end: 6 developers
  - Front-end: 4 developers
  - Mobile app: 4 developers (iOS/Android)
  - Design: 2 designers
  - QA: 4 engineers
  - Additional support: 1 DevOps engineer, 1 Technical Writer

Technology stack:
- Backend: Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch
- Frontend: React.js, Redux, React-Router, NPM, Webpack3
- Mobile app: Kotlin, Swift, Augmented & Virtual Reality (AR/VR)"
12408,,"**Summary**
Results-driven banking and finance professional with 12+ years of experience, including 5+ years in business analysis and 2+ years in project management, offering expertise in project management, business analysis, financial analysis, risk management, and related fields.

**Professional Experience**
* Launched a telecom project for a US state customer, driving successful implementation
* Enhanced a new ecommerce platform solution, delivering improved functionality
* Developed and enriched a Treasury management system solution for large corporates and SMEs, meeting diverse client needs
* Contributed to the development of new banking software, specifically the Treasury module
* Implemented the financial estimation information system for CIS banks, enhancing operational efficiency

**Skills**
* Project management
* Business analysis
* Financial analysis
* Risk management
* Banking
* Insurance
* Treasury and cash management systems
* Ecommerce
* Telecom expense management
* Advanced English and French language proficiency
* Excellent presentation and communication skills

**Certifications**
* IREB Certificate for Requirements Engineering Foundation Level (2018, No 18-CPREFL-137936-20)

**Technical Skills**
* SQL
* VBA
* Jira
* Confluence
* ServiceNow
* TFS
* SAP Hybris
* TeamWork
* Ms Project
* Modeling tools (Ms Visio, Balsamiq, Draw io)

**Career Interests**
Challenging and interesting projects utilizing modern technologies."
12409,,"Results-driven Project Manager and Business Analyst with international experience and advanced English skills (IELTS 6.0). Proven track record of managing teams of 6-40 people and expertise in various SDLC methodologies, including Agile, SCRUM, and KANBAN. Skilled in managing project scope, creating documentation, and standardizing processes. Strong problem-solving and negotiation skills, with experience collaborating with diverse customers from Asia, Europe, UK, and US. Proficient in business analysis, process optimization, and project management, with a strong attention to detail.

Key strengths include: 
* Project management and business analysis
* Team management (6-40 people)
* SDLC methodologies (Agile, SCRUM, KANBAN)
* Scope management and documentation
* Process standardization and optimization
* Problem-solving and negotiation
* International collaboration and communication

Currently serving as PM/BA for a cryptocurrency platform, with experience in domains including Enterprise, e-commerce, finance, and crypto. Pursuing PMP credential, with PMP Exam Prep completed."
12410,,"Results-driven product owner and seasoned finance professional with 16 years of experience in finance and software development for financial markets. Proven track record of creating complex information systems and developing high-performing teams.

Key Experience:
Product Owner
- Created the architecture of a complicated information system processing real-time financial data and led its development
- Developed financial software independently and as part of a professional team

Department Creation
- Played a crucial role in establishing a software development department from concept to a team of over 30 professionals, generating significant revenue for the parent company and creating new strategic opportunities

Business Analyst
- Identified, structured, and prioritized key business needs, translating them into Business Requirements Documents (BRD), product roadmaps, and technical documents
- Managed product backlogs, contributed to system architecture and protocol development, and analyzed external documentation to inform project documentation
- Utilized expertise in financial market data and FIX protocol to provide data analysis

Project Manager
- Collaborated with US vendors to improve business processes and participated in hiring initiatives, driving team growth and efficiency

Technical Skills:
- Financial software development
- Real-time financial data processing
- System architecture
- FIX protocol
- Data analysis
- Business process improvement
- Team management
- Product ownership
- Project management

Professional Experience:
Product Owner: Led the development of complex financial information systems
Business Analyst: Translated business needs into technical documents and managed product backlogs
Project Manager: Improved business processes and collaborated with vendors
Software Development: Developed financial software for professional teams and as an individual contributor"
12418,,"Business Analyst & Project Manager

Summary:
Results-driven Business Analyst and Project Manager with 8+ years of experience in IT and business process consulting, delivering expertise across multiple domains including IT product development, e-commerce, marketing, telecom, automotive, finance, energy, and agriculture.

Experience:
8+ years of experience in IT and business process consulting, with a strong background in project management from conceptualization to deployment (SDLC)
Proven ability to elicit customer insights through interviewing, translating them into business, stakeholder, and solution requirements
Experienced in requirements management, prioritization, and decomposition, with expertise in preparing functional and non-functional requirements
Skilled in business process modeling (BPMN, UML diagrams) and prototyping (Moqups, Miro, Balsamiq)

Technical Expertise:
CRM system implementation (Creatio, Maxbill)
BPM class solutions
MS Office365
Document management systems
Contact centers
Video surveillance
Augmented reality (AR)
Printing infrastructure management and security

Leadership Experience:
Served as Module Lead for the enterprise implementation project of Billing&CRM Maxbill, overseeing Sales, Retention, and Customer Care modules for B2B clients
Successfully led teams of up to 45 people across different regions, fostering a positive team microclimate
Demonstrated ability to tailor individual approaches to team member motivation and development

Skills:
Agile methodology
Strong organizational and management skills
Collaborative team player with ability to make independent decisions and take responsibility
Ambitious and creative problem-solver

Career Interests:
Seeking opportunities in Business Analysis, Product Management, Project Management, CRM, Business Process Transformation (IT, customer service, fintech), or Head of Customer Care"
12422,,"Project Management Institute Certified Associate in Project Management (CAPM)

Education:
Northeastern University, Master of Science in Project Management, concentrated on Project Business Analysis, GPA: 3.76/4
Academy of Public Administration, Bachelor of International Relations

Professional Experience:

Junior Project Coordinator, PrintInk, Baku, Azerbaijan
May 2023 – Present
- Coordinated and monitored project budgets of $80,000-$150,000, identifying and reporting variances to administration
- Developed, organized, and managed project resources, including materials, equipment, and personnel within a 10-15 person team
- Revised and maintained project schedules and timelines, ensuring tasks and goals were delivered within set deadlines
- Conducted quality assurance testing, assessing and verifying new products met quality standards

Project Experience:
Location Scout Training Program Development, Boston, USA
- Defined SMART business requirements, project scope, assumptions, and constraints, clarifying ambiguity by up to 60% within an 8-person project planning team
- Prepared and prioritized project deliverables, submitting scope, cost, and schedule baseline statements to the sponsor within the first 4 weeks
- Developed a comprehensive 20-page document including contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy, featuring over 5 tables and 2 sets of matrices

MBTA Transportation App Development, Boston, USA
- Developed project plans, activities, resources, budget, and schedule, assigning tasks among 11 team members
- Executed risk management using qualitative and quantitative techniques, and 3 contingency plans for each risk

Insurance Business Analyst, Globe Life Liberty National Division
November 2022 - February 2023, West Covina, CA, USA
- Established productive client relationships, building rapport within 15 minutes
- Determined client needs and financial situations through fact-finding appointments and presentations
- Ascertained long-term client goals, offering over 10 different plans and supplemental benefits"
12435,,"Procurement Manager
4 years of experience

Key Responsibilities:
- Controlled warehouse balances
- Analyzed and forecasted sales
- Planned procurement and placed orders with suppliers
- Monitored order execution
- Handled complaints and returns
- Negotiated with suppliers
- Coordinated transport logistics partially

Professional Development:
- Completed online course ""Data analysis and statistical inference in R language"" (November 2016) through Prometheus.org.ua

Education:
- Master's Degree in HR Management, graduated with distinction
- Achieved 3rd place in the All-Ukrainian Olympiad in the specialty"
12436,,"Project Coordinator & Business Analyst Lead

Summary:
Results-driven professional with experience in project coordination and business analysis, proven track record of delivering projects and implementing business processes.

Project Experience:
Project Coordinator, National Canadian Corporation
- Successfully delivered project for a national Canadian corporation, leveraging coordination skills to drive results

Business Analyst Lead
- Developed and implemented comprehensive business analysis processes to enhance operational efficiency
- Designed and executed effective communication plans, fostering collaboration between customers and development teams
- Coordinated and managed cross-located teams to achieve project goals

Business Analysis Skills:
- Requirements Elicitation and Gathering: Conducted Capability Gaps assessments, led Elaboration Phase, and facilitated Requirements Gathering Workshops
- Requirements Management: Prioritized requirements to drive project success
- Onsite customer collaboration: Worked closely with customers to understand needs and deliver solutions

General Management:
- Proven management experience, with a strong ability to lead and manage teams

Human Resources:
- Coaching: Provided guidance and support to team members
- Event planning: Successfully planned and executed events
- Training and development: Designed and delivered training programs to enhance team skills and knowledge"
12437,,"Results-driven professional with a strong track record of managing over 15 successful projects across diverse business areas, including methodology, design, development, and implementation of financial management systems. Proven ability to navigate complex challenges and drive projects forward, leveraging expertise to deliver results. Proficient in English, with ongoing development of language skills, ensuring effective communication and collaboration."
12447,,"Summary: Results-driven professional with experience in delivering SaaS solutions for real estate and insurance startups, managing DevOps production support teams, and driving business growth through effective project management and upselling.

Experience:
- Delivered MVP for UK real estate startup, securing investments from Google through agile tool implementation and successful demo presentations.
- Managed feature delivery for UK insurance startup, prioritizing tasks and meeting tight deadlines with a consistent team.
- Assisted Business Development managers in winning projects during the presale stage, converting ideas into new projects and performing upselling when necessary.
- Successfully managed a DevOps production support team for over 800 environments, enhancing response rates, service quality, and variety.
- Achieved three positive reviews on Clutch for managed projects, ensuring client satisfaction.

Technical Skills:
- SaaS solutions for real estate and insurance startups
- E-commerce platforms: Shopify, Magento 1/2, WordPress
- Mobile development: iOS, Android, with experience in VR games and healthcare apps
- Tech support team management: Cloud DevOps
- AI-based solutions

Business Analysis Experience:
- Created specifications and Figma mockups for various projects

Career Interests:
- Working with SaaS or mobile solutions
- Collaborating with English-speaking clients exclusively"
12448,,"**Summary**
Results-driven Business Analyst and Project Manager with 5 years of business analysis expertise and 2 years of part-time or one-time project management experience.

**Achievements**
- Built a team from scratch for an innovative project, delivering 96% of scheduled features on time over 2 years, as per Jira reports.
- Created designs based on personal mockups for several projects, resulting in high customer satisfaction, as indicated by customer surveys.
- Successfully relaunched a complex billing system interface for over 100,000 users without causing frustration or inconvenience.
- Developed mockups and requirements for the largest petroleum company in Ukraine, with the project successfully launched nationwide.

**Experience**
Business Analyst (5 years)
Project Manager (2 years, part-time or one-time projects)

**Responsibilities**
- Developed mock-ups and prototypes from stakeholders' ideas
- Created specifications from a business perspective
- Built roadmaps and issue structures with Epics and User Stories
- Managed requirements and project development life-cycle
- Developed user guides and FAQs

**Domain Experience**
- Online services
- E-commerce
- Manufacturing
- CRM/ERP
- Education
- Automotive

**Key Skills**
- Collecting requirements
- Building interactive mockups of user interfaces
- Writing specifications
- Analyzing market and competitors

**Work Environment Preference**
Informal environment with open communication where every team member's voice is heard.

**Availability**
Open to part-time or one-time projects."
12449,,"Results-driven Business Analyst and Agile Project Manager with expertise in team leadership, requirements analysis, and Agile project management. Proficient in utilizing Jira, Balsamiq Mockups, and BPMN to drive project success.

Key Skills:
- Agile project management
- Business Analysis
- BPMN
- Balsamiq Mockups
- Jira
- Requirements analysis
- Requirements management
- Scrum
- Use cases
- User stories

Professional Experience:
Agile Project Manager
- Managed multiple projects utilizing Agile methodologies
- Oversaw full life cycle delivery management
- Supervised and managed high-performing teams
- Gathered and analyzed requirements
- Resolved conflicts and managed budget control and reporting
- Established requirements elicitation, approval, and change processes
- Developed software delivery processes to enhance team collaboration between Development, QA, and Business Analysis teams
- Created project documentation, including Vision and Scope Definition and Software Requirement Specifications
- Monitored requirements implementation and conducted solution acceptance
- Designed workflow diagrams, charts, and presentations
- Authored user stories and created Customer Journey Maps using Figma

Seeking a challenging role that leverages my skills in Business Analysis, Agile project management, and team leadership to drive project success and deliver high-quality results."
12450,,"Results-driven IT professional with 7 years of experience in implementation consulting, business analysis, and project management, delivering expertise in developing and implementing CRM, ERP, and HR core systems. Proven track record of automating recruitment processes and integrating core banking systems. Key strengths include:
- Full life cycle project participation
- Stakeholder negotiations
- Effective time management
Highly experienced IT professional with a deep understanding of technical and operational aspects of IT projects, driving successful project outcomes through 7 years of industry experience."
