Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
3120,"* Experienced project manager with expertise in managing both time and material and fixed price projects
* Developed various enterprise, e-commerce, and financial systems, with Big Data proficiency
* Demonstrated skills in risk management, time management, cost management, and scheduling
* Strong leadership skills, with a proven ability to communicate and negotiate effectively
* Knowledgeable in Agile, Scrum, and Kanban methodologies
* Proficient in using Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble for project management and collaboration."
3122,"Agile Delivery Management
- Version planning, utilizing Jenkins and GitHub Actions to build versions and deploy to Azure and AWS environments (dev and production)
- Designed and optimized delivery and release processes from inception
- Coordinated and led Scrum events, managed Scrum Artifacts
- Developed roadmaps, resource plans, project charters, reports, mitigated risks, and prioritized regular and timely delivery of value
- Authored Business Requirements, User and Job stories, conducted investigation research in the project domain to gather essential information
- Partnered closely with development teams, UI/UX teams, and stakeholders to contribute to project development
- Participated in pre-sales, engaged with clients, prepared estimations and proposals
- Contributed to establishing company processes, writing role descriptions, interviewing stakeholders, and collaborating with CTO on a daily basis
- Led teams: conducted daily stand-ups, 1:1 meetings, retrospectives, managed task management, facilitated skills development, resolved issues, and created supporting documentation

Personal Attributes
- Excel in challenging environments, motivated by the belief that with a great team, anything is possible
- Passionate about contributing to projects in domains that align with personal values, and have chosen not to pursue opportunities in betting, gambling, banks, and dating domains
- Seeking an opportunity where diverse experiences can be utilized to achieve results, and where continued learning and self-development are encouraged."
3123,"Certified Agile Project Manager
Certified Scrum Master (CSM)
Experienced IT-Project Manager and Leader

Specialties:
• Project management, traditional and Agile methodologies
• Startups growth and business development
• Team management, hiring, and remote team management
• Business analysis
• Risk management
• Sales & Account management
• Change management
• Prototype and UI/UX
• Medical, business, and educational projects/products

Professional Experience:
• Successfully led and delivered dozens of projects as a Project Manager, UX Designer, Business Analyst, and QA Tester
• Grew and managed teams, up to 80+ members
• Discovered new Western markets and engaged with clients in technology discussions
• Implemented business analysis stage in customer relations
• Conducted medical, business, and educational projects/products
• Proficient in Jira, Redmine, Axure, and other project management tools
• Strong technical background, including iOS, Android, PHP, and Drupal
• Demonstrated ability in managing change and risks
• Excellent communication and leadership skills

Education:
• Professional development courses in Agile, Scrum, Kanban, DSDM, and business analysis
• Advanced Business English
• Master's degree in a relevant field"
3133," ---

9 years of experience as a Project Manager, Business Analyst, and Scrum Master in outsourcing and product environments.

• Proficient in Agile project management methodologies including Scrum, XP, and Kanban.
• Strong background in Product and Business Analysis.
• Experienced in presale activities, including solution design and estimation processes.
• Managed multiple concurrent projects and teams, ranging from 3-9 members each.

• Facilitated teams and customers in adopting Agile mindset and practices, such as MVP, feedback loops, CI, PP, TDD, and CR.
• Assisted with organization-wide process improvements, including presale, hiring, onboarding, and feedback.
• Skilled in coaching and group facilitation (certified coach).

Business domains: Web, E-commerce, Gaming.

• Ensured transparency in communications and simplicity in processes.
• Managed up to 3 simultaneous projects/teams, or 1-2 projects/teams with presale involvement.
---"
3134," **Experience**

**Project Manager/Scrum Master**
Sensorama Lab, Kiev, 07/2018 - 06/2028

* Implemented agile methodologies, managed sprints, stand-ups, reviews, retrospectives with team and Product Owner.
* Defined, documented, maintained, and communicated roadmap with Product Owner.
* Created briefs, estimations, project plans, and other docs.
* Translated discussions into detailed user stories, epics, and tasks.
* Managed story writing, prioritization, tracking, and acceptance of the product backlog.
* Managed release scope schedule, delivering value regularly and on time.
* Ensured product backlog was prioritized, groomed, and refined to avoid ambiguity in specifications.
* Collaborated with management and other leaders to identify and implement team process and workflow improvements.
* Defined and refined agile metrics and reporting to understand and communicate team performance.

**Project Manager**
Maybe.Works, Kharkiv, 01/2017 - 06/2018

* Led a team of developers, designers, 3D artists, and QA testers through the entire project lifecycle using Agile development methodologies.
* Managed schedules, user stories, risk mitigation plans, scope, budget tracking, and other production-related items.
* Acted as the main client contact for all project-related communication, building strong relationships.
* Sourced and managed external partners, ensuring clear transfer of project requirements and timeline, closely tracking progress for out-of-office teams.
* Reviewed contracts and authorized change orders that may arise.

**Project Manager**
Kharkiv Blockchain project, 01/2018 - 06/2018

* Delivered MVP of a suite of free-to-use, multi-platform applications including the world’s first fully-functional Decentralized Marketplace two weeks ahead of schedule.
* Assisted the client in receiving a large investment (Over $1 million) after MVP.
* Managed projects using Agile (Scrum, Kanban, Lean, XP) and Waterfall methodologies.
* Prepared, maintained, and communicated schedules, documentation, and statuses.
* Conducted risks and resource management.

**Skills**

* Agile (Scrum, Kanban, Lean, XP)
* Waterfall
* Project Management Office (PMO)
* Briefs, Estimation, Project Plan, Reports, Gantt Chart
* Risks Management
* Resource Management
* Touch Typing."
3135,"Certified SAFe® 5 Agilist

Experience:

Endava, December 2021 - Present

* Agile Project Manager
* Managed FinTech & Banking Project, completing main portion of Product’s Annual Roadmap on time and within budget, resolving scope creep issues, managing third-party dependencies, and establishing trustworthy and transparent communication and reporting.
* Created Discovery and Migration Strategy roadmap for data centre to AWS migration Project, facilitated Discovery process, and managed team ramp-up and onboarding.

Key IVR, March 2020 - November 2021

* Technical Project Manager
* Delivered 15+ projects on time and within budget, proficient in major International Gateways (Barclays EPDQ, WorldPay, Global Payments), conducted high-level technical review of specifications.

Zeroqode, March 2019 - March 2020

* Project / Product Manager
* Improved Backlog Health Status by introducing DoR & DoD, improved estimation accuracy, completed new landing page for company product, set up metrics and customer behavior tracking, increasing conversion by 10% and reducing CPA, completed growth-hacking company which brought 15% new clients with different subscription plans, conducted customer development through direct communication and surveys.

Enticon.app, December 2018 - February 2019

* Project Manager
* Configured workflow for first Kanban development team, decomposed technical assignments into estimable tasks, created and managed onboarding process for new team members, reported to C-Level management.

EBS Integrator, September 2018 - December 2019

* Project Manager
* Created complete project plan for Fix Price project, managed scope, time, cost, quality, HR, communication, and RAID, tracked major project metrics, facilitated and led demo sessions.

GoSocial, February 2018 - September 2018

* Project Manager
* Delivered 2 Web Projects within budget and time, managed on-site and outsource development teams, collaborated with internal departments to achieve post-launch goals.

Additional Qualifications:

* Completed Product Owner Mentoring Program hosted by Pentalog
* Proficient in Agile methodologies and project management tools."
3136," Project Manager, IT

• Over 10 years of IT experience, starting as a web developer in 2"
3137,"Agile Project Manager

• Implemented Agile best practices in 14 teams, setting up Scrum from scratch in 5 teams
• Managed live projects with over 100 successful production releases
• Served as Crisis Manager, guiding a team from zero releases to regular monthly releases
• Developed processes from idea to development, testing, and release
• Experienced Scrum Master and Product Owner, building and maintaining Scrum in teams from scratch
• Oversaw scope, release, people, risk, quality, and stakeholder management
• Established process standards, approaches, and culture development within development teams
• Coordinated the work of design and development departments
• Familiar with Scrum, Kanban, Nexus, and SAFe
• Experienced in fintech, health, e-commerce, social networks, education, and other industries
• Seeking a job with flexible work arrangements, in a product company with a positive atmosphere, where I can contribute to process creation and decision-making activities to improve development process's quality, speed, and transparency.

Accomplishments:
• Implemented Agile practices in 14 teams, setting up Scrum from scratch in 5 teams
• Performed as Crisis Manager, guiding a team from zero releases to regular monthly releases
• Coordinated the work of the design and development departments
• Conducted PM interviews and interviewed tech specialists in Project management interviews to ensure a new person fits a team and company values
• Gained experience in Scrum, Kanban, Nexus, and SAFe
• Worked in fintech, health, e-commerce, social networks, education, and other industries."
3138,"Karine
Project Manager

* 3 years in project management, delivering projects with a focus on reducing waste and achieving client goals
* Collaborated with software development teams, advocating for Scrum and Agile methodologies
* Established Jira environment with components and swimlanes, enhancing developer experience with the management platform

Contact Information:

* Available Mon-Fri, GMT+4 time zone
* [contact information removed for this example]"
3139," Certificates:
- Scrum, SAFe
- Soft Skills and Project Management, ITEA
- PMP Exam Preparation course (attended)

Experience:
- Managed multiple projects (2 large, 3 small), completing web solution for financial analysis
- Established IT Project Management Process in scrum methodology
- Led full project lifecycle (web development), maintaining budget
- Coordinated high-quality product releases, adhering to deadlines
- Facilitated team meetings (stand-ups, retrospectives, estimations, sprint planning)
- Planned sprints in Jira and Confluence, creating tasks, tracking time
- Fostered positive working environment, developing personal growth opportunities, reviewing team performance
- Collaborated with remote team
- Served as Scrum Master for 19-member team
- Prepared comprehensive Project Status Reports

Skills:
- Project Management
- Scrum, SAFe
- Jira, Confluence
- Remote Team Management
- Budgeting
- Agile Methodologies
- Web Development
- Personal Growth and Development
- Client Communication."
3140,"CSM

* Management 3.0
* Over 4 years of experience in the Game industry in the roles of Scrum Master, Scrum Coach, Project Manager, and Group Manager.

Responsibilities and achievements in previous workplaces:

* Grew company department from 10 to 40 employees
* Successfully implemented Agile values and principles (40+ people)
* Promoted adoption of scaled Agile best practices and tools for optimal business and product value delivery at the company level
* Cultivated a culture of quality (zero defects approach) across teams
* Managed and developed people in a matrix-like organizational structure, oversaw individual HR processes within teams
* Led continuous improvement in process and engineering practices at the company level
* Managed day-to-day operations for dispersed teams in Kiev, Kharkov, and Dnipro (20+ people)
* Empowered teams to become self-organized Scrum teams, capable of executing plans and meeting commitments
* Mentored and guided Scrum Masters in team ceremonies (sprint plannings, demos, retrospectives), as well as release planning, dependencies and risk management, impediments and issues resolution
* Supported development processes and measured team performance.

Seeking a job opportunity to fully express myself and achieve incredible results."
3141,"""Agile Project Management Experience:

• Over 5 years of leading agile teams in the development of iOS, Android, and web applications, working closely with global colleagues on a variety of challenging and dynamic projects.
• Proven ability to drive projects to successful and timely completion, serving as a dedicated point of contact for facilitating communication and collaboration between team members."""
3142," Pacto Systems, Ltd, UK
Scrum Master/Agile Project Manager
August 2017 - Present
• Led daily stand-ups, sprint planning, sprint reviews, and retrospective meetings, promoting Agile values and principles.
• Organized Agile teams, cultivating a culture shift towards Agile methodologies.
• Tracked team velocity, managed impediments, and achieved sprint goals.
• Conducted industry research, maintained customer relationships, and facilitated demos with clients.
• Elicited, elaborated, and documented requirements, investigating data discrepancies.
• Identified and documented relationships between datasets, modeled solutions, and produced BRDs.
• Ensured requirement alignment with business needs, obtained stakeholder approval, and maintained quality standards.
• Managed cloud platform and web application development projects, identifying and documenting change requirements.
• Analyzed processes, root causes, business impacts, and identified improvement opportunities.
• Ensured compliance with policies, standards, and best practices, evaluating processes, products, and services.

Tungus, LLC, Clermont, FL, USA
Agile Project Manager
October 2015 - October 2017
• Established company operations, automating processes, managing day-to-day tasks, and coaching/motivating the team.
• Managed effective and successful team operations, providing feedback and advice to the project team."
3143,"Project Manager and Scrum Master

• Practical expertise in IT areas: quality assurance, business analysis, and project management
• Proficient in SDLC and CI tools including Jira, Confluence, and Jenkins
• Strong proficiency in Agile (Scrum, Kanban) and Scaled Agile Framework
• Established tailored development and QA processes, implemented Scrum and Kanban ceremonies
• Proven experience in leading and coaching agile teams for 5+ years
• Scaled agile for up to 100 team members, established cross-team communication, synchronization, and release procedures
• Skilled in people management: personal development planning, hiring, on-boarding new team members
• Promoter of less bureaucracy, more agility, and common sense
• Passionate about product quality."
3144,"Running an Agile Team:

* Initiated and established an Agile team from scratch
* Facilitated daily scrums, sprint planning, sprint demos, and retrospective meetings
* Provided coaching to the team on following Agile/Scrum best practices

Client Delivery:

* Conducted demo presentations for clients to showcase project progress and deliverables
* Facilitated the estimation and project planning process, ensuring alignment with client expectations and deadlines

Team Onboarding and Mentoring:

* Onboarded newcomers during project execution, enabling a smooth integration into the team
* Mentored new team members, fostering their professional growth and development

Product Backlog Management:

* Assisted the Product Owner in creating and maintaining product backlogs
* Prioritized user stories and ensured they adhered to the defined user story template

Impediment Removal and Risk Management:

* Identified and removed impediments to ensure the team's smooth progress
* Conducted risk assessment and tracking to proactively address potential issues

Requirements Analysis:

* Analyzed user stories and requirements to ensure clarity and alignment with project goals

Additional Qualifications:

* Emphasis on professional growth and development throughout my career
* Office conveniently located near a metro station for easy commuting."
3145,"Here is your improved resume:

* Accomplished senior executive technical expert with 10+ years of experience in high-tech field.
* Results-driven and ambitious change agent dedicated to continuous business improvement, focused on revenue growth and operational efficiency.
* Profit-focused professional with multifaceted business expertise.

As CTO, created and developed Agrifinance.io from scratch, resulting in a successful product.
Gathered and led team as Head of PMO to develop the first crypto-bank at minexsystems.com.
Contributed to multiple small-scale projects as Senior Project Manager at state reformatory startup prozorro.sale.

Certified Project Management Professional (TUV Rheinland).
Certified ISO 9001 Specialist (TUV Rheinland, Cologne, Germany).
Scrum Master.

Demonstrated ability to manage teams of up to 160 technical professionals.
Experience with Fixed Price and Time & Material contracts.
Familiar with Scrum, Kanban, and Waterfall methodologies."
3146,"Certified Agile Project Manager (ICP-APM) and Certified Scrum Master (PSM I) with 3+ years of experience in delivering projects effectively. Managed projects from ideation to commercial launch, improving company structures through the implementation of Scrum framework, Kanban, and project management tools.

Expert in setting up effective working processes for in-house and distributed development teams, ensuring project goals are met within time and budget constraints. Strong communication and leadership skills, with the ability to inspire and coordinate all project activities to exceed set targets.

Proficient in preparing and facilitating reports, workshops, and meetups on Lean Startup, Lean Software Development, Agile, Scrum, and other methodologies. Committed to spreading Agile culture and mindset, ready to be a change agent in any environment."
3147,"1. Established and led two teams in Ukraine: an IT engineering team for software development and a game/platform operational team.
2. Implemented agile/scrum methodology in development process.
3. Mentored, coached, and organized team building activities.
4. Launched and operated a Fantasy Sport startup as a separate business entity.
5. Designed and developed various casino games using Flash and HTML.
6. Simultaneously managed four mobile projects (iOS and Android), overseeing business documentation and development specifications.
7. Proficient in IT and Business practices: Agile Project Management, Business Analyst, PMBOK, BABOK, SCRUM, Kanban, Waterfall, Mobile & Web SW development, iGaming & Casino industry.
8. Experienced in Business Competence: Startup and Business Development, Marketing and Sales, Public Speaking, Brand and Product Management, Customer Service, Company and People Management, Team Building, Coaching and Motivation.
9. Demonstrated leadership skills in managing teams of over 20 members in companies from the UK, Germany, and Switzerland.
10. Fluent in English, Upper-Intermediate in German, Low-Intermediate in Polish, Native in Ukraine and Russian.
11. Seeking a challenging enterprise-level project with a positive team environment that encourages creativity, open-mindedness, politeness, and respect.
12. Eager for new experiences, challenges, and professional growth."
3148,"---
Software Development Professional with 12+ years of experience, currently excelling as an Agile Project Manager and Scrum Master. Demonstrated success in improving project processes, implementing Agile practices, leading project teams, and driving business results.

Previously held positions as a Software Developer and Architect for 10+ years, creating high-quality software for US and European clients. Proficient in C/C++.

- Exceptional communication skills, experienced in building consensus and resolving conflicts
- Quickly masters new tools, techniques, practices, and methodologies
- Strong leadership abilities, well-honed networking skills, and a passion for problem-solving and decision-making
- Adept at explaining complex information clearly and concisely
- Skilled at bridging communication gaps between top management, clients, and team members

Fluent in English, as well as native Russian and Ukrainian.

If you have a project I can assist with, please contact me."
3149,"* Over 8 years of IT experience, with a strong focus on Agile methodologies
* Excelled as an Agile Project Manager and Delivery Manager for 4+ years
* Proficient in Scrum, Kanban, Lean, and other Agile techniques to optimize product development
* Pioneered company-wide implementation of Kanban approach, resulting in a 2x increase in deliverables and a 33% reduction in time to market
* Successfully led cross-functional units of over 40 FTEs and managed organizations of more than 100 FTEs
* Experienced in collaborating with atomic Scrum teams
* Eager to help organizations become ""harder, better, faster, stronger.""
* (Previous resume text follows)"
3150,"Work Experience:

Delivery Manager & Scrum Master | Project | 40+ team members | 2 years

- Managed and coached 3 Scrum teams concurrently
- Implemented release management process for 3 teams across multiple domains/functionality
- Developed and established requirements gathering, processing, and implementation process from scratch
- Conducted high-level Q-planning and implemented team performance metrics from scratch
- Achieved 4.9/5 in overall team feedback satisfaction
- Led and managed 25+ team members in various environments
- Successfully led FinTech and Healthcare projects with $100-150K monthly budget

Scrum Master | Various Projects | 1 year

- Led cross-functional teams, including developers, QA, BA, and stakeholders
- Established peopleware practices such as 1-to-1 meetings and check-ins
- Facilitated agile ceremonies including sprint planning, daily stand-ups, and retrospectives
- Set up delivery process and arranged iteration demos
- Facilitated communication between development team and product owner
- Conducted Scrum workshops

Project Manager | Various Projects | 2 years

- Created and executed development plans
- Processed change requests and managed risks associated with requirements changes
- Managed risk register and mitigation planning
- Reported progress and informed about changes
- Analyzed and described requirements through stakeholder interviews and user story mapping."
3153,"IT Professional with 11+ years of experience in the IT industry, specialized in Agile project management for over 7 years. Proficient in Scrum and Kanban process models, with a focus on continuous improvement of hard and soft skills through regular trainings.

Expertise:

* Agile
* Scrum
* Kanban
* Project Management
* JIRA
* Risk Management
* Conflict Management
* Change Management
* Team Building
* Motivation
* Applications Deployment

Passionate about helping individuals grow and thrive in a dynamic, challenging, and friendly work environment. Seeking a fun and engaging place to work."
3155," * Agile Transformation: Led transformation of 50+ person organization to Agile methodology
* Scrum Master:
	+ Served as Scrum Master for 5 parallel teams
	+ Facilitated daily stand-ups, sprint planning, and retrospectives
* PMBOK: Managed projects in accordance with Project Management Body of Knowledge (PMBOK) best practices"
3156,"Improved efficiency and self-management in three teams

* Reduced dependencies between areas of responsibility
* Facilitated release of sprint increments
* Implemented increased readiness criteria
* Removed obstacles impeding team goals
* Ensured Scrum events were positive, productive, and timeboxed

Assisted three Product Owners in:

* Defining product and sprint goals
* Product Backlog management
* Planning preparation and implementation
* Facilitating stakeholder interaction and communication

Promoted understanding of agile approaches and implemented beneficial practices through:

* Adaptation and fine-tuning of tools
* Optimization and creation of process work modes
* Fostering productive relationships between people
* Assisting in hiring staff
* Facilitating cross-departmental interaction and collaboration
* Removing obstacles between departments and teams to ensure cooperation."
3157,"International Project Management Master’s Candidate, Vilnius University
Lithuanian State Scholarship Recipient

* Currently pursuing a Master’s degree in International Project Management at Vilnius University.
* Experienced in working with self-managing and cross-functional developer teams, both remotely and in-office.
* Facilitated Scrum events, including sprint planning and sprint retrospectives, for Fintech-related projects.
* Track project schedules, oversee information exchange, and ensure adherence to Agile/Scrum principles.
* Proficient in Notion, Jira Atlassian, and Ms Project for tracking product development life cycle.
* Involved in idea generation, UX research, wireframing, and QA/debugging as part of Scrum journey.
* Seeking to expand agile management skills and explore new opportunities.
* Enthusiastic about working with development teams, particularly in a startup environment.

Gulnar Abasova."
3158,"• 5+ years of hands-on experience managing distributed teams, including 3 years as a Scrum Master
• Proficient in project management best practices, specializing in Agile methodologies
• Skilled in facilitating Scrum Ceremonies, removing impediments, and fostering a collaborative team environment
• Experienced coach for agile teams, promoting self-organization, cross-functionality, and high-performance culture
• Demonstrated ability in building and maintaining trustful relationships with clients and stakeholders, managing communication processes, driving meetings, and providing regular reporting
• Proven expertise in tracking project statuses, risk management, and collecting metrics
• Strong problem-solving, analytical, and research skills
• Experienced in people management, including resourcing and recruitment for projects
• Hold certifications in Scaled Agile Framework (SAFe) 5.0 Scrum Master, Advanced Scrum Master, and AgilityHealth® Facilitator for SAFe®."
3159,"Agile Project Manager / Scrum Master

• Led diverse teams of varying sizes across multiple projects, ensuring alignment with business objectives and timely completion of project milestones.
• Defined and implemented optimal processes and tools for each project, adapting approach based on project-specific requirements and client goals.
• Fostered strong team building and communication skills, effectively managing frequent changes and updates.
• Facilitated Scrum ceremonies, coached team members in Agile principles and practices, and tracked project progress using tools such as Jira, Trello, etc.
• Collaborated with stakeholders, providing regular updates on project status and ensuring alignment with client goals.

Skills:
• Agile / Scrum methodologies
• Team building and leadership
• Process definition and optimization
• Communication and stakeholder management
• Adaptability and problem-solving
• Project management tools (Jira, Trello, etc.)."
3160,"Experienced IT Professional with over 12 years in the industry, including 11+ years in IT Management and 4+ years in Agile.

- Led IT teams of up to 30 engineers in outsource and product development projects.
- Established engineering teams and fostered Agile community, promoting Agile values.
- Proficient in Agile (Scrum, XP, Kanban) and Waterfall methodologies, practices, and frameworks.
- Experienced in Scrum Master and Product Owner roles, with a strong focus on soft skills, leadership, and mentoring.
- Skilled in Project Management tools.
- Demonstrated success in delivering projects through all stages, from initiation to closure.
- Holds certifications including CSM, CSPO, and ICP-APM.
- Managed and delivered various live projects with professional management."
3161,"Experienced IT Project Manager

10+ years of experience managing full-scale projects in IT companies, with a proven track record of delivering over 20 projects of various sizes and complexity. Led distributed teams of up to 50 people and simultaneously overseen more than 5 projects.

* Built relationships with stakeholders from diverse domains and quickly adapted to new subjects.
* Prioritized client needs and team welfare.
* Successfully released over 5 products in the past year, including platforms, marketplaces, mobile apps, and websites.

Note: This revised resume accurately represents the information provided in the original resume, with a focus on clarity and concise language. No additional facts or unverified information have been included."
3162," Senior Scrum Master & Agile Coach

• Led up to 5 teams (35 FTE) as a Senior Scrum Master, managing portfolio-level risks, releases, and delivery planning.
• Served as an Agile Coach in a LessHuge setup for 1 product area, overseeing 6 teams, organizing workflow, coaching POs, and facilitating multi-team events.
• Project/Delivery Manager with expertise in full-cycle ERP projects, including CRM, sales, logistics, and finance, at Carlsberg Ukraine. Implemented UPS logistic for 60 distributors, supporting and consulting over 3000 users.
• Managed projects with time and material and fix price approaches, serving as a Senior Scrum Master for 30+ team members (5 internal teams) and Agile Coach for 1 product area (6 teams).
• Collaborated closely with POs, stakeholders, and teams, providing process management, coaching, administrative, and technical support for projects.
• Proficient in: SQL, HTML, CSS, JS, React, .Net, Core, GitHub, Jira tools, TFS.
• Experienced in: web development, server management, administration, tendering, negotiations, conducting trainings for users and stakeholders.
• Fluent in English.
• Motivated by creative, friendly environments and dynamic processes; interested in working with diverse countries and domains; and committed to continuous improvement and effectiveness."
3186," Here's an improved version of your resume, maintaining the original content while enhancing readability and clarity:

1. Managed and coordinated up to 30 projects, consistently demonstrating exceptional multitasking abilities, maintaining high standards of quality, and ensuring efficiency.
2. Orchestrated large-scale data operations projects, facilitating seamless collaboration between customers and data labeling teams.
3. Assisted customers in developing and implementing production-grade data labeling pipelines, optimizing annotation workflows for efficiency and accuracy.
4. Cultivated a strong customer service orientation by tracking key metrics, promptly addressing customer concerns, and delivering superior results.
5. Evaluated and optimized the performance of the data labeling workforce, providing guidance, support, and fostering productivity to achieve outstanding outcomes.
6. Conducted regular calls with customers and service providers, building and nurturing strong relationships to facilitate effective communication channels.
7. Accurately calculated customer budgets and estimated costs for service providers, promoting financial transparency and cost-efficiency.
8. Created comprehensive statements of work (SOW), ensuring ongoing alignment with stakeholders, and establishing clear expectations for project deliverables.
9. Proactively monitored industry trends and emerging technologies, leveraging insights to provide valuable recommendations for product enhancements and process optimizations.
10. Supervised and guided the Data Labeling Quality Assurance team, upholding stringent quality standards and fostering continuous improvement.
11. Collaborated closely with service providers, cultivating strong partnerships, and driving successful project delivery.
12. Demonstrated exceptional leadership skills, fostering a collaborative and inclusive work environment, and encouraging cross-functional cooperation.
13. Leveraged outstanding organizational and multitasking abilities to manage a substantial workload, consistently meeting deadlines and achieving project milestones."
3225," AMAZON MARKETING MANAGER
Digiorange, Brooklyn, NY, USA (Jan. 2022 - Present)

* Devise and execute marketing strategies for Amazon, increasing sales and enhancing brand visibility.
* Handle a wide-ranging portfolio of cases, specializing in over 10 niches.
* Pioneered a unique process for managing reputation.

MARKETING PROJECT MANAGER
TBI-PRO, Chicago, IL, USA (Sep. 2021 - Jan. 2022)

* Managed marketing projects, ensuring timely completion and alignment with company objectives.
* Directly contributed to 6 cases from the initial stages.

MARKETPLACES PROJECT MANAGER
FDS-IT, Staten Island, NY, USA (Dec. 2018 – Sep. 2021)

* Managed projects related to various marketplaces, demonstrating adaptability and a deep understanding of different platforms.
* Developed and implemented strategies for reputation management.

AMAZON MANAGER
Shopping Cart Elite, Brooklyn, NY, USA (2015 - 2018)

* Led Amazon-related initiatives, resulting in significant growth and improved performance."
3315," Use Cases and User Stories Writing

* Experienced in writing clear and concise use cases and user stories to effectively communicate customer needs and requirements

Business Process Management & Agile Practices

* Proficient in BPMN, Agile, and Scrum methodologies, with a track record of successfully driving projects using these frameworks

Requirements Gathering & Management

* Planned and defined business analysis activities, business needs, and solution scope for various projects
* Conducted stakeholder analysis and elicitation activities to identify key stakeholders and understand their needs
* Collected, analyzed, and documented business, functional, and non-functional requirements
* Managed requirements communication and validation to ensure alignment with project goals and objectives
* Facilitated knowledge transfer to stakeholders to ensure smooth project handover

Project Management

* Proficient in Excel and Visual Basic (VB) for project planning, tracking, and reporting
* Demonstrated ability to handle professional growth opportunities, challenging tasks, and friendly team dynamics"
3321," Organization: Kyivstar Private Joint Stock Company
Position: Commodity Market Research Analyst-Specialist
• Managed marketing research projects, conducting negotiations and consultations with customers, communicating with contractors, managing document workflow, planning research and budget, managing databases, and forming queries by parameters.
• Studied the Telecom market, providing relevant primary and secondary marketing information.

Organization: Silpo-Food LLC (Fozzy Group)
Position: Research Manager
• Managed marketing research projects, conducting negotiations and consultations with customers on research design, conducting ad-hoc and longitudinal studies, programming questionnaires, processing and analyzing data, preparing reporting materials, and presenting research results.
• Controlled the work of field supervisors and operators, obtaining relevant primary and secondary marketing information.

Skills:
• Data processing using SQL, Tableau, and other instruments.
• Conducting surveys to test working hypotheses.
• Motivated in further development as an Analyst."
3332," * Designed and implemented software solutions, including a customer relationship management system and desktop application
* Conducted comprehensive market analysis to identify customer needs and market trends
* Facilitated effective communication with stakeholders to ensure alignment with business goals
* Led development by establishing clear system requirements, setting realistic goals, and determining deadlines
* Produced detailed prototypes to effectively visualize system functionality and user experience
* Conducted rigorous User Acceptance Testing to ensure system met requirements and was ready for implementation
* Proficient in utilizing MS Project, Trello, Atlassian, Office 365, Pencil and Paper for project management and design."
5877,"Architecture / Databases
– Designed and implemented up to 50 Terabyte data storage using Hadoop
– Developed serverless architecture with near-zero idle cost
– Implemented infrastructure-as-code on k8s and delivery process with minimal DevOps involvement

Product/Project Management
– Led Messenger project on popular mobile platforms, launched full-featured product on Apple Store and Google Play in 6 months from scratch
– Recognized for implementing cost-saving measures in SDLC process

Human Resources
– Hired 50+ developers in 4 months with less than 5% turnover

Latest Projects
– [NDA Project], 2019 – Role: Architect/DevOps – Implemented infrastructure-as-code on AWS, Terraform, Kubernetes, Helm, CI/CD
– Ternary Intelligence - <http://ternaryintelligence.com>, 2018 – Role: Architect/Project Manager – Designed serverless AWS cloud architecture in fintech scope
– One space - <https://spywords.ru>, 2018 – Role: Architect/Data Science – Developed Hadoop infrastructure, web scraping, data engineering
– Defcom - <https://defcom.com>, 2016 – Role: Project Manager/Architect – Managed mobile development, secure messaging

Interested in working on live projects."
5981," Product Manager, HeyJoy Toy Store
- Developed and launched a retail-tech startup app in the US
- Successfully delivered minimum viable product (MVP), validating value hypothesis

AR Project Lead, Snap
- Managed large-scale AR projects for notable clients: Disney, Nike, Microsoft, Universal, and Verizon
- Pioneered internal AR innovations at Sponsored AR department

Project Manager, Snap
- Managed complex and challenging AR projects development at Sponsored Lenses department
- Balanced client expectations and team capabilities, ensuring project success
- Assessed potential risks, adjusting development strategy as needed
- Optimized processes between cross-functional teams, enhancing collaboration and efficiency

Product Development Expertise:
- Proficient in creating new products, progressing from idea generation to MVP and launch
- Experienced in negotiating with clients and production teams, ensuring project success"
6043," Project Manager
SoftServe
October 2021 - present

* Managed and delivered multiple projects on time and within budget
* Collaborated with cross-functional teams to define project scope and objectives
* Implemented project management best practices and tools
* Communicated project status to stakeholders and management

Service Manager
Veteran Hub Dnipro
September 2020 - September 2021

* Oversaw day-to-day operations of the service department
* Hired, trained, and managed service team
* Established and monitored service level agreements
* Implemented process improvements to increase efficiency and customer satisfaction."
6078," * Experiences with renowned GameDev companies globally
* Contributed to numerous prominent titles in the GameDev industry
* Proficient in estimating new project scopes based on references and briefs
* Skilled in email correspondence and partner calls
* Experienced in managing projects/batches throughout the full development cycle, from kick-off call to internal retrospective
* Proficient in creating and allocating tasks to the team of artists
* Conducted daily meetings with project teams
* Collaborated with Legal and Finance Departments, managing legal documents, agreements, invoices, and payments
* Skilled in calculating project efficiency, re-allocating resources, and risk management
* Experienced in maintaining project efficiency and handling change requests, including gathering information, preparing arguments and proofs, and setting up meetings
* Proficient in project/batch closure, checking team tracking in Jira, conducting retrospectives, and issuing final invoices
* Strong focus in the GameDev industry
* Proven experience in product companies
* Track record of maintaining a healthy work environment within the team and office."
