Unnamed: 0,modified_Llama/meta-llama/llama-3.3-70b-instruct:free
18,"Account and Project Manager
Dutch SAAS Company

Responsible for managing accounts and projects for a software company that provides supply chain mapping and risk management solutions to European clients.
Key Responsibilities:
- Advise international clients on software solutions and market developments
- Prepare budgets and manage ongoing projects
- Coordinate with IT team to ensure project delivery
- Serve as primary point of contact for client inquiries and issues
- Ensure client satisfaction

Software Proficiency:
- In-house software
- Teamleader
- MS Office
- Tableau

Supply Chain Management:
- Target market: Europe
- Supply management: Worldwide"
19,"Account Manager
ProfiAds (Advertising & Event Agency)
June 2015 – Present

Key Qualifications & Responsibilities:
- Led project documentation, including negotiation with clients, contract signing, customer communication, and correspondence with shopping centers, as well as budget management
- Conducted on-site meetings to discuss placement agreements and supervised project launches in various cities across Ukraine
- Coordinated team efforts, collaborating with designers to create layouts and obtaining client approval
- Managed advertising placement, including designing printed layouts, sourcing contractors, overseeing installation, resolving logistical issues (import/export equipment), obtaining necessary permits, and controlling installation and dismantling processes

Notable Projects:
- Successfully launched large-scale projects in multiple shopping centers across Ukraine for prominent clients such as Vodafone, Davidoff, Mary Key, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo."
20,"Result-Oriented Account Manager/Project Manager

Highly organized and diligent professional with 5+ years of experience in product and outsource companies, boasting 19 commercially launched projects. Proven track record of effective written, oral, and interpersonal communication skills, with the ability to work under pressure and manage multiple projects simultaneously.

Key Responsibilities:
- Facilitating Scrum events across various teams
- Planning and managing internal and external project communications
- Controlling staffing processes
- Managing project, financial, and invoicing documentation and processes
- Leading internal delivery teams to ensure successful project delivery
- Estimating software implementation requests, including goals, cost, scope of work, and efficiency
- Planning and controlling software development processes
- People management, focusing on building effective and collaborative project teams, and promoting individual and team performance

A positive and open-minded team player, driven by the success of the project and personal growth, seeking a company with a strong team spirit to further develop experience and skills."
21,"Sales Account Manager
Highly skilled Sales Account Manager with over 4 years of experience in building long-term relationships with customers and driving business growth.

Key Responsibilities:
- Process verified leads to identify new business opportunities
- Understand customer needs and develop effective plans to meet them
- Gather project requirements and create accurate project quotes
- Negotiate and close deals to achieve sales targets
- Manage accounts from project start to completion
- Moderate business meetings with prospects, customers, and internal teams
- Issue invoices and ensure timely payment

Strengths:
- Excellent communication skills with ability to bridge gaps between customers and development teams
- Strong negotiation and closing skills
- Ability to work effectively in a team environment

Career Aspirations:
- Develop skills in Account and Project Management
- Work in an environment with an informal and friendly team spirit
- Establish well-structured business processes
- Have access to guidance and mentorship during the initial stages of a new role"
22,"Account/Project Manager

Summary:
Results-driven professional with 1.5 years of experience in account and project management, leveraging strong communication skills to deliver high-quality results.

Experience:
Account/Project Manager
- Managed multiple projects simultaneously, prioritizing tasks and performing them efficiently
- Prepared contracts, agreements, and budgets for clients
- Conducted website testing and analysis
- Demonstrated accuracy and responsibility in all aspects of project management

Skills:
- Effective communication and interpersonal skills
- Contract and agreement preparation
- Budgeting and financial management
- Website testing and analysis
- Task prioritization and time management
- Results analysis and process improvement

Personal Qualities:
- Committed and determined
- Strong focus on quality of work
- Ability to find common ground with team members and clients
- Accurate and responsible with a strong work ethic"
23,"**Summary**
Results-driven and passionate professional with experience in account management, project management, and sales. Proven track record of driving revenue growth, building strong relationships, and leading teams. Skilled in strategic planning, stakeholder management, and project execution.

**Professional Experience**

**Key Account Manager, Glovo**
- Sold in-app instruments and promotional campaigns to partners, increasing GMV and CPO by 4,000 euros monthly
- Developed and managed partner relationships, owning strategic partnerships end-to-end
- Delivered campaign execution, optimization, and analysis across multiple clients
- Analyzed partners' business performance, ensuring growth month-over-month

**Account Manager, International Company**
- Coordinated a team of 10 people as the sole Account Manager for the region
- Sold B2B functionalities for over 4,000 euros
- Doubled top 10 partners' revenue in 2-3 months

**Project Coordinator/Founder**
- Led a project helping students learn business basics with opportunities for university entry with discounts
- Managed inbound and outbound leads, conducted training, and mentored teams
- Led technical and administrative teams of 60 people

**Key Customer Manager, Dubai**
- Promoted vendor products, increasing sales and designing strategic sales plans
- Built and maintained long-lasting customer relationships
- Negotiated contracts and onboarded new customers

**Assets Sales Manager**
- Sold assets worth over 20,000 dollars in 3 months
- Ensured product and sales materials were updated and focused
- Prepared franchises for sale and managed financial reporting

**Education and Achievements**
- Alumna of the Study US Institutions program for Women Leaders
- Winner of the International Case Championship in Almaty, 2018
- Published in a local internet resource

**Skills and Values**
- Strategic planning and execution
- Stakeholder management and relationship building
- Project management and team leadership
- Sales and revenue growth
- Values ownership, drive, healthy atmosphere, and growth in a company"
24,"Event Sales Manager & Account Management Professional

Results-driven professional with 10+ years of experience in account and project management, sales, and team leadership. Proven track record of driving sales growth and building long-term relationships with clients.

Key Achievements:
- Successfully sold and implemented 300+ projects as an Event Sales Manager at a hotel and restaurant complex, with upsales reaching up to 200% of the primary cost.
- Built and maintained strong relationships with clients, delivering 2-8 projects with consistently good and excellent feedback.
- Led, trained, and managed a team of 8 people, and engaged 20+ partners for a startup, fostering a collaborative and results-driven environment.

Account Management Experience:
- As an Account Manager (BTL), selected and trained personnel who achieved 30% higher results than expected, demonstrating expertise in team development and performance optimization.

Core Competencies:
- Hire, train, motivate, and manage efficient teams to achieve exceptional results.
- Developed a startup from scratch, leveraging deep marketing knowledge and strong negotiation skills.
- Creative, goal-oriented, and adept at driving projects forward.

Professional Experience:
- 3+ years in Event Sales Management at a hotel and restaurant complex.
- 5+ years in Account Management and Event Coordination, with a focus on B2B and B2C sales.

Career Objectives:
Seeking challenging opportunities that utilize previous experience and offer new professional growth. Preferable positions include Event Manager, Account Manager, and Project Manager, with a focus on roles that do not involve cold sales."
25,"Results-driven professional with international sales and business development expertise, seeking to leverage experience in global account management to drive growth. Proven track record of success in managing key international accounts, with a strong foundation in communication, analysis, and self-improvement.

Sales Manager (2 years)
- Managed sales operations and drove business growth
Head of Sales Department (1.5 years)
- Led sales teams and expanded departmental capabilities
Global Account Manager (2 years)
- Successfully managed global accounts, fostering strong relationships and driving revenue growth

Key strengths include:
- Effective communication and analytical skills
- Strong desire for self-perfection and professional development
Seeking an Account Management role, focusing on strategic account growth and development, rather than primary sales or sales team management."
26,"As a seasoned Product Manager, Project Manager, and Scrum Master, I have successfully driven business growth and managed complex projects across various industries, including Finance, Logistics, Mobile games, Services, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment.

Key Highlights:

* Successfully opened a new sales direction in one of the most popular educational platforms in the USA, expanding into the Australian market
* Proven track record of managing 2-20 FTEs, up to 10 projects simultaneously, with expertise in Agile methodologies and Scrum framework
* Skilled in setting up processes according to Scrum methodology, working with Agile mindset, creating roadmaps, and conducting annual evaluations

Professional Experience:

Senior Project Manager, Scrum Master, Business Analyst, and Product Management responsibilities
September 2022 – August 2023

* Mentored and coached team on Agile ceremonies, practices, roles, and artifacts
* Facilitated Scrum ceremonies, adapting them to team needs, and ensured adherence to Scrum values
* Helped team maintain focus on priorities, achieving Sprint and product goals
* Identified customer needs, defined vision, and aligned stakeholders
* Prioritized product features and capabilities, establishing and monitoring timelines for product launch

Senior Project Manager, Scrum Master
August 2019 – August 2022

* Managed web, desktop, and mobile applications development processes
* Managed multiple projects in parallel, ensuring timely issue resolution and risk management
* Facilitated Scrum events, adapting them to team needs, and monitored progress

Team Lead Project Manager, Appus Studio, Kharkov, Ukraine
May 2019 – August 2019

* Assisted in project development, implementing complex tasks, and eliminating critical errors
* Set clear goals and priorities, providing technical advice to employees
* Participated in customer calls and meetings, as well as employee adaptation and motivation processes

Areas of Competence:

* Product backlog management
* Annual planning and OKR methodology
* People management and coordination
* Project management
* Management of co-located and distributed teams
* Balancing critical issue resolution and competing priorities
* Project progress and metrics reporting

Hobbies:

* Speaker at A-Level School (April 2019 – Present)
* Digital Drawing"
27,"Project Manager at Non-Profits
- Created a new workspace from scratch in Monday CRM to keep team members updated daily
- Trained 5 interns who became strong team members
- Converted existing spreadsheets to the Monday CRM system, streamlining data management and improving workflow efficiency
- Led integration and training for a seamless transition to the new CRM system
- Prepared comprehensive monthly and quarterly reports for clients, highlighting key performance metrics and achievements
- Established a standardized reporting process, improving client satisfaction and retention
- Developed an external e-learning course on grant writing from scratch using LearnWorlds.com

Underwriting Manager
- Received and evaluated over 600 application packages from clients, ISOs, and others, providing feedback
- Analyzed statistical data using specialized computer programs, including Jarvis CRM
- Boarded 95 approved merchant applications in the system
- Maintained daily contact with new and existing clients

Account Manager
- Pre-filled application packages based on client supporting documents
- Submitted application packages to banks and maintained contact with bank representatives for status updates
- Trained new employees on company customer management policies
- Kept the CRM workflow updated
- Helped over 200 clients get their accounts approved in US banks"
28,"07/2022 - Present
Account Manager at Sparkybit (Germany)

Key Responsibilities:
• Building and maintaining strong, long-lasting customer relationships
• Resolving complaints and preventing potential issues
• Conducting client satisfaction surveys and reviews
• Engaging in consistent customer meetings to positively impact client loyalty and revenue growth
• Managing existing accounts, solving business and technical issues in collaboration with the team

01/2022 - 06/2022
Account Manager at DevPals AB (Sweden)

Key Responsibilities:
• Communicating with clients to ensure customer success and satisfaction
• Developing trusted advisor relationships with key accounts
• Assisting with challenging client requests or issue escalations
• Ensuring timely and successful delivery of solutions according to customer needs
• Assisting in lead generation on Upwork

11/2017 - 09/2021
Business Sales Manager at North-wine (Denmark)

Key Responsibilities:
• Searching for new key customers
• Conducting calls to potential clients to introduce the website
• Assisting in controlling the product range and its display on the website
• Corresponding with existing customers to determine their needs and find suitable products
• Assisting in working on a database of products, pricing management, and wine market monitoring

10/2016 - 11/2017
Head of Logistics at Gold.ua (Ukraine)

Key Responsibilities:
• Controlling delivery at all stages, as well as control of receivables over all branches of the company
• Making complaints to obtain compensation when orders were lost or damaged
• Settling disputes with customers in case of problems with timely delivery of goods"
29,"**Summary**
Results-driven professional with 3+ years of commercial experience as a project manager, skilled in contract management, communication, and team collaboration. Proven ability to create and develop strong relationships with partners and colleagues, with a strong analytical mindset and decision-making skills.

**Technical Skills**
- Proficient in MS Office and Google Workspace
- Strong Excel skills
- Knowledge of 1C and other accounting programs
- Experience with Client-Bank system
- Understanding of Scrum and Agile principles

**Professional Experience**

**IT Project Manager, Online Web Service Startup (February 2021 - Present)**
- Plan and control task execution
- Manage scope, schedule, and budget
- Provide statistical and detailed information to management for project evaluation
- Assist the team in delivering work to the product owner

**Director, OOO Interlagos (2020 - January 2021)**
- Analyze, develop, and implement plans according to goals and objectives
- Develop business processes for production and monitor reporting
- Analyze competitors

**HR Manager, PrAT Hotel Salut (April 2016 - May 2019)**
- Search and attract new staff
- Manage personnel records: registration, transfer, dismissal, and work book maintenance
- Work with 1C 8.3 and MED program

**Skills**
- Contract experience
- Good communication and soft skills
- Ability to create and develop strong, long-term relationships
- Analytical mindset with understanding of cause and effect relationships
- Self-motivation, self-improvement, and high goal setting
- Punctuality, attention to detail, and responsibility
- Extensive experience in stress and conflict resolution"
30,"Here is the rewritten resume:


Summary:
Results-driven professional with experience in team management, sales, and account management, particularly in high-risk industries such as media buying and payment solutions.


Work Experience:


Head of Department (Media Buying)
Various (March 2022 - July 2022, 4 months)
- Managed a team of 4 people, providing resources for advertising specialists
- Led department operations, ensuring efficient delivery of services


Project Manager (News Project)
Various (dates not specified, 3 months)
- Oversaw all aspects of the project, including planning, recruitment, quality control, and team management
- Led a team of 8-10 employees, handling tasks such as salary payments and bonus accruals


Sales/Account Manager
PAYADMIT (March 2022 - Present)
- Generate leads, establish initial client contact, and sell payment solutions
- Provide client support throughout all stages, resolving disputes and conflicts
- Calculate and prepare offers for clients


Account Manager (Media Buying)
ACIDBRO (January 2021 - March 2022)
- Prepared and set up advertising accounts
- Managed high-risk ad campaigns (including Gambling and Betting)
- Assisted the technical department with tasks such as server purchases, hosting, and application downloads


Skills:
- Team management
- Sales and account management
- Media buying and advertising
- High-risk industry expertise (Gambling and Betting)
- Payment solutions
- Conflict resolution and client support"
31,"Experienced IT Professional

Summary:
Highly detail-oriented professional with experience in testing, web development, and project management. Proficient in semantic languages, JavaScript, and agile development processes.

Technical Skills:
- HTML
- CSS
- JavaScript
- jQuery
- React

Experience:
- Testing: specification analysis to re-testing
- Web Development: created sites using semantic languages and added interactivity with JavaScript and libraries
- Application Development: understanding of development processes
- Project Management: familiar with agile development processes, project management tools, and creation of technical documentation
- Project Planning: experience with Gantt charts and Roadmaps
- Design Collaboration: participated in mockup creation
- Business Operations: involved in invoice creation and negotiations

Language Skills:
- English: ready to interview"
32,"McCann Kyiv (Client – Vodafone, Unicef, Carlsberg)
Senior Account/Project Manager

Core Responsibilities:
• Coordinated and managed projects at all stages
• Managed TVC (local shooting), OOH, and video production
• Conducted tender holding, briefing, and worked with vendors on budgeting, payment terms, and timing control
• Collaborated with internal creative team, selected resources for project implementation, and ensured control and coordination
• Prepared and submitted daily, weekly, and monthly reports to clients and the agency
• Controlled finance data

Cheil Ukraine (Samsung Electronics Ukraine)
Project Manager

Core Responsibilities:
• Coordinated and managed projects at all stages
• Managed TVC, OOH, Retail (POSM), digital, BTL, and video adaptation projects
• Conducted tender holding, briefing, and worked with vendors on budgeting, payment terms, and timing control
• Collaborated with internal agency team, selected resources for project implementation, and ensured control and coordination
• Prepared and submitted daily, weekly, and monthly reports to clients and the agency
• Controlled finance data"
33,"New Engineering Outsourcing Business Development

Results-driven professional with 6 years of experience in project management across IT banking, digital marketing, aerospace, and automotive industries. Proven track record of successfully managing projects from scratch, acquiring new customers, and expanding existing projects with additional staff.

Key Skills and Experience:
• Project management expertise in multiple industries, including IT banking, digital marketing, aerospace, and automotive
• Proficient in frameworks: ITIL, Kanban, PMBoK, BPMN
• Skilled in using tools: Omnitracker, Jira, MS Project, Visio
• Experienced in negotiations, sales, regulations, and business process description
• Strong educational background: PM Master Degree Diploma, IPMA certified
• Excellent language skills: British Council Diploma - Business English Advanced 95%
• International experience: 3 years of on-site work experience in the US

Career Highlights:
• Developed and managed new engineering outsourcing business from scratch
• Successfully acquired new customers with projects and expanded existing projects with additional staff
• Collaborated with cross-functional teams in a mature corporate culture, working on big and interesting projects with a friendly, open-minded team."
34,"Results-driven professional with experience in IT industry, seeking a challenging role as Project Manager, Project Coordinator, Account Manager, Business Analysis, or Business Development Manager.

Summary:
Proven management skills, with experience as Sales Manager in a startup and Regional Director, overseeing documentation and team communication. Proficient in business communications, negotiations, issue resolution, and risk management. Fast learner with a strong foundation in technical aspects of the industry.

Professional Experience:
- Sales Manager, startup company: Utilized management skills to drive sales growth.
- Recruiter: Developed skills in talent acquisition and recruiting.
- Regional Director: Managed documentation and communication between team and company owner abroad.
- Customer Support Manager: Provided exceptional customer service and issue resolution.

Education and Training:
- Completed Project Management courses, enhancing skills in project management, risk management, and customer negotiation.

Skills:
- Business Communications
- Business Negotiations
- Issue Resolution
- Requirements Analysis
- Risk Management
- Conflict Resolution
- Customer Service
- Public Relations
- International/Intercultural Relations
- Recruiting
- Talent Acquisition
- Translations

Language Proficiency:
- English: Upper-Intermediate to Advanced level, as per English test results."
35,"Personal Rewards & Recognitions:
CEO Award 2014
CBN Award 2013

Professional Experience:

Head of Facilities, Ukraine Operations, Dev-Pro.net (Current)
- Leading administrative function across 5 development centers in Ukraine (Kyiv, Lviv, Dnipro, Kharkiv)
- Main responsibilities: business continuity, launch lead, overseeing all aspects of services and operations of existing 5,000+ sq.m. facility
- Management of team: 15+ people

Site TS Program Manager, HS&E Department Leader, Procter & Gamble LCC (Previous 6 years)
- Team management: 43 employees
- Key Achievements:
  - Negotiations with authorities: lowered rental rate for land from 13% to 6%, saving 37% of general plant cost (2017-2018)
  - Optimization of operating expenses and utilities: -23% FYTD
  - Led 6 external audits without critical observations
  - Unit restructuring and merging into one department: 2013-2015
  - 3rd and 4th site phase development: 2015-2018
  - Operations Technology Project Leader in international projects: startup of new production lines for Tide, Ariel, Gala, and discontinuation of brands DAX, BONUX (2015-2017)
  - Optimization of manufacturing capacities and support departments at the factory (raw and pack materials): Feb’13 - May’14
  - Production optimization: process reliability 84%, unplanned downtime less than 2%, scrap less than 1% in 2015
  - Restructuring of the plant's infrastructure, transfer warehouses to 3PL, production facilities start-up, boiler house and compressors renovation

Skills:
Operations Management
Administrative Facilities Manager
Managed Services
Head of Customer Service
Project Management
Startup Management
System Integration
Team Management
Change Management
Business Development
Product Management"
36,"Results-Driven Digital Marketing Professional

Summary:
Highly experienced digital marketing expert with over 8 years of experience working with top-tier clients such as Ubisoft, Sony, Nintendo, Samsung, and Apple. Proven track record of driving revenue growth and yield optimization across global markets.

Key Achievements:
- Led seven-figure marketing campaigns, focusing on trafficking and optimization
- Improved yield by 20% in CEE markets through the introduction of new targeting capabilities
- Conceptualized, architected, and managed the development of a rich media building platform to expand advertising capabilities
- Enhanced viewability of specific ad units by 40%, combating banner blindness

Experience:
Digital Marketing Expert
- Utilized expertise in performance marketing and ad operations on the publisher side to drive revenue growth and yield optimization
- Successfully led multiple projects across global markets, collaborating with prominent clients to achieve business objectives"
37,"Summary:
Highly motivated and organized professional with experience in advertising, project management, and team leadership. Proficient in Google Ads, FB Ads, and other advertising platforms, with a strong background in analysis, planning, and optimization.

Education:
- Completed course in Advertising, Hillel School, 2022
- Education in Computer Technology

Work Experience:
- Art-Director/Stage Manager, Synergy Group, 2018-2021
- Model, 2022-Present
- Disc Jockey, 2018-Present

Key Skills and Experience:
1. Proficient in Ads platforms: Google Ads, FB Ads, Mytarget, Taboola, Capterra, Linkedin Ads (EU and USA markets)
2. Analyzing ads performance, competitor ads, creating performance reports, and media planning
3. Keyword planning and optimization in search campaigns, ads extensions, and search terms
4. Teamwork organization: task management for designers, content writers, and freelancers
5. Product and competitor research
6. SEO: keywords, titles, descriptions
7. Analytical skills: report creation, competitor analysis, team work, and implementing new strategies for improved results
8. Partner communication, meetings, project discussions, and implementation

Personal Qualities and Skills:
- Team player with good organizational skills and ability to meet deadlines
- Fluent in English, Ukrainian, and Russian
- Strong analytical and communication skills
- Ability to work in a positive and dynamic online office environment"
38,"SUPPORT SPECIALIST (FINANCE)
NDA (GAMBLING)
2021 - 02.2023
- Technical support for financial issues
- Financial statements

PROJECT MANAGER
COWBOY ART
(ADVERTISING AND PR SERVICES)
- Analyzed the advertising market of Ukraine and the world
- Served as a brand ambassador
- Ensured customer protection
- Prepared and detected profits
- Developed proposals
- Controlled and maintained projects from receipt to implementation

PROJECT MANAGER
SICORE
(ADVERTISING AND PR SERVICES)
04.2018 - 02.2020
- Researched the outdoor advertising market
- Implemented planned sales indicators
- Sourced new customers
- Conducted meetings, presentations, and negotiations
- Collaborated with other enterprise departments"
39,"Results-driven Affiliate Manager with over 7 years of experience in launching and managing affiliate programs across various niche markets, including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Proven track record of driving revenue and results by recruiting and managing top affiliates.

Skilled in affiliate platform management, with experience in both third-party networks and in-house programs. Proficient in email marketing, social activities, B2B activities, A/B testing, PPC, and SEO.

Key strengths include:

* Launching affiliate programs from scratch and managing existing programs
* Recruiting and managing top affiliates to drive revenue and results
* Providing personalized consultation and assessment to clients
* Coordinating marketing communications and collaborating with cross-functional teams
* Analyzing market trends and competitor activity to inform marketing strategies
* Developing marketing materials and improving website performance

Experience:

Affiliate / Account Manager
* Managed affiliate campaigns and analyzed daily, weekly, and monthly trends
* Coordinated with internal and external customers, monitored campaign delivery, and maintained day-to-day communication
* Created and coordinated text slogans, banners, HTML creatives, and landing pages for new projects
* Conducted competitor research and analyzed market position
* Engaged in B2B activities, including finding new partners and increasing brand awareness through email marketing
* Managed social media accounts, including daily posting, engaging with fans, and monitoring click-through rates

Marketing Analyst
* Investigated data collection markets and provided competitor analysis
* Coordinated marketing communications with customers, including webinars and email campaigns
* Collaborated with Brand and Project Management departments
* Promoted company websites through SEO, PPC, and email marketing
* Developed marketing materials and improved website performance
* Conducted A/B tests to inform marketing strategies

Project Manager
* Completed a Project Management course from Laba and obtained an EADL diploma
* Managed IT projects with 2-3 subordinates and 10 years of IT experience
* Available to apply project management skills to new challenges

Certifications:

* EADL diploma in Project Management

Skills:

* Affiliate marketing
* Email marketing
* Social media marketing
* B2B marketing
* A/B testing
* PPC
* SEO
* Project management
* Marketing analysis
* Competitor research
* Marketing materials development
* Website improvement
* Team management"
40,"Order Checking and Process Management
- Managed order checking, handled customer inquiries via calls and chats, and performed related tasks
- Organized and optimized the working process to ensure efficiency

Team Leadership and Development
- Mentored new team members to enhance their skills and performance
- Identified areas for service improvement and implemented new strategies

Career Background
- Experienced Support Agent with a strong background in customer service and process management
- Seeking a managerial position to expand skill set and gain new experience

Professional Preferences
- Adaptable and open to new challenges and responsibilities
- Prefer roles that are not primarily sales-focused"
41,"Results-driven professional seeking an Affiliate Manager/Project Manager position in an international company/organization.

Summary:
Proven track record of successfully managing projects and teams, with a strong focus on results and deadlines. Skilled in business development, project planning, and implementation, with experience in managing teams and building relationships with local and international partners.

Experience:

Head of Project (2020-2021)
- Ensured project survival without active outdoor advertising during pandemic restrictions
- Arranged constant increase in visitors

Business Development Manager, The German-Ukrainian Chamber of Industry and Commerce (2019-2020)
- Created, planned, and implemented complex projects from scratch
- Managed teams of up to 8 people
- Coordinated working groups and communities
- Built relationships with local and international partners
- Prepared content and organized online and offline events

Additional Experience:
- Managed the working group of IT & Cyber Security, achieving ""committee"" status within one year
- Successfully managed routine work responsibilities

Skills:
- Project management
- Business development
- Team management
- Event planning
- Content preparation
- Partnership building
- Results-driven approach
- Strong focus on deadlines"
42,"Results-driven IT professional with 9 years of experience in the industry, having worked with numerous startups and diverse teams, including internal and outsourced employees from various cultural backgrounds.

Proven track record of driving transformation and growth, with 4 years of experience at a scale-up that underwent hyper-growth during my tenure. Adept at leading, coaching, and mentoring teams to achieve business objectives.

Successfully implemented Agile and Lean methodologies, fostering a culture of continuous improvement and delivering business value. Created an environment that empowers team members to reach their full potential.

Developed strong communication and interpersonal skills, with the ability to distill complex information into actionable insights. Utilized tools such as Jira, Confluence, GitHub, and Code Climate to promote transparency, organization, and process optimization, driving informed decision-making and building strong relationships with stakeholders."
43,"Results-driven IT leader with 10+ years of experience in management and technology roles, driving process improvements, compliance, and output quality. Proven track record of elevating customer satisfaction, employee morale, and bottom-line results.

Key expertise includes:
- Establishing and improving PMO
- Delivery management for 50+ employees
- Pre-sales and risk management
- Budgeting and cost-controlling
- Process improvements and quality management
- Leadership and people management
- Lean Agile methodologies
- Rolling wave planning

History of successfully conceptualizing and executing program vision from inception to completion, managing complex milestones, and adapting to changes and shifting priorities. Skilled in leading international, cross-functional, and distributed engineering teams to deliver strategic initiatives that improve systems, processes, and financial results.

Adept at managing stringent budgets, driving cost savings, improving delivery, and forecasting additional needs. Experienced in working closely with national and international clients, with the ability to travel as required."
44,"Summary:
Highly experienced IT professional with 10+ years of experience, holding multiple certifications in Project Management, Agile, Scrum, and Kanban.

Certifications:
- PMP (Project Management Professional) by PMI
- CSPO (Certified Scrum Product Owner) by ScrumAlliance
- CSM (Certified Scrum Master) by ScrumAlliance
- SASM (SAFe Advanced Scrum Master)
- KSD (Kanban Management Professional) by Kanban University
- Kanban Maturity Model course by Kanban University
- Kanban Coaching Practices course by Kanban University
- ICP-ACC (ICAgile Certified Agile Coach) by ICAgile
- Certified Trainer by ICAgile
- RPOAS (Registered Product Owner at Scale) by Scrum at Scale
- RSASF (Registered Scrum at Scale Fundamentals) by Scrum at Scale

Experience:
- Experienced in RUP, Waterfall, and Agile methodologies
- Proven track record in managing web and mobile projects for various industries, including healthcare, education, social media, and insurance
- Experienced in working in product and business analysis roles

Skills:
- SQL
- BPMN
- UML (basic level)
- MS Office: MS Project, Word, Excel, PowerPoint, Outlook
- Proficient in using various tools, including:
  - Miro
  - Microsoft Power BI
  - Postman
  - Jira (including administration)
  - Confluence
  - Azure DevOps (TFS)
  - Asana
  - PivotalTracker
  - Xmind (mind-mapping)
  - Balsamiq Mockups
  - draw.io

Language:
- English: Upper-Intermediate

Professional Memberships:
- Member of IAF (International Association of Facilitators)
- Facilitator"
45,"Warsaw University of Technology (WUT) 
Faculty of Computer Science, studied in English for 1 year and 6 months

Professional Experience:
- Front-end Developer (4 months)
- Project Manager (1 year)
- Tech Lead, Project Manager Department (1 year and 3 months)
- Single Point of Contact (2 months)

Key Achievements:
- Contributed to the development of a giant website listed in Fortune TOP 500 with USA stakeholders
- Successfully launched 8 new domains, exceeding the initial goal of one domain

Public Speaking:
- Presented lectures at 3 annual conferences on topics including:
  - Project Management
  - Planning and Approving
  - Customer Understanding
  - Creating a Friendly Team Atmosphere
  - Transforming Customer Desires into Real Projects

Work Environment:
- Experienced a cozy office environment with a friendly team atmosphere

Additional Information:
Available upon request: detailed CV with a list of technical skills and information about previous projects."
46,"**Summary**
Highly skilled professional with experience in managing projects and leading teams, proficient in various methodologies and tools.

**Technical Skills**
- Agile, Scrum, Kanban
- Project Management Tools: Jira, Confluence, Trello, Redmine, VSTS, Salesforce, Kimble

**Project Experience**
- Managed projects based on time and material as well as fixed price models
- Developed solutions for enterprise, e-commerce, financial, and big data sectors

**Management Skills**
- Risk Management
- Time Management
- Cost Management
- Scheduling
- Leadership
- Communication
- Negotiation"
47,"Agile Delivery Management
- Managed version planning, built versions via Jenkins and GitHub Actions, and deployed to Azure and AWS environments (dev and production)
- Set up and streamlined delivery and release processes from scratch

Scrum Mastery
- Organized and led Scrum Events, maintained Scrum Artifacts
- Created roadmaps, resource plans, project charters, and reports, while mitigating risks and focusing on timely delivery of value

Business Analysis
- Wrote Business Requirements, User and Job stories, and performed investigation research in the project domain to collect important information

Collaboration and Leadership
- Collaborated closely with developers, UI/UX teams, and stakeholders to contribute to project development
- Led teams through daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, and issue resolution, while creating supporting documentation

Pre-Sales and Business Development
- Participated in pre-sales, attended client meetings, and prepared estimations and proposals

Organizational Development
- Contributed to setting up company processes, writing role descriptions, and interviewing stakeholders, with daily collaboration with the CTO

Career Aspirations
- Seeking an opportunity to leverage diverse experiences to achieve results, continue learning, and self-develop, with a focus on contributing to projects that positively impact the world, excluding betting, gambling, banking, and dating domains."
48,"Certified Agile Project Manager
Certified Scrum Master
Kanban, DSDM, Agile
Project Management Experience:
- Created IT projects from scratch
- Led dozens of successfully finished projects in PM, UX, BA, and QA roles
- Managed long-term products
- Experience with 80+ member project teams
- Conducted medical, business, and educational projects/products
- Implemented business analysis stage in customer relations
- Discovered new Western markets
- Hiring and team management experience
- Remote team management experience
Technical Skills:
- Jira
- iOS
- Android
- PhP
- Drupal
- Redmine
- Axure
- Mindmap
- UI/UX
Business Skills:
- Business analysis
- Sales and account management
- Scope clarification and prioritization
- Influencing
- Leading
- Delegating
- Business development
- Change/Risk management
- Powerful tech background
- Advanced Business English
Work Environment:
- Informal setting
- Adequate management
- Product company
- Professional growth opportunities
- Office located near metro"
49,"8 years of experience in Project Management, Business Analysis, and Scrum Mastery in outsourcing and product environments.

Key Expertise:
- Agile project management (Scrum, XP, Kanban)
- Product and Business Analysis
- Presales (solution design and estimation process)
- Team and Project Management (leading 3-9 member development teams, handling multiple projects)

Agile Adoption and Coaching:
- Guiding teams and clients in adopting Agile methodologies and practices (MVP, feedback loops, Continuous Integration, Pair Programming, Test-Driven Development, Code Review)
- Facilitating organization-wide processes (Presales, Hiring, Onboarding, Feedback)
- Certified coaching skills for 1:1 coaching and group facilitation

Industry Experience:
- Web
- E-commerce
- Gaming

Operational Approach:
- Ensuring transparent communication and process simplicity
- Managing 1-3 simultaneous projects/teams or 1-2 projects/teams with presales involvement"
