Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
26747,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch

Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. Worked with Web, Mobile, Dashboard, and Web applications. Skilled in generating hypotheses, research, creating wireframes and prototypes, conducting usability tests, analyzing, creating a design system from scratch, and leading a design team. Collaborates with and manages other designers, works independently, pays close attention to business needs, and provides best practice design advice to improve outcomes.

Project stages:
- Communicating with stakeholders and product manager
- Conducting research
- Creating functionality map, process flow
- Creating low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people

Collaboration and teamwork:
- Mentoring lower-level designers
- Conducting 1on1 meetings to collect issue points and help define personal areas of improvement
- Offering feedback and support to teammates"
29788,"As a self-educated individual, I take pride in my portfolio and the knowledge, skills, and abilities I have acquired, including:

- Advanced proficiency in Adobe Photoshop Beta & Illustrator, Figma, and Procreate App
- Strong technical understanding
- Knowledge of current design and technology trends
- Upper-Intermediate level of English
- Effective verbal and written communication skills
- Time and self-management skills

EXPERIENCE
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 21 - Now)

SKILLS
- Upper-Intermediate English
- UI/UX Design / Adaptive design
- Illustration (raster/vector)
- Banner design
- Logo design

TOOLS
- Adobe Photoshop
- Adobe Illustrator
- Procreate App
- Figma
- Midjourney

AWARDS
- RED DOT / Brands & Communication Design (Aug 22)

I am a Digital 2D Artist & UI/UX Designer from Kyiv, seeking opportunities for collaboration and growth in a successful company with a friendly team. I am dedicated to continuous development and giving my best effort in all endeavors."
29835,"Skills:
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/ CSS
- WEBFLOW

Soft skills:
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

Completed courses:
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design. Composition (91)

Experience:
- Extensive experience in Marketing
- Proficient in Photoshop, Illustrator, and Figma
- Advanced user of Figma
- Worked on websites, E-blasts, etc.
- Freelance and in-house manager experience
- Collaborated with more than 5 companies from different countries
- Freelance designer for an American company

Objective:
Passionate digital designer with a focus on creating visually stunning designs to help brands grow. Experienced in collaborating with clients and colleagues to deliver engaging designs. Seeking long-term partnership opportunities to utilize knowledge and experience in making customers' lives easier."
30606,"- Experience with Figma, including design system creation, UI kit development, Auto layout, interactive components, interactive prototypes, and Figma plugins
- Projects at Beetroot Academy focused on UX research, competitors research, sketching and prototyping, understanding of design principles such as composition, typography, and color, experience with group work and project presentations
- Proficient in Google Documents and creating Google Forms"
30845,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs. Completed a 6-month UI/UX design course and additionally studied HTML/CSS. Successfully defended and presented 3 works: website redesign projects for a real estate company, created a travel website, and developed a mobile application for booking tables in restaurants. Looking for a full-time position in a product company focusing on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks."
32072,"In my current role as a UI/UX designer, I:

1. Improved the onboarding process of a financial institution app by 35%.
2. Led a team of 4 designers in creating visually appealing and functional products that resonate with the users and meet the business objectives.
3. Used Agile planning principles to deliver tailored solutions that met customer requirements.
4. Utilized wireframes, mock ups, and prototypes to establish user interface design and architecture.

In my most recent role, I helped to improve the audience management system of a SaaS tool by 25%. This accomplishment is a testament to my ability to design solutions that are not only aesthetically pleasing but also drive business results."
46443,"Over 10 years of commercial experience in design and development of web solutions. Specializing in large CRM and SaaS projects, mobile and desktop applications. Skilled in creating and maintaining Design Systems to streamline product development. Proficient in Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, Wordpress, and Storybook. Experienced in managing projects from concept to release in short timeframes. Seeking a company or team dedicated to improving user experience and making a positive impact on the world. Available for UI/UX, branding, and corporate style projects."
46506,"Experience:
- Worked in a small IT company in software development
- Built projects using JavaScript technologies and the React framework
- Created web pages using JSX (HTML, CSS)
- Utilized Framer Motion for animations and Mui components
- Worked with Bootstrap, Materialize, Figma, and Adobe Photoshop"
50300,"My greatest accomplishment to date is the successful deployment of a groundbreaking customer engagement suite for a major e-commerce business. I designed the suite from the ground up, utilizing innovative technologies and processes to maximize customer acquisition, customer satisfaction, and customer retention in order to drive incremental revenue. The project was completed on time, under budget, and with rave reviews from both users and clients alike – a true testament to my technical expertise as well as my careful consideration for each step of the project. I'm incredibly proud of what I achieved with this particular project and am always looking for opportunities to build upon my successes.

I have completed various projects and tasks such as creating interfaces, integrating APIs, and developing custom plugins using React, Vue, and Flutter. I have also created websites and applications using Node.js for backend development.

My current role in the team is to develop frontend interfaces according to client specifications while ensuring strong usability of the system. My responsibility includes making sure that the application user experience is top-notch according to industry standards, being able to work independently or collaboratively with a team of developers, being able to debug issues, performance checking application, and optimizing code where necessary. Additionally, I am involved in project planning and strategizing information flows between backend databases and user interface components.

In terms of improvement, I aim to improve my technical skillset by constantly learning new technologies and frameworks in order to stay up-to-date on the latest industry trends. Also, by working with experienced engineers, I want to deepen my understanding of software architecture designs. Furthermore, my goal is to continue honing my skills in order to become a reliable professional for any future employer in the software industry."
51419,"Experience:
- Transitioned from programming to design a few years ago due to personal preference
- Freelance design work with a focus on UI/UX development
- Currently working in an IT company on an out-staff basis
- Skilled in problem-solving and seeking challenging opportunities

Objective:
- Seeking a full-time position, preferably remote, to continue utilizing my design skills and problem-solving abilities."
53971,"5 years as Senior Graphic Designer
3 years as Game UI/UX Designer
Experience in 3D modeling, texturing, and animation
Specialized in creating game interfaces
1.5 years as Game UI Designer for a large Gamedev company
Seeking new opportunities in the Gamedev industry"
53972,"Experience:
- 2+ years of experience creating websites, banners, and emails
- 1 year of experience in GameDev, specializing in creating offers, decorations, and banners for mobile games
- Skilled in creating layouts based on provided graphics or designing navigation elements and decorations independently
- Proficient in using Photoshop, Figma, After Effects, and other design tools
- Interested in mobile game development and seeking long-term cooperation with a GameDev company

Objective:
- Seeking opportunities for fruitful work and professional development in the field of mobile game development."
53973,"I was engaged in building a design process, carried out mentoring work, independently found clients, and skill-up for staff. I take part in updating the official website, and logo redesign for sites and applications.

Hi, I’m a Game UI/UX designer with UI Artist and animation knowledge since 2019. Before, I worked as a web designer since 2015. I know a full circle of projects and understand the code (html, css, js). In work use Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

Responsibilities:
• Develop intuitive UX flows that are aligned with the overall design of the game.
• Create UI screens and UI elements, and prepare assets for the programmers.
• Communicate UX vision and design ideas to team members, and collaborate to get designs in-game.
• Support the development of the game with any additional skills.

I learn something new every day, and I am interested in learning languages. I go in for sports (basketball, Brazilian jiu-jitsu), practice yoga, and have a sporty and healthy lifestyle. I teach design at IT Academy (Lviv)."
53974,"I am a game UI/UX designer/artist at a Ukrainian game company, responsible for creating UI visuals for casual games from concept to final rendering. I collaborate with a team of designers, managers, 2D and 3D artists, and programmers to research game interfaces, develop visually attractive and unique interfaces, and create additional game interface materials. I graduated from Kyiv National University of Construction and Architecture with a bachelor's degree in ""Artist-performer"" and am now seeking a job with interesting and varied tasks where I can utilize my knowledge and skills."
53975,"- Graduated with honors from Web Design courses and supervised the final group project
- Successfully organized the printing of materials for two exhibitions in different cities at the same time
- Developed a welcome-box for new employees of the company
- 248+ successfully completed projects
- 3+ years of experience
- Completed courses in English in 2022 with honors
- I continue to work actively even in this tough times

UI/UX game designer with 4 years of commercial experience in Design and 2 years of commercial experience in GameDev. Experienced in working on various projects including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Actively plays and stays updated on the latest changes in the industry.

Responsibilities include participating in and supporting the full cycle of creation UI and UX, such as information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and participation in game tests. Proficient in Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM.

Led full UI development for an educational mobile game for kids with over 100,000 downloads. Participated in the development of a AAA PC MOBA. Successfully updated the design and transferred a PC simulator for cybersportsmen to the mobile platform on time. Experience creating game graphics on a graphics tablet.

Seeking a company with a friendly team, high-quality projects, and sensitivity to each employee. Interested in participating in both large and small projects of varying complexity, where there is a need to think and learn new things. Dream is to take part in something innovative."
53976,"Skills:
- Proficient in game UI art
- Experienced in UI design
- Skilled in 3D modeling, sculpting, and texturing
- Proficient in character concept art and environment concept art
- Experienced in illustration and character design
- Strong English language skills
- Fast learner
- Excellent team player
- Effective teacher and leader

Software:
- Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"Self-starter with experience in motion design for worldwide poker and casino products. Improved design and animation export pipeline in multiple projects. Managed team of 7+ professionals in design, graphics, motion, animation, sounds, and development. Took part in rebranding poker brands and created UX/UI design for poker applications. Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries. Developed gaming motion and animations for poker and casino games. Built clean and scalable After Effects project architecture. Created motion graphics for live online events. Improved visual and gaming experience of products. Designed exhaustive briefs and storyboards for promotional videos. Passionate about using gaming industry experience to create high-quality products and motivate teams to achieve top results."
53978,"UI/UX Designer with experience in prototyping to enhance UI and game experience. Implemented new features to improve performance, streamline development process, and simplify UI layout. Completed projects ahead of schedule with positive customer feedback. Skilled in 9-Slice Scaling, importing interfaces from Figma to Unity, developing User Flow and Wireframes, creating UI from scratch, selecting fonts, prototyping interfaces, and collaborating with UI/UX developers, game designers, artists, and programmers for projects on PC, consoles, and mobile devices."
53979,"UX/UI Designer and Visual/Graphic Designer (2019-2022)

UX/UI Designer (2020-2022)
- Developed indie game interfaces based on UX research conducted independently
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Conducted surveys and exercises for user testing

Visual and Graphic Designer (2019-2022)
- Created logos, conceptual identities, banners, posters, and ads
- Generated ideas and styles, staying updated on design trends
- Paid attention to detail and structured work results
- Presented and defended ideas to clients
- Worked effectively in a team to enhance product quality"
53981,"UI/UX Designer/ UI Artist with a deep understanding and critical thinking skills. Experienced in graphic design for Game Insight, 101XP, Playrix, and WhaleApp since 2020. Specializing in graphic design from the ground up, including redesigns, websites, applications, branding, polygraphic design, and 2D animation. Skilled in the complete graphic development cycle, ensuring adherence to all technical requirements for printed materials and creating perfect layouts for websites and applications. Known for interesting projects, qualified management, high work organization, and creative space."
54796,"I am a designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. I have worked in advertising and marketing agencies, as well as printing houses. Before the war, I collaborated with leading Ukrainian real estate companies and worked as a freelancer, specializing in creating company identities. My portfolio includes logos and styles that adorn cities in Ukraine and Europe. I also have experience in website development using the Tilda constructor.

I offer a wide range of design services, including creating landing pages, websites, logos, social media designs, printed materials, presentations, outdoor advertising, and transport branding. My personal qualities include excellent organizational and planning skills, strong teamwork abilities, and a passion for user-friendly design.

I am eager to work with you and learn more about your business. I am committed to continuous growth and development as a UX/UI designer."
54797,"UX/UI Designer - Stress Point Health Ltd [Apr2018 - Nov2020]
Key Responsibilities:
- Leading UX/UI design project for a mobile app aimed at providing treatment for stress, anxiety, and trauma.
- Designing from idea through problem-solving to full UI implementation.
- Visualizing complex metrics in a user-friendly manner.
- Creating wireframes, user journey flows, and prototypes for testing.
- Conducting usability testing sessions with volunteers to improve user experience.

UI/UX Designer - ManyRequests [Aug2020 - Nov2020]
Key Responsibilities:
- Reworking UX & UI of an existing product to enhance user-friendliness.
- Iterating design based on feedback and user testing.
- Developing on-brand design solutions to meet business goals.
- Integrating new features based on user needs.

UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- Leading design decisions for websites, print materials, and infographics.
- Analyzing briefs and defining user experience strategies.
- Creating wireframes, designs, and mockups for B2B and B2C markets.
- Redesigning business presentations, logos, and brand identities.
- Implementing user-centered design and design thinking approaches."
54798,"I spent the last six months as a Creative Intern at Phiture, a mobile growth consultancy and agency. My internship responsibilities included creating illustrations and various design assets for the marketing team, adjusting designs to brand guidelines, print design, photo retouching, creating marketing assets for different clients (Ad Hoc Labs, Tipp24), participating in A/B testing for Adobe, and assisting in Quality Assurance processes. Before that, I completed a Master's degree in design and journalism while working on non-profit projects for a charitable organization, honing my graphic and UI/UX design skills. I have experience working with vector graphics, icons, logos, application prototyping, branding, video editing, and motion graphics. Additionally, I have the ability to work with large amounts of information and text due to my background in multimedia journalism."
54799,"I have been teaching design for three years now. Developed a multi-page website for Softkit IT company. Developed from scratch a corporate identity and made up a website for the coal company Ugtransresurs. Several years of practice in various design programs such as Illustrator, photoshop, indesign, premier pro, after effects, 3d max, maya, 3d coat, figma and etc. Have html and css skills and intermediate level knowledge of English. Around 2 years of freelance, 2 months internship at Peace it, worked with Hipinspire.com, SmartJ and Softkit. Currently working as a design teacher at Itstep academy. Ready to work in office or remotely. I expect interesting and complex projects. The opportunity to realize myself as a designer in a creative young team."
54800,"Mary
Graphic Designer
- Over 3 years of experience in graphic design
- Proficient in Photoshop, Illustrator, XD
- Specializes in logo design, banner design, outdoor advertising, personal/corporate landing page design, and file printing
- Open to trying and designing different things
- Strong portfolio of various projects
- Excellent communication and collaboration skills
- Detail-oriented and creative mindset
- Proven track record of meeting deadlines and exceeding client expectations"
56453,"With twelve years of professional work in design and computer graphics, I have experience in various aspects of the field. I am seeking a company where I can apply, challenge, and advance my creative, technical, and management skills. I aim to continue growing as a versatile specialist who can help his team complete tasks to a high standard."
56528,"Finalist of Hublot Design Prize, 2022
Personal illustrations exhibition in Ukraine, Germany, and France.

Illustrator, 100Roads (USA, remote) 2021-2023
- Concept development
- Sketching
- 2D Digitalization of onboarding backgrounds for the EdTech platform.

Art direction, Kukuruza Video production (Ukraine) 2022-2023
- Concept ideation for videos
- Creation of style mood boards
- Department management
- Collaboration with top retailer companies, IT companies, Government, and Worldwide businesses

Stage designer, Kukuruza Video production (Ukraine) 2021-2022
- Storyboard creation
- Location art direction
- Prop design for videos
- Collaboration with top retailer companies

Printing designer, Picasso Art Wedding (Ukraine) 2017-2020
- Watercolor illustrations
- Calligraphy
- Prepress and printing for invitations, menu, name cards, and envelopes

Graphic designer - contractor, SSN design bureau (Ukraine) 2019
- Branding
- Illustrations
- Logo design
- Packaging design
- Pre-press for FMCG, restaurants, and coffee shops

Freelance contractor (Ukraine, Europe, USA) 2014-now
- Web design
- UI/UX design
- Illustrations
- Brand identity design
- Pre-press
- Social media design (Vogue Ukraine project)
- Collaboration with FMCG, Fashion brands, start-ups, galleries, and Small and medium-sized enterprises

Open to new tasks, projects, and experiences. Team player. Committed to delivering results."
56542,"Ann

Passionate graphic designer with over 4 years of experience creating effective designs for big and small companies. Skilled in brand communication, generating innovative ideas, and working as both an in-house and freelance designer. Experienced in designing press media kits, logos, websites, presentations, print materials, and web marketing assets. Proficient in brand identity, logo design, infographics, layouts, and UI/UX design. Strong collaborator with a focus on creating original, engaging, and functional design solutions. Looking to bring creativity, teamwork, and skills to a new opportunity."
56543,"- Graphic Designer with 3 years of experience
- Proficient in marketing and corporate design
- Skilled in creating and maintaining visual identity
- Knowledgeable in the design thinking process
- Experienced in creating graphics for media and communications
- Proficient in infographics, illustration, animation, and UX/UI
- Proficient in Figma, After Effects, Photoshop, and Illustrator"
56544,"From 2012-2013 I Designed the Lomogram app - a top 5 photography app on the Windows Phone Store with 20M downloads.

I have experience as a Graphic and UI/UX designer, with a passion for creating new designs, researching solutions, meeting deadlines, and working with layouts, typography, and illustrations. I have a strong understanding of color, shape, and composition.

At Plarium, I produced competitive design advertisements and created 2D banners and animations for social media resources. At Grls Gang, I created branding identity, advertisements, and connections with users. I have also worked on various social media materials, advertisements, and printing materials for both companies and freelance projects. I am dedicated to continuous learning and staying updated on industry trends."
56545,"Experience:

Advertising agency:
- Development of visual communications for the brand

Digital Agency:
- Maintaining brand and influencer pages on social networks

Additional skills:
- Printing design
- Posters design
- Social network design
- Advertising banners
- Web design
- Animation"
56618,"7 years of experience as a graphic designer, with the last 5 years spent at a manufacturing company. Responsible for developing various products including printable and digital materials such as outdoor ads, web banners, and social media posts. In the last 2 years, also provided UI/UX guidance and improved the main e-commerce website. Seeking a position as a UI/UX designer with opportunities for growth and also interested in game development and 3D modeling."
56619,"Liudmila

Graphic Designer

Over 10 years of experience in graphic design, specializing in logo design, corporate identity, design for various social media networks, and web design. Proficient in creating and preparing graphics for digital and print formats. Created over 100 logotypes and new style guides for various businesses.

Professional Skills and Experience:
- Adobe Illustrator, Adobe Photoshop, InDesign, Corel Draw, Google Slides, Canva, Figma
- Logo and corporate identity design
- Social media design creation
- Web-sites and user interfaces design
- Packaging and printing products design
- Presentation design"
56629,"Creating intuitive and visually appealing interfaces that ensure a pleasant user experience with the product. 
Conducting user research, including observations and analysis of user behavior, to gather insights that contributed to design improvements and enhanced user satisfaction. 
Participating in a team project where I had a significant role in designing the interface of the service, leveraging my experience in graphic design. 
Developing a design system for the team project. 
From 2016 to 2022, I worked as a graphic designer, specializing in the development and execution of visual design projects. 
I created logos, corporate identities, advertising materials, and other graphic solutions. 
Half a year of practice in UI/UX design, where I already have experience in creating a landing page, redesign, a team project for a web service, and team project for a mobile app. 
I am currently actively looking for my first job as a UI/UX designer. 
Team project ""LifeLandscape"" web service for landscape design. I have worked extensively on the ""LifeLandscape"" web service for landscape design, gaining valuable experience in collaborative teamwork, user-centric design, and responsive design principles. 
Overall, my experience working on the ""LifeLandscape"" project has equipped me with a solid understanding of UI/UX design principles, a keen eye for aesthetics, and the ability to translate complex requirements into visually appealing and user-friendly designs. 
The project I worked on as a UI/UX designer involved the redesign of a website for a tattoo studio located in Destin, Florida. 
My role as a UI/UX designer involved conceptualizing and executing a visually striking and user-centric website redesign. 
Seeking a job that aligns with my skills and interests in the UI/UX design field. 
Opportunities to develop and enhance my UI/UX design skills, learn from experienced professionals, and work with modern tools and technologies. 
Working on interesting and diverse projects where I can apply my creativity and innovative design approaches. 
Working in a supportive team environment that values collaboration, idea exchange, and collective growth. 
Having the opportunity to make a significant impact on the end product by ensuring high-quality design and an excellent user experience. 
Being part of a team of professionals, receiving recognition for my work, and contributing to the success of the company or project. 
Having the flexibility to work according to a flexible schedule that allows for a balance between work and personal commitments. 
Considering the possibility of career advancement, taking on new responsibilities, and accessing better opportunities in the future."
56630,"Web / Graphic Designer with over 7 years of experience. Proficient in Figma, Adobe Illustrator, Adobe Photoshop, and Sketch. Worked in two IT companies before transitioning to freelance work. Skilled in creating logos, brand identity, banners, flyers, posters, social media posts, icons, illustrations, and UX/UI website design and redesign."
56631,"iOS and Android app development experience with strong UX skills. Proficient in creating responsive design websites, landing pages, and promotional materials such as banners and POSM. Skilled in logo design, animation, GUI design, and working with product and outsourcing companies. Experienced in using Figma, Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Lottie, Sketch, Affinity, Procreate, and Freehand Drawing. Proficient in project management tools such as Slack, Jira, Confluence, Keybase, Trello, and Redmine. Familiar with InVision, Hotjar, and Wordpress. Knowledgeable in HTML, CSS, Python Core, and JavaScript. Possess marketing knowledge and strong visual communication skills. Seeking new challenges and open to relocating or remote work opportunities."
56632,"Demonstrable graphic design skills with a strong portfolio
Strong communication skills and the ability to develop and confidently deliver polished presentations to customers and internal teams
Strong attention to detail and excellent documentation skills
Strong understanding of web design principles, use of typography, color and page layouts, with a great eye for detail
Strong analytical skills, including the ability to do detailed analysis of application performance and trends in order to provide insight and recommendations
Passion for design, a positive attitude, and the ability to be highly creative within an agile development process
Professional-level knowledge of industry standard design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
Excellent people skills and the ability to communicate well both verbally and written
Creativity, strong logic skills, and the ability to work in a dynamic, challenging, and consultative environment

Experience:
- Graphic Designer and UI/UX Designer for 4 years
- Freelance work creating logos, social media posts, and landing pages
- Worked in typography, preparing designs for printing and creating merch for brands
- Developed brand identities and strategies, including work with branding agency ""onO"" Nova Market
- Design process includes gathering requirements, creating user stories, conducting user research, and developing intuitive and engaging visual designs

Objective:
To utilize my skills and experience in graphic and UI/UX design to create impactful and visually appealing brand identities and websites that resonate with audiences."
56633,"Experience:
- Completed education courses in design
- Created 2 non-commercial design projects

Skills:
- Strong desire to progress and learn
- Pledge maximum productivity and diligence
- Ability to work well in a team
- Eagerness to gain commercial design experience"
56634,"My main responsibilities:
- Banners
- Post social media
- Identity
- Print production
- Photomanipulation
- Illustrations
- 2d characters
- Animations
Design sites
Prototyping sites

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects"
56635,"Previously, I have experience in graphic design with a variety of projects, although most of them have not been compiled into a portfolio. Due to a forced relocation, access to some of my previous work has been lost. I am only able to provide samples saved on my phone, which may not be in the ideal format. Please refer to the Google Drive link for examples of my work. I am interested in pursuing a career in UI/UX design for mobile applications, but I am also open to opportunities in graphic design."
56637,"Svitlana

Graphic & Web Designer with 8+ years of experience
Currently working at Libertex group, specializing in online trading and investment

Experience:
- 8+ years in Graphic Design
- 2+ years in UI/UX design

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, style guides, icons
- Presentation design (digital, print)
- Design drafts and mock-ups
- Offline exhibition design
- Illustration design
- Educational material design
- Brand books and pitch decks
- Infographic design
- Print design
- Logo design

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Adobe InDesign
- Sketch
- Principle
- Jira, Trello, Asana

Project areas:
- FinTech
- Trading
- Investing
- Marketing
- Cryptocurrencies
- Blockchain

Passionate about design, ambitious for personal growth, deadline-driven creative. Strong self-management and analytic mindset, good collaboration skills, understanding of users' thoughts & feelings and clients' goals and needs.

Looking for:
Full-time remote position."
56638,"Experienced and dedicated graphic designer | UI/UX designer with 8 years of industry experience. Successfully completed numerous projects with a focus on high-quality, efficient, and unique design. Recognized for strong communication skills and ability to thrive in any work environment. Seeking opportunities to collaborate with a dynamic team on engaging projects to further develop skills and expertise."
56639,"Experience:
- Completed a course in UI/UX design
- Proficient in Adobe Illustrator, Adobe Photoshop, and Figma at a high level
- Proficient in InVision, After Effects, and Adobe Lightroom at an average level
- Knowledge of the basics of composition
- Strong communication skills

Objective:
Seeking opportunities to gain experience, acquire new knowledge, and work on interesting projects in the field of UI/UX design."
56641,"Professional skills:
- Proficient in Figma, Adobe Photoshop/Illustrator, Microsoft Word/Excel, Procreate
- English B2
- Skilled in hand drawing and graphic tablet illustration
- Experienced in graphic design

Personal qualities:
- Responsible
- Creative thinker
- Inquisitive
- Sense of taste
- Desire for self-improvement and professional development
- Persistent
- Problem solver
- Effective time management

Experience:
Designer at the Photo Center
- Utilized Adobe Photoshop and Illustrator to create patterns and prints in company style
- Designed templates for products
- Produced portrait arts in various styles
- Conducted photo editing

Illustrator
- Created illustrations for NFT project in diverse styles

Illustrator at YouTube channel
- Developed illustrations for specified storylines"
56642,"Experienced graphic designer with 5 years of professional experience in freelance and marketing agencies. Skilled in motion design, illustration, and beginner UI/UX design. 

- Worked with international companies such as WADA and POLADA
- Art director on animation projects
- Strong illustration and drawing skills
- Proficient in Figma and Adobe Creative Suite
- Fluent in English

Seeking a role that combines design and illustration, including custom interface designs, character sets for apps and websites, marketing campaigns, edutainment projects, and casual game design. Open to various positions and eager to contribute to your team."
56643,"Graphic Design Specialist, SMM Manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Advertising Campaigns:
- Visual concept development for advertising campaigns across various platforms
- Collaboration with sales and product marketing teams
- Production of visuals
- Resizing of approximately 170 units

Production of Printed Materials:
- Creation and adaptation of printed materials for all product categories
- Design of POSM materials
- Preparation of materials for printing

LG Website:
- Design and adaptation of banners for all product categories
- Support in transitioning to a new visual concept for the website in 2020
- Production and adaptation of product cards

Social Media Manager:
- Development and implementation of annual social media strategy
- Creation of monthly content plan with situational adjustments
- Production of materials for publication
- Oversight of digital agency
- Approval of visuals and copyrights
- Communication between agency and product managers
- Weekly reporting on key indicators, competitor analysis, and results
- Design of social network profiles
- Management of social media competitions"
56644,"- Experienced freelancer with expertise in graphic design, brand book creation, logo design, and 2D art
- Seeking remote or part-time opportunities
- Not interested in gaming opportunities"
56645,"Hello!  
I am a graphic, UI / UX designer currently residing in Ukraine. I have experience working on a variety of commercial projects for different companies. I am skilled in the following areas:

• Design/redesign of websites, landing pages, information panels, and mobile applications;
• Digital marketing design 
• Adaptive design;
• Corporate style and identity development;
• POS materials design and preparation for printing;
• Souvenir product development;
• Web banners, visual and graphic materials for social networks design;
• Infographics and presentations design;
• Illustration."
56646,"Serhii
Graphic Designer
Kyiv, Ukraine

14 years of experience in design, specializing in packages (gift box/carton-transport box), posters, flyers, banners for social media, collages, layout of catalogs, Logo/Corporate identity, and infographic. Skilled in typography, color theory, composition, and pre-print. Proficient in Adobe Photoshop, Illustrator, and InDesign. Knowledge in UX/UI Design and Figma. English level B1/B2. Available for remote part-time or project-based work as a graphic designer."
56647,"- 9 years of experience in branding: Logo design, corporate Identity, Brand book, Guidelines, website design
- Fluent in Adobe Illustrator, Photoshop, Figma
- Efficient and quick worker
- Personalized approach to work
- Studio level design skills
- Responsive to edits
- Always meets deadlines
- Owner of a printing house with knowledge of printing rules and requirements
- Interested in developing skills in UX/UI design"
56648,"Anastasia

Graphic Designer specializing in Branding and Web Development

Co-founder of studio Otrazhenie with a focus on branding development for companies in various industries such as fashion, architecture, education, HoReCa, financial, and industrial sectors. Skilled in creating visual design styles for personal, product, and corporate brands including logo design, slogan creation, font selection, color schemes, illustrations, and photographic styles. Experienced in website development with a user-first interface approach and expertise in Figma for adaptive layouts. Proficient in recommending and consulting clients on graphic design options to align with marketing goals. Strong leadership in design, layout, and production of communication materials. Skilled in delegating tasks to design team members and managing the production of printed products. Capable of creating engaging presentations and providing unique illustrations through photos and video production. Seeking opportunities to work with open-minded individuals and contribute to impactful projects. Available for freelance work. Portfolio available on Behance - besdna."
56649,"Winner of the ""Nanoscience as Art"" contest at the ""IEEE NAP-2021"" conference with the work ""Invisible Orchid"", featuring an image of calcium carbonate powder captured with a scanning electron microscope. Conducted SEM investigations as part of the PROM Program at Lodz University of Technology.

Experienced graphic designer with over four years of experience. Responsible for creating graphic materials for university information campaigns, including banners, flyers, advertising and greeting cards, presentations, posters, and infographics for both digital and print platforms.

Key projects include the 100th anniversary celebration of the university (logo adaptation, branded products, rector presentation, postage stamp design) and the annual admissions campaign (media plan development, print and digital design, billboards). Successfully increased university visibility with 73% of applicants citing social media and the official website as their source of information.

Established international partnership through presentation at an international conference in Budapest. Freelance work for a foreign beauty school creating social media content, packaging, and educational materials. Skilled in logo and brand design, presentation design, print materials design, graphics preparation, mockups, technical design, and photo editing. Passionate about incorporating creativity into all projects."
56650,"I am a skilled Graphic Designer with 2 years of professional experience in the field. My expertise lies in using industry-standard design software, including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effect and Adobe Figma. With a keen eye for detail and a passion for creating visually appealing designs, I have successfully executed numerous projects, ranging from branding and marketing materials to digital illustrations and layout designs. I am well-versed in understanding client requirements, translating concepts into compelling visual solutions, and delivering high-quality designs that exceed expectations. With a strong foundation in graphic design principles and a commitment to staying updated with industry trends, I am confident in my ability to contribute effectively to any design project."
56651,"UI/UX Designer with 4 years experience in Figma, Sketch, Photoshop, Illustrator, Axure, Principle. Passionate about enterprise startups and projects."
