Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat
2655,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced professional with a strong background in project management, business analysis, and HR management. Skilled in contract management, communication, and building long-term relationships. Proficient in MS Office, Excel, Google Workspace, 1C, and Client-Bank systems. Adept at Scrum and Agile methodologies with a solid understanding of business concepts. Self-motivated, detail-oriented, and capable of resolving conflicts effectively.  

**Work Experience**  

**Project Manager**  
February 2021 – Present  
IT Start-up, Online Web Service  
- Plan and control task execution.  
- Manage project scope, schedule, and budget.  
- Provide statistical and detailed information to management for project evaluation.  
- Ensure team deliverables meet product owner expectations.  

**Director**  
2020 – January 2021  
OOO Interlagos, Hotels / Restaurants / Entertainment Complexes  
- Analyze, develop, and implement plans aligned with organizational goals.  
- Develop and monitor business processes for production.  
- Conduct competitor analysis and reporting.  

**HR Manager**  
April 2016 – May 2019  
PrAT Hotel Salut, Hotels / Restaurants / Entertainment Complexes  
- Recruit and attract new staff.  
- Manage personnel records, including registration, transfers, dismissals, and work book maintenance.  
- Utilize 1C 8.3 for HR operations and admissions under the MED program.  

**Skills**  
- Contract Management  
- Communication and Soft Skills  
- Relationship Building  
- Analytical Mindset  
- Decision-Making  
- MS Office (Excel, Word, PowerPoint)  
- Google Workspace  
- 1C and Accounting Software  
- Client-Bank System  
- Scrum and Agile Principles  
- Business Concept Understanding  
- Stress and Conflict Resolution  

**Education**  
[Your Education Details]  

**Languages**  
[Your Language Proficiency]  

**Certifications**  
[Your Certifications, if applicable]"
2656,"**Work Experience**  

**Head of Department (Media Buying)**  
*[Company Name]* – *[Dates of Employment]*  
- Managed a team of 4 professionals in media buying, overseeing resource allocation for advertising specialists.  
- Led department operations for 4 months until company shifted direction.  

**Project Manager (News Project)**  
*[Company Name]* – *[Dates of Employment]*  
- Directed all aspects of a short-term news project, including planning, recruitment, interviews, and performance oversight.  
- Managed a team of 8-10 employees, handling onboarding, quality control, payroll, and bonuses.  
- Successfully executed the project within the 3-month timeframe before closure.  

**Sales / Account Manager**  
*PAYADMIT* – *MARCH 2022 - PRESENT*  
- Conducted lead generation, initial client outreach, and sales of payment solutions.  
- Managed client relationships through onboarding, dispute resolution, and ongoing support.  
- Developed and presented customized offers to clients.  

**Account Manager (Media Buying)**  
*ACIDBRO* – *JANUARY 2021 - MARCH 2022*  
- Prepared and configured advertising accounts for high-risk verticals.  
- Executed and optimized ad campaigns.  
- Assisted the technical team with server/proxy procurement, site hosting, app uploads (Google Play/App Store), and account farming.  

**Industry Focus:** High-risk verticals, including Gambling and Betting."
2657,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced in testing from specification analysis to re-testing. Skilled in creating websites using semantic languages (HTML, CSS) and adding interactivity with JavaScript, jQuery, and React. Proficient in application development, agile development processes, project management tools, and processes. Experienced in creating technical documentation, filling out Gantt charts and roadmaps, participating in mockup creation, invoicing, and negotiations.  

**Technical Skills**  
- **Web Development:** HTML, CSS, JavaScript, jQuery, React  
- **Testing:** Specification analysis, re-testing  
- **Project Management:** Gantt charts, roadmaps, agile development processes  
- **Documentation:** Technical documentation, mockup creation  
- **Other:** Invoicing, negotiations  

**Professional Experience**  
**Web Developer & Tester**  
- Developed websites using HTML, CSS, JavaScript, jQuery, and React.  
- Conducted testing from specification analysis to re-testing.  
- Created technical documentation and participated in mockup creation.  
- Utilized project management tools and processes, including Gantt charts and roadmaps.  
- Engaged in invoicing and negotiations.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  

**Languages**  
- English: Proficient (ready to interview in English)"
2658,"McCann Kyiv (Client – Vodafone, Unicef, Carlsberg)  
Role: Senior Account/Project Manager  

Core Responsibilities:  
• Coordinated and managed projects at all stages;  
• Oversaw TVC (local shooting), OOH, and video production;  
• Conducted tenders, briefings, and collaborated with vendors; managed budgeting, payment terms, and timelines;  
• Worked with internal creative teams, selected resources for project implementation, and ensured control and coordination;  
• Prepared daily, weekly, and monthly reports for clients and agency;  
• Managed financial data control.  

Cheil Ukraine (Samsung Electronics Ukraine)  
Role: Project Manager  

Core Responsibilities:  
• Coordinated and managed projects at all stages;  
• Oversaw TVC, OOH, Retail (POSM), digital, BTL, and video adaptation;  
• Conducted tenders, briefings, and collaborated with vendors; managed budgeting, payment terms, and timelines;  
• Worked with internal agency teams, selected resources for project implementation, and ensured control and coordination;  
• Prepared daily, weekly, and monthly reports for clients and agency;  
• Managed financial data control."
2659,"New Engineering Outsourcing Business from Scratch  
• Acquired new customers and managed their projects  
• Expanded team to support existing projects  

**Project Management Experience**  
• 6 years in IT banking, digital marketing, aerospace, and automotive industries  
• Frameworks: ITIL, Kanban, PMBoK, BPMN  
• Tools: Omnitracker, Jira, MS Project, Visio  
• Expertise in negotiations, sales, regulations, and business process documentation  

**Education and Certifications**  
• PM Master Degree Diploma  
• IPMA Certified  
• British Council Diploma - Business English Advanced (95%)  

**Additional Experience**  
• 3 years of on-site job experience in the US  

**Professional Attributes**  
• Mature corporate culture understanding  
• Experience with large, complex projects  
• Collaborative and open-minded team player"
2660,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking a position as Project Manager, Project Coordinator, Account Manager, Business Analyst, or Business Development Manager to leverage my management skills and industry experience.  

**Professional Experience**  
**Regional Director**  
[Company Name] | [Dates]  
- Manage communication between the team and the company owner abroad.  
- Oversee documentation processes.  

**Customer Support Manager**  
[Company Name] | [Dates]  
- Provide customer support and resolve issues efficiently.  

**Sales Manager**  
[Startup Company Name] | [Dates]  
- Managed sales operations in a small startup environment.  

**Recruiter**  
[Company Name] | [Dates]  
- Conducted talent acquisition and recruitment activities.  

**Education & Training**  
- Attended Project Management courses to enhance skills in managing projects, risk management, and customer negotiations.  

**Skills**  
- Business Communications  
- Business Negotiations  
- Issue Resolution  
- Requirements Analysis  
- Risk Management  
- Conflict Resolution  
- Customer Service  
- Public Relations  
- International/Intercultural Relations  
- Recruiting  
- Talent Acquisition  
- Translations  

**Language Proficiency**  
English: Upper-Intermediate to Advanced  

**Interests**  
Fast learner with a strong interest in project management and business development."
2741,"Personal Rewards & Recognitions: CEO Award 2014; CBN Award 2013  

**Head of Facilities, Ukraine Operations**  
Dev-Pro.net (Kyiv, Lviv, Dnipro, Kharkiv, 5 development centers)  
2022 – Present  
- Lead administrative function, ensuring business continuity and launch operations.  
- Oversee all aspects of services and operations for existing 5,000+ sq.m. facilities across development centers in Ukraine and additional company space.  
- Manage a team of 15+ people.  

**Site TS Program Manager, HS&E Department Leader**  
Procter & Gamble LLC  
2016 – 2022  
- Led 6 external audits without critical observations.  
- Managed third and fourth site phase development (2015-2018).  
- Restructured and merged several units into one department.  
- Optimized operating expenses and utilities (-23% FYTD).  
- Negotiated with authorities, lowering land rental rates from 13% to 6%, saving 37% of general plant costs (2017-2018).  
- Started up A and A+ class facilities totaling 4,500 sq.m. across 5 locations.  

**Operations Technology Project Leader**  
Procter & Gamble LLC  
2015 – 2017  
- Led international projects, including the startup of new production lines for Tide, Ariel, and Gala, and the discontinuation of brands DAX and BONUX.  
- Optimized manufacturing capacities and support departments (raw and pack materials).  
- Achieved process reliability of 84%, unplanned downtime of less than 2%, and scrap of less than 1% in 2015.  
- Restructured plant infrastructure, transferred warehouses to 3PL, and renovated production facilities, boiler house, and compressors.  

**Operations Manager**  
Procter & Gamble LLC  
2013 – 2015  
- Optimized manufacturing capacities and support departments at the factory (Feb 2013 – May 2014).  

**Skills**  
Operations Management | Administrative Facilities Management | Managed Services | Head of Customer Service | Project Management | Startup Management | System Integration | Team Management | Change Management | Business Development | Product Management"
2766,"Here’s your improved resume with refined formatting and concise phrasing while maintaining factual accuracy:  

---  

**Professional Experience**  
- Led seven-figure marketing campaigns, including trafficking and optimization.  
- Increased yield by 20% in CEE markets by implementing new targeting strategies.  
- Developed the concept, architecture, and management of a rich media advertising platform to expand publisher capabilities.  
- Improved ad unit viewability by 40% to combat banner blindness.  

**Key Achievements**  
- 8+ years of digital marketing experience across global markets.  
- Partnered with major brands (Ubisoft, Sony, Nintendo, Samsung, Apple).  
- Expertise in performance marketing, ad operations, and publisher-side yield optimization.  

**Skills**  
- Revenue growth strategies  
- Cross-market campaign management  
- Programmatic advertising  

---"
2793,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced Art-Director and Project Manager with a strong background in advertising, team leadership, and digital marketing. Skilled in ad campaign management, competitor analysis, and SEO optimization. Proficient in English, Ukrainian, and Russian.  

**Education**  
2022 - Completed Advertising Course - Hillel School  
Computer Technology Degree  

**Professional Experience**  
**Model**  
2022 - Present  

**Art-Director/Stage Manager**  
Synergy Group | 2018 - 2021  
- Directed creative projects and managed stage productions.  
- Coordinated tasks for designers, content writers, and freelancers.  
- Conducted deep product and competitor research.  

**Disc Jockey**  
2018 - Present  

**Skills**  
- Proficient in Google Ads, FB Ads, Mytarget, Taboola, Capterra, LinkedIn Ads (EU and USA markets).  
- Ad performance analysis, competitor ad analysis, and media planning.  
- Keyword planning and optimization for search campaigns.  
- SEO tasks: keywords, titles, descriptions.  
- Analytical reporting and implementing strategies for improved results.  
- Partner communication, project discussions, and implementation.  

**Additional Skills**  
- Team player with strong organizational skills and deadline adherence.  
- Fluent in English, Ukrainian, and Russian.  

**Interests**  
- Engaging in interesting and challenging tasks.  
- Thriving in positive and collaborative online office environments."
2810,"SUPPORT SPECIALIST (FINANCE)  
NDA (GAMBLING)  
2021 - 02.2023  
- Provided technical support for financial issues.  
- Prepared and analyzed financial statements.  

Project Manager  
COWBOY ART  
(ADVERTISING AND PR SERVICES)  
- Conducted analysis of the advertising market in Ukraine and globally.  
- Acted as a brand ambassador for client projects.  
- Ensured customer protection and compliance.  
- Prepared and analyzed profit reports.  
- Developed and presented project proposals.  
- Managed and maintained projects from initiation to completion.  

Project Manager  
SICORE  
(ADVERTISING AND PR SERVICES)  
04.2018 - 02.2020  
- Researched and analyzed the outdoor advertising market.  
- Achieved planned sales targets and KPIs.  
- Identified and acquired new customers.  
- Conducted meetings, presentations, and negotiations.  
- Collaborated with internal departments to ensure project success."
2824,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced Affiliate Manager with over 7 years of expertise in launching and managing affiliate programs across diverse niche markets, including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Skilled in managing both third-party networks and in-house programs, with a proven track record of driving revenue through affiliate recruitment and management. Additional experience in account management, marketing analysis, and project coordination.  

**Core Competencies**  
- Affiliate Program Management  
- Account Management  
- Marketing Analysis  
- Competitor Research  
- Campaign Optimization  
- Email Marketing  
- Social Media Marketing  
- A/B Testing  
- SEO & PPC  
- B2B Activities  
- Project Coordination  

**Professional Experience**  

**Affiliate Manager**  
[Company Name] | [Dates]  
- Launched affiliate programs from scratch across various niche markets.  
- Managed and optimized affiliate campaigns, analyzing daily, weekly, and monthly trends.  
- Recruited and managed top-performing affiliates to drive revenue.  
- Communicated with internal and external stakeholders, ensuring campaign delivery and performance.  
- Created and coordinated text slogans, banners, HTML creatives, and landing pages for new projects.  
- Conducted competitor analysis to identify market positioning, features, and pricing strategies.  
- Managed B2B activities, including partner acquisition, brand awareness campaigns, and email marketing.  
- Oversaw social media activities, including corporate Facebook, Twitter, and Google+ accounts, focusing on engagement, content sharing, and traffic generation.  
- Utilized CPA networks such as Commission Junction, LinkShare, Linkconnector, Webgains, and Shareasale.  

**Account Manager**  
[Company Name] | [Dates]  
- Managed relationships with advertisers and affiliates, ensuring campaign success.  
- Coordinated benefits and agreements in line with signed contracts.  
- Developed marketing materials and improved company websites.  
- Conducted A/B testing to optimize campaign performance.  
- Promoted company websites through SEO, PPC, and email marketing.  

**Marketing Analyst**  
[Company Name] | [Dates]  
- Investigated data collection markets, including surveys and forms.  
- Provided competitor analysis to inform marketing strategies.  
- Coordinated marketing communications, including webinars and email campaigns.  
- Collaborated with Brand and Project Management departments.  
- Engaged in partner programs to expand market reach.  

**Project Manager**  
[Company Name] | [Dates]  
- Completed a Project Management course from Laba, earning an EADL diploma.  
- Managed IT projects with 2-3 subordinates, leveraging 10 years of IT experience.  

**Education**  
EADL Diploma in Project Management | Laba | [Year]  

**Technical Skills**  
CPA Networks: Commission Junction, LinkShare, Linkconnector, Webgains, Shareasale  
Tools: SEO, PPC, Email Marketing, A/B Testing, Social Media Platforms  

**Languages**  
[Languages you speak, if applicable]"
3002,"**Professional Summary**  
Dedicated support professional with extensive experience in customer service, team coordination, and process optimization. Proven ability to mentor team members, enhance service efficiency, and implement improvements. Seeking a managerial role to leverage expertise and further develop leadership skills.  

**Key Skills**  
- Order verification and processing  
- Multichannel customer support (calls, chats)  
- Workflow organization and optimization  
- Team mentoring and onboarding  
- Process improvement initiatives  

**Work Experience**  
**Support Agent**  
- Managed order verification, processing, and customer inquiries via calls, chats, and related tasks.  
- Organized and streamlined team workflows for improved efficiency.  
- Mentored and trained new team members to ensure adherence to standards.  
- Identified and implemented service enhancements to elevate customer experience.  

**Career Objective**  
Transitioning to a managerial position to apply my expertise in team leadership and operational improvement while gaining new professional growth opportunities. Prefer roles focused on service or operational management over sales."
3021,"**Resume**  

**Goal**  
Affiliate Manager / Project Manager in an international company/organization.  

**Professional Experience**  
**Head of Project** (2020–2021)  
- Ensured project survival without outdoor advertising during pandemic restrictions, maintaining consistent visitor growth.  
- Managed IT & Cyber Security working group, elevating it to ""committee"" status within one year.  

**Business Development Manager**  
The German-Ukrainian Chamber of Industry and Commerce (2019–2020)  
- Created, planned, and implemented complex projects from scratch.  
- Prepared content and organized online/offline events.  
- Managed teams of up to 8 people.  
- Coordinated working groups and communities.  
- Built relationships with local and international partners.  

**Key Skills & Achievements**  
- 4+ years of successful management experience with strong focus on results and deadlines.  
- Expertise in project development, team leadership, and cross-functional coordination.  
- Proven ability to drive growth and foster partnerships in challenging environments."
3093,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced IT professional with nine years of expertise working with startups in mobile apps, B2B, and SaaS applications. Skilled in collaborating with diverse teams, including internal and outsourced employees from various cultures and nationalities. Over the past four years, contributed to a scale-up company during its hyper-growth phase, leveraging skills to lead transformation and growth. Proven ability to manage, coach, and mentor teams while fostering Agile and Lean mindsets. Adept at creating environments that empower individuals to excel and delivering business value through clear communication, data-driven decision-making, and strong relationship-building. Proficient in tools such as Jira, Confluence, GitHub, and Code Climate to enhance transparency and streamline processes for continuous improvement.  

**Professional Experience**  
**IT Professional**  
[Company Name] – [Location]  
[Start Date] – Present  
- Supported a scale-up company through hyper-growth, driving transformation and growth initiatives.  
- Coached, supported, and guided teams to adopt Agile and Lean mindsets, ensuring delivery of business value.  
- Created an empowering environment for team members to achieve their full potential.  
- Developed clear and concise communication strategies to evaluate information/data and make informed decisions.  
- Built strong relationships with team members and stakeholders to foster collaboration and success.  
- Utilized tools such as Jira, Confluence, GitHub, and Code Climate to enhance transparency and organize processes for continuous improvement.  

**Skills**  
- Agile and Lean methodologies  
- Team coaching and mentoring  
- Transformation and growth leadership  
- Cross-cultural collaboration  
- Data-driven decision-making  
- Process optimization and transparency  
- Proficiency in Jira, Confluence, GitHub, and Code Climate  

**Education**  
[Degree, if applicable]  
[Institution Name] – [Location]  
[Graduation Year, if applicable]  

**Languages**  
[List any languages you speak, if applicable]  

**Certifications**  
[List any relevant certifications, if applicable]"
3105,"Established and improved PMO, Delivery management (50+ employees), Pre-sales, Risk Management, Budgeting and cost-controlling, Process Improvements, Quality management, Leadership, People management, Lean Agile, Rolling wave planning.  

10+ years in management and technology roles within IT outsourcing and outstaffing. Strengthened compliance, improved processes, and elevated output, quality, customer satisfaction, and employee morale to all-time highs. Conceptualized and executed program vision from start to finish, managing complex milestones while adapting to changes and shifting priorities. Led international, cross-functional, and distributed engineering teams in delivering strategic initiatives proven to enhance systems, processes, and bottom-line results. Highly effective at managing stringent budgets, driving cost savings, improving delivery, and forecasting for additional needs.  

Stimulating and rewarding career with numerous opportunities for professional and personal development. Worked closely with clients nationally and internationally. Willing and able to travel."
3113,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced IT professional with over 10 years of expertise in project management, agile methodologies, and product ownership. Certified in multiple disciplines including Project Management (PMP), Scrum Mastery (CSM, SASM), Agile Coaching (ICP-ACC), and Kanban (KMP1). Skilled in facilitating teams, managing complex projects, and delivering web/mobile solutions across healthcare, education, social media, and insurance sectors. Proficient in tools such as Jira, Azure DevOps, Miro, and Microsoft Power BI.  

**Certifications**  
- Project Management Professional (PMP) – PMI  
- Certified Scrum Product Owner (CSPO) – Scrum Alliance  
- Certified Scrum Master (CSM) – Scrum Alliance  
- SAFe Advanced Scrum Master (SASM)  
- Kanban System Design (KMP1) – Kanban University  
- Kanban Maturity Model – Kanban University  
- Kanban Coaching Practices – Kanban University  
- Certified Agile Coach (ICP-ACC) – ICAgile  
- Certified Trainer – ICAgile  
- Registered Product Owner at Scale (RPOAS) – Scrum at Scale  
- Registered Scrum at Scale Fundamentals (RSASF) – Scrum at Scale  
- Facilitator – International Association of Facilitators (IAF)  

**Technical Skills**  
- **Methodologies:** RUP, Waterfall, Agile  
- **Tools:** Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind, Balsamiq Mockups, draw.io  
- **Languages:** SQL  
- **Modeling:** BPMN, UML (base level)  
- **MS Office:** MS Project, Word, Excel, PowerPoint, Outlook  

**Professional Experience**  
**IT Professional**  
- Over 10 years of experience in IT, specializing in project management, business analysis, and agile practices.  
- Managed web/mobile projects in healthcare, education, social media, and insurance domains.  
- Applied product ownership and business analysis skills to deliver successful outcomes.  
- Facilitated teams and coached organizations in agile and Kanban methodologies.  

**Languages**  
- English: Upper-Intermediate"
3118,"[Your Name]  
[Your Contact Information]  

**Education**  
Warsaw University of Technology (WUT)  
Faculty of Computer Science (studied in English)  
Study Grant Recipient | Duration: 1 year and 6 months  

**Professional Experience**  
**Tech Lead, Project Manager Department**  
Duration: 1 year and 3 months  
- Led and managed project teams, ensuring successful project delivery.  
- Collaborated with stakeholders to align project goals with business objectives.  

**Project Manager**  
Duration: 1 year  
- Oversaw project planning, approval, and execution.  
- Transformed customer requirements into actionable project plans.  
- Delivered lectures on Project Management, team dynamics, and customer understanding at 3 annual conferences.  

**Front-end Developer**  
Duration: 4 months  
- Contributed to the development of a Fortune TOP 500 website.  
- Successfully launched 8 new domains, exceeding the initial target of one.  

**Single Point of Contact**  
Duration: 2 months  
- Acted as the primary liaison between teams and stakeholders.  

**Skills**  
- Project Management  
- Team Leadership  
- Stakeholder Collaboration  
- Front-end Development  
- Customer Requirement Analysis  

**Achievements**  
- Launched 8 new domains for a Fortune TOP 500 website.  
- Delivered impactful lectures at 3 annual conferences on Project Management and team dynamics.  

**Work Environment**  
Cozy office and friendly team atmosphere.  

**Additional Information**  
Available upon request: Detailed CV with technical skills and project-specific information."
3120,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced professional skilled in managing time and material projects, fixed-price projects, and enterprise-level development across e-commerce, financial, and big data domains. Proficient in risk management, time management, cost management, and scheduling. Strong leadership, communication, and negotiation abilities. Expertise in Agile, Scrum, and Kanban methodologies. Proficient in tools including Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble.  

**Skills**  
• Time and Material Project Management  
• Fixed Price Project Management  
• Enterprise Development  
• E-commerce Development  
• Financial Development  
• Big Data Development  
• Risk Management  
• Time Management  
• Cost Management  
• Scheduling  
• Leadership  
• Communication  
• Negotiation  
• Agile Methodologies  
• Scrum  
• Kanban  
• Jira  
• Confluence  
• Trello  
• Redmine  
• VSTS  
• Salesforce  
• Kimble  

**Professional Experience**  
[Company Name] – [Job Title]  
[Start Date] – [End Date]  
• Managed time and material projects and fixed-price projects.  
• Led enterprise-level development initiatives in e-commerce, financial, and big data domains.  
• Implemented risk management, time management, cost management, and scheduling strategies.  
• Utilized Agile, Scrum, and Kanban methodologies to drive project success.  
• Collaborated with cross-functional teams using tools such as Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble.  

**Education**  
[Degree] – [Institution Name]  
[Graduation Year]  

**Certifications**  
[Certification Name] – [Issuing Organization]  
[Year Earned]  

**Languages**  
[Language] – [Proficiency Level]  

**References**  
Available upon request."
3122,"**Professional Summary**  
Experienced Agile Delivery Manager with a strong background in version planning, CI/CD pipelines (Jenkins, GitHub Actions), and cloud deployments (Azure, AWS). Skilled in establishing and optimizing delivery and release processes, leading Scrum events, and managing project artifacts. Adept at creating roadmaps, resource plans, and mitigating risks to ensure timely value delivery. Collaborative team leader with expertise in stakeholder engagement, pre-sales activities, and process improvement. Passionate about contributing to meaningful projects that drive positive impact.  

**Key Skills**  
- Agile & Scrum methodologies  
- CI/CD pipeline management (Jenkins, GitHub Actions)  
- Cloud deployment (Azure, AWS)  
- Release & delivery process optimization  
- Roadmapping & resource planning  
- Business requirements & user story documentation  
- Stakeholder collaboration & pre-sales support  
- Team leadership & mentorship  
- Risk mitigation & issue resolution  

**Professional Experience**  
**Agile Delivery Manager**  
- Planned and executed version releases, managing builds via Jenkins and GitHub Actions, and deploying to Azure and AWS environments (dev and production).  
- Established and streamlined end-to-end delivery and release processes from scratch.  
- Organized and facilitated Scrum events (stand-ups, retrospectives, sprint planning) and maintained Scrum artifacts.  
- Developed project roadmaps, resource plans, charters, and reports to ensure on-time value delivery.  
- Authored business requirements, user stories, and job stories, conducting domain research to gather critical insights.  
- Collaborated closely with developers, UI/UX teams, and stakeholders to drive project success.  
- Supported pre-sales activities, including client meetings, estimations, and proposal preparation.  
- Contributed to company process improvements, role documentation, and stakeholder interviews, working alongside the CTO.  
- Led teams through daily stand-ups, 1:1 meetings, retrospectives, task management, and skills development.  

**Values & Interests**  
- Committed to ethical work, avoiding industries such as gambling, betting, banking, and dating.  
- Passionate about projects that create meaningful, positive change.  
- Thrives in collaborative environments where continuous learning and growth are encouraged.  

**Career Objective**  
Seeking a role where diverse expertise can drive impactful results while fostering professional development."
3123,"Certified Agile Project Manager | Certified Scrum Master  
Experienced in IT Project Management, Business Analysis, and Product Development  

**Key Skills**  
Agile Methodologies (Scrum, Kanban, DSDM) | Project Management Tools (Jira, Redmine) | Business Analysis | UI/UX Design | Prototyping (Axure) | Remote Team Management | Change/Risk Management | Scope Clarification & Prioritization | Leadership & Delegation | Business Development | Advanced Business English | Technical Background (PHP, Drupal, iOS, Android)  

**Professional Experience**  
- Managed IT projects from inception to completion, including startups and long-term products.  
- Led cross-functional teams in projects with 80+ members, ensuring successful delivery.  
- Conducted medical, business, and educational projects/products, implementing business analysis stages in customer relations.  
- Discovered and expanded into new Western markets, driving business growth.  
- Hired and managed developers, fostering a collaborative and productive team environment.  
- Completed dozens of projects successfully, fulfilling roles as Project Manager, UX Designer, Business Analyst, and QA Specialist.  
- Engaged clients in technology discussions, aligning solutions with business needs.  
- Managed remote teams effectively, ensuring seamless communication and project execution.  

**Certifications**  
Certified Agile Project Manager | Certified Scrum Master  

**Technical Proficiencies**  
Jira | Redmine | Axure | Mindmap | PHP | Drupal | iOS | Android  

**Languages**  
Advanced Business English  

**Preferences**  
Product-oriented companies | Professional growth opportunities | Informal work environment | Office near metro station"
3133,"8 years of experience as a Project Manager, Business Analyst, and Scrum Master in outsourcing and product environments.  

**Core Competencies:**  
- Agile project management (Scrum, XP, Kanban).  
- Product ownership and business analysis.  
- Presale activities (solution design, estimation).  
- Leading multiple development teams (3-9 members each) and managing concurrent projects.  

**Key Contributions:**  
- Guided teams and clients in Agile adoption (MVP, feedback loops, CI, pair programming, TDD, code reviews).  
- Improved organizational processes (Presale, Hiring, Onboarding, Feedback).  
- Provided 1:1 coaching and group facilitation (certified coach).  

**Business Domains:** Web, E-commerce, Gaming.  

**Workload Capacity:**  
- 1-3 concurrent projects/teams  
- OR 1-2 projects/teams + Presale engagement.  

**Principles:** Transparency in communication, simplicity in processes."
3134,"Bitbay.Market  
01/2018 - 06/2018 | Kharkiv Blockchain Project  
- Developed a suite of free-to-use, multi-platform applications, including the world’s first fully-functional Decentralized Marketplace.  
- Delivered MVP two weeks ahead of schedule, leading to a client investment exceeding $1 million.  
- Applied Agile methodologies: Scrum, Kanban, Lean, XP, and Waterfall.  
- Managed PMO tasks, including briefs, estimations, project plans, reports, and Gantt charts.  
- Conducted risk and resource management.  
- Proficient in touch typing.  

Project Manager/Scrum Master  
Sensorama Lab | 07/2018 - 06/2028 | Kiev  
VR, AR, MR, AI Development Company  
- Implemented Agile methodologies and principles across the organization, managing sprint planning, stand-ups, reviews, and retrospectives.  
- Collaborated with Product Owner to define, document, maintain, and communicate the product roadmap.  
- Created briefs, estimations, project plans, and other documentation.  
- Translated discussions into detailed user stories, epics, and tasks, managing backlog prioritization, tracking, and acceptance.  
- Managed release scope and schedule, ensuring timely delivery of value and maintaining schedules, documentation, and status reports.  
- Refined product backlog to eliminate ambiguity in specifications.  
- Worked with management to identify and implement team process and workflow improvements.  
- Defined and refined Agile metrics and reporting to communicate team performance.  

Project Manager  
Maybe.Works | 01/2017 - 06/2018 | Kharkiv  
Outsourcing IT Company  
- Led a team of developers, designers, 3D artists, and QA testers through the project lifecycle using Agile methodologies.  
- Acted as the primary client contact, building strong relationships and managing project-related communication.  
- Created and managed schedules, user stories, risk mitigation plans, scope, and budget tracking to ensure on-time delivery.  
- Sourced and managed external partners, ensuring clear transfer of project requirements and tracking progress.  
- Reviewed contracts and authored change orders as needed."
3135,"Certified SAFe® 5 Agilist  

Completed Product Owner Mentoring Program hosted by Pentalog  

**Endava**  
December 2021 — Present  
Agile Project Manager  

**FinTech & Banking Project**  
- Completed the main part of the Product’s Annual Roadmap on time and within budget.  
- Resolved issues with scope creep and managed dependencies with third-party vendors.  
- Established communication, stakeholder management, and reporting, creating a trustworthy and transparent environment.  

**Data Centre to AWS Migration Project**  
- Created a roadmap for Discovery and Migration Strategy.  
- Facilitated the Discovery process, including communication plan and workshop planning.  
- Managed resources, including team ramp-up and onboarding process.  

**Key IVR**  
March 2020 — November 2021  
Technical Project Manager  

- Delivered 15+ projects on time and within budget.  
- Proficient knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments).  
- Conducted high-level technical review of specifications.  

**Zeroqode**  
March 2019 — March 2020  
Project / Product Manager  

- Improved Backlog Health Status by introducing DoR & DoD, enhancing estimation accuracy.  
- Completed a new landing page for the company product, setting up metrics and customer behavior tracking, increasing conversion by 10% and reducing CPA.  
- Executed a growth-hacking campaign, bringing 15% new clients with different subscription plans.  
- Conducted customer development through direct communication, surveys, and other methods.  

**Enticon.app**  
December 2018 — February 2019  
Project Manager  

- Configured workflow for the first Kanban development team.  
- Decomposed technical assignments into estimable tasks.  
- Created and managed the onboarding process for new team members.  
- Provided reporting for C-Level management.  

**EBS Integrator**  
September 2018 — December 2018  
Project Manager  

- Created a complete project plan for a Fix Price project, including scope, time, cost, quality, HR, communication, and RAID management.  
- Tracked major project metrics.  
- Conducted weekly client reporting and facilitated demo sessions.  

**GoSocial**  
February 2018 — September 2018  
Project Manager  

- Delivered 2 web projects within budget and time, managing on-site and outsourced development teams.  
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals.  

**Opportunities for Professional Growth and Development**  
- A collaborative and supportive work culture valuing teamwork, open communication, and mutual support.  
- Competitive compensation and benefits.  
- Work-life balance."
