id,Llama3-70B-Instruct-Turbo
55,"Customer Excellence ConsultantInternational Environment (Embassy) Developed and implemented successful sales strategies, resulting in improved customer satisfaction and loyalty Built strong relationships between teams, fostering effective communication and collaboration Demonstrated expertise in negotiating, creating, and editing advertising materials for the company's website Utilized translation and proofreading skills to ensure accurate and effective communication with clients Designed and launched a Facebook chat-bot, in collaboration with the Marketing team, to streamline customer requests and reduce manual resolutionCareer GoalTo join a friendly and creative team where I can further develop my skills in Project Management, learn new tactics and tools, and build strong, proactive relationships with clients to drive company growth.Note: I've reorganized the content to make it more concise and easy to read, and highlighted your achievements and skills in a clear and concise manner. I've also removed the phrase ""As for now"" and rephrased the career goal to make it more concise and focused."
56,"Education and Certifications Digital Law Certification, BCA Company Project Management Course: Beginner to Project Manager, Udemy Agile Fundamentals: Including Scrum and Kanban, Udemy (2022) Business Fundamentals: Corporate Strategy, Udemy Business Fundamentals: Marketing Strategy, Udemy Basics of Team and Project Management in IT, Prometheus Basics of Project Management, Prometheus IT Product from Scratch: Where to Start and How to Develop?, Prometheus Modern Leadership (The Art of Breaking the Rules), Prometheus HR Career: Roles, Competencies, and Challenges, Prometheus In progress: Professional Certificate in Google Project Management, CourseraWork ExperienceDean's Office Manager, Faculty of Cybersecurity and Informational Technologies Managed documentation and personal data Created various types of documentation (agreements, NDAs, financial documents) Communicated with stakeholders and negotiated with partners Oversaw HR management and event planning and organization Coordinated workflow and managed multiple projects to meet deadlinesIT-Law Teacher, IT-Academy ""STEP"" Taught IT-law courses to studentsLawyer, IT Company HOSTING.UA Managed HR and personal data Provided legal consulting services Specialized in personal data law and intellectual property law Prepared documentation for various purposes"
57,"SummaryResults-driven professional with experience in commercial procurement and key account management in the FMCG sector, seeking to leverage skills in a digital context and unlock full managerial potential.Achievements Successfully connected 9 new customers, including prominent HoReCa and retail chains, resulting in significant business growth. Spearheaded custom projects for esteemed clients, such as ATB group of companies, ""Puzata Khata"", and ""Mafia"" restaurants. Conceptualized and launched ""Daily Pizza"" departments from scratch, opening 6 new points and driving business expansion. Developed and implemented key performance indicators (KPIs) for ""Daily Pizza"" and retail staff, enhancing operational efficiency. Optimized and centralized product assortment, streamlining business operations. Created and implemented a ""Value proposition"" for the ""Culinary"" direction, driving business growth and customer engagement. Designed and developed planograms from scratch, improving visual merchandising and customer experience.Career Highlights Category Manager, Commercial Procurement (FMCG sector)	+ Managed categories, implemented projects, and drove business growth. Key Account Manager (FMCG sector)	+ Identified and connected new customers, supported business development, and fostered B2B relationships.Career TransitionSeeking to leverage my experience and skills in a digital context, unlocking my full managerial potential and driving business growth in a new and challenging environment."
58,"Here is a rewritten version of your resume that highlights your relevant skills and experiences while remaining accurate and honest:Summary:Results-driven professional with experience in team collaboration, project analysis, and strategic planning. Proven ability to gather and set technical requirements, with a strong interest in management and a desire to learn and grow in project management or business analysis roles.Experience: Team Member, Web3 Market Analysis (long-term project)	+ Collaborated with cross-functional teams to analyze projects on the web3 market	+ Gathered and set technical requirements for project implementation	+ Contributed to strategic planning for project development in foreign markets Revenue Manager	+ Managed revenue streams and optimized financial performanceSkills: Team collaboration and communication Project analysis and requirement gathering Strategic planning and market development Revenue management and financial optimizationCareer Goals:To leverage my skills and experience to secure a role in project management or business analysis, where I can apply my knowledge and enthusiasm to drive business growth and make a positive impact on people's lives.Note: I've removed the sections that mentioned your lack of experience in project management and business analysis, as well as the statement about quickly learning new tools. Instead, I've focused on highlighting your transferable skills and experiences, and emphasized your enthusiasm and desire to learn and grow in these roles."
59,"Summary:Dedicated and results-driven professional with experience in Sales Management and a strong foundation in Project Management, seeking an entry-level opportunity as a Project Manager.Work Experience:Sales ManagerAgribusiness (September 2013 - June 2017)• Managed sales of grain batches and rental of land/agricultural machinery, honing communication and negotiation skills.First-line Support OperatorKyivstar (November 2018 - February 2019)• Provided exceptional customer service, resolving inquiries and ensuring customer satisfaction across a range of services (PrePaid).Sales ManagerPolygon Ltd. (Kyivstar main contractor) (January 2013 - July 2013)• Successfully sold services through cold calling, developing strong communication and persuasion skills.SalesTelekomstroy Ltd. (October 2012 - December 2012)• Utilized cold calling techniques to drive sales growth and expand customer base.Education:Project Management CourseHillel (April 2019 - June 2019)• Completed course with honors, gaining knowledge in:	+ Software development models, methodologies, and frameworks	+ Stakeholders Management (stakeholders matrix, RACI matrix)	+ Risk Management	+ Requirements Gathering (MVP, user stories, prioritization)	+ Estimation Techniques (3-point estimation, story points, hours)	+ Project Artifacts (Proposal, SOW, Project Management Plan, etc.)	+ Resource & Budget Management	+ Backlog Management	+ PM tools: Trello, JiraEnglish CourseLinguaCats (April 2019 - ongoing)Additional Experience:IT Sales Manager, Look At Pro (January 2018 - March 2018)I hope this improved version of your resume helps you in your job search!"
60,"SummarySelf-motivated artist with over 5 years of experience in the game industry, seeking to expand my skills and knowledge through exciting projects and collaborations.Skills Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet UI/UX design expertise with Figma, Zeplin, Sketch, MarvelApp, and Invision 2D graphics skills, including pixel and vector graphics 2D design and 3D Max experience Ability to work in various styles and draw by hand Proficient in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications Game testing experience Strong presentation skills with PowerPoint Portfolio availableTools and Software Bug tracking systems: Trello and Jira Project management tools: Trello and JiraCareer ObjectiveTo join a company with a friendly team, interesting projects, and a decent wage, where I can bring others' dreams to life while working with pleasure.I made some changes to make your resume more concise and easy to read, while still accurately representing your skills and experiences. I did not add any new information or exaggerate your qualifications. Let me know if you have any further requests!"
61,"SummarySelf-motivated artist with over 5 years of experience in the game industry, seeking to expand my skills and knowledge through exciting projects and collaborations.Skills Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet UI/UX design expertise with Figma, Zeplin, Sketch, MarvelApp, and Invision 2D graphics skills, including pixel and vector graphics 2D design and 3D Max experience Ability to work in various styles and draw by hand Proficient in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications Game testing experience Strong presentation skills with PowerPoint Portfolio availableTools and Software Bug tracking systems: Trello and Jira Project management tools: Trello and JiraCareer GoalsI aim to bring people's dreams to life through my work, while enjoying the process and collaborating with a friendly team. I seek a company with interesting projects and a competitive salary.Note: I've reorganized the content to make it more concise and easy to read, while maintaining the accuracy of your original resume. I've also used a more formal tone and standardized formatting to make it more professional."
62,"Web and UX/UI DesignerSummaryDedicated web and UX/UI designer with experience in redesigning websites and creating user-friendly interfaces. Skilled in wireframing, visual design, user research, and responsive design. Passionate about contributing to projects that make a positive impact on people's lives.ExperienceWeb Designer Redesigned the Children's Music School website, creating a visually appealing and easy-to-navigate landing page that aligned with the school's brand identity	+ Conducted a thorough analysis of the existing website to identify strengths and weaknesses	+ Created a detailed wireframe of the new landing page, including a news block and prominent call to action	+ Ensured consistent color scheme and typography throughout the design	+ Incorporated responsive design principles for a seamless user experience across all devicesUX/UI Designer Designed Pet-Saver-Hub, a web service for rescuing lost and found animals, focusing on creating a user-friendly interface for easy pet search	+ Conducted user research to identify key pain points in finding lost or found pets	+ Created a detailed user flow and wireframe of the website, ensuring an intuitive and easy-to-navigate user interface	+ Incorporated interactive elements, such as a map feature, to facilitate pet searchSkills Wireframing Visual design User research Responsive design UX/UI designCareer GoalsI am eager to develop my skills in UI/UX design and contribute to projects that have significance and impact people's lives. I am looking forward to collaborating with professionals who can help me grow and learn new things. I am excited to participate in challenging projects that allow me to develop my creative potential and keep up with the latest design technologies and trends. I value communication and teamwork, which ensure effective work and achieve results.Design PhilosophyI believe that creativity and attention to detail are crucial in the design process. I am committed to actively interacting with users and collecting their feedback to improve the user experience. I am ready to put in maximum effort to ensure the high quality of my work."
63,"Creative Professional with 5+ Years of ExperienceHead of Design Department, Facility, Kiev (Mar 2018 - Present) Lead design team process optimization for diverse project types Develop concepts for websites, brands, and products, including UI/UX, animations, logo books, brand guidelines, and brandbooks Take a leading role in tenders and offline company activitiesNotable Achievements: Published on medium.com, mmr.ua, cases.media, and vc.ru Judged on CSSDA and Ukraine Creative Week; finalist for awwwards judge team Delivered educational lectures at Underhub co-workingKey Projects: Kiev Smart City, Kiev: Conceptualized and visualized Kiev Smart Card; developed dynamic city ads concepts Mastercard, Kiev: Created illustrations and limited edition products for 2018 UEFA Champions League Final; conceptualized brand activation program for Ukraine Independence Day 2018 ""Stampede Games"", Kiev: Developed visual concepts and UI for mobile games; created concept arts for game sequels	+ Featured games: Evo Explores, .projekt (top-charted)Career Highlights: Over 50 websites designed More than 30 logotypes created 4 mobile apps developed 3 games designed 1 social network launchedPersonal Statement:Opportunity for career and financial growth, interesting projects, and good management."
64,"SummaryHighly experienced design professional with over 12 years of experience, having created over 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles. Proven track record of teaching and speaking at conferences.About MeDesign is my passion. I thrive on creating pixel-perfect designs that delight users. My dream is to see design taught in schools. With a keen eye for detail, I excel at identifying weaknesses and improving projects to perfection.Experience CEO & Designer, Own Design Studio (2014)	+ Managed a team of 20 people, overseeing sales, management, hiring, and project creation UI/UX Design Teacher, Hillel IT School (2020)	+ Taught over 150 students in UI/UX and brand design Lead Product Designer, Innovation Box (2020) UX Designer, Bank BVR (2021) UI/UX & Brand Designer, Ardas (2019), M2E pro (2017), Forforce (2016), Art. Lebedev Studio (2015), «Poster» (2013), «le Weekend» (2012), «November» Design Bureau (2011) Graphic Designer, Freelance (2006)Education Master's degree in Engineering Design Currently studying for an MBASkills UI/UX design Brand design Frontend development (HTML5/CSS3/TypeScript/Vue.js) Backend development (Python, Swift)Industries eCommerce Finance Banking Investments Marketing Social Media Laws Education Development NFT Art Auto Game Building Agro Food Coffee Fashion Beauty Food Service Music Dance MMA Medicine Space Sex Sport Technique Weapon InsuranceInternational Experience Created designs for clients from the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.Note: I've reorganized the content to make it more concise and easy to read, while maintaining the accuracy of your original resume."
65,"SummaryResults-driven Digital Designer and UI Team Lead with 6+ years of experience in creating user-friendly, visually stunning solutions. Proven track record of building and managing high-performing UI design teams, delivering projects with a high level of accuracy, and driving client satisfaction.Skills Strong understanding of user experience Cross-functional experience working with developers Exceptional problem-solving skills Meticulous attention to detail and dedication to proper delivery Collaborative mindset with interest in working with brand and marketing teamsTools Adobe (Photoshop, Illustrator, Invision, After Effect) Sketch Maxcon C4D FigmaExperienceFreelance Art Director, UI Senior Designer (February 2019 - Present)UI Team Lead, UI Senior Designer, Intetics Inc. (June 2018 - January 2019) Led and managed a UI team, ensuring high-quality project delivery Oversaw web design projects from start to finish, providing feedback and guidance to UX and UI designers Collaborated with developers and QA to implement designs with a high level of accuracy Designed and created wireframes, workflows, prototypes, sketches, and high-fidelity mockups Presented and defended designs to peers and executive-level stakeholders Established and promoted design guidelines, best practices, and standardsArt Director, UI Senior Designer, Vintage Web Production (February 2015 - May 2018) Developed and executed concepts, creating ""WOW"" experiences Provided initial designs, refined directions, and worked with developers through final delivery Mentored and motivated team members, providing art direction Built presentations, crafted documentation, and delivered asset kits to developers and team members Presented creative ideas to clients in a compelling and clear manner Brought business strategy to creative execution to drive resultsUI Web Designer, Indigo Web Development (October 2014 - February 2015) Executed concepts, building presentations and crafting documentation Assisted in designing long-term projects, including services, eCommerce, and products"
66,"SummaryHighly skilled Graphic Designer and UI/UX Designer with expertise in Adobe Photoshop, Illustrator, and InDesign. Proven experience in designing key visuals, SMM materials, and printing materials. Successfully managed a small team of junior designers and introduced fresh visual styles for presentations and social media profiles.Work ExperienceGraphic Designer & UI/UX Designer, QA Madness (Nov 2022 - Present) Contributed to the company's global redesign, significantly impacting the final result Redesigned the website to reflect the new vision and style Introduced and implemented a fresh visual style for presentations Totally redesigned all SMM materials, including LinkedIn, Instagram, and DOU page Successfully incorporated 3D designs into my workGraphic Designer, Kronas (Aug 2020 - Feb 2022) Designed logos, identities, and related printing materials for new brands Developed 3-6 advertising key visuals monthly for the site, social networks, and printing Introduced and implemented a new visual style for the Instagram profile Created multi-page catalogs and brochures with products in InDesign Updated the look of the company's YouTube channel, designing covers for videos Designed a custom sticker pack for Telegram and Viber Developed the design of a new trade hall, including branding stands and navigationGraphic Designer, Design Studio ToTop (Oct 2019 - Aug 2020) Designed for various companies across different fields Created logos and identities Designed outdoor advertising, including roadside billboards, citylights, and car branding Drawn realistic product visualizations in Photoshop Designed printing materials, such as calendars, business cards, postcards, and stickers Created multi-page catalogs and brochures Achieved a notable milestone by designing a 16-page brochure in one working day, from concept to print-readyEducation Completed UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experienceSkills Expert in Adobe Photoshop and Illustrator Proficient in Adobe InDesign and Figma Some skill in Blender and After Effects"
67,"MaseSelf-Taught Designer & CreativeAchievements: Featured in Behance (15x) Featured in LogoLounge Trends Report 2021 Featured in LogoLounge Book 12 Featured in World Logo & Mark Book (Japan 2020) Winner of 50+ Logo Contests (2015-2018)About Me:Highly motivated and creative designer with 9+ years of experience in design, passionate about staying at the forefront of design trends and generating innovative ideas. Proficient in a wide range of design disciplines, including logo design, branding, UI/UX, 3D modeling, and animation.Experience:Freelance designer with a diverse portfolio of international clients and projects. Additionally, 3+ years of experience working in teams and agencies.Current Goals:Seeking a collaborative team environment to create impactful products and solutions that make a positive difference. Eager to expand knowledge in UI/UX and neural network development.Recent Projects: 3D logo animation & branding for volunteer organization, Bless-Ukraine.com Logo & branding for social music platform, Hook (Coming soon)  Logo design for crypto-based fund, Ignaz.com Logo & branding for music production studio, AnemoNoise.com Logo & branding for crypto-based game, ""NDA for now"" (Coming soon)Skills: Logo & Branding / Brandbooks & Guidelines UI/UX Adaptive Web & Mobile design Html/CSS/Js Typography & Fonts Visual design & Presentations 3D Modeling & Animation Illustrations, Icons & other GamingSoftware Proficiency: Adobe (Illustrator, Photoshop, After Effects, Lightroom) Figma Blender Keynote Webflow Readymag Spline Notion Gpt3"
68,"Summary:Highly motivated and experienced Lead UX/UI Designer with over 4 years of experience, skilled in analyzing problems and generating innovative solutions. Proven ability to structure processes, create effective documentation, and lead teams to success. Committed to continuous improvement, incorporating new knowledge into workflows, and utilizing creativity to drive results.Design Experience: Designed landing pages, native and cross-platform applications, complex CRM systems, and CMS interfaces Created engaging casual game interfaces, marketing materials, and social media branding Developed branding and logos, and produced illustrationsManagement and Leadership Experience: Built and led a team of designers from scratch, providing training and mentorship to junior designers Developed a comprehensive development matrix to streamline processes Demonstrated strong problem-solving skills, ensuring timely project delivery Fostered a supportive team environment, prioritizing mental well-being and individual growthKey Strengths: Strong communication and interpersonal skills, with a willingness to mentor and explain design concepts to clients Highly structured and organized, with a focus on process improvement and documentation Actively involved in company life, with a passion for implementing new ideas and driving positive change Committed to individualized team management, with regular feedback sessions and a focus on team developmentPersonal Values:Dedicated to creating products that benefit users, and avoiding involvement with services that may cause harm or negative impacts."
69,"About MeHighly experienced website, mobile, and graphic designer with a strong commercial background of over 6 years in various agencies. Proven track record of delivering high-quality designs, with a personal contribution to over 100 website designs, brand, and advertising projects.Expertise UX prototyping UI design for desktop and mobile applications Motion design Graphic design (Printed Products, Banners, Illustrations, Icons) Web design (Responsive, Adaptive) Mobile design (iOS, Android) Wireframes Interactive prototypes Atomic design principles User personas and user flows Basics of HTML, CSSProficient in Figma (team libraries, auto layout, components properties, branches) Adobe Photoshop (excellent level of proficiency) Adobe Illustrator (excellent level of proficiency) Adobe After Effects (confident level)Career GoalsTo join a strong team and contribute my artistic taste to contemporary design, while working on interesting projects that allow me to realize my full potential."
70,"Summary:Results-driven project management professional with 9+ years of experience in organizing and executing international conferences. Proven track record of successful team management, negotiation, and communication with top-level representatives of international companies. Skilled in sales, planning, time management, and customer relationships. Possesses analytical thinking, problem-solving, and quick learning abilities.Certifications: ""IT Project Management"" ""Technical Skills for PMs & BAs""Professional Experience: Project Manager (9+ years)	+ Organized and carried out international conferences	+ Successfully managed teams of up to 10 people, including goal setting, motivation, coaching, conflict resolution, hiring, and retention	+ Developed and executed effective sales strategies, resulting in customer acquisition and brand promotionSkills: Excellent negotiation and communication skills Strong sales, planning, and time management abilities Proven organizational and team management skills Analytical thinking, problem-solving, and quick learning abilities Ability to adapt to new professional domains and implement relevant experience and expertiseCareer Objective:To join an IT company that offers a challenging and stimulating environment, where I can utilize my management, communication, and sales skills to contribute to the company's development and prosperity.I made the following changes to improve your resume: Added a summary section to provide a brief overview of your experience and skills Reorganized the certifications and professional experience sections to make them more concise and easy to read Emphasized your achievements and skills in the professional experience section Removed the ""I am proud of"" and ""I look forward to"" phrases to make the language more professional and concise Standardized the formatting and punctuation throughout the resume"
71,"SummaryDedicated and organized professional with 2 years of experience in international companies, including product and IT consulting firms. Proven track record of improving workflows, enhancing company values, and developing skills in project management, HR, and IT.Work ExperienceHR Assistant,  Improved company benefits system and renewed Company Values document Developed skills in organization, time management, talent and resource management, leadership, and problem-solving Administered Jira, Google, and Slack accounts, and conducted engagement meetings and 1-on-1s Created company documents and conducted training sessionsProduct Company,  Learned SAP and developed skills in working with products and partners Practiced Excel and improved data analysis skillsEducation Project Management Learning Course, 	+ Learned technical documentation preparation, Gantt chart, Roadmap, and Timeline creation	+ Developed skills in Scrum frameworks, Agile methodology, and Kanban methodology	+ Improved planning and prioritizing skillsCareer GoalsSeeking a company where my skills can be utilized to drive growth and development, and where I can gain invaluable experience to contribute to the company's success."
72,"Project Management ProfessionalSummary:Results-driven project manager with 5+ years of experience in management, leading teams to achieve high standards and increase profits. Skilled in Agile Methodology (Scrum, Kanban) and dedicated to creating a friendly and goal-oriented team environment.Professional Experience:Retail Department Store LeaderManaged a luxury perfume, cosmetics, and interior design items department store, ensuring attention to detail and a close team working process to drive profits.Key Skills: Agile Methodology (Scrum, Kanban) Team Management and Coaching Problem-Solving and Conflict Resolution Customer and Performer Satisfaction International Market Experience (American and European Markets)Personal Qualities: Strong attention to detail and analytical skills Passionate about understanding human behavior and motivations Friendly and goal-oriented team player Ability to work under pressure and find win-win solutionsLocation:Kyiv, UkraineCareer Goals:Seeking to continue my management career as a trainee/junior project manager in a new area, utilizing my skills and experience to drive success."
73,"Entrepreneur & EducatorSummary:Results-driven professional with experience in management, personnel leadership, and education. Proven ability to communicate effectively with customers and teams. Seeking to leverage my skills and experience to start a new career as a PM Assistant/Business Analyst Assistant in the IT field.Professional Experience:Co-Founder & Business Owner (2015 - Present) Co-founded three companies providing management and trade services, with a focus on repair works and complex maintenance of residential objects Successfully opened and operated five stores, with a total of 26 employees; currently managing three stores with 18 employees Developed and demonstrated strong personnel management skills, with experience leading teams of over 30 peopleLecturer (2015 - Present) Lviv Ivan Franko National University, Department of Ukrainian Studies Taught Ukrainian language to foreign students, honing communication and teaching skillsLecturer (2014 - 2015) Lviv Danylo Halytskyi Medical University, Department of Ukrainian Studies Taught Ukrainian language to foreign students, developing strong communication and teaching skillsTranslator (2011 - 2011) Utilized language skills to facilitate effective communication between partiesI hope this improved version of your resume meets your requirements!"
74,"Summary:Results-driven professional with administrative experience seeking a Junior Project Manager position in the IT industry. Proven track record of improving processes, financial performance, and customer satisfaction. Eager to leverage transferable skills from hospitality and administrative backgrounds to drive success.Professional Experience:Administrative Director Spearheaded initiatives to enhance administrative and studying processes, resulting in improved financial performance and a positive impact on the company Successfully implemented 7 new courses, with 4 additional courses in development, expanding the existing portfolio of 38 courses Achieved an average monthly net income increase of 22% and an average monthly increase of 18% in signed training contracts Introduced changes in management and communication methods, leading to a significant increase in positive Google reviewsCareer Aspirations:I am excited to bring my skills and experience to a Junior Project Manager role in the IT industry, where I can continue to develop as a professional and contribute to a positive team environment."
75,"Achievement-Oriented Professional with International ExperienceAs a recent graduate with a double-degree master's program in Lithuania and Belgium, I bring a unique blend of management, logistics, and marketing skills to the table. With experience working in diverse environments across 5 countries, I possess exceptional intercultural communication skills.Summary:Results-driven professional seeking to leverage my management and marketing expertise in a business development role. Proven track record in small business management, European and American logistics, and team collaboration.Work Experience:Transport ManagerHegelmann Transporte UAB, Kaunas, Lithuania (March 2018 - September 2018) Managed a fleet of 25-30 trucks daily across Europe Coordinated with truck personnel, developed solutions to unexpected issues, and prepared initial documents Established customer relationships and negotiated delivery termsAfterhours Freight DispatcherGeneral Freight Experts Inc., Ternopil, Ukraine (June 2017 - July 2017) Booked freights on the US territory and pre-planned routes for 4-6 assigned drivers Built customer relationships, stayed updated on freight trends, and mitigated financial risks by verifying freight brokers' credit ratings Negotiated and drafted commercial contracts for new and existing clientsStore ManagerBuchach Coffee Store, Ukraine (December 2015 - June 2016) Communicated with suppliers, served customers, and monitored service standards Maintained technical equipment and trained staffPersonal Expectation:I aim to join a team where individuals support each other to achieve common goals."
76,"Art Director & Project ManagerInternational Film Experience PLAN A (Germany, Israel): WWII drama starring August Diel and Sylvia Hocs. Led Ukrainian production, building destroyed streets of Nurnberg 1945. Check Out (Israel): Starring Josh Peis. Managed reconstruction of Turkey in the 90s, shot in Ukraine. Victory (Israel): Historical musical. Oversaw reconstruction of Tel-Aviv in the 60s, with various musical stages. Arugam Bay (Israel): Shot on location in Sri Lanka. Managed international art department team.Professional Development Female Leader Summit, European Leadership Debate Academy (2021) Agile Course (2021) Project Manager Course (2022) Soft Skills Course (2022) HR-Manager Course (2022)SummaryResults-driven Art Director with 5 years of experience in international film production, including 1.5 years as Head of Creative Team at SE film production, a Ukraine-Israeli production company. Proven track record of delivering projects on time and within budget. Skilled in budgeting, timeline management, and reporting. Possesses strong attention to detail, passion for film and television, excellent communication skills, and ability to thrive in team environments.Let me know if you'd like me to make any further adjustments!"
77,"SummaryHighly motivated and flexible professional with experience in Event Management, seeking to transition into Project Management. Proficient in Agile methodologies and Atlassian Jira, with a strong foundation in project management principles.Education and Training Online courses in Project Management Foundations, Agile Project Management, and Atlassian JiraWork ExperienceEvent Management Professional Utilized detail-oriented, multi-tasking, and problem-solving skills to ensure successful event execution Developed strong communication skills, with English as a working language for several years Demonstrated team management and leadership abilitiesSkills Agile methodologies (Scrum, Kanban) Atlassian Jira Project management principles Strong communication and team management skills Advanced English language proficiencyAvailabilityBased in Yerevan, Armenia, and open to remote opportunities. Flexible with financial expectations, with a priority on gaining practical experience in Project Management."
78,"Commercial Project ManagerHighly experienced professional with over 15 years of expertise in Contracts & Cost Control Management, materials & services supplying, and engineering projects.Project Experience:ROSHEN (2021-2022)Confectionery Corporation, Project Manager Managed EPCM project for new construction of Sodium Hypochlorite production in Kyiv, Ukraine Negotiated and drafted contracts and agreements Controlled costs and forecasted budgets Handled financing and monthly progress payments Managed contractual issues, planning, and reportingSIEMENS UKRAINE (2020-2021)Engineering Company, Commercial Project Manager Led bidding process and drafted contracts Reported on project performance Recognized IFRS and local revenue, costs, and sales margins Signed acceptance protocols, invoices, and currency exchange certificates Managed contractual issues and risksNOSTRUM OIL & GAS (2009-2020)Contracts & Cost Control Manager Managed contracts for supplying and construction works, subcontracting, and services providing at EPCM project Coordinated bidding process and awarded contracts Negotiated and drafted FIDIC contracts and agreements Prepared cash flow and budget plans Controlled costs and performed quantity surveying Ensured project costs aligned with contractual agreements and followed up on changes Estimated and released site extra work orders Handled contractual correspondence and claimsCareer Goal:Ready to join a multinational and multidisciplinary project team with corporate values."
79,"Project Management ProfessionalSkills: Project documentation: Brief, Assumptions, WBS, Project Charter, MVP, Requirement Matrix, Risk Register, SRS, RACI, Status Report Prototype creation and project methodology selection BPMN diagram creation Proficient in various PM tools, with a focus on ClickUpExperience:Project Manager in ITEpic Story, April 2021 - PresentCoordinator of Club of ToleranceThe Congress of National Communities of Ukraine, 2017-2019 Led weekly meetings with teenagers, facilitating discussions on various topics and organizing exhibition visits Created engaging illustrations and presentations using Canva and CrelloTrainer of Non-Formal EducationThe Congress of National Communities of Ukraine, 2017-2020 Designed and delivered educational training courses for teenagers aged 11-17 Developed team-building skills, guiding teams through key stages of team developmentEducation: IT school Beetroot Academy, Project Management in IT, 11/2020 - 03/2021"
80,"Graphic Designer & StudentCurrently pursuing a degree in Publishing and Printing at Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies.Skills Graphic Design: Figma, Adobe Illustrator, Adobe Photoshop, Blender, AutoCAD Web Design and UX/UI Design (courses from Genius.Space) Visualization and graphic elements (UI) Attention to detail and structured information managementSoft Skills Teamwork Empathy Enjoyment of work Punctuality and disciplineExperience Commercial projects: Designed a set of business cards for a tattoo artist working abroad Various projects: Website designs, brochures, presentations, and logosAbout MeAs a passionate graphic designer, I approach tasks with quality and discipline. Continuous learning and practice drive my skills forward, and I thrive in a creative environment.Let me know if this meets your requirements!"
81,"About MeAs a seasoned designer with a 10-year journey that began at the College of Arts, I've had the privilege of working with diverse clients from Europe and the USA on projects ranging from large enterprises to e-commerce and SaaS.ExpertiseWith a deep understanding of the IT product lifecycle, development processes, and methodologies, I excel in leading creative teams, communicating directly with clients, eliciting requirements, providing design solutions, and iterating on them.What Sets Me Apart• Proven experience working with a global enterprise of over 250,000 employees, part of the Big Four accounting firms.• Skilled team leader, mentor, and facilitator of team growth.• Adept at project estimation, resource planning, and timeline management.• Confident presenter of concepts and ideas to large audiences of foreign stakeholders.• Advanced English skills enable effective communication.• Professionalism in all interactions, regardless of personal preferences.• Full-stack Designer with expertise in UI/UX, Graphic Design, and more.Skills• Team Leadership• Project Management• Project Estimation• Resource Planning• Client Presentation• Client Communication• Business English• Enterprise Size Companies• Agile and Scrum• Art Direction• Prototyping• UI/UX Design• Information Architecture• UML Diagrams• User Testing• Mobile App• SaaS• Web Design• Graphic DesignCareer AspirationsI'm seeking a company that offers challenging projects, a laid-back atmosphere, and a flexible schedule focused on results. I'm eager to communicate with clients, lead design teams, and manage projects, with a preference for mobile and complex web solutions. In return, I commit to delivering top-notch output, prioritizing business and user needs."
82,"SummaryExperienced Product Designer and Design Team Lead with a proven track record of successfully managing teams and projects. Skilled in design team management, user research, and sales processes. Proficient in English and German, with a strong understanding of business goals and negotiation skills.Experience Design Team Lead	+ Managed a team of 17 designers, overseeing the entire design process from planning to review	+ Successfully led multiple projects, including human resources, crypto, and SaaS projects	+ Facilitated workshops, managed user research projects, and reported on project progress	+ Demonstrated conflict management and negotiation skills Design Consultant	+ Pitched and launched over 20 design projects, utilizing expertise in sales processes	+ Collaborated with cross-functional teams to drive project successEducation ""Design Management"" course ""People Management 3.0"" courseSkills Design team management User research management Workshop facilitation Conflict management Negotiation and presentation skills Fluent in English, written communication in German Proven expertise in product design, UI/UX, and design delivery managementPortfolioProduct design manager - human resources projectDesign manager - crypto productUI/UX Team Lead - SaaS projectVarious smaller projects - betting, healthcare, deliveryCareer GoalsSeeking a design delivery manager role or an opportunity to establish strong design teams, either in an outsource company or product team."
83,"Awards and Recognition 8 Design Awards on Behance Honorable mention in San Francisco Design week Ukrainian design The very best ofExperienceHighly experienced designer with over 6+ years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments. Skilled in designing for Web, Mobile, Dashboard, and Web applications.Key Skills Hypothesis generation Research and analysis Wireframing and prototyping Usability testing Design system creation Team leadership and management Collaboration and stakeholder communication Business needs analysis and design adviceProject Experience Contributed to the development of an Australia-based digital home loan product from idea to MVP in a team of 3 Built a design system from scratch in a team of 3Project Stages Stakeholder and product manager communication Research and analysis Functionality mapping and process flow creation Low and high fidelity wireframing UI research and designLeadership and Teamwork Led a team of 8 people Mentored lower-level designers Conducted 1on1 meetings to collect issue points and define personal areas of improvement Provided feedback and support to teammates"
