id,Clean_Deepseek_V3
52,"  
 |  |  |   
---
Professional Summary  
Experienced leader and manager with a strong background in non-commercial project management, conflict resolution, and team coordination. Skilled in handling complex problems and ideas, with a proven ability to manage sensitive matters effectively. Transitioning from a scientific career to pursue a passion for IT and people management, leveraging strong communication, analytical, and technical skills.  
---
Education  
MSc in Nanoscience  
, Finland  
- Focused on numerical modeling and problem-solving.  
MSc in Theoretical Physics  
  
- Developed advanced analytical and computational skills.  
BSc in Theoretical Physics  
  
- Gained foundational knowledge in complex systems and mathematical modeling.  
---
Skills  
- Project Management: Waterfall, Agile/Scrum, PERT, GANTT, CPM  
- Programming & Tools: Python (extensive scientific use), Lua, Git, Linux, bash, C++, MySQL, PHP, HTML, CSS, Delphi  
- Software: MS Office, MS Project  
- Languages: Fluent English, basic Finnish and French, ~B1 German  
---
Professional Experience  
Project Manager & Team Leader  
 |   
- Managed and led teams across various non-commercial projects, including a large-scale scientific project during university.  
- Resolved conflicts and handled sensitive matters with strong interpersonal and communication skills.  
- Coordinated tasks, timelines, and resources using project management methodologies.  
Scientific Researcher  
 |   
- Applied numerical modeling and analytical skills to solve complex scientific problems.  
- Collaborated with cross-functional teams to achieve project goals.  
---
Additional Experience  
- Led and managed teams in school, university, and hobby-related projects, demonstrating consistent leadership and organizational abilities.  
- Developed a passion for IT and people management, driving the decision to transition from a scientific career.  
---
Interests & Goals  
- Professional growth in a supportive and friendly work environment.  
- Solving complex, intellectually challenging problems with elegant solutions.  
- Pursuing a career that combines management, IT, and analytical thinking.  
---  
"
53,"• Result-focused professional with a high level of personal motivation, responsibility, and self-organization.  
• Skilled in building effective long-term, trust-based relationships with customers.  
• Logical and analytical mindset with the ability to structure and summarize large amounts of information.  
• 5+ years of experience in excellent communication, prioritization, and problem-solving within legal practice.  
• Confident in leveraging strategic thinking, flexibility, and coordination to enhance project management quality.  
PROJECT MANAGEMENT EXPERIENCE:  
Project - A  
Problem: Develop a solution for an outsourcing IT company to measure and trade against client and development team satisfaction KPIs in a timely manner.  
Solution: Designed a project health check dashboard based on the satisfaction scores of key stakeholders.  
- Determined the scope of the project.  
- Devised a “12-click flow” for project health checks.  
- Designed a project health check dashboard based on stakeholder satisfaction scores.  
- Managed tasks for a team of 4 students.  
- Performed the Product Owner role.  
Project - B  
Problem: Organize the development of special issues and migration from Tilda for the top 3 news agencies.  
Solution: Arranged migration to a Ukrainian web constructor and developed a special issues flow.  
- Developed stakeholder surveys to identify the top 5 must-have features in a new web constructor.  
- Analyzed 30+ web constructors.  
- Integrated best practices into the special issues design process.  
- Reduced the special issues design process time by 10% with a new flow.  
- Managed tasks for a team of 5 students.  
WORK EXPERIENCE:  
AAL «LF “Pragnum”  
2019 – Present  
- Managed high-profile cases involving multiple-level stakeholders.  
- Handled 7+ cases simultaneously.  
- Successfully defended a client in a tax evasion case totaling 10 million UAH, resulting in closure due to lack of corpus delicti.  
- Represented a group of companies in a $2,000,000 dispute against the Deposit Guarantee Fund.  
AAL “PRAVOTA”  
April 2016 – January 2019  
- First in Ukraine to efficiently represent a client in a wealth tax (transport tax) dispute, saving the client $5,000.  
- Overruled a 10,000 CHF doping fine in a dispute against the National Wrestling Association.  
PREFERENCES:  
Prefer roles in product companies. Not interested in Customer Support, Account Management, Marketing, or SMM positions."
54,"  
  
Professional Summary  
Results-driven professional with a diverse background in quality management, business creation, marketing, and intercultural initiatives. Proven expertise in operational efficiency, compliance, and strategic planning, with a passion for innovation and excellence.  
Professional Experience  
Quality Manager  
Aviation Club  
- Revamped and rewrote operational manuals from scratch, ensuring compliance with industry standards and introducing streamlined processes.  
- Improved safety measures and enhanced operational efficiency through meticulous quality control strategies.  
- Conducted inspections and audits to maintain adherence to aviation regulations.  
Project Lead – Alternative Medicine  
- Spearheaded a groundbreaking project in alternative medicine, offering innovative holistic wellness solutions.  
- Developed and implemented unique treatments tailored to individual needs.  
Event Organizer – Ukrainian Cuisine Master Classes  
Germany  
- Organized three successful master classes showcasing Ukrainian culinary traditions.  
- Promoted cultural understanding and recognition, fostering intercultural connections.  
- Received overwhelmingly positive feedback from attendees.  
Business Creation and Human Resources Specialist  
- Crafted comprehensive business plans and navigated the complexities of acquiring licenses and permits.  
- Identified optimal business locations, developed branding strategies, and devised successful marketing plans.  
- Demonstrated strategic mindset and attention to detail in building businesses from the ground up.  
Marketing Assistant  
Marketing Company  
- Conducted in-depth market research and analyzed consumer behavior to inform marketing strategies.  
- Collaborated with a team to implement dynamic campaigns across digital platforms and physical events.  
- Managed databases to ensure seamless customer relationship management and lead generation.  
Skills  
- Quality Control and Compliance  
- Operational Efficiency and Process Improvement  
- Business Planning and Strategy Development  
- Marketing Campaign Execution  
- Intercultural Communication and Event Organization  
- Attention to Detail and Organizational Skills  
Education  
  
  
Languages  
"
55,"Customer Excellence Consultant  
  
- Developed and implemented successful sales strategies, enhancing client engagement and satisfaction.  
- Managed exams registration processes, ensuring accuracy and efficiency.  
- Built and maintained strong relationships between teams, fostering collaboration and productivity.  
- Communicated effectively with clients, addressing inquiries and resolving issues promptly.  
- Translated and proofread documents, ensuring high-quality and accurate content.  
- Created and edited advertising materials for the company’s website, improving brand visibility.  
- Designed and launched a Facebook chat-bot in collaboration with the Marketing team, streamlining customer interactions and reducing the volume of routine requests handled by staff.  
Key Skills:  
- Negotiation and Communication  
- Sales Strategy Development  
- Team Collaboration and Relationship Building  
- Translation and Proofreading  
- Content Creation and Editing  
- Project Development and Implementation  
Career Goal:  
To join a collaborative and innovative team where I can further develop my skills in Project Management, learn new tools and tactics, and contribute to building strong client relationships that drive company growth."
56,"  
  
INFORMAL EDUCATION & CERTIFICATIONS  
- Digital Law (BCA Company)  
- The Project Management Course: Beginner to PROject Manager (UDEMY)  
- Agile Fundamentals: Including Scrum and Kanban – 2022 (UDEMY)  
- Business Fundamentals: Corporate Strategy (UDEMY)  
- Business Fundamentals: Marketing Strategy (UDEMY)  
- Basics of Team and Project Management in IT (Prometheus)  
- Basics of Project Management (Prometheus)  
- IT Product from Scratch: Where to Start and How to Develop? (Prometheus)  
- Modern Leadership (The Art of Breaking the Rules) (Prometheus)  
- HR Career: Roles, Competencies, and Challenges (Prometheus)  
IN PROGRESS  
- Professional Certificate ""Google Project Management"" (COURSERA)  
WORK EXPERIENCE  
Dean’s Office Manager  
Faculty of Cybersecurity and Information Technologies  
- Managed documentation and personal data.  
- Created various types of documents (agreements, NDAs, financial documents).  
- Communicated with stakeholders and negotiated with partners.  
- Handled HR management responsibilities.  
- Planned and organized events.  
- Organized workflow and ensured efficient operations.  
- Managed multiple projects simultaneously and met deadlines.  
IT-Law Teacher  
IT Academy ""STEP""  
- Taught IT law to students.  
Lawyer  
HOSTING.UA (IT Company)  
- Managed HR-related tasks.  
- Handled personal data management.  
- Provided legal consulting services.  
- Specialized in personal data law and intellectual property law.  
- Prepared and reviewed legal documentation.  
SKILLS  
- Project Management  
- Agile Methodologies (Scrum, Kanban)  
- Corporate and Marketing Strategy  
- HR Management  
- Legal Consulting (IT Law, Personal Data Law, Intellectual Property Law)  
- Documentation Creation and Management  
- Stakeholder Communication and Negotiation  
- Event Planning and Organization  
- Multitasking and Deadline Management"
57,"Key Achievements:  
- Connected 9 new customers within a year, including HoReCa chains and retail clients.  
- Implemented custom projects for major clients, including the ATB group of companies, the restaurant chain ""Puzata Khata,"" and ""Mafia.""  
- Developed the concept and launched ""Daily Pizza"" departments from scratch, successfully opening 6 locations.  
- Designed and implemented KPIs for ""Daily Pizza"" employees and retail staff.  
- Optimized and centralized product assortment to improve efficiency.  
- Developed and executed the ""Value Proposition"" strategy for the ""Culinary"" product line.  
- Created planograms from scratch to enhance product placement and sales.  
- Achieved a 28% increase in LFL category maintenance.  
Professional Experience:  
- Worked in commercial procurement within the FMCG sector, progressing from Assistant Procurement Manager to Category Manager. Managed product categories and led project implementations.  
- As a Key Account Manager, focused on acquiring new B2B clients and supporting their development.  
Objective:  
To transition my expertise from the FMCG sector into the digital space and fully leverage my managerial potential."
58,"  
  
Professional Summary  
Experienced professional with a background in team collaboration, project analysis, and strategic planning. Skilled in gathering and setting technical requirements for project implementation, as well as developing strategies for foreign market expansion. Recently served as a revenue manager, with a strong interest in transitioning into project management or business analysis roles. Eager to learn and apply new tools and techniques to contribute effectively to organizational success.  
Professional Experience  
Revenue Manager  
 |   
- Managed revenue-related activities, ensuring alignment with organizational goals.  
- Collaborated with cross-functional teams to analyze and optimize revenue streams.  
Project Analyst  
 |   
- Conducted research and analysis of projects within the web3 market.  
- Gathered and documented technical requirements for project implementation.  
- Supported strategic planning for project development in international markets.  
- Worked closely with technical teams to ensure project alignment with business objectives.  
Skills  
- Team Collaboration  
- Project Analysis  
- Strategic Planning  
- Requirement Gathering  
- Market Research  
- Revenue Management  
Career Objective  
Seeking to transition into a project management or business analyst role, leveraging my experience in team collaboration, project analysis, and strategic planning. Committed to learning and applying industry-standard tools and techniques to drive organizational success and create impactful solutions.  
Interests  
- Building and optimizing processes  
- Creating innovative solutions with a global impact  
- Collaborating with diverse teams to achieve shared goals"
59,"  
  
Professional Summary  
Motivated and detail-oriented professional with a strong foundation in sales management and customer support, complemented by recent training in project management. Seeking to transition into a Project Manager role, leveraging skills in stakeholder management, risk management, and project planning.  
Education  
- Project Management Course  
  Hillel IT School (April 2019 - June 2019)  
  Graduated with honors. Key areas of study:  
  - Software development models, methodologies, and frameworks  
  - Stakeholder Management (stakeholders matrix, RACI matrix)  
  - Risk Management  
  - Requirements Gathering (MVP, user stories, prioritization)  
  - Estimation Techniques (3-point estimation, story points, hours)  
  - Project Artifacts (Proposal, SOW, Project Management Plan, etc.)  
  - Resource & Budget Management  
  - Backlog Management  
  - PM tools: Trello, Jira  
- English Language Course  
  LinguaCats (April 2019 - Present)  
Work Experience  
First-Line Support Operator  
Kyivstar (November 2018 - February 2019)  
- Provided exceptional customer support for PrePaid services, consistently exceeding performance targets for six consecutive months.  
- Resolved customer inquiries efficiently, ensuring high levels of satisfaction.  
Sales Manager  
Agribusiness (September 2013 - June 2017)  
- Managed sales of grain batches and facilitated the rental of land and agricultural machinery.  
- Built and maintained strong client relationships, contributing to business growth.  
Sales Manager  
Polygon Ltd. (Kyivstar Main Contractor) (January 2013 - July 2013)  
- Conducted cold calling to generate new business opportunities and expand the customer base.  
Sales Representative  
Telekomstroy Ltd. (October 2012 - December 2012)  
- Engaged in cold calling to promote services and secure new clients.  
Additional Experience  
- IT Sales Manager  
  Look At Pro (January 2018 - March 2018)  
  - Gained foundational experience in IT sales, enhancing communication and negotiation skills.  
Skills  
- Stakeholder and Risk Management  
- Requirements Gathering and Prioritization  
- Project Planning and Documentation  
- Resource and Budget Management  
- Proficient in Trello and Jira  
- Strong Communication and Sales Expertise  
Career Objective  
Seeking an opportunity to begin a career as a Project Manager, either in an intern, trainee, or junior capacity. My extensive experience in sales management and customer support equips me with strong communication and organizational skills, which I aim to apply in a project management role."
60,"• Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage  
• Expertise in UI/UX design  
• Skilled in Figma, Zeplin, Sketch, MarvelApp, and InVision  
• Strong understanding of 2D graphics, including pixel and vector graphics  
• Experienced in 2D design and 3D Max  
• Versatile in working across various artistic styles  
• Proficient in hand-drawing and illustration  
• Creation of design banners, layouts, logos, wireframes, and prototypes for websites and mobile applications  
• Experience in game testing  
• Skilled in creating presentations using PowerPoint  
• Familiar with bug tracking systems and project management tools: Trello and Jira  
• Portfolio available upon request  
Self-motivated artist with over 5 years of experience in the game industry. Seeking to expand my horizons by contributing to engaging projects, sharing my expertise, and gaining new skills and knowledge. My goal is to bring creative visions to life while enjoying the process.  
Looking to join a company with a collaborative team, exciting projects, and fair compensation."
61,"• Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage.  
• Skilled in UI/UX design.  
• Experienced with Figma, Zeplin, Sketch, MarvelApp, and InVision.  
• Strong understanding of 2D graphics, including pixel and vector graphics.  
• Proficient in 2D design and 3D Max.  
• Versatile in working with different artistic styles.  
• Skilled in hand-drawing and illustration.  
• Experienced in creating design banners, layouts, logos, wireframes, and prototypes for websites and mobile applications.  
• Proficient in game testing and quality assurance.  
• Skilled in creating presentations using PowerPoint.  
• Familiar with bug tracking systems and project management tools such as Trello and Jira.  
• Possess a comprehensive portfolio showcasing design work.  
Self-motivated artist with over 5 years of experience in the game industry. Seeking to expand my expertise by contributing to innovative projects, sharing my knowledge, and acquiring new skills. Passionate about bringing creative visions to life while collaborating with a friendly team on engaging projects. Committed to delivering high-quality work and achieving professional growth in a supportive and rewarding environment."
62,"  
 |  |  |  |   
---
Professional Summary  
Creative and detail-oriented Web and UX/UI Designer with experience in redesigning websites and developing user-friendly interfaces. Skilled in wireframing, visual design, user research, and responsive design. Proven ability to deliver designs that align with brand identity and enhance user experience. Passionate about contributing to impactful projects and continuously improving skills in UI/UX design.  
---
Professional Experience  
Web and UX/UI Designer  
Freelance |   
- Redesigned the Children's Music School website, focusing on creating a visually appealing and easy-to-navigate landing page. Conducted a thorough analysis of the existing website, identified strengths and weaknesses, and developed a detailed wireframe incorporating a news block and a prominent call to action.  
- Ensured the new design aligned with the school's brand identity by carefully selecting color schemes and typography.  
- Applied responsive design principles to ensure optimal viewing across all devices.  
- Designed the Pet-Saver-Hub web service, a platform for rescuing lost and found animals. Conducted user research to identify pain points and created an intuitive user flow and wireframe.  
- Incorporated interactive elements, such as a map feature, to enhance user experience and simplify pet search functionality.  
---
Skills  
- Wireframing and Prototyping  
- Visual Design and Branding  
- User Research and Analysis  
- Responsive Web Design  
- UX/UI Design  
- Attention to Detail  
- Team Collaboration and Communication  
---
Education  
  
 |  |   
---
Professional Goals  
- Develop expertise in UI/UX design and contribute to meaningful projects that positively impact users.  
- Collaborate with professionals to enhance skills and stay updated with the latest design technologies and trends.  
- Actively engage with users to gather feedback and improve user experience.  
- Deliver high-quality designs by combining creativity, attention to detail, and a user-centered approach.  
---
Portfolio  
"
63,"  
  
Professional Summary  
Creative and results-driven design professional with extensive experience in leading design teams, developing innovative concepts, and delivering high-quality visual solutions for websites, mobile apps, games, and branding projects. Proven track record of optimizing design processes, contributing to award-winning projects, and engaging in industry leadership roles.  
Professional Experience  
Head of Design Department  
Facility, Kiev  
Mar 2018 – Present  
- Lead and organize design team processes, optimizing workflows for diverse project types.  
- Develop concepts for websites, brands, and other products, including UI/UX design, animations, logo books, brand guidelines, and brandbooks.  
- Play a key role in tenders and offline company activities.  
- Authored publications on platforms such as medium.com, mmr.ua, cases.media, and vc.ru.  
- Served as a judge for CSSDA and Ukraine Creative Week; currently in the final stages of joining the Awwwards judge team.  
- Conducted educational lectures at Underhub co-working space.  
Design Consultant  
Kiev Smart City, Kiev  
- Conceptualized and visualized the final product for the Kiev Smart Card project.  
- Developed a series of dynamic city advertisement concepts.  
Designer  
Mastercard, Kiev  
- Created illustrations and limited-edition products for the 2018 UEFA Champions League Final in Kiev.  
- Developed a concept for a brand activation program celebrating Ukraine Independence Day 2018.  
Game Designer  
Stampede Games, Kiev  
- Designed visual concepts and UI for mobile games.  
- Created concept art for the second installment of a game series.  
- Contributed to games featured on top charts, including Evo Explores and .projekt.  
Key Achievements  
- Designed over 50 websites, 30 logotypes, 4 mobile apps, 3 games, and 1 social network.  
- Recognized for contributions to award-winning projects and industry leadership.  
Skills  
- UI/UX Design  
- Branding and Identity Development  
- Concept Art and Visual Storytelling  
- Team Leadership and Process Optimization  
- Animation and Motion Design  
- Public Speaking and Education  
Languages  
-   
Interests  
- "
64,"  
  
---
Professional Summary  
Design professional with over 12 years of experience, specializing in UI/UX, brand design, and product development. Proven track record of delivering more than 300 projects, including 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate styles. Adept at leading teams, teaching design principles, and delivering user-centric solutions across diverse industries. Currently pursuing an MBA to enhance strategic and managerial expertise.  
---
Professional Experience  
2022 — Present  
NDA  
-   
2021  
UX Designer, Bank BVR  
- Designed user-centric interfaces for banking applications, ensuring seamless user experiences.  
2020  
UI/UX Design Teacher, Hillel IT School  
- Taught UI/UX design principles to over 150 students, fostering their growth as design professionals.  
2020  
Lead Product Designer, Innovation Box  
- Led product design initiatives, delivering innovative solutions for clients across various industries.  
2019  
UI/UX & Brand Designer, Ardas  
- Created cohesive brand identities and user interfaces for diverse client projects.  
2017  
UI/UX & Brand Designer, M2E pro  
- Designed intuitive interfaces and branding materials for technology-driven solutions.  
2016  
UI/UX & Brand Designer, Forforce  
- Developed user-friendly designs and brand assets for web and mobile applications.  
2015  
UI/UX & Brand Designer, Art. Lebedev Studio  
- Contributed to high-profile design projects, focusing on usability and aesthetics.  
2014  
CEO & Designer, Own Design Studio  
- Founded and managed a design studio with 20 employees, overseeing sales, management, hiring, and project execution.  
2013  
UI/UX & Brand Designer, «Poster»  
- Designed branding and user interfaces for digital and print media.  
2012  
UI/UX & Brand Designer, «le Weekend»  
- Created visual identities and user experiences for lifestyle and entertainment brands.  
2011  
UI/UX & Brand Designer, «November» Design Bureau  
- Delivered design solutions for a variety of clients, focusing on innovation and creativity.  
2006  
Graphic Designer, Freelance  
- Provided freelance design services, building a foundation in graphic design.  
2002  
Cartoonist, Paint  
- Created cartoons using Paint, marking the beginning of my design journey.  
1999  
Drawing School  
- Developed foundational skills in art and design.  
---
Education  
- Master’s Degree in Engineering Design  
- Currently Pursuing MBA  
---
Skills  
- UI/UX Design  
- Brand Identity Development  
- Product Design  
- Mobile & Web Design  
- Team Leadership & Management  
- Teaching & Mentorship  
- Frontend Development (HTML5, CSS3, TypeScript, Vue.js)  
- Backend Development (Python, Swift)  
---
Industries Worked With  
eCommerce, Finance, Banking, Investments, Marketing, Social Media, Law, Education, Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Service, Music, Dance, MMA, Medicine, Space, Sports, Technology, Weapons, Insurance  
---
Global Client Experience  
Clients from: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine  
---
Personal Statement  
Design is my life. I take pride in every pixel I create, striving to deliver user delight and ""aha"" moments. My dream is to see design taught in schools. If you need someone who can dissect your project, identify weaknesses, and refine it to perfection, I am your ideal candidate.  
I previously managed a 20-person studio, building processes for sales, management, hiring, and project execution. I closed the studio to focus on my passion: creating designs independently.  
While I avoid development, I have taken courses in frontend (HTML5/CSS3/TypeScript/Vue.js) and backend (Python, Swift) to better understand how design integrates with technology.  
Due to nondisclosure agreements, much of my best work cannot be shared publicly. However, I am happy to discuss and showcase relevant projects during interviews."
65,"  
  
Summary  
6+ years of experience as a detail-oriented Digital Designer with expertise in conceptualizing and delivering elegant, user-friendly solutions. Proven ability to build and manage high-performing UI design teams, delivering designs with a high level of accuracy. Skilled in creating visually compelling websites with strong brand storytelling, specializing in e-commerce, services, and corporate websites.  
Skills  
- Strong understanding of user experience  
- Cross-functional collaboration with developers  
- Exceptional problem-solving skills  
- Meticulous attention to detail and dedication to proper delivery  
- Collaborative mindset with brand and marketing teams to deliver and scale products  
Tools  
- Adobe (Photoshop, Illustrator, InVision, After Effects)  
- Sketch  
- Maxon C4D  
- Figma  
Experience  
Art Director, UI Senior Designer | Freelance  
February 2019 – Present  
- Develop and execute creative concepts for web and digital projects.  
- Create visually compelling designs that evoke the “WOW” emotion.  
- Provide initial designs, refine directions, and collaborate with developers for final project delivery.  
- Mentor and motivate design teams, providing art direction and guidance.  
- Build presentations, craft documentation, and deliver asset kits to developers and team members.  
- Present creative ideas and concepts to clients in a clear and compelling manner.  
- Translate business strategy into creative execution to drive results.  
UI Team Lead, UI Senior Designer | Intetics Inc.  
June 2018 – January 2019  
- Led and managed a UI design team, overseeing all web design projects from start to finish.  
- Provided feedback and guidance to UX and UI designers, ensuring high-quality deliverables.  
- Collaborated with developers and QA teams to implement designs with a high level of accuracy.  
- Designed wireframes, workflows, prototypes, sketches, and high-fidelity mockups.  
- Executed polished design work, creating production-level assets for desktop, tablet, and mobile screens.  
- Presented and defended designs and key deliverables to peers and executive stakeholders.  
- Established and promoted design guidelines, best practices, and standards.  
Art Director, UI Senior Designer | Vintage Web Production  
February 2015 – May 2018  
- Developed and executed creative concepts for web and digital projects.  
- Created designs that evoked the “WOW” emotion, ensuring client satisfaction.  
- Provided initial designs, refined directions, and collaborated with developers for final delivery.  
- Mentored and motivated design teams, providing art direction and guidance.  
- Built presentations, crafted documentation, and delivered asset kits to developers and team members.  
- Presented creative ideas and concepts to clients in a clear and compelling manner.  
- Translated business strategy into creative execution to drive results.  
UI Web Designer | Indigo Web Development  
October 2014 – February 2015  
- Executed design concepts for web projects, including e-commerce, services, and corporate websites.  
- Built presentations and crafted documentation for project deliverables.  
- Assisted in the design process for long-term projects, ensuring high-quality outcomes.  
- Collaborated with teams to deliver projects on time and within scope.  
Education  
  
Languages  
  
Certifications  
"
66,"  
  
Professional Summary  
Creative and detail-oriented Graphic Designer with extensive experience in key visuals, SMM, printing materials, and brand identity design. Proficient in Adobe Photoshop, Illustrator, InDesign, and Figma, with some experience in Blender and After Effects. Skilled in UI/UX design, team management, and delivering high-quality design solutions under tight deadlines.  
Skills  
- Adobe Photoshop (Expert)  
- Adobe Illustrator (Expert)  
- Adobe InDesign (Proficient)  
- Figma (Proficient)  
- Blender (Basic)  
- After Effects (Basic)  
- UI/UX Design  
- Brand Identity Design  
- Print Design  
- 3D Design  
- Team Management  
Professional Experience  
Graphic Designer & UI/UX Designer  
QA Madness | Nov 2022 – Present  
- Played a key role in the company’s global redesign, significantly impacting the final outcome.  
- Redesigned the company website to align with the new vision and style.  
- Introduced and implemented a fresh visual style for presentations.  
- Redesigned all SMM materials for LinkedIn, Instagram, and DOU.  
- Incorporated 3D elements created independently into design projects.  
Graphic Designer  
Kronas | Aug 2020 – Feb 2022  
- Designed logos, brand identities, and related printing materials for new company brands.  
- Created 3-6 advertising key visuals monthly for websites, social networks, and print.  
- Revamped the visual style of the company’s Instagram profile.  
- Designed multi-page catalogs and brochures using InDesign.  
- Updated the visual identity of the company’s YouTube channel, including video covers.  
- Developed a custom sticker pack for Telegram and Viber.  
- Designed branding stands and navigation for a new trade hall.  
Graphic Designer  
Design Studio ToTop | Oct 2019 – Aug 2020  
- Designed logos and brand identities for clients across various industries.  
- Created outdoor advertising designs, including roadside billboards, citylights, and car branding.  
- Produced realistic product visualizations in Photoshop.  
- Designed printing materials such as calendars, business cards, postcards, and stickers.  
- Developed multi-page catalogs and brochures.  
- Successfully conceptualized, designed, and printed a 16-page brochure within a single working day.  
Education  
UI/UX Design Course  
Beetroot Academy  
- Enhanced skills in user-centered design and user experience.  
Achievements  
- Successfully integrated 3D elements into design projects.  
- Designed and launched a custom sticker pack for Telegram and Viber.  
- Played a pivotal role in the redesign of a company’s global visual identity.  
- Delivered high-quality design projects under tight deadlines, including a 16-page brochure completed in one day."
67,"Mase  
  
Professional Summary  
Self-taught designer with 9+ years of experience specializing in logo design, branding, UI/UX, 3D modeling, and animation. Recognized for creative excellence with features in Behance (15x), LogoLounge Trends Report 2021, LogoLounge Book 12, and World Logo & Mark Book (Japan 2020). Winner of 50+ logo contests (2015-2018). Proven track record of delivering impactful designs for global clients and agencies. Passionate about creating innovative solutions and expanding expertise in UI/UX and neural network development.  
Recent Projects  
- 3D Logo Animation & Branding for volunteer organization (http://www.Bless-Ukraine.com)  
- Logo & Branding for social music platform Hook (Coming soon) – Created in collaboration with (http://www.creative.geex-arts.com) agency. View full case on Behance.  
- Logo for crypto-based fund (http://www.Ignaz.com)  
- Logo & Branding for music production studio (http://AnemoNoise.com)  
- Logo & Branding for crypto-based game NDA for now (Coming soon)  
Experience and Expertise  
- Logo & Branding / Brandbooks & Guidelines  
- UI/UX Adaptive Web & Mobile Design  
- HTML/CSS/JS  
- Typography & Fonts  
- Visual Design & Presentations  
- 3D Modeling & Animation  
- Illustrations, Icons, and Other Graphics  
- Gaming Design  
Software and Tools  
Adobe (Illustrator, Photoshop, After Effects, Lightroom), Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, GPT-3  
Achievements  
- Featured 15x on Behance  
- Featured in LogoLounge Trends Report 2021  
- Featured in LogoLounge Book 12  
- Featured in World Logo & Mark Book (Japan 2020)  
- Winner of 50+ logo contests (2015-2018)  
Career Highlights  
- 9+ years of freelance experience working with diverse global clients and projects.  
- 3+ years of experience collaborating with teams and agencies.  
Professional Goals  
Seeking to join a like-minded team to create innovative products and solutions that make the world a better and more beautiful place. Committed to continuous learning, particularly in UI/UX and neural network development, and passionate about creative problem-solving."
68,"  
  
Summary  
Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. Skilled in process structuring and documentation creation. Proven ability to work effectively in a team while bringing a unique perspective to each project. Committed to continuous improvement by regularly incorporating new knowledge into the workflow. Passionate about creating user-centric products and avoiding involvement with services that may have negative impacts on users.  
Design Experience  
- Landing page design  
- Design of native and cross-platform applications  
- Complex CRM systems and CMS interfaces  
- Casual game interfaces  
- Marketing materials (creative for social media, presentations, social media branding)  
- Branding and logos  
- Illustration  
Management and Leadership Experience  
- Built and trained a team of designers from scratch, providing additional training for trainees and juniors  
- Created a development matrix for team growth  
- Conducted regular feedback sessions every three months  
- Mentored team members and provided individual support for their professional development  
- Maintained active communication with clients throughout and after projects  
- Structured and documented company processes from A to Z  
- Advocated for process improvements and implemented changes for better efficiency  
- Supported the mental well-being of the team and fostered a positive work environment  
- Actively contributed to the company’s culture and initiatives  
Skills  
- Team leadership and mentorship  
- Process structuring and documentation  
- Problem-solving and innovative thinking  
- User-centered design principles  
- Strong communication and collaboration  
- Creative and strategic mindset  
Personal Projects  
- Actively develops and implements personal ideas through pet projects  
- Passionate about creating products that benefit users and avoiding services with negative impacts"
69,"  
  
Professional Summary  
Experienced website, mobile, and graphic designer with over 6+ years of commercial experience across various agencies. Contributed to the creation of more than 100 website designs, brand identities, and advertising projects. Proficient in UX prototyping, UI design, and motion design for both desktop and mobile applications. Skilled in delivering high-quality designs that align with user needs and business goals.  
Skills  
- Graphic Design: Printed products, banners, illustrations, icons  
- Web Design: Responsive and adaptive design  
- Mobile Design: iOS and Android platforms  
- Wireframes and Interactive Prototypes  
- Atomic Design Principles  
- User Personas and User Flows  
- Basic HTML and CSS Understanding  
Tools  
- Figma: Team libraries, auto layout, component properties, branches  
- Adobe Photoshop: Expert proficiency  
- Adobe Illustrator: Expert proficiency  
- Adobe After Effects: Confident proficiency  
Experience  
- Designed and delivered over 100 website designs, brand identities, and advertising projects.  
- Collaborated with cross-functional teams to create user-centered designs for desktop and mobile applications.  
- Developed wireframes, interactive prototypes, and motion designs to enhance user experience.  
- Applied atomic design principles to create scalable and consistent design systems.  
- Conducted user research to define user personas and optimize user flows.  
Objective  
Seeking to join a strong team where I can contribute my artistic expertise and design skills to impactful and innovative projects. Committed to delivering contemporary designs that elevate user experiences and align with business objectives."
