id,Claude-3.5-Sonnet
51,"PROFESSIONAL SUMMARYEntrepreneurial IT Leader with 8 years of experience founding and managing a technology company. Demonstrated success in team leadership, project management, and technical problem-solving. Skilled in scaling teams and implementing agile methodologies.PROFESSIONAL EXPERIENCEIT Company Founder & CEO2015 - 2023• Founded and led an IT company, growing it to manage 15 employees across 3 teams• Currently oversee 5 full-time developers and 1 manager delivering product development projects• Implemented Agile/Scrum methodologies and established project management processes using Asana, Trello, and GitHub• Performed project estimation, resource allocation, and budget management• Led technical solution architecture for complex development challengesTECHNICAL SKILLS• Development: PHP (3 years), WebGL, Three.js, Babylon.js• Project Management: Scrum, Agile methodologies• Version Control: Git• Project Tools: Asana, Trello, GitHub• Basic knowledge of React.js and Vue.jsLEADERSHIP COMPETENCIES• Team Building & Development• Performance Management• Strategic Planning• Resource Allocation• Technical Problem Solving• Project Estimation• Agile/Scrum Leadership• Cross-functional Team Management• Staff Training & Development"
52,"PROFESSIONAL SUMMARYResults-driven professional with extensive project management experience and strong technical background in physics and computational modeling. Demonstrated leadership abilities across academic and volunteer initiatives, with expertise in team coordination and conflict resolution. Multilingual professional skilled in both technical and interpersonal communication.EDUCATION- MSc in Nanoscience - University of Finland- MSc in Theoretical Physics- BSc in Theoretical PhysicsTECHNICAL SKILLS- Programming: Python (scientific applications), Lua, C++, PHP- Version Control: Git- Operating Systems: Linux- Web Technologies: HTML, CSS- Databases: MySQL- Project Management Tools: MS Project, MS OfficeMANAGEMENT SKILLS- Project Leadership and Team Coordination- Conflict Resolution- Stakeholder Management- Agile/Scrum Methodologies- Waterfall Project Management- PERT, GANTT, CPMLANGUAGES- English (Fluent)- German (B1)- Finnish (Basic)- French (Basic)LEADERSHIP EXPERIENCE- Led large-scale scientific research project at university level- Managed multiple academic and non-commercial projects- Demonstrated leadership in educational and recreational settingsTECHNICAL EXPERIENCE- Specialized in numerical modeling and complex problem-solving- Developed scientific applications using Python- Applied computational methods to physics research"
53,"PROFESSIONAL SUMMARYResults-driven professional with 5 years of legal experience demonstrating exceptional project management, stakeholder communication, and analytical skills. Proven track record of managing complex projects, building trust-based relationships, and structuring large amounts of information. Skilled in strategic thinking and cross-functional team coordination.PROJECT MANAGEMENT EXPERIENCEIT Health Check Dashboard Project | Project Lead• Developed and implemented satisfaction KPI measurement solution for outsourcing IT company• Designed and executed ""12 click flow"" project health check system• Led cross-functional team of 4, serving as Product Owner• Created stakeholder satisfaction score dashboard for real-time project monitoringWeb Platform Migration Project | Project Manager• Led migration project for 3 major news agencies from Tilda to Ukrainian web constructor• Conducted stakeholder analysis through comprehensive surveys to identify critical features• Performed comparative analysis of 30+ web constructors• Optimized special issues design process, achieving 10% time reduction• Managed 5-person project teamPROFESSIONAL EXPERIENCESenior Legal Associate | AAL ""LF Pragnum"" (2019-Present)• Manage portfolio of 7+ concurrent high-profile cases with multiple stakeholders• Successfully defended client in 10M UAH tax evasion case• Led representation in 2M USD dispute against Deposit Guarantee FundLegal Associate | AAL ""PRAVOTA"" (2016-2019)• Pioneered successful wealth tax dispute resolution, saving client 5,000 USD• Successfully overturned 10,000 CHF penalty in international sports litigationCORE COMPETENCIES• Strategic Project Management• Stakeholder Communication• Problem Analysis & Resolution• Team Leadership• Process Optimization• Risk Management"
54,PROFESSIONAL EXPERIENCEQuality Manager | Aviation Club• Completely revamped operational manuals to ensure compliance with industry standards• Implemented streamlined processes that enhanced operational efficiency• Developed and executed quality control procedures and safety protocols• Conducted regular inspections and audits to maintain compliance• Led safety improvement initiatives across operationsAlternative Medicine Project Lead• Spearheaded innovative holistic wellness treatment project• Developed and implemented unique therapeutic solutions• Managed patient care and treatment protocolsCultural Workshop Facilitator | Germany• Organized and conducted three successful Ukrainian cuisine master classes• Facilitated cross-cultural exchange and understanding• Managed workshop logistics and participant engagementAssistant | Marketing Company• Conducted comprehensive market research and consumer behavior analysis• Implemented marketing strategies across digital and physical platforms• Managed customer databases and lead generation processes• Supported campaign development and execution• Maintained customer relationship management systemsBusiness Development Experience• Created detailed business plans and strategies• Managed licensing and permit acquisition processes• Developed branding and marketing initiatives• Conducted location scouting and analysis• Oversaw business setup operationsSKILLS• Quality Management• Safety Compliance• Process Improvement• Project Management• Marketing Strategy• Database Management• Business Development• Cultural Programming• Organization & Planning• Team Collaboration
55,"PROFESSIONAL SUMMARYResults-driven Customer Excellence Consultant with proven experience in international business environments. Demonstrated success in customer service optimization, sales strategy development, and cross-functional team collaboration.PROFESSIONAL EXPERIENCECustomer Excellence Consultant | Embassy• Developed and executed successful sales strategies, resulting in improved customer satisfaction and revenue growth• Managed exam registration processes and maintained client relationships in an international setting• Facilitated effective communication between teams and strengthened interdepartmental collaboration• Performed translation and proofreading tasks for company materials• Created and edited content for company website to enhance marketing effectiveness• Led the development and implementation of a Facebook chatbot in collaboration with the Marketing team, significantly reducing manual customer service inquiriesSKILLS• Customer Service Excellence• Sales Strategy Development• Team Collaboration• Content Creation• Translation & Proofreading• Project Implementation• Client Relationship Management• Digital Communication• Process OptimizationCAREER OBJECTIVESeeking a Project Management role in a collaborative environment to leverage existing skills while developing expertise in project management methodologies and client relationship building."
56,"PROFESSIONAL EXPERIENCEDean's Office ManagerFaculty of Cybersecurity and Information Technologies• Managed comprehensive documentation systems and sensitive personal data• Developed and maintained various legal documents including agreements, NDAs, and financial documentation• Led stakeholder communications and partnership negotiations• Implemented HR management strategies and policies• Orchestrated large-scale academic events and programs• Streamlined office workflows and operational processes• Successfully managed multiple concurrent projects while meeting strict deadlinesIT Law InstructorIT Academy ""STEP""• Delivered comprehensive IT law curriculum to students• Developed and presented educational materialsLegal CounselHOSTING.UA• Provided legal consultation on IT-specific matters• Managed HR operations and compliance• Handled personal data protection and privacy matters• Specialized in intellectual property law• Developed and reviewed legal documentationPROFESSIONAL DEVELOPMENTCertifications:• Digital Law - BCA Company• Project Management: Beginner to PROject Manager - Udemy• Agile Fundamentals: Scrum and Kanban (2022) - Udemy• Business Fundamentals: Corporate Strategy - Udemy• Business Fundamentals: Marketing Strategy - UdemyAdditional Training:• Team and Project Management in IT - Prometheus• Project Management Fundamentals - Prometheus• IT Product Development Fundamentals - Prometheus• Modern Leadership - Prometheus• HR Career: Roles, Competencies and Challenges - PrometheusIn Progress:• Google Project Management Professional Certificate - Coursera"
57,"Resume:Professional ExperienceCategory Manager / Key Account Manager• Generated 28% year-over-year growth in category performance through strategic management• Successfully acquired 9 new key accounts, focusing on HoReCa and retail sectors• Led major implementation projects for prominent clients including ATB group, Puzata Khata, and Mafia restaurants• Conceptualized and executed ""Daily Pizza"" department launch, establishing 6 new locations• Designed and implemented performance metrics (KPIs) for Daily Pizza and retail staff• Streamlined assortment through optimization and centralization initiatives• Created and implemented comprehensive planograms• Developed and executed ""Value Proposition"" strategy for Culinary division• Progressed from Assistant Procurement Manager to Category Manager in FMCG sector• Managed B2B client relationships, focusing on new business development and account managementCore Competencies:• Category Management• Strategic Planning• Project Implementation• Team Leadership• Business Development• Performance Optimization• Client Relationship Management• Procurement• B2B SalesCareer Objective:Seeking to leverage extensive FMCG experience in digital transformation while expanding management capabilities."
58,"PROFESSIONAL SUMMARYResults-driven professional with experience in market analysis, revenue management, and cross-functional team collaboration. Demonstrated ability to gather requirements, conduct market research, and contribute to strategic planning initiatives. Strong interest in project management and business analysis with a commitment to continuous learning.PROFESSIONAL EXPERIENCERevenue Manager• Managed revenue-related operations and initiatives• Collaborated with cross-functional teams to achieve business objectives• Contributed to company's financial performanceMarket Research Analyst• Conducted comprehensive research and analysis of web3 market projects• Gathered and documented technical requirements for development teams• Participated in strategic planning for international market expansion• Collaborated with technical teams to ensure project alignment with requirementsSKILLS• Market Research & Analysis• Team Collaboration• Technical Requirement Gathering• Strategic Planning• Revenue Management• International Market UnderstandingCAREER OBJECTIVES• Seeking opportunities in Project Management or Business Analysis roles• Committed to professional development and acquiring new technical skills• Focused on creating measurable business impact and process improvement"
59,"PROFILEResults-driven professional transitioning to Project Management with strong foundation in sales management and customer service. Proven track record of consistently exceeding performance targets and managing stakeholder relationships.EDUCATION & CERTIFICATIONSProject Management Certification - Hillel IT School (Graduated with Honours)- Mastered Agile and traditional project management methodologies- Proficient in project lifecycle management, stakeholder engagement, and risk assessment- Expert in PM tools: Jira, TrelloPROFESSIONAL EXPERIENCEKyivstar | First-Line Support Operator (November 2018 - February 2019)- Consistently exceeded inquiry completion targets for six consecutive months- Managed customer relations across complete PrePaid service portfolio- Resolved complex customer inquiries efficientlyAgribusiness | Sales Manager (September 2013 - June 2017)- Managed end-to-end sales of grain products- Coordinated land and agricultural machinery rental operations- Developed and maintained client relationshipsPolygon Ltd. (Kyivstar Contractor) | Sales Manager (January 2013 - July 2013)- Executed strategic cold calling campaigns- Generated new business opportunitiesTelekomstroy Ltd. | Sales Representative (October 2012 - December 2012)- Conducted targeted cold calling initiatives- Built prospective client databaseSKILLS- Project Management Tools: Jira, Trello- Project Documentation: SOW, Project Plans, Proposals- Stakeholder Management- Risk Assessment- Resource Planning- Requirements Gathering- Agile Methodologies- Customer Relationship ManagementLANGUAGES- English (Continuing education at LinguaCats since April 2019)"
60,"PROFESSIONAL SUMMARYSeasoned UI/UX Designer and Digital Artist with over 5 years of experience in the game industry. Proficient in creating engaging visual content and user interfaces while maintaining high-quality standards. Strong background in both 2D and 3D design with expertise in multiple design platforms.TECHNICAL SKILLS• Design Software: Adobe Photoshop, Adobe Illustrator, Figma, Zeplin, Sketch, MarvelApp, Invision, 3D Max• Graphics: 2D pixel and vector graphics, traditional hand drawing• Project Management: Trello, Jira• Presentation: Microsoft PowerPointCORE COMPETENCIES• UI/UX Design• Game Testing• Banner Design• Layout Creation• Logo Design• Website Prototyping• Mobile App Design• Framework Development• Multi-style Design Adaptation• Digital Tablet ProficiencyPROFESSIONAL EXPERIENCEGame Industry Professional• Created comprehensive UI/UX designs for gaming applications• Developed and designed promotional banners, layouts, and logos• Conducted game testing and quality assurance• Generated prototypes for websites and mobile applications• Collaborated using project management tools including Trello and Jira• Produced professional presentations using PowerPoint• Maintained and updated design portfolio showcasing completed projectsOBJECTIVESeeking to leverage 5+ years of game industry experience in a collaborative environment with opportunities for professional growth and engaging projects."
61,"PROFESSIONAL SUMMARYExperienced UI/UX Designer and Digital Artist with over 5 years in the gaming industry. Proficient in creating engaging visual designs, prototypes, and user interfaces. Skilled in multiple design tools and platforms with a proven track record of delivering high-quality creative assets.TECHNICAL SKILLSDesign Software:• Adobe Creative Suite (Photoshop, Illustrator)• Figma, Zeplin, Sketch, MarvelApp, Invision• 3D Max• Microsoft PowerPointDesign Capabilities:• UI/UX Design• 2D Graphics (Pixel and Vector)• Digital Illustration• Hand Drawing• Graphic Tablet Proficiency• Multi-style Design AdaptationProject Management:• Trello• Jira• Bug Tracking SystemsPROFESSIONAL EXPERIENCEGame Industry Designer | 5+ Years• Created design assets including banners, layouts, logos, and frameworks• Developed prototypes for websites and mobile applications• Conducted game testing and quality assurance• Generated professional presentations and documentation• Collaborated with development teams on project implementation• Maintained comprehensive design portfolioCORE COMPETENCIES• Self-motivated professional• Strong attention to detail• Collaborative team player• Creative problem-solving• Project delivery focus• Adaptable working style"
62,"WEB & UX/UI DESIGNERPROFESSIONAL EXPERIENCEUX/UI Designer - Pet-Saver-Hub• Led user research and design for a web service facilitating lost and found pet recovery• Developed comprehensive user flows and wireframes focused on intuitive navigation• Implemented interactive map feature to enhance local pet search functionality• Conducted user research to identify and address key user pain pointsWeb Designer - Children's Music School• Executed complete website redesign focusing on landing page optimization• Conducted website analysis to identify areas for improvement• Created wireframes incorporating news blocks and strategic call-to-action elements• Implemented responsive design principles ensuring cross-device compatibility• Developed visual designs aligned with brand identity, including color scheme and typographySKILLS• Wireframing• Visual Design• User Research• Responsive Design• User Interface Design• User Experience Design• Website Redesign• Information Architecture• Brand Integration• User Flow DevelopmentPROFESSIONAL ATTRIBUTES• Strong focus on user-centered design• Commitment to continuous learning and professional development• Excellence in team collaboration and communication• Dedication to gathering and implementing user feedback• Detail-oriented approach to design solutions• Passion for impactful, meaningful projects"
63,"Here's an improved version of your resume that maintains all original facts while enhancing presentation:PROFESSIONAL EXPERIENCEHead of Design DepartmentFacility, Kiev (March 2018 - Present)• Lead and optimize design team processes across multiple project types• Develop comprehensive concepts for websites, brands, and digital products• Create UI/UX designs, animations, logo books, and brand guidelines• Spearhead company's participation in tenders and offline activities• Judge for CSSDA and Ukraine Creative Week• Contribute articles to medium.com, mmr.ua, cases.media, and vc.ru• Deliver educational lectures at Underhub co-workingKEY PROJECTSKiev Smart City• Led concept development and final product visualization for Kiev Smart Card• Designed series of dynamic city advertisement conceptsMastercard• Created illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev• Developed brand activation concept for Ukraine Independence Day 2018Stampede Games• Designed visual concepts and UI for mobile games• Created concept art for game sequel• Contributed to top-charting games: Evo Explores and .projektPORTFOLIO HIGHLIGHTS• 50+ Website Designs• 30+ Logo Designs• 4 Mobile Applications• 3 Games• 1 Social Network Platform"
64,"SENIOR PRODUCT DESIGNERPROFESSIONAL SUMMARYDesign leader with 12+ years of experience delivering exceptional digital products and brand solutions. Successfully completed 300+ projects across diverse industries and international markets. Proven track record in product design, team leadership, and design education.EXPERIENCENDA Project (2022)Bank BVR (2021)UX Designer• Led user experience design initiatives for banking productsHillel IT School (2020)UI/UX Design Teacher• Instructed 150+ students in UI/UX and brand design principlesInnovation Box (2020)Lead Product Designer• Spearheaded product design strategies and implementationsDesign Studio Founder & CEO (2014-2019)• Built and managed a 20-person design studio• Established processes for sales, project management, and talent acquisition• Delivered comprehensive design solutions to international clientsPrevious Design Positions (2011-2015):• Art. Lebedev Studio• Poster• le Weekend• November Design BureauEXPERTISE• Product Design: 30+ products from concept to launch• Mobile Applications: 30+ successful deployments• Web Design: 80+ websites• Brand Identity: 100+ logos and corporate styles• Industries: eCommerce, Finance, Banking, Technology, Healthcare, EducationEDUCATION• MBA (In Progress)• Master's Degree in Engineering Design• Technical Skills: HTML5, CSS3, TypeScript, Vue.js, Python, SwiftINTERNATIONAL EXPERIENCEDelivered projects for clients across USA, UK, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, UkraineSPEAKING ENGAGEMENTSFeatured speaker at Dribbble conferences and other industry events"
65,"SENIOR UI DESIGNER & ART DIRECTORPROFESSIONAL SUMMARYDetail-oriented Digital Designer with 6+ years of experience in building and managing UI design teams. Proven track record in creating user-friendly e-commerce, services, and corporate websites. Skilled in developing visually compelling websites with strong brand storytelling and delivering user-centric solutions that drive client satisfaction.SKILLS- User Experience Design- Team Leadership & Management- Cross-functional Collaboration- Problem-solving- Detail-oriented Project Delivery- Brand & Marketing IntegrationTECHNICAL PROFICIENCY- Adobe Suite (Photoshop, Illustrator, Invision, After Effect)- Sketch- Maxcon C4D- FigmaPROFESSIONAL EXPERIENCEArt Director, UI Senior Designer | FreelanceFebruary 2019 - PresentUI Team Lead, UI Senior Designer | Intetics Inc.June 2018 - January 2019- Led and managed UI team throughout project lifecycles- Oversaw web design projects from conception to completion- Provided guidance to UX/UI designers and collaborated with developers- Created wireframes, workflows, prototypes, and high-fidelity mockups- Delivered polished designs for desktop, tablet, and mobile platforms- Presented designs to executive stakeholders- Established design guidelines and best practicesArt Director, UI Senior Designer | Vintage Web ProductionFebruary 2015 - May 2018- Developed and executed design concepts- Created engaging user experiences- Managed project delivery from initial design to final implementation- Provided team mentoring and art direction- Delivered asset kits and documentation to development teams- Presented creative concepts to clients- Aligned creative execution with business strategyUI Web Designer | Indigo Web DevelopmentOctober 2014 - February 2015- Executed design concepts- Prepared presentations and documentation- Contributed to design projects- Focused on long-term service and eCommerce projects"
66,"PROFESSIONAL SUMMARYSenior Graphic Designer with extensive experience in brand identity, digital marketing, and UI/UX design. Proven track record in creating compelling visual content, managing design teams, and implementing innovative design solutions across multiple platforms.TECHNICAL SKILLS- Expert: Adobe Photoshop, Adobe Illustrator- Proficient: Adobe InDesign, Figma- Working Knowledge: Blender, After Effects- 3D Design Implementation- UI/UX DesignPROFESSIONAL EXPERIENCEGraphic Designer & UI/UX Designer | QA Madness (November 2022 - Present)- Led comprehensive website redesign initiative, implementing new visual direction- Spearheaded company-wide visual rebranding across multiple platforms- Developed and implemented new presentation design system- Executed complete overhaul of social media presence across LinkedIn, Instagram, and DOU- Integrated custom 3D design elements into brand visualsLead Graphic Designer | Kronas (August 2020 - February 2022)- Created brand identities and logos for multiple company product lines- Produced 3-6 monthly advertising key visuals for digital and print media- Developed comprehensive visual strategy for Instagram profile- Designed multi-page product catalogs and marketing collateral- Created custom sticker pack for messaging platforms- Led design implementation for retail space, including branded stands and navigation systemsGraphic Designer | Design Studio ToTop (October 2019 - August 2020)- Designed brand identities and logos across diverse industry sectors- Created outdoor advertising campaigns including billboards and vehicle wraps- Developed realistic product visualizations- Produced print marketing materials including catalogs, business cards, and promotional items- Demonstrated exceptional efficiency in catalog design and production workflowEDUCATIONUI/UX Design Certification - Beetroot Academy"
67,"MASEVisual Designer & Creative Developer9+ Years ExperiencePROFESSIONAL HIGHLIGHTS• 15x Featured in Behance• Featured in LogoLounge Trends Report 2021• Featured in LogoLounge Book 12• Featured in World Logo & Mark Book (Japan 2020)• 50+ Logo Contest Victories (2015-2018)SKILLS• Logo Design & Branding• UI/UX Design• Web & Mobile Design• 3D Modeling & Animation• Typography & Font Design• Visual Design• HTML/CSS/JavaScript• Illustration & Icon Design• Gaming DesignTECHNICAL PROFICIENCY• Adobe Creative Suite (Illustrator, Photoshop, After Effects, Lightroom)• Figma• Blender• Keynote• Webflow• Readymag• Spline• Notion• GPT3RECENT PROJECTS• Bless-Ukraine.com - 3D Logo Animation & Branding• Hook Social Music Platform - Logo & Branding (with creative.geex-arts.com)• Ignaz.com - Crypto Fund Logo Design• AnemoNoise.com - Music Production Studio Branding• Confidential Crypto-Based Game - Logo & BrandingPROFESSIONAL EXPERIENCEFreelance Designer (6+ years)• Collaborated with global clients on diverse design projects• Delivered comprehensive branding solutions• Managed multiple projects simultaneouslyAgency Experience (3+ years)• Worked in team environments• Contributed to collaborative design projects• Developed brand strategies and visual identitiesCAREER OBJECTIVESeeking a team-based position to create innovative design solutions while expanding expertise in UI/UX and neural network development."
68,"PROFESSIONAL SUMMARYSeasoned Lead UX/UI Designer with 4+ years of experience specializing in comprehensive design solutions and team leadership. Demonstrated expertise in building and mentoring design teams while maintaining high-quality deliverables and structured processes.PROFESSIONAL EXPERIENCELead UX/UI DesignerDesign Leadership & Management• Built and managed a design team from ground up, implementing structured training programs for junior designers• Developed and maintained comprehensive design processes and documentation• Conducted quarterly feedback sessions and created development matrices for team growth• Established effective client communication protocols and mentorship programsTechnical Design Expertise• Designed and delivered complex CRM systems and CMS interfaces• Created native and cross-platform applications• Developed landing pages and casual game interfaces• Produced comprehensive marketing materials including social media content and presentations• Executed branding projects including logo design and illustrationsProcess Optimization & Team Development• Implemented structured workflow improvements and documentation systems• Maintained active involvement in company initiatives and culture building• Provided individualized support and development plans for team members• Established mental health support systems for team wellbeingCORE COMPETENCIES• UX/UI Design• Team Leadership• Process Development• Client Communication• Project Management• Design Training & Mentorship• Problem-solving• Cross-functional Collaboration• Brand Development• Interface DesignPROFESSIONAL PHILOSOPHYCommitted to creating user-beneficial products with strong ethical considerations, focusing on positive user impact and responsible design practices."
69,"SENIOR UI/UX DESIGNERWith 6+ years of commercial experience crafting digital solutionsPROFESSIONAL SUMMARYAccomplished designer with proven expertise in creating user-centered digital experiences across web and mobile platforms. Successfully delivered 100+ website designs, brand solutions, and advertising projects. Specializes in combining aesthetic excellence with functional design principles to create intuitive user interfaces.CORE COMPETENCIESDesign Expertise:• Web Design (Responsive & Adaptive)• Mobile App Design (iOS & Android)• UX/UI Design & Prototyping• Graphic Design & Branding• Wireframing & User Flows• Interactive Prototyping• Atomic Design Implementation• User Persona DevelopmentTechnical Skills:• Figma (Team Libraries, Auto Layout, Component Properties, Branches)• Adobe Creative Suite (Photoshop, Illustrator - Expert Level)• Adobe After Effects• HTML/CSS FundamentalsPROFESSIONAL OBJECTIVESeeking to join a dynamic team where I can leverage my artistic vision and technical expertise to create innovative design solutions while contributing to contemporary design evolution."
70,"PROFESSIONAL SUMMARYResults-driven Project Manager with 9+ years of experience in international project management and team leadership. Proven track record in successful project implementation, sales optimization, and team development. Certified in IT Project Management with demonstrated expertise in stakeholder communication and strategic planning.CORE COMPETENCIES• Project Management• Team Leadership & Development• International Conference Organization• Strategic Sales & Brand Promotion• Customer Relationship Management• Stakeholder Negotiations• Problem-Solving & Analysis• Cross-functional Team ManagementPROFESSIONAL QUALIFICATIONS• Certified in ""IT Project Management""• Certified in ""Technical Skills for PMs & BAs""PROFESSIONAL EXPERIENCE• Successfully led and managed teams of up to 10 members• Orchestrated international conferences and large-scale projects• Developed and maintained relationships with top-level executives of international companies• Implemented effective goal-setting, coaching, and retention strategies• Executed successful brand promotion and customer acquisition initiatives• Demonstrated ability to adapt across professional domains• Conducted one-to-one meetings and resolved team conflicts effectivelyPROFESSIONAL OBJECTIVESeeking a challenging role in an IT organization to leverage project management expertise and leadership skills while contributing to company growth and innovation.SKILLS• Project Planning & Execution• Time Management• Team Leadership• Analytical Thinking• Negotiation• Communication• Sales Strategy• Change Management• Problem Resolution"
71,"PROFESSIONAL SUMMARYResults-driven professional with 2 years of experience in international companies, combining HR expertise with project management skills. Proven track record in process optimization, documentation management, and implementing organizational improvements.WORK EXPERIENCEHR Assistant | IT Consulting Company• Administered Jira, Google, and Slack accounts• Conducted engagement meetings and 1-on-1 sessions• Created and updated company documentation• Delivered employee training programs• Renewed Company Values document and improved benefits system• Managed talent acquisition and resource allocation• Led workflow optimization initiativesOperations Specialist | Product Company• Utilized SAP for daily operations• Collaborated with product teams and external partners• Advanced Excel data analysis and management• Streamlined operational processesSKILLS• Project Management Tools: Jira, Gantt Charts, Road Maps, Timeline Planning• Methodologies: Scrum, Agile, Kanban• Technical Documentation• Mock-up Creation• Resource Management• Leadership• Time Management• Problem Solving• SAP• Microsoft Excel• Google Workspace• Slack AdministrationCERTIFICATIONS• Project Management Certification (Details available on LinkedIn)EDUCATION"
72,"PROFESSIONAL SUMMARYResults-driven Project Manager with 5+ years of management experience, specializing in retail operations and team leadership. Proven track record of increasing profits through effective team collaboration and meticulous attention to detail. Skilled in problem-solving and creating win-win solutions that satisfy both customers and team members.PROFESSIONAL EXPERIENCERetail Department Store Leader• Led operations for luxury perfume, cosmetics, and interior design retail department• Consistently increased company profits through strategic team management• Implemented effective problem-solving strategies• Developed and maintained strong customer relationships• Managed multiple teams while ensuring high performance standardsSKILLS• Project Management• Agile Methodology (Scrum, Kanban)• Team Leadership & Coaching• Problem Resolution• Strategic Planning• Cross-cultural Communication• Performance Optimization• Customer RelationsCORE COMPETENCIES• Team Building & Development• Process Improvement• Conflict Resolution• Strategic Decision Making• International Market Experience (American and European)LOCATIONBased in KyivAvailable for international collaborationCAREER OBJECTIVESeeking to transition into a Project Manager role, leveraging extensive management experience and team leadership skills. Open to trainee/junior project manager positions."
73,"PROFESSIONAL SUMMARYResults-driven entrepreneur and educator with extensive experience in business management, academic instruction, and cross-cultural communication. Demonstrated success in scaling operations, team leadership, and process optimization. Seeking to leverage diverse skill set in a Project Management/Business Analysis role within IT.PROFESSIONAL EXPERIENCEBusiness Owner & Co-founder (2015 - Present)Multiple Service-Based Companies• Co-established and managed three companies specializing in property maintenance and retail operations• Scaled business to five retail locations, managing 26 employees at peak operations• Currently oversee three stores with 18 employees• Developed and implemented operational procedures and management systems• Direct responsibility for personnel management of 30+ staff membersLecturer (2015 - Present)Lviv Ivan Franko National University• Deliver curriculum and academic instruction• Facilitate student learning and developmentLecturer (2014 - 2015)Lviv Danylo Halytskyi Medical University, Department of Ukrainian Studies• Taught Ukrainian language to international students• Developed and implemented educational programsTranslator (February 2011 - November 2011)• Provided professional translation servicesCORE COMPETENCIES• Team Leadership• Business Operations• Personnel Management• Customer Relations• Process Implementation• Cross-cultural Communication• Quick Learning Ability• Problem-solving• Stakeholder ManagementPROFESSIONAL ATTRIBUTES• Strong communication and interpersonal skills• Adaptable to new environments and challenges• Detail-oriented with analytical mindset• Committed to continuous learning and development"
74,"ADMINISTRATIVE DIRECTOR2022-Present• Led implementation of 7 new educational courses, expanding total course offerings from 38 to 45, with 4 additional courses in development• Drove 22% increase in monthly net income through strategic initiatives and process improvements• Achieved 18% growth in monthly training contract acquisitions• Enhanced company reputation through improved management practices and communication strategies, resulting in increased positive Google reviews• Streamlined administrative and educational processes to optimize operational efficiency• Demonstrated expertise in stakeholder management, team coordination, and process optimization• Strong background in customer service and operations management from hospitality industrySKILLS• Project Implementation• Process Improvement• Team Leadership• Stakeholder Management• Strategic Planning• Communication• Operations Management• Customer ServiceOBJECTIVESeeking Junior Project Manager position to leverage administrative leadership experience and strong operational background in the IT industry."
75,"PROFESSIONAL SUMMARYResults-driven professional with international experience in logistics, transportation management, and retail operations across Europe and America. Demonstrated success in managing complex logistics operations, developing client relationships, and leading teams. Multilingual professional with proven ability to work effectively in diverse cultural environments across 5 countries.PROFESSIONAL EXPERIENCETransport ManagerHegelmann Transporte UAB, Kaunas | March 2018 - September 2018• Managed fleet operations of 25-30 trucks daily across European routes• Coordinated with truck personnel to ensure timely deliveries and optimal route planning• Established and maintained client relationships while negotiating delivery terms• Resolved complex logistical challenges to maintain operational efficiency• Prepared and processed transportation documentation• Implemented solutions for time-sensitive operational issuesAfterhours Freight DispatcherGeneral Freight Experts Inc., Ternopil | June 2017 - July 2017• Coordinated logistics operations for 4-6 drivers across US territory• Conducted market analysis to identify and capitalize on freight trends• Performed due diligence on freight brokers to minimize financial risks• Negotiated and executed commercial contracts with clients• Managed freight booking and route optimizationStore ManagerBuchach Coffee Store | December 2015 - June 2016• Oversaw daily operations of coffee retail establishment• Developed and maintained supplier relationships• Implemented and monitored service quality standards• Managed equipment maintenance and inventory control• Conducted staff training and development programsEDUCATIONDouble-degree Master's ProgramLithuania and BelgiumCORE COMPETENCIES• Transportation Management• Fleet Operations• Client Relations• Contract Negotiation• Team Leadership• Cross-cultural Communication• Problem Resolution• Supply Chain Management"
76,"PROFESSIONAL SUMMARYArt Director with 5 years of experience managing international film productions and leading creative teams. Proven track record in supervising multiple high-profile projects across Ukraine, Georgia, Sri-Lanka, and Israel. Expertise in period reconstruction, set design, and international team management.PROFESSIONAL EXPERIENCEArt Director & Head of Creative TeamSE Film Production (Ukraine-Israeli Production Company)• Led art direction for major international productions, managing budgets, timelines, and creative teams• Supervised period reconstructions and set designs across multiple countries• Orchestrated Ukrainian production segment for PLAN A (Germany/Israel), recreating 1945 Nurnberg street scenes• Directed set design for Check Out (Israel), reconstructing 1990s Turkey in Ukraine• Managed art direction for Victory (Israel), rebuilding 1960s Tel-Aviv including multiple musical stage sets• Headed international art department team for Arugam Bay (Israel) in Sri LankaLEADERSHIP & CERTIFICATIONS• Selected Participant, Female Leader Summit - European Leadership Debate Academy (Eastern Europe), 2021• Project Manager Certification, 2022• HR Manager Certification, 2022• Soft Skills Certification, 2022• Agile Course Completion, 2021CORE COMPETENCIES• International Production Management• Period Set Design & Reconstruction• Budget Development & Control• Timeline Management• Team Leadership• Cross-Cultural Communication• Project Reporting• Deadline-Driven Execution• Detail-Oriented Production Planning"
