id,GPT4o-mini
48,"           Professional Summary  Dynamic project manager with proven experience in facilitating communication between development teams, management, users, and stakeholders. Skilled in crisis resolution and implementing strategies that restore project timelines effectively. Committed to delivering high-quality projects and enhancing stakeholder satisfaction.Professional Experience  Project Manager  VR Workplace   – Present  - Ensured open communication with the development team, management, users, and other stakeholders to effectively address their needs and wishes in the project.  - Implemented a range of effective measures that resolved crisis situations quickly, leading to the restoration of the project in record time.  - Led the creation of a virtual office for a global communications holding, promoting innovative communication and collaboration techniques for distributed teams.  - Developed and implemented a project tracking and control system that enhanced project status understanding and mitigated delays and budget overruns.  - Created a project performance evaluation system for timely identification of issues and necessary corrections.  - Maintained high levels of customer or stakeholder satisfaction through exceptional project execution and responsiveness to their needs.  - Identified and managed potential project risks to prevent problems and sustain good performance indicators.  - Automated monitoring and reporting processes, achieving a 30% reduction in reporting time while increasing data accuracy.  Skills  - Project Management  - Stakeholder Communication  - Risk Management  - Crisis Resolution  - Performance Evaluation  - Process Automation  - Data Analysis  "
49,"             ---Professional Summary  Dedicated Social Marketing Manager and experienced Head of Branch in the banking sector specializing in project management, client relations, and creative social media strategies. Adept at leading teams and driving efficiencies to achieve high levels of customer satisfaction. Seeking a project management role that emphasizes planning, coordination, and collaboration within cross-functional teams.---Professional Experience  Social Marketing Manager  Art and Health HUB by ZELO  January 2023 - Present  - Develop and execute social media strategies across Facebook and Instagram.  - Create and curate engaging social media content.  - Analyze social media data to inform content and campaign decisions.  - Manage social media campaigns.  - Build relationships with social media influencers and manage influencer partnerships.  - Write copy for social media posts.  - Monitor and moderate community conversations, addressing customer inquiries and concerns in a timely manner.  - Stay up-to-date with social media trends and best practices, bringing new ideas and suggestions to the team.Head Of Branch  PrivatBank  September 2015 - December 2022  - Organized the workflow of the branch, ensuring all operational processes were efficient and effective.  - Controlled the fulfillment of various standards, maintaining compliance with legal and regulatory requirements.  - Worked with legal bodies and individuals to resolve issues and address concerns.  - Consulted with micro-business clients, providing guidance and support to assist in informed financial decision-making.---Project Leadership  - Led the ""BabyHealthyBite"" project, aimed at developing a user-friendly mobile application for parents and caregivers focused on healthy baby food choices.  - Responsibilities included:    - Formation of the project roadmap.    - Establishing organizational structure and project budgeting.    - Mind map development and project backlog creation.    - Drafting the Statement of Work (SOW) and value proposition.    - Building the customer journey map.---Skills  - Strong leadership abilities to guide and motivate teams.  - Excellent analytical and strategic skills for problem-solving and data-driven decision-making.  - Effective communication and interpersonal skills to collaborate seamlessly with stakeholders and clients.  - Organizational skills to manage multiple projects and adhere to timelines.---Education        ---Certifications    ---References  Available upon request."
50,"             ---PROFESSIONAL EXPERIENCEWeb Development Collaborator  Online Resource for Law Consulting  - Engaged in the creation of the website in collaboration with a team of developers.  - Participated in the design and development of the website's visual and functional aspects.  - Assisted in the development of the logical structure to enhance website performance.  - Managed client interactions and inquiries on the resource.  - Oversaw the administration of legal cases processed through the website.  Pro Bono Lab Manager  Ukrainian Access to Justice School of Practice  - Managed the Pro Bono Lab platform, facilitating connections between non-governmental organizations and pro bono partners in law and audit sectors.  - Collected requests from NGOs and sourced legal support to address their needs.  Learning Course Creator  Social Initiatives and NGOs  - Researched relevant and engaging topics for social initiatives tailored by law and audit business experts.  - Engaged and collaborated with experts from law and audit firms to enhance course content.  - Developed the structure of course modules and crafted test cases to assess learning outcomes.  - Participated in the filming of course materials to create engaging educational content.  - Administered the inaugural run of the course, accommodating 30 participants.  - Transformed learning course materials into a SCORM package for integration into the Learning Management System.  ---  SKILLS  - Web Development Collaboration  - Legal Case Management  - Course Development and Administration  - Research and Analysis  - Communication and Engagement  - SCORM Package Creation  EDUCATION        ---  CERTIFICATIONS    ---  LANGUAGES  -   "
51,"           Professional Summary  Entrepreneurial leader with 8 years of experience in the IT industry, specializing in team management and agile methodologies. Proven track record of building and leading teams while fostering collaboration and motivation. Skilled in project estimation and troubleshooting complex technical challenges.Experience  Founder & Team Leader     – Present  - Established and successfully led an IT company for 8 years, managing a team of up to 15 members.- Oversaw cross-functional collaboration among 3 teams and directly supervised 3 managers.- Currently leading a team that includes 1 manager and 5 full-time developers on a product project.- Practiced and refined scrum and other agile methodologies, facilitating scrum meetings and mentoring team members in scrum practices.- Utilized task tracking systems such as Asana, Trello, and GitHub for project management.- Implemented version control using Git for software development.Technical Skills  - Web Development: HTML, CSS, PHP (3 years), WebGL, three.js, babylon.js- Agile Methodologies: Scrum, Agile project management- Task Tracking Systems: Asana, Trello, GitHub- Version Control: GitCore Competencies  - Team Development: Committed to building successful teams and motivating individuals.- Goal Setting: Skilled in creating shared goals and plans with team members.- Continuous Improvement: Conducted reconciliation sessions to identify areas for improvement and enhance team performance.- Project Estimation: Proficient in conducting project time and cost estimations based on experience.- Technical Problem-Solving: Capable of identifying technical solutions for complex workflow challenges.Education      Certifications  -   References  Available upon request."
52,"             Objective  A dedicated professional with a strong background in managing teams and leading projects, seeking to transition into a management role within the IT sector.Education  - MSc in Nanoscience, , Finland  - MSc in Theoretical Physics,   - BSc in Theoretical Physics,   Professional Experience  Project Management & Leadership  - Led a large scientific project during university, managing a diverse team and ensuring the successful completion of project goals.  - Demonstrated strong management capabilities in various non-commercial projects, effectively resolving conflicts and handling sensitive matters in team settings.  - Cultivated strong communication skills through extensive experience in managing people in both academic and extracurricular environments.Technical Skills  - Proficient in Waterfall and Agile/Scrum methodologies.  - Basic knowledge of project management techniques (PERT, GANTT, CPM).  - Experienced with Linux, bash, and Python (extensively used for scientific purposes).  - Familiar with Lua, Git, MS Office, and MS Project.  - Basic language skills in Finnish and French; conversational German (~B1 level).  Programming & Development Skills  - Experience with C++, MySQL, PHP, HTML, CSS, and Delphi.  Interests  Passionate about intellectual challenges and problem-solving, with a commitment to finding elegant solutions to complex issues. Enjoy working in a friendly and collaborative team environment while striving for professional growth and effective management."
53," • Result-focused professional with a high level of personal motivation, responsibility, and self-organization.  • Skilled in building effective long-term trust-based relationships with customers.  • Possess a logical, analytical mindset with the ability to structure and summarize large amounts of information.  With 5 years of experience in communication, prioritization, and problem-solving within legal practice, I am eager to leverage these skills in project management. I am confident in my ability to enhance project quality through strategic thinking, flexibility, and coordination.PROJECT MANAGEMENT EXPERIENCE:Project A  Objective: Develop a solution for an outsourcing IT company to measure and trade against client and development team satisfaction KPIs in a timely manner.  Solution: Designed a project health check dashboard based on the satisfaction score of key stakeholders.  - Determined the scope of the project.  - Devised “12 click flow” for the project health check.  - Designed a project health check dashboard based on satisfaction scores of key stakeholders.  - Managed tasks for a team of 4 other students.  - Performed Product Owner role.  Project B  Objective: Organize the development of special issues and migration from Tilda for the top 3 news agencies.  Solution: Arranged migration to a Ukrainian web constructor and developed the special issues flow.  - Developed surveys for stakeholders to identify the top 5 must-have features in a new web constructor.  - Analyzed 30+ web constructors.  - Integrated best practices into the flow of special issues design process.  - Reduced the time of special issues design process by 10% with the new flow.  - Managed tasks for a team of 5 other students.  WORK EXPERIENCE:AAL «LF “Pragnum”  2019-Present  - Managed high-profile cases involving multiple-level stakeholders.  - Responsible for overseeing 7+ cases simultaneously.  - Successfully closed a tax evasion case totaling 10 million UAH due to lack of corpus delicti.  - Effectively represented a group of companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.  AAL “PRAVOTA”  April 2016 – January 2019  - First in Ukraine to efficiently represent a client in a wealth tax (transport tax) dispute, resulting in a savings of 5,000 USD.  - Overturned a 10,000 CHF fine in a dispute against the National Wrestling Association.  Seeking opportunities primarily in product companies."
54,"             PROFESSIONAL SUMMARY  Dynamic professional with extensive experience in quality management, alternative medicine, human resources, business creation, and marketing. Proven ability to lead projects, streamline processes, and deliver results while fostering culture and promoting holistic wellness.PROFESSIONAL EXPERIENCE  Quality Manager  Aviation Club    - Revamped and rewrote operational manuals, ensuring compliance with industry standards and introducing streamlined processes.  - Improved safety measures and enhanced operational efficiency through meticulous oversight of quality control processes, inspections, and audits.  - Developed and implemented strategies focused on prioritizing safety and efficiency within aviation operations.Project Lead  Alternative Medicine Initiative    - Spearheaded a groundbreaking project in alternative medicine, introducing innovative treatments for individuals seeking holistic wellness solutions.  Event Organizer  Ukrainian Cuisine Workshops    - Organized three successful master classes in Ukrainian cuisine in Germany, showcasing the richness of culinary traditions and fostering intercultural connections.  - Ensured positive feedback from attendees, strengthening the commitment to promoting cultural understanding.Human Resources & Business Development  Freelance    - Crafted comprehensive business plans and navigated the process of acquiring necessary licenses and permits for new ventures.  - Demonstrated strategic planning abilities in locating ideal business locations, developing branding, and executing marketing strategies.Marketing Assistant  Marketing Company    - Conducted in-depth market research and analyzed consumer behavior to aid in the development of dynamic marketing strategies.  - Managed databases to ensure effective customer relationship management and streamlined lead generation, contributing to successful digital and physical marketing campaigns.  SKILLS  - Quality Management  - Compliance and Safety Standards  - Alternative Medicine Practices  - Human Resources  - Business Planning and Development  - Marketing Strategy and Execution  - Market Research  - Customer Relationship Management  - Project Management  - Intercultural Communication  EDUCATION        CERTIFICATIONS    LANGUAGES    REFERENCES  Available upon request."
55,"             ---Professional ExperienceCustomer Excellence Consultant   (Embassy Environment)   – Present  - Developed confidence in negotiation and the creation and implementation of successful sales strategies.  - Oversaw exams registration and cultivated strong relationships between teams.  - Engaged in effective communication with clients to enhance service delivery.  - Developed skills in translation and proofreading, contributing to a high standard of communication.  - Created and edited advertising materials for the company’s website, improving outreach and engagement.  - Designed and implemented a Facebook chat-bot in collaboration with the Marketing team, significantly enhancing the customer journey and reducing the volume of routine inquiries requiring human intervention.  ---Objective  Eager to join a friendly and creative team to further develop skills in Project Management and learn new tactics and tools to establish a strong and proactive liaison with clients, ultimately contributing to the company’s growth.  ---  Skills  - Customer Communication  - Sales Strategy Development  - Team Collaboration  - Translation and Proofreading  - Advertising Material Creation  - Project Implementation  - Process Improvement  - Chat-bot Development  ---          ---      ---    Available upon request.  "
56," INFORMAL EDUCATION COURSES CERTIFICATION- Digital Law (BCA Company)  - The Project Management Course: Beginner to PROject Manager (Udemy)  - Agile Fundamentals: Including Scrum and Kanban – 2022 (Udemy)  - Business Fundamentals: Corporate Strategy (Udemy)  - Business Fundamentals: Marketing Strategy (Udemy)  - Basics of Team and Project Management in IT (Prometheus)  - Basics of Project Management (Prometheus)  - IT Product from Scratch: Where to Start and How to Develop? (Prometheus)  - Modern Leadership (The Art of Breaking the Rules) (Prometheus)  - HR Career: Roles, Competencies and Challenges (Prometheus)  In Progress:  - Professional Certificate ""Google Project Management"" (Coursera)  EXPERIENCE  Dean's Office Manager  Faculty of Cybersecurity and Informational Technologies  - Managed documentation and personal data  - Created various types of documentation (agreements, NDAs, financial documents)  - Communicated with stakeholders  - Negotiated with partners  - Handled HR management tasks  - Planned and organized events  - Organized workflow  - Managed multiple projects and met deadlines  IT-Law Teacher  IT-Academy ""STEP""  Lawyer  IT Company HOSTING.UA  - Managed HR and personal data  - Provided legal consulting  - Specialized in personal data law  - Specialized in intellectual property law  - Prepared documentation  "
57,"             ---PROFESSIONAL SUMMARY  Dynamic and results-oriented professional with comprehensive experience in the FMCG sector, specializing in customer acquisition, project implementation, and category management. Proven track record of developing effective business strategies, optimizing processes, and enhancing team performance.---KEY ACHIEVEMENTS  - Successfully connected 9 new customers within a year, including notable chains in the HoReCa and retail sectors.  - Led the implementation of custom projects for the ATB group of companies and well-known restaurant chains such as ""Puzata Khata"" and ""Mafia.""  - Developed and launched ""Daily Pizza"" departments from inception, resulting in the opening of 6 new locations.  - Created and executed KPIs for employees of ""Daily Pizza"" and retail staff, driving performance improvements.  - Optimized and centralized product assortment, enhancing inventory management.  - Established and implemented the ""Value Proposition"" for the ""Culinary"" direction, aligning services with customer needs.  - Developed planograms from the ground up to improve product placement and visibility, leading to a 28% increase in LFL category maintenance.  ---PROFESSIONAL EXPERIENCE  Key Account Manager     - Present  - Engaged in identifying and connecting new customers while supporting B2B developments.  - Managed customer relationships to ensure satisfaction and retention, leveraging analytical skills to address client needs.  Category Manager      - Oversaw category management within the FMCG sector, driving project implementation and strategic growth.  - Analyzed market trends and competitor activities to optimize product categories.  Assistant Procurement Manager      - Assisted in commercial procurement processes, contributing to the efficiency of supply chain management.  ---EDUCATION        ---SKILLS  - Customer Relationship Management  - Project Implementation  - Category Management  - KPI Development  - Inventory Optimization  - Business Strategy Development  --- REFERENCES  Available upon request."
58,"             Objective  Driven professional seeking to develop in management roles, particularly as a Project Manager or Business Analyst, where I can leverage my experience in project analysis and team collaboration to contribute positively to organizational success.Experience  Revenue Manager        - Participated in a variety of projects requiring teamwork and close collaboration.  - Analyzed the web3 market to identify and understand project opportunities.  - Gathered and established requirements for technical teams to ensure effective project implementation.  - Contributed to strategic planning for project development in various international markets.  Skills  - Team Collaboration  - Market Analysis  - Requirement Gathering  - Strategic Planning  - Strong Communication  Education          Interests  - Management and Leadership Development  - Process Improvement  - Innovative Solutions for Global Impact  "
59," Finished Project Manager course at Hillel with honours.Overfulfillment of completed inquiries for half a year while working at Kyivstar.Work Experience:Kyivstar  First-line Support Operator  November 2018 - February 2019  Provided support to existing customers across the entire spectrum of services (PrePaid).Agribusiness  Sales Manager  September 2013 - June 2017  Managed sales of grain batches and facilitated the renting of land and agricultural machinery.Polygon Ltd. (Kyivstar Main Contractor)  Sales Manager  January 2013 - July 2013  Conducted cold calling to generate sales leads.Telekomstroy Ltd.  Sales  October 2012 - December 2012  Engaged in sales activities through cold calling.Related Additional Education:- English at LinguaCats (April 2019 - ongoing)- Project Management at Hillel (April 2019 - June 2019)    Obtained knowledge in:    1. Software development models, methodologies, frameworks.    2. Stakeholder Management (stakeholder matrix, RACI matrix).    3. Risk Management.    4. Requirements Gathering (MVP, user stories, prioritization).    5. Estimation Techniques (3-point estimation, story points, hours).    6. Project Artifacts (Proposal, SOW, Project Management Plan, etc.).    7. Resource & Budget Management.    8. Backlog Management.    9. PM tools: Trello, Jira.- IT Sales Manager at Look At Pro (January 2018 - March 2018)I am seeking an opportunity to start a new career as a Project Manager, with an interest in intern, trainee, or junior positions. I possess sufficient experience in Sales Management, which enhances my communication skills."
60,"           Summary  Self-motivated artist with over 5 years of experience in the game industry. Proficient in a range of graphic design tools and methodologies, seeking to apply my skills in a collaborative environment with interesting projects.Skills  - Adobe Photoshop, Adobe Illustrator, graphic tablet proficiency  - UI/UX design  - Figma, Zeplin, Sketch, MarvelApp, Invision  - 2D graphics with a strong understanding of pixel and vector graphics  - 2D design and 3D Max  - Ability to work in various styles  - Hand-drawing skills  - Creation of design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications  - Game testing  - Presentation creation in PowerPoint  - Experience with bug tracking systems and project management tools: Trello and Jira  Professional Experience  - Over 5 years of experience contributing to the game industry, focusing on design and user experience.  - Created various design elements for websites and mobile applications, including banners, layouts, and logos.  - Conducted game testing to ensure quality and user satisfaction.  - Developed presentations to communicate design concepts effectively.  Portfolio  Available upon request.  Objective  To realize creative visions through design while continuing to expand my skills and knowledge. Seeking a position in a friendly team-oriented company with engaging projects and competitive compensation."
61," Resume            ---Objective  Self-motivated artist with over 5 years of experience in the game industry, seeking to broaden my horizons with interesting projects and contribute to a friendly team while acquiring new skills and knowledge.---Skills  - Proficient in Adobe Photoshop, Adobe Illustrator, and working with a graphic tablet  - UI/UX design  - Familiar with Figma, Zeplin, Sketch, MarvelApp, and Invision  - Strong understanding of 2D graphics, including pixel and vector graphics  - 2D Design experience  - Knowledge of 3D Max  - Ability to work in various styles  - Hand drawing skills  - Creation of design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications  - Game testing experience  - Presentation creation using PowerPoint  - Familiarity with bug tracking systems and project management tools such as Trello and Jira  ---Experience         - Present  - Developed and designed various graphics for game projects, enhancing user experience and engagement  - Collaborated with cross-functional teams to create intuitive UI/UX designs  - Managed project timelines and deliverables using Trello and Jira  - Conducted game testing to ensure quality and performance standards were met  Education          ---Portfolio  Available upon request.  ---References  Available upon request."
62,"             Objective  Aspiring UI/UX designer with experience in web design seeking opportunities to develop skills and contribute to meaningful projects that impact users’ lives.  Experience  Web Designer  Children's Music School |   - Led the redesign of the Children's Music School website, focusing on a new landing page that improved visual appeal and navigation.- Conducted a comprehensive analysis of the existing website, identifying strengths and weaknesses to inform the redesign process.- Developed a detailed wireframe for the landing page, featuring a news block and a prominent call to action, aligning with the school's brand identity.- Designed the visual aspects of the landing page with attention to user experience and accessibility, ensuring all important information was easily accessible.- Implemented responsive design principles to guarantee optimal viewing on various devices.UX/UI Designer  Pet-Saver-Hub |   - Engaged in the creation of a user-friendly interface for the Pet-Saver-Hub, a service dedicated to rescuing lost and found animals.- Conducted user research to pinpoint pain points experienced by users in locating lost or found pets.- Established a detailed user flow and wireframe for the website, ensuring an intuitive and easily navigable user interface.- Integrated interactive features, including a map, facilitating users’ search for lost or found pets in their vicinity.Skills  - Wireframing  - Visual Design  - User Research  - Responsive Design  - Communication  - Teamwork  - Attention to Detail  Professional Development  - Passionate about continuing education in UI/UX design and staying current with industry trends and technologies.  - Committed to collaborating with experienced professionals to enhance creative potential and work on challenging projects.References  Available upon request."
63," Over 50 Websites  More than 30 Logotypes  4 Mobile Apps  3 Games  1 Social Network  Facility, Kiev — Head of Design Department  Mar 2018 - Present  - Organize design team process and optimize design flow for various project types.  - Develop concepts for websites, brands, and other products; create UI/UX, animations, logo books, brand guidelines, and brandbooks.  - Take a leading role in tenders and offline company activities.  - Publications include medium.com, mmr.ua, cases.media, vc.ru.  - Judge for CSSDA and Ukraine Creative Week; currently in the final stages of joining the awwwards judging team.  - Conduct educational lectures at Underhub co-working.    Kiev Smart City, Kiev  - Work on concept and final product visualization for Kiev Smart Card.  - Develop a series of dynamic city ad concepts.  Mastercard, Kiev  - Create illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev.  - Develop concepts for brand activation programs on Ukraine Independence Day 2018.  “Stampede Games”, Kiev  - Contribute to mobile games by developing visual concepts and UI.  - Create concept art for the second part of the game.  - Notable games featured in top charts include:    - Evo Explores    - .projekt  "
64,"             ---Professional Summary  Design is my life. I enjoy every pixel I create, every user delight, and the ""ah-ha"" moments that come with great design. My passion is to ensure design is integrated into education and to help improve design projects to perfection.---Experience  UX Designer  Bank BVR  2021  UI/UX Design Teacher  Hillel IT School  2020  Lead Product Designer  Innovation Box  2020  UI/UX & Brand Designer  Ardas  2019  UI/UX & Brand Designer  M2E pro  2017  UI/UX & Brand Designer  Forforce  2016  UI/UX & Brand Designer  Art. Lebedev Studio  2015  CEO & Designer  Own Design Studio  2014  - Created and managed processes for sales, management, hiring, and project development with a team of 20 people.UI/UX & Brand Designer  Poster  2013  UI/UX & Brand Designer  le Weekend  2012  UI/UX & Brand Designer  November Design Bureau  2011  Graphic Designer (Freelance)  2006  Make Cartoons  Paint  2002  Drawing School  1999  ---Education  Master's Degree in Engineering Design  University Name (If applicable)  Currently Studying for MBA  ---Projects  - Over 300 completed projects, including:    - 30+ products developed from scratch    - 30+ mobile applications    - 80+ websites    - 100+ logos and corporate identity designs  ---Skills  - UI/UX Design  - Brand Design  - Team Leadership  - Teaching and Mentorship  ---Industry Experience  - eCommerce, Finance, Banking, Investments, Marketing, Social Media, Law, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Music, Dance, MMA, Medicine, Space, Sport, Technique, Weapon, Insurance  ---Client Engagement  Worked with clients from:  USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.  ---Conferences  - Speaker at Dribbble and other design conferences  ---  Available to discuss portfolio upon request."
65," My strength is building and managing the UI design team. At my previous job as a lead, I built a strong UI team with good results. The whole team, in one year, has been implementing designs with a high level of accuracy.6+ years experienced and detail-oriented Digital Designer with a knack for conceptualizing and delivering elegant, user-friendly solutions effectively and efficiently. Highly skilled in developing compelling websites with strong visual and brand storytelling. Possesses a track record of creating e-commerce, services, and corporate websites with user-centric solutions for achieving breakthrough efficiency and driving client satisfaction.Skills- Strong understanding of user experience- Cross-functional experience working with developers- Exceptional problem-solving skills- Deep attention to detail and a meticulous dedication to proper delivery- Collaborative mindset and interest in working with brand and marketing teams to ship deliverables and scale productsTools- Adobe (Photoshop, Illustrator, Invision, After Effects)- Sketch- Maxon C4D- FigmaEXPERIENCEArt Director, UI Senior Designer | Freelance  February 2019 - Present  UI Team Lead, UI Senior Designer | Intetics Inc.  June 2018 - January 2019  - Led and managed a UI team  - Oversaw all web design projects from start to finish; led and provided feedback and guidance to UX and UI designers; worked with developers and QA to implement designs with a high level of accuracy  - Designed and created wireframes, workflows, prototypes, sketches, and high-fidelity mockups  - Executed design work with a high level of polish, creating production-level assets sized appropriately for desktop, tablet, and mobile screens  - Presented and defended designs and key milestone deliverables to peers and executive-level stakeholders  - Established and promoted design guidelines, best practices, and standards  Art Director, UI Senior Designer | Vintage Web Production  February 2015 - May 2018  - Developed and executed concepts  - Created the “WOW” emotion  - Provided initial designs, refined directions, and worked with developers through final delivery of a project  - Mentored and motivated the team, providing art direction  - Built presentations, crafted documentation, and delivered asset kits to developers and other team members  - Presented creative ideas/concepts to clients in a compelling and clear manner  - Brought business strategy to creative execution to drive results  UI Web Designer | Indigo Web Development  October 2014 - February 2015  - Executed concepts  - Built presentations, crafted documentation  - Assisted in the design of projects with long-term services, e-commerce projects, and products.  "
66,"             ---Professional Summary  Creative and detail-oriented Graphic Designer with extensive experience in designing key visuals, social media marketing materials, and branding elements. Adept at user-centered design and user experience, with a strong background in leading design projects from concept to completion.---Experience  Graphic Designer & UI/UX Designer  QA Madness  November 2022 - Present  - Contributed to the company's global redesign, significantly impacting the final result.  - Redesigned the website to align with the new vision and style.  - Introduced and implemented a fresh visual style for presentations.  - Completed a total redesign of all social media materials, including LinkedIn and Instagram, and created a page for DOU.  - Main achievement: Started using 3D design created independently in my work.Graphic Designer  Kronas  August 2020 - February 2022  - Designed logos, identities, and related print materials for new brands.  - Developed 3-6 advertising key visuals monthly for the website, social media platforms, and print.  - Introduced and implemented a new visual style for the company’s Instagram profile.  - Created multi-page catalogs and brochures using Adobe InDesign.  - Updated the appearance of the company's YouTube channel and designed video covers.  - Main achievements: Developed a sticker pack for Telegram and Viber; designed the branding for a new trade hall including stands and navigation.Graphic Designer  Design Studio ToTop  October 2019 - August 2020  - Created design solutions for various companies across different industries.  - Designed logos, brand identities, and outdoor advertising materials, including billboards and car branding.  - Produced realistic product visualizations in Adobe Photoshop.  - Engaged in extensive print design projects (calendars, business cards, postcards, stickers, etc.).  - Developed multi-page catalogs and brochures.  - Main achievement: Designed and approved a 16-page brochure within one workday, successfully launching it into print.---Education  Completed a UI/UX course at Beetroot Academy, enhancing skills in user-centered design and user experience.---Skills  - Expert in: Adobe Photoshop, Adobe Illustrator  - Proficient in: Adobe InDesign, Figma  - Basic skills in: Blender, After Effects  - Experience in managing a small team of two junior designers. "
67," Mase  Profile  Self-taught designer with over 9 years of experience in various design fields, including logos, branding, UI/UX, and 3D modeling. Proven ability to develop creative solutions and stay current with design trends. Seeking opportunities to collaborate with a team to create exceptional products and enhance user experiences.  Featured Work  - 15x Featured in Behance  - Featured in LogoLounge Trends Report 2021  - Featured in LogoLounge Book 12  - Featured in World Logo & Mark Book (Japan 2020)  - 50+ Logo Contests won (2015-2018)  Recent Projects  - 3D logo animation & branding for volunteer organization www.Bless-Ukraine.com  - Logo & branding for social music platform - hook (Coming soon)   - Logo for crypto-based fund www.Ignaz.com  - Logo & Branding for music production studio AnemoNoise.com  - Logo & Branding for the crypto-based game ""NDA for now""   Skills  - Logo & Branding / Brandbooks & Guidelines  - UI/UX Adaptive Web & Mobile Design  - HTML/CSS/JS  - Typography & Fonts  - Visual Design & Presentations  - 3D Modeling & Animation  - Illustrations, Icons, & More  - Gaming  Software and Tools  - Adobe (Illustrator, Photoshop, After Effects, Lightroom)  - Figma  - Blender  - Keynote  - Webflow  - Readymag  - Spline  - Notion  - GPT-3  Objective  Eager to expand my expertise in UI/UX and neural network development while working collaboratively with like-minded individuals who are passionate about creative problem-solving."
68,"           ---Summary:  Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. Skilled in process structuring and documentation creation. Proven ability to work effectively in a team, while also bringing a unique perspective to each project. Committed to continuously improving by regularly incorporating new knowledge into the workflow. Utilizing creativity as a primary tool.---Design Experience:  - Landing page design  - Design of native and cross-platform applications  - Complex CRM systems and CMS interfaces  - Casual game interfaces  - Marketing materials (creative for social media, presentations, social media branding)  - Branding and logos  - Illustration  ---Management and Leadership Experience:  - Built a team of designers from scratch and provided additional training for trainees and juniors  - Created a development matrix  - Conducted feedback sessions every three months  - Actively involved in the company's life  - Finds an individual approach to the team as a manager  - Interested in the development of the team and each designer individually  - Always open to mentoring and explaining things to clients  - Problem-solving  - Supporting the mental well-being of the team  ---Professional Approach:  - Maintained active communication throughout and after projects  - Highly structured and wrote everything from A to Z in the company's processes  - Willing to change processes for the better  - Finds it difficult to sit still and not have the opportunity to implement ideas  - Actively develops own ideas and has a few pet projects  "
69,"             ---Professional Summary  Professional website, mobile, and graphic designer with over 6 years of commercial experience in various agencies. Played a key role in creating more than 100 website designs, brand, and advertising projects. Expertise in UX prototyping, UI design, and motion design for both desktop and mobile applications.Skills  - Graphic Design: Printed Products, Banners, Illustrations, Icons  - Web Design: Responsive, Adaptive  - Mobile Design: iOS, Android  - Wireframes  - Interactive Prototypes  - Using Principles of Atomic Design  - Strong Understanding of User Personas and User Flows  - Basic Knowledge of HTML and CSS  Tools  - Figma (team libraries, auto layout, components properties, branches)  - Adobe Photoshop: Excellent proficiency  - Adobe Illustrator: Excellent proficiency  - Adobe After Effects: Confident level  Objective  Eager to be part of a strong team to explore my potential in interesting projects while contributing my artistic taste to contemporary design."
70,"           PROFESSIONAL SUMMARY  Results-driven professional with over 9 years of project management experience, specializing in organizing and executing international conferences. Proven ability to lead teams and manage customer relationships effectively. Demonstrated expertise in negotiation, communication, sales, planning, and analytical problem-solving.CERTIFICATIONS  - IT Project Management  - Technical Skills for PMs & BAs  PROFESSIONAL EXPERIENCE  Project Manager     - Present  - Successfully managed a team of up to 10 individuals, focusing on goal setting, motivation, coaching, and conflict resolution.  - Organized and executed multiple international conferences, enhancing team collaboration and client engagement.  - Maintained high performance in negotiations with top-level representatives of international companies.  Sales Specialist      - Developed and implemented strategies for effective brand promotion and customer acquisition.  - Cultivated strong relationships with clients to drive sales growth and customer satisfaction.  SKILLS  - Strong negotiation and communication abilities  - Sales and marketing expertise  - Organizational skills and time management  - Team management and leadership  - Analytical thinking and problem-solving  - Proactive learner adaptable to new domains  CAREER OBJECTIVE  To join an IT company that provides a challenging and stimulating environment to leverage my management and communication skills alongside my effective sales abilities, contributing to the organization's growth and success."
71,"             ---Professional Summary  Dedicated HR Assistant with 2 years of experience in international companies, including a product company and an IT consulting firm. Proven ability to enhance workflows and improve team satisfaction. Actively seeking opportunities to apply organizational skills and project management knowledge in a dynamic environment.  Experience  HR Assistant   – Present  - Updated processes to enhance workflow efficiency and team satisfaction.  - Renewed Company Values document and improved the employee benefits system.  - Organized and managed engagement meetings and one-on-one sessions.  - Conducted training sessions and created various company documents.  - Administered accounts using Jira, Google, and Slack.  - Developed skills in organization, time management, resource management, and problem-solving.    - Gained experience in working with SAP and collaborating with product teams and partners.  - Utilized Excel for data management and reporting.  Education and Training  Project Management Learning Course  - Acquired skills in preparing technical documentation, building Gantt charts, creating roadmaps and timelines, and developing mock-ups.  - Practiced Scrum frameworks, Agile methodology, and Kanban methodology.  Skills  - Project Management  - Organizational Skills  - Time Management  - Leadership  - Problem Solving  - Engagement Meeting Facilitation  - Technical Documentation Preparation  - Jira, Google Workspace, Slack  - SAP  - Excel  Certifications  Project Management Certificate (available on LinkedIn)  ---Objective  To find a company where my skills will be valuable and where I can gain invaluable experience for future professional development."
