id,GPT-3.5-Turbo
65,"
 6+ years experienced and detail-oriented Digital designer with a knack for conceptualizing and delivering elegant, user-friendly solutions effectively and efficiently. Highly skilled in developing WOW websites with strong visual and brand storytelling. Possesses a track record of creating e-commerce, services and corporate websites with user-centric solutions for achieving breakthrough efficiency and driving client satisfaction.

SKILLS
- Strong understanding of user experience
- Cross functional experience working with developers
- Exceptional problem solving skills
- A deep attention to detail and a meticulous dedication to proper delivery
- Collaborative mindset and interest in working with brand and marketing teams to ship deliverables and scale products

TOOLS
- Adobe (Photoshop, Illustrator, Invision, After Effect)
- Sketch
- Maxon C4D
- Figma

EXPERIENCE
Art Director, UI senior designer | Freelance 
February 2019 - Present

UI team lead, UI senior designer | Intetics Inc.
June 2018 - January 2019
- Lead and manage a UI team
- Oversee all web design projects from start to finish; lead and provide feedback and guidance to UX and UI designers; work with developers and QA to implement designs with a high level of accuracy
- Design and create wireframes, workflows, prototypes, sketches and high-fidelity mockups
- Execute design work with a high level of polish, creating production level assets sized appropriately to desktop, tablet, and mobile screens
- Present and defend designs and key milestone deliverables to peers and executive level stakeholders
- Establish and promote design guidelines, best practices and standards

Art Director, UI Senior designer | Vintage Web Production
February 2015 - Mai 2018
Main responsibilities:
- Developing and executing concepts
- Creating the ""WOW"" emotion
- Providing initial designs, refining directions and working with developers through final delivery of a project
- Team mentoring, motivation, art-direction
- Build presentations, craft documentation, and deliver asset kits to developers and other team members
- Present creative ideas/concepts to clients in a compelling and clear manner
- Bring business strategy to creative execution to drive results

UI Web designer | Indigo Web Development
October 2014 - February 2015
Main responsibilities:
- Executing concepts
- Build presentations, craft documentation
- Assist in the design
- Projects with long term services, eCommerce projects, products.
"
66,"
 Started using 3D made by myself in design.

Expert in Adobe Photoshop and Illustrator. Proficient in Adobe InDesign and Figma. Familiar with Blender and After Effects.

Work Experience:

Graphic Designer/UI/UX Designer
QA Madness, Nov 2022 - Present
- Played a key role in the company's global redesign project
- Redesigned website to align with new vision and style
- Implemented fresh visual style for presentations and SMM materials
- Utilized self-made 3D designs in projects

Graphic Designer
Kronas, Aug 2020 - Feb 2022
- Designed logos, identities, and printing materials for new company brands
- Developed monthly advertising key visuals for various platforms
- Revamped visual style for Instagram profile
- Created multi-page catalogs and brochures using InDesign
- Designed sticker packs for Telegram and Viber
- Developed design for new trade hall branding stands and navigation

Graphic Designer
Design Studio ToTop, Oct 2019 - Aug 2020
- Provided design services for various companies across different industries
- Created logos, outdoor advertising, and printing materials
- Produced realistic product visualizations in Photoshop
- Designed multi-page catalogs and brochures
- Created brochure design in one day, from concept to print launch, in record time

Education:
UI/UX course at Beetroot Academy
"
67,"
 -15x Featured in Behance
-Featured in LogoLounge Trends Report 2021
-Featured in LogoLounge Book 12
-Featured in World Logo & Mark Book (Japan 2020)
-50+ Logo Contests won (2015-2018)

With over 9 years of experience in design, I have transitioned from winning logo contests to working on a variety of projects including fonts, 3D, branding, interfaces, and more. I have primarily worked as a freelance designer with clients worldwide, but also have 3+ years of experience in teams and agencies. 

I am seeking a team to collaborate on creating innovative products and solutions to make the world a more beautiful place. I am eager to expand my knowledge in UI/UX and neural network development, understanding that success is a journey that requires continual effort and dedication. 

Recent projects include 3D logo animation and branding for Bless-Ukraine.com, branding for a social music platform, logo design for Ignaz.com, AnemoNoise.com, and a crypto-based game. 

My experience and skills cover logo and branding, UI/UX design, HTML/CSS/JS, typography, visual design, 3D modeling and animation, illustrations, icons, and gaming. I am proficient in Adobe Illustrator, Photoshop, After Effects, Lightroom, Figma, Blender, and other tools such as Keynote, Webflow, Readymag, Spline, Notion, and Gpt3.
"
68,"
 - Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. Skilled in process structuring and documentation creation. Proven ability to work effectively in a team, while also bringing a unique perspective to each project. Committed to continuously improving by regularly incorporating new knowledge into the workflow. Utilizing creativity as a primary tool

 Design Experience:
- Landing page design
- Design of native and cross-platform applications
- Complex CRM systems and CMS interfaces
- Casual game interfaces
- Marketing materials (creative for social media, presentations, social media branding)
- Branding and logos
- Illustration

 Management and Leadership Experience:
- Created a development matrix
- Training and mentorship
- Problem-solving
- Supporting the mental well-being of the team
-Passionate about creating products that are beneficial to users and avoiding involvement with services that have negative impacts or can cause mental or financial problems to end-users.
"
69,"
 Took personal part in the creation of more than 100 website designs, brand and advertising projects. I am a professional website, mobile and graphic designer with more than 6 years of experience in different agencies. Specialize in UX prototyping, UI design, and motion design for desktop and mobile applications.

SKILLS:
- Graphic design (Printed Products, Banners, Illustrations, Icons)
- Web design (Responsive, Adaptive)
- Mobile design (iOS, Android)
- Wireframes
- Interactive prototypes
- Using principles of atomic design
- Good understanding of user personas and user flows
- Understanding of the basics of HTML, CSS

TOOLS:
- Proficient in Figma (team libraries, auto layout, components properties, branches)
- Excellent in Adobe Photoshop and Adobe Illustrator
- Confident in Adobe After Effects

Seeking to join a strong team to work on interesting projects and contribute artistic taste to contemporary design.
"
70,"
 Experienced Project Manager with 9+ years of experience organizing and carrying out international conferences. Skilled in team management, goal setting, motivation, and conflict resolution. Strong negotiation and communication skills with top level representatives of international companies. Certificates in ""IT Project Management"" and ""Technical Skills for PMs & BAs"". Proficient in sales, brand promotion, and customer acquisition. Analytical thinker, problem solver, and quick learner with the ability to switch professional domains easily. Dedicated, goal-oriented, and efficient with a desire to contribute to company development and prosperity. Seeking a challenging role in IT project management where I can utilize my skills and make a positive impact.
"
71,"
 I have experience updating processes to improve workflow and employee satisfaction, including renewing Company Values document and improving benefits system. In my previous role as HR assistant, I gained skills in organization, time management, talent and resource management, leadership, Jira and Google account administration, conducting engagement meetings and 1 on 1s, problem solving, conducting trainings, and creating company documents. I have worked in both product and IT consulting companies, where I learned SAP, Excel, and how to work with partners. I recently completed a Project Management learning course, where I gained skills in preparing technical documentation, building Gantt charts, road maps, and timelines, creating mock-ups, planning and prioritizing, working with Scrum and Agile methodologies, and using Kanban methodology. I am eager to utilize my skills and continue growing in a company that values development and innovation. My certificate can be found on my LinkedIn profile.
"
72,"
 Project Manager with 5+ years of experience in retail management, specializing in luxury perfume, cosmetics, and interior design items. Skilled in Agile Methodology (Scrum, Kanban) to optimize working processes and achieve exceptional results. Experienced in leading and motivating interdisciplinary teams to achieve common goals. Passionate about understanding human behavior and dedicated to continuous professional development. Eager to transition into a role as a trainee/junior project manager in a new area. Currently based in Kyiv with ability to work across American and European markets.
"
73,"
 • Co-founder of three companies specializing in management services (repair works, complex maintenance of residential objects repair), and trade since 2015
• Opened five stores with a total of 26 employees; currently managing three stores with 18 employees (2015-2019)
• Experience in personnel management with over 30 employees
• Translator (February-November 2011)
• Lecturer at Lviv Danylo Halytskyi Medical University teaching Ukrainian language to foreigners (December 2014 - September 2015)
• Lecturer at Lviv Ivan Franko National University (September 2015 - present)
• Seeking a new career opportunity as a PM Assistant/Business Analyst Assistant in the IT field
• Strong communication skills, ability to set tasks for teams, adaptability to new information, emphasis on fostering a friendly team atmosphere, transparent relationships with leaders, and receiving feedback for personal and professional growth
"
74,"
 Work Experience:

Administrative Director
- Made decisions to improve administrative and studying processes, enhance financial performance, and impact company positively
- Implemented 7 new courses in addition to 38 existing ones, with 4 still in progress
- Increased monthly net income by an average of 22%
- Raised the number of signed training contracts per month by an average of 18%
- Implemented changes in management and communication methods resulting in increased positive company reviews on Google

Skills:
- Strong decision-making abilities
- Proven track record in process improvement
- Financial analysis and performance enhancement
- Effective communication and leadership skills
- Project management expertise

Objective:
Seeking a position as a Junior Project Manager to further develop my professional skills in the IT industry, leveraging my experience and advanced soft skills from the Hospitality sector and Administrative Director role to contribute to company success. Excited to be part of a positive team environment.
"
75,"
 Experienced in small business management and European logistics, with a double-degree master's program completed in Lithuania and Belgium. Skilled in intercultural communication from living in 5 different countries. Seeking opportunities in business development.

1. Transport Manager (03/2018 - 09/2018)
Hegelmann Transporte UAB, Kaunas 
-Managed truck personnel and operations for 25-30 trucks daily across Europe
-Resolved unexpected issues and prepared documents
-Communicated with customers and negotiates delivery terms

2. Afterhours Freight Dispatcher (06/2017 - 07/2017)
General Freight Experts Inc., Ternopil 
-Booked US freights and planned for 4-6 drivers
-Built customer relationships and stayed updated on freight trends
-Managed financial risks by verifying credit ratings and negotiating contracts

3. Store Manager (12/2015 - 06/2016)
Buchach Coffee Store 
-Oversaw supplier communication, product service, and equipment maintenance
-Monitored service standards and provided staff training

Seeking to join a team-oriented workplace focused on meeting all team members' needs.
"
76,"
 Art Director with 5 years of extensive experience working on multiple international movies, including PLAN A (Germany, Israel), Check Out (Israel), and Victory (Israel). Skilled at developing budgets, providing timeline specifications, and conducting reports on project progress. Participant of Female Leader Summit organized by European Leadership Debate Academy for Eastern Europe countries. Graduated from Project Manager, Soft Skills, and HR Manager courses in 2022. Strong attention to detail, passion for film and television, excellent communication skills, and ability to work in team environments.
"
77,"
 I am a highly motivated individual with a strong desire to learn and grow. My background includes extensive experience in Event Management and a newfound interest in transitioning to Project Management. I have completed multiple online courses in Project Management, Agile methodologies (Scrum, Kanban), and Atlassian Jira.

My previous work experience has equipped me with excellent organizational skills, the ability to multitask, problem-solving capabilities, and strong communication skills. English is my working language and I am fluent at an advanced level.

I am a team player with experience in team management. I am open to remote opportunities and flexible with financial expectations as I prioritize gaining practical experience. I am based in Yerevan, Armenia.
"
78,"
 Commercial Project Manager with over 15 years of experience in Contracts & Cost Control Management, materials & services supplying with practice to work in engineering projects:
I. ROSHEN 2021-2022
Confectionery Corporation
Position: Project Manager
EPCM Project Management, new construction of Sodium Hypoсhlorite production (Kyiv, Ukraine); 
- Negotiating & drafting the Contracts & Agreements;  
- Cost Control & Budget forecasting; 
- Financing & Monthly progress payments responsibilities;
- Contractual issues, Planning and Reporting management.
II. SIEMENS UKRAINE 2020-2021
Engineering Company
Position: Commercial Project Manager
Bidding process providing and contracts drafting;
- Project performance reporting;  
- IFRS and Local revenue, costs, and sales margin recognition; 
- Signing of the Acceptance Protocols, Invoices and Currency Exchange Certificates;
- Contractual issues and Risks management.
III. NOSTRUM OIL & GAS
Project 1: Gas Treatment Unit 1&2 / 2009-2012
Project 2: Gas Treatment Unit 3 / 2012-2020
Position: Contracts & Cost Control Manager
- Contract Management in Supplying and Construction works, Subcontracting & Services Providing at EPCM Project;
- Bidding process providing and Contracts awarding;
- Negotiating & drafting the FIDIC Contracts & Agreements;
Cash flow preparing & Budget planning;
- Cost Control and Quantity surveying;
Ensuring that project costs with contractual agreements and 
following up on changes;
- Estimation and releasing of the Site Extra Work Orders; 
- Contractual correspondence and Claims responsibility.

Ready to become a part of a multinational & multidiscipline project team with corporate values.
"
79,"
 Skills:
- Document management for project stages (Brief, Assumptions, WBS, Project charter, MVP, Requirement Matrix, Risk Register, SRS, RACI, Status Report)
- Creating prototypes and selecting project methodologies
- Experience in BPMN diagram creation
- Proficiency in various PM tools, with ClickUp as the preferred choice

Experience:
Coordinator of Club of Tolerance
The Congress of National Communities of Ukraine | 2017—2019
- Held weekly meetings with teenagers, facilitating discussions and organizing exhibition visits
- Created illustrations and presentations using Canva and Crello

Trainer of non-formal education at EuroCamp and Sources of Tolerance
The Congress of National Communities of Ukraine | 2017—2020
- Conducted educational training courses for teenagers aged 11-17
- Built cohesive teams through teambuilding activities to foster team development

Project Manager in IT
Epic Story | April 2021 - Present
- Current role managing projects within the IT sector
"
80,"
 I am a graphic designer currently pursuing my education at Kharkiv National University of Radio Electronics, specializing in Publishing and Printing at the Department of Media Systems and Technologies. I have also taken courses from Genius.Space in ""Web Design"" and ""UX/UI Design"".

Attention to detail and the ability to structure information help me to create clear action plans, which is an important aspect of being a UX designer. Continuous learning and practice develop my skills related to visualization and graphic elements (UI).

Design is more than just a job for me; it is my life, my oxygen. This attitude towards my profession motivates me to approach tasks with quality and discipline.

Soft skills: 

- teamwork;
- empathy;
- enjoyment of work;
- punctuality and discipline.

Graphic editors: 

- figma;
- adobe illustrator;
- adobe photoshop;
- blender;
- autoCAD.

I have experience in commercial projects, particularly in creating a set of business cards for a tattoo artist who is currently working abroad. Additionally, I have worked on various projects including website designs, brochures, presentations, and logos.
"
81,"
 My design journey began 10 years ago at the College of Arts. 
I’ve had the opportunity to work with various clients from Europe and the USA. 
I have experience with projects ranging from large enterprises with over 250,000 employees to e-Commerce and SaaS platforms. 

Key Skills:
- Team Leadership
- Project Management
- Project Estimation
- Resource Planning
- Presentations to Clients
- Client Communication
- Business English
- Enterprise Size Companies
- Agile and Scrum
- Art Direction
- Prototyping
- UI/UX Design
- Information Architecture
- UML Diagrams
- User Testing
- Mobile App Development
- SaaS Solutions
- Web Design
- Graphic Design

I excel in lead creative teams, mentor teammates, estimate projects, manage timelines, and confidently present ideas to foreign stakeholders. I have advanced English skills for effective communication. I am a full-stack Designer with a focus on UI/UX and Graphic Design. 

I am seeking a company that offers challenging projects, a relaxed environment, flexible scheduling, and a focus on results. I am eager to work with clients, lead design teams, and manage projects, especially in the mobile and complex web solutions space. I pride myself on delivering top-notch output that meets both business and user needs.
"
82,"
 - Over 30 successfully completed design projects
- Managed a team of 17 designers
- Design consultant in sales process, pitched and launched over 20 design projects
- Completed ""Design management"" course
- Completed ""People management 3.0"" course
- Experienced product designer and design team lead with a focus on design team management
- Responsible for planning, delegating, and reviewing team processes
- Managed user research projects, facilitated workshops, reported on project progress, and handled conflict management
- Involved in sales processes as a domain expert
- Strong understanding of business goals, skilled in negotiating and presenting solutions
- Fluent in English and proficient in written communication in German
- Proven expertise in the following projects: human resources project as a product design manager, crypto product as a design manager, and SaaS project as a UI/UX Team Lead
- Experience in various older/smaller projects in industries such as betting, healthcare, and delivery
- Seeking a role as a design delivery manager or to assist in establishing strong design teams internally or for customers
- Open to working in an outsourced company or with a product team
"
83,"
 - Over 6 years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare industries
- Experience in designing for Web, Mobile, Dashboard, and Web applications
- Able to generate hypotheses, conduct research, create wireframes and prototypes, conduct usability tests, and analyze outcomes
- Skilled in creating design systems from scratch and leading design teams
- Collaborative team player with the ability to work independently
- Strong attention to business needs and providing best practice design advice
- Proficient in communicating with stakeholders and product managers
- Experienced in conducting research and creating functionality maps and process flows
- Expertise in low/high fidelity wireframes and UI design
- Experienced in leading a team of 8 people
- Skilled in mentoring lower-level designers, conducting 1-on-1 meetings, offering feedback and support, and defining areas of improvement for colleagues.
"
84,"
 Work Experience:
- Extensive experience in electronic commerce as a senior designer, head of the design team, and art director
- Worked in trading companies as a creative designer
- Experience in advertising agencies as a graphic designer
- Worked in publishing and entertainment as a leading designer
- Experience in the field of printing and product design

Qualifications:
- Professional skills in graphic and web design
- Experience in creating brand identity and promoting brands
- Creation of key-visuals and overseeing the implementation of materials in various online and offline channels
- Developing and implementing digital advertising campaigns
- Proficient in managing designer teams and design departments
- Utilizing customer and user experience analytics to solve business problems and introduce new product features
- Skilled in animation, motion design, and video editing
- Strong skills in layout design and print preparation

Soft Skills:
- Ability to identify and solve complex product problems
- Critical thinking and analytical skills
- Effective management and communication with individuals, negotiation skills, and stress resistance
- Emotional intelligence and empathy
- Decision-making skills, design thinking, creativity, and enterprise
- Quick learning abilities, self-learning, and cross functionality

Looking to join a team of enthusiastic and ambitious professionals to dedicate myself to developing and enhancing a company's product to achieve global success.
"
85,"
 EXPERIENCE
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer/Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX-Designer/Illustrator/Graphic designer (Apr 21 - Now)

SKILLS
English - Upper-Intermediate
UI/UX Design/Adaptive design
Illustration (raster/vector)
Banner design
Logo design

TOOLS
Adobe Photoshop
Adobe Illustrator
Procreate App
Figma
Midjourney

Awards
RED DOT/Brands & Communication Design (Aug 22)
"
86,"
 SKILLS:
Color sense, Color Theory, Composition
Branding, Advertising, Illustration
Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
UI/UX design
HTML/ CSS
WEBFLOW

Soft skills:
Confidence to work independently and in a team
Creative
Interface directly with customers

Completed courses:
Dare IT - PRODUCT DESIGN
HILLEL (IT SCHOOL) - BASIC WEB DESIGN
CASES MEDIA - FIGMA (90)
CASES MEDIA - Graphic design. Composition (91)

Summary:
Experienced digital designer with expertise in Marketing, Photoshop, Illustrator, and Figma. Skilled in Webflow for animations and CMS. Advanced Figma user with a focus on website and E-blast design. 

Work Experience:
- Freelance and in-house manager with collaboration on projects for more than 5 international companies.
- Freelancer designer for American company, specializing in visually stunning designs to support brand growth and engagement.

Objective:
Seeking long-term partnership to utilize skills and experience for award-winning campaigns and product development that enhances customer experience.
"
87,"
 Digital Graphic Designer (NDA) 
July 2021 – Present day

• Web content development
• Creation of logos, posters, graphics for events
• Infographics
• Development of landing pages
• Work with small architectural forms for advertising campaigns of events
• Design of presentations and training materials
• Creation of vector illustrations and mascots

Digital Graphic & UI/UX Designer (ReevArts)
July 2020  – July 2021

• 500+ Designs for social media
• 250+ Designs for TV
• 1+ year constant UI/UX designs for 2 products
• Quality control of animators' work (designers review)
• Storyboarding & creating illustrations for showreels and promos

Technical Graphic Designer (Polygraphy)
April 2019 – July 2020

• Development of designs, taking into account customer requirements and preparation for printing
• Development of special layouts and their printing on T-shirts and sweatshirts
• Preparing layouts for stickers, creating clipping paths
• Control of the work of in-house designers
• Control of designs received from customers
• Quality control of the result of printing and cutting
• Development of technological maps

Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)
April 2018 – March 2019

• Create final art and files to be given to developers and animators
• Work closely with both editors and project managers
• Create final art for presentations and assist in creative presentations
• Website and interface designs
• Prototyping and templating

Assistant Manager (АМО1, ООО)
October 2013 – June 2014

• Search for potential clients
• Communication with clients and work with their objections
• Search for tenders in the areas of the company's activities
• Analysis of the need to introduce the production of new parts, the relevance of their demand in the market
• Working with drawings
• Fulfillment of personal orders of the head
• Analysis of competitors' market, price monitoring
• Maintaining the site of the enterprise
"
88,"
 Junior UI/UX designer with experience in website redesign projects for real estate companies, creation of travel websites, and developing mobile applications for booking tables in restaurants. Proficient in Figma, Photoshop, and Illustrator with skills in producing interactive prototypes, wireframes, and mockups. Capable of adapting design strategies to meet evolving user needs, collaborative team player, and dedicated to continuous learning. Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks.
"
89,"
 Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing Page
f.Lover Mobile App for Delivering Flowers

Looking for roles in UX/UI design that allow me to create user-centered digital experiences through creativity and collaboration within cross-functional teams. Passionate about design innovation and seeking positions that prioritize user research, thoughtful ideation, and testing for quality user satisfaction.
"
90,"
 Projects:
1) Successfully proposed and implemented two IT projects: ""Bill of materials process automatization"" and ""MRP in SAP"", resulting in annual savings of $34K.
2) Successfully proposed and implemented three supply projects: ""ABC and XYZ methodology for inventory stocks analysis"", ""New supplier implementation"", and ""Implementation of a new glue using scheme"", resulting in annual savings of $163K.
3) Implemented three IT projects and seven business process improvements such as ""SAP GUI Automation"" and ""Automation of data People cycle consolidation"", leading to optimization by 2 full-time equivalents (FTE).
4) Managed a students’ probation scheme with a 72% success rate.
5) Developed and conducted trainings, successfully training over 600 individuals.

Work Experience:
- Possess 7 years of experience in the FMCG industry
- Demonstrated proficiency in web development process and basic knowledge of HTML/CSS/JS
- Proficient in Project Management processes
- Experienced in creating technical specifications and project documentations
- Skilled in risk-management and crisis-management
- Proven ability in people management, negotiation with suppliers and subcontractors, and building long-term cooperation
- Experienced in budget and timing planning, implementation of cost reduction strategy, creation and control of business processes, and corresponding documentation
- Skilled in remote recruitment, supporting staff performance reviews and personal development processes
- Skilled in preparing presentations for clients and trainings for staff
- Experienced in business correspondence

Languages:
- Elementary level proficiency in Polish

Highlights of Previous Position:
- Worked on interesting and challenging projects
- Thrived in a multinational environment
- Opportunities for personal and professional development
- Held a permanent job with a friendly atmosphere.
"
91,"
 Work experience:
- PR team manager in a startup incubator
- Strategic planning
- Operational management
- Organization and moderation of brainstorming, meetings
- Communication with regular partners
- Planning activities from start to finish according to goals and target audience
- Delegating tasks, tracking results
- Monitoring the timely implementation of tasks

- Project manager for Hack-A-Train:
- Booking and branding of the train
- Management of local marketing, set of applications
- Provision of catering
- Organization of logistics
- Provision of stationery, printed materials
- Organization and control of all processes during the 30-hour trip

- Project manager for Hack For Locals:
- Management of local marketing, set of applications
- Involvement of companies and government agencies in the event
- Finding and communicating with partners
- Finding prizes for winners
- Translation of event texts and marketing messages from English to Ukrainian
- On-site assistance during the event
"
92,"
 Project Coordinator Ukraine & Eurasia

• Full coordination and control of Global Point of Sale project implementation in Ukraine & Eurasia;
• Coordinating 6 specialists across region;
• Point Of Sales Materials Coordination and management the process of budgeting across markets (Ukraine & Eurasia) and alignment with all Categories (Marketing Leaders);
• Briefs preparation and communication with agencies for production and logistics of trade equipment and Point Of Sales Materials;
• Point Of Sales Materials and trade equipment procurement process control at all stages: briefing, budgeting, production, warehousing, placing in retail;
• Coordinating initiatives and target interventions towards Global KPIs;
• Supporting the effective implementation of Global goals and priorities in cooperation with 3rd parties;
• Communication and timing leading between Marketing and Trade marketing to deliver all materials for New Product Development point of sale materials & trade equipment production;
• Checking and confirmation of cost estimation for design services for Ukraine and Eurasia markets;
• Checking and confirmation of documents and payments between company and 3rd company parties
"
93,"
 - Consistently recognized as the best sales performer multiple times
- Successfully managed an additional heavy-load transportation project
- Received numerous positive reviews from satisfied customers
- Achieved sales goals for 5 consecutive years
- Currently hold a senior position within the Autotransport Company in the US
- Responsible for overseeing the rating board for the company, showcasing strong problem-solving skills

Worked for over 5 years at Autotransport Company in the US, with a local office in Dnipro. Each transportation request is treated as a unique project, managing client and driver needs from start to finish to ensure successful delivery. Utilize CRM, Trello, and DocuSign in daily operations, with previous experience using Confluence and Jira.

Recently completed PM courses at Hillel IT School with high marks, seeking a transition into the IT sector to continue personal and professional growth. Known for completing tasks efficiently, providing excellent service, and meeting deadlines with a willingness to learn and take on new responsibilities.
"
94,"
 Worley
Senior Project Engineer
03/2021-05/2022	
Responsibilities:
- Managing project deliverables and interfaces to ensure the project is executed in a safe, efficient, cost-effective, and timely manner
- Project communications and identifying key issues requiring action/response
- Review and finalization of project procedures in consultation with key project personnel
- Ensuring the project team is contractually aware of their respective responsibilities, scopes of work, and deliverables
- Liaising with the Cost Controller and Planner to provide a weekly analysis of project status

Achievements:
- Construction & Commissioning of New Laboratory systems (Public Address General Alarm, Access Control System, Close Circuit Television), fire alarm, firefighting, HVAC, power distribution
- Installation of 12 server cabinets in Data Centre for information replication
- Risk elimination by replacing laboratory in a safe area

UBOC
Project Engineering Lead
09/2020-03/2021	
Responsibilities:
- Monitoring the overall progress of engineering work from engineering contractors and addressing problem areas as they arise
- Management of engineering interfaces and transfer of information between the engineering contractors
- Oversight of quality of the engineering work from the contractor in accordance with international standards

Achievements:
- Establishment of engineering processes & procedures across departments: PSCM, Quality Team, Construction & Commissioning
- Development and integration of Engineering Execution Plan

British Petroleum
Project Lead
09/2009-06/2020	
Responsibilities:
- Fulfilling the requirements defined in Project Procedure and associated guides and templates
- Providing input to establish the region annual activity plan
- Managing budgets for Project & Modification expenditure based on assigned activity set
- Overseeing the assigned contractor’s resources to deliver the assigned projects or activities
- Performance managing delivery by contractors using global benchmark, metrics, and KPIs 
- Managing internal stakeholders and interfaces

Achievements:
- Achieved $750M revenue by increasing efficiency of the plant
- Increased gas production
- Elimination of safety and business risks, production increase gaining $.2.5M per annum
- Delivery of various oil & gas production optimization projects.
"
95,"
 - Project Manager at IT HB (Link - http://www.it-hb.org) 6 months
- IT Business Analyst at Promocore (Information Technology Business Analyst) (Link - http://promoco.re) 4 months
- Network and System Administrator at Vinnitsіa National Technical University (Designed and developed a corporate network Vinnitsіa National Technical University in the educational building of faculty of computer systems and optical engineering departments. Manual assembly of completed and settings. Used in this project: VLAN, WiFi, WPA 2, ACL, WDS, CAP manager, Squid Server, Radius Server, Teamviewer Server, Local connections to computers with video surveillance systems.) link - vntu.edu.ua \ 3 years 5 months

Projects:
- ChiliPizza (Design, layout, domain purchased, DNS configured, filled with information, integrated JS site menu, 3D tour, embodies all customer needs. Without SEO and SMM.) link - http://www.chilipizza.vn.ua
- Joht & Alex Transport Company -- in process (Website development, consulting, business analytics, branding, SEO, SMM) link - http://www.ja-bus.com
- IROOM link -http://iroom.ua
- EcoCITIZENS (EcoCITIZEN - the project is to design and develop information systems for environmental monitoring using microcontrollers Arduino and site. In this project I developed ASP.NET web site using MVC, designed and used a database msSQL and developed a sketch for arduino web server.)
- Site of Department of Business Economics and Production Management VNTU \ link - epvm.vntu.edu.ua (Developed Front-End, Back-End and MySQL database for the project. Used last version of CMS WORDPRESS with custom theme. Configure web server and FTP server.)
- Development of the system management and optimization of solar collector (Developed system for managing solar collectors in automatic mode with the ability to connect to the system ""Smart home heating.)
- Development of intelligent home heating system (optimize building heating systems with alternative energy sources)

Skills:
- Жизненный цикл разработки ПО (SDLC), Agile, Scrum
- Коммерческое предложение, Разработка проектного плана, Руководство и управление работами проекта, Мониторинг и контроль работ проекта, Интегрированный контроль изменений проекта, Закрытие проекта или фазы проекта
- Опыт работы с инструментами для эффективной работы: Trello, Slack, Asana, Worksection, MS Project, Mind-maps, MS Visio
- Управление содержанием проекта (Project Scope), Управление сроками проекта, Управление стоимостью проекта (Project Cost), Управление качеством проекта (Quality Management), Управление человеческими ресурсами (People Management), Управление коммуникациями на проекте (Communication Management), Планирование управления рисками, Идентификация рисков, Управление изменениями проекта (Change Management), Планирование управлением поставками продукта
- Работа с UI/UIX: Понятие юзабилити, Работа с guidelines, Опыт разработки сайтов и платформ для различных проектов (e-commerce, corporate, forum), Рекомендации по выбору CMS и фреймворков для создания сайтов, Особенности создания мобильных приложения, Обзор языков программирования
- SEO основы, SMM основы
- Работа в команде, перспективная компания, офис, оплачиваемый спортзал, ориентированая на результат команда, дополнительный екран и флипчарт с маркером
"
96,"
 Multi-skilled entry-level project manager, doctor, teacher, and PhD with extensive experience in organizing social and volunteer projects. Possess strong communication and responsibility skills from working with patients of different backgrounds and students of various cultures. Proficient in time management, teaching, and leadership, with a proven track record in public relations and team management. Experienced in developing learning materials, managing teams, and organizing events. Constantly seeking new knowledge and skills to adapt to evolving fields.
"
97,"
 Experience:

Project Manager - 2021
- Closed 2M in less than 2 months through agreements with 2 large construction companies
- Managed transactions totaling 12M in 10 months
- Studying Data Warehouse and Business Intelligence (DWBI) at EPAM, starting in Autumn 2021

Business Developer - 2019
- Managed and supervised operations of a network of coffee shops, increasing from one to three stores
- Closed $1.2M in deals
- Boosted annual revenues by 1500% from 80K to 1.2M in less than 11 months

Skills:
- Strategic visionary with strong persuasion skills
- Exceptional communication and interpersonal skills
- Proficient in team management and training
- Experienced in financial management and implementing marketing strategies
- Skilled in negotiation and problem-solving techniques
"
98,"
 Self Employed (2021 - Present):
- Developed a customer acquisition strategy for mobile gaming service
- Managed brand development and negotiation

Glaz Systems (2018 - 2021) - Business Development Manager:
- Conducted B2B sales in IT sector
- Managed accounts and built processes
- Developed partner network
- Wrote Software Requirements Specification incorporating client feedback
- Managed team, resolved conflicts, delegated tasks, and conducted meetings
- Organized business trips, participated in industry events, and held direct negotiations with HORECA businesses
- Handled administrative tasks such as payment control, documentation processing, and report management

Education:
- ШКОЛА ОСТАННЬОГО КАПІТАЛІСТА (Project employment, AUG - SEP 2023) - edTech project for Ukrainian economics YouTube channel: requirements management, task management, tech writing, product vision, course program development research

BALANCУЙ TEAM (JUN 2023 - Present):
- Lead projects assisting trainees gain work experience in team settings
- Manage DefendUAid platform for supporting Armed Forces of Ukraine
- Develop Balancyй time management application for iOS, Android, and web platforms.
"
